Sl. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
17,Tamil Nadu,The Nilgiris,5,NA,NA,8,NA,1,190,299,97,18,13,NA,1068
18,Tamil Nadu,Govt. Rly. Police Tiruchirapalli,1,NA,1,1,4,8,5,728,47,6,17,NA,1051
1,Tripura,West Tripura,6,1,4,5,19,21,373,575,171,5,8,NA,1188
2,Tripura,North Tripura,5,3,2,4,17,10,171,262,50,1,41,NA,566
3,Tripura,South Tripura,2,1,1,8,12,13,78,251,18,9,126,1,520
1,Uttar Pradesh,Meerut,178,32,25,193,135,360,2030,4308,694,278,125,4,NA
2,Uttar Pradesh,Bulandshahar,110,15,16,81,76,189,857,1724,390,145,56,NA,NA
3,Uttar Pradesh,Muzaffaranagar,98,15,7,38,81,132,559,1301,235,67,34,3,NA
4,Uttar Pradesh,Saharanpur,68,29,23,77,86,106,964,1863,210,124,52,2,NA
5,Uttar Pradesh,Dehra Dun,24,6,8,45,18,119,754,1399,134,102,58,NA,NA
6,Uttar Pradesh,Varanasi,62,38,13,52,117,182,1574,2791,436,244,95,9,NA
7,Uttar Pradesh,Mirzapur,41,7,15,34,57,73,806,1130,216,70,27,1,NA
8,Uttar Pradesh,Ghazipur,45,15,2,15,40,37,700,671,177,49,18,3,NA
9,Uttar Pradesh,Jaunpur,45,18,6,16,104,96,807,760,297,112,20,2,NA
10,Uttar Pradesh,Ballia,35,18,8,21,61,128,700,964,296,76,18,3,NA
11,Uttar Pradesh,Lucknow,74,37,38,165,90,283,1979,5315,331,469,202,11,NA
12,Uttar Pradesh,Sitapur,112,20,18,95,239,256,1500,2059,269,112,36,NA,NA
13,Uttar Pradesh,Hardoi,142,40,30,54,249,322,1150,1408,289,74,19,NA,NA
14,Uttar Pradesh,kheri,81,18,26,63,115,116,645,1325,156,82,29,NA,NA
15,Uttar Pradesh,Rae Bareli,42,27,15,26,68,60,778,847,211,45,17,NA,NA
16,Uttar Pradesh,Unnao,135,26,20,47,158,179,1165,835,261,74,24,1,NA
17,Uttar Pradesh,Fatehpur,97,35,11,16,114,139,893,735,136,38,9,1,NA
18,Uttar Pradesh,Allahabad,104,35,20,73,155,213,1655,2986,418,256,124,NA,NA
19,Uttar Pradesh,Etawah,65,13,16,36,99,115,695,929,183,109,30,2,NA
20,Uttar Pradesh,Farrukhabad,122,26,10,57,78,176,893,1164,158,98,29,NA,NA
21,Uttar Pradesh,Bareilly,116,46,24,142,126,354,1284,2737,246,229,79,1,NA
22,Uttar Pradesh,Bijnor,72,11,13,53,62,151,548,1483,224,78,28,2,NA
23,Uttar Pradesh,Badaun,108,42,15,88,103,352,777,1587,240,88,28,NA,NA
24,Uttar Pradesh,Moradabad,198,26,26,112,125,422,996,2459,170,143,72,1,NA
25,Uttar Pradesh,Pilibhit,57,12,9,22,27,96,289,664,98,37,14,NA,NA
26,Uttar Pradesh,Shahjahanpur,116,40,19,71,67,209,897,1773,218,183,41,NA,NA
27,Uttar Pradesh,Rampur,53,11,12,47,38,78,347,586,89,57,30,NA,NA
28,Uttar Pradesh,Agra,104,25,13,178,153,355,1589,2592,458,280,73,17,NA
29,Uttar Pradesh,Mathura,57,7,10,52,149,178,711,871,318,135,38,3,NA
30,Uttar Pradesh,Etah,155,15,10,102,106,181,752,1036,273,68,34,0,NA
31,Uttar Pradesh,Aligarh,82,13,9,85,75,116,936,1789,193,216,59,0,NA
32,Uttar Pradesh,Mainpuri,83,17,5,81,150,173,691,995,271,88,15,1,NA
33,Uttar Pradesh,Gorakhpur,70,20,21,58,142,244,1493,2779,611,180,71,2,NA
34,Uttar Pradesh,Basti,75,20,15,79,95,120,1132,1270,540,104,21,1,NA
35,Uttar Pradesh,Deoria,70,15,7,31,154,161,1145,1585,426,66,28,NA,NA
36,Uttar Pradesh,Faizabad,68,27,38,58,85,99,1307,1245,412,129,50,NA,NA
37,Uttar Pradesh,Bahraich,52,17,16,97,69,67,1131,1237,197,71,26,NA,NA
38,Uttar Pradesh,Barabanki,68,14,5,39,118,119,991,737,225,63,12,NA,NA
39,Uttar Pradesh,Gonda,67,37,20,94,136,269,1626,1845,419,89,50,NA,NA
40,Uttar Pradesh,Pratapgarh,27,27,3,19,85,77,452,460,206,49,12,NA,NA
41,Uttar Pradesh,Sultanpur,43,16,3,35,38,46,611,694,211,84,16,NA,NA
42,Uttar Pradesh,Jhansi,56,17,17,26,100,207,1032,1618,261,93,48,1,NA
43,Uttar Pradesh,Banda,103,26,13,26,59,95,593,585,136,38,15,NA,NA
44,Uttar Pradesh,Hamirpur,108,34,9,12,50,88,564,501,91,52,13,NA,NA
45,Uttar Pradesh,Jalaun,55,5,7,17,57,117,721,555,173,52,23,NA,NA
46,Uttar Pradesh,Nainital,31,8,18,66,42,105,551,1273,166,122,38,NA,NA
47,Uttar Pradesh,Almora,NA,NA,NA,2,2,7,54,58,12,9,2,NA,NA
48,Uttar Pradesh,Terhi Garhwal,2,NA,NA,NA,NA,3,21,23,7,8,1,NA,NA
49,Uttar Pradesh,Pauri Garhwal,1,1,1,4,1,3,61,81,6,6,5,NA,NA
50,Uttar Pradesh,Chamoli,3,2,NA,1,NA,6,21,29,5,8,1,NA,NA
51,Uttar Pradesh,Uttar kashi,2,NA,NA,NA,NA,3,30,30,6,2,4,NA,NA
52,Uttar Pradesh,Pithoragarh,1,2,NA,2,1,6,24,43,6,11,1,NA,NA
53,Uttar Pradesh,Govt. Rly. Police,25,6,11,28,24,112,42,6366,70,213,70,4,NA
54,Uttar Pradesh,Azamgarh,101,18,9,21,174,183,1248,1580,450,103,22,NA,NA
1,West Bengal,Bankura,25,18,6,18,37,60,178,838,302,53,35,NA,2163
2,West Bengal,Birbhum,39,10,25,8,60,48,376,654,373,50,18,NA,2143
3,West Bengal,Burdwan,104,37,20,66,197,155,576,3601,1104,112,63,2,8033
4,West Bengal,Hooghly,43,25,14,47,65,40,398,1618,647,74,65,NA,4525
5,West Bengal,Midnapore,102,35,14,58,100,93,1180,1909,1263,128,54,2,6693
6,West Bengal,Purulia,38,13,8,15,44,25,283,845,197,46,42,NA,2196
7,West Bengal,24 Parganas,144,50,68,180,200,216,1866,7566,1890,214,223,4,18566
8,West Bengal,Murshinabad,62,36,32,56,61,20,325,1346,608,67,28,NA,3932
9,West Bengal,Nadia,30,13,22,40,92,66,640,2075,569,40,58,NA,4644
10,West Bengal,Howrah,49,11,18,42,39,62,326,2107,578,118,83,NA,5302
11,West Bengal,West Dinajpure,39,18,11,25,141,50,618,980,318,32,20,2,2841
12,West Bengal,Malda,34,21,13,24,37,11,187,990,434,35,16,NA,2226
13,West Bengal,Jalpaiguri,66,54,17,15,75,93,643,1113,326,44,32,NA,3630
14,West Bengal,Darjeeling,22,8,6,12,11,18,177,395,78,14,14,NA,1389
15,West Bengal,Cooch Behar,29,6,13,14,87,78,689,710,310,34,34,NA,2474
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,4,NA,NA,6,NA,3,71,126,15,12,4,NA,484
1,Chandigarh,Chandigarh,2,1,5,12,NA,1,112,752,10,29,30,NA,1334
1,Dadar & Nagar Haveli,Dadar & Nagar Haveli,1,NA,1,NA,NA,1,15,26,3,6,3,NA,84
1,Delhi,Railways,2,3,1,1,NA,12,5,612,4,33,6,NA,790
2,Delhi,North,64,78,28,224,10,187,1587,5633,207,214,294,12,11439
3,Delhi,Central,49,40,13,193,10,126,893,5667,173,154,182,3,9807
4,Delhi,South,29,17,NA,115,3,37,538,4378,45,67,74,1,7002
5,Delhi,New Delhi,8,1,4,37,4,55,296,3458,25,87,117,65,5136
1,Daman & Diu,Goa,20,NA,2,9,2,20,371,404,37,33,28,NA,1518
2,Daman & Diu,Daman,1,NA,NA,1,NA,NA,15,15,NA,4,NA,NA,62
3,Daman & Diu,Diu,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,15
1,Lakshadweep,Lakshadweep,1,NA,NA,NA,NA,NA,1,4,2,1,NA,NA,9
1,Pondicherry,Pondicherry,6,NA,4,11,1,6,173,612,142,41,15,3,2569
