SI.No.,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Others IPC Crimes,Total Cog. Under IPC
1,Karnataka,Bangalore Commr.,201,283,0,34,105,63,42,42,2,513,2650,8089,357,229,1069,1176,184,3417,56,150,40,143,10135,28875
2,Karnataka,Bangalore Rural,130,96,1,14,35,0,35,22,0,20,526,649,401,10,25,0,0,1989,14,95,1,83,1690,5801
3,Karnataka,Belgaum,154,71,8,7,32,0,32,9,0,35,465,470,431,27,86,3,26,1069,2,64,0,121,2259,5339
4,Karnataka,Bellary,52,17,1,12,14,7,7,5,0,13,266,370,254,15,42,1,3,852,5,71,5,38,967,3003
5,Karnataka,Bidar,43,47,3,1,20,12,8,6,0,14,174,230,231,22,39,0,60,770,2,27,0,36,841,2566
6,Karnataka,Bijapur,124,55,3,9,42,23,19,27,0,38,220,337,704,23,60,1,22,1129,4,82,0,149,1853,4882
7,Karnataka,Chickmagalur,45,34,5,8,15,1,14,2,0,4,203,251,246,11,19,2,4,876,5,62,3,61,1296,3152
8,Karnataka,ChitraDurga,61,22,4,9,22,17,5,2,0,13,370,522,631,16,33,0,26,1165,4,86,0,66,1971,5023
9,Karnataka,Dharwad Commr.,16,18,3,4,8,2,6,2,0,18,189,333,140,9,74,6,4,189,4,7,1,15,1017,2057
10,Karnataka,Dharwad Rural,68,47,5,11,15,0,15,18,1,19,151,314,429,18,46,2,18,562,5,44,0,32,1573,3378
11,Karnataka,Gulbarga,88,88,3,8,44,0,44,12,0,47,261,354,500,13,42,0,46,1010,7,70,0,60,1265,3918
12,Karnataka,Hassan,73,19,0,7,7,0,7,7,0,12,338,453,286,6,21,0,32,1236,6,45,1,39,1596,4184
13,Karnataka,K.G.F.,8,19,0,7,12,11,1,3,0,18,150,137,84,2,6,1,7,291,8,26,10,17,297,1103
14,Karnataka,Kannada North,23,25,1,4,6,0,6,38,0,17,187,216,236,15,17,1,16,616,2,25,5,41,1847,3338
15,Karnataka,Kannada South,49,52,1,6,11,3,8,6,1,34,361,381,350,9,43,4,43,941,2,35,1,31,2758,5119
16,Karnataka,Kodagu,45,51,1,10,12,0,12,4,0,12,215,160,67,8,15,0,5,747,0,17,0,14,754,2137
17,Karnataka,Kolar,63,72,6,15,39,19,20,12,0,27,366,492,898,46,48,2,100,1287,11,67,1,49,1577,5178
18,Karnataka,Mandya,55,33,0,4,13,0,13,3,0,15,351,386,285,4,21,2,0,959,6,41,0,54,1705,3937
19,Karnataka,Mysore Commr.,21,37,0,16,21,3,18,2,0,52,364,707,54,48,127,4,0,514,8,19,3,80,1098,3175
20,Karnataka,Mysore Rural,80,19,3,15,19,6,13,9,0,14,487,497,429,26,22,1,0,1682,4,133,13,91,1636,5180
21,Karnataka,Raichur,77,38,2,10,12,7,5,7,2,4,154,213,444,19,51,0,18,662,7,48,0,59,967,2794
22,Karnataka,Shimoga,40,43,4,9,19,19,0,5,0,14,304,400,334,12,45,2,10,1421,9,76,82,77,1837,4743
23,Karnataka,Tumkur,70,34,1,2,9,0,9,7,0,17,456,678,309,24,33,0,72,1519,6,20,0,26,1902,5185
24,Karnataka,Railways,18,0,0,0,0,0,0,0,0,24,2,193,13,0,0,0,0,23,5,0,0,0,130,408
Karnataka,Karnataka,Total,1604,1220,55,222,532,193,339,250,6,994,9210,16832,8113,612,1984,1208,696,24926,182,1310,166,1382,42971,114475
1,Kerala,Alappuzha,15,35,15,20,11,11,0,1,0,10,386,188,315,35,159,0,27,1337,1,95,0,79,3896,6625
2,Kerala,CBCID,25,9,0,0,1,0,1,1,0,4,8,8,5,6,29,44,0,2,3,0,0,30,19,194
3,Kerala,Ernakulam,32,30,16,27,21,16,5,10,0,29,549,457,461,32,208,0,24,1279,1,77,4,55,7125,10437
4,Kerala,Idukki,23,13,2,20,10,8,2,7,0,8,121,141,184,35,62,0,24,1218,2,64,0,37,1424,3395
5,Kerala,Kannur,27,36,2,30,17,11,6,4,0,7,329,196,722,7,126,0,2,928,1,91,7,59,3032,5623
6,Kerala,Kasargod,16,35,0,14,2,1,1,0,1,5,197,162,377,4,95,10,0,638,0,35,0,0,1489,3080
7,Kerala,Kollam,37,60,5,38,20,16,4,11,0,35,381,195,499,18,136,0,66,1666,5,119,0,102,4214,7607
8,Kerala,Kottayam,32,30,5,19,26,17,9,8,0,25,380,250,285,35,156,0,18,1401,1,67,1,53,4141,6933
9,Kerala,Kozhikode,19,38,6,33,20,10,10,6,0,14,383,337,696,33,213,1,76,1115,2,76,5,177,4150,7400
10,Kerala,Malappuram,28,18,9,41,21,13,8,4,0,12,340,276,486,24,174,1,0,826,1,45,0,160,3335,5801
11,Kerala,Palakkad,32,13,21,39,12,7,5,7,0,21,389,259,427,20,116,0,41,963,1,65,1,67,2864,5358
12,Kerala,Pathanamthitta,24,12,4,8,20,4,16,2,0,16,248,167,206,6,137,0,24,1063,0,133,3,53,2400,4526
13,Kerala,Trivananthapuram,48,67,6,39,23,13,10,26,12,71,730,573,731,34,212,2,47,1911,5,155,2,93,5526,10313
14,Kerala,Thrissur,41,43,2,42,24,21,3,9,0,28,465,362,469,31,214,0,7,875,1,100,16,74,3784,6587
15,Kerala,Wayanadu,18,5,1,19,2,1,1,2,0,9,159,78,152,9,61,0,14,421,1,44,1,40,1102,2138
16,Kerala,Railways,0,0,0,0,0,0,0,0,0,2,1,78,13,1,3,0,0,10,0,0,0,0,16,124
Kerala,Kerala,Total,417,444,94,389,230,149,81,98,13,296,5066,3727,6028,330,2101,58,370,15653,25,1166,40,1079,48517,86141
1,Madhya Pradesh,Balaghat,50,43,5,91,6,6,0,4,0,15,246,226,48,22,19,0,21,565,3,167,22,46,965,2564
2,Madhya Pradesh,Bastar,127,49,0,61,27,27,0,4,0,26,245,179,116,13,21,0,38,334,0,81,9,11,1272,2613
3,Madhya Pradesh,Betul,61,56,0,61,28,27,1,2,0,15,187,199,31,13,31,0,15,459,7,113,6,50,968,2302
4,Madhya Pradesh,Bhind,92,95,1,28,27,21,6,8,3,44,249,332,106,11,10,1,19,732,17,49,0,19,1245,3088
5,Madhya Pradesh,Bhopal,77,137,0,98,45,39,6,4,1,106,539,1387,121,12,155,7,15,1053,5,153,25,63,5508,9511
6,Madhya Pradesh,Bilaspur,152,63,17,129,31,31,0,2,0,74,1137,1288,294,33,149,5,64,558,17,201,21,159,4051,8445
7,Madhya Pradesh,Chhatarpur,47,47,0,45,13,9,4,2,2,25,227,233,73,7,27,1,22,546,18,163,11,38,896,2446
8,Madhya Pradesh,Chhindwara,82,64,1,96,11,11,0,1,0,23,202,352,35,4,22,0,22,1099,17,152,17,64,1308,3572
9,Madhya Pradesh,Damoh,38,64,0,51,9,9,0,1,0,21,180,265,69,11,24,0,19,862,25,128,0,57,853,2677
10,Madhya Pradesh,Dantewada,109,48,4,35,6,6,0,2,0,7,90,156,33,4,10,0,30,116,0,26,0,9,431,1116
11,Madhya Pradesh,Datiya,28,32,0,13,9,6,3,4,2,21,99,103,27,7,9,0,13,101,0,0,0,0,749,1217
12,Madhya Pradesh,Dewas,61,56,0,60,18,18,0,8,1,28,461,746,75,15,13,0,21,427,6,108,30,71,1843,4048
13,Madhya Pradesh,Dhar,108,84,0,78,40,40,0,6,1,34,304,795,88,42,24,1,43,677,9,193,18,56,2070,4671
14,Madhya Pradesh,Durg,69,97,17,165,29,24,5,5,0,95,695,946,52,17,56,4,18,1611,17,206,27,81,2018,6225
15,Madhya Pradesh,Guna,78,77,5,105,24,23,1,4,6,56,430,537,134,20,15,3,33,1468,9,233,20,74,1698,5029
16,Madhya Pradesh,Gwalior,91,129,2,66,55,38,17,10,18,104,561,1224,164,19,102,48,35,1075,34,173,12,91,5335,9348
17,Madhya Pradesh,Hoshangabad,47,86,0,90,21,21,0,3,0,43,357,517,75,2,26,0,44,478,32,173,16,63,1808,3881
18,Madhya Pradesh,Indore,135,180,5,53,46,39,7,3,5,90,833,2556,142,54,113,0,31,1548,27,152,35,153,5681,11842
19,Madhya Pradesh,Jabalpur,101,202,68,120,28,27,1,0,1,100,861,1391,119,16,124,0,1,213,36,301,52,146,7017,10897
20,Madhya Pradesh,Jhabua,190,172,7,45,108,108,0,23,1,63,272,615,90,15,15,0,53,159,0,72,5,23,1937,3865
21,Madhya Pradesh,Khandwa,47,47,9,67,34,32,2,13,0,19,461,641,76,20,30,0,19,353,9,197,25,59,2034,4160
22,Madhya Pradesh,Khargon,109,94,2,65,31,31,0,1,1,31,372,1056,100,41,15,0,79,502,15,236,34,62,4548,7394
23,Madhya Pradesh,Mandla,34,30,0,66,14,14,0,1,1,8,233,137,14,8,18,0,9,599,5,204,29,93,1128,2631
24,Madhya Pradesh,Mandsaur,51,50,1,48,31,23,8,0,6,37,599,837,83,75,21,1,43,616,8,142,11,41,1524,4225
25,Madhya Pradesh,Muraina,80,105,0,59,22,18,4,6,7,47,362,515,203,43,37,0,19,1180,25,134,3,38,2098,4983
26,Madhya Pradesh,Narasinghpur,48,43,1,58,12,8,4,1,0,21,205,237,43,8,15,0,23,445,6,127,4,57,877,2231
27,Madhya Pradesh,Panna,31,19,1,28,10,9,1,3,2,9,139,90,25,1,9,3,6,44,7,51,0,12,730,1220
28,Madhya Pradesh,Raigarh,84,33,0,80,40,37,3,2,1,24,370,400,111,28,28,0,22,432,5,161,12,50,1020,2903
29,Madhya Pradesh,Raipur,87,116,10,173,26,20,6,3,0,51,1041,989,88,40,105,5,21,740,5,242,80,98,3852,7772
30,Madhya Pradesh,Raisen,32,85,0,87,14,12,2,3,2,25,198,330,52,4,30,0,8,62,13,115,7,74,2095,3236
31,Madhya Pradesh,Rajgarh,43,63,4,62,16,13,3,3,2,45,235,362,92,4,15,0,29,484,4,124,24,25,1462,3098
32,Madhya Pradesh,Rajnandgaon,42,25,6,72,15,15,0,3,0,20,282,410,52,13,26,5,35,234,6,122,20,16,1615,3019
33,Madhya Pradesh,Ratlam,60,45,2,53,19,12,7,4,4,39,328,428,52,16,20,0,28,481,9,89,27,24,1527,3255
34,Madhya Pradesh,Riwa,59,38,0,36,25,19,6,2,2,22,671,451,68,6,13,1,40,614,42,122,4,39,1815,4070
35,Madhya Pradesh,Sagar,74,108,4,130,19,10,9,3,4,56,460,520,130,18,30,3,31,1925,44,423,13,94,2234,6323
36,Madhya Pradesh,Sarguja,103,90,3,148,36,36,0,5,1,54,556,507,98,5,36,6,25,503,4,256,7,58,1324,3825
37,Madhya Pradesh,Satna,67,28,3,49,4,2,2,3,1,45,488,396,139,8,6,0,26,846,23,122,6,38,1349,3647
38,Madhya Pradesh,Shahdol,70,39,2,65,14,14,0,3,3,21,431,425,34,21,28,2,30,593,6,169,11,98,1480,3545
39,Madhya Pradesh,Shajapur,43,45,0,55,10,7,3,5,11,36,218,467,74,5,12,0,24,581,0,120,12,18,860,2596
40,Madhya Pradesh,Shivpuri,73,49,4,59,17,13,4,4,12,37,277,334,91,8,30,0,54,651,7,141,2,19,1426,3295
41,Madhya Pradesh,Sidhi,49,14,2,16,5,5,0,1,0,15,230,235,34,2,17,0,18,520,10,92,2,31,821,2114
42,Madhya Pradesh,Sihore,36,63,1,80,9,9,0,2,0,22,331,406,46,7,17,1,44,60,1,113,6,44,2002,3291
43,Madhya Pradesh,Sivni,38,29,2,39,16,16,0,2,0,13,141,175,33,4,17,0,9,353,3,103,7,37,1147,2168
44,Madhya Pradesh,Tikamgarh,42,31,0,50,6,3,3,7,2,19,152,194,54,3,2,0,12,647,10,110,3,19,670,2033
45,Madhya Pradesh,Ujjain,89,115,2,48,37,35,2,14,2,82,687,1020,120,33,38,3,25,152,14,101,12,26,2922,5542
46,Madhya Pradesh,Vidisha,51,60,0,75,17,13,4,4,2,12,182,306,49,12,31,0,23,668,10,155,14,45,1081,2797
47,Madhya Pradesh,Bhopal Rly.,5,3,0,1,1,1,0,0,0,9,2,571,9,1,8,0,0,18,0,9,1,0,191,829
48,Madhya Pradesh,Indore Rly.,5,2,1,3,0,0,0,4,1,7,8,188,0,0,1,0,0,11,2,11,1,2,121,368
49,Madhya Pradesh,Jabalpur Rly.,5,0,4,1,0,0,0,0,1,6,9,205,7,0,10,0,0,9,1,1,2,1,107,369
50,Madhya Pradesh,Raipur Rly.,2,2,0,2,3,3,0,0,0,4,10,281,8,2,2,1,8,28,4,2,0,1,123,483
Madhya Pradesh,Madhya Pradesh,Total,3302,3252,196,3265,1084,960,124,198,112,1826,17853,27160,3877,773,1632,101,1267,28432,577,6838,705,2493,91836,196779
1,Maharashtra,Ahmednagar,100,33,4,44,19,10,9,38,0,83,353,860,214,26,45,2,54,806,2,87,6,579,1263,4618
2,Maharashtra,Akola,77,39,2,43,24,21,3,10,0,56,521,1411,104,29,62,7,103,1194,2,163,30,761,2138,6776
3,Maharashtra,Amravati,90,45,2,100,42,0,42,8,3,88,894,2420,239,45,56,0,105,1129,8,238,40,450,2089,8091
4,Maharashtra,Aurangabad Commr.,28,19,2,20,23,21,2,13,1,42,396,675,115,25,81,0,6,389,2,46,22,180,795,2880
5,Maharashtra,Aurangabad Rural,67,19,3,22,20,18,2,15,0,50,220,418,142,26,29,0,64,818,48,64,10,300,786,3121
6,Maharashtra,Beed,65,16,0,23,28,24,4,34,0,99,301,474,168,23,34,3,36,904,9,43,8,308,1038,3614
7,Maharashtra,Bhandara,87,27,2,81,19,19,0,8,0,39,584,874,36,25,83,3,101,1296,7,136,44,333,781,4566
8,Maharashtra,Bombay Commr.,327,187,5,153,169,127,42,83,43,628,2554,14086,117,512,1364,46,6,3728,32,264,34,181,7984,32503
9,Maharashtra,Buldhana,56,28,0,37,17,3,14,16,0,36,253,852,82,19,27,7,44,796,14,123,42,507,1196,4152
10,Maharashtra,Chandrapur,67,24,4,69,25,22,3,6,1,58,496,733,96,31,52,0,74,619,3,172,15,293,2061,4899
11,Maharashtra,Dhule,85,31,1,29,9,7,2,16,0,24,207,608,145,22,46,0,21,855,54,42,6,225,1106,3532
12,Maharashtra,Gadchiroli,40,19,0,45,21,21,0,0,0,16,109,159,35,12,25,0,30,217,0,71,22,132,438,1391
13,Maharashtra,Jalgaon,85,66,1,40,24,14,10,11,0,37,281,748,119,75,53,6,37,847,7,99,32,462,1721,4751
14,Maharashtra,Jalna,27,16,0,21,14,13,1,19,2,71,263,519,85,27,33,0,52,454,12,48,15,232,603,2513
15,Maharashtra,Kolhapur,83,27,34,16,22,16,6,12,0,30,352,703,134,44,53,7,10,582,34,40,1,101,826,3111
16,Maharashtra,Latur,52,36,0,22,35,30,5,15,0,42,262,431,101,32,36,4,43,794,56,51,1,174,851,3038
17,Maharashtra,Nagpur Commr.,101,65,0,46,67,46,21,16,1,244,1236,2619,144,72,172,13,25,1072,1,77,1,114,3243,9329
18,Maharashtra,Nagpur Rural,78,50,2,66,26,21,5,17,1,64,489,1474,158,27,36,0,73,963,5,140,58,364,2664,6755
19,Maharashtra,Nanded,88,42,3,19,36,30,6,50,0,128,485,896,212,41,70,2,86,1323,19,92,14,347,1327,5280
20,Maharashtra,Nasik Commr.,21,16,0,13,15,10,5,5,1,19,280,496,37,21,70,0,4,269,3,20,5,78,876,2248
21,Maharashtra,Nasik Rural,74,20,0,39,15,11,4,6,1,46,287,509,148,30,33,4,30,923,3,46,45,378,1581,4218
22,Maharashtra,New Bombay,38,15,2,18,19,14,5,23,4,71,469,749,75,56,58,2,3,343,2,38,14,41,948,2988
23,Maharashtra,Osmanabad,30,12,0,10,16,12,4,12,2,33,260,442,65,34,36,1,17,640,14,36,7,82,873,2622
24,Maharashtra,Parbhani,87,39,3,24,25,17,8,32,1,117,300,619,222,22,33,1,78,1254,27,109,18,569,1281,4861
25,Maharashtra,Pune Commr.,85,37,2,55,61,44,17,10,5,73,746,2188,1415,80,194,8,15,1268,9,84,135,167,2932,9569
26,Maharashtra,Pune Rural,78,26,1,31,23,17,6,26,2,70,318,484,99,40,23,3,32,495,11,67,6,163,1508,3506
27,Maharashtra,Raigad,52,21,1,15,7,3,4,14,0,22,150,284,95,17,19,3,28,267,0,41,14,35,1087,2172
28,Maharashtra,Ratnagiri,20,8,1,11,5,5,0,4,0,13,128,182,42,15,12,3,18,465,1,31,17,67,433,1476
29,Maharashtra,Sangli,77,16,1,18,19,8,11,4,1,25,273,634,71,40,50,0,53,580,16,42,5,110,875,2910
30,Maharashtra,Satara,66,17,17,27,23,3,20,9,4,29,264,410,55,34,30,6,27,441,17,44,7,215,1574,3316
31,Maharashtra,Sindhudurg,16,5,2,12,3,3,0,2,0,12,147,150,27,9,10,0,19,230,1,17,15,19,327,1023
32,Maharashtra,Solapur Commr.,19,15,0,24,12,12,0,0,0,30,145,320,21,13,37,5,2,286,3,19,4,39,774,1768
33,Maharashtra,Solapur Rural,82,23,4,19,8,4,4,16,0,49,143,296,100,12,21,1,19,504,14,31,5,68,1601,3016
34,Maharashtra,Thane Commr.,131,57,4,51,69,34,35,27,10,145,1147,1842,317,68,206,6,13,1747,0,120,45,171,818,6994
35,Maharashtra,Thane Rural,151,43,10,56,41,12,29,57,8,111,557,566,176,57,81,6,43,1102,2,146,45,121,1439,6994
36,Maharashtra,Wardha,53,21,2,46,17,14,3,7,0,34,340,879,62,13,25,3,44,694,3,102,33,213,1274,4818
37,Maharashtra,Yavatmal,70,43,4,69,44,42,2,9,0,45,486,1067,125,51,51,1,59,980,1,225,46,577,1757,3865
38,Maharashtra,Bombay Rly.,10,5,0,3,4,2,2,3,1,40,12,2990,22,36,50,8,0,49,1,6,1,0,112,5710
39,Maharashtra,Nagpur Rly.,5,4,0,4,3,2,1,9,0,20,3,844,3,20,8,0,0,15,0,4,0,0,111,3353
40,Maharashtra,Pune Rly.,9,6,0,3,0,0,0,6,0,26,2,859,20,8,7,0,0,19,0,3,2,0,95,1053
Maharashtra,Maharashtra,Total,2777,1238,119,1444,1069,732,337,668,92,2865,16713,47769,5643,1789,3411,161,1474,31357,443,3227,870,9156,55186,187471
1,Manipur,Bishnupur,6,9,1,4,8,5,3,1,0,3,6,19,6,2,3,0,21,33,0,7,0,0,146,275
2,Manipur,Chandel,16,7,0,1,5,1,4,4,0,3,8,14,0,1,0,1,4,6,0,0,0,0,39,109
3,Manipur,Churachandpur,19,7,1,0,3,0,3,5,0,5,6,15,0,0,2,0,5,9,0,0,0,0,25,102
4,Manipur,Imphal,81,79,1,3,48,38,10,6,0,9,57,153,33,9,17,2,76,133,0,10,0,0,603,1320
5,Manipur,Senapati,16,12,0,0,0,0,0,1,0,1,1,28,15,0,3,0,0,0,0,0,0,0,76,153
6,Manipur,Tamenglong,6,5,0,0,0,0,0,1,0,4,7,4,0,0,3,0,2,0,0,0,0,0,11,43
7,Manipur,Thoubal,40,10,0,5,15,15,0,0,0,8,9,30,16,0,5,1,11,68,0,2,0,2,266,488
8,Manipur,Ukhrul,10,7,1,1,0,0,0,0,0,3,3,6,3,0,5,0,1,6,0,0,0,0,37,83
Manipur,Manipur,Total,194,136,4,14,79,59,20,18,0,36,97,269,73,12,38,4,120,255,0,19,0,2,1203,2573
1,Meghalaya,Garo Hills East,10,0,0,1,0,0,0,7,0,5,20,33,1,0,0,1,3,7,0,2,0,0,46,136
2,Meghalaya,Garo Hills South,2,0,0,0,1,0,1,4,0,1,8,10,5,0,0,0,0,0,0,0,0,0,16,47
3,Meghalaya,Garo Hills West,10,0,0,12,6,6,0,19,0,11,33,107,24,1,3,1,6,38,0,8,1,0,122,402
4,Meghalaya,Jaintia Hills,33,2,0,3,5,0,5,15,0,7,8,40,0,7,1,0,5,26,1,8,0,0,68,229
5,Meghalaya,Khasi Hills East,49,10,2,10,8,5,3,31,0,58,105,184,12,8,26,0,8,30,0,5,0,0,213,759
6,Meghalaya,Khasi Hills West,18,6,1,5,1,0,1,10,0,13,8,27,1,0,3,0,0,2,0,0,0,0,39,134
7,Meghalaya,Ri-Bhoi,17,1,1,2,3,2,1,8,0,10,8,31,1,2,0,0,3,50,0,1,0,0,18,156
Meghalaya,Meghalaya,Total,139,19,4,33,24,13,11,94,0,105,190,432,44,18,33,2,25,153,1,24,1,0,522,1863
1,Mizoram,Aizawl,29,16,7,41,7,0,7,5,0,19,286,834,0,44,60,10,21,80,0,40,0,0,327,1826
2,Mizoram,Chhimtuipui,8,0,0,2,0,0,0,1,0,3,30,64,0,4,6,0,4,20,0,5,0,0,85,232
3,Mizoram,Lunglei,6,2,1,6,0,0,0,0,0,0,31,69,0,3,6,0,7,14,0,9,0,0,29,183
Mizoram,Mizoram,Total,43,18,8,49,7,0,7,6,0,22,347,967,0,51,72,10,32,114,0,54,0,0,441,2241
1,Nagaland,Dimapur,99,19,0,4,22,13,9,13,0,50,54,112,4,13,20,1,3,10,0,3,0,2,133,562
2,Nagaland,Kiphere,4,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,23
3,Nagaland,Kohima,31,10,6,3,13,8,5,1,0,10,31,35,0,5,11,0,0,2,0,1,0,0,61,220
4,Nagaland,Mokokchung,18,0,1,0,3,1,2,2,0,3,12,10,0,1,5,0,2,12,0,0,0,0,33,102
5,Nagaland,Mon,4,2,0,0,0,0,0,1,0,1,11,10,0,1,4,0,0,5,0,0,1,0,19,59
6,Nagaland,Peren,4,2,0,0,1,1,0,0,0,2,3,5,0,1,1,0,0,0,0,0,0,0,5,24
7,Nagaland,Phek,14,2,0,1,1,0,1,1,0,8,10,5,1,0,0,0,0,4,0,0,0,0,10,57
8,Nagaland,Tuensang,10,7,0,0,7,3,4,4,0,18,12,4,6,2,1,0,1,4,0,0,0,0,51,127
9,Nagaland,Wokha,15,5,1,0,2,1,1,2,0,3,21,23,0,0,2,0,0,6,0,0,0,0,53,133
10,Nagaland,Zunheboto,4,1,0,1,0,0,0,1,0,1,20,7,0,0,1,0,0,0,0,0,0,0,35,71
Nagaland,Nagaland,Total,203,48,8,9,49,27,22,28,0,96,180,211,11,23,45,1,6,43,0,4,1,2,410,1378
1,Orissa,Angul,30,45,3,8,11,11,0,16,0,33,131,244,55,6,8,0,19,167,6,68,0,22,511,1383
2,Orissa,Balasore,28,48,5,53,32,31,1,14,0,34,285,346,101,15,22,0,32,19,10,70,0,83,1477,2674
3,Orissa,Baragarh,23,21,5,17,7,7,0,2,0,26,105,117,74,7,17,0,18,29,5,32,3,14,711,1233
4,Orissa,Berhampur,20,42,1,5,8,8,0,4,3,56,117,220,57,2,35,0,7,163,2,64,10,2,626,1444
5,Orissa,Bhadrak,38,37,4,15,27,27,0,12,0,30,125,142,50,9,12,0,27,130,4,41,0,26,790,1519
6,Orissa,Bolangir,34,16,2,21,7,7,0,1,0,25,125,123,38,10,5,0,3,140,0,5,0,0,571,1126
7,Orissa,Boudh,13,13,7,12,3,3,0,2,0,7,29,43,28,3,2,0,6,10,1,26,0,19,295,519
8,Orissa,Cuttack,63,162,4,39,48,48,0,50,1,137,485,1242,174,46,77,0,74,576,26,157,25,100,2118,5604
9,Orissa,Deogarh,12,4,0,6,5,5,0,5,0,4,18,34,6,2,1,0,4,37,0,17,5,0,162,322
10,Orissa,Dhenkanal,28,25,2,3,9,9,0,9,0,35,101,177,47,3,19,0,28,124,10,43,8,34,615,1320
11,Orissa,Gajapati,21,4,1,4,3,3,0,2,0,5,18,45,38,7,2,0,4,158,1,14,0,0,188,515
12,Orissa,Ganjam,68,48,2,7,19,11,8,8,0,47,155,229,67,10,8,1,37,313,17,88,8,44,1098,2274
13,Orissa,jagatsinghpur,12,47,0,20,11,11,0,5,0,41,142,159,27,9,16,0,26,70,9,84,3,41,774,1496
14,Orissa,Jajpur,7,59,5,11,24,24,0,13,2,38,173,192,90,11,12,0,15,221,18,58,0,76,770,1795
15,Orissa,Jharsuguda,24,29,1,7,3,3,0,2,0,25,113,118,50,5,3,0,9,185,0,28,4,4,245,856
16,Orissa,Kalahandi,17,22,4,7,5,5,0,7,0,25,99,110,65,11,6,0,7,99,0,46,0,0,680,1210
17,Orissa,Kandhamal,18,18,1,24,10,8,2,4,0,13,89,127,24,27,13,0,12,38,1,54,6,18,530,1027
18,Orissa,Kendrapara,21,48,0,16,17,16,1,12,1,25,126,163,33,6,8,0,32,58,16,45,1,37,560,1225
19,Orissa,Keonjhar,61,75,0,61,33,33,0,5,0,26,116,173,86,18,20,0,22,56,7,109,18,33,1205,2124
20,Orissa,Khurda,28,90,1,22,62,45,17,24,1,135,598,1059,136,60,76,3,31,850,28,150,34,102,1262,4752
21,Orissa,Koraput,40,48,1,28,8,8,0,10,0,29,111,166,35,11,12,0,0,131,0,62,0,0,1054,1746
22,Orissa,Malkangir,42,26,0,14,8,8,0,3,0,7,45,49,63,3,1,1,0,73,0,5,1,7,188,536
23,Orissa,Mayurbhanj,72,30,2,65,34,34,0,7,0,22,177,308,70,26,22,0,27,37,7,99,0,66,1240,2311
24,Orissa,Nayagarh,32,23,0,11,4,4,0,23,0,12,93,114,47,4,5,0,7,450,0,10,0,0,72,907
25,Orissa,Nowrangpur,16,9,1,10,7,1,6,3,0,11,45,94,31,3,2,0,0,73,0,15,0,0,410,730
26,Orissa,Nuapada,7,4,0,8,7,7,0,1,0,9,24,48,16,3,2,132,5,28,0,21,0,23,172,510
27,Orissa,Puri,23,98,20,18,27,27,0,28,0,13,194,341,81,25,29,0,46,129,0,60,25,60,1015,2232
28,Orissa,Rayagada,37,12,0,20,8,8,0,3,0,10,52,90,82,6,8,0,5,65,6,40,1,21,434,900
29,Orissa,Rourkela,25,21,0,15,8,5,3,2,0,15,127,269,15,10,31,0,1,157,2,36,6,4,719,1463
30,Orissa,Sambalpur,29,55,20,18,11,11,0,13,0,49,194,290,89,8,12,0,19,105,1,75,9,11,875,1883
31,Orissa,Sonepur,10,11,0,8,5,5,0,1,0,10,44,68,40,13,3,0,3,143,1,20,1,3,157,541
32,Orissa,Sundargarh,99,55,13,37,14,14,0,6,0,21,112,188,56,6,2,0,4,230,0,43,6,11,624,1527
33,Orissa,SRP(Cuttack),3,3,2,6,2,2,0,2,1,3,20,308,17,4,7,0,0,19,0,3,1,0,96,497
34,Orissa,SRP(Rourkela),7,5,0,1,2,2,0,6,0,12,31,242,4,2,2,0,0,24,0,2,0,0,78,418
Orissa,Orissa,Total,1008,1253,107,617,489,451,38,305,9,990,4419,7638,1892,391,500,138,530,5107,178,1690,175,861,22322,50619
1,Punjab,Amritsar,37,11,2,6,25,18,7,0,1,4,122,148,0,18,33,4,1,86,9,3,0,31,297,838
2,Punjab,Barnala,11,6,0,2,2,1,1,0,0,0,11,16,0,12,20,0,0,23,6,0,0,0,104,213
3,Punjab,Batala,20,13,2,8,14,4,10,0,0,1,28,30,0,7,25,0,0,69,7,7,0,8,115,354
4,Punjab,Bhatinda,27,14,3,7,2,1,1,0,1,1,60,29,0,5,24,0,0,142,7,8,0,8,131,469
5,Punjab,Faridkot,16,6,1,1,2,1,1,0,0,0,20,37,0,4,12,0,0,99,4,3,0,0,83,288
6,Punjab,Fatehgarh Sahib,18,4,1,4,3,2,1,0,0,1,13,30,0,6,19,0,0,40,3,0,0,9,182,333
7,Punjab,Ferozepur,53,30,16,20,25,16,9,2,0,1,80,96,3,22,43,0,8,342,10,13,0,11,205,980
8,Punjab,Gurdaspur,19,9,2,6,10,5,5,0,0,1,37,37,0,5,9,0,6,68,11,5,0,1,161,387
9,Punjab,Hoshiarpur,42,16,6,24,28,12,16,5,0,15,134,190,2,10,135,1,15,309,9,23,0,37,411,1412
10,Punjab,Jagraon,20,7,1,5,4,1,3,2,0,2,20,31,0,7,15,0,0,84,5,1,0,5,164,373
