Si. No.,Category,States/ UTs/Cities,Murder (Sec.302 IPC) - (I),Murder (Sec.302 IPC) - (R),Attempt to Commit Murder (Sec. 307 IPC) - (I),Attempt to Commit Murder (Sec. 307 IPC) - ( R),"C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - (I)","C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - (R)",Rape (Sec. 376 IPC) - Total - (I),Rape (Sec. 376 IPC) - Total - ( R),Rape (Sec. 376 IPC) - Custodial - (I),Rape (Sec. 376 IPC) - Custodial - (R),Rape (Sec. 376 IPC) - Others - (I),Rape (Sec. 376 IPC) - Others - ( R),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - ( R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - ( R)",Dacoity (Sec. 395-398 IPC) - (I),Dacoity (Sec. 395-398 IPC) - (R),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - (I),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - (R),"Robbery (Sec. 392-394,397,398 IPC) - (I)","Robbery (Sec. 392-394,397,398 IPC) - (R)","Burglary (Sec. 449-452,454,455, 457-460 IPC) - (I)","Burglary (Sec. 449-452,454,455, 457-460 IPC) - (R)",Theft (Sec.379-382 IPC) - Total - (I),Theft (Sec.379-382 IPC) - Total - ( R),Theft (Sec.379-382 IPC) - Auto Theft - (I),Theft (Sec.379-382 IPC) - Auto Theft - (R),Theft (Sec.379-382 IPC) - Other Theft - (I),Theft (Sec.379-382 IPC) - Other Theft - (R),"Riots (Sec. 143-145,147-151,153,153A,153B,157,158,160 IPC) - (I)","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - (R)",Criminal Breach of Trust (Sec. 406-409 IPC) - (I),Criminal Breach of Trust (Sec. 406-409 IPC) - (R),"Cheating (Sec. 419,420 IPC) - (I)","Cheating (Sec. 419,420 IPC) - (R)","Counterfeiting (Sec. 231-254,489A, 489D IPC) - (I)","Counterfeiting (Sec. 231-254,489A, 489D IPC) - (R)","Arson (Sec. 435,436,438 IPC) - (I)","Arson (Sec. 435,436,438 IPC) - (R)","Hurt (Sec.323-333,335-338 IPC) - (I)","Hurt (Sec.323-333,335-338 IPC) - (R)",Dowry Deaths (Sec.304B IPC) - (I),Dowry Deaths (Sec.304B IPC) - (R),Molestation (Sec.354 IPC) - (I),Molestation (Sec.354 IPC) - (R),Sexual Harassment (Sec.509 IPC) - (I),Sexual Harassment (Sec.509 IPC) - (R),Cruelty by Husband and Relatives (Sec. 498A IPC) - (I),Cruelty by Husband and Relatives (Sec. 498A IPC) - (R),Importation of Girls (Sec. 366B IPC) - (I),Importation of Girls (Sec. 366B IPC) - (R),Causing Death by Negligence (Sec. 304A IPC) - (I),Causing Death by Negligence (Sec. 304A IPC) - (R),Other IPC Crimes - (I),Other IPC Crimes - (R),Total Cognizable Crimes Under IPC - (I),Total Cognizable Crimes Under IPC - (R)
54,City,Kochi,12,0.9,12,0.9,1,0.1,20,1.5,0,0,20,1.5,11,0.8,5,0.4,6,0.4,5,0.4,6,0.4,28,2.1,67,4.9,322,23.8,119,8.8,203,15,92,6.8,7,0.5,277,20.4,0,0,6,0.4,313,23.1,1,0.1,49,3.6,14,1,95,7,0,0,2,0.1,7417,547.4,8757,646.3
55,City,Kolkata,41,0.3,71,0.5,42,0.3,42,0.3,0,0,42,0.3,129,1,107,0.8,22,0.2,2,0,36,0.3,40,0.3,90,0.7,3078,23.3,433,3.3,2645,20,253,1.9,280,2.1,1433,10.8,37,0.3,0,0,1866,14.1,10,0.1,201,1.5,90,0.7,411,3.1,4,0,424,3.2,5035,38.1,13615,103
56,City,Lucknow,82,3.6,68,3,13,0.6,30,1.3,0,0,30,1.3,256,11.3,239,10.5,17,0.7,11,0.5,1,0,91,4,549,24.2,2314,102.1,1250,55.1,1064,46.9,179,7.9,448,19.8,833,36.7,19,0.8,0,0,36,1.6,29,1.3,147,6.5,240,10.6,572,25.2,0,0,288,12.7,4276,188.6,10482,462.4
57,City,Ludhiana,57,4.1,99,7.1,11,0.8,38,2.7,0,0,38,2.7,86,6.2,65,4.7,21,1.5,3,0.2,9,0.6,16,1.1,180,12.9,616,44.2,323,23.2,293,21,0,0,21,1.5,280,20.1,3,0.2,3,0.2,239,17.1,9,0.6,31,2.2,9,0.6,89,6.4,0,0,209,15,880,63.1,2888,207
58,City,Madurai,38,3.2,40,3.3,0,0,3,0.3,0,0,3,0.3,25,2.1,10,0.8,15,1.3,6,0.5,1,0.1,34,2.8,85,7.1,530,44.4,174,14.6,356,29.8,22,1.8,8,0.7,143,12,23,1.9,16,1.3,124,10.4,4,0.3,7,0.6,19,1.6,67,5.6,0,0,125,10.5,1680,140.6,3000,251
59,City,Meerut,47,4,36,3.1,15,1.3,15,1.3,0,0,15,1.3,83,7.1,79,6.8,4,0.3,3,0.3,1,0.1,33,2.8,70,6,765,65.6,555,47.6,210,18,51,4.4,51,4.4,157,13.5,22,1.9,0,0,11,0.9,19,1.6,25,2.1,80,6.9,205,17.6,0,0,168,14.4,574,49.2,2431,208.3
60,City,Mumbai,217,1.3,160,1,6,0,182,1.1,0,0,182,1.1,149,0.9,86,0.5,63,0.4,39,0.2,34,0.2,316,1.9,2769,16.9,12009,73.4,4183,25.6,7826,47.8,305,1.9,511,3.1,2132,13,129,0.8,14,0.1,3892,23.8,15,0.1,400,2.4,101,0.6,434,2.7,0,0,710,4.3,6738,41.2,31262,191
61,City,Nagpur,95,4.5,72,3.4,2,0.1,45,2.1,0,0,45,2.1,73,3.4,52,2.4,21,1,18,0.8,17,0.8,317,14.9,724,34.1,1733,81.6,831,39.1,902,42.5,209,9.8,68,3.2,302,14.2,19,0.9,16,0.8,791,37.3,7,0.3,60,2.8,39,1.8,232,10.9,0,0,260,12.2,2686,126.5,7785,366.7
62,City,Nasik,41,3.6,28,2.4,2,0.2,24,2.1,0,0,24,2.1,24,2.1,16,1.4,8,0.7,22,1.9,2,0.2,79,6.9,621,53.9,1705,148,850,73.8,855,74.2,137,11.9,21,1.8,173,15,12,1,22,1.9,247,21.4,5,0.4,49,4.3,20,1.7,131,11.4,0,0,333,28.9,520,45.1,4218,366.1
63,City,Patna,137,8,72,4.2,1,0.1,24,1.4,0,0,24,1.4,242,14.2,102,6,140,8.2,16,0.9,1,0.1,179,10.5,537,31.5,2247,131.6,1197,70.1,1050,61.5,227,13.3,12,0.7,225,13.2,13,0.8,4,0.2,87,5.1,27,1.6,8,0.5,0,0,205,12,0,0,114,6.7,4428,259.4,8806,515.9
64,City,Pune,119,3.2,120,3.2,9,0.2,67,1.8,0,0,67,1.8,105,2.8,84,2.2,21,0.6,36,1,52,1.4,513,13.7,1305,34.7,5181,137.9,3261,86.8,1920,51.1,468,12.5,76,2,613,16.3,58,1.5,19,0.5,1215,32.3,7,0.2,100,2.7,72,1.9,235,6.3,0,0,539,14.4,2939,78.2,13848,368.7
65,City,Rajkot,35,3.5,26,2.6,1,0.1,8,0.8,0,0,8,0.8,47,4.7,38,3.8,9,0.9,9,0.9,0,0,41,4.1,233,23.3,1154,115.2,753,75.1,401,40,68,6.8,52,5.2,40,4,19,1.9,10,1,407,40.6,1,0.1,19,1.9,8,0.8,271,27,0,0,107,10.7,1919,191.5,4475,446.6
66,City,Surat,101,3.6,15,0.5,2,0.1,28,1,0,0,28,1,119,4.2,74,2.6,45,1.6,20,0.7,3,0.1,80,2.8,439,15.6,2220,79,1474,52.4,746,26.5,83,3,30,1.1,171,6.1,32,1.1,5,0.2,623,22.2,9,0.3,34,1.2,2,0.1,351,12.5,0,0,473,16.8,2724,96.9,7564,269.1
67,City,Vadodara,24,1.6,25,1.7,0,0,6,0.4,0,0,6,0.4,33,2.2,28,1.9,5,0.3,5,0.3,0,0,21,1.4,276,18.5,1426,95.6,939,62.9,487,32.6,134,9,32,2.1,92,6.2,7,0.5,2,0.1,253,17,0,0,17,1.1,0,0,178,11.9,0,0,125,8.4,2404,161.1,5060,339.1
68,City,Varanasi,20,1.7,30,2.5,5,0.4,5,0.4,0,0,5,0.4,25,2.1,23,1.9,2,0.2,0,0,0,0,12,1,94,7.8,646,53.3,508,41.9,138,11.4,25,2.1,76,6.3,186,15.3,13,1.1,2,0.2,77,6.4,12,1,4,0.3,59,4.9,36,3,0,0,90,7.4,837,69.1,2254,186
69,City,Vijayawada,34,3.4,54,5.3,1,0.1,23,2.3,0,0,23,2.3,63,6.2,53,5.2,10,1,0,0,0,0,22,2.2,176,17.4,1137,112.5,439,43.4,698,69,8,0.8,23,2.3,306,30.3,38,3.8,16,1.6,1547,153,17,1.7,177,17.5,198,19.6,433,42.8,0,0,290,28.7,617,61,5180,512.4
70,City,Vishakhapatnam,28,2.1,25,1.9,4,0.3,39,2.9,0,0,39,2.9,48,3.6,26,2,22,1.7,1,0.1,0,0,21,1.6,311,23.4,1040,78.3,420,31.6,620,46.7,12,0.9,62,4.7,270,20.3,19,1.4,13,1,473,35.6,13,1,95,7.1,54,4.1,481,36.2,0,0,428,32.2,1979,148.9,5416,407.5
City,City,Total (Cities),2915,2.7,2890,2.7,333,0.3,1696,1.6,0,0,1696,1.6,5374,5,3544,3.3,1830,1.7,374,0.3,639,0.6,5159,4.8,18065,16.7,103051,95.5,57038,52.9,46013,42.7,4211,3.9,3635,3.4,19597,18.2,837,0.8,270,0.3,29262,27.1,684,0.6,3477,3.2,1657,1.5,11422,10.6,4,0,9604,8.9,118593,109.9,343749,318.6
