Sr. No.,Category,Sub Category,States/UTs/District,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting to Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395 to 398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397 & 398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) - Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
11,State,Gujarat,Jamnagar,32,19,0,17,0,17,24,20,4,1,4,11,142,363,157,206,72,33,19,11,2,412,1,18,3,241,0,0,3269,4694
12,State,Gujarat,Junagadh,48,28,0,14,0,14,69,60,9,6,0,45,222,682,305,377,90,56,36,19,21,515,1,48,10,473,0,225,2913,5521
13,State,Gujarat,Kheda North,23,12,0,15,0,15,34,31,3,11,0,14,101,290,101,189,44,28,27,7,12,276,0,27,0,102,0,223,2922,4168
14,State,Gujarat,Kutch,35,20,0,10,0,10,39,34,5,2,0,15,162,423,249,174,59,32,30,7,3,363,0,27,2,242,0,306,2192,3969
15,State,Gujarat,Mehsana,29,21,0,10,0,10,55,50,5,10,0,20,137,608,207,401,55,62,20,1,6,287,0,23,1,154,0,192,2981,4672
16,State,Gujarat,Narmada,13,3,1,6,0,6,3,3,0,2,0,1,16,32,14,18,9,9,2,0,1,83,0,6,0,10,0,74,484,755
17,State,Gujarat,Navsari,18,5,0,4,0,4,1,1,0,2,0,7,32,77,51,26,6,21,10,7,4,35,0,0,1,31,0,0,609,870
18,State,Gujarat,Palanpur,38,16,0,26,0,26,89,87,2,12,0,40,214,462,185,277,69,28,41,11,18,1116,0,55,1,217,0,203,1669,4325
19,State,Gujarat,Panchmahal,35,16,0,15,0,15,52,51,1,15,0,17,117,278,124,154,39,41,18,0,26,324,0,27,3,147,0,0,2290,3460
20,State,Gujarat,Patan,21,11,1,19,0,19,21,20,1,9,0,18,79,331,126,205,38,15,15,6,8,308,0,43,0,136,0,136,1349,2564
21,State,Gujarat,Porbandar,11,7,0,3,0,3,18,17,1,0,0,4,44,76,30,46,11,19,6,2,2,97,0,2,2,53,0,63,553,973
22,State,Gujarat,Rajkot Commr.,35,26,1,8,0,8,47,38,9,9,0,41,233,1154,753,401,68,52,40,19,10,407,1,19,8,271,0,107,1919,4475
23,State,Gujarat,Rajkot Rural,41,28,4,28,0,28,57,52,5,7,0,19,166,369,215,154,45,50,15,7,14,224,5,32,3,279,0,328,2548,4269
24,State,Gujarat,Surat Commr.,101,15,2,28,0,28,119,74,45,20,3,80,439,2220,1474,746,83,30,171,32,5,623,9,34,2,351,0,473,2724,7564
25,State,Gujarat,Surat Rural,39,5,0,10,0,10,12,12,0,6,0,8,30,111,68,43,12,18,15,1,3,135,0,4,0,21,0,348,668,1446
26,State,Gujarat,Surendranagar,40,10,1,18,0,18,58,54,4,4,0,13,87,210,105,105,48,62,13,11,2,401,0,39,3,120,0,246,1565,2951
27,State,Gujarat,Tapi,15,0,0,7,0,7,4,4,0,0,0,5,15,56,24,32,5,6,6,2,1,86,0,0,0,7,0,109,339,663
28,State,Gujarat,Vadodara Commr.,24,25,0,6,0,6,33,28,5,5,0,21,276,1426,939,487,134,32,92,7,2,253,0,17,0,178,0,125,2404,5060
29,State,Gujarat,Vadodara Rural,52,14,4,23,0,23,69,66,3,9,0,11,61,267,109,158,42,44,8,8,8,304,0,35,0,75,0,347,1455,2836
30,State,Gujarat,Valsad,22,2,0,10,0,10,12,12,0,5,1,7,115,266,169,97,12,17,41,3,2,128,0,5,0,27,0,0,1102,1777
31,State,Gujarat,W.rly,16,1,0,1,0,1,1,1,0,5,0,8,7,599,55,544,7,3,1,1,0,43,0,5,2,3,0,6,153,862
Total,Total,Total,Total,1020,468,30,433,0,433,1348,1162,186,246,11,1420,4488,19669,11130,8539,1539,1256,1014,238,240,9456,24,727,114,5506,0,5178,60758,115183
1,State,Haryana,Ambala,35,18,1,28,0,28,20,16,4,5,2,21,244,421,260,161,3,22,106,2,7,190,14,18,17,155,0,7,1009,2345
2,State,Haryana,Bhiwani,48,40,6,37,0,37,74,53,21,5,0,23,176,460,295,165,172,15,91,2,16,250,17,37,21,88,0,10,1144,2732
3,State,Haryana,Faridabad,60,47,8,35,0,35,86,62,24,5,42,23,258,1136,887,249,129,132,44,3,4,175,17,26,4,179,0,243,1753,4409
4,State,Haryana,Fatehabad,33,14,3,9,0,9,47,34,13,1,2,7,107,272,161,111,17,4,35,1,4,159,12,10,7,80,0,8,795,1627
5,State,Haryana,Grp,25,7,1,3,0,3,3,1,2,5,2,18,0,467,104,363,10,1,11,0,0,15,10,2,216,1,0,23,444,1264
6,State,Haryana,Gurgaon,84,38,3,29,0,29,59,42,17,16,45,127,556,2469,1889,580,89,82,250,6,14,160,24,21,40,128,0,25,2075,6340
7,State,Haryana,Hissar,56,60,4,33,0,33,42,26,16,7,43,43,216,590,385,205,43,20,107,4,9,372,15,27,14,208,0,4,1429,3346
8,State,Haryana,Jhajjar,66,36,8,20,0,20,27,15,12,7,1,30,145,356,223,133,58,24,33,0,9,124,13,20,20,78,0,185,537,1797
9,State,Haryana,Jind,47,39,1,35,0,35,46,30,16,7,3,29,281,431,262,169,119,54,61,2,6,140,11,33,49,97,0,2,880,2373
10,State,Haryana,Kaithal,21,19,3,24,0,24,19,16,3,4,10,22,124,285,173,112,0,81,15,0,2,184,13,20,0,187,0,12,699,1744
11,State,Haryana,Karnal,27,46,2,48,0,48,51,40,11,11,11,22,263,661,392,269,48,17,133,1,14,328,17,32,21,225,0,246,1127,3351
12,State,Haryana,Kurukshetra,29,20,1,43,0,43,57,47,10,13,5,34,214,590,309,281,0,89,25,0,7,167,5,20,29,101,0,5,1031,2485
13,State,Haryana,Mahendragarh,28,7,3,10,0,10,21,19,2,6,3,12,113,170,75,95,77,35,9,2,5,167,10,13,0,58,0,8,956,1713
14,State,Haryana,Mewat,18,23,2,16,0,16,24,12,12,11,24,16,32,264,168,96,92,20,62,1,0,99,5,11,3,181,0,2,698,1604
15,State,Haryana,Palwal,39,38,6,33,0,33,35,25,10,10,25,21,56,558,378,180,134,44,32,0,8,189,12,23,0,88,0,7,979,2337
16,State,Haryana,Panchkula,14,6,1,18,0,18,17,10,7,8,11,23,181,379,212,167,2,19,70,3,0,45,1,12,0,72,0,1,671,1554
17,State,Haryana,Panipat,64,30,9,45,0,45,51,31,20,2,13,32,189,758,540,218,34,55,14,0,8,168,19,26,44,117,0,267,867,2812
18,State,Haryana,Rewari,34,23,3,19,0,19,36,29,7,4,5,27,131,380,244,136,36,41,21,1,7,166,14,19,20,55,0,4,1079,2125
19,State,Haryana,Rohtak,65,61,6,36,0,36,43,30,13,8,31,46,209,685,462,223,68,33,95,1,4,164,18,30,38,113,0,196,888,2838
20,State,Haryana,Sirsa,36,18,2,24,0,24,43,28,15,1,1,14,134,319,195,124,29,13,29,1,5,277,6,10,0,97,0,4,659,1722
21,State,Haryana,Sonipat,83,70,3,32,0,32,57,42,15,12,15,69,257,774,491,283,5,18,109,1,17,239,17,21,46,129,0,286,1169,3429
22,State,Haryana,Yamunanagar,36,30,2,26,0,26,58,51,7,5,3,20,191,492,344,148,1,8,54,4,7,199,11,20,16,180,0,4,915,2282
Total,Total,Total,Total,948,690,78,603,0,603,916,659,257,153,297,679,4077,12917,8449,4468,1166,827,1406,35,153,3977,281,451,605,2617,0,1549,21804,56229
1,State,Himachal Pradesh,Baddipolicedist,10,1,0,2,0,2,3,1,2,0,0,3,26,28,15,13,28,7,3,0,1,133,0,5,0,9,0,43,121,423
2,State,Himachal Pradesh,Bilaspur,8,6,2,14,0,14,6,5,1,1,0,1,37,47,17,30,41,8,20,0,7,45,1,28,4,21,0,40,726,1063
3,State,Himachal Pradesh,Chamba,8,3,3,20,0,20,16,15,1,0,0,1,95,23,3,20,28,2,4,0,6,46,0,29,0,14,0,54,359,711
4,State,Himachal Pradesh,Cid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
5,State,Himachal Pradesh,G.R.P.,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,2,9
6,State,Himachal Pradesh,Hamirpur,6,4,1,9,0,9,16,14,2,0,0,1,35,42,18,24,30,7,27,0,13,199,0,22,5,30,0,31,458,936
7,State,Himachal Pradesh,Kangra,29,17,2,23,0,23,24,22,2,1,0,0,152,136,45,91,92,7,63,0,27,224,0,49,5,49,0,10,1576,2486
8,State,Himachal Pradesh,Kinnaur,2,1,0,6,0,6,2,1,1,0,0,0,14,5,0,5,8,2,2,0,1,14,0,3,0,2,0,40,101,203
9,State,Himachal Pradesh,Kullu,7,6,1,24,0,24,12,10,2,0,0,3,49,58,17,41,29,2,20,0,5,39,0,23,1,16,0,60,606,961
10,State,Himachal Pradesh,Lahaul- Spiti,1,0,0,1,0,1,0,0,0,0,0,0,0,4,1,3,1,0,0,0,1,1,0,0,2,2,0,7,44,64
11,State,Himachal Pradesh,Mandi,9,7,1,22,0,22,14,11,3,1,0,2,75,61,22,39,82,8,34,0,16,145,0,59,5,29,0,65,1302,1937
12,State,Himachal Pradesh,Shimla,18,12,2,28,0,28,28,22,6,0,0,0,112,200,85,115,99,29,32,0,28,55,0,32,5,39,0,109,935,1763
13,State,Himachal Pradesh,Sirmaur,7,5,0,15,0,15,10,9,1,0,0,5,73,60,30,30,68,13,25,0,4,58,0,34,2,28,0,65,437,909
14,State,Himachal Pradesh,Solan,7,4,0,8,0,8,9,6,3,1,0,1,67,83,58,25,45,12,10,0,6,182,0,13,2,15,0,43,346,854
15,State,Himachal Pradesh,Una,11,7,1,11,0,11,10,6,4,0,0,4,49,74,16,58,38,20,22,2,9,89,0,21,6,30,0,49,541,994
Total,Total,Total,Total,125,73,13,183,0,183,150,122,28,4,0,21,784,823,327,496,591,117,264,2,124,1230,1,318,37,284,0,616,7555,13315
1,State,Jammu & Kashmir,Anantnag,6,19,0,8,0,8,81,81,0,0,0,7,132,182,36,146,136,7,34,2,13,8,0,84,38,4,0,34,598,1393
2,State,Jammu & Kashmir,Awantipora,5,3,0,5,0,5,11,11,0,0,0,4,17,50,5,45,21,2,8,0,0,0,0,17,0,0,0,25,304,472
3,State,Jammu & Kashmir,Bandipora,5,3,1,4,0,4,54,49,5,0,0,3,38,54,5,49,49,0,9,1,8,0,0,66,11,0,0,0,159,465
4,State,Jammu & Kashmir,Baramulla,20,54,0,14,0,14,86,80,6,0,0,7,169,222,24,198,138,6,31,5,38,8,0,127,25,0,0,0,630,1580
5,State,Jammu & Kashmir,Budgam,3,28,2,10,0,10,76,71,5,0,0,11,85,265,21,244,182,7,23,5,9,2,0,105,34,1,0,12,509,1369
6,State,Jammu & Kashmir,Crime Jammu,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,17
7,State,Jammu & Kashmir,Crime Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,1,0,0,0,0,0,0,0,0,0,32
8,State,Jammu & Kashmir,Doda,18,43,1,18,0,18,39,38,1,0,0,1,49,31,0,31,15,6,6,0,6,16,0,21,10,19,0,9,413,721
9,State,Jammu & Kashmir,Ganderbal,4,1,0,7,0,7,26,25,1,0,0,1,28,57,3,54,52,5,12,2,3,4,0,45,2,3,0,102,92,446
10,State,Jammu & Kashmir,Handwara,6,22,0,5,0,5,17,16,1,0,0,0,25,33,2,31,14,1,16,1,9,2,0,46,5,0,0,0,179,381
11,State,Jammu & Kashmir,Jammu,18,77,3,29,0,29,69,66,3,1,0,5,280,603,349,254,82,25,102,3,25,36,10,29,59,62,0,172,2056,3746
12,State,Jammu & Kashmir,Kargil,0,0,0,1,0,1,1,1,0,0,0,0,7,6,0,6,3,0,2,0,1,0,0,1,0,0,0,9,73,104
13,State,Jammu & Kashmir,Kathua,10,19,0,9,0,9,25,23,2,0,0,0,47,51,18,33,39,7,8,0,10,13,1,16,8,4,0,2,732,1001
14,State,Jammu & Kashmir,Kishtwar,10,26,1,3,0,3,23,23,0,0,0,0,23,24,0,24,1,8,3,2,3,1,0,3,5,5,0,2,133,276
15,State,Jammu & Kashmir,Kulgam,10,8,0,9,0,9,52,50,2,0,0,5,52,73,13,60,79,5,25,1,14,54,0,73,9,0,0,33,218,720
16,State,Jammu & Kashmir,Kupwara,10,37,0,6,0,6,24,22,2,0,0,1,57,31,7,24,50,3,4,1,5,4,0,20,7,3,0,11,143,417
17,State,Jammu & Kashmir,Leh,4,1,0,2,0,2,1,1,0,0,0,1,14,10,1,9,2,1,3,0,0,3,0,3,0,0,0,0,123,168
18,State,Jammu & Kashmir,Poonch,17,33,1,12,0,12,21,19,2,0,0,0,25,42,1,41,107,3,10,2,0,60,0,29,1,17,0,2,376,758
19,State,Jammu & Kashmir,Pulwama,4,6,2,5,0,5,32,25,7,0,0,2,26,84,12,72,81,5,7,1,6,32,0,18,7,0,0,6,109,433
20,State,Jammu & Kashmir,Railways,1,1,0,0,0,0,0,0,0,0,0,0,0,14,1,13,0,0,1,0,0,0,0,0,2,0,0,0,8,27
21,State,Jammu & Kashmir,Railways,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,10
22,State,Jammu & Kashmir,Rajouri,11,19,7,22,0,22,35,33,2,0,0,0,52,47,7,40,26,9,23,1,16,44,1,25,3,44,0,18,807,1210
23,State,Jammu & Kashmir,Ramban,5,12,0,12,0,12,15,15,0,0,0,0,18,20,6,14,22,2,6,0,5,4,0,8,6,0,0,1,533,669
24,State,Jammu & Kashmir,Reasi,15,25,0,9,0,9,14,13,1,0,0,0,18,51,4,47,3,2,5,0,11,5,0,10,7,0,0,4,338,517
25,State,Jammu & Kashmir,Samba,9,6,0,6,0,6,8,7,1,0,0,0,34,46,17,29,14,1,7,0,6,6,0,4,4,5,0,1,526,683
26,State,Jammu & Kashmir,Shopian,12,18,0,5,0,5,41,41,0,0,0,6,40,83,9,74,73,6,11,2,8,3,0,48,5,0,0,11,118,490
27,State,Jammu & Kashmir,Srinagar,23,70,2,21,0,21,113,106,7,0,0,14,291,505,317,188,266,11,72,7,21,22,0,165,118,27,0,62,1150,2960
28,State,Jammu & Kashmir,Udhampur,10,16,3,15,0,15,9,9,0,0,0,1,38,46,18,28,17,5,6,0,0,4,0,7,5,2,0,1,725,910
Total,Total,Total,Total,237,547,23,237,0,237,873,825,48,1,0,69,1566,2631,876,1755,1472,132,475,37,217,331,12,972,371,196,0,517,11059,21975
1,State,Jharkhand,Bokaro,58,17,2,18,0,18,37,33,4,16,0,33,86,570,135,435,93,67,71,0,7,0,16,2,0,77,0,0,1306,2476
2,State,Jharkhand,Chaibasa,118,42,2,34,0,34,13,13,0,9,0,25,17,138,45,93,22,7,19,0,2,58,6,23,0,37,0,32,208,812
3,State,Jharkhand,Chatra,38,40,4,16,0,16,21,20,1,13,0,9,34,70,13,57,84,2,9,0,2,65,11,0,0,7,0,93,340,858
4,State,Jharkhand,Deoghar,51,57,1,45,0,45,29,15,14,29,2,27,115,270,49,221,115,7,52,0,15,218,18,4,22,36,0,77,398,1588
5,State,Jharkhand,Dhanbad,69,33,11,36,0,36,81,65,16,73,7,49,251,1056,559,497,204,25,62,2,5,164,45,24,3,59,0,1,1527,3787
6,State,Jharkhand,Dhanbad Rly.,7,0,0,0,0,0,3,0,3,9,0,16,4,158,20,138,6,0,3,0,0,0,0,3,0,1,0,0,100,310
7,State,Jharkhand,Dumka,68,8,11,61,0,61,34,21,13,17,0,15,47,188,50,138,87,20,29,0,5,317,5,2,0,56,0,101,448,1519
8,State,Jharkhand,Garhwa,48,31,1,27,0,27,37,31,6,5,1,32,34,88,3,85,199,19,47,0,10,267,12,11,0,35,0,50,367,1321
9,State,Jharkhand,Giridih,86,32,1,28,0,28,36,0,36,40,3,22,61,296,75,221,261,51,23,0,13,143,45,37,51,3,0,51,1281,2564
10,State,Jharkhand,Godda,66,41,0,24,0,24,36,29,7,6,1,19,48,152,36,116,118,12,10,0,8,169,7,20,0,30,0,29,440,1236
11,State,Jharkhand,Gumla,168,37,10,39,0,39,36,14,22,13,0,36,14,106,42,64,52,6,25,1,17,108,1,7,0,12,0,70,168,926
12,State,Jharkhand,Hazaribagh,61,93,4,33,0,33,53,48,5,11,16,34,66,420,119,301,190,20,41,3,15,143,32,9,0,9,0,175,981,2409
13,State,Jharkhand,Jamshedpur,106,216,18,46,0,46,64,40,24,25,1,72,138,1327,705,622,85,59,112,0,17,758,8,33,4,78,1,164,263,3595
14,State,Jharkhand,Jamshedpur Rly.,6,1,0,1,0,1,3,3,0,5,0,10,25,152,7,145,0,0,8,0,0,17,0,1,0,2,0,0,51,282
15,State,Jharkhand,Jamtara,13,35,0,21,0,21,12,0,12,6,0,7,15,62,24,38,32,0,28,1,2,0,10,14,0,14,0,22,155,449
16,State,Jharkhand,Khunti,72,6,1,4,0,4,15,5,10,4,0,13,4,42,7,35,30,1,3,0,0,26,0,2,0,6,1,44,66,340
17,State,Jharkhand,Koderma,28,4,2,6,0,6,14,11,3,8,3,10,21,130,48,82,100,36,53,1,3,5,13,8,2,37,0,65,438,987
18,State,Jharkhand,Latehar,43,19,4,13,0,13,22,15,7,16,3,22,12,58,9,49,34,2,11,0,7,56,6,4,0,2,0,47,277,658
19,State,Jharkhand,Lohardagga,32,8,5,20,0,20,10,5,5,5,3,25,15,63,20,43,13,3,16,1,5,1,1,5,0,14,0,39,188,472
20,State,Jharkhand,Pakur,33,45,5,46,0,46,18,6,12,2,0,1,10,62,13,49,80,2,16,0,2,139,3,12,0,33,0,64,120,693
21,State,Jharkhand,Palamu,79,149,1,37,0,37,61,40,21,25,0,55,69,169,40,129,208,20,49,0,30,240,18,18,0,34,0,75,551,1888
22,State,Jharkhand,Ramgarh,26,6,2,16,0,16,19,18,1,10,7,26,31,247,34,213,49,16,25,0,4,26,12,5,0,20,0,175,294,1016
23,State,Jharkhand,Ranchi,202,211,16,63,0,63,113,42,71,43,5,178,192,1582,829,753,166,67,144,4,23,796,19,12,0,68,4,196,1034,5138
24,State,Jharkhand,Sahebganj,48,77,0,45,0,45,35,27,8,4,0,12,34,93,22,71,48,20,28,2,9,266,4,16,1,33,0,46,114,935
25,State,Jharkhand,Saraikela,47,50,1,23,0,23,15,11,4,11,0,22,42,198,82,116,25,7,17,0,0,108,3,1,0,7,0,62,226,865
26,State,Jharkhand,Simdega,63,16,2,17,0,17,10,5,5,7,1,10,7,19,4,15,11,4,9,0,2,42,0,3,0,0,0,0,89,312
Total,Total,Total,Total,1636,1274,104,719,0,719,827,517,310,412,53,780,1392,7716,2990,4726,2312,473,910,15,203,4132,295,276,83,710,6,1678,11430,37436
1,State,Karnataka,Bagalkot,41,35,2,8,0,8,18,9,9,0,0,9,94,134,62,72,144,7,58,6,6,252,7,59,0,58,0,0,1192,2130
2,State,Karnataka,Bangalore Commr.,256,338,1,65,0,65,270,2,268,41,278,743,1592,11730,7074,4656,337,214,3007,65,8,2653,50,251,35,367,0,87,9992,32380
3,State,Karnataka,Bangalore Rural,87,80,0,14,0,14,23,4,19,26,0,76,272,729,416,313,166,15,182,4,0,563,14,48,0,79,0,0,2006,4384
4,State,Karnataka,Belgaum,106,92,2,39,0,39,60,43,17,16,8,76,342,534,265,269,488,25,242,7,20,1079,10,220,3,311,0,47,3588,7315
5,State,Karnataka,Bellary,44,46,0,11,0,11,25,19,6,4,4,22,149,328,175,153,165,10,65,2,9,403,7,66,0,75,0,27,1747,3209
6,State,Karnataka,Bidar,22,41,2,12,0,12,14,4,10,3,1,22,133,157,57,100,110,12,36,0,14,912,3,38,0,81,0,9,1972,3594
7,State,Karnataka,Bijapur,64,64,2,19,0,19,28,23,5,3,0,18,147,157,81,76,288,8,74,2,14,594,0,73,0,139,0,0,1596,3290
8,State,Karnataka,Cbpura,47,40,7,11,0,11,24,18,6,6,0,12,159,166,64,102,158,4,58,3,0,266,11,43,1,38,0,0,894,1948
9,State,Karnataka,Chamarajnagar,23,19,0,8,0,8,8,7,1,2,0,6,74,150,33,117,95,1,25,2,0,433,6,55,0,44,0,0,710,1661
10,State,Karnataka,Chickmagalur,32,36,2,13,0,13,16,12,4,4,1,14,160,173,62,111,137,6,50,4,6,761,1,64,5,104,0,2,1324,2915
11,State,Karnataka,Chitradurga,43,27,3,26,0,26,24,21,3,4,1,24,107,238,112,126,247,7,40,7,5,870,10,102,0,83,0,0,2254,4122
12,State,Karnataka,Dakshin Kannada,61,64,0,14,0,14,15,5,10,3,0,37,278,304,174,130,232,5,129,6,21,402,1,61,2,69,0,12,2471,4187
13,State,Karnataka,Davanagere,27,24,3,16,0,16,17,15,2,6,1,28,195,298,110,188,278,9,76,4,0,451,12,90,0,112,0,3,1609,3259
14,State,Karnataka,Dharwad Commr.,17,25,0,6,0,6,14,9,5,3,2,54,147,367,238,129,107,11,142,10,3,158,5,12,1,52,0,9,895,2040
15,State,Karnataka,Dharwad Rural,20,23,1,4,0,4,12,1,11,1,0,8,32,54,10,44,112,8,11,0,2,158,3,29,0,31,0,0,769,1278
16,State,Karnataka,Gadag,21,12,0,4,0,4,9,7,2,3,0,5,55,65,28,37,97,5,26,1,6,197,0,44,0,34,0,103,463,1150
17,State,Karnataka,Gulbarga,145,104,1,32,0,32,49,41,8,9,16,77,258,305,131,174,548,15,88,5,57,1383,8,68,0,170,0,22,2624,5984
18,State,Karnataka,Hassan,59,48,2,22,0,22,22,15,7,23,5,54,237,364,164,200,161,9,85,3,0,1189,15,75,0,103,2,0,2664,5142
19,State,Karnataka,Haveri,21,27,2,5,0,5,14,0,14,8,0,16,89,137,66,71,212,7,27,2,0,255,3,50,0,47,0,0,1217,2139
20,State,Karnataka,K.G.F.,12,10,1,9,0,9,14,0,14,0,0,5,67,70,20,50,62,1,23,3,0,228,4,10,0,18,0,42,274,853
21,State,Karnataka,Kodagu,31,23,3,14,0,14,13,8,5,3,0,8,119,94,17,77,41,1,18,1,3,556,5,24,2,46,0,3,818,1826
22,State,Karnataka,Kolar,30,28,0,10,0,10,15,8,7,5,5,15,141,163,78,85,166,4,16,1,0,236,11,17,2,18,0,11,965,1859
23,State,Karnataka,Koppal,22,20,10,14,0,14,13,13,0,5,0,8,93,98,53,45,109,7,40,1,2,186,5,32,0,57,0,0,1194,1916
24,State,Karnataka,Mandya,74,72,3,16,0,16,27,19,8,12,3,45,333,462,222,240,292,8,50,5,34,1085,8,85,0,125,0,0,2752,5491
25,State,Karnataka,Mysore Commr.,34,42,1,14,0,14,21,19,2,12,6,124,151,719,485,234,150,13,128,2,0,270,6,22,0,188,0,0,1280,3183
26,State,Karnataka,Mysore Rural,54,33,0,21,0,21,14,9,5,6,0,28,219,284,70,214,184,5,31,1,0,860,18,89,0,114,0,0,1525,3486
27,State,Karnataka,Raichur,49,27,5,21,0,21,18,18,0,3,1,6,88,106,58,48,227,11,72,5,4,502,9,85,4,141,0,17,1506,2907
28,State,Karnataka,Railways,12,5,0,1,0,1,0,0,0,2,3,47,2,459,8,451,9,0,3,1,0,15,1,2,0,0,0,0,42,604
29,State,Karnataka,Ramanagar,66,62,3,12,0,12,21,13,8,15,2,41,235,519,255,264,240,3,40,4,20,648,11,70,0,62,0,0,2163,4237
30,State,Karnataka,Shimoga,53,54,6,15,0,15,38,27,11,13,1,70,237,441,184,257,342,11,82,5,19,1193,5,137,3,255,0,9,2610,5599
31,State,Karnataka,Tumkur,83,54,9,19,0,19,23,6,17,17,6,59,212,585,258,327,176,9,104,6,19,746,13,85,0,79,0,5,2636,4945
32,State,Karnataka,Udupi,28,12,1,5,0,5,3,3,0,4,2,44,139,113,44,69,104,8,18,3,6,291,0,26,1,22,0,9,1567,2406
33,State,Karnataka,Uttar Kannada,18,20,7,9,0,9,10,10,0,11,0,24,73,73,19,54,85,2,33,0,15,310,2,54,5,63,0,0,1789,2603
Total,Total,Total,Total,1702,1607,79,509,0,509,892,408,484,273,346,1825,6629,20576,11093,9483,6269,461,5079,171,293,20105,264,2186,64,3185,2,417,61108,134042
1,State,Kerala,Alapuzha,20,33,8,26,0,26,14,10,4,7,0,36,220,304,107,197,410,14,231,0,13,1185,1,174,23,217,0,0,4718,7654
2,State,Kerala,Ernakulam Commr.,12,12,1,20,0,20,11,5,6,5,6,28,67,322,119,203,92,7,277,1,6,313,1,49,14,95,0,2,7417,8758
3,State,Kerala,Ernakulam Rural,34,17,5,26,0,26,11,10,1,6,16,54,333,509,125,384,307,16,136,5,10,1093,0,130,24,161,0,3,9454,12350
4,State,Kerala,Idukki,19,16,1,23,0,23,3,1,2,3,0,14,182,231,49,182,209,5,120,2,14,1286,1,130,20,199,0,0,2672,5150
5,State,Kerala,Kannur,14,35,3,37,0,37,10,5,5,14,2,99,184,191,73,118,1016,8,99,4,113,1186,0,131,16,280,0,5,3392,6839
6,State,Kerala,Kasargod,20,31,8,47,0,47,8,3,5,2,2,30,137,144,64,80,636,33,172,1,52,815,0,77,6,190,0,1,1155,3567
7,State,Kerala,Kollam,34,29,15,51,0,51,21,19,2,10,37,33,264,422,187,235,693,31,159,4,22,1911,2,299,11,432,0,3,4889,9372
8,State,Kerala,Kottayam,19,18,2,28,0,28,14,8,6,6,5,49,346,377,86,291,371,31,298,4,18,1663,0,162,34,192,0,0,4211,7848
9,State,Kerala,Kozhikode Commr.,5,10,1,18,0,18,8,3,5,3,27,114,158,325,192,133,330,32,156,5,20,513,2,66,40,167,0,3,2002,4005
10,State,Kerala,Kozhikode Rural,19,25,5,33,0,33,28,22,6,1,2,20,166,175,74,101,744,9,122,1,70,1142,1,137,14,267,0,2,2500,5483
11,State,Kerala,Malappuram,24,31,6,35,0,35,17,10,7,9,13,52,275,358,178,180,521,9,213,14,21,737,0,141,33,545,0,1,3939,6994
12,State,Kerala,Palakkad,36,21,10,49,0,49,13,7,6,6,13,34,215,234,96,138,458,51,241,2,23,1051,3,105,30,315,0,6,5108,8024
13,State,Kerala,Pathanamthitta,15,18,0,24,0,24,11,10,1,2,5,27,162,213,77,136,336,11,102,4,12,991,0,156,19,120,0,3,3188,5419
14,State,Kerala,Railways,1,1,0,0,0,0,0,0,0,0,27,3,1,182,0,182,3,0,3,0,0,20,0,11,6,0,0,0,11,269
15,State,Kerala,Thrissur,23,38,24,32,0,32,19,10,9,7,26,75,211,409,169,240,699,24,392,3,37,993,3,153,29,345,0,7,6582,10131
16,State,Kerala,Trivandrum Commr.,12,32,1,40,0,40,18,13,5,22,58,77,215,621,241,380,518,41,370,6,34,777,1,175,43,106,0,1,2738,5906
17,State,Kerala,Trivandrum Rural,27,34,9,57,0,57,43,32,11,9,23,79,339,445,160,285,581,22,218,9,30,1871,3,382,18,279,0,0,3830,8308
