Sr. No.,Category,States/ UTs,Murder (Sec.302 IPC) - 2008,Murder (Sec.302 IPC) - 2009,Murder (Sec.302 IPC) - % Varitation,Attempt to Commit Murder (Sec. 307 IPC) - 2008,Attempt to Commit Murder (Sec. 307 IPC) - 2009,Attempt to Commit Murder (Sec. 307 IPC) - % Varitation,"C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - 2008","C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - 2009","C.h. Not Amounting to Murder (Sec.304 , 308 IPC) - % Varitation",Rape (Sec. 376 IPC) - Total - 2008,Rape (Sec. 376 IPC) - Total - 2009,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2008,Rape (Sec. 376 IPC) - Custodial - 2009,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Others - 2008,Rape (Sec. 376 IPC) - Others - 2009,Rape (Sec. 376 IPC) - Others - % Variation,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2008","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2008,Dacoity (Sec. 395-398 IPC) - 2009,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2008,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2009,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2008","Robbery (Sec.392-394, 397, 398 IPC) - 2009","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2008","Burglary (Sec.449-452,454,455,457-460 IPC) - 2009","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec.379-382 IPC) - Total - 2008,Theft (Sec.379-382 IPC) - Total - 2009,Theft (Sec.379-382 IPC) - Total - % Variation,Theft (Sec.379-382 IPC) - Auto Theft - 2008,Theft (Sec.379-382 IPC) - Auto Theft - 2009,Theft (Sec.379-382 IPC) - Auto Theft - % Variation,Theft (Sec.379-382 IPC) - Other Theft -2008,Theft (Sec.379-382 IPC) - Other Theft - 2009,Theft (Sec.379-382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2008","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2009","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2008,Criminal Breach of Trust (Sec. 406-409 IPC) - 2009,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2008","Cheating (Sec. 419,420 IPC) - 2009","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2008","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2009","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2008","Arson (Sec.435,436,438 IPC) - 2009","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2008","Hurt (Sec.323-333, 335-338 IPC) - 2009","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2008,Dowry Deaths (Sec.304B IPC) - 2009,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2008,Molestation (Sec.354 IPC) - 2009,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2008,Sexual Harassment (Sec.509 IPC) - 2009,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2008,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2009,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2008,Importation of Girls (Sec. 366B IPC) - 2009,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2008,Causing Death by Negligence (Sec. 304A IPC) - 2009,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2008,Other IPC Crimes - 2009,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2008,Total Cognizable Crimes Under IPC - 2009,Total Cognizable Crimes Under IPC - % Variation,Note of Attempt to Commit Murder (Sec. 307 IPC) - %Varitation,"Note of C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Note of Rape (Sec. 376 IPC) - Custodial - % Variation,Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
28,State,West Bengal,1811,2068,14.2,1732,2119,22.3,488,931,90.8,2263,2336,3.2,0,0,NA,2263,2336,3.2,2332,2750,17.9,1907,2187,14.7,425,563,32.5,184,214,16.3,1055,724,-31.4,613,751,22.5,462,329,-28.8,17334,17133,-1.2,2593,3709,43,14741,13424,-8.9,5425,6700,23.5,876,918,4.8,2938,3298,12.3,148,153,3.4,150,344,129.3,9033,11196,23.9,451,506,12.2,2396,1942,-18.9,94,108,14.9,13663,16112,17.9,5,5,0,3789,3623,-4.4,38177,38776,1.6,105419,113036,7.2,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA
State,State,Total (States),32140,31728,-1.3,28131,28612,1.7,3786,3827,1.1,20953,20874,-0.4,0,2,0,20953,20872,-0.4,28588,31238,9.3,21726,24014,10.5,6862,7224,5.3,4492,4527,0.8,3076,2773,-9.9,19930,21841,9.6,91294,89862,-1.6,294976,299774,1.6,107414,125121,16.5,187562,174653,-6.9,65610,62541,-4.7,16056,15916,-0.9,64775,70434,8.7,2945,2873,-2.4,9171,8665,-5.5,281930,276172,-2,8036,8239,2.5,39688,38044,-4.1,12057,10864,-9.9,79860,88175,10.4,67,48,-28.4,91189,97387,6.8,834733,846741,1.4,2033483,2061155,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Union Territory,Andaman & Nicobar Islands,8,15,87.5,11,4,-63.6,2,4,100,12,18,50,0,0,NA,12,18,50,17,16,-5.9,13,14,7.7,4,2,-50,0,0,0,0,0,0,14,11,-21.4,78,86,10.3,128,134,4.7,11,10,-9.1,117,124,6,16,11,-31.3,12,7,-41.7,19,20,5.3,1,2,100,15,12,-20,107,89,-16.8,2,1,-50,24,30,25,3,7,133.3,26,21,-19.2,0,0,NA,4,2,-50,383,451,17.8,882,941,6.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
30,Union Territory,Chandigarh,17,22,29.4,28,18,-35.7,6,8,33.3,20,29,45,0,0,NA,20,29,45,50,40,-20,42,36,-14.3,8,4,-50,1,4,300,4,3,-25,23,27,17.4,257,241,-6.2,1991,1731,-13.1,1094,1117,2.1,897,614,-31.5,85,66,-22.4,37,38,2.7,213,193,-9.4,0,4,NA,2,4,100,73,63,-13.7,3,2,-33.3,19,26,36.8,2,2,0,49,51,4.1,0,0,NA,11,7,-36.4,1040,976,-6.2,3931,3555,-9.6,NA,NA,@,NA,NA,NA,@,NA,NA,@,NA
31,Union Territory,Dadra Nagar Haveli,9,10,11.1,2,5,150,0,1,NA,6,4,-33.3,0,0,NA,6,4,-33.3,17,12,-29.4,11,9,-18.2,6,3,-50,1,9,800,0,0,0,0,2,NA,49,43,-12.2,54,63,16.7,18,21,16.7,36,42,16.7,24,53,120.8,10,17,70,24,20,-16.7,1,1,0,6,5,-16.7,26,23,-11.5,0,0,0,4,2,-50,0,1,NA,4,3,-25,0,0,NA,10,17,70,154,151,-1.9,401,442,10.2,NA,@,@,NA,NA,@,NA,NA,@,@,NA
32,Union Territory,Daman & Diu,2,5,150,2,4,100,0,1,NA,0,1,@,0,0,NA,0,1,@,4,0,-100,1,0,-100,3,0,-100,2,0,-100,0,0,0,4,4,0,45,33,-26.7,49,41,-16.3,31,27,-12.9,18,14,-22.2,35,29,-17.1,4,8,100,2,4,100,1,3,200,3,3,0,12,14,16.7,0,0,0,2,4,100,1,1,0,5,3,-40,0,0,NA,39,40,2.6,36,78,116.7,248,276,11.3,NA,@,@,NA,NA,NA,NA,NA,NA,@,NA
33,Union Territory,Delhi,554,552,-0.4,389,369,-5.1,66,84,27.3,466,469,0.6,0,0,NA,466,469,0.6,1567,2536,61.8,1136,1655,45.7,431,881,104.4,24,36,50,134,69,-48.5,541,515,-4.8,1926,1733,-10,18867,21731,15.2,11020,13224,20,7847,8507,8.4,71,57,-19.7,355,333,-6.2,1493,2000,34,41,47,14.6,41,34,-17.1,1936,1938,0.1,129,141,9.3,611,552,-9.7,130,118,-9.2,1387,1283,-7.5,0,0,NA,726,846,16.5,17896,14808,-17.3,49350,50251,1.8,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
34,Union Territory,Lakshadweep,1,0,-100,0,1,NA,0,0,0,2,1,-50,0,0,NA,2,1,-50,1,0,-100,1,0,-100,0,0,0,0,3,NA,0,0,0,0,0,0,3,1,-66.7,8,10,25,1,5,400,7,5,-28.6,12,44,266.7,0,0,0,0,0,0,0,0,0,2,2,0,12,14,16.7,0,0,0,0,0,0,0,0,0,1,0,-100,0,0,NA,0,0,0,53,58,9.4,95,134,41.1,@,NA,@,@,NA,NA,NA,NA,NA,@,NA
35,Union Territory,Pondicherry,35,37,5.7,35,25,-28.6,3,5,66.7,8,1,-87.5,0,0,NA,8,1,-87.5,17,18,5.9,9,13,44.4,8,5,-37.5,10,7,-30,3,5,66.7,10,9,-10,90,71,-21.1,688,711,3.3,443,502,13.3,245,209,-14.7,165,141,-14.5,13,7,-46.2,53,47,-11.3,2,5,150,9,11,22.2,873,901,3.2,2,0,-100,65,53,-18.5,21,16,-23.8,12,10,-16.7,0,0,NA,207,233,12.6,2668,2278,-14.6,4989,4591,-8,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
Union Territory,Union Territory,Total (UTs),626,641,2.4,467,426,-8.8,77,103,33.8,514,523,1.8,0,0,0,514,523,1.8,1673,2622,56.7,1213,1727,42.4,460,895,94.6,38,59,55.3,141,77,-45.4,592,568,-4.1,2448,2208,-9.8,21785,24421,12.1,12618,14906,18.1,9167,9515,3.8,408,401,-1.7,431,410,-4.9,1804,2284,26.6,46,62,34.8,78,71,-9,3039,3042,0.1,136,144,5.9,725,667,-8,157,145,-7.6,1484,1371,-7.6,0,0,NA,997,1145,14.8,22230,18800,-15.4,59896,60190,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
Total (All-India),Total (All-India),Total (All-India),32766,32369,-1.2,28598,29038,1.5,3863,3930,1.7,21467,21397,-0.3,0,2,0,21467,21395,-0.3,30261,33860,11.9,22939,25741,12.2,7322,8119,10.9,4530,4586,1.2,3217,2850,-11.4,20522,22409,9.2,93742,92070,-1.8,316761,324195,2.3,120032,140027,16.7,196729,184168,-6.4,66018,62942,-4.7,16487,16326,-1,66579,72718,9.2,2991,2935,-1.9,9249,8736,-5.5,284969,279214,-2,8172,8383,2.6,40413,38711,-4.2,12214,11009,-9.9,81344,89546,10.1,67,48,-28.4,92186,98532,6.9,856963,865541,1,2093379,2121345,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,City,Agra,52,57,9.6,74,78,5.4,26,29,11.5,22,16,-27.3,0,0,NA,22,16,-27.3,161,170,5.6,134,127,-5.2,27,43,59.3,7,9,28.6,1,0,-100,37,52,40.5,176,137,-22.2,1551,1566,1,1132,1226,8.3,419,340,-18.9,155,140,-9.7,111,122,9.9,262,241,-8,34,37,8.8,4,2,-50,270,270,0,38,37,-2.6,62,48,-22.6,91,68,-25.3,240,294,22.5,0,0,NA,210,211,0.5,1242,1252,0.8,4826,4836,0.2,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
37,City,Ahmedabad,85,83,-2.4,60,50,-16.7,0,7,NA,44,63,43.2,0,0,NA,44,63,43.2,172,181,5.2,137,132,-3.6,35,49,40,14,16,14.3,2,2,0,538,844,56.9,778,751,-3.5,5485,6283,14.5,3239,4232,30.7,2246,2051,-8.7,168,178,6,223,224,0.4,200,205,2.5,14,16,14.3,1,6,500,1335,1165,-12.7,1,5,400,78,74,-5.1,19,18,-5.3,1185,1169,-1.4,0,0,NA,242,205,-15.3,7900,9181,16.2,18544,20726,11.8,NA,@,@,NA,NA,NA,NA,NA,NA,@,NA
38,City,Allahabad,43,36,-16.3,37,41,10.8,9,6,-33.3,5,6,20,0,0,NA,5,6,20,58,56,-3.4,47,41,-12.8,11,15,36.4,2,2,0,0,0,0,36,23,-36.1,122,110,-9.8,464,536,15.5,307,345,12.4,157,191,21.7,68,54,-20.6,64,53,-17.2,148,178,20.3,18,21,16.7,0,2,NA,26,63,142.3,12,10,-16.7,11,12,9.1,37,30,-18.9,107,142,32.7,0,0,NA,76,116,52.6,725,576,-20.6,2068,2073,0.2,NA,NA,@,NA,NA,NA,NA,@,NA,@,NA
39,City,Amritsar,46,54,17.4,71,64,-9.9,9,3,-66.7,15,15,0,0,0,NA,15,15,0,54,46,-14.8,44,37,-15.9,10,9,-10,1,1,0,25,16,-36,21,12,-42.9,142,108,-23.9,466,430,-7.7,211,223,5.7,255,207,-18.8,0,0,0,20,18,-10,321,261,-18.7,6,8,33.3,5,3,-40,245,230,-6.1,6,7,16.7,25,15,-40,11,6,-45.5,66,85,28.8,0,0,NA,99,132,33.3,673,643,-4.5,2327,2157,-7.3,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
40,City,Asansol,40,32,-20,13,7,-46.2,10,10,0,20,13,-35,0,0,NA,20,13,-35,18,27,50,12,17,41.7,6,10,66.7,1,4,300,29,39,34.5,3,12,300,4,6,50,222,283,27.5,120,138,15,102,145,42.2,27,61,125.9,7,18,157.1,45,45,0,0,0,0,7,5,-28.6,94,65,-30.9,9,17,88.9,20,14,-30,0,0,0,166,211,27.1,0,0,NA,86,111,29.1,855,381,-55.4,1676,1361,-18.8,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
41,City,Bengaluru,253,256,1.2,297,338,13.8,8,1,-87.5,54,65,20.4,0,0,NA,54,65,20.4,159,270,69.8,2,2,0,157,268,70.7,88,41,-53.4,203,278,36.9,702,743,5.8,1787,1592,-10.9,9681,11730,21.2,5605,7074,26.2,4076,4656,14.2,348,337,-3.2,190,214,12.6,2025,3007,48.5,49,65,32.7,10,8,-20,2497,2653,6.2,52,50,-3.8,179,251,40.2,1,35,3400,307,367,19.5,0,0,NA,126,87,-31,10648,9992,-6.2,29664,32380,9.2,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
42,City,Bhopal,43,49,14,60,61,1.7,15,1,-93.3,80,117,46.3,0,0,NA,80,117,46.3,38,67,76.3,33,52,57.6,5,15,200,2,2,0,5,6,20,221,178,-19.5,861,926,7.5,2381,2643,11,1290,1651,28,1091,992,-9.1,92,103,12,27,8,-70.4,112,339,202.7,6,4,-33.3,21,5,-76.2,1203,1668,38.7,21,42,100,160,187,16.9,34,20,-41.2,149,201,34.9,0,0,NA,188,187,-0.5,5796,5355,-7.6,11515,12169,5.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
43,City,Chennai,100,96,-4,130,175,34.6,0,0,0,35,39,11.4,0,0,NA,35,39,11.4,43,42,-2.3,32,37,15.6,11,5,-54.5,5,7,40,0,0,0,41,84,104.9,322,398,23.6,1545,1716,11.1,269,341,26.8,1276,1375,7.8,55,70,27.3,5,46,820,293,350,19.5,135,42,-68.9,0,2,NA,726,735,1.2,25,19,-24,46,42,-8.7,67,10,-85.1,165,154,-6.7,0,0,NA,613,602,-1.8,7478,6276,-16.1,11829,10905,-7.8,NA,NA,@,NA,NA,NA,NA,@,NA,@,NA
44,City,Coimbatore,20,24,20,28,26,-7.1,0,0,0,9,9,0,0,0,NA,9,9,0,17,23,35.3,7,9,28.6,10,14,40,1,2,100,0,0,0,11,26,136.4,78,197,152.6,621,1165,87.6,166,608,266.3,455,557,22.4,24,17,-29.2,11,12,9.1,93,103,10.8,168,35,-79.2,4,3,-25,240,324,35,6,4,-33.3,29,21,-27.6,7,3,-57.1,62,48,-22.6,0,0,NA,307,279,-9.1,2444,1997,-18.3,4180,4318,3.3,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
45,City,Delhi (city),451,444,-1.6,343,327,-4.7,42,75,78.6,396,404,2,0,0,NA,396,404,2,1317,2149,63.2,948,1379,45.5,369,770,108.7,17,33,94.1,116,62,-46.6,493,473,-4.1,1721,1566,-9,17528,20088,14.6,10256,12232,19.3,7272,7856,8,60,50,-16.7,317,305,-3.8,1377,1874,36.1,36,47,30.6,36,26,-27.8,1753,1738,-0.9,110,104,-5.5,553,491,-11.2,123,113,-8.1,1310,1177,-10.2,0,0,NA,696,815,17.1,15778,12886,-18.3,44573,45247,1.5,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
46,City,Dhanbad,26,20,-23.1,12,13,8.3,4,6,50,17,5,-70.6,0,0,NA,17,5,-70.6,21,27,28.6,18,23,27.8,3,4,33.3,12,15,25,1,2,100,16,13,-18.8,106,98,-7.5,281,361,28.5,136,240,76.5,145,121,-16.6,47,63,34,8,13,62.5,24,41,70.8,1,1,0,1,1,0,110,101,-8.2,16,10,-37.5,13,5,-61.5,0,0,0,16,11,-31.3,0,0,NA,0,2,NA,570,508,-10.9,1302,1316,1.1,NA,NA,@,NA,NA,NA,NA,NA,NA,@,@
47,City,Faridabad,59,60,1.7,24,47,95.8,5,8,60,46,35,-23.9,0,0,NA,46,35,-23.9,109,86,-21.1,94,62,-34,15,24,60,4,5,25,51,42,-17.6,32,23,-28.1,276,258,-6.5,945,1136,20.2,691,887,28.4,254,249,-2,145,129,-11,138,132,-4.3,32,44,37.5,2,3,50,7,4,-42.9,191,175,-8.4,21,17,-19,23,26,13,97,4,-95.9,173,179,3.5,0,0,NA,12,243,1925,2124,1753,-17.5,4516,4409,-2.4,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
48,City,Hyderabad,122,153,25.4,126,110,-12.7,5,5,0,62,47,-24.2,0,0,NA,62,47,-24.2,140,108,-22.9,77,55,-28.6,63,53,-15.9,10,5,-50,0,0,0,115,59,-48.7,1143,969,-15.2,5200,5091,-2.1,2106,2095,-0.5,3094,2996,-3.2,143,199,39.2,143,85,-40.6,1875,2007,7,42,49,16.7,44,7,-84.1,4244,3516,-17.2,41,36,-12.2,231,295,27.7,148,63,-57.4,1184,1363,15.1,0,0,NA,482,516,7.1,3067,3157,2.9,18567,17840,-3.9,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
49,City,Indore,97,94,-3.1,164,159,-3,2,3,50,71,44,-38,0,0,NA,71,44,-38,49,28,-42.9,36,22,-38.9,13,6,-53.8,4,1,-75,7,18,157.1,323,291,-9.9,1094,823,-24.8,4208,3481,-17.3,3154,2618,-17,1054,863,-18.1,129,55,-57.4,35,26,-25.7,88,139,58,4,1,-75,45,16,-64.4,1287,1917,49,25,31,24,231,256,10.8,45,50,11.1,290,363,25.2,0,0,NA,264,260,-1.5,6968,6045,-13.2,15430,14101,-8.6,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
50,City,Jabalpur,34,62,82.4,81,77,-4.9,0,0,0,72,76,5.6,0,0,NA,72,76,5.6,35,25,-28.6,20,16,-20,15,9,-40,1,1,0,3,2,-33.3,123,73,-40.7,309,340,10,823,792,-3.8,125,180,44,698,612,-12.3,84,71,-15.5,9,7,-22.2,65,112,72.3,5,1,-80,9,3,-66.7,1075,602,-44,27,9,-66.7,175,84,-52,35,19,-45.7,95,48,-49.5,0,0,NA,95,103,8.4,1973,3688,86.9,5128,6195,20.8,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
51,City,Jaipur,46,52,13,89,92,3.4,3,4,33.3,60,69,15,0,0,NA,60,69,15,185,215,16.2,174,189,8.6,11,26,136.4,6,3,-50,10,8,-20,182,236,29.7,687,911,32.6,4816,5313,10.3,3278,3864,17.9,1538,1449,-5.8,243,169,-30.5,220,295,34.1,2012,2527,25.6,11,10,-9.1,23,13,-43.5,797,747,-6.3,20,20,0,106,102,-3.8,2,0,-100,451,573,27.1,0,0,NA,512,482,-5.9,4926,4947,0.4,15407,16788,9,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
52,City,Jamshedpur,65,72,10.8,81,188,132.1,9,15,66.7,17,34,100,0,0,NA,17,34,100,33,54,63.6,12,30,150,21,24,14.3,13,15,15.4,2,1,-50,51,60,17.6,107,120,12.1,782,1220,56,300,630,110,482,590,22.4,30,55,83.3,32,56,75,107,88,-17.8,2,0,-100,10,13,30,36,646,1694.4,11,8,-27.3,16,22,37.5,5,3,-40,62,60,-3.2,0,0,NA,4,119,2875,1210,226,-81.3,2685,3075,14.5,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
53,City,Kanpur,168,143,-14.9,114,84,-26.3,39,45,15.4,72,40,-44.4,0,0,NA,72,40,-44.4,296,282,-4.7,227,227,0,69,55,-20.3,24,16,-33.3,4,0,-100,144,114,-20.8,279,229,-17.9,1293,1094,-15.4,821,745,-9.3,472,349,-26.1,220,187,-15,328,223,-32,645,403,-37.5,24,34,41.7,7,3,-57.1,505,446,-11.7,86,73,-15.1,136,109,-19.9,578,210,-63.7,632,551,-12.8,0,0,NA,127,449,253.5,3164,2077,-34.4,8885,6812,-23.3,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
54,City,Kochi,9,12,33.3,11,12,9.1,3,1,-66.7,12,20,66.7,0,0,NA,12,20,66.7,12,11,-8.3,7,5,-28.6,5,6,20,1,5,400,0,6,NA,31,28,-9.7,114,67,-41.2,312,322,3.2,95,119,25.3,217,203,-6.5,141,92,-34.8,14,7,-50,224,277,23.7,0,0,0,3,6,100,355,313,-11.8,1,1,0,59,49,-16.9,5,14,180,87,95,9.2,0,0,NA,0,2,NA,6562,7417,13,7956,8757,10.1,NA,NA,@,NA,@,NA,NA,NA,NA,@,@
55,City,Kolkata,51,41,-19.6,77,71,-7.8,23,42,82.6,35,42,20,0,0,NA,35,42,20,116,129,11.2,92,107,16.3,24,22,-8.3,14,2,-85.7,45,36,-20,86,40,-53.5,138,90,-34.8,3365,3078,-8.5,546,433,-20.7,2819,2645,-6.2,211,253,19.9,246,280,13.8,1273,1433,12.6,35,37,5.7,0,0,0,1470,1866,26.9,12,10,-16.7,211,201,-4.7,81,90,11.1,405,411,1.5,4,4,NA,427,424,-0.7,4680,5035,7.6,13005,13615,4.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
56,City,Lucknow,95,82,-13.7,127,68,-46.5,27,13,-51.9,41,30,-26.8,0,0,NA,41,30,-26.8,309,256,-17.2,266,239,-10.2,43,17,-60.5,13,11,-15.4,1,1,0,143,91,-36.4,730,549,-24.8,2850,2314,-18.8,1525,1250,-18,1325,1064,-19.7,354,179,-49.4,543,448,-17.5,1041,833,-20,20,19,-5,0,0,0,32,36,12.5,37,29,-21.6,147,147,0,328,240,-26.8,647,572,-11.6,0,0,NA,392,288,-26.5,3858,4276,10.8,11735,10482,-10.7,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
57,City,Ludhiana,65,57,-12.3,66,99,50,10,11,10,44,38,-13.6,0,0,NA,44,38,-13.6,110,86,-21.8,76,65,-14.5,34,21,-38.2,5,3,-40,18,9,-50,16,16,0,203,180,-11.3,537,616,14.7,289,323,11.8,248,293,18.1,0,0,0,20,21,5,268,280,4.5,4,3,-25,2,3,50,250,239,-4.4,9,9,0,36,31,-13.9,21,9,-57.1,88,89,1.1,0,0,NA,211,209,-0.9,864,880,1.9,2847,2888,1.4,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
58,City,Madurai,39,38,-2.6,38,40,5.3,0,0,0,4,3,-25,0,0,NA,4,3,-25,24,25,4.2,14,10,-28.6,10,15,50,1,6,500,0,1,NA,8,34,325,65,85,30.8,532,530,-0.4,174,174,0,358,356,-0.6,19,22,15.8,3,8,166.7,117,143,22.2,26,23,-11.5,5,16,220,91,124,36.3,5,4,-20,11,7,-36.4,2,19,850,42,67,59.5,0,0,NA,139,125,-10.1,1299,1680,29.3,2470,3000,21.5,NA,NA,@,NA,@,NA,NA,NA,NA,@,NA
59,City,Meerut,54,47,-13,68,36,-47.1,9,15,66.7,19,15,-21.1,0,0,NA,19,15,-21.1,84,83,-1.2,63,79,25.4,21,4,-81,1,3,200,0,1,NA,53,33,-37.7,75,70,-6.7,607,765,26,309,555,79.6,298,210,-29.5,43,51,18.6,65,51,-21.5,171,157,-8.2,20,22,10,0,0,0,11,11,0,14,19,35.7,51,25,-51,101,80,-20.8,163,205,25.8,0,0,NA,151,168,11.3,1005,574,-42.9,2765,2431,-12.1,NA,NA,@,NA,@,NA,NA,NA,NA,@,NA
60,City,Mumbai,210,217,3.3,132,160,21.2,0,6,NA,218,182,-16.5,0,0,NA,218,182,-16.5,189,149,-21.2,116,86,-25.9,73,63,-13.7,35,39,11.4,27,34,25.9,328,316,-3.7,2846,2769,-2.7,12972,12009,-7.4,4068,4183,2.8,8904,7826,-12.1,377,305,-19.1,481,511,6.2,2025,2132,5.3,124,129,4,22,14,-36.4,4155,3892,-6.3,11,15,36.4,436,400,-8.3,121,101,-16.5,502,434,-13.5,0,0,NA,709,710,0.1,6850,6738,-1.6,32770,31262,-4.6,NA,@,@,NA,NA,NA,NA,NA,NA,@,NA
61,City,Nagpur,100,95,-5,57,72,26.3,4,2,-50,53,45,-15.1,0,0,NA,53,45,-15.1,43,73,69.8,28,52,85.7,15,21,40,14,18,28.6,41,17,-58.5,321,317,-1.2,941,724,-23.1,2062,1733,-16,871,831,-4.6,1191,902,-24.3,258,209,-19,77,68,-11.7,336,302,-10.1,21,19,-9.5,16,16,0,773,791,2.3,7,7,0,91,60,-34.1,71,39,-45.1,237,232,-2.1,0,0,NA,269,260,-3.3,2869,2686,-6.4,8661,7785,-10.1,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA
62,City,Nasik,43,41,-4.7,31,28,-9.7,0,2,NA,14,24,71.4,0,0,NA,14,24,71.4,34,24,-29.4,21,16,-23.8,13,8,-38.5,22,22,0,2,2,0,78,79,1.3,523,621,18.7,1353,1705,26,668,850,27.2,685,855,24.8,186,137,-26.3,28,21,-25,166,173,4.2,11,12,9.1,10,22,120,276,247,-10.5,5,5,0,42,49,16.7,10,20,100,141,131,-7.1,0,0,NA,293,333,13.7,545,520,-4.6,3813,4218,10.6,NA,@,@,NA,NA,NA,NA,NA,NA,@,NA
