SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
10,Orissa,Sundargarh,76,394,36,8,7,NA,1624,67,2,NA,13,20,31
11,Orissa,Bolangir,247,391,116,15,15,NA,1727,19,NA,NA,11,7,22
12,Orissa,Keenjhar,176,328,62,12,7,NA,1512,36,6,1,5,3,10
13,Orissa,Phulbani,206,265,75,15,6,NA,1496,32,3,NA,6,6,26
14,Orissa,Mayurbhanj,194,412,89,24,13,NA,2045,56,5,1,16,9,23
15,Orissa,Kalahandi,205,384,82,18,12,NA,1677,35,1,NA,8,10,38
16,Orissa,Rourkela,164,502,111,24,15,2,1817,9,3,2,11,6,22
17,Orissa,Govt. Rly. Police Cuttack,25,277,11,6,2,NA,447,3,NA,NA,3,4,16
18,Orissa,Govt. Rly. Police Rourk,28,227,8,NA,2,NA,387,2,NA,NA,1,2,14
19,Orissa,Bhubaneswar,378,828,41,44,30,3,2461,5,NA,NA,17,10,67
1,Punjab,Jalandhar,142,239,8,27,34,2,1268,61,15,5,23,NA,25
2,Punjab,Amritsar,76,209,13,35,35,4,1723,125,20,15,21,4,16
3,Punjab,Hoshiarpur,96,116,5,10,24,1,870,48,11,9,14,NA,11
4,Punjab,Gurdaspur,65,80,2,11,13,NA,991,37,8,6,11,NA,9
5,Punjab,Kapurthala,35,49,6,6,9,NA,618,16,10,2,4,NA,4
6,Punjab,Patiala,130,177,8,42,21,NA,1074,58,8,10,14,1,9
7,Punjab,Ludhiana,119,214,3,63,24,NA,1489,67,23,6,27,2,13
8,Punjab,Sangrur,47,48,3,13,11,NA,450,11,4,1,4,NA,1
9,Punjab,Ropar,67,93,2,31,12,1,692,38,10,4,14,1,10
10,Punjab,Ferozepur,84,70,3,25,12,NA,691,66,14,11,12,NA,2
11,Punjab,Bhatinda,90,112,3,30,27,NA,724,64,8,6,14,NA,5
12,Punjab,Faridkot,52,70,2,19,30,1,595,55,11,7,6,2,5
1,Rajasthan,Ajmer,54,2,20,102,1,48,418,617,468,40,137,NA,3430
2,Rajasthan,Bhilwara,29,NA,18,144,NA,52,352,424,584,48,143,NA,3553
3,Rajasthan,Nagour,39,NA,14,41,NA,67,181,386,578,25,111,NA,3026
4,Rajasthan,Jaipur City,31,NA,19,115,3,47,395,1463,755,90,226,15,5411
5,Rajasthan,Jaipur Rural,51,NA,12,46,4,30,313,671,1219,39,79,NA,4105
6,Rajasthan,Jhunjhunu,39,2,8,18,3,12,100,199,464,11,27,NA,1661
7,Rajasthan,Sikar,27,1,13,21,1,38,150,275,612,19,72,NA,1943
8,Rajasthan,Tonk,13,1,15,48,2,26,138,288,375,30,37,NA,1912
9,Rajasthan,Bikaner,26,NA,24,19,3,19,152,304,264,14,66,NA,2088
10,Rajasthan,Churu,23,1,16,21,3,12,129,200,211,15,84,NA,1816
11,Rajasthan,Ganganagar,104,1,55,77,2,49,311,419,105,85,139,NA,4178
12,Rajasthan,Bharatpur,54,2,18,59,6,25,167,536,904,36,108,NA,3351
13,Rajasthan,Alwar,60,4,27,91,5,61,358,802,1023,27,147,NA,4116
14,Rajasthan,Sawai Madhopur,42,NA,25,61,6,58,278,492,989,29,66,NA,3524
15,Rajasthan,Dholpur,28,NA,18,55,3,43,95,253,404,7,13,NA,1498
16,Rajasthan,Jodhpur,32,1,14,46,NA,84,353,617,484,43,146,NA,3363
17,Rajasthan,Jalore,21,NA,8,13,1,21,56,128,73,26,9,NA,1003
18,Rajasthan,Jaisalmer,3,NA,NA,7,NA,14,38,82,42,2,3,NA,415
19,Rajasthan,Barmer,17,NA,14,26,NA,46,105,290,183,19,40,NA,1645
20,Rajasthan,Pali,29,2,15,49,1,23,163,285,309,35,60,NA,2400
21,Rajasthan,Sirohi,14,3,10,10,NA,6,80,63,119,7,28,NA,829
22,Rajasthan,Kota City,15,1,7,34,2,31,196,340,126,40,49,NA,1931
23,Rajasthan,Kota Rural,45,5,42,66,3,44,339,334,380,40,35,NA,3048
24,Rajasthan,Jhalawar,40,1,28,54,NA,61,270,261,286,18,56,NA,2001
25,Rajasthan,Bundi,26,2,11,52,NA,19,193,259,189,38,34,NA,1688
26,Rajasthan,Udaipur,78,10,29,214,6,89,587,743,1084,60,175,NA,6133
27,Rajasthan,Banswara,23,1,15,58,9,37,157,187,437,21,36,NA,1936
28,Rajasthan,Chittorgarh,38,2,20,146,2,27,378,668,788,50,190,NA,4615
29,Rajasthan,Dungarpur,11,NA,6,39,NA,14,55,91,256,7,13,NA,1278
30,Rajasthan,G.R.P.,5,NA,1,4,3,13,1,717,30,6,13,NA,979
1,Sikkam,North District,NA,NA,1,NA,NA,1,4,7,NA,NA,NA,NA,23
2,Sikkam,East District,3,1,4,1,1,1,35,62,8,8,9,NA,211
3,Sikkam,West District,NA,NA,1,NA,NA,1,16,3,NA,1,NA,NA,36
4,Sikkam,South District,2,NA,NA,NA,NA,NA,5,23,1,2,2,NA,55
1,Tamil Nadu,Chingleput East,48,NA,11,36,5,23,677,1775,332,56,72,NA,6145
2,Tamil Nadu,Chinglepat West,41,2,11,21,1,3,407,1133,388,31,23,5,4486
3,Tamil Nadu,South Arcot,86,2,16,74,1,15,608,1933,912,282,43,14,10311
4,Tamil Nadu,North Arcot,86,NA,21,52,5,30,723,2064,1124,48,63,8,8362
5,Tamil Nadu,Dharmapuri,76,NA,7,16,6,7,232,533,285,31,17,7,3119
6,Tamil Nadu,Salem,112,NA,7,29,1,18,513,898,386,27,62,15,5307
7,Tamil Nadu,Coimbatore Urban,40,NA,6,7,5,60,513,1118,412,38,60,16,4912
8,Tamil Nadu,Coimbatore Rural,62,1,6,9,7,19,259,569,363,25,26,8,2980
9,Tamil Nadu,Periyar,86,NA,8,27,5,17,364,866,243,55,38,9,3874
10,Tamil Nadu,The Nilriris,9,1,2,12,1,2,159,226,79,17,14,5,1349
11,Tamil Nadu,Tirucirapalli,107,NA,10,22,1,10,621,1717,339,71,92,41,6980
12,Tamil Nadu,Thanjavur East,51,NA,13,47,NA,8,584,1070,327,81,49,1,5712
13,Tamil Nadu,Thanjavur West,86,NA,4,22,2,11,639,1162,524,13,4,3,10222
14,Tamil Nadu,Pudukkottai,29,NA,2,18,NA,4,171,463,421,21,23,11,2484
15,Tamil Nadu,Madurai City,41,NA,5,20,1,7,277,910,287,31,73,19,3454
16,Tamil Nadu,Madurai Rural,69,NA,17,28,NA,7,360,653,681,26,32,6,4649
17,Tamil Nadu,Anna,51,2,8,38,1,8,328,734,571,18,22,4,3868
18,Tamil Nadu,Ramnad,47,NA,3,13,1,1,126,279,388,8,10,1,2127
19,Tamil Nadu,Pasumpon Muthuramalingam,29,NA,4,13,5,8,147,258,162,9,19,4,1649
20,Tamil Nadu,Kamarajar,45,NA,4,17,2,13,248,708,380,10,16,6,3523
21,Tamil Nadu,Tirunelveli East,91,1,12,38,2,28,250,643,124,48,9,4,3697
22,Tamil Nadu,Tirunelveli West,82,NA,37,34,NA,38,286,810,142,33,32,10,4510
23,Tamil Nadu,Kanyakummari,45,NA,3,14,NA,10,260,304,722,11,17,6,3014
24,Tamil Nadu,"Railway Police, Trichy & Madras",1,NA,NA,NA,NA,2,2,446,53,15,8,NA,887
25,Tamil Nadu,Madras City Police,36,NA,13,22,NA,74,544,4388,115,165,283,95,11834
1,Tripura,South Tripura,42,NA,8,4,72,71,128,179,90,7,3,NA,1051
2,Tripura,West Tripura,66,NA,6,35,108,88,562,665,233,28,19,NA,2904
3,Tripura,North Tripura,42,1,20,13,32,59,265,287,110,22,6,NA,1506
1,Uttar Pradesh,Meerut,252,44,50,159,121,301,817,2035,426,132,166,1,6708
2,Uttar Pradesh,Bulandshahar,226,52,35,112,133,234,701,1508,454,98,80,1,5043
3,Uttar Pradesh,Saharanpur,139,46,22,92,129,180,530,1206,221,107,98,1,4193
4,Uttar Pradesh,Muzaffaranagar,175,48,22,68,67,129,362,880,182,59,44,2,3129
5,Uttar Pradesh,Ghaziabad,199,31,34,104,65,188,642,1535,301,145,108,3,5021
6,Uttar Pradesh,Varanasi,109,51,12,74,109,94,554,1107,290,137,120,6,5084
7,Uttar Pradesh,Mirzapur,79,32,8,23,35,61,270,494,88,61,37,2,2090
8,Uttar Pradesh,Ghazipur,61,24,2,15,41,19,216,310,94,19,30,NA,1422
9,Uttar Pradesh,Jaunpur,62,20,10,26,69,66,355,425,141,29,22,1,2076
10,Uttar Pradesh,Ballia,87,33,4,21,95,56,305,478,180,5,18,2,2199
11,Uttar Pradesh,Lucknow,160,47,43,147,71,197,981,3161,279,268,289,8,8153
12,Uttar Pradesh,Sitapur,224,61,34,44,202,212,581,1300,204,80,49,NA,4146
13,Uttar Pradesh,Hardoi,154,46,21,54,66,176,334,595,106,58,41,NA,2617
14,Uttar Pradesh,khari,135,59,21,76,60,153,353,874,101,44,44,NA,2938
15,Uttar Pradesh,Rai Bareli,74,41,22,21,24,88,278,388,91,43,23,NA,1811
16,Uttar Pradesh,Unnao,129,55,16,52,90,165,398,543,87,41,28,NA,2603
17,Uttar Pradesh,Kanpur City,124,28,36,180,79,226,811,2470,207,354,348,37,7382
18,Uttar Pradesh,Kanpur Dehat,102,24,17,46,79,198,463,598,147,38,36,NA,2839
19,Uttar Pradesh,Fatehpur,118,72,22,21,83,191,388,415,123,33,33,NA,2223
20,Uttar Pradesh,Allahabad,213,53,32,74,77,176,770,1773,263,127,154,1,5705
21,Uttar Pradesh,Etawah,136,55,15,66,71,268,472,770,222,66,33,NA,3404
22,Uttar Pradesh,Fatehgarh,184,43,13,104,89,291,587,1010,202,80,67,NA,3986
23,Uttar Pradesh,Bareilly,200,42,43,109,132,216,695,1798,242,135,103,NA,5358
24,Uttar Pradesh,Badaun,173,35,28,78,68,172,391,895,166,51,41,8,3123
25,Uttar Pradesh,Pillibhit,96,11,14,48,38,110,256,454,77,37,28,NA,1779
26,Uttar Pradesh,Shahjahanpur,149,44,43,65,47,178,340,1047,116,44,44,NA,3350
27,Uttar Pradesh,Agra,173,47,60,196,205,329,996,2042,501,176,209,7,7254
28,Uttar Pradesh,Mathura,111,29,24,41,90,145,451,740,339,80,57,NA,3270
29,Uttar Pradesh,Etah,218,37,17,97,153,150,453,680,275,38,32,NA,3038
30,Uttar Pradesh,Aligarh,188,50,28,149,141,242,708,1321,405,134,109,6,5175
31,Uttar Pradesh,Mainpuri,143,21,15,61,95,304,463,568,260,60,45,1,3110
32,Uttar Pradesh,Gorakhpur,106,53,23,81,119,157,561,1112,339,90,54,NA,4486
33,Uttar Pradesh,Azamgarh,109,39,12,26,108,77,416,667,248,45,47,1,3200
34,Uttar Pradesh,Basti,72,32,14,74,63,61,408,630,211,80,58,1,2881
35,Uttar Pradesh,Deoria,87,27,11,32,85,62,390,580,164,88,61,NA,2774
36,Uttar Pradesh,Faizabad,118,48,31,68,189,210,679,980,365,101,96,2,4254
37,Uttar Pradesh,Bahraich,76,20,21,120,134,149,479,997,256,77,52,1,3359
38,Uttar Pradesh,Barabanki,133,30,24,60,93,176,482,576,193,64,38,2,2724
39,Uttar Pradesh,Gonda,93,47,15,76,69,235,646,946,225,73,75,2,3631
40,Uttar Pradesh,Pratapgarh,84,30,13,36,40,96,416,450,182,50,31,1,2240
41,Uttar Pradesh,Sultanpur,70,55,16,56,79,131,600,341,261,58,50,NA,2797
42,Uttar Pradesh,Jhansi,70,37,15,19,33,102,510,453,148,34,39,NA,2130
43,Uttar Pradesh,Banda,148,75,17,34,105,212,359,448,137,26,35,1,2413
44,Uttar Pradesh,Hamirpur,89,28,12,15,41,64,267,322,69,25,20,NA,1526
45,Uttar Pradesh,Jalaun,78,9,10,12,46,75,256,305,94,34,29,NA,1494
46,Uttar Pradesh,Lalitpur,23,14,26,11,18,44,196,287,69,21,11,NA,1163
47,Uttar Pradesh,Nainital,53,18,20,53,6,43,245,561,87,83,42,NA,2096
48,Uttar Pradesh,Almorea,17,4,NA,16,7,10,46,42,51,8,8,NA,453
49,Uttar Pradesh,Pithoragarh,10,4,2,5,3,28,47,91,29,10,2,NA,401
50,Uttar Pradesh,Pauri Garhwal,4,1,3,5,37,9,43,76,7,1,NA,NA,297
51,Uttar Pradesh,Tehri Garhwal,11,NA,2,13,10,35,50,77,20,15,3,NA,381
52,Uttar Pradesh,Chamoli,8,2,2,6,4,21,51,69,36,15,2,NA,346
53,Uttar Pradesh,Uttarkashi,8,2,2,6,2,25,32,93,18,4,5,NA,300
54,Uttar Pradesh,Dehradun,32,10,13,50,11,43,211,398,63,41,27,NA,1445
55,Uttar Pradesh,Moradabad,296,16,44,180,118,304,599,1693,270,224,64,NA,6780
56,Uttar Pradesh,Bijnor,82,18,18,35,26,74,200,526,58,42,35,NA,2118
57,Uttar Pradesh,Rampur,93,33,21,81,42,118,587,708,188,51,41,NA,2588
58,Uttar Pradesh,Govt. Railway Police,38,10,13,27,42,121,16,4683,39,543,110,4,6280
1,West Bengal,Bankura,29,6,6,8,20,21,20,565,201,45,4,NA,1469
2,West Bengal,Birbhum,64,21,38,25,61,55,78,625,470,29,41,2,2486
3,West Bengal,Burdwan,146,123,46,79,153,101,131,2322,943,63,47,NA,6162
4,West Bengal,Hooghly,89,31,45,56,62,53,123,1635,896,76,59,1,4635
5,West Bengal,Purulia,54,26,12,10,22,13,69,794,170,19,5,NA,1875
6,West Bengal,24 Parganas,223,96,128,301,139,147,462,6840,2047,134,172,3,13972
7,West Bengal,Murshidabad,122,47,43,51,54,40,47,931,739,25,33,4,3302
8,West Bengal,Nadia,145,42,71,53,53,45,84,1109,913,15,19,NA,3608
9,West Bengal,West Dinajpur,72,52,27,12,118,83,90,798,344,13,8,NA,2369
10,West Bengal,Jalpaiguri,89,42,25,31,43,61,118,926,179,36,19,NA,2660
11,West Bengal,Malda,76,34,25,32,36,12,46,385,215,20,11,NA,1638
12,West Bengal,Darjeeling,42,27,10,22,21,21,14,623,60,35,10,3,1574
13,West Bengal,Coochbehar,33,17,22,23,39,25,56,293,211,16,5,NA,1303
14,West Bengal,Howrah,55,14,24,67,33,30,68,897,342,127,60,1,3340
15,West Bengal,Midnapur,76,46,48,79,46,52,233,1361,1247,86,74,NA,5309
1,A & N Island,A & N Islands,12,1,3,3,NA,2,46,102,41,6,18,NA,672
1,Arunachal Pradesh,Lower Subansiri,6,NA,NA,2,2,4,45,68,2,5,1,NA,260
2,Arunachal Pradesh,Upper Subansiri,3,NA,NA,NA,NA,NA,12,11,3,NA,NA,NA,67
3,Arunachal Pradesh,West Siang,NA,NA,1,1,1,1,7,23,1,2,NA,NA,92
4,Arunachal Pradesh,East Siang,5,NA,1,2,1,1,16,19,1,2,NA,NA,115
5,Arunachal Pradesh,Lohit,3,NA,1,8,2,6,5,41,3,1,1,NA,138
6,Arunachal Pradesh,Debang Valley,3,NA,NA,NA,NA,NA,3,8,NA,1,1,NA,42
7,Arunachal Pradesh,Tirap,4,NA,1,2,3,NA,18,19,3,5,2,NA,145
8,Arunachal Pradesh,West Kameng,8,NA,NA,3,NA,4,20,25,NA,4,1,NA,108
9,Arunachal Pradesh,East Kameng,3,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,22
10,Arunachal Pradesh,Tawang,NA,NA,NA,NA,NA,1,4,5,NA,1,NA,NA,23
1,Chandigarh,Chandigarh,14,3,4,32,NA,9,153,720,7,41,88,7,1767
1,Dadar & Nagar Haveli,Dadar & Nagar Haveli,10,NA,1,4,1,8,13,70,20,1,3,NA,382
1,Delhi,North District,68,49,16,198,8,48,194,3081,21,169,147,2,8743
2,Delhi,Central District,26,64,9,261,3,37,228,2154,25,78,109,5,6535
3,Delhi,East District,65,23,11,234,14,28,264,974,17,42,62,NA,4504
4,Delhi,New Delhi District,5,7,3,39,1,15,132,1942,4,32,125,11,4316
5,Delhi,South District,72,39,26,121,10,84,812,3838,36,64,119,4,10707
6,Delhi,West District,73,23,17,116,11,41,368,1468,23,47,64,2,6231
7,Delhi,Railway District,3,NA,1,2,1,3,NA,246,NA,13,7,3,671
8,Delhi,Palam Air Port,NA,1,NA,1,NA,NA,6,60,NA,6,70,1,165
1,Daman & Diu,Goa,20,5,9,13,5,55,634,1032,280,56,40,27,3749
2,Daman & Diu,Daman,1,NA,NA,NA,NA,NA,16,17,7,NA,NA,NA,104
3,Daman & Diu,Diu,NA,NA,NA,NA,NA,NA,3,4,3,NA,2,NA,20
1,Lakshadweep,Lakshadweep,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,47
1,Mizoram,Aizawl,15,2,35,4,2,18,52,140,2,18,25,9,322
2,Mizoram,Lunglei,1,1,13,NA,NA,3,18,58,NA,NA,6,NA,100
3,Mizoram,Chhimtuipui,3,NA,3,NA,NA,2,15,27,NA,7,7,4,68
1,Pondicherry,Pondicherry,17,NA,8,7,NA,11,157,696,170,21,26,4,2769
