SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting To Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
15,Madhya Pradesh,Guna,83,86,7,102,26,25,1,7,5,56,492,552,152,12,30,0,2787,4397
16,Madhya Pradesh,Gwalior,100,110,25,58,29,23,6,1,14,62,538,1007,154,9,62,0,4616,6785
17,Madhya Pradesh,Hoshangabad,62,73,1,90,11,11,0,6,0,36,326,443,63,33,19,0,2057,3220
18,Madhya Pradesh,Indore,129,182,1,53,42,42,0,5,1,99,904,2897,154,61,124,0,7053,11705
19,Madhya Pradesh,Jabalpur,122,197,43,115,45,45,0,3,4,170,1003,1497,117,20,119,0,5834,9289
20,Madhya Pradesh,Jhabua,227,205,1,33,127,127,0,21,3,69,341,592,98,9,6,3,2105,3840
21,Madhya Pradesh,Khandwa,46,25,13,40,21,21,0,4,2,22,378,629,45,17,24,0,1805,3071
22,Madhya Pradesh,Khargon,99,62,4,79,54,51,3,6,4,45,404,1185,71,20,25,0,4432,6490
23,Madhya Pradesh,Mandla,43,26,2,37,6,6,0,6,1,11,216,124,11,9,37,1,1537,2067
24,Madhya Pradesh,Mandsaur,49,59,9,63,32,18,14,6,0,39,800,1081,142,51,19,9,2231,4590
25,Madhya Pradesh,Muraina,86,94,0,63,40,31,9,14,6,59,340,585,185,15,26,0,3312,4825
26,Madhya Pradesh,Narasinghpur,38,66,12,56,15,15,0,3,0,45,183,300,43,4,17,0,1632,2414
27,Madhya Pradesh,Panna,30,21,0,20,7,6,1,2,1,21,105,73,25,1,4,3,895,1208
28,Madhya Pradesh,Raigarh,76,31,2,56,14,13,1,9,1,20,249,276,61,18,19,0,1297,2129
29,Madhya Pradesh,Raipur,111,107,8,151,30,25,5,12,0,87,1148,1778,245,163,140,9,5196,9185
30,Madhya Pradesh,Raisen,38,43,62,72,8,4,4,4,0,12,156,266,32,4,16,0,1286,1999
31,Madhya Pradesh,Rajgarh,37,67,2,69,21,19,2,11,4,52,277,528,84,26,20,0,2309,3507
32,Madhya Pradesh,Rajnandgaon,47,30,5,62,15,12,3,6,1,4,420,480,38,14,51,0,1551,2768
33,Madhya Pradesh,Ratlam,51,49,0,49,27,20,7,2,1,27,333,530,36,28,35,0,2452,3620
34,Madhya Pradesh,Riwa,52,40,18,44,9,7,2,3,2,27,530,446,92,6,10,0,2023,3302
35,Madhya Pradesh,Sagar,82,96,0,82,18,16,2,1,1,21,328,432,70,22,29,0,3272,4454
36,Madhya Pradesh,Sarguja,148,92,2,106,48,48,0,8,3,130,1081,823,153,17,32,0,2160,4803
37,Madhya Pradesh,Satna,46,31,24,33,8,2,6,2,4,30,414,462,40,7,18,1,2036,3156
38,Madhya Pradesh,Shahdol,59,28,1,40,20,20,0,4,2,27,531,532,36,11,25,2,2521,3839
39,Madhya Pradesh,Shajapur,46,46,2,63,16,13,3,1,1,49,245,603,112,9,26,0,1534,2753
40,Madhya Pradesh,Shivpuri,71,72,3,69,18,15,3,11,5,48,325,321,109,5,17,0,2333,3407
41,Madhya Pradesh,Sidhi,45,23,2,19,9,9,0,10,0,21,374,295,40,4,10,0,1630,2482
42,Madhya Pradesh,Sihore,39,37,1,72,37,35,2,0,2,22,239,564,87,14,10,2,2145,3271
43,Madhya Pradesh,Sivni,26,34,4,43,7,6,1,2,0,17,146,207,45,5,9,0,1608,2153
44,Madhya Pradesh,Tikamgarh,35,45,0,61,12,8,4,1,2,22,158,215,75,1,8,0,1613,2248
45,Madhya Pradesh,Ujjain,101,113,6,57,38,32,6,4,1,75,910,1433,100,16,49,7,3019,5929
46,Madhya Pradesh,Vidisha,40,58,3,65,16,16,0,3,2,16,209,308,39,6,21,1,1690,2477
47,Madhya Pradesh,Bhopal Rly.,4,5,0,3,1,1,0,1,3,20,25,723,4,5,11,2,242,1049
48,Madhya Pradesh,Indore Rly.,5,4,1,4,2,2,0,0,0,11,1,260,2,0,5,0,121,416
49,Madhya Pradesh,Jabalpur Rly.,1,2,0,4,1,1,0,1,0,10,10,328,1,0,9,0,151,518
50,Madhya Pradesh,Raipur Rly.,2,0,0,2,3,3,0,0,2,6,10,367,7,16,5,0,127,547
51,Madhya Pradesh,Total,3331,3188,325,2929,1264,1155,109,265,112,2146,19856,31934,3961,873,1527,60,116254,188025
1,Maharashtra,Ahmednagar,109,54,1,43,31,19,12,18,1,92,425,1116,262,57,78,8,3449,5744
2,Maharashtra,Akola,81,44,1,33,33,33,0,21,0,75,525,1586,113,55,81,16,4179,6843
3,Maharashtra,Amravati,83,46,1,89,65,0,65,7,0,105,935,2570,3,65,84,9,3790,7912
4,Maharashtra,Aurangabad Commr.,25,8,0,10,20,15,5,10,1,46,382,791,95,29,83,0,1187,2687
5,Maharashtra,Aurangabad Rural,41,26,1,17,21,16,5,14,0,51,203,482,156,15,19,0,2041,3087
6,Maharashtra,Beed,79,34,0,23,42,42,0,48,0,118,399,731,289,21,44,0,2629,4457
7,Maharashtra,Bhandara,59,23,1,78,21,21,0,6,1,38,359,733,34,27,52,3,2378,3813
8,Maharashtra,Bombay Commr.,354,229,5,150,234,146,88,113,57,754,2707,13484,233,565,1243,57,15190,35375
9,Maharashtra,Buldhana,52,41,0,36,21,3,18,13,0,41,252,1053,71,26,32,5,2346,3989
10,Maharashtra,Chandrapur,44,19,3,45,31,28,3,5,0,33,307,635,62,33,51,0,2362,3630
11,Maharashtra,Dhule,92,30,0,42,21,16,5,22,0,52,347,921,203,54,60,4,2212,4060
12,Maharashtra,Gadchiroli,39,16,0,22,19,19,0,4,0,28,80,121,23,8,24,0,790,1174
13,Maharashtra,Jalgaon,102,63,0,48,21,18,3,24,0,77,409,976,98,72,73,10,3289,5262
14,Maharashtra,Jalna,47,19,1,8,19,16,3,18,1,58,265,562,72,13,26,0,1695,2804
15,Maharashtra,Kolhapur,81,24,32,25,24,15,9,9,0,38,312,617,196,43,70,13,1549,3033
16,Maharashtra,Latur,46,22,1,13,26,26,0,23,0,52,219,407,99,21,26,5,1812,2772
17,Maharashtra,Nagpur Commr.,87,60,3,46,61,44,17,8,0,276,864,2648,127,69,135,12,4211,8607
18,Maharashtra,Nagpur Rural,97,58,0,61,27,20,7,11,1,95,451,1372,166,27,42,0,3458,5866
19,Maharashtra,Nanded,75,46,1,22,38,30,8,39,2,152,519,981,227,32,36,0,2875,5045
20,Maharashtra,Nasik Commr.,22,12,1,11,14,11,3,6,0,16,257,540,34,23,51,1,830,1818
21,Maharashtra,Nasik Rural,73,25,1,25,24,17,7,20,0,47,386,764,193,62,48,8,3739,5415
22,Maharashtra,New Bombay,29,17,0,10,15,9,6,13,5,41,171,380,63,37,41,3,726,1551
23,Maharashtra,Osmanabad,44,36,0,23,24,24,0,16,5,43,311,661,135,30,33,2,1806,3169
24,Maharashtra,Parbhani,43,30,2,17,25,23,2,18,0,72,222,483,100,15,25,0,2528,3580
25,Maharashtra,Pune Commr.,92,37,3,52,54,34,20,15,0,102,839,2035,78,63,172,18,5284,8844
26,Maharashtra,Pune Rural,114,29,11,33,20,15,5,19,1,67,329,561,107,15,19,5,1945,3275
27,Maharashtra,Raigad,63,8,0,15,16,5,11,18,0,33,161,238,115,20,33,4,1275,1996
28,Maharashtra,Ratnagiri,25,7,1,17,6,6,0,6,0,23,170,254,65,16,16,12,732,1350
29,Maharashtra,Sangli,100,26,0,24,19,8,11,7,1,35,256,664,54,37,43,6,1639,2911
30,Maharashtra,Satara,65,15,26,25,10,4,6,6,0,31,246,540,82,23,57,8,2298,3432
31,Maharashtra,Sindhudurg,13,10,0,13,5,4,1,0,0,5,171,175,38,4,13,5,505,957
32,Maharashtra,Solapur Commr.,25,8,3,10,14,10,4,5,1,19,146,389,40,18,38,3,1162,1881
33,Maharashtra,Solapur Rural,93,32,24,19,9,4,5,21,1,59,113,282,101,24,18,1,2274,3071
34,Maharashtra,Thane Commr.,117,38,3,47,44,29,15,19,3,103,857,1069,310,78,133,5,1954,4780
35,Maharashtra,ThaneRural,131,39,8,36,16,0,16,33,3,73,386,459,127,43,39,3,2270,3666
36,Maharashtra,Wardha,45,31,0,37,22,22,0,11,0,58,428,1056,48,25,51,5,1879,3696
37,Maharashtra,Yavatmal,63,52,2,72,53,44,9,22,0,52,480,1171,79,37,53,2,3006,5144
38,Maharashtra,Bombay Rly.,15,2,0,3,6,3,3,3,0,57,6,2334,29,24,23,4,156,2662
39,Maharashtra,Nagpur Rly.,8,6,0,3,0,0,0,9,0,27,5,833,18,12,8,1,145,1075
40,Maharashtra,Pune Rly.,14,3,0,1,0,0,0,13,0,36,0,994,17,6,6,1,119,1210
41,Maharashtra,Total,2787,1325,136,1304,1171,799,372,693,84,3180,15900,47668,4422,1844,3179,239,97711,181643
1,Manipur,Bishnupur,15,3,1,2,17,12,5,1,0,10,6,32,9,1,29,0,163,289
2,Manipur,Chandel,29,12,0,1,7,7,0,2,0,2,4,18,0,1,0,1,66,143
3,Manipur,Churachandpur,12,2,0,1,2,2,0,7,0,9,17,21,0,2,0,2,0,75
4,Manipur,Imphal,98,108,0,1,52,34,18,5,0,10,47,119,20,3,31,4,566,1064
5,Manipur,Senapati,19,7,4,0,10,0,10,3,0,2,4,25,7,2,8,1,94,186
6,Manipur,Tamenglong,10,0,2,0,6,4,2,6,0,2,1,0,6,0,0,0,0,33
7,Manipur,Thoubal,29,9,0,0,19,19,0,0,0,3,11,45,9,4,22,2,336,489
8,Manipur,Ukhrul,29,3,0,0,2,0,2,2,0,11,4,13,7,0,2,1,59,133
9,Manipur,Total,241,144,7,5,115,78,37,26,0,49,94,273,58,13,92,11,1284,2412
1,Meghalaya,Garo Hills East,7,0,0,1,2,1,1,7,0,4,9,22,5,0,0,1,30,88
2,Meghalaya,Garo Hills South,1,0,0,0,0,0,0,5,0,1,2,18,2,0,1,0,16,46
3,Meghalaya,Garo Hills West,11,5,2,8,4,4,0,22,0,16,45,126,19,3,3,3,141,408
4,Meghalaya,Jaintia Hills,34,4,0,6,4,0,4,10,0,16,18,47,2,4,1,0,123,269
5,Meghalaya,Khasi Hills East,44,9,2,13,11,10,1,20,0,49,110,237,16,11,23,2,349,896
6,Meghalaya,Khasi Hills West,6,3,2,5,1,0,1,4,0,3,3,23,0,1,1,1,38,91
7,Meghalaya,Ri-Bhoi,16,1,0,1,4,2,2,2,1,12,8,41,0,3,1,0,77,167
8,Meghalaya,Total,119,22,6,34,26,17,9,70,1,101,195,514,44,22,30,7,774,1965
1,Mizoram,Aizawl,24,17,0,28,6,0,6,149,0,8,162,411,0,19,49,0,362,1235
2,Mizoram,Chhimtuipui,4,7,0,9,1,0,1,0,0,2,14,60,0,2,3,0,135,237
3,Mizoram,Lunglei,7,1,0,7,0,0,0,4,0,0,36,92,2,2,1,4,91,247
4,Mizoram,Total,35,25,0,44,7,0,7,153,0,10,212,563,2,23,53,4,588,1719
1,Nagaland,Dimapur,55,25,1,5,16,6,10,10,0,43,71,120,4,11,7,5,196,569
2,Nagaland,Kiphire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Nagaland,Kohima,35,14,0,2,6,2,4,4,0,29,48,53,3,8,18,1,88,309
4,Nagaland,Mokokchung,17,5,0,3,5,0,5,6,0,12,14,20,0,6,3,0,30,121
5,Nagaland,Mon,6,2,0,0,3,3,0,5,0,8,14,16,0,1,6,0,35,96
6,Nagaland,Peren,7,1,3,0,1,1,0,3,0,1,2,4,0,1,1,0,20,44
7,Nagaland,Phek,3,2,0,2,3,2,1,0,0,6,22,15,1,2,3,0,36,95
8,Nagaland,Tuensang,7,3,0,0,2,0,2,1,0,8,19,10,1,2,1,0,31,85
9,Nagaland,Workha,2,2,0,0,2,1,1,3,0,2,22,29,0,1,4,0,44,111
10,Nagaland,Zunheboto,5,3,0,0,2,0,2,3,0,8,9,7,0,6,7,0,19,69
11,Nagaland,Total,137,57,4,12,40,15,25,35,0,117,221,274,9,38,50,6,499,1499
1,Orissa,Angul,36,24,3,12,3,3,0,5,0,13,118,273,32,10,5,0,686,1220
2,Orissa,Balasore,25,56,6,23,30,30,0,10,0,30,218,361,89,16,11,0,1503,2378
3,Orissa,Baragarh,24,27,6,13,5,5,0,4,0,13,134,145,108,17,9,2,744,1251
4,Orissa,Berhampur,14,41,4,6,9,9,0,10,0,22,104,189,68,10,13,0,791,1281
5,Orissa,Bhadrak,17,23,2,9,23,23,0,14,0,24,154,192,123,7,5,0,912,1505
6,Orissa,Bolangir,19,21,1,16,3,3,0,4,0,31,118,195,64,9,6,0,688,1175
7,Orissa,Boudh,6,7,0,10,0,0,0,3,0,4,40,50,21,3,3,0,289,436
8,Orissa,Cuttack,41,142,5,38,70,70,0,66,0,98,543,1235,143,62,55,3,2756,5257
9,Orissa,Deogarh,5,7,0,2,2,2,0,5,0,6,48,29,7,0,1,0,264,376
10,Orissa,Dhenkanal,35,29,0,6,10,10,0,11,0,35,100,189,33,5,16,0,722,1191
11,Orissa,Gajapati,15,8,0,8,8,8,0,3,0,2,18,60,32,4,6,1,290,455
12,Orissa,Ganjam,38,43,1,10,16,16,0,23,0,39,151,197,108,10,4,0,1264,1904
13,Orissa,jagatsinghpur,17,41,14,10,18,18,0,11,0,35,134,239,37,3,8,0,989,1556
14,Orissa,Jajpur,22,32,3,7,14,14,0,24,0,37,126,193,71,7,13,0,1204,1753
15,Orissa,Jharsuguda,14,20,3,10,4,4,0,5,0,11,88,113,24,9,3,0,481,785
16,Orissa,Kalahandi,15,8,4,9,14,14,0,7,0,16,85,141,61,7,7,0,707,1081
17,Orissa,Kendrapara,8,45,2,9,14,14,0,7,0,19,21,283,43,15,5,2,784,1257
18,Orissa,Keonjhar,51,61,5,21,17,17,0,3,0,13,78,163,42,4,26,0,1028,1512
19,Orissa,Khurda,32,91,3,17,60,60,0,37,0,133,573,1397,72,67,75,9,2671,5237
20,Orissa,Koraput,36,55,4,22,9,9,0,8,0,41,199,299,84,14,10,0,933,1714
21,Orissa,Malkangir,30,91,3,8,2,2,0,6,0,9,49,35,16,4,7,0,215,421
22,Orissa,Mayurbhanj,57,35,2,34,28,28,0,6,0,25,209,346,55,23,15,2,1346,2183
23,Orissa,Nayagarh,19,22,2,9,9,9,0,19,0,17,107,168,39,3,4,0,450,868
24,Orissa,Nowrangpur,9,9,2,11,4,4,0,2,0,6,91,100,47,6,18,0,541,846
25,Orissa,Nuapada,7,3,0,4,2,2,0,1,0,5,36,58,18,1,1,0,286,422
26,Orissa,Phulbani,31,14,2,19,9,9,0,8,0,15,88,131,70,23,17,1,514,942
27,Orissa,Puri,23,87,13,10,26,26,0,32,0,35,238,348,82,10,25,0,1442,2371
28,Orissa,Rayagada,32,10,0,20,18,18,0,6,0,15,46,218,69,9,5,0,444,892
29,Orissa,Rourkela,17,18,1,5,7,7,0,2,0,28,174,285,15,19,19,6,872,1468
30,Orissa,Sambalpur,31,42,2,13,13,13,0,12,0,59,225,381,92,9,11,1,1063,1954
31,Orissa,Sonepur,13,10,0,5,0,0,0,1,0,5,52,60,42,3,1,0,239,431
32,Orissa,Sundargarh,74,46,1,39,7,7,0,12,0,31,135,214,40,7,3,0,894,1503
33,Orissa,SRP(Cuttack),1,3,0,1,1,1,0,1,0,5,17,172,7,2,4,0,119,333
34,Orissa,SRP(Rourkela),7,0,0,0,0,0,0,5,0,6,20,181,9,4,2,0,97,331
35,Orissa,Total,821,1117,94,436,455,455,0,373,0,883,4537,8640,1863,402,413,27,28228,48289
1,Punjab,Amritsar,33,21,8,6,12,12,0,2,0,7,79,115,0,11,90,1,305,690
2,Punjab,Barnala,15,7,0,0,4,2,2,0,0,3,10,13,0,6,8,0,88,154
3,Punjab,Batala,20,12,3,6,4,3,1,0,0,1,25,18,0,3,9,0,131,232
4,Punjab,Bhatinda,43,18,7,1,6,1,5,0,0,4,27,45,0,5,16,0,209,381
5,Punjab,Faridkot,51,40,6,8,12,5,7,0,0,2,74,68,0,17,22,0,474,774
6,Punjab,Fatehgarh Sahib,18,8,2,6,4,2,2,0,0,2,10,21,14,5,7,0,160,244
7,Punjab,Ferozepur,76,33,11,9,28,17,11,0,1,2,100,130,0,16,91,0,729,1230
8,Punjab,Gurdaspur,31,15,1,3,10,8,2,0,0,2,30,41,1,4,9,0,200,346
9,Punjab,Hoshiarpur,37,14,9,9,16,6,10,1,0,2,78,81,0,5,64,1,435,753
10,Punjab,Jagraon,14,18,0,0,6,4,2,0,1,1,28,16,0,1,6,0,188,279
11,Punjab,Jalandhar,61,35,8,16,31,24,7,3,5,5,147,244,0,15,44,5,683,1302
12,Punjab,Kapurthala,14,8,6,1,14,14,0,0,0,0,33,29,0,1,9,0,223,338
13,Punjab,Khanna,6,11,2,2,4,3,1,0,1,1,17,20,0,2,10,0,146,222
14,Punjab,Ludhiana,45,32,7,11,26,11,15,0,7,7,112,157,1,13,41,2,436,897
15,Punjab,Majitha,25,10,3,5,2,1,1,0,0,2,8,11,0,0,3,0,125,194
16,Punjab,Mansa,27,9,0,6,5,1,4,1,0,1,24,32,0,3,11,0,147,266
17,Punjab,Patiala,56,45,19,7,15,10,5,0,0,1,100,113,0,13,51,0,665,1085
18,Punjab,Ropar,23,21,3,6,10,7,3,0,0,1,41,64,0,4,17,1,364,555
19,Punjab,Sangrur,33,14,3,5,9,4,5,0,0,0,33,37,0,17,15,1,244,411
20,Punjab,Tarn Taran,34,19,1,1,2,0,2,3,0,2,13,20,0,6,9,0,168,278
21,Punjab,Total,662,390,99,108,220,135,85,10,15,46,989,1275,7,147,532,11,6120,10631
1,Rajasthan,Ajmer,43,92,4,23,97,97,0,5,0,50,313,505,563,30,368,2,2729,4824
2,Rajasthan,Alwar,97,82,1,39,121,103,18,8,0,38,357,930,1169,35,266,5,3399,6547
3,Rajasthan,Banswara,45,51,0,78,87,86,1,4,0,59,159,188,795,16,62,5,2692,4241
4,Rajasthan,Baran,51,51,1,35,91,77,14,3,0,45,244,335,297,24,79,0,1897,3153
5,Rajasthan,Barmer,22,6,6,14,30,20,10,0,0,33,148,180,142,9,91,17,1378,2076
6,Rajasthan,Bharatpur,87,71,7,42,115,82,33,6,0,58,247,821,784,25,188,6,3163,5620
7,Rajasthan,Bhilwara,16,15,7,53,199,173,26,0,0,31,378,558,789,16,302,9,3106,5479
8,Rajasthan,Bikaner,35,88,3,36,31,28,3,3,0,10,199,388,144,9,133,0,2284,3363
9,Rajasthan,Bundi,33,140,4,36,98,84,14,2,0,49,203,302,295,18,93,0,1867,3140
10,Rajasthan,Chittorgarh,53,31,7,45,206,190,16,10,0,70,527,772,804,16,254,8,3296,6099
11,Rajasthan,Churu,42,47,0,41,20,12,8,1,0,10,159,248,217,12,133,12,1713,2655
12,Rajasthan,Dausa,25,39,2,10,47,13,34,3,0,26,146,362,927,17,90,1,1208,2903
13,Rajasthan,Dholpur,66,84,4,16,71,56,15,5,4,25,199,377,646,18,30,2,1645,3198
14,Rajasthan,Dungarpur,28,25,4,29,36,36,0,4,0,13,73,107,303,19,33,5,1410,2089
15,Rajasthan,Ganganagar,97,99,4,67,57,48,9,1,0,13,354,484,271,49,277,3,3920,566
16,Rajasthan,Hanumangarh,76,97,2,27,25,21,4,0,0,14,186,250,181,28,203,1,2396,3486
17,Rajasthan,Jaipur,124,53,7,30,220,187,33,4,0,93,1120,3050,2804,219,990,123,7971,16808
18,Rajasthan,Jaisalmer,6,12,2,2,3,1,2,1,0,10,61,134,110,1,12,0,447,801
19,Rajasthan,Jalore,18,20,0,13,33,24,9,0,0,24,67,130,199,9,70,4,1470,2057
20,Rajasthan,Jhalawar,56,113,0,90,93,93,0,5,0,52,307,295,339,16,58,2,1728,3154
21,Rajasthan,Jhunjhunu,53,14,8,13,26,9,17,1,0,11,142,261,588,3,79,13,1670,2882
22,Rajasthan,Jodhpur,56,45,7,21,80,55,25,3,0,67,385,772,588,54,323,25,3530,5956
23,Rajasthan,Kota,72,248,7,51,168,83,85,2,2,92,642,974,506,45,260,4,3407,6480
24,Rajasthan,Nagaur,34,18,0,24,32,22,10,2,0,24,162,285,433,7,177,2,2576,3776
25,Rajasthan,Pali,36,21,0,13,70,60,10,2,2,18,155,233,303,27,148,2,2260,3290
26,Rajasthan,Rajsanand,24,12,4,17,81,81,0,0,0,18,130,190,317,15,86,0,1598,2492
27,Rajasthan,Sawal Madhopur,48,53,1,43,96,96,0,5,0,38,272,529,1441,17,170,8,2205,4926
28,Rajasthan,Sikar,40,28,28,12,36,36,0,2,0,20,258,370,1148,27,200,3,1827,3999
29,Rajasthan,Sirohi,23,16,0,17,45,45,0,1,0,15,129,131,173,11,57,4,1333,1955
30,Rajasthan,Tonk,19,45,4,16,81,65,16,1,0,10,155,303,581,16,97,4,1781,3113
31,Rajasthan,Udaipur,68,37,0,48,134,125,9,3,0,93,444,704,862,34,212,11,3462,6112
32,Rajasthan,G.R.P,6,8,0,1,2,2,0,1,0,8,6,349,22,4,8,6,234,655
33,Rajasthan,Total,1499,1761,124,1002,2531,2110,421,88,8,1137,8329,15517,18741,846,5549,287,75602,133019
1,Sikkam,East,3,2,0,3,7,7,0,1,0,6,80,103,29,4,6,1,253,498
2,Sikkam,North,1,0,0,0,0,0,0,0,0,0,3,23,4,0,0,0,33,64
3,Sikkam,South,1,2,0,4,4,4,0,1,0,2,23,20,8,1,1,1,86,154
4,Sikkam,West,1,0,0,2,3,3,0,3,0,1,19,14,14,0,0,0,56,111
5,Sikkam,Total,6,4,0,9,14,14,0,5,0,9,123,160,55,5,7,2,428,827
1,Tamil Nadu,Chengai MGR (East),91,76,0,7,29,29,0,12,0,33,375,1254,99,43,79,0,2742,4840
2,Tamil Nadu,Chengai MGR (West),47,42,1,13,23,23,0,3,0,12,226,872,276,7,28,9,5584,7143
3,Tamil Nadu,Chidambaranar,99,59,2,15,17,17,0,1,0,18,175,491,406,11,17,3,2203,3517
4,Tamil Nadu,Coimbatore Rural,66,30,1,8,26,26,0,18,0,10,287,1003,538,14,34,7,3557,5599
5,Tamil Nadu,Coimbatore Urban,23,21,0,1,5,3,2,0,0,15,230,778,229,8,20,93,1663,3086
6,Tamil Nadu,Cuddalore,64,88,2,0,14,14,0,0,0,6,149,709,317,5,2,16,2296,3668
7,Tamil Nadu,Dharmapuri,108,74,0,5,35,35,0,14,0,20,275,512,311,9,20,11,2839,4233
8,Tamil Nadu,Dindigal Anna,51,53,3,18,12,12,0,10,0,12,204,615,115,10,30,1,2999,4133
9,Tamil Nadu,Kamarajar,53,34,1,16,22,16,6,3,0,7,174,443,158,19,24,13,3157,4124
10,Tamil Nadu,Kanyakummari,55,49,2,2,3,3,0,1,0,8,270,278,279,6,21,7,3332,4253
11,Tamil Nadu,Madras,94,256,10,14,25,25,0,4,0,63,453,2829,68,267,364,68,1472,5987
12,Tamil Nadu,Madurai Rural,82,110,2,25,61,59,2,6,0,23,314,832,704,15,19,15,4164,6372
13,Tamil Nadu,Madurai Urban,26,80,0,4,12,12,0,4,0,42,171,977,157,30,99,93,2142,3837
14,Tamil Nadu,N.A. Ambedkar,72,46,7,7,34,29,5,8,0,8,355,979,705,46,54,47,4086,6454
15,Tamil Nadu,Nagai Quaid-e-milleth,71,53,0,7,22,22,6,4,0,5,217,764,160,7,16,2,4202,5530
16,Tamil Nadu,Pasumpon M. Thevar,25,37,1,5,25,19,5,0,0,4,160,317,102,10,23,0,1914,2623
17,Tamil Nadu,Periyar,79,26,0,5,11,6,0,4,0,14,226,886,111,15,28,11,3360,4776
18,Tamil Nadu,Pudukottai,26,31,0,5,17,17,0,4,0,5,119,385,274,2,25,2,1704,2599
19,Tamil Nadu,Ramnathapuram,32,94,0,11,6,6,0,1,0,18,114,147,210,3,8,1,1812,2447
20,Tamil Nadu,Salem,150,110,6,15,56,56,0,7,0,31,458,1131,474,22,36,29,1413,3938
21,Tamil Nadu,T.V.M. Sambuvarayar,40,31,0,1,19,19,0,0,0,11,173,517,416,11,21,6,2109,3355
22,Tamil Nadu,Thanjavur,74,80,1,9,23,23,0,3,0,7,219,508,172,15,35,14,4379,5539
23,Tamil Nadu,The Nilgiris,15,8,0,0,0,0,0,2,0,1,208,144,83,14,17,1,907,1400
24,Tamil Nadu,Tin. Katttabomman,100,85,2,21,25,25,0,4,0,23,256,687,157,14,29,41,4510,5954
25,Tamil Nadu,Trichy,118,87,0,11,9,9,0,4,0,6,355,1098,173,18,87,71,4635,6672
26,Tamil Nadu,Villupuram,79,91,3,12,45,45,0,7,0,7,181,499,695,22,38,6,4544,6229
27,Tamil Nadu,Madras Rly.,0,1,0,0,0,0,0,0,0,1,0,235,6,3,3,0,234,483
28,Tamil Nadu,Trichy Rly.,2,2,0,0,0,0,0,0,0,1,4,96,8,4,1,0,162,280
29,Tamil Nadu,Total,1742,1754,44,237,576,550,26,124,0,401,6348,19986,7343,650,1178,567,78121,119071
1,Tripura,North,75,21,1,21,45,18,27,32,0,62,132,114,58,5,4,2,428,1000
2,Tripura,South,63,15,0,16,31,6,25,70,0,70,118,104,107,1,2,1,342,940
3,Tripura,West,146,25,0,24,38,9,29,52,0,45,158,389,118,7,13,8,834,1857
4,Tripura,Total,284,61,1,61,114,33,81,154,0,177,408,607,283,13,19,11,1604,3797
1,Uttar Pradesh,Agra,200,160,26,34,129,82,47,45,2,162,537,1357,295,166,169,6,2977,6265
2,Uttar Pradesh,Aligarh,363,352,26,45,181,93,88,67,4,174,365,1047,290,66,82,7,2001,5070
3,Uttar Pradesh,Allahabad,405,463,47,78,139,16,123,66,0,332,817,1670,404,151,148,0,4100,8820
4,Uttar Pradesh,Almora,24,30,5,4,12,0,12,1,0,41,101,98,67,18,8,0,306,715
5,Uttar Pradesh,Azamgarh,150,136,28,17,40,33,7,31,4,94,254,303,157,18,59,3,1050,2344
6,Uttar Pradesh,Badaun,308,295,26,38,151,54,97,34,3,151,248,743,136,44,43,1,1734,3955
7,Uttar Pradesh,Bahraich,117,78,6,39,65,52,13,30,5,57,375,446,126,34,40,0,1012,2430
8,Uttar Pradesh,Ballia,59,50,34,12,31,22,9,10,1,18,174,323,128,14,15,0,1034,1903
9,Uttar Pradesh,Banda,127,83,97,38,37,12,25,28,3,66,279,384,124,54,26,0,1474,2820
10,Uttar Pradesh,Barabanki,175,120,14,37,67,67,0,19,4,117,298,521,130,60,18,0,1390,2970
11,Uttar Pradesh,Bareily,353,289,72,65,124,101,23,38,41,214,502,1252,174,106,100,1,2155,5486
12,Uttar Pradesh,Basti,67,69,13,17,39,39,0,19,3,47,214,365,130,49,28,0,1173,2233
13,Uttar Pradesh,Bijnor,210,198,17,41,96,62,34,18,2,100,180,526,155,32,75,7,1502,3159
14,Uttar Pradesh,Bulandshahar,348,322,32,44,159,101,58,65,3,177,523,876,334,89,61,3,1875,4911
15,Uttar Pradesh,Chamoli,15,13,4,2,4,4,0,5,0,6,75,44,66,5,8,0,113,360
16,Uttar Pradesh,Dehradun,55,71,8,22,58,47,11,14,2,38,190,517,127,40,61,4,739,1946
17,Uttar Pradesh,Deoria,106,89,17,14,37,35,2,53,5,78,268,364,175,51,109,21,1154,2541
18,Uttar Pradesh,Etah,349,287,31,37,114,41,73,30,0,101,238,477,218,51,31,1,1369,3334
19,Uttar Pradesh,Etawah,182,172,17,44,114,34,80,54,0,131,192,518,205,65,67,0,2107,3868
20,Uttar Pradesh,Faizabad,143,147,16,38,77,41,36,54,9,171,455,683,232,76,36,10,1654,3801
21,Uttar Pradesh,Fathegarh,312,277,18,27,145,56,89,36,4,95,316,500,169,42,64,0,1744,3749
22,Uttar Pradesh,Fatehpur,171,71,44,16,29,25,4,9,0,31,135,220,33,22,29,0,866,1676
