Sr. No.,Category,States/UTs/Cities,"Murder (Sec.302,303 IPC) - 2005","Murder (Sec.302,303 IPC) - 2006","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2005,Attempt to Commit Murder (Sec.307 IPC) - 2006,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2005","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2006","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) Total - 2005,Rape (Sec. 376 IPC) Total - 2006,Rape (Sec. 376 IPC) Total - % Variation,Rape (Sec. 376 IPC) Custodial - 2005,Rape (Sec. 376 IPC) Custodial - 2006,Rape (Sec. 376 IPC) Custodial - % Variation,Rape (Sec. 376 IPC) Other - 2005,Rape (Sec. 376 IPC) Other - 2006,Rape (Sec. 376 IPC) Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2005","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2005,Dacoity (Sec. 395-398 IPC) - 2006,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2005,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2006,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2005","Robbery (Sec.392-394, 397, 398 IPC) - 2006","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2005","Burglary (Sec.449-452,454,455,457-460 IPC) - 2006","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) Total - 2005,Theft (Sec. 379 - 382 IPC) Total - 2006,Theft (Sec. 379 - 382 IPC) Total - % Variation,Theft (Sec. 379 - 382 IPC) Auto Theft - 2005,Theft (Sec. 379 - 382 IPC) Auto Theft - 2006,Theft (Sec. 379 - 382 IPC) Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) Other Theft - 2005,Theft (Sec. 379 - 382 IPC) Other Theft - 2006,Theft (Sec. 379 - 382 IPC) Other Theft - % Variation,"Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - 2005","Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - 2006","Riots (Sec.143-145,147-151,153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust ( Sec. 406-409 IPC) - 2005,Criminal Breach of Trust ( Sec. 406-409 IPC) - 2006,Criminal Breach of Trust ( Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419, 420 IPC) - 2005","Cheating (Sec. 419, 420 IPC) - 2006","Cheating (Sec. 419, 420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2005","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2006","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2005","Arson (Sec.435,436,438 IPC) - 2006","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2005","Hurt (Sec.323-333, 335-338 IPC) - 2006","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2005,Dowry Deaths (Sec.304B IPC) - 2006,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2005,Molestation (Sec.354 IPC) - 2006,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2005,Sexual Harassment (Sec.509 IPC) - 2006,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2005,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2006,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2005,Importation of Girls (Sec. 366B IPC) - 2006,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2005,Causing Death by Negligence (Sec. 304A IPC) - 2006,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes - 2005,Other IPC Crimes - 2006,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2005,Total Cognizable Crimes Under IPC - 2006,Total Cognizable Crimes Under IPC - % Variation
33,Union Territory,Delhi,455,476,4.6,467,510,9.2,64,75,17.2,658,623,-5.3,0,0,0,658,623,-5.3,1590,1442,-9.3,1106,1066,-3.6,484,376,-22.3,27,14,-48.1,157,200,27.4,510,541,6.1,2093,1950,-6.8,17955,17498,-2.5,8862,9366,5.7,9093,8132,-10.6,61,87,42.6,394,442,12.2,2378,2313,-2.7,36,42,16.7,47,33,-29.8,1814,1818,0.2,114,137,20.2,762,718,-5.8,225,144,-36,1324,1728,30.5,1,0,-100,634,367,-42.1,24299,26805,10.3,56065,57963,3.4
34,Union Territory,Lakshadweep,1,0,-100,0,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,7,17,142.9,0,1,NA,7,16,128.6,6,12,100,0,0,0,0,0,0,0,0,0,0,4,NA,4,5,25,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,22,37,68.2,42,80,90.5
35,Union Territory,Pondicherry,19,30,57.9,24,24,0,8,3,-62.5,6,9,50,0,0,0,6,9,50,6,18,200,3,13,333.3,3,5,66.7,1,2,100,0,0,0,5,3,-40,67,84,25.4,466,560,20.2,235,320,36.2,231,240,3.9,159,194,22,8,6,-25,41,36,-12.2,0,2,NA,9,22,144.4,857,927,8.2,4,3,-25,60,56,-6.7,26,39,50,6,19,216.7,0,0,0,224,209,-6.7,2579,2441,-5.4,4575,4687,2.4
Union Territory,Union Territory,Total (UTs),519,537,3.5,516,564,9.3,79,88,11.4,708,666,-5.9,0,0,0,708,666,-5.9,1669,1551,-7.1,1166,1156,-0.9,503,395,-21.5,35,30,-14.3,159,203,27.7,533,589,10.5,2515,2408,-4.3,20017,19534,-2.4,9726,10268,5.6,10291,9266,-10,310,379,22.3,469,549,17.1,2606,2609,0.1,47,56,19.1,65,83,27.7,2860,2936,2.7,122,151,23.8,870,815,-6.3,261,201,-23,1418,1864,31.5,1,0,-100,911,634,-30.4,28484,30808,8.2,65174,67255,3.2
Total (All-India),Total (All-India),Total (All-India),32719,32481,-0.7,28031,27230,-2.9,3578,3535,-1.2,18359,19348,5.4,7,2,-71.4,18352,19346,5.4,22832,23991,5.1,15750,17414,10.6,7082,6577,-7.1,5141,4747,-7.7,2834,3129,10.4,17673,18456,4.4,90108,91666,1.7,273111,274354,0.5,85709,90951,6.1,187402,183403,-2.1,56235,56641,0.7,13572,13636,0.5,53625,58076,8.3,2383,2169,-9,8451,8480,0.3,270861,264748,-2.3,6787,7618,12.2,34175,36617,7.1,9984,9966,-0.2,58319,63128,8.2,149,67,-55,71698,78513,9.5,741977,779697,5.1,1822602,1878293,3.1
36,City,Agra,59,56,-5.1,49,78,59.2,14,19,35.7,20,15,-25,0,0,0,20,15,-25,88,138,56.8,66,110,66.7,22,28,27.3,11,5,-54.5,2,1,-50,45,75,66.7,127,206,62.2,994,1310,31.8,699,841,20.3,295,469,59,109,137,25.7,71,95,33.8,126,206,63.5,4,9,125,5,0,-100,223,239,7.2,15,34,126.7,46,59,28.3,146,128,-12.3,190,286,50.5,0,0,0,171,189,10.5,733,1125,53.5,3248,4410,35.8
37,City,Ahmedabad,76,99,30.3,49,60,22.4,4,7,75,35,46,31.4,0,0,0,35,46,31.4,219,182,-16.9,136,146,7.4,83,36,-56.6,23,23,0,3,3,0,159,172,8.2,825,802,-2.8,5359,5388,0.5,2264,2317,2.3,3095,3071,-0.8,150,128,-14.7,267,266,-0.4,344,297,-13.7,9,10,11.1,6,5,-16.7,1361,1371,0.7,1,4,300,54,72,33.3,26,22,-15.4,745,956,28.3,0,0,0,188,227,20.7,7565,9098,20.3,17468,19238,10.1
38,City,Allahabad,60,50,-16.7,47,40,-14.9,11,10,-9.1,5,5,0,0,0,0,5,5,0,22,37,68.2,15,27,80,7,10,42.9,2,2,0,0,0,0,15,16,6.7,100,98,-2,311,370,19,195,229,17.4,116,141,21.6,49,22,-55.1,26,26,0,78,107,37.2,6,11,83.3,12,1,-91.7,34,38,11.8,8,10,25,4,9,125,19,23,21.1,38,72,89.5,0,0,0,73,78,6.8,644,564,-12.4,1564,1589,1.6
39,City,Amritsar,34,38,11.8,26,38,46.2,3,2,-33.3,4,12,200,0,0,0,4,12,200,18,23,27.8,12,19,58.3,6,4,-33.3,0,5,NA,7,9,28.6,2,16,700,72,125,73.6,101,324,220.8,46,160,247.8,55,164,198.2,0,0,0,15,20,33.3,120,101,-15.8,5,9,80,0,0,0,96,117,21.9,2,4,100,6,5,-16.7,3,0,-100,34,47,38.2,0,0,0,58,79,36.2,325,321,-1.2,931,1295,39.1
40,City,Asansol,27,42,55.6,2,16,700,2,18,800,9,19,111.1,0,0,0,9,19,111.1,14,16,14.3,14,12,-14.3,0,4,NA,3,3,0,23,40,73.9,7,17,142.9,15,9,-40,158,154,-2.5,93,35,-62.4,65,119,83.1,69,51,-26.1,14,3,-78.6,13,15,15.4,3,0,-100,1,3,200,40,47,17.5,4,13,225,10,11,10,0,0,0,340,158,-53.5,0,0,0,105,87,-17.1,358,977,172.9,1217,1699,39.6
41,City,Bangalore,242,218,-9.9,282,324,14.9,5,7,40,38,33,-13.2,0,0,0,38,33,-13.2,131,99,-24.4,25,29,16,106,70,-34,35,37,5.7,82,204,148.8,594,647,8.9,1771,1666,-5.9,9617,7354,-23.5,3753,3501,-6.7,5864,3853,-34.3,377,710,88.3,172,192,11.6,1633,1554,-4.8,90,55,-38.9,5,5,0,3474,2640,-24,39,50,28.2,167,143,-14.4,39,2,-94.9,287,290,1,0,0,0,93,113,21.5,9869,9941,0.7,29042,26284,-9.5
42,City,Bhopal,54,43,-20.4,52,60,15.4,0,0,0,54,52,-3.7,0,0,0,54,52,-3.7,27,43,59.3,21,38,81,6,5,-16.7,3,7,133.3,1,1,0,93,134,44.1,646,744,15.2,1309,1422,8.6,672,740,10.1,637,682,7.1,32,39,21.9,16,12,-25,99,108,9.1,3,6,100,14,14,0,404,407,0.7,7,15,114.3,120,121,0.8,41,33,-19.5,119,97,-18.5,0,0,0,137,149,8.8,4861,6961,43.2,8092,10468,29.4
43,City,Chennai,123,131,6.5,175,193,10.3,4,5,25,43,29,-32.6,0,0,0,43,29,-32.6,55,59,7.3,31,41,32.3,24,18,-25,5,5,0,0,0,0,59,58,-1.7,597,560,-6.2,3063,2363,-22.9,594,351,-40.9,2469,2012,-18.5,78,130,66.7,8,14,75,530,535,0.9,6,14,133.3,0,1,NA,1124,1198,6.6,30,32,6.7,82,87,6.1,102,88,-13.7,236,213,-9.7,0,0,0,1041,1330,27.8,12766,9123,-28.5,20127,16168,-19.7
44,City,Coimbatore,19,28,47.4,20,13,-35,1,0,-100,6,8,33.3,0,0,0,6,8,33.3,4,7,75,3,3,0,1,4,300,2,2,0,0,0,0,31,24,-22.6,153,181,18.3,896,892,-0.4,263,211,-19.8,633,681,7.6,194,14,-92.8,32,11,-65.6,109,95,-12.8,1,10,900,1,1,0,120,172,43.3,3,5,66.7,21,11,-47.6,5,11,120,31,30,-3.2,0,0,0,184,261,41.8,2012,2198,9.2,3845,3974,3.4
45,City,Delhi (city),369,396,7.3,387,448,15.8,58,66,13.8,562,533,-5.2,0,0,0,562,533,-5.2,1302,1272,-2.3,900,953,5.9,402,319,-20.6,23,12,-47.8,144,169,17.4,451,480,6.4,1826,1767,-3.2,16897,16524,-2.2,8376,8851,5.7,8521,7673,-10,52,81,55.8,357,414,16,2273,2198,-3.3,36,42,16.7,42,29,-31,1640,1640,0,94,120,27.7,654,629,-3.8,197,129,-34.5,1287,1646,27.9,1,0,-100,568,328,-42.3,21790,24084,10.5,51010,53007,3.9
46,City,Dhanbad,30,26,-13.3,18,16,-11.1,7,3,-57.1,24,21,-12.5,0,0,0,24,21,-12.5,32,16,-50,24,11,-54.2,8,5,-37.5,19,10,-47.4,1,1,0,27,21,-22.2,83,89,7.2,269,268,-0.4,84,96,14.3,185,172,-7,113,119,5.3,14,10,-28.6,39,31,-20.5,0,2,NA,0,2,NA,369,213,-42.3,18,15,-16.7,1,3,200,0,0,0,7,10,42.9,0,0,0,0,0,0,687,701,2,1758,1577,-10.3
47,City,Faridabad,40,58,45,17,45,164.7,3,7,133.3,18,40,122.2,0,0,0,18,40,122.2,60,86,43.3,44,66,50,16,20,25,2,7,250,26,30,15.4,12,36,200,237,369,55.7,844,1241,47,716,902,26,128,339,164.8,77,138,79.2,82,106,29.3,32,45,40.6,3,2,-33.3,1,11,1000,159,244,53.5,7,14,100,16,35,118.8,199,144,-27.6,119,146,22.7,0,0,0,14,12,-14.3,1185,1866,57.5,3153,4682,48.5
48,City,Hyderabad,108,125,15.7,130,116,-10.8,4,6,50,67,93,38.8,0,0,0,67,93,38.8,137,143,4.4,70,77,10,67,66,-1.5,8,12,50,3,0,-100,125,99,-20.8,1161,1186,2.2,5022,4408,-12.2,2012,1691,-16,3010,2717,-9.7,96,128,33.3,94,84,-10.6,1880,1777,-5.5,17,13,-23.5,40,26,-35,4227,4581,8.4,27,29,7.4,119,189,58.8,348,108,-69,1309,1160,-11.4,0,0,0,514,582,13.2,1840,2430,32.1,17276,17295,0.1
49,City,Indore,71,58,-18.3,94,107,13.8,6,1,-83.3,71,73,2.8,0,0,0,71,73,2.8,43,32,-25.6,30,27,-10,13,5,-61.5,4,7,75,3,5,66.7,80,95,18.8,848,783,-7.7,2404,3044,26.6,1436,1936,34.8,968,1108,14.5,76,88,15.8,72,36,-50,127,122,-3.9,5,4,-20,24,25,4.2,986,1177,19.4,19,12,-36.8,133,162,21.8,49,43,-12.2,213,218,2.3,0,0,0,227,232,2.2,7001,6281,-10.3,12556,12605,0.4
50,City,Jabalpur,40,32,-20,92,95,3.3,0,9,NA,49,54,10.2,0,0,0,49,54,10.2,25,25,0,15,20,33.3,10,5,-50,1,3,200,3,7,133.3,59,73,23.7,243,285,17.3,571,679,18.9,375,478,27.5,196,201,2.6,61,61,0,26,23,-11.5,94,147,56.4,4,29,625,4,8,100,2762,3006,8.8,19,13,-31.6,133,161,21.1,94,68,-27.7,97,118,21.6,0,0,0,205,192,-6.3,1500,1156,-22.9,6082,6244,2.7
51,City,Jaipur,46,59,28.3,76,63,-17.1,5,2,-60,57,58,1.8,0,0,0,57,58,1.8,149,160,7.4,123,137,11.4,26,23,-11.5,0,5,NA,3,5,66.7,30,46,53.3,634,682,7.6,3319,3614,8.9,1743,1948,11.8,1576,1666,5.7,354,300,-15.3,176,249,41.5,1460,1435,-1.7,19,10,-47.4,9,11,22.2,871,679,-22,16,23,43.8,121,110,-9.1,1,2,100,392,451,15.1,0,0,0,464,504,8.6,3588,5409,50.8,11790,13877,17.7
52,City,Jamshedpur,55,58,5.5,91,86,-5.5,6,4,-33.3,28,29,3.6,0,0,0,28,29,3.6,34,34,0,32,24,-25,2,10,400,10,12,20,5,1,-80,41,18,-56.1,144,159,10.4,633,673,6.3,82,182,122,551,491,-10.9,65,86,32.3,58,62,6.9,109,92,-15.6,3,9,200,9,8,-11.1,60,371,518.3,8,16,100,21,33,57.1,0,1,NA,36,73,102.8,0,0,0,137,69,-49.6,985,730,-25.9,2538,2624,3.4
53,City,Kanpur,150,144,-4,91,97,6.6,40,34,-15,18,27,50,0,0,0,18,27,50,107,117,9.3,90,87,-3.3,17,30,76.5,11,12,9.1,2,0,-100,45,63,40,137,172,25.5,803,837,4.2,526,605,15,277,232,-16.2,94,128,36.2,141,129,-8.5,218,250,14.7,8,6,-25,5,4,-20,261,368,41,51,67,31.4,43,64,48.8,227,179,-21.1,205,273,33.2,0,0,0,328,114,-65.2,733,1651,125.2,3718,4736,27.4
54,City,Kochi,15,13,-13.3,12,12,0,11,8,-27.3,7,14,100,0,0,0,7,14,100,6,11,83.3,1,8,700,5,3,-40,10,6,-40,0,0,0,40,44,10,214,187,-12.6,447,340,-23.9,155,109,-29.7,292,231,-20.9,169,180,6.5,12,10,-16.7,248,323,30.2,1,0,-100,5,5,0,521,420,-19.4,2,0,-100,33,65,97,12,20,66.7,66,87,31.8,0,0,0,0,2,NA,4099,3952,-3.6,5930,5699,-3.9
55,City,Kolkata,43,25,-41.9,73,72,-1.4,16,11,-31.3,13,38,192.3,0,0,0,13,38,192.3,82,94,14.6,66,76,15.2,16,18,12.5,17,11,-35.3,59,56,-5.1,55,51,-7.3,130,115,-11.5,2639,2566,-2.8,548,581,6,2091,1985,-5.1,183,167,-8.7,215,210,-2.3,935,963,3,11,16,45.5,0,0,0,1032,1057,2.4,6,4,-33.3,148,173,16.9,35,37,5.7,236,276,16.9,0,1,NA,486,488,0.4,2977,2950,-0.9,9391,9381,-0.1
56,City,Lucknow,129,113,-12.4,114,139,21.9,24,25,4.2,28,29,3.6,0,0,0,28,29,3.6,111,166,49.5,103,131,27.2,8,35,337.5,3,3,0,3,2,-33.3,58,216,272.4,350,399,14,1815,2121,16.9,973,1246,28.1,842,875,3.9,196,211,7.7,199,198,-0.5,389,418,7.5,43,36,-16.3,0,0,0,48,53,10.4,22,21,-4.5,36,56,55.6,144,154,6.9,247,315,27.5,0,0,0,180,256,42.2,2008,1841,-8.3,6147,6772,10.2
57,City,Ludhiana,56,58,3.6,52,72,38.5,14,8,-42.9,39,36,-7.7,0,0,0,39,36,-7.7,49,92,87.8,36,57,58.3,13,35,169.2,0,3,NA,15,20,33.3,5,13,160,192,185,-3.6,358,490,36.9,191,285,49.2,167,205,22.8,0,0,0,30,34,13.3,316,306,-3.2,6,2,-66.7,5,6,20,196,251,28.1,5,10,100,25,24,-4,25,16,-36,84,86,2.4,0,0,0,216,226,4.6,853,879,3,2541,2817,10.9
58,City,Madurai,21,23,9.5,40,33,-17.5,0,0,0,5,9,80,0,0,0,5,9,80,30,19,-36.7,23,7,-69.6,7,12,71.4,1,3,200,0,0,0,24,7,-70.8,101,62,-38.6,430,439,2.1,97,91,-6.2,333,348,4.5,126,10,-92.1,5,10,100,222,130,-41.4,5,3,-40,1,6,500,92,100,8.7,3,4,33.3,28,12,-57.1,29,15,-48.3,43,35,-18.6,0,0,0,112,125,11.6,2066,1419,-31.3,3384,2464,-27.2
59,City,Meerut,81,66,-18.5,84,84,0,9,7,-22.2,12,13,8.3,0,0,0,12,13,8.3,60,55,-8.3,35,44,25.7,25,11,-56,9,3,-66.7,1,1,0,44,42,-4.5,136,86,-36.8,718,597,-16.9,444,379,-14.6,274,218,-20.4,64,94,46.9,66,50,-24.2,111,126,13.5,6,8,33.3,0,3,NA,19,69,263.2,11,5,-54.5,28,29,3.6,76,72,-5.3,191,162,-15.2,0,0,0,121,99,-18.2,592,729,23.1,2439,2400,-1.6
60,City,Mumbai,212,239,12.7,136,135,-0.7,8,5,-37.5,201,165,-17.9,0,0,0,201,165,-17.9,198,190,-4,122,129,5.7,76,61,-19.7,47,29,-38.3,57,61,7,362,292,-19.3,3175,3111,-2,11903,11685,-1.8,3494,3552,1.7,8409,8133,-3.3,261,278,6.5,536,510,-4.9,1664,1701,2.2,169,137,-18.9,10,15,50,3731,3797,1.8,9,17,88.9,385,357,-7.3,99,102,3,336,327,-2.7,0,1,NA,658,778,18.2,7275,7138,-1.9,31432,31070,-1.2
61,City,Nagpur,106,85,-19.8,68,51,-25,3,4,33.3,52,51,-1.9,0,0,0,52,51,-1.9,57,58,1.8,48,42,-12.5,9,16,77.8,16,22,37.5,32,40,25,184,169,-8.2,1236,1275,3.2,2733,2602,-4.8,939,882,-6.1,1794,1720,-4.1,246,247,0.4,59,57,-3.4,272,326,19.9,15,11,-26.7,26,14,-46.2,973,1006,3.4,4,7,75,76,72,-5.3,52,42,-19.2,185,180,-2.7,0,0,0,249,283,13.7,2961,3389,14.5,9605,9991,4
62,City,Nasik,28,38,35.7,17,14,-17.6,2,1,-50,21,14,-33.3,0,0,0,21,14,-33.3,16,32,100,13,22,69.2,3,10,233.3,4,5,25,6,2,-66.7,19,48,152.6,387,438,13.2,836,925,10.6,365,368,0.8,471,557,18.3,97,135,39.2,15,19,26.7,168,128,-23.8,9,6,-33.3,5,5,0,231,222,-3.9,0,2,NA,35,36,2.9,13,15,15.4,121,119,-1.7,0,0,0,160,172,7.5,586,575,-1.9,2776,2951,6.3
63,City,Patna,239,206,-13.8,40,46,15,12,63,425,27,25,-7.4,0,0,0,27,25,-7.4,195,225,15.4,32,54,68.8,163,171,4.9,74,48,-35.1,21,9,-57.1,537,471,-12.3,415,531,28,1002,1178,17.6,915,888,-3,87,290,233.3,179,187,4.5,34,3,-91.2,172,225,30.8,2,6,200,12,3,-75,201,32,-84.1,32,34,6.3,4,9,125,2,2,0,121,165,36.4,0,0,0,155,219,41.3,4412,4745,7.5,7888,8432,6.9
64,City,Pune,106,104,-1.9,85,99,16.5,7,4,-42.9,79,77,-2.5,0,0,0,79,77,-2.5,102,108,5.9,72,74,2.8,30,34,13.3,27,31,14.8,18,21,16.7,190,219,15.3,1201,1047,-12.8,4322,4068,-5.9,2165,2181,0.7,2157,1887,-12.5,474,497,4.9,72,81,12.5,609,533,-12.5,22,16,-27.3,16,13,-18.8,1258,1236,-1.7,1,6,500,107,104,-2.8,95,87,-8.4,201,236,17.4,0,0,0,407,454,11.5,2418,2443,1,11817,11484,-2.8
65,City,Rajkot,24,29,20.8,12,15,25,0,0,0,7,4,-42.9,0,0,0,7,4,-42.9,37,26,-29.7,33,18,-45.5,4,8,100,7,1,-85.7,0,0,0,31,26,-16.1,265,260,-1.9,989,718,-27.4,529,424,-19.8,460,294,-36.1,64,46,-28.1,39,12,-69.2,47,39,-17,43,18,-58.1,5,3,-40,333,369,10.8,0,1,NA,7,5,-28.6,7,12,71.4,153,165,7.8,0,0,0,93,94,1.1,1771,1646,-7.1,3934,3489,-11.3
66,City,Surat,86,103,19.8,23,30,30.4,3,1,-66.7,23,31,34.8,0,0,0,23,31,34.8,114,130,14,72,86,19.4,42,44,4.8,22,15,-31.8,4,2,-50,56,72,28.6,429,500,16.6,1797,2206,22.8,1140,1457,27.8,657,749,14,118,145,22.9,65,55,-15.4,202,258,27.7,31,24,-22.6,8,10,25,637,759,19.2,12,22,83.3,50,46,-8,4,6,50,190,249,31.1,0,0,0,404,336,-16.8,995,3659,267.7,5273,8659,64.2
67,City,Vadodara,26,32,23.1,24,34,41.7,1,2,100,5,6,20,0,0,0,5,6,20,39,54,38.5,26,42,61.5,13,12,-7.7,6,8,33.3,2,0,-100,20,35,75,392,482,23,1341,1319,-1.6,689,678,-1.6,652,641,-1.7,174,147,-15.5,34,30,-11.8,192,199,3.6,16,14,-12.5,6,31,416.7,300,316,5.3,0,0,0,13,17,30.8,2,2,0,136,181,33.1,0,0,0,122,134,9.8,2425,2629,8.4,5276,5672,7.5
68,City,Varanasi,54,45,-16.7,36,47,30.6,14,10,-28.6,6,5,-16.7,0,0,0,6,5,-16.7,22,33,50,12,29,141.7,10,4,-60,0,0,0,1,5,400,17,22,29.4,74,94,27,304,653,114.8,170,505,197.1,134,148,10.4,37,79,113.5,35,58,65.7,50,88,76,13,17,30.8,0,0,0,33,72,118.2,7,15,114.3,1,29,2800,34,25,-26.5,21,50,138.1,0,0,0,61,94,54.1,394,529,34.3,1214,1970,62.3
69,City,Vijayawada,41,43,4.9,40,50,25,4,6,50,32,21,-34.4,0,1,NA,32,20,-37.5,87,86,-1.1,49,60,22.4,38,26,-31.6,3,3,0,0,0,0,31,34,9.7,456,392,-14,1724,1495,-13.3,419,424,1.2,1305,1071,-17.9,9,11,22.2,23,58,152.2,443,410,-7.4,8,12,50,22,10,-54.5,1513,1619,7,8,8,0,64,135,110.9,122,158,29.5,296,336,13.5,0,0,0,242,246,1.7,623,729,17,5791,5862,1.2
70,City,Vishakhapatnam,27,37,37,48,30,-37.5,0,1,NA,28,21,-25,0,0,0,28,21,-25,37,49,32.4,15,40,166.7,22,9,-59.1,6,3,-50,1,1,0,19,27,42.1,393,417,6.1,987,1121,13.6,298,356,19.5,689,765,11,31,28,-9.7,58,66,13.8,279,261,-6.5,24,27,12.5,8,8,0,495,540,9.1,2,10,400,45,62,37.8,86,30,-65.1,361,397,10,0,0,0,184,247,34.2,1336,2095,56.8,4455,5478,23
City,City,Total (Cities),2897,2920,0.8,2602,2858,9.8,301,356,18.3,1693,1706,0.8,0,1,0,1693,1705,0.7,3709,3917,5.6,2409,2746,14,1300,1171,-9.9,414,363,-12.3,528,696,31.8,3567,3878,8.7,19165,19464,1.6,86915,85388,-1.8,37460,39480,5.4,49455,45908,-7.2,4474,4822,7.8,3138,3213,2.4,15603,15549,-0.3,646,594,-8,307,286,-6.8,29824,30426,2,492,642,30.5,2836,3135,10.5,2333,1776,-23.9,8673,9610,10.8,1,2,100,8357,8799,5.3,116233,125963,8.4,314708,326363,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
