State/UT/All-India,District,Murder (Sec.302 &303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. not Amounting to Murder (Sec.304 &308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 –402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 – 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","CounterFeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Gujarat,Patan,14,9,1,10,0,10,13,11,2,9,0,6,103,394,52,342,54,23,16,1,6,311,0,25,0,147,0,84,1453,2679
Gujarat,Porbandar,9,5,0,2,0,2,7,6,1,0,0,6,42,74,20,54,5,8,6,2,3,112,1,1,0,45,0,45,581,954
Gujarat,Rajkot Commr.,29,15,0,4,0,4,26,18,8,1,0,26,260,718,424,294,46,12,39,18,3,369,1,5,12,165,0,94,1646,3489
Gujarat,Rajkot Rural,42,20,3,21,0,21,37,33,4,10,0,31,259,387,129,258,41,106,17,10,16,427,1,34,5,300,0,298,2102,4167
Gujarat,Surat Commr.,103,30,1,31,0,31,130,86,44,15,2,72,500,2206,1457,749,145,55,258,24,10,759,22,46,6,249,0,336,3659,8659
Gujarat,Surat Rural,71,7,0,11,0,11,11,8,3,9,2,15,75,170,78,92,21,19,21,0,6,275,0,11,0,40,0,385,1217,2366
Gujarat,Surendranagar,30,15,0,17,0,17,23,20,3,6,0,20,118,259,54,205,55,47,8,3,6,381,1,34,2,81,0,191,1451,2748
Gujarat,Vadodara Commr.,32,34,2,6,0,6,54,42,12,8,0,35,482,1319,678,641,147,30,199,14,31,316,0,17,2,181,0,134,2629,5672
Gujarat,Vadodara Rural,82,19,0,10,0,10,20,16,4,7,0,13,81,171,49,122,37,40,14,2,14,354,0,10,1,39,0,216,1486,2616
Gujarat,Valsad,43,17,0,1,0,1,18,12,6,14,2,13,167,268,120,148,41,28,22,10,4,173,0,10,0,32,0,0,1203,2066
Gujarat,W.rly,13,5,1,2,0,2,6,4,2,4,0,58,21,868,42,826,20,4,44,0,0,46,0,6,1,2,0,6,209,1316
Gujarat,Total,1165,471,24,354,0,354,1128,945,183,290,12,970,5530,18475,7188,11287,1534,1246,1529,196,321,10685,50,736,138,4977,0,4339,66802,120972
Haryana,Ambala,39,12,2,19,0,19,22,16,6,7,6,18,308,438,207,231,3,55,141,5,8,264,9,26,27,174,0,5,1078,2666
Haryana,Bhiwani,45,29,0,35,0,35,34,26,8,9,4,21,180,406,215,191,159,23,93,1,17,303,19,38,8,100,0,7,988,2519
Haryana,Faridabad,58,45,7,40,0,40,86,66,20,7,30,36,369,1241,902,339,138,106,45,2,11,244,14,35,144,146,0,12,1866,4682
Haryana,Fatehabad,23,15,4,18,0,18,20,5,15,0,1,7,122,171,71,100,22,31,78,2,6,229,6,17,7,83,0,5,563,1430
Haryana,Grp,20,4,1,1,0,1,1,1,0,3,0,6,0,267,0,267,7,4,10,0,0,15,6,6,113,0,0,14,381,859
Haryana,Gurgaon,93,63,4,30,0,30,70,51,19,22,41,69,560,2090,1601,489,99,59,168,6,11,163,20,32,56,89,0,12,1771,5528
Haryana,Hissar,58,58,3,23,0,23,31,26,5,1,9,21,223,517,281,236,51,20,109,0,7,416,17,19,0,158,0,2,1374,3117
Haryana,Jhajjar,51,34,0,15,0,15,10,9,1,0,1,19,98,185,101,84,45,23,33,0,5,162,16,14,9,58,0,183,296,1257
Haryana,Jind,42,27,6,32,0,32,15,7,8,2,11,6,107,255,155,100,103,40,38,1,7,161,13,17,12,53,0,1,685,1634
Haryana,Kaithal,24,11,1,25,0,25,14,6,8,4,5,18,127,280,102,178,0,49,18,1,5,196,9,14,0,149,0,3,601,1554
Haryana,Karnal,32,29,6,51,0,51,40,23,17,6,11,21,238,703,376,327,60,22,133,3,15,790,13,35,1,214,0,261,459,3143
Haryana,Kurukshetra,24,19,4,34,0,34,24,15,9,4,2,15,213,533,281,252,3,78,68,0,10,226,5,10,37,116,0,5,1070,2500
Haryana,Mahendragarh,28,12,2,17,0,17,26,16,10,7,0,7,95,181,75,106,90,18,16,0,9,147,10,32,0,41,0,5,1110,1853
Haryana,Mewat,16,26,3,35,0,35,14,4,10,4,35,6,27,191,89,102,91,9,43,2,7,176,8,24,7,124,0,2,719,1569
Haryana,Palwal,33,24,1,26,0,26,23,17,6,4,5,27,73,233,159,74,69,20,52,1,2,143,5,21,0,47,0,154,560,1523
Haryana,Panchkula,14,6,0,10,0,10,15,13,2,0,0,9,119,222,110,112,2,6,23,1,0,45,2,13,0,63,0,0,800,1350
Haryana,Panipat,46,25,6,65,0,65,46,29,17,4,31,17,210,667,471,196,70,84,20,4,0,198,19,18,13,104,0,222,631,2500
Haryana,Rewari,32,26,2,21,0,21,15,9,6,6,7,23,164,278,144,134,52,18,40,2,8,159,4,23,0,51,0,7,1065,2003
Haryana,Rohtak,62,36,0,34,0,34,23,17,6,3,7,19,243,471,306,165,43,29,110,3,2,189,22,13,29,80,0,203,605,2226
Haryana,Sirsa,37,28,2,18,0,18,11,2,9,4,5,13,171,263,121,142,23,27,38,0,6,348,4,14,0,129,0,6,700,1847
Haryana,Sonipat,69,39,3,31,0,31,67,49,18,7,13,27,185,546,266,280,12,12,107,1,14,331,26,46,28,165,0,241,970,2940
Haryana,Yamunanagar,27,17,2,28,0,28,28,24,4,0,0,5,169,380,267,113,0,17,41,0,6,230,8,19,0,110,0,0,722,1809
Haryana,Total,873,585,59,608,0,608,635,431,204,104,224,410,4001,10518,6300,4218,1142,750,1424,35,156,5135,255,486,491,2254,0,1350,19014,50509
Himachal Pradesh,Bilaspur,6,9,1,11,0,11,4,2,2,1,0,3,42,60,10,50,35,12,7,1,19,46,0,27,3,23,0,37,845,1192
Himachal Pradesh,Chamba,14,4,0,4,0,4,12,11,1,0,0,0,108,39,10,29,9,3,1,0,6,48,0,18,0,3,0,37,286,592
Himachal Pradesh,G.r.p.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
Himachal Pradesh,Hamirpur,10,4,1,1,0,1,4,4,0,0,0,0,55,48,8,40,28,5,18,0,15,239,0,18,8,34,0,21,579,1088
Himachal Pradesh,Kangra,19,19,3,12,0,12,25,22,3,2,0,1,91,113,33,80,116,11,31,2,21,161,0,34,9,57,0,6,1395,2128
Himachal Pradesh,Kinnaur,2,0,0,2,0,2,5,4,1,0,0,0,27,12,1,11,21,1,0,0,2,12,0,2,1,3,0,21,120,231
Himachal Pradesh,Kullu,5,4,3,10,0,10,9,9,0,0,0,7,57,62,7,55,55,4,6,0,8,46,0,24,0,16,0,51,469,836
Himachal Pradesh,Lahaul-spiti,1,0,0,0,0,0,1,1,0,0,0,1,2,2,0,2,1,2,0,0,2,5,0,0,0,1,0,4,36,58
Himachal Pradesh,Mandi,12,6,0,18,0,18,12,7,5,0,0,3,61,78,20,58,37,54,7,1,13,163,0,51,4,27,0,66,1279,1892
Himachal Pradesh,Shimla,16,13,0,34,0,34,28,26,2,2,0,11,134,176,38,138,88,20,20,0,15,74,0,39,0,30,0,80,1217,1997
Himachal Pradesh,Sirmaur,10,9,1,3,0,3,6,4,2,1,0,0,32,63,22,41,73,3,17,0,5,51,1,23,3,26,0,55,384,766
Himachal Pradesh,Solan,10,3,4,9,0,9,18,13,5,1,0,2,80,87,42,45,75,15,14,0,5,318,1,28,2,21,0,69,680,1442
Himachal Pradesh,Una,6,7,7,9,0,9,6,6,0,0,0,0,64,72,23,49,28,7,8,0,4,98,1,11,1,18,0,52,466,865
Himachal Pradesh,Total,111,78,20,113,0,113,130,109,21,7,0,29,754,812,214,598,566,137,129,4,115,1261,3,275,31,259,0,499,7760,13093
Jammu & Kashmir,Anantnag,23,29,3,22,0,22,88,81,7,1,0,12,165,117,24,93,103,8,34,5,8,44,0,34,60,0,0,10,745,1511
Jammu & Kashmir,Awantipora,19,5,0,9,0,9,12,12,0,1,0,8,29,15,7,8,12,3,9,1,0,0,0,25,3,0,0,0,183,334
Jammu & Kashmir,Baramulla,63,115,3,15,0,15,111,101,10,1,0,10,140,125,16,109,120,3,18,4,14,11,0,153,21,1,0,0,738,1666
Jammu & Kashmir,Border District,9,15,0,6,0,6,12,8,4,0,0,0,16,32,6,26,21,3,5,0,2,16,1,3,7,4,0,0,403,555
Jammu & Kashmir,Budgam,12,31,3,5,0,5,54,53,1,0,0,8,82,184,24,160,129,2,11,0,5,1,0,121,14,1,0,18,472,1153
Jammu & Kashmir,Crime Jammu,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,26
Jammu & Kashmir,Crime Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,0,0,0,0,0,0,0,0,0,0,55
Jammu & Kashmir,Doda,65,94,3,10,0,10,36,31,5,1,0,5,46,47,3,44,17,11,7,0,16,29,0,16,7,8,0,4,466,888
Jammu & Kashmir,Ganderbal,20,7,0,4,0,4,35,34,1,0,0,0,50,47,4,43,65,6,6,4,10,2,0,36,5,0,0,21,192,510
Jammu & Kashmir,Handwara,17,29,10,8,0,8,27,23,4,0,0,4,20,37,2,35,46,0,13,0,9,8,0,73,6,2,0,0,184,493
Jammu & Kashmir,Jammu,25,51,10,21,0,21,58,52,6,1,0,0,170,382,164,218,64,23,83,2,12,27,3,28,59,41,0,91,2082,3233
Jammu & Kashmir,Kargil,1,0,0,0,0,0,4,4,0,0,0,0,9,7,0,7,3,0,2,0,1,0,0,2,0,1,0,9,68,107
Jammu & Kashmir,Kathua,6,22,1,12,0,12,27,26,1,1,0,3,54,56,16,40,31,5,26,0,7,24,3,17,7,12,0,2,790,1106
Jammu & Kashmir,Kulgam,36,12,1,14,0,14,47,46,1,0,0,11,52,65,15,50,57,7,15,0,9,13,0,44,11,1,0,20,248,663
Jammu & Kashmir,Kupwara,16,56,1,11,0,11,31,27,4,1,0,0,21,41,3,38,53,7,19,5,11,3,0,77,11,2,0,0,263,629
Jammu & Kashmir,Leh,2,5,1,3,0,3,5,5,0,0,0,0,16,5,1,4,4,1,3,0,0,2,0,5,0,0,0,0,148,200
Jammu & Kashmir,Poonch,30,65,0,21,0,21,21,20,1,0,0,0,26,47,0,47,75,2,4,0,13,45,0,13,3,12,0,1,341,719
Jammu & Kashmir,Pulwama,24,61,0,9,0,9,57,50,7,1,0,24,73,124,15,109,193,4,20,5,12,75,0,37,7,1,0,11,208,946
Jammu & Kashmir,Railways,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,1,0,0,0,0,0,0,1,8,20
Jammu & Kashmir,Rajouri,20,41,0,26,0,26,37,33,4,0,0,1,65,60,7,53,35,5,18,0,36,31,3,34,13,33,0,0,915,1373
Jammu & Kashmir,Ramban,18,33,3,14,0,14,5,4,1,0,0,0,29,42,4,38,3,1,6,0,8,21,0,6,4,0,0,4,514,711
Jammu & Kashmir,Reasi,19,39,0,7,0,7,10,10,0,0,0,2,11,14,1,13,0,3,6,0,3,1,0,9,3,3,0,2,186,318
Jammu & Kashmir,Srinagar,49,122,1,22,0,22,102,93,9,1,0,23,223,426,235,191,141,14,78,9,22,14,0,208,95,10,0,27,1042,2629
Jammu & Kashmir,Udhampur,10,22,0,11,0,11,10,10,0,1,0,1,54,54,7,47,25,6,12,0,4,9,0,19,11,3,0,1,689,942
Jammu & Kashmir,Total,487,854,40,250,0,250,789,723,66,10,0,112,1351,1937,554,1383,1197,123,463,35,203,376,10,960,347,135,0,222,10886,20787
Jharkhand,Bokaro,38,7,0,24,0,24,49,43,6,34,0,38,109,499,81,418,144,19,29,0,3,0,16,7,0,64,0,0,1242,2322
Jharkhand,Chaibasa,129,35,1,53,0,53,12,8,4,16,0,33,33,147,0,147,38,2,24,0,2,54,7,7,0,17,0,1,421,1032
Jharkhand,Chatra,30,0,0,13,0,13,11,11,0,18,0,22,22,63,13,50,82,0,9,0,2,0,16,3,0,7,0,0,474,772
Jharkhand,Deoghar,33,6,4,33,0,33,8,4,4,9,0,19,109,199,31,168,164,14,13,0,1,101,19,4,14,27,0,42,961,1780
Jharkhand,Dhanbad,86,64,16,37,0,37,65,58,7,50,5,61,158,771,175,596,265,21,71,2,10,401,32,28,14,31,0,9,1510,3707
Jharkhand,Dhanbad Rly.,11,0,0,0,0,0,0,0,0,27,2,23,4,127,9,118,7,0,4,0,0,0,4,3,0,1,0,0,87,300
Jharkhand,Dumka,50,18,4,55,0,55,28,27,1,9,0,9,62,181,57,124,110,14,20,0,6,179,7,46,0,30,1,108,585,1522
Jharkhand,Garhwa,49,5,4,26,0,26,14,7,7,16,2,17,32,87,5,82,174,13,20,0,2,1,16,0,0,13,0,17,660,1168
Jharkhand,Giridih,56,145,1,56,0,56,35,18,17,59,2,34,100,327,25,302,287,10,47,0,5,72,39,65,0,68,0,107,1174,2689
Jharkhand,Godda,40,79,5,33,0,33,25,0,25,7,0,14,50,140,0,140,137,15,15,0,15,61,8,16,0,47,0,0,524,1231
Jharkhand,Gumla,126,58,3,55,0,55,26,23,3,18,1,25,16,89,16,73,38,5,11,6,8,0,1,12,0,12,0,149,332,991
Jharkhand,Hazaribagh,97,103,12,45,0,45,77,54,23,73,16,88,161,576,135,441,306,0,160,3,31,217,39,70,0,69,0,121,770,3034
Jharkhand,Jamshedpur,90,95,6,54,0,54,43,24,19,20,2,36,84,754,100,654,124,67,105,11,13,425,16,43,2,90,0,95,1017,3192
Jharkhand,Jamshedpur Rly.,5,0,0,2,0,2,0,0,0,3,0,10,6,185,19,166,1,0,6,0,0,6,0,1,0,0,0,0,66,291
Jharkhand,Jamtara,16,34,4,21,0,21,15,12,3,4,0,3,23,95,9,86,78,8,7,0,9,106,4,4,0,14,0,20,211,676
Jharkhand,Koderma,38,18,3,21,0,21,19,10,9,15,2,13,28,112,18,94,68,6,40,0,1,3,10,2,1,8,0,47,314,769
Jharkhand,Latehar,24,10,5,12,0,12,9,6,3,27,4,26,16,75,1,74,46,3,4,1,2,44,2,1,0,4,0,15,213,543
Jharkhand,Lohardagga,33,17,2,21,0,21,13,10,3,13,2,22,18,81,17,64,28,11,14,1,4,80,0,20,0,29,0,26,132,567
Jharkhand,Pakur,41,120,5,28,0,28,19,17,2,2,0,9,13,85,8,77,95,5,22,0,7,94,3,13,0,34,0,23,113,731
Jharkhand,Palamu,90,47,3,32,0,32,28,10,18,14,1,33,79,140,16,124,136,13,22,0,17,548,19,0,7,32,0,0,305,1566
Jharkhand,Ranchi,253,60,16,79,0,79,94,40,54,73,6,190,221,1210,373,837,229,65,135,7,30,550,14,36,2,40,4,320,1668,5302
Jharkhand,Sahebganj,36,43,0,53,0,53,22,15,7,3,0,12,30,103,9,94,54,7,34,3,8,74,5,19,0,12,0,20,303,841
Jharkhand,Saraikela,52,77,2,17,0,17,14,4,10,15,0,25,38,86,22,64,30,18,13,0,2,39,2,4,0,15,0,34,417,900
Jharkhand,Simdega,69,37,1,29,0,29,9,9,0,11,0,17,16,41,7,34,9,3,8,0,0,0,2,10,4,4,0,0,168,438
Jharkhand,Total,1492,1078,97,799,0,799,635,410,225,536,45,779,1428,6173,1146,5027,2650,319,833,34,178,3055,281,414,44,668,5,1154,13667,36364
Karnataka,Bagalkot,35,25,1,12,0,12,20,13,7,5,6,20,85,128,32,96,147,11,37,3,7,276,3,45,1,59,0,0,1136,2062
Karnataka,Bangalore Commr.,218,324,7,33,0,33,99,29,70,37,204,647,1666,7354,3501,3853,710,192,1554,55,5,2640,50,143,2,290,0,113,9941,26284
Karnataka,Bangalore Rural,175,104,1,26,0,26,34,22,12,27,0,49,362,920,284,636,582,30,112,0,37,1047,26,121,0,99,0,0,5026,8778
Karnataka,Belgaum,98,91,0,22,0,22,35,23,12,15,0,48,292,434,168,266,358,20,197,8,17,956,13,107,2,152,0,35,3243,6143
Karnataka,Bellary,56,44,1,15,0,15,23,22,1,5,3,31,155,268,96,172,224,15,49,5,5,566,13,59,0,70,0,8,2497,4112
Karnataka,Bidar,38,53,6,8,0,8,20,13,7,6,0,20,148,232,53,179,209,11,39,1,18,1079,10,82,2,69,0,0,1532,3583
Karnataka,Bijapur,63,59,0,18,0,18,26,19,7,2,12,22,123,153,38,115,319,16,64,1,17,622,4,89,0,126,0,0,1426,3162
Karnataka,Chamarajnagar,20,15,1,16,0,16,7,5,2,0,0,1,40,109,20,89,70,4,10,4,0,394,1,35,0,25,0,0,548,1300
Karnataka,Chickmagalur,40,42,2,17,0,17,11,9,2,4,0,15,246,254,45,209,136,8,35,3,10,928,4,71,8,89,0,3,1443,3369
Karnataka,Chitradurga,38,21,3,16,0,16,19,17,2,2,0,9,127,276,54,222,193,7,26,0,2,709,3,52,0,28,0,0,2000,3531
Karnataka,Dakshin Kannada,28,44,0,17,0,17,12,5,7,7,0,20,208,237,105,132,419,5,56,8,28,441,2,47,6,34,0,11,2407,4037
Karnataka,Davanagere,23,13,4,17,0,17,14,12,2,10,0,25,173,272,55,217,147,25,46,5,0,554,11,60,6,79,0,6,1322,2812
Karnataka,Dharwad Commr.,23,18,0,3,0,3,15,8,7,4,10,60,136,338,138,200,67,10,105,4,3,198,1,13,1,34,0,7,1075,2125
Karnataka,Dharwad Rural,34,9,2,4,0,4,8,2,6,1,0,5,14,58,6,52,64,8,18,0,0,126,1,15,0,12,0,0,614,993
Karnataka,Gadag,20,12,1,1,0,1,5,3,2,2,0,7,64,84,28,56,115,7,21,2,1,169,4,20,1,17,0,107,478,1138
Karnataka,Gulbarga,99,125,2,18,0,18,45,28,17,7,3,35,190,278,92,186,494,4,90,2,58,1183,9,78,0,122,0,12,2239,5093
Karnataka,Hassan,61,38,1,13,0,13,11,7,4,6,0,25,230,281,88,193,126,11,30,2,13,1040,7,62,0,62,0,0,2280,4299
Karnataka,Haveri,27,10,2,5,0,5,13,4,9,11,0,8,75,100,28,72,173,7,26,5,0,198,1,37,0,17,0,173,951,1839
Karnataka,K.g.f.,14,26,0,3,0,3,8,6,2,0,0,5,67,95,29,66,37,3,10,1,0,180,4,18,0,10,0,0,287,768
Karnataka,Kodagu,27,33,1,6,0,6,6,1,5,0,0,2,87,57,6,51,38,4,20,3,1,433,0,21,2,26,0,1,573,1341
Karnataka,Kolar,96,59,1,13,0,13,27,19,8,8,3,24,139,404,116,288,279,11,39,1,0,701,16,50,0,47,0,6,1487,3411
Karnataka,Koppal,25,9,11,6,0,6,7,7,0,7,0,6,78,84,23,61,118,1,22,3,1,195,3,28,0,23,0,0,912,1539
Karnataka,Mandya,58,46,3,19,0,19,14,13,1,3,0,14,177,289,80,209,192,2,40,4,0,767,8,79,0,89,0,0,2120,3924
Karnataka,Mysore Commr.,33,45,0,15,0,15,8,5,3,4,0,107,139,530,314,216,71,4,63,5,0,333,10,14,0,94,0,0,1221,2696
Karnataka,Mysore Rural,60,43,4,10,0,10,8,2,6,5,0,5,119,197,31,166,155,11,20,1,0,741,13,43,0,66,0,0,1367,2868
Karnataka,Raichur,32,46,5,13,0,13,18,12,6,2,0,13,136,123,32,91,204,13,85,1,8,556,6,76,5,85,0,13,1349,2789
Karnataka,Railways,22,2,0,0,0,0,2,0,2,3,0,9,2,401,3,398,5,2,7,5,0,23,2,4,0,1,0,0,53,543
Karnataka,Shimoga,50,52,0,23,0,23,21,14,7,7,4,66,254,348,114,234,168,6,36,1,9,1082,5,61,2,191,0,12,2005,4403
Karnataka,Tumkur,62,41,4,13,0,13,15,5,10,4,2,29,207,403,116,287,157,10,26,1,16,806,10,87,0,47,0,23,2308,4271
Karnataka,Udupi,21,10,1,11,0,11,7,3,4,5,0,16,124,108,38,70,134,4,14,3,8,273,4,17,0,24,0,4,1430,2218
Karnataka,Uttar Kannada,31,25,4,7,0,7,5,0,5,3,0,6,104,86,26,60,72,9,13,2,4,272,0,49,0,42,0,0,1545,2279
Karnataka,Total,1627,1484,68,400,0,400,563,328,235,202,247,1349,5967,14901,5759,9142,6183,471,2910,139,268,19488,244,1683,38,2129,0,534,56815,117710
Kerala,Alapuzha,27,33,6,15,0,15,18,14,4,11,0,32,207,254,112,142,392,21,227,0,22,1206,1,177,14,227,0,2,4808,7700
Kerala,Cbcid,16,1,1,1,0,1,1,1,0,1,0,1,1,5,1,4,0,6,17,61,0,4,0,0,0,2,0,0,23,141
Kerala,Ernakulam Commr.,13,12,8,14,0,14,11,8,3,6,0,44,187,340,109,231,180,10,323,0,5,420,0,65,20,87,0,2,3952,5699
Kerala,Ernakulam Rural,28,16,5,25,0,25,14,9,5,8,4,50,228,323,138,185,293,12,101,0,13,1054,1,87,5,124,0,4,6147,8542
Kerala,Idukki,31,7,1,30,0,30,14,11,3,7,0,15,200,214,34,180,193,15,116,0,10,1302,2,133,12,131,0,0,2364,4797
Kerala,Kannur,20,29,0,37,0,37,16,8,8,6,0,36,216,229,103,126,737,11,132,0,83,1097,0,116,12,227,0,6,2451,5461
Kerala,Kasargod,15,12,0,27,0,27,8,4,4,5,7,19,188,170,78,92,338,4,73,0,18,562,0,81,4,149,0,4,1378,3062
Kerala,Kollam,34,39,14,75,0,75,35,28,7,8,20,75,485,532,194,338,624,17,151,2,51,2504,1,351,10,445,0,3,4912,10388
Kerala,Kottayam,21,18,5,30,0,30,22,19,3,8,0,46,394,405,135,270,292,35,364,1,17,1815,2,196,29,186,0,3,4297,8186
Kerala,Kozhikode Commr.,7,9,4,19,0,19,12,8,4,4,5,29,258,382,197,185,220,14,125,0,5,498,3,51,8,134,0,0,1905,3692
Kerala,Kozhikode Rural,6,21,3,40,0,40,11,8,3,6,0,13,190,217,96,121,492,4,160,0,35,996,4,128,11,234,0,1,1944,4516
Kerala,Malappuram,19,15,3,45,0,45,10,5,5,12,8,23,247,475,216,259,498,21,259,1,37,755,1,145,12,458,0,1,3482,6527
Kerala,Palakkad,44,30,7,59,0,59,8,2,6,6,10,32,241,262,79,183,329,51,196,0,15,1121,4,52,17,363,0,8,2765,5620
Kerala,Pathanamthitta,18,8,1,24,0,24,15,9,6,3,0,26,205,154,60,94,182,13,120,0,7,962,0,145,9,129,0,0,2412,4433
Kerala,Railways,0,0,0,0,0,0,0,0,0,0,1,6,0,153,1,152,1,0,1,0,0,13,0,5,0,0,0,0,24,204
Kerala,Thrissur,44,48,9,55,0,55,18,6,12,15,33,77,228,430,166,264,602,34,408,2,63,1002,3,220,22,302,0,7,6156,9778
Kerala,Trivandrum Commr.,14,28,3,28,0,28,28,20,8,6,24,68,200,371,149,222,338,9,243,0,9,873,1,133,10,107,0,1,2420,4914
Kerala,Trivandrum Rural,27,13,16,41,0,41,49,40,9,14,13,87,447,382,118,264,500,14,242,0,34,2208,1,388,19,281,0,3,4495,9274
Kerala,Wayanadu,9,8,1,36,0,36,4,2,2,3,0,12,123,133,28,105,154,8,58,1,11,713,1,70,8,122,0,4,842,2321
Kerala,Total,393,347,87,601,0,601,294,202,92,129,125,691,4245,5431,2014,3417,6365,299,3316,68,435,19105,25,2543,222,3708,0,49,56777,105255
Madhya Pradesh,Anuppur,32,11,0,38,0,38,9,7,2,3,1,10,102,112,8,104,17,3,16,1,5,305,7,81,3,35,0,12,684,1487
Madhya Pradesh,Ashok Nagar,33,33,6,54,0,54,8,6,2,1,0,10,116,162,36,126,36,2,13,0,13,826,6,120,5,23,0,36,762,2265
Madhya Pradesh,Balaghat,60,22,1,67,0,67,5,3,2,1,1,10,106,129,36,93,32,3,15,1,9,388,6,111,10,41,0,69,1208,2295
Madhya Pradesh,Barwani,39,29,7,48,0,48,2,2,0,0,1,16,133,246,73,173,35,5,13,0,10,289,4,103,15,32,0,118,1247,2392
Madhya Pradesh,Betul,65,24,1,142,0,142,27,24,3,1,0,23,180,235,49,186,19,0,25,0,14,478,13,134,25,71,0,103,1711,3291
Madhya Pradesh,Bhind,72,103,8,34,0,34,13,6,7,5,5,90,173,216,68,148,76,9,24,0,14,685,32,71,1,69,0,128,2028,3856
Madhya Pradesh,Bhopal,62,89,0,70,0,70,49,42,7,9,2,147,846,1607,766,841,65,12,127,6,17,527,22,193,44,103,0,211,8808,13016
Madhya Pradesh,Bhopal Rly.,4,2,0,1,0,1,4,1,3,0,0,13,12,1041,14,1027,1,3,5,3,1,17,2,10,3,1,0,4,290,1417
Madhya Pradesh,Burhanpur,13,6,0,21,0,21,4,4,0,0,3,5,51,120,31,89,15,8,10,0,7,105,3,45,15,28,0,31,775,1265
Madhya Pradesh,Chhatarpur,71,72,5,59,0,59,23,20,3,1,1,52,275,214,0,214,50,2,22,2,22,564,19,170,18,70,0,99,2856,4667
Madhya Pradesh,Chhindwara,76,38,8,125,0,125,16,14,2,3,2,14,134,291,87,204,38,2,32,0,11,1172,13,188,29,79,0,121,1463,3855
Madhya Pradesh,Damoh,44,52,0,40,0,40,4,1,3,4,4,27,108,131,42,89,17,2,6,0,6,1120,40,116,0,51,0,52,620,2444
Madhya Pradesh,Datiya,50,58,0,23,0,23,18,7,11,1,4,48,115,177,30,147,27,5,26,0,11,481,12,73,0,21,0,67,1121,2338
Madhya Pradesh,Dewas,43,72,1,85,0,85,21,16,5,5,2,26,275,726,177,549,84,26,41,1,21,403,10,168,31,136,0,149,3094,5420
Madhya Pradesh,Dhar,58,65,3,103,0,103,35,31,4,10,6,43,249,487,154,333,72,27,20,0,33,692,30,183,10,47,0,170,2492,4835
Madhya Pradesh,Dindori,27,5,3,26,0,26,0,0,0,0,0,1,33,16,5,11,2,1,4,0,1,156,2,51,0,15,0,23,294,660
Madhya Pradesh,Guna,37,45,6,69,0,69,13,12,1,3,3,28,165,247,49,198,70,8,22,1,16,938,7,162,17,48,0,117,1472,3494
Madhya Pradesh,Gwalior,107,152,13,77,0,77,41,33,8,8,14,222,675,1581,896,685,138,49,109,0,20,1021,32,186,13,172,0,207,5171,10008
Madhya Pradesh,Harda,16,26,0,25,0,25,7,5,2,1,1,13,83,167,56,111,13,1,3,0,0,420,5,37,2,16,0,0,448,1284
Madhya Pradesh,Hoshangabad,47,46,3,57,0,57,12,8,4,2,4,32,252,386,122,264,22,8,26,1,7,398,12,112,14,29,0,0,1596,3066
Madhya Pradesh,Indore,81,126,2,90,0,90,39,33,6,10,9,111,920,3335,2017,1318,144,46,129,4,43,1460,22,253,68,263,0,395,8577,16127
Madhya Pradesh,Indore Rly.,2,1,0,3,0,3,0,0,0,0,0,8,0,138,0,138,0,0,0,0,0,4,0,4,2,1,0,0,102,265
Madhya Pradesh,Jabalpur,65,132,9,103,0,103,39,32,7,4,7,97,483,908,528,380,111,31,152,3,26,4728,31,228,94,127,0,226,2595,10199
Madhya Pradesh,Jabalpur Rly.,4,1,4,1,0,1,1,1,0,1,4,12,2,223,3,220,0,2,8,0,0,2,0,7,3,0,0,0,121,396
