SI.No ,State/UT,District ,Murder ,Attempt to Commit Murder ,C.H. Not Amounting to Murder ,Rape ,Kidnapping & Abduction - Total ,Kidnapping & Abduction - of Women & Girls  ,Kidnapping & Abduction - Of Others ,Dacoity ,Preparation and Assembly for Dacoity ,Robbery ,Burglary ,Theft,Riots ,Criminal Breach of Trust ,Cheating ,Counterfeiting ,Arson ,Hurt/Grievous Hurt,Dowry Death,Molestation ,Sexual Harassment ,Cruelty by Husband and Relatives ,Others IPC Crimes ,Total Cog. Under IPC 
9,Jammu Kashmir,Leh,3,4,1,0,3,3,0,0,0,0,11,4,5,2,1,0,0,2,0,3,0,0,55,94
10,Jammu Kashmir,Pulwama,101,95,2,1,7,5,2,5,0,7,94,71,17,3,10,0,99,11,0,5,0,0,110,638
11,Jammu Kashmir,Punch,7,35,2,6,25,25,0,0,0,0,23,198,64,3,5,10,23,27,0,3,5,2,236,665
12,Jammu Kashmir,Rajouri,12,14,1,21,36,36,0,0,0,2,82,99,15,5,8,0,14,23,0,18,6,10,744,1110
13,Jammu Kashmir,Srinagar,34,8,4,4,34,30,4,18,0,63,477,383,93,13,41,0,130,5,0,22,17,0,550,1896
14,Jammu Kashmir,Udhampur,11,25,3,19,28,28,0,5,0,6,110,125,23,13,13,0,16,33,0,23,12,4,786,1255
15,Jammu Kashmir,Railways,0,1,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,12,19
Jammu Kashmir,Jammu Kashmir,Total,796,601,22,109,354,287,67,47,0,160,1753,2229,612,87,153,1,772,353,5,235,140,35,6554,15018
1,Karnataka,Bangalore Commr.,212,322,4,42,141,72,69,36,2,524,2660,8387,419,302,1016,34,150,3683,57,181,50,207,10470,28899
2,Karnataka,Bangalore Rural,138,90,9,15,30,23,7,29,0,31,584,799,557,24,36,6,0,1165,18,133,0,104,3427,7195
3,Karnataka,Belgaum,174,57,2,6,66,0,66,26,0,21,450,570,618,26,97,5,16,505,2,98,0,105,2917,5761
4,Karnataka,Bellary,47,20,1,6,11,11,0,12,0,16,304,410,415,10,29,1,0,569,6,76,13,40,1393,3379
5,Karnataka,Bidar,45,42,0,5,12,9,3,18,0,30,209,326,249,1,21,0,15,740,2,22,0,34,855,2626
6,Karnataka,Bijapur,123,60,3,7,43,27,16,30,0,42,232,423,617,17,89,1,63,1040,5,75,0,180,1752,4802
7,Karnataka,Chickmagalur,47,34,7,6,21,3,18,2,0,9,215,378,268,5,20,0,11,941,4,57,2,53,1347,3427
8,Karnataka,ChitraDurga,61,43,3,26,22,20,2,14,1,21,440,609,847,14,36,1,45,1238,5,105,1,66,2043,5641
9,Karnataka,Dharwad Commr.,31,34,0,6,18,9,9,9,0,47,231,423,177,15,85,0,7,236,7,9,0,42,969,2346
10,Karnataka,Dharwad Rural,79,96,5,8,19,1,18,22,0,18,219,387,554,26,57,3,12,721,7,68,0,18,1871,4190
11,Karnataka,Gulbarga,90,73,1,11,32,0,32,11,0,40,300,480,644,17,34,2,30,1068,9,71,0,66,1223,4202
12,Karnataka,Hassan,75,25,1,12,16,16,0,1,0,19,375,518,298,7,25,2,32,1197,14,46,0,45,1488,4196
13,Karnataka,K.G.F.,14,10,0,8,9,9,0,3,1,11,133,205,98,1,14,0,8,312,2,20,0,14,299,1162
14,Karnataka,Kannada North,35,18,0,3,10,7,3,5,0,4,190,276,192,9,31,6,16,650,3,25,1,18,1496,2988
15,Karnataka,Kannada South,74,52,4,14,24,7,17,7,0,36,495,470,491,16,61,2,15,1035,5,23,1,29,2624,5478
16,Karnataka,Kodagu,37,28,0,5,11,11,0,2,0,13,194,224,81,4,28,0,11,701,3,16,0,18,660,2036
17,Karnataka,Kolar,70,60,0,14,28,28,0,18,0,23,375,550,732,21,23,2,31,1185,7,58,4,44,1982,5227
18,Karnataka,Mandya,70,31,0,10,10,0,10,8,0,12,380,414,366,4,18,2,0,1002,11,29,0,35,1690,4092
19,Karnataka,Mysore Commr.,21,14,0,10,17,12,5,5,0,69,496,741,64,23,105,1,0,420,14,6,7,141,1138,3292
20,Karnataka,Mysore Rural,77,14,1,19,19,19,0,13,0,19,627,596,440,20,33,1,0,1359,10,80,9,93,1990,5420
21,Karnataka,Raichur,78,50,2,4,11,7,4,7,3,11,205,320,550,13,49,1,23,822,1,73,1,51,1012,3287
22,Karnataka,Shimoga,51,43,1,18,13,10,3,4,0,18,380,415,457,25,26,2,33,1240,6,83,103,85,1805,4808
23,Karnataka,Tumkur,83,27,3,8,12,0,12,7,0,21,534,854,449,21,37,0,0,109,1,0,0,0,3210,5376
24,Karnataka,Railways,15,2,0,0,0,0,0,15,0,26,7,278,12,0,3,4,2,36,3,2,0,0,99,504
Karnataka,Karnataka,Total,1747,1245,47,263,595,301,294,304,7,1081,10235,19053,9595,621,1973,76,520,21974,202,1356,192,1488,47760,120334
1,Kerala,Alappuzha,27,23,6,9,6,6,0,1,0,9,261,157,398,30,112,0,21,1327,0,77,0,37,3804,6305
2,Kerala,CBCID,19,6,0,2,0,0,0,1,0,1,15,32,2,8,35,58,5,3,0,0,0,4,54,245
3,Kerala,Ernakulam,46,39,4,13,9,5,4,9,0,16,517,382,569,26,152,4,37,1474,3,51,0,47,8158,11556
4,Kerala,Idukki,32,16,0,11,4,3,1,6,0,18,78,153,141,17,58,0,3,1283,2,26,2,25,1456,3331
5,Kerala,Kannur,33,90,2,20,7,2,5,3,0,5,333,202,758,12,144,0,85,1120,0,58,1,30,3079,5982
6,Kerala,Kasaragod,16,23,0,9,4,1,3,2,0,8,196,178,409,15,98,8,34,685,0,32,3,62,1278,3060
7,Kerala,Kollam,57,45,0,21,17,17,0,15,0,17,271,210,474,21,129,0,64,1841,3,88,0,99,4116,7488
8,Kerala,Kottayam,36,39,5,14,21,17,4,6,0,20,330,227,368,30,185,0,22,1602,1,59,0,44,4007,7016
9,Kerala,Kozhikode,19,32,1,27,20,12,8,3,1,12,445,333,827,36,170,1,74,1268,0,66,0,101,4588,8024
10,Kerala,Malappuram,27,16,3,32,18,8,10,6,0,18,338,112,554,23,78,0,47,875,0,40,0,124,3458,5769
11,Kerala,Palakkad,37,31,2,26,6,6,0,3,0,17,329,248,487,16,122,1,40,1080,3,50,8,46,2807,5359
12,Kerala,Pathanamthitta,25,13,1,7,17,9,8,3,0,6,158,111,226,18,70,0,33,1139,1,74,0,39,2328,4269
13,Kerala,Thiruvananthapuram,72,72,4,26,17,15,2,35,15,64,634,486,863,26,159,5,63,2169,3,101,0,62,5276,10152
14,Kerala,Thrissur,34,32,2,16,11,8,3,2,0,17,365,234,485,18,167,6,6,928,1,39,0,33,3935,6331
15,Kerala,Wayanadu,10,7,3,33,2,1,1,2,0,11,141,105,180,7,41,0,17,467,4,43,0,34,1113,2220
16,Kerala,Railways,0,0,0,0,0,0,0,0,0,0,3,105,6,0,4,0,0,7,0,6,0,0,24,155
Kerala,Kerala,Total,490,484,33,266,159,110,49,97,16,239,4414,3275,6747,303,1724,83,551,17268,21,810,14,787,49481,87262
1,Madhya Pradesh,Baitul,60,31,0,59,22,22,0,2,0,14,164,205,40,11,12,0,18,333,5,103,5,33,836,1953
2,Madhya Pradesh,Balaghat,55,43,4,89,12,12,0,3,0,18,289,335,42,9,28,0,20,517,4,204,20,131,1137,2960
3,Madhya Pradesh,Bastar,108,57,0,74,29,29,0,6,0,28,311,253,120,5,19,0,28,361,3,120,6,22,1327,2877
4,Madhya Pradesh,Bhind,85,92,2,19,31,7,24,9,5,24,223,302,85,5,16,0,15,852,22,36,0,27,1201,3051
5,Madhya Pradesh,Bhopal,63,128,0,90,26,26,0,7,1,108,615,1581,88,23,115,17,32,925,11,322,20,76,5202,9450
6,Madhya Pradesh,Bilaspur,134,73,17,120,31,31,0,2,3,58,1172,1461,262,26,87,10,43,574,17,306,19,209,3931,8555
7,Madhya Pradesh,Chhatarpur,63,48,1,58,20,14,6,2,4,27,232,246,62,6,46,1,19,444,10,137,4,25,793,2248
8,Madhya Pradesh,Chhindwara,73,56,5,99,13,13,0,2,1,17,222,384,35,4,33,0,20,1035,5,173,12,56,1147,3392
9,Madhya Pradesh,Damoh,31,53,9,36,8,8,0,1,0,11,234,201,39,7,11,0,24,796,9,118,0,43,793,2424
10,Madhya Pradesh,Dantewada,130,50,0,28,15,15,0,6,0,12,119,129,38,0,6,0,18,130,0,35,0,2,492,1210
11,Madhya Pradesh,Datiya,37,27,0,13,4,1,3,0,2,6,66,97,19,3,6,1,3,471,3,31,1,10,258,1058
12,Madhya Pradesh,Dewas,63,44,7,60,20,20,0,1,0,20,453,801,99,14,21,1,24,532,7,115,25,66,1864,4237
13,Madhya Pradesh,Dhar,123,115,0,101,57,55,2,11,3,70,403,1054,157,45,23,1,52,748,11,181,30,85,2537,5807
14,Madhya Pradesh,Durg,73,74,11,118,23,17,6,3,2,67,636,1127,43,17,80,5,29,1568,11,246,25,65,1755,5978
15,Madhya Pradesh,Guna,72,84,7,101,24,21,3,3,7,49,539,613,164,7,18,0,46,1311,3,227,30,48,1608,4961
16,Madhya Pradesh,Gwalior,104,128,31,59,39,25,14,8,7,91,633,1187,216,24,77,4,33,979,30,180,14,68,5082,8994
17,Madhya Pradesh,Hoshangabad,56,73,1,90,24,24,0,1,0,41,282,455,68,5,24,0,11,595,12,137,15,48,1450,3388
18,Madhya Pradesh,Indore ,122,214,2,41,76,66,10,3,2,124,899,3018,166,46,132,0,42,1597,18,184,30,172,5724,12612
19,Madhya Pradesh,Jabalpur,120,250,61,116,43,43,0,0,3,154,1031,1698,99,26,115,0,1,122,35,341,80,166,6469,10930
20,Madhya Pradesh,Jhabua,191,174,3,50,118,118,0,11,0,63,218,604,86,18,5,0,65,164,1,107,5,11,1985,3879
21,Madhya Pradesh,Khandwa,43,31,3,52,28,26,2,3,0,24,389,829,73,17,31,0,13,393,3,195,17,51,1716,3911
22,Madhya Pradesh,Khargon,93,89,7,97,31,31,0,1,3,47,373,1166,103,25,32,0,95,478,9,304,37,63,5004,8057
23,Madhya Pradesh,Mandla,40,26,1,63,9,9,0,3,0,8,235,148,17,12,21,1,14,595,1,210,25,96,1263,2788
24,Madhya Pradesh,Mandsaur,50,61,5,49,25,18,7,5,4,39,682,861,107,54,30,4,47,678,5,120,13,41,1437,4317
25,Madhya Pradesh,Muraina,84,90,0,58,34,25,9,5,3,58,351,498,153,8,28,0,27,2530,22,181,0,92,732,4954
26,Madhya Pradesh,Narasinghpur,50,62,9,58,11,11,0,1,1,31,172,320,47,6,17,0,21,85,9,135,5,83,1276,2399
27,Madhya Pradesh,Panna,32,15,0,23,8,8,0,2,0,9,105,95,22,2,4,1,10,184,6,64,0,6,852,1170
28,Madhya Pradesh,Raigarh,92,28,2,74,25,23,2,5,0,28,340,388,100,34,19,0,27,357,2,163,13,20,890,2607
29,Madhya Pradesh,Raipur,111,165,11,177,30,30,0,5,1,89,1034,1488,219,48,69,14,2,159,7,228,140,131,5222,9350
30,Madhya Pradesh,Raisen,45,66,1,70,13,13,0,2,0,16,103,229,36,7,4,0,4,282,9,99,8,27,1400,2421
31,Madhya Pradesh,Rajgarh,37,83,2,64,16,15,1,6,2,45,229,434,87,20,21,0,50,585,2,149,20,29,1463,3344
32,Madhya Pradesh,Rajnandgaon,44,33,1,69,20,19,1,0,1,29,375,431,38,13,32,0,43,375,11,147,7,32,1062,2763
33,Madhya Pradesh,Ratlam,51,52,0,56,21,15,6,2,3,20,304,530,50,23,35,2,34,863,9,109,21,38,1134,3357
34,Madhya Pradesh,Riwa,60,30,32,46,13,11,2,3,1,20,3567,403,51,5,11,1,35,527,32,89,3,42,1561,3532
35,Madhya Pradesh,Sagar,72,119,2,104,16,15,1,3,2,58,416,598,95,10,53,10,56,1891,23,346,13,90,1980,5957
36,Madhya Pradesh,Sarguja,130,83,0,147,44,44,0,5,1,70,626,508,105,40,56,0,37,656,1,247,15,69,1180,4020
37,Madhya Pradesh,Satna,73,45,15,29,5,3,2,3,3,28,387,328,58,3,13,2,33,725,15,118,5,42,1182,3112
38,Madhya Pradesh,Shahdol,71,26,4,69,21,21,0,0,0,23,492,506,33,16,23,1,21,606,3,186,10,74,1309,3794
39,Madhya Pradesh,Shajapur,46,50,2,72,16,13,3,3,3,42,221,525,121,10,17,0,40,517,2,122,10,30,963,2812
40,Madhya Pradesh,Shivpuri,74,51,5,55,14,12,2,4,10,25,230,312,95,9,19,3,43,762,5,133,2,16,1285,3152
41,Madhya Pradesh,Sidhi,52,23,4,25,16,14,2,4,5,23,283,326,56,3,14,0,11,544,8,103,2,38,928,2468
42,Madhya Pradesh,Sihore,44,35,5,71,15,14,1,0,0,23,174,414,48,5,7,3,33,400,5,95,7,31,1568,2983
43,Madhya Pradesh,Sivni,42,31,7,24,10,10,0,1,0,6,128,202,25,6,25,0,10,320,0,99,10,28,908,1882
44,Madhya Pradesh,Tikamgarh,54,40,0,40,6,5,1,3,3,21,154,215,67,2,7,0,28,592,2,118,0,18,790,2160
45,Madhya Pradesh,Ujjain,100,86,1,41,37,36,1,3,3,66,763,1306,94,22,46,6,29,668,3,111,17,58,2089,5549
46,Madhya Pradesh,Vidisha,49,45,4,57,15,12,3,1,1,11,174,359,69,9,16,0,17,739,4,153,15,25,892,2655
47,Madhya Pradesh,Bhopal Rly.,5,1,0,1,1,1,0,2,0,13,7,609,6,3,9,0,0,49,0,11,1,3,187,908
48,Madhya Pradesh,Indore Rly.,4,0,3,2,3,3,0,3,0,4,0,184,5,0,3,0,0,1,1,4,3,1,125,346
49,Madhya Pradesh,Jabalpur Rly.,3,3,0,2,0,0,0,1,0,15,7,280,3,0,5,0,0,16,0,4,4,0,92,435
50,Madhya Pradesh,Raipur Rly.,2,6,0,3,4,4,0,0,0,1,11,364,7,18,2,1,1,6,1,9,1,3,138,578
Madhya Pradesh,Madhya Pradesh,Total,3416,3289,287,3119,1142,1028,114,160,90,1894,18073,30607,3918,731,1543,89,1324,30637,417,7355,765,2640,85949,197445
1,Maharashtra,Ahmednagar,96,49,1,31,33,15,18,17,0,100,358,973,224,39,79,4,72,1070,5,92,1,614,1442,5300
2,Maharashtra,Akola,81,57,1,31,53,51,2,16,0,61,513,1536,102,29,67,15,83,1122,1,164,38,667,2132,6769
3,Maharashtra,Amravati,108,55,0,109,60,0,60,16,0,151,993,2822,123,59,85,1,76,1303,11,229,53,576,2191,9021
4,Maharashtra,Aurangabad Commr.,32,7,3,13,25,21,4,9,1,52,502,899,130,22,94,4,10,435,11,47,11,168,793,3268
5,Maharashtra,Aurangabad Rural,56,15,1,15,26,23,3,13,0,48,210,531,145,11,13,3,35,895,55,76,9,273,806,3236
6,Maharashtra,Beed,58,22,2,13,30,30,0,42,1,110,327,584,236,25,25,0,53,1061,5,67,11,251,954,3877
7,Maharashtra,Bhandara,86,25,1,63,20,19,1,8,1,37,440,798,31,22,47,3,86,1049,6,149,26,291,897,4086
8,Maharashtra,Bombay Commr.,357,195,3,210,231,141,90,131,51,757,2958,15555,202,710,1382,39,22,5397,25,402,44,400,11441,40512
9,Maharashtra,Buldhana,70,33,0,23,21,6,15,9,2,38,269,907,79,35,40,6,41,758,14,132,24,494,1083,4078
10,Maharashtra,Chandrapur,49,15,3,45,29,27,2,4,0,36,293,638,83,23,43,0,40,483,2,163,14,200,1618,3781
11,Maharashtra,Dhule,121,27,1,25,19,17,2,26,0,54,395,813,186,52,40,1,29,1034,46,75,14,255,1030,4243
12,Maharashtra,Gadchiroli,36,14,0,41,13,12,1,4,0,14,101,158,33,16,12,0,23,253,2,69,17,99,517,1422
13,Maharashtra,Jalgaon,114,56,1,27,16,14,2,13,3,62,360,885,121,69,42,1,21,1042,4,102,23,273,1970,5205
14,Maharashtra,Jalna,41,29,1,6,28,24,4,23,4,71,295,630,112,8,31,0,56,729,14,73,9,310,671,3141
15,Maharashtra,Kolhapur,72,29,39,24,20,12,8,11,0,21,307,646,164,30,79,5,15,579,37,58,2,93,831,3062
16,Maharashtra,Latur,47,15,0,10,20,17,3,23,0,49,183,415,182,11,33,1,45,778,40,43,7,139,756,2797
17,Maharashtra,Nagpur Commr.,93,55,1,56,61,54,7,10,2,267,970,2664,130,74,152,14,29,1087,1,97,0,188,2936,8887
18,Maharashtra,Nagpur Rural,68,52,0,78,20,14,6,9,1,90,408,1402,203,33,37,0,70,889,4,131,54,292,2351,6192
19,Maharashtra,Nanded,78,64,3,27,49,40,9,58,2,146,501,890,260,15,43,4,72,1324,32,71,21,312,1384,5356
20,Maharashtra,Nasik Commr.,22,21,0,14,8,6,2,1,1,14,265,455,41,41,79,0,1,194,7,13,6,89,816,2088
21,Maharashtra,Nasik Rural,83,39,2,30,18,3,15,13,1,44,347,636,234,51,51,2,25,1459,3,92,40,426,1899,5495
22,Maharashtra,New Bombay,28,29,0,24,21,10,11,32,10,62,384,700,77,61,57,2,7,314,2,34,13,35,982,2874
23,Maharashtra,Osmanabad,49,22,0,16,19,19,0,14,1,28,274,576,138,15,24,2,26,815,6,68,10,77,912,3092
24,Maharashtra,Parbhani,85,41,3,29,17,13,4,13,1,106,240,521,212,10,38,0,73,1244,21,213,44,598,831,4340
25,Maharashtra,Pune Commr.,86,31,0,66,36,26,10,7,4,99,838,2013,1444,65,173,13,21,2712,21,92,128,176,1434,9459
26,Maharashtra,Pune Rural,105,25,18,26,21,14,7,20,3,60,363,536,132,30,27,5,22,590,17,60,10,178,1370,3618
27,Maharashtra,Raigad,47,15,2,14,12,3,9,15,0,26,181,239,90,18,36,3,7,286,0,39,9,22,971,2032
28,Maharashtra,Ratnagiri,31,10,0,14,4,4,0,3,0,11,164,192,45,9,11,3,27,343,0,32,9,36,309,1253
29,Maharashtra,Sangli,95,29,3,25,20,12,8,14,0,35,274,714,81,30,39,3,63,658,14,45,3,137,822,3104
30,Maharashtra,Satara,73,22,20,22,18,5,13,9,4,17,233,531,65,19,40,4,17,484,20,44,8,166,1592,3408
31,Maharashtra,Sindhudurg,16,4,0,9,6,5,1,0,0,9,115,132,20,15,10,3,17,261,0,25,17,18,319,996
32,Maharashtra,Solapur Commr.,28,17,2,11,11,9,2,4,0,24,142,345,67,7,32,0,1,254,1,14,8,32,803,1803
33,Maharashtra,Solapur Rural,89,33,0,23,10,4,6,24,1,45,130,320,125,25,18,0,26,597,30,29,16,75,1605,3221
34,Maharashtra,Thane Commr.,116,72,4,49,64,36,28,23,5,128,901,1371,284,90,150,3,0,0,0,0,0,0,2513,5773
35,Maharashtra,Thane Rural,120,28,8,52,42,19,23,28,2,73,364,461,173,49,37,5,43,909,6,124,40,81,1309,3954
36,Maharashtra,Wardha,59,25,2,30,23,23,0,9,0,43,268,800,39,24,19,3,22,583,2,86,9,146,1087,3279
37,Maharashtra,Yavatmal,87,43,0,54,36,32,4,8,0,54,425,1139,129,45,49,2,38,879,5,209,58,573,1646,5479
38,Maharashtra,Bombay Rly.,5,8,0,2,2,2,0,2,0,37,8,2083,12,21,28,7,0,36,1,11,1,0,132,2396
39,Maharashtra,Nagpur Rly.,4,4,0,3,0,0,0,5,0,17,1,848,11,12,12,0,0,0,0,0,0,0,149,1066
40,Maharashtra,Pune Rly.,9,4,0,2,1,0,1,12,0,34,4,965,18,8,8,1,0,24,0,5,1,0,104,1200
Maharashtra,Maharashtra,Total,2900,1336,125,1362,1163,782,381,698,101,3130,16304,49323,6183,1928,3282,162,1314,33930,471,3475,808,8760,57408,194163
1,Manipur,Bishnupur,14,2,0,1,10,10,0,1,0,4,10,29,6,2,6,1,7,48,0,9,0,0,149,299
2,Manipur,Chandel,23,7,1,1,4,4,0,1,0,1,4,12,2,2,2,0,17,0,0,0,0,0,24,101
3,Manipur,Churachandpur,14,2,2,0,4,2,2,9,0,0,9,44,0,0,3,2,12,7,0,0,0,0,43,151
4,Manipur,Imphal,128,94,3,8,50,32,18,14,0,15,74,136,28,5,30,7,17,100,0,8,0,0,503,1220
5,Manipur,Senapati,21,11,0,0,22,0,22,1,0,1,2,42,1,4,1,0,0,12,0,0,0,0,101,219
6,Manipur,Tamenglong,15,0,0,0,2,0,2,0,0,2,0,4,0,9,1,0,0,0,0,0,0,0,36,69
7,Manipur,Thoubal,33,2,0,2,16,16,0,0,0,5,5,45,8,2,6,0,14,81,0,7,0,0,236,462
8,Manipur,Ukhrul,9,7,0,0,0,0,0,0,0,2,7,9,1,5,0,1,1,3,0,0,0,0,30,75
Manipur,Manipur,Total,257,125,6,12,108,64,44,26,0,30,111,321,46,29,49,11,68,251,0,24,0,0,1122,2596
1,Meghalaya,Garo Hills East,1,0,1,0,0,0,0,9,0,12,15,18,3,2,4,0,NA,NA,NA,NA,NA,NA,35,100
2,Meghalaya,Garo Hills South,1,0,0,0,0,0,0,7,0,1,2,9,0,1,0,0,NA,NA,NA,NA,NA,NA,8,29
3,Meghalaya,Garo Hills West,13,1,1,8,2,0,2,16,3,8,27,96,20,2,3,2,NA,NA,NA,NA,NA,NA,149,351
4,Meghalaya,Jaintia Hills,40,0,0,0,1,0,1,14,0,4,18,50,2,2,1,1,NA,NA,NA,NA,NA,NA,86,219
5,Meghalaya,Khasi Hills East,37,13,2,7,16,6,10,27,0,36,83,215,25,8,17,4,NA,NA,NA,NA,NA,NA,277,767
6,Meghalaya,Khasi Hills West,24,1,0,1,0,0,0,5,0,4,10,20,2,0,2,1,NA,NA,NA,NA,NA,NA,59,129
7,Meghalaya,Ri-Bhoi,12,1,0,1,3,2,1,6,0,14,2,43,3,2,2,0,NA,NA,NA,NA,NA,NA,89,178
Meghalaya,Meghalaya,Total,128,16,4,17,22,8,14,84,3,79,157,451,55,17,29,8,NA,NA,NA,NA,NA,NA,703,1773
1,Mizoram,Aizawl,30,21,4,26,8,0,8,7,2,16,271,735,0,21,67,10,24,64,0,42,0,0,623,1971
2,Mizoram,Chhimtuipui,2,8,0,5,0,0,0,2,0,1,26,65,0,6,65,0,4,13,0,6,0,0,104,248
3,Mizoram,Lunglei,5,3,1,10,1,0,1,0,0,1,27,64,0,2,3,2,6,11,0,11,0,0,30,177
Mizoram,Mizoram,Total,37,32,5,41,9,0,9,9,2,18,324,864,0,29,76,12,34,88,0,59,0,0,757,2396
1,Nagaland,Dimapur,52,12,3,5,11,5,6,15,0,67,74,135,2,8,10,2,0,12,0,0,0,0,162,570
2,Nagaland,Kiphire,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,8
3,Nagaland,Kohima,20,9,0,3,8,3,5,5,0,9,46,51,0,7,5,1,0,9,0,0,0,0,93,266
4,Nagaland,Mokokchung,27,3,0,1,4,1,3,2,0,5,11,15,2,1,2,0,0,4,0,0,0,0,19,96
5,Nagaland,Mon ,2,4,6,2,3,1,2,3,0,6,12,23,0,1,5,0,0,0,0,0,0,0,32,99
6,Nagaland,Peren,14,3,0,0,0,0,0,2,0,0,10,2,0,0,0,0,0,0,0,0,0,0,9,40
7,Nagaland,Phek,6,0,0,2,0,0,0,1,0,4,15,12,0,2,0,0,0,0,0,0,0,0,20,62
8,Nagaland,Tuensang,19,6,0,0,7,0,7,2,0,5,12,1,2,2,2,0,0,2,0,0,0,0,8,68
9,Nagaland,Workha,4,3,0,3,1,1,0,5,0,4,32,22,0,0,0,0,0,0,0,0,0,0,30,104
10,Nagaland,Zunheboto,8,2,0,0,1,0,1,1,0,2,31,16,0,3,0,0,0,0,0,0,0,0,18,82
Nagaland,Nagaland,Total,155,43,9,16,35,11,24,37,0,102,243,278,6,24,24,3,0,27,0,0,0,0,393,1395
1,Orissa, Angul,33,26,1,13,5,5,0,10,0,17,116,269,38,10,7,0,17,70,3,33,0,14,605,1287
2,Orissa,Balasore,29,51,9,31,32,32,0,5,0,18,232,239,99,12,20,0,76,27,9,81,0,57,1438,2465
3,Orissa,Baragarh,19,26,3,14,5,5,0,8,0,19,116,127,99,5,18,4,22,79,2,27,4,19,706,1322
4,Orissa,Berhampur,11,67,1,7,9,9,0,8,0,31,112,215,69,8,30,0,1,69,5,48,2,7,575,1275
5,Orissa,Bhadrak,33,29,12,20,17,17,0,5,0,10,143,180,82,10,9,0,22,83,24,45,5,0,852,1581
6,Orissa,Bolangir,22,17,2,19,6,6,0,4,0,25,107,172,49,9,8,0,8,69,0,21,1,15,595,1149
7,Orissa,Boudh,9,5,0,2,6,6,0,1,0,11,45,60,20,2,3,0,12,43,2,30,1,7,256,515
8,Orissa,Cuttack,44,169,9,32,50,50,0,44,0,156,533,1352,174,54,73,2,59,185,20,134,8,30,2744,5872
9,Orissa,Deogarh,12,7,0,5,0,0,0,1,0,8,23,34,5,1,2,0,3,18,1,11,1,1,208,341
10,Orissa,Dhenkanal,45,26,0,8,16,16,0,6,0,17,87,191,59,10,15,0,16,114,14,36,0,38,492,1190
11,Orissa,Gajapati,12,5,1,3,8,8,0,0,0,2,39,46,25,4,9,0,2,41,1,11,0,0,235,444
12,Orissa,Ganjam,59,85,0,11,6,6,0,7,0,29,139,230,112,12,7,2,42,191,14,69,6,38,1047,2106
13,Orissa,jagatsinghpur,9,47,12,15,20,20,0,12,0,36,151,179,27,3,4,0,32,80,12,78,3,43,833,1596
14,Orissa,Jajpur,24,60,4,18,14,14,0,16,0,39,164,174,103,2,9,0,16,247,22,21,0,36,1195,2164
15,Orissa,Jharsuguda,26,23,1,13,1,1,0,3,0,19,94,111,55,8,4,0,6,339,0,21,4,10,80,818
16,Orissa,Kalahandi,21,17,1,12,13,13,0,4,0,16,96,108,66,9,9,0,4,129,1,41,3,0,614,1164
17,Orissa,Kandhamal,20,9,5,20,13,13,0,8,0,19,90,150,27,11,8,0,13,35,0,57,2,14,496,997
18,Orissa,Kendrapara,10,42,1,10,21,21,0,12,0,24,27,343,57,7,3,1,32,112,19,41,3,44,610,1419
19,Orissa,Keonjhar,49,45,0,33,19,19,0,7,0,15,101,185,66,5,21,0,18,84,7,84,4,26,1087,1856
20,Orissa,Khurda,36,67,3,32,59,59,0,41,0,134,630,1214,107,65,63,4,52,101,14,77,5,47,2260,5011
21,Orissa,Koraput,44,43,2,31,14,14,0,6,0,41,179,257,92,9,17,1,13,101,0,63,0,16,941,1840
22,Orissa,Malkangir,43,17,2,14,1,1,0,1,0,6,47,34,15,1,0,1,0,65,0,16,2,5,216,486
23,Orissa,Mayurbhanj,63,39,2,38,29,29,0,4,0,26,185,253,44,23,18,0,29,61,0,79,0,0,1125,2018
24,Orissa,Nayagarh,17,27,8,15,3,3,0,10,0,18,78,142,59,3,9,0,0,432,9,9,29,0,321,1189
25,Orissa,Nowrangpur,11,9,3,15,12,12,0,1,0,15,49,113,32,4,6,0,5,63,1,33,2,12,369,755
26,Orissa,Nuapada,9,6,1,2,1,1,0,3,0,5,33,53,27,0,1,0,6,26,0,17,0,2,261,453
27,Orissa,Puri,32,88,13,14,25,25,0,23,0,47,216,342,83,12,19,0,42,98,8,48,3,46,1274,2433
28,Orissa,Rayagada,36,20,0,26,6,6,0,0,0,25,65,127,73,5,4,0,5,38,2,51,5,11,456,955
29,Orissa,Rourkela,10,24,1,8,16,16,0,5,0,18,117,273,9,9,20,5,1,41,0,33,6,5,772,1373
30,Orissa,Sambalpur,28,54,0,17,16,16,0,10,0,59,255,321,57,12,27,0,17,115,5,56,6,5,982,2042
31,Orissa,Sonepur,9,10,0,6,1,1,0,2,0,16,39,77,45,8,4,0,9,22,1,22,0,2,254,527
32,Orissa,Sundargarh,84,45,1,47,16,16,0,12,0,27,148,154,48,7,3,0,12,101,0,43,3,4,859,1614
33,Orissa,SRP(Cuttack),3,6,0,0,1,1,0,2,0,9,18,208,9,3,11,0,0,65,0,6,1,0,46,388
34,Orissa,SRP(Rourkela),5,1,1,2,2,2,0,3,0,8,33,167,15,1,0,0,1,6,0,4,0,0,101,350
Orissa,Orissa,Total,917,1212,99,553,463,463,0,284,0,965,4477,8100,1947,344,461,20,593,3350,196,1446,109,554,24905,50995
