States/ UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto theft,Theft - Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Chhattisgarh,Bizapur,23,38,0,8,0,8,2,2,0,32,0,3,8,12,11,1,13,0,0,0,8,29,0,5,0,1,0,6,77,265
Chhattisgarh,Dantewara,44,35,0,12,0,12,6,3,3,8,0,5,56,29,7,22,15,0,7,0,3,75,0,14,0,4,0,33,259,605
Chhattisgarh,Dhamtari,14,7,0,32,0,32,8,7,1,0,0,4,104,118,37,81,21,2,18,1,7,88,3,71,8,8,0,58,840,1412
Chhattisgarh,Durg,58,50,0,117,0,117,21,17,4,1,3,45,559,731,38,693,40,16,82,6,15,445,13,229,31,118,0,0,3547,6127
Chhattisgarh,Grp Raipur,1,3,0,1,0,1,2,2,0,0,0,2,5,198,5,193,1,0,1,1,0,12,0,1,2,1,0,0,96,327
Chhattisgarh,Jagdalpur,51,34,3,71,0,71,12,12,0,5,0,18,172,108,32,76,40,1,17,0,8,181,0,72,4,8,0,0,1118,1923
Chhattisgarh,Janjgir,30,23,0,47,0,47,8,5,3,1,0,19,171,175,27,148,55,3,28,2,10,380,3,84,8,42,0,58,586,1733
Chhattisgarh,Jashpur,40,11,5,33,0,33,3,3,0,3,1,20,49,49,14,35,12,3,4,0,1,107,0,39,1,3,0,49,271,704
Chhattisgarh,Kabirdham,12,11,0,24,0,24,3,2,1,0,0,3,69,59,3,56,28,0,7,0,3,273,1,59,4,10,0,24,279,869
Chhattisgarh,Kanker,34,35,0,29,0,29,5,4,1,21,0,9,51,38,4,34,16,1,4,0,9,48,0,30,0,7,0,38,499,874
Chhattisgarh,Korba,32,17,0,37,0,37,7,6,1,1,2,8,239,305,76,229,71,5,28,1,8,131,4,97,14,40,0,105,1509,2661
Chhattisgarh,Koriya,41,12,1,40,0,40,4,4,0,5,0,6,175,99,15,84,26,1,9,0,5,144,0,66,1,24,0,37,617,1313
Chhattisgarh,Mahasamund,21,11,5,30,0,30,3,3,0,1,0,6,130,123,21,102,24,1,8,0,0,206,2,39,2,24,0,109,667,1412
Chhattisgarh,Narayanpur,11,13,0,3,0,3,1,1,0,7,0,1,9,10,3,7,0,2,0,0,5,9,0,0,0,1,0,7,35,114
Chhattisgarh,Raigarh,46,27,0,36,0,36,15,15,0,1,4,34,224,239,30,209,56,12,19,2,11,154,2,94,6,32,0,93,834,1941
Chhattisgarh,Raipur,77,53,4,126,0,126,41,33,8,1,1,41,510,798,365,433,46,12,117,4,10,487,15,185,15,116,0,336,3203,6198
Chhattisgarh,Rajnandgaon,36,26,6,60,0,60,8,6,2,7,0,16,214,150,49,101,32,5,25,3,13,113,13,67,2,28,0,0,1423,2247
Chhattisgarh,Sarguja,88,33,0,119,0,119,12,12,0,30,2,48,276,216,29,187,68,3,15,0,18,262,2,135,1,32,0,0,980,2340
Chhattisgarh,Total,776,513,51,898,0,898,177,149,28,140,14,331,3621,4170,922,3248,703,76,412,24,151,3653,79,1481,105,601,0,1158,19315,38449
