States/ UTs,District,Murder (Sec.302 & 303 IPC),Attempt To Commit Murder (Sec.307 IPC),C.H. Not Amounting to Murder (Sec.304 &308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 –402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 –460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","Counter- Feiting (Sec. 231-254, 489A- 489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Gujarat,Patan,14,15,0,19,0,19,29,24,5,4,0,18,102,371,71,300,54,17,20,6,5,350,0,29,0,157,0,118,1620,2948
Gujarat,Porbandar,7,6,0,3,0,3,12,11,1,0,0,6,38,89,22,67,10,4,11,2,6,82,0,5,0,48,0,69,616,1014
Gujarat,Rajkot Commr.,37,33,1,12,0,12,54,40,14,9,0,68,320,1394,784,610,140,71,85,14,12,417,1,30,19,312,0,128,2368,5525
Gujarat,Rajkot Rural,45,16,2,24,0,24,47,42,5,13,0,26,156,425,190,235,62,42,12,4,12,334,4,45,2,293,0,293,2013,3870
Gujarat,Surat Commr.,97,42,3,28,0,28,131,79,52,24,4,146,544,3049,1939,1110,165,39,178,29,10,856,11,54,2,472,0,382,4475,10741
Gujarat,Surat Rural,43,4,1,3,0,3,11,5,6,5,2,9,39,122,56,66,10,17,19,3,4,78,0,7,0,30,0,300,882,1589
Gujarat,Surendranagar,35,15,0,21,0,21,44,38,6,3,0,12,80,195,66,129,44,38,17,2,6,382,0,50,1,133,0,236,1643,2957
Gujarat,Tapi,21,5,0,3,0,3,3,2,1,3,0,3,19,42,20,22,8,5,0,3,0,50,0,2,0,6,0,98,331,602
Gujarat,Vadodara Commr.,20,32,3,7,0,7,34,30,4,9,2,23,366,1415,827,588,123,20,119,6,5,283,0,16,3,268,0,159,2473,5386
Gujarat,Vadodara Rural,79,17,1,11,0,11,39,37,2,6,0,10,53,191,76,115,31,44,6,5,16,345,0,21,0,87,0,296,1497,2755
Gujarat,Valsad,33,5,0,4,0,4,15,9,6,4,0,8,119,229,121,108,36,28,43,4,2,138,0,6,0,32,0,0,1094,1800
Gujarat,W.RLY,10,1,0,2,0,2,4,3,1,4,0,13,21,835,48,787,3,1,2,0,0,71,1,5,1,1,0,8,173,1156
Gujarat,Total,1106,487,35,374,0,374,1323,1119,204,256,14,1322,5053,20715,9947,10768,1809,1167,1167,190,363,10897,27,828,122,6094,0,4934,65525,123808
Haryana,Ambala,31,31,0,35,0,35,55,49,6,2,3,15,266,419,217,202,1,32,88,2,7,239,11,27,21,172,0,2,1101,2560
Haryana,Bhiwani,56,27,11,33,0,33,47,36,11,12,1,25,241,560,291,269,158,21,90,3,19,305,14,24,20,111,0,5,956,2739
Haryana,Faridabad,59,24,5,46,0,46,109,94,15,4,51,32,276,945,691,254,145,138,32,2,7,191,21,23,97,173,0,12,2124,4516
Haryana,Fatehabad,20,13,4,12,0,12,25,21,4,1,5,5,126,298,162,136,23,8,65,0,5,184,4,16,13,143,0,4,647,1621
Haryana,Grp,27,3,2,1,0,1,7,3,4,1,1,22,1,497,108,389,11,4,7,0,0,13,6,7,158,0,0,24,468,1260
Haryana,Gurgaon,80,59,5,35,0,35,89,66,23,36,56,111,698,2843,2063,780,117,91,200,8,9,156,19,27,32,123,0,29,2347,7170
Haryana,Hissar,52,46,5,23,0,23,43,27,16,1,8,23,214,560,332,228,52,30,94,3,8,382,19,25,9,214,0,2,1353,3166
Haryana,Jhajjar,62,30,4,22,0,22,26,15,11,5,8,18,138,268,152,116,58,24,44,0,2,117,20,13,42,115,0,181,518,1715
Haryana,Jind,39,24,14,38,0,38,29,23,6,1,1,18,158,296,189,107,103,56,43,0,4,154,18,21,15,73,0,7,655,1767
Haryana,Kaithal,22,24,2,14,0,14,16,16,0,5,7,6,107,194,116,78,0,70,22,2,3,225,13,14,0,150,0,5,621,1522
Haryana,Karnal,39,46,7,50,0,50,35,23,12,6,10,23,265,681,373,308,28,13,74,1,8,350,17,31,21,124,0,278,1124,3231
Haryana,Kurukshetra,20,19,2,41,0,41,30,24,6,2,4,23,244,582,270,312,0,73,22,5,4,207,12,11,27,72,0,6,1007,2413
Haryana,Mahendragarh,31,6,2,21,0,21,26,20,6,1,0,4,102,196,102,94,52,27,10,0,4,156,16,17,0,73,0,3,977,1724
Haryana,Mewat,19,21,0,29,0,29,21,13,8,4,23,11,23,212,124,88,96,13,42,0,2,91,7,6,6,114,0,1,521,1262
Haryana,Palwal,34,37,3,29,0,29,32,23,9,5,18,22,70,354,268,86,115,16,25,1,2,198,15,25,33,89,0,4,863,1990
Haryana,Panchkula,17,7,1,15,0,15,26,18,8,6,1,14,157,427,201,226,3,11,58,0,0,53,5,6,1,72,0,3,686,1569
Haryana,Panipat,46,16,12,30,0,30,52,34,18,3,19,27,195,845,613,232,63,20,20,5,2,225,13,16,17,62,0,234,780,2702
Haryana,Rewari,27,24,4,23,0,23,27,25,2,4,1,29,170,429,253,176,47,44,18,2,9,203,13,31,0,72,0,7,1177,2361
Haryana,Rohtak,67,53,3,39,0,39,32,20,12,4,6,30,227,596,369,227,75,22,60,1,6,197,17,25,38,106,0,195,843,2642
Haryana,Sirsa,48,35,0,31,0,31,25,16,9,3,0,8,146,334,173,161,26,18,32,4,13,351,9,14,0,127,0,1,733,1958
Haryana,Sonipat,84,48,4,36,0,36,59,43,16,11,28,69,229,659,331,328,11,21,86,0,13,291,24,31,50,149,0,310,1170,3383
Haryana,Yamunanagar,41,23,2,28,0,28,43,35,8,3,6,20,196,514,276,238,0,11,18,1,12,216,9,25,5,101,0,10,789,2073
Haryana,Total,921,616,92,631,0,631,854,644,210,120,257,555,4249,12709,7674,5035,1184,763,1150,40,139,4504,302,435,605,2435,0,1323,21460,55344
Himachal Pradesh,Bilaspur,5,2,1,10,0,10,7,7,0,0,0,2,46,64,8,56,38,7,17,3,6,36,2,28,5,35,0,19,713,1046
Himachal Pradesh,Chamba,10,3,1,10,0,10,16,16,0,0,0,1,112,52,5,47,21,2,3,0,4,62,0,26,0,10,0,44,384,761
Himachal Pradesh,G.R.P.,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Himachal Pradesh,Hamirpur,6,0,0,8,0,8,12,12,0,0,0,0,63,75,23,52,23,12,16,0,16,207,0,15,7,39,0,21,439,959
Himachal Pradesh,Kangra,19,20,1,19,0,19,20,15,5,0,0,4,123,249,69,180,118,12,65,2,20,234,0,37,13,68,0,6,1260,2290
Himachal Pradesh,Kinnaur,1,0,0,4,0,4,2,2,0,0,0,1,27,9,1,8,11,3,0,0,0,9,0,3,0,3,0,26,71,170
Himachal Pradesh,Kullu,15,3,0,16,0,16,19,17,2,0,0,2,62,80,14,66,54,5,13,1,8,40,0,31,2,28,0,52,665,1096
Himachal Pradesh,Lahaul-spiti,1,0,0,1,0,1,0,0,0,0,0,0,4,1,1,0,1,1,1,0,0,0,0,0,0,1,0,4,55,70
Himachal Pradesh,Mandi,19,7,0,32,0,32,14,13,1,0,0,3,95,98,29,69,68,11,31,1,28,130,1,75,8,42,0,61,1420,2144
Himachal Pradesh,Shimla,15,10,0,22,0,22,20,19,1,1,0,3,139,225,60,165,108,26,41,1,27,54,0,31,0,33,0,79,1106,1941
Himachal Pradesh,Sirmaur,7,2,0,10,0,10,14,13,1,1,0,0,52,85,27,58,64,19,30,0,8,36,0,19,0,30,0,60,448,885
Himachal Pradesh,Solan,16,3,2,14,0,14,15,13,2,3,0,4,95,126,69,57,70,25,13,2,6,357,0,13,2,17,0,62,659,1504
Himachal Pradesh,Una,15,9,0,11,0,11,12,10,2,1,0,0,67,85,26,59,51,14,18,1,4,93,0,17,4,37,0,51,612,1102
Himachal Pradesh,Total,129,59,5,157,0,157,151,137,14,6,0,20,885,1152,332,820,627,137,248,11,127,1258,3,295,41,343,0,485,7837,13976
Jammu & Kashmir,Anantnag,10,6,0,13,0,13,74,74,0,1,0,7,115,149,38,111,148,2,35,1,16,1,0,63,17,0,0,0,566,1224
Jammu & Kashmir,Awantipora,2,3,0,4,0,4,13,13,0,0,0,1,20,39,2,37,30,0,2,1,1,0,0,40,1,1,0,12,197,367
Jammu & Kashmir,Bandipora,3,3,0,1,0,1,45,44,1,0,0,3,38,57,1,56,57,0,7,0,6,0,0,74,7,0,0,0,166,467
Jammu & Kashmir,Baramulla,18,35,5,13,0,13,63,60,3,0,0,4,130,144,19,125,141,6,6,3,14,9,0,80,12,1,0,0,563,1247
Jammu & Kashmir,Budgam,3,27,4,8,0,8,66,60,6,0,0,4,84,186,12,174,230,3,31,1,9,3,0,88,29,0,0,19,609,1404
Jammu & Kashmir,Crime Jammu,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,25
Jammu & Kashmir,Crime Srinagar,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,44,0,0,0,0,0,0,0,0,0,0,52
Jammu & Kashmir,Doda,20,41,0,20,0,20,24,21,3,0,0,0,28,39,1,38,27,3,8,0,6,16,0,14,4,8,0,2,331,591
Jammu & Kashmir,Ganderbal,5,2,0,2,0,2,23,21,2,0,0,2,30,41,8,33,35,3,4,1,2,4,0,36,1,2,0,15,150,358
Jammu & Kashmir,Handwara,6,22,0,6,0,6,17,16,1,0,0,0,13,29,1,28,16,2,8,1,6,1,0,51,6,1,0,0,125,310
Jammu & Kashmir,Jammu,31,87,7,26,0,26,51,49,2,1,0,3,248,572,335,237,210,18,66,4,42,43,7,31,58,54,0,103,2189,3851
Jammu & Kashmir,Kargil,0,0,2,1,0,1,1,1,0,0,0,0,4,4,0,4,8,1,3,0,1,0,0,5,0,0,0,4,73,107
Jammu & Kashmir,Kathua,14,18,1,15,0,15,19,13,6,0,0,0,43,71,21,50,87,2,12,0,12,10,7,17,4,7,0,2,716,1057
Jammu & Kashmir,Kishtwar,10,22,0,4,0,4,12,12,0,0,0,0,11,35,1,34,0,3,4,0,11,6,0,10,1,5,0,3,157,294
Jammu & Kashmir,Kulgam,6,9,0,5,0,5,45,43,2,0,0,7,44,64,4,60,68,3,10,2,5,18,0,63,4,1,0,33,185,572
Jammu & Kashmir,Kupwara,12,41,2,5,0,5,22,19,3,0,0,1,16,29,2,27,54,2,5,1,6,4,0,31,2,2,0,8,150,393
Jammu & Kashmir,Leh,2,1,0,6,0,6,3,3,0,0,0,1,20,16,2,14,1,5,8,0,0,0,0,7,0,0,0,0,183,253
Jammu & Kashmir,Poonch,13,27,1,16,0,16,25,21,4,0,0,3,49,36,2,34,112,2,7,3,0,48,0,35,6,13,0,0,391,787
Jammu & Kashmir,Pulwama,7,14,2,2,0,2,30,29,1,0,0,11,23,62,5,57,77,3,6,0,10,36,0,13,8,0,0,3,114,421
Jammu & Kashmir,Railways,0,1,0,0,0,0,1,1,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Jammu & Kashmir,Rajouri,8,26,5,21,0,21,28,27,1,0,0,3,55,51,3,48,44,6,17,3,29,31,6,34,7,39,0,31,842,1286
Jammu & Kashmir,Ramban,11,12,0,9,0,9,14,14,0,1,0,0,27,37,2,35,33,2,10,0,5,9,0,4,4,0,0,3,497,678
Jammu & Kashmir,Reasi,16,34,1,5,0,5,10,9,1,0,0,1,18,37,7,30,5,1,4,0,7,4,0,11,4,2,0,2,310,472
Jammu & Kashmir,Samba,6,26,0,2,0,2,9,9,0,0,0,1,22,45,16,29,38,1,8,0,5,2,1,7,1,3,0,2,491,670
Jammu & Kashmir,Shopian,7,23,0,6,0,6,16,14,2,0,0,5,9,62,4,58,31,1,5,1,8,5,0,49,5,1,0,4,75,313
Jammu & Kashmir,Srinagar,13,80,1,16,0,16,79,69,10,0,0,9,256,329,185,144,295,11,57,1,26,16,0,162,104,18,0,47,1029,2549
Jammu & Kashmir,Udhampur,10,10,0,13,0,13,14,14,0,0,0,1,44,51,18,33,35,2,3,0,3,7,0,10,11,4,0,0,625,843
Jammu & Kashmir,Total,237,570,31,219,0,219,704,656,48,3,0,67,1347,2198,689,1509,1782,87,392,23,230,273,21,935,296,162,0,293,10734,20604
Jharkhand,Bokaro,76,8,0,40,0,40,41,37,4,21,0,27,71,658,141,517,142,17,84,0,0,0,15,0,2,65,0,0,1398,2665
Jharkhand,Chaibasa,127,46,35,42,0,42,7,5,2,7,2,16,19,131,27,104,31,12,22,0,2,49,7,16,0,33,0,30,203,837
Jharkhand,Chatra,42,46,0,11,0,11,17,14,3,14,0,27,18,97,9,88,121,0,10,0,5,0,14,1,0,2,0,18,587,1030
Jharkhand,Deoghar,46,4,1,33,0,33,11,2,9,18,3,22,112,152,61,91,148,13,7,11,3,279,6,5,5,29,12,96,459,1475
Jharkhand,Dhanbad,72,41,12,47,0,47,88,76,12,38,2,59,182,788,276,512,204,26,62,1,8,196,36,35,10,57,0,1,1614,3579
Jharkhand,Dhanbad RLY.,13,0,0,0,0,0,1,1,0,16,1,12,7,110,9,101,5,0,1,0,0,0,2,4,0,2,0,0,61,235
Jharkhand,Dumka,77,17,0,60,0,60,26,23,3,6,0,17,80,201,12,189,109,11,23,0,4,261,17,7,0,66,0,54,722,1758
Jharkhand,Garhwa,48,78,2,21,0,21,27,16,11,18,1,30,29,85,1,84,139,8,29,1,19,302,9,15,0,20,0,44,354,1279
Jharkhand,Giridih,63,30,0,48,0,48,52,44,8,41,0,45,88,353,47,306,378,6,30,0,9,205,33,22,1,25,0,84,1306,2819
Jharkhand,Godda,61,44,0,26,0,26,41,6,35,5,0,16,55,160,0,160,124,0,0,0,29,235,7,16,0,50,0,0,994,1863
Jharkhand,Gumla,158,79,4,38,0,38,37,11,26,20,0,62,22,97,58,39,18,8,17,0,0,76,0,11,0,8,0,80,225,960
Jharkhand,Hazaribagh,80,52,2,57,0,57,65,61,4,32,11,55,116,465,133,332,323,23,144,3,19,109,36,31,0,97,0,169,1132,3021
Jharkhand,Jamshedpur,102,88,10,41,0,41,36,16,20,20,2,59,123,890,325,565,44,35,116,2,11,86,14,18,5,74,0,4,1432,3212
Jharkhand,Jamshedpur RLY.,6,2,0,0,0,0,0,0,0,3,1,6,3,122,10,112,1,0,2,1,1,11,0,1,0,1,0,1,32,194
Jharkhand,Jamtara,25,1,3,20,0,20,9,3,6,0,1,4,42,64,6,58,71,6,16,0,1,0,5,9,0,16,0,3,358,654
Jharkhand,Khunti,63,11,5,8,0,8,13,2,11,6,2,16,4,40,3,37,15,0,1,0,3,19,1,1,0,1,0,41,63,313
Jharkhand,Koderma,23,31,0,16,0,16,16,14,2,2,0,9,18,120,28,92,103,9,57,1,3,0,11,6,0,23,0,72,305,825
Jharkhand,Latehar,31,16,2,11,0,11,14,11,3,22,2,19,16,73,2,71,18,4,6,1,2,29,6,10,0,6,0,40,212,540
Jharkhand,Lohardagga,22,3,2,16,0,16,18,4,14,14,1,19,22,88,25,63,49,5,16,0,8,4,2,2,0,7,0,28,237,563
Jharkhand,Pakur,31,90,6,53,0,53,18,2,16,2,0,7,19,88,23,65,56,0,17,0,4,134,1,9,0,103,0,58,100,796
Jharkhand,Palamu,102,174,6,30,0,30,57,31,26,20,0,41,80,188,34,154,143,13,37,0,0,0,18,1,0,32,0,75,1100,2117
Jharkhand,Ramgarh,44,14,1,11,0,11,20,18,2,18,1,29,33,288,75,213,90,8,35,0,5,131,5,6,0,13,0,0,315,1067
Jharkhand,Ranchi,209,72,10,62,0,62,117,62,55,49,17,112,155,1624,766,858,138,43,133,0,14,495,12,23,0,88,27,299,1106,4805
Jharkhand,Sahebganj,42,47,4,61,0,61,35,22,13,4,1,9,24,134,31,103,37,5,12,1,6,98,4,14,0,19,0,23,264,844
Jharkhand,Saraikela,59,56,3,13,0,13,14,11,3,13,0,24,20,199,55,144,51,17,17,2,5,107,5,8,0,13,0,90,141,857
Jharkhand,Simdega,75,11,4,26,0,26,12,7,5,7,2,19,17,54,8,46,18,0,6,0,3,0,0,0,0,1,0,0,123,378
Jharkhand,Total,1697,1061,112,791,0,791,792,499,293,416,50,761,1375,7269,2165,5104,2576,269,900,24,164,2826,266,271,23,851,39,1310,14843,38686
Karnataka,Bagalkot,43,26,0,2,0,2,22,15,7,1,1,8,68,128,52,76,175,9,45,3,3,222,6,62,2,56,0,0,1166,2048
Karnataka,Bengaluru Commr.,253,297,8,54,0,54,159,2,157,88,203,702,1787,9681,5605,4076,348,190,2025,49,10,2497,52,179,1,307,0,126,10648,29664
Karnataka,Bengaluru Rural,102,54,0,14,0,14,22,7,15,29,0,49,185,527,244,283,209,6,81,2,0,471,11,56,0,56,0,0,2549,4423
Karnataka,Belgaum,124,94,1,30,0,30,59,45,14,3,7,53,311,599,256,343,460,19,223,7,27,1049,9,180,9,233,0,36,3617,7150
Karnataka,Bellary,46,47,1,11,0,11,19,10,9,5,0,24,123,284,135,149,189,20,48,0,7,497,10,41,0,49,0,9,1834,3264
Karnataka,Bidar,28,36,1,7,0,7,23,17,6,3,0,24,147,203,57,146,135,12,37,1,15,899,11,105,2,55,0,18,1601,3363
Karnataka,Bijapur,83,73,0,19,0,19,23,17,6,6,5,19,146,151,75,76,313,15,55,0,20,592,1,83,0,135,0,0,1386,3125
Karnataka,Cbpura,39,44,1,7,0,7,17,13,4,2,0,13,98,209,53,156,172,3,60,3,0,309,9,37,0,22,0,1,845,1891
Karnataka,Chamarajnagar,36,20,1,4,0,4,7,3,4,4,0,10,76,128,31,97,85,0,22,2,0,423,4,29,0,35,0,0,632,1518
Karnataka,Chickmagalur,39,31,3,17,0,17,23,10,13,4,1,26,151,201,49,152,151,1,24,4,8,775,8,60,6,123,0,4,1441,3101
Karnataka,Chitradurga,42,15,1,18,0,18,20,15,5,5,3,29,118,281,114,167,266,11,33,3,9,794,6,82,0,49,0,0,2406,4191
Karnataka,Dakshin Kannada,29,45,2,10,0,10,10,6,4,5,0,38,187,256,145,111,266,3,91,6,19,508,5,53,4,51,0,14,2372,3974
Karnataka,Davanagere,26,18,1,10,0,10,35,31,4,3,2,16,138,268,103,165,213,14,53,1,0,468,9,60,5,102,0,3,1564,3009
Karnataka,Dharwad Commr.,21,26,0,3,0,3,15,10,5,8,1,78,153,422,245,177,90,7,135,5,8,168,1,16,1,44,0,9,1088,2299
Karnataka,Dharwad Rural,22,25,0,1,0,1,6,0,6,3,0,7,23,49,12,37,72,6,10,1,1,127,3,16,0,23,0,0,692,1087
Karnataka,Gadag,23,22,1,10,0,10,10,0,10,2,0,6,58,87,41,46,108,2,17,0,5,181,5,49,1,34,0,94,460,1175
Karnataka,Gulbarga,104,104,3,25,0,25,47,31,16,10,2,74,236,297,119,178,429,14,71,3,59,1279,7,75,0,169,0,22,2592,5622
Karnataka,Hassan,72,59,1,17,0,17,28,24,4,9,0,35,245,368,186,182,152,4,53,2,0,1002,8,76,0,79,1,0,2738,4949
Karnataka,Haveri,31,23,2,5,0,5,12,0,12,5,1,9,72,118,42,76,218,10,53,0,0,276,0,48,0,33,0,193,1213,2322
Karnataka,K.G.F.,13,10,1,5,0,5,5,5,0,1,1,10,59,64,19,45,50,3,20,0,0,230,3,14,0,33,0,0,327,849
Karnataka,Kodagu,22,33,2,20,0,20,6,5,1,2,0,9,110,105,13,92,40,1,20,2,3,529,2,27,1,41,0,3,752,1730
Karnataka,Kolar,37,22,23,14,0,14,15,11,4,6,2,14,73,213,64,149,172,4,16,1,0,310,14,22,0,21,0,5,1030,2014
Karnataka,Koppal,22,4,6,6,0,6,12,12,0,2,0,11,74,107,38,69,121,4,44,2,2,174,4,26,0,39,0,0,1063,1723
Karnataka,Mandya,50,41,1,18,0,18,14,13,1,8,2,18,212,362,169,193,270,6,28,4,0,872,11,59,0,72,0,0,2699,4747
Karnataka,Mysore Commr.,26,30,2,23,0,23,30,22,8,1,6,92,194,630,416,214,88,10,92,1,0,297,4,28,0,151,0,0,1381,3086
Karnataka,Mysore Rural,54,51,1,13,0,13,14,7,7,8,0,14,220,228,49,179,177,7,28,2,0,753,15,68,0,97,0,0,1423,3173
Karnataka,Raichur,53,34,2,19,0,19,21,21,0,3,2,20,72,137,54,83,207,9,65,3,8,553,7,86,0,106,0,10,1577,2994
Karnataka,Railways,13,6,0,0,0,0,2,0,2,3,2,28,0,301,7,294,13,0,2,2,0,15,0,1,0,0,0,0,59,447
Karnataka,Ramanagar,92,60,7,17,0,17,19,8,11,11,3,41,199,409,183,226,227,3,34,1,11,562,14,62,0,37,0,0,2275,4084
Karnataka,Shimoga,45,45,3,14,0,14,27,23,4,5,0,65,263,326,138,188,211,8,59,1,12,1009,3,101,5,207,0,1,2380,4790
Karnataka,Tumkur,69,55,1,12,0,12,18,10,8,17,2,41,244,453,129,324,245,8,70,4,25,694,16,90,0,80,0,17,2652,4813
Karnataka,Udupi,21,10,2,11,0,11,7,3,4,4,1,19,127,133,76,57,84,2,25,2,5,267,0,17,0,15,0,7,1576,2335
Karnataka,Uttar Kannada,18,15,3,10,0,10,11,9,2,4,1,13,89,95,41,54,57,13,30,1,8,357,1,46,7,84,0,0,1717,2580
Karnataka,Total,1698,1475,81,446,0,446,758,405,353,270,248,1615,6258,17820,8960,8860,6013,424,3669,118,265,19159,259,1954,44,2638,1,572,61755,127540
Kerala,Alapuzha,8,37,8,16,0,16,20,16,4,11,0,59,234,348,112,236,470,32,242,1,14,1308,2,224,22,247,0,0,5070,8373
Kerala,Ernakulam Commr.,9,11,3,12,0,12,12,7,5,1,0,31,114,313,95,218,141,15,225,1,3,355,1,59,5,88,0,0,6562,7961
Kerala,Ernakulam Rural,36,31,19,35,0,35,13,9,4,12,10,74,232,451,148,303,428,26,144,7,25,1176,3,134,24,175,0,2,6102,9159
Kerala,Idukki,15,28,1,28,0,28,15,12,3,6,0,16,186,268,60,208,202,13,113,3,7,1428,0,131,3,193,0,0,2267,4923
Kerala,Kannur,26,38,5,33,0,33,13,7,6,3,5,73,275,210,96,114,872,16,164,1,56,1168,1,111,13,276,0,8,2534,5901
Kerala,Kasargod,19,23,2,28,0,28,15,6,9,4,3,21,160,178,76,102,502,13,164,2,28,889,1,92,6,202,0,0,1233,3585
Kerala,Kollam,26,21,8,61,0,61,23,20,3,5,39,49,258,474,199,275,474,16,189,3,22,1896,2,273,11,442,0,2,4423,8717
Kerala,Kottayam,26,16,5,31,0,31,16,11,5,2,0,75,275,404,103,301,359,77,353,5,8,1576,0,221,32,193,0,2,4332,8008
Kerala,Kozhikode Commr.,6,16,1,15,0,15,12,4,8,9,17,100,214,295,129,166,410,20,169,1,10,578,3,72,10,165,0,2,2041,4166
Kerala,Kozhikode Rural,15,17,2,39,0,39,7,6,1,3,7,24,231,254,74,180,784,7,139,0,60,1257,2,151,29,288,0,4,2109,5429
Kerala,Malappuram,29,27,9,51,0,51,13,7,6,3,30,47,467,480,189,291,618,28,245,3,19,878,2,149,28,525,0,0,3768,7419
Kerala,Palakkad,34,19,0,42,0,42,15,8,7,5,11,39,188,273,132,141,526,62,198,4,29,1176,4,133,4,296,0,1,2498,5557
Kerala,Pathanamthitta,17,18,4,32,0,32,10,8,2,2,0,24,155,209,64,145,358,9,120,2,23,1100,0,168,12,173,0,3,2904,5343
Kerala,Railways,1,0,0,1,0,1,0,0,0,1,6,1,1,148,0,148,1,1,3,1,0,24,0,7,3,0,0,0,10,209
Kerala,Thrissur,38,64,12,46,0,46,17,12,5,10,31,61,202,453,144,309,708,21,526,2,41,1029,2,214,29,332,0,6,6159,10003
Kerala,Trivandrum Commr.,10,22,2,20,0,20,18,6,12,1,87,57,233,494,211,283,426,52,330,3,12,716,1,128,7,115,0,3,2279,5016
Kerala,Trivandrum Rural,35,38,9,43,0,43,25,20,5,10,19,52,332,445,122,323,538,16,235,6,27,1914,7,404,9,314,0,2,3868,8348
Kerala,Wayanadu,12,8,5,35,0,35,9,7,2,3,2,13,125,121,27,94,240,11,100,1,5,710,0,74,11,114,0,2,902,2503
Kerala,Total,362,434,95,568,0,568,253,166,87,91,267,816,3882,5818,1981,3837,8057,435,3659,46,389,19178,31,2745,258,4138,0,37,59061,110620
Madhya Pradesh,Alirajpur,59,40,2,41,0,41,14,14,0,1,0,3,42,86,29,57,21,1,4,0,12,298,1,37,1,7,0,59,496,1225
Madhya Pradesh,Anuppur,32,11,2,42,0,42,4,2,2,2,0,14,78,83,32,51,13,1,14,2,8,298,4,53,1,23,0,10,549,1244
Madhya Pradesh,Ashok Nagar,18,20,9,47,0,47,3,3,0,1,1,8,112,142,38,104,31,8,17,1,6,799,16,107,8,35,0,75,577,2041
Madhya Pradesh,Balaghat,56,21,4,61,0,61,8,6,2,1,3,18,100,199,41,158,46,8,5,2,10,423,8,131,11,38,0,113,1293,2559
Madhya Pradesh,Barwani,32,21,1,39,0,39,6,4,2,0,1,11,76,218,71,147,25,3,10,0,10,332,1,81,3,6,0,138,893,1907
Madhya Pradesh,Betul,57,33,2,121,0,121,26,22,4,0,0,29,171,240,60,180,14,0,20,0,24,384,17,198,10,50,0,138,1707,3241
Madhya Pradesh,Bhind,54,74,6,27,0,27,13,9,4,6,1,93,155,223,86,137,67,6,31,0,13,625,30,60,1,38,0,167,1481,3171
Madhya Pradesh,Bhopal,60,86,15,113,0,113,42,36,6,3,5,227,987,2572,1348,1224,133,31,125,6,35,1642,28,207,39,157,0,304,7901,14718
Madhya Pradesh,Bhopal RLY.,2,4,1,2,0,2,3,2,1,1,0,7,8,938,15,923,8,0,3,1,0,1,1,7,3,3,0,3,331,1327
Madhya Pradesh,Burhanpur,19,15,0,14,0,14,2,2,0,34,2,6,44,119,30,89,59,4,9,0,11,86,3,55,0,30,0,42,830,1384
Madhya Pradesh,Chhatarpur,52,62,4,57,0,57,26,14,12,2,2,59,407,351,73,278,35,14,42,2,31,549,22,194,20,58,0,102,2837,4928
Madhya Pradesh,Chhindwara,76,23,5,120,0,120,13,11,2,0,0,10,157,293,77,216,50,10,31,0,22,1344,17,185,22,121,0,168,1922,4589
Madhya Pradesh,Damoh,58,47,0,46,0,46,13,12,1,0,4,25,136,149,67,82,13,3,16,6,19,1325,15,126,0,47,0,80,776,2904
Madhya Pradesh,Datiya,44,51,0,25,0,25,17,11,6,0,3,53,110,157,35,122,29,1,10,0,9,454,17,63,0,32,0,65,1248,2388
Madhya Pradesh,Dewas,45,73,1,73,0,73,18,14,4,1,5,29,192,638,215,423,76,14,63,0,41,507,10,191,42,150,0,171,3253,5593
Madhya Pradesh,Dhar,80,94,6,100,0,100,29,27,2,13,10,28,203,513,242,271,110,24,22,0,27,634,37,185,11,69,0,247,2947,5389
Madhya Pradesh,Dindori,19,3,5,20,0,20,1,1,0,1,0,4,23,27,7,20,5,9,5,0,4,175,2,33,1,4,0,54,355,750
