SI. No.,Category,States/ UTs/ Cities,"Murder (Sec.302,303 IPC) - 2007","Murder (Sec.302,303 IPC) - 2008","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2007,Attempt to Commit Murder (Sec.307 IPC) - 2008,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. Not Amounting to Murder (Sec.304,308 IPC) - 2007","C.H. Not Amounting to Murder (Sec.304,308 IPC) - 2008","C.H. Not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - Total - 2007,Rape (Sec. 376 IPC) - Total - 2008,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2007,Rape (Sec. 376 IPC) - Custodial - 2008,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Other - 2007,Rape (Sec. 376 IPC) - Other - 2008,Rape (Sec. 376 IPC) - Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2007,Dacoity (Sec. 395-398 IPC) - 2008,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2007,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2008,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2007","Robbery (Sec.392-394, 397, 398 IPC) - 2008","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2007","Burglary (Sec.449-452,454,455,457-460 IPC) - 2008","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) - Total - 2007,Theft (Sec. 379 - 382 IPC) - Total - 2008,Theft (Sec. 379 - 382 IPC) - Total - % Variation,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2007,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2008,Theft (Sec. 379 - 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) - Other Theft - 2007,Theft (Sec. 379 - 382 IPC) - Other Theft - 2008,Theft (Sec. 379 - 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2007","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2008","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2007,Criminal Breach of Trust (Sec. 406-409 IPC) - 2008,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2007","Cheating (Sec. 419,420 IPC) - 2008","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2007","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2008","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2007","Arson (Sec.435,436,438 IPC) - 2008","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2007","Hurt (Sec.323-333, 335-338 IPC) - 2008","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2007,Dowry Deaths (Sec.304B IPC) - 2008,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2007,Molestation (Sec.354 IPC) - 2008,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2007,Sexual Harassment (Sec.509 IPC) - 2008,Sexual Harassment (Sec.509 IPC) - % Variation,Other IPC Crimes - 2007,Other IPC Crimes - 2008,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2007,Total Cognizable Crimes Under IPC - 2008,Total Cognizable Crimes Under IPC - % Variation
36,City,Agra,63,52,-17.5,74,74,0,30,26,-13.3,15,22,46.7,0,0,NA,15,22,46.7,152,161,5.9,113,134,18.6,39,27,-30.8,6,7,16.7,0,1,NA,36,37,2.8,170,176,3.5,1265,1551,22.6,944,1132,19.9,321,419,30.5,143,155,8.4,122,111,-9,239,262,9.6,12,34,183.3,0,4,NA,218,270,23.9,34,38,11.8,48,62,29.2,101,91,-9.9,901,1242,37.8,4304,4826,12.1
37,City,Ahmedabad,100,85,-15,44,60,36.4,2,0,-100,37,44,18.9,0,0,NA,37,44,18.9,213,172,-19.2,147,137,-6.8,66,35,-47,13,14,7.7,3,2,-33.3,417,538,29,677,778,14.9,4302,5485,27.5,2316,3239,39.9,1986,2246,13.1,133,168,26.3,188,223,18.6,204,200,-2,9,14,55.6,0,1,NA,1421,1335,-6.1,4,1,-75,104,78,-25,13,19,46.2,7953,7900,-0.7,17310,18544,7.1
38,City,Allahabad,49,43,-12.2,43,37,-14,11,9,-18.2,4,5,25,0,0,NA,4,5,25,34,58,70.6,24,47,95.8,10,11,10,1,2,100,0,0,NA,24,36,50,107,122,14,342,464,35.7,212,307,44.8,130,157,20.8,29,68,134.5,39,64,64.1,149,148,-0.7,3,18,500,4,0,-100,36,26,-27.8,10,12,20,6,11,83.3,37,37,0,608,725,19.2,1706,2068,21.2
39,City,Amritsar,43,46,7,46,71,54.3,11,9,-18.2,21,15,-28.6,0,0,NA,21,15,-28.6,48,54,12.5,46,44,-4.3,2,10,400,2,1,-50,9,25,177.8,21,21,0,137,142,3.6,445,466,4.7,152,211,38.8,293,255,-13,0,0,0,28,20,-28.6,267,321,20.2,9,6,-33.3,2,5,150,251,245,-2.4,5,6,20,20,25,25,6,11,83.3,590,673,14.1,2142,2327,8.6
40,City,Asansol,26,40,53.8,2,13,550,8,10,25,15,20,33.3,0,0,NA,15,20,33.3,18,18,0,10,12,20,8,6,-25,3,1,-66.7,63,29,-54,9,3,-66.7,1,4,300,145,222,53.1,45,120,166.7,100,102,2,18,27,50,1,7,600,57,45,-21.1,1,0,-100,1,7,600,109,94,-13.8,11,9,-18.2,20,20,0,1,0,-100,679,855,25.9,1491,1676,12.4
41,City,Bengaluru,246,253,2.8,264,297,12.5,7,8,14.3,62,54,-12.9,1,0,-100,61,54,-11.5,119,159,33.6,35,2,-94.3,84,157,86.9,41,88,114.6,203,203,0,545,702,28.8,1485,1787,20.3,7377,9681,31.2,3667,5605,52.8,3710,4076,9.9,425,348,-18.1,183,190,3.8,2052,2025,-1.3,45,49,8.9,2,10,400,2381,2497,4.9,54,52,-3.7,187,179,-4.3,2,1,-50,10969,10648,-2.9,27049,29664,9.7
42,City,Bhopal,54,43,-20.4,57,60,5.3,1,15,1400,62,80,29,0,0,NA,62,80,29,43,38,-11.6,41,33,-19.5,2,5,150,3,2,-33.3,1,5,400,184,221,20.1,856,861,0.6,2095,2381,13.7,1263,1290,2.1,832,1091,31.1,56,92,64.3,20,27,35,124,112,-9.7,5,6,20,13,21,61.5,1401,1203,-14.1,22,21,-4.5,146,160,9.6,29,34,17.2,5345,5796,8.4,11069,11515,4
43,City,Chennai,145,100,-31,247,130,-47.4,4,0,-100,46,35,-23.9,0,0,NA,46,35,-23.9,83,43,-48.2,59,32,-45.8,24,11,-54.2,8,5,-37.5,0,0,NA,74,41,-44.6,654,322,-50.8,2117,1545,-27,338,269,-20.4,1779,1276,-28.3,115,55,-52.2,14,5,-64.3,433,293,-32.3,9,135,1400,11,0,-100,1224,726,-40.7,43,25,-41.9,108,46,-57.4,126,67,-46.8,9599,7478,-22.1,16508,11829,-28.3
44,City,Coimbatore,22,20,-9.1,15,28,86.7,0,0,NA,10,9,-10,0,0,NA,10,9,-10,14,17,21.4,8,7,-12.5,6,10,66.7,1,1,0,0,0,NA,8,11,37.5,131,78,-40.5,682,621,-8.9,126,166,31.7,556,455,-18.2,5,24,380,7,11,57.1,92,93,1.1,1,168,16700,4,4,0,162,240,48.1,4,6,50,12,29,141.7,2,7,250,2408,2444,1.5,3924,4180,6.5
45,City,Delhi (city),411,451,9.7,458,343,-25.1,80,42,-47.5,524,396,-24.4,0,0,NA,524,396,-24.4,1460,1317,-9.8,1021,948,-7.1,439,369,-15.9,30,17,-43.3,203,116,-42.9,501,493,-1.6,1868,1721,-7.9,15962,17528,9.8,8322,10256,23.2,7640,7272,-4.8,72,60,-16.7,418,317,-24.2,2214,1377,-37.8,37,36,-2.7,26,36,38.5,1536,1753,14.1,111,110,-0.9,744,553,-25.7,148,123,-16.9,22173,15778,-28.8,50895,44573,-12.4
46,City,Dhanbad,24,26,8.3,14,12,-14.3,10,4,-60,5,17,240,0,0,NA,5,17,240,26,21,-19.2,20,18,-10,6,3,-50,13,12,-7.7,2,1,-50,17,16,-5.9,92,106,15.2,349,281,-19.5,185,136,-26.5,164,145,-11.6,104,47,-54.8,13,8,-38.5,40,24,-40,2,1,-50,1,1,0,106,110,3.8,7,16,128.6,5,13,160,0,0,NA,489,570,16.6,1331,1302,-2.2
47,City,Faridabad,65,59,-9.2,36,24,-33.3,2,5,150,37,46,24.3,0,0,NA,37,46,24.3,154,109,-29.2,117,94,-19.7,37,15,-59.5,11,4,-63.6,47,51,8.5,32,32,0,329,276,-16.1,1268,945,-25.5,973,691,-29,295,254,-13.9,153,145,-5.2,120,138,15,25,32,28,4,2,-50,10,7,-30,224,191,-14.7,19,21,10.5,23,23,0,0,97,NA,1531,2124,38.7,4520,4516,-0.1
48,City,Hyderabad,121,122,0.8,147,126,-14.3,9,5,-44.4,58,62,6.9,0,0,NA,58,62,6.9,148,140,-5.4,74,77,4.1,74,63,-14.9,6,10,66.7,0,0,NA,96,115,19.8,993,1143,15.1,4542,5200,14.5,1685,2106,25,2857,3094,8.3,214,143,-33.2,116,143,23.3,1669,1875,12.3,7,42,500,37,44,18.9,4352,4244,-2.5,41,41,0,216,231,6.9,128,148,15.6,2624,3067,16.9,17391,18567,6.8
49,City,Indore,78,97,24.4,116,164,41.4,3,2,-33.3,74,71,-4.1,0,0,NA,74,71,-4.1,43,49,14,32,36,12.5,11,13,18.2,5,4,-20,3,7,133.3,157,323,105.7,817,1094,33.9,2976,4208,41.4,1978,3154,59.5,998,1054,5.6,131,129,-1.5,35,35,0,101,88,-12.9,4,4,0,42,45,7.1,1252,1287,2.8,12,25,108.3,178,231,29.8,34,45,32.4,6406,6968,8.8,12992,15430,18.8
50,City,Jabalpur,41,34,-17.1,111,81,-27,0,0,NA,40,72,80,0,0,NA,40,72,80,27,35,29.6,18,20,11.1,9,15,66.7,1,1,0,5,3,-40,85,123,44.7,392,309,-21.2,583,823,41.2,537,125,-76.7,46,698,1417.4,100,84,-16,8,9,12.5,111,65,-41.4,7,5,-28.6,13,9,-30.8,2139,1075,-49.7,24,27,12.5,145,175,20.7,34,35,2.9,2495,1973,-20.9,6543,5128,-21.6
51,City,Jaipur,52,46,-11.5,76,89,17.1,2,3,50,62,60,-3.2,0,0,NA,62,60,-3.2,206,185,-10.2,179,174,-2.8,27,11,-59.3,7,6,-14.3,4,10,150,153,182,19,821,687,-16.3,4418,4816,9,2606,3278,25.8,1812,1538,-15.1,287,243,-15.3,268,220,-17.9,1613,2012,24.7,9,11,22.2,14,23,64.3,782,797,1.9,25,20,-20,101,106,5,0,2,NA,4166,4926,18.2,14102,15407,9.3
52,City,Jamshedpur,57,65,14,64,81,26.6,3,9,200,39,17,-56.4,0,0,NA,39,17,-56.4,30,33,10,30,12,-60,0,21,NA,11,13,18.2,1,2,100,39,51,30.8,123,107,-13,745,782,5,222,300,35.1,523,482,-7.8,86,30,-65.1,102,32,-68.6,76,107,40.8,0,2,NA,6,10,66.7,703,36,-94.9,15,11,-26.7,12,16,33.3,0,5,NA,489,1210,147.4,2767,2685,-3
53,City,Kanpur,148,168,13.5,132,114,-13.6,46,39,-15.2,46,72,56.5,0,0,NA,46,72,56.5,291,296,1.7,222,227,2.3,69,69,0,42,24,-42.9,5,4,-20,114,144,26.3,264,279,5.7,1204,1293,7.4,839,821,-2.1,365,472,29.3,273,220,-19.4,252,328,30.2,582,645,10.8,32,24,-25,18,7,-61.1,548,505,-7.8,59,86,45.8,102,136,33.3,165,578,250.3,2905,3164,8.9,8008,8885,11
54,City,Kochi,14,9,-35.7,17,11,-35.3,13,3,-76.9,23,12,-47.8,0,0,NA,23,12,-47.8,10,12,20,6,7,16.7,4,5,25,4,1,-75,0,0,NA,43,31,-27.9,189,114,-39.7,350,312,-10.9,120,95,-20.8,230,217,-5.7,177,141,-20.3,21,14,-33.3,284,224,-21.1,0,0,NA,5,3,-40,460,355,-22.8,0,1,NA,75,59,-21.3,5,5,0,4824,6562,36,6602,7956,20.5
55,City,Kolkata,36,51,41.7,71,77,8.5,12,23,91.7,44,35,-20.5,0,0,NA,44,35,-20.5,114,116,1.8,88,92,4.5,26,24,-7.7,2,14,600,63,45,-28.6,74,86,16.2,114,138,21.1,2924,3365,15.1,621,546,-12.1,2303,2819,22.4,220,211,-4.1,222,246,10.8,1126,1273,13.1,14,35,150,0,0,NA,1241,1470,18.5,8,12,50,189,211,11.6,58,81,39.7,3611,4680,29.6,10901,13005,19.3
56,City,Lucknow,107,95,-11.2,96,127,32.3,38,27,-28.9,51,41,-19.6,0,0,NA,51,41,-19.6,211,309,46.4,176,266,51.1,35,43,22.9,23,13,-43.5,4,1,-75,196,143,-27,534,730,36.7,2482,2850,14.8,1536,1525,-0.7,946,1325,40.1,234,354,51.3,315,543,72.4,720,1041,44.6,21,20,-4.8,1,0,-100,39,32,-17.9,32,37,15.6,59,147,149.2,150,328,118.7,2442,3858,58,8468,11735,38.6
57,City,Ludhiana,61,65,6.6,74,66,-10.8,6,10,66.7,53,44,-17,0,0,NA,53,44,-17,112,110,-1.8,89,76,-14.6,23,34,47.8,3,5,66.7,18,18,0,16,16,0,261,203,-22.2,634,537,-15.3,324,289,-10.8,310,248,-20,0,0,NA,27,20,-25.9,271,268,-1.1,3,4,33.3,5,2,-60,246,250,1.6,9,9,0,21,36,71.4,11,21,90.9,918,864,-5.9,3075,2847,-7.4
58,City,Madurai,27,39,44.4,25,38,52,0,0,NA,4,4,0,0,0,NA,4,4,0,23,24,4.3,16,14,-12.5,7,10,42.9,3,1,-66.7,0,0,NA,5,8,60,68,65,-4.4,334,532,59.3,80,174,117.5,254,358,40.9,7,19,171.4,23,3,-87,163,117,-28.2,2,26,1200,3,5,66.7,119,91,-23.5,10,5,-50,11,11,0,31,2,-93.5,1289,1299,0.8,2325,2470,6.2
59,City,Meerut,59,54,-8.5,64,68,6.3,14,9,-35.7,18,19,5.6,0,0,NA,18,19,5.6,72,84,16.7,51,63,23.5,21,21,0,3,1,-66.7,1,0,-100,47,53,12.8,128,75,-41.4,591,607,2.7,332,309,-6.9,259,298,15.1,71,43,-39.4,69,65,-5.8,228,171,-25,23,20,-13,3,0,-100,72,11,-84.7,22,14,-36.4,29,51,75.9,101,101,0,413,1005,143.3,2441,2765,13.3
60,City,Mumbai,230,210,-8.7,116,132,13.8,2,0,-100,174,218,25.3,0,0,NA,174,218,25.3,179,189,5.6,120,116,-3.3,59,73,23.7,31,35,12.9,42,27,-35.7,265,328,23.8,2886,2846,-1.4,11670,12972,11.2,3621,4068,12.3,8049,8904,10.6,260,377,45,470,481,2.3,1735,2025,16.7,113,124,9.7,13,22,69.2,3781,4155,9.9,17,11,-35.3,365,436,19.5,112,121,8,6862,6850,-0.2,30481,32770,7.5
61,City,Nagpur,73,100,37,60,57,-5,5,4,-20,50,53,6,0,0,NA,50,53,6,66,43,-34.8,50,28,-44,16,15,-6.3,27,14,-48.1,59,41,-30.5,357,321,-10.1,1141,941,-17.5,2354,2062,-12.4,899,871,-3.1,1455,1191,-18.1,242,258,6.6,73,77,5.5,309,336,8.7,13,21,61.5,20,16,-20,996,773,-22.4,7,7,0,96,91,-5.2,51,71,39.2,3261,2869,-12,9791,8661,-11.5
62,City,Nasik,33,43,30.3,26,31,19.2,1,0,-100,7,14,100,0,0,NA,7,14,100,21,34,61.9,17,21,23.5,4,13,225,5,22,340,1,2,100,50,78,56,460,523,13.7,1018,1353,32.9,452,668,47.8,566,685,21,153,186,21.6,21,28,33.3,127,166,30.7,13,11,-15.4,12,10,-16.7,224,276,23.2,1,5,400,34,42,23.5,11,10,-9.1,500,545,9,3115,3813,22.4
63,City,Patna,152,146,-3.9,72,68,-5.6,7,9,28.6,42,25,-40.5,0,0,NA,42,25,-40.5,228,230,0.9,46,51,10.9,182,179,-1.6,22,34,54.5,0,0,NA,328,265,-19.2,509,554,8.8,1223,1082,-11.5,923,852,-7.7,300,230,-23.3,231,202,-12.6,43,41,-4.7,171,233,36.3,3,5,66.7,0,2,NA,48,80,66.7,30,28,-6.7,16,9,-43.8,0,1,NA,5548,5618,1.3,8944,9014,0.8
64,City,Pune,126,137,8.7,126,141,11.9,8,5,-37.5,66,92,39.4,0,0,NA,66,92,39.4,122,110,-9.8,93,80,-14,29,30,3.4,37,37,0,52,39,-25,232,379,63.4,1369,1395,1.9,4653,5509,18.4,2492,3262,30.9,2161,2247,4,457,530,16,74,82,10.8,517,600,16.1,12,30,150,18,21,16.7,1274,1328,4.2,6,7,16.7,79,113,43,77,73,-5.2,2726,2924,7.3,12818,14467,12.9
65,City,Rajkot,37,37,0,16,33,106.3,0,1,NA,4,12,200,0,0,NA,4,12,200,46,54,17.4,36,40,11.1,10,14,40,2,9,350,0,0,NA,32,68,112.5,203,320,57.6,846,1394,64.8,436,784,79.8,410,610,48.8,57,140,145.6,22,71,222.7,45,85,88.9,26,14,-46.2,19,12,-36.8,344,417,21.2,3,1,-66.7,17,30,76.5,22,19,-13.6,1819,2368,30.2,3912,5525,41.2
66,City,Surat,108,97,-10.2,31,42,35.5,3,3,0,24,28,16.7,0,0,NA,24,28,16.7,117,131,12,80,79,-1.3,37,52,40.5,15,24,60,1,4,300,42,146,247.6,447,544,21.7,2423,3049,25.8,1587,1939,22.2,836,1110,32.8,111,165,48.6,57,39,-31.6,182,178,-2.2,25,29,16,6,10,66.7,848,856,0.9,21,11,-47.6,44,54,22.7,8,2,-75,5784,4475,-22.6,10986,10741,-2.2
67,City,Vadodara,24,20,-16.7,22,32,45.5,0,3,NA,8,7,-12.5,0,0,NA,8,7,-12.5,47,34,-27.7,37,30,-18.9,10,4,-60,9,9,0,0,2,NA,25,23,-8,359,366,1.9,1403,1415,0.9,831,827,-0.5,572,588,2.8,119,123,3.4,34,20,-41.2,152,119,-21.7,10,6,-40,6,5,-16.7,306,283,-7.5,0,0,NA,11,16,45.5,8,3,-62.5,2180,2473,13.4,5109,5386,5.4
68,City,Varanasi,46,41,-10.9,37,35,-5.4,10,12,20,9,8,-11.1,0,0,NA,9,8,-11.1,43,48,11.6,34,31,-8.8,9,17,88.9,2,1,-50,0,1,NA,28,18,-35.7,144,148,2.8,828,827,-0.1,653,632,-3.2,175,195,11.4,90,56,-37.8,90,104,15.6,226,198,-12.4,14,24,71.4,0,0,NA,75,97,29.3,21,24,14.3,9,11,22.2,89,83,-6.7,862,807,-6.4,2802,2734,-2.4
69,City,Vijayawada,33,34,3,44,58,31.8,3,1,-66.7,17,30,76.5,0,0,NA,17,30,76.5,64,49,-23.4,49,36,-26.5,15,13,-13.3,0,1,NA,0,0,NA,31,24,-22.6,225,189,-16,1377,1176,-14.6,326,321,-1.5,1051,855,-18.6,2,8,300,44,52,18.2,339,326,-3.8,3,13,333.3,18,23,27.8,1671,1482,-11.3,10,9,-10,131,104,-20.6,202,252,24.8,577,610,5.7,5587,5127,-8.2
70,City,Vishakhapatnam,21,32,52.4,23,36,56.5,1,1,0,24,29,20.8,0,0,NA,24,29,20.8,39,34,-12.8,23,26,13,16,8,-50,9,3,-66.7,1,0,-100,24,28,16.7,370,263,-28.9,1215,1045,-14,417,343,-17.7,798,702,-12,24,14,-41.7,65,31,-52.3,285,267,-6.3,16,21,31.3,9,10,11.1,513,412,-19.7,14,13,-7.1,100,87,-13,25,2,-92,1912,1886,-1.4,5480,5015,-8.5
City,City,Total (Cities),2932,2960,1,2866,2856,-0.3,352,297,-15.6,1775,1768,-0.4,1,0,-100,1774,1768,-0.3,4623,4516,-2.3,3207,3110,-3,1416,1406,-0.7,401,436,8.7,791,639,-19.2,4307,5104,18.5,19324,19406,0.4,87142,98379,12.9,42060,50711,20.6,45082,47668,5.7,4799,4865,1.4,3604,3805,5.6,16928,17351,2.5,507,960,89.3,342,375,9.6,31102,29002,-6.8,711,721,1.4,3463,3602,4,1787,2475,38.5,127858,127234,-0.5,336889,347153,3
