Sl. No.,Category,States/ UTs/Cities,"Murder (Sec. 302, 303 IPC) - Incidence","Murder (Sec. 302, 303 IPC) - Rate",Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC) - Total - Incidence,Rape (Sec. 376 IPC) - Total - Rate,Rape (Sec. 376 IPC) - Custodial - Incidence,Rape (Sec. 376 IPC) - Custodial - Rate,Rape (Sec. 376 IPC) - Others - Incidence,Rape (Sec. 376 IPC) - Others - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Rate",Theft (Sec.379-382 IPC) - Total - Incidence,Theft (Sec.379-382 IPC) - Total - Rate,Theft (Sec.379-382 IPC) - Auto Theft - Incidence,Theft (Sec.379-382 IPC) - Auto Theft - Rate,Theft (Sec.379-382 IPC) - Other Theft - Incidence,Theft (Sec.379-382 IPC) - Other Theft - Rate,"Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Incidence","Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC) - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.304B IPC) - Incidence,Dowry Deaths (Sec.304B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
37,City,Ahmedabad,85,1.9,60,1.3,0,0,44,1,0,0,44,1,172,3.8,137,3,35,0.8,14,0.3,2,0,538,11.9,778,17.2,5485,121.4,3239,71.7,2246,49.7,168,3.7,223,4.9,200,4.4,14,0.3,1,0,1335,29.5,1,0,78,1.7,19,0.4,1185,26.2,0,0,242,5.4,7900,174.8,18544,410.4
38,City,Allahabad,43,4.1,37,3.5,9,0.9,5,0.5,0,0,5,0.5,58,5.5,47,4.5,11,1,2,0.2,0,0,36,3.4,122,11.6,464,44.2,307,29.2,157,15,68,6.5,64,6.1,148,14.1,18,1.7,0,0,26,2.5,12,1.1,11,1,37,3.5,107,10.2,0,0,76,7.2,725,69,2068,197
39,City,Amritsar,46,4.5,71,7,9,0.9,15,1.5,0,0,15,1.5,54,5.3,44,4.4,10,1,1,0.1,25,2.5,21,2.1,142,14,466,46.1,211,20.9,255,25.2,0,0,20,2,321,31.8,6,0.6,5,0.5,245,24.2,6,0.6,25,2.5,11,1.1,66,6.5,0,0,99,9.8,673,66.6,2327,230.2
40,City,Asansol,40,3.7,13,1.2,10,0.9,20,1.8,0,0,20,1.8,18,1.6,12,1.1,6,0.5,1,0.1,29,2.7,3,0.3,4,0.4,222,20.3,120,11,102,9.3,27,2.5,7,0.6,45,4.1,0,0,7,0.6,94,8.6,9,0.8,20,1.8,0,0,166,15.2,0,0,86,7.9,855,78.4,1676,153.6
41,City,Bengaluru,253,4.4,297,5.2,8,0.1,54,0.9,0,0,54,0.9,159,2.8,2,0,157,2.8,88,1.5,203,3.6,702,12.3,1787,31.4,9681,170.2,5605,98.6,4076,71.7,348,6.1,190,3.3,2025,35.6,49,0.9,10,0.2,2497,43.9,52,0.9,179,3.1,1,0,307,5.4,0,0,126,2.2,10648,187.2,29664,521.6
42,City,Bhopal,43,3,60,4.1,15,1,80,5.5,0,0,80,5.5,38,2.6,33,2.3,5,0.3,2,0.1,5,0.3,221,15.2,861,59.2,2381,163.6,1290,88.7,1091,75,92,6.3,27,1.9,112,7.7,6,0.4,21,1.4,1203,82.7,21,1.4,160,11,34,2.3,149,10.2,0,0,188,12.9,5796,398.4,11515,791.4
43,City,Chennai,100,1.6,130,2,0,0,35,0.5,0,0,35,0.5,43,0.7,32,0.5,11,0.2,5,0.1,0,0,41,0.6,322,5,1545,24,269,4.2,1276,19.9,55,0.9,5,0.1,293,4.6,135,2.1,0,0,726,11.3,25,0.4,46,0.7,67,1,165,2.6,0,0,613,9.5,7478,116.4,11829,184.1
44,City,Coimbatore,20,1.4,28,1.9,0,0,9,0.6,0,0,9,0.6,17,1.2,7,0.5,10,0.7,1,0.1,0,0,11,0.8,78,5.4,621,42.9,166,11.5,455,31.5,24,1.7,11,0.8,93,6.4,168,11.6,4,0.3,240,16.6,6,0.4,29,2,7,0.5,62,4.3,0,0,307,21.2,2444,169,4180,289.1
45,City,Delhi (city),451,3.5,343,2.7,42,0.3,396,3.1,0,0,396,3.1,1317,10.3,948,7.4,369,2.9,17,0.1,116,0.9,493,3.9,1721,13.5,17528,137,10256,80.2,7272,56.9,60,0.5,317,2.5,1377,10.8,36,0.3,36,0.3,1753,13.7,110,0.9,553,4.3,123,1,1310,10.2,0,0,696,5.4,15778,123.4,44573,348.5
46,City,Dhanbad,26,2.4,12,1.1,4,0.4,17,1.6,0,0,17,1.6,21,2,18,1.7,3,0.3,12,1.1,1,0.1,16,1.5,106,10,281,26.4,136,12.8,145,13.6,47,4.4,8,0.8,24,2.3,1,0.1,1,0.1,110,10.3,16,1.5,13,1.2,0,0,16,1.5,0,0,0,0,570,53.6,1302,122.4
47,City,Faridabad,59,5.6,24,2.3,5,0.5,46,4.4,0,0,46,4.4,109,10.3,94,8.9,15,1.4,4,0.4,51,4.8,32,3,276,26.2,945,89.6,691,65.5,254,24.1,145,13.7,138,13.1,32,3,2,0.2,7,0.7,191,18.1,21,2,23,2.2,97,9.2,173,16.4,0,0,12,1.1,2124,201.3,4516,428.1
48,City,Hyderabad,122,2.2,126,2.3,5,0.1,62,1.1,0,0,62,1.1,140,2.5,77,1.4,63,1.1,10,0.2,0,0,115,2.1,1143,20.7,5200,94,2106,38.1,3094,55.9,143,2.6,143,2.6,1875,33.9,42,0.8,44,0.8,4244,76.7,41,0.7,231,4.2,148,2.7,1184,21.4,0,0,482,8.7,3067,55.4,18567,335.5
49,City,Indore,97,5.9,164,10,2,0.1,71,4.3,0,0,71,4.3,49,3,36,2.2,13,0.8,4,0.2,7,0.4,323,19.7,1094,66.7,4208,256.7,3154,192.4,1054,64.3,129,7.9,35,2.1,88,5.4,4,0.2,45,2.7,1287,78.5,25,1.5,231,14.1,45,2.7,290,17.7,0,0,264,16.1,6968,425.1,15430,941.4
50,City,Jabalpur,34,3,81,7.3,0,0,72,6.4,0,0,72,6.4,35,3.1,20,1.8,15,1.3,1,0.1,3,0.3,123,11,309,27.7,823,73.7,125,11.2,698,62.5,84,7.5,9,0.8,65,5.8,5,0.4,9,0.8,1075,96.2,27,2.4,175,15.7,35,3.1,95,8.5,0,0,95,8.5,1973,176.6,5128,459.1
51,City,Jaipur,46,2,89,3.8,3,0.1,60,2.6,0,0,60,2.6,185,8,174,7.5,11,0.5,6,0.3,10,0.4,182,7.8,687,29.6,4816,207.2,3278,141,1538,66.2,243,10.5,220,9.5,2012,86.6,11,0.5,23,1,797,34.3,20,0.9,106,4.6,2,0.1,451,19.4,0,0,512,22,4926,212,15407,663
52,City,Jamshedpur,65,5.9,81,7.4,9,0.8,17,1.5,0,0,17,1.5,33,3,12,1.1,21,1.9,13,1.2,2,0.2,51,4.6,107,9.7,782,71,300,27.2,482,43.7,30,2.7,32,2.9,107,9.7,2,0.2,10,0.9,36,3.3,11,1,16,1.5,5,0.5,62,5.6,0,0,4,0.4,1210,109.8,2685,243.6
53,City,Kanpur,168,6.2,114,4.2,39,1.4,72,2.7,0,0,72,2.7,296,11,227,8.4,69,2.6,24,0.9,4,0.1,144,5.4,279,10.4,1293,48.1,821,30.5,472,17.5,220,8.2,328,12.2,645,24,24,0.9,7,0.3,505,18.8,86,3.2,136,5.1,578,21.5,632,23.5,0,0,127,4.7,3164,117.6,8885,330.3
