SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
3,Sikkam,West District,1,1,1,NA,NA,1,1,9,1,NA,NA,NA,15
4,Sikkam,South District,2,1,2,NA,NA,NA,6,18,NA,NA,NA,NA,29
1,Tamil Nadu,Chengleput East,26,NA,14,38,1,16,839,2040,599,44,63,1,5508
2,Tamil Nadu,Chengleput West,21,NA,2,49,2,3,429,1469,457,42,30,1,4244
3,Tamil Nadu,South Arcot,54,2,8,46,4,4,787,1482,832,87,65,2,6196
4,Tamil Nadu,Thanjavur East,22,NA,12,33,NA,4,686,1068,575,69,39,1,4075
5,Tamil Nadu,Thanjavur West,42,NA,8,44,NA,10,636,1441,428,100,43,2,5322
6,Tamil Nadu,Tiruchirapalli,71,2,6,32,5,29,1020,3132,578,170,202,3,8077
7,Tamil Nadu,Pudukkottai,21,NA,1,24,1,NA,196,418,111,18,14,NA,1854
8,Tamil Nadu,Madurai South,42,NA,4,25,1,16,450,1749,440,145,70,6,5667
9,Tamil Nadu,Madurai North,48,1,5,32,3,13,415,1058,304,37,28,5,4139
10,Tamil Nadu,Ramnad East,37,NA,6,19,1,2,219,394,324,33,27,3,2996
11,Tamil Nadu,Ramnad S. West,28,NA,6,10,NA,7,159,591,151,30,15,5,2943
12,Tamil Nadu,Tirunelveli,96,NA,16,107,3,45,639,1934,439,150,71,19,7359
13,Tamil Nadu,Kanyakumari,32,NA,1,4,NA,3,272,469,199,24,5,2,2183
14,Tamil Nadu,Coimbatore Urban,14,NA,NA,20,NA,11,580,1927,312,118,102,6,4206
15,Tamil Nadu,Coimbatore Rural,77,NA,1,32,3,11,668,1316,559,57,45,5,5030
16,Tamil Nadu,The Nilgiris,7,2,3,5,NA,1,162,264,215,10,6,NA,1215
17,Tamil Nadu,Salem,105,12,5,41,6,13,685,2004,753,81,97,3,6340
18,Tamil Nadu,Dharmapuri,57,NA,3,7,4,4,389,633,277,13,19,1,2664
19,Tamil Nadu,North Arcot,66,NA,7,36,8,12,994,2318,861,84,67,3,7662
20,Tamil Nadu,"Railway Police, Tiruchi",2,5,1,1,1,11,9,598,82,13,5,2,1205
1,Tripura,Tripura West District,15,2,7,28,32,79,173,1323,196,14,23,NA,3330
2,Tripura,Tripura South District,9,3,1,8,24,24,199,267,122,7,3,NA,984
3,Tripura,Tripura North District,10,1,5,11,16,40,197,201,40,14,16,NA,1041
1,Uttar Pradesh,Saharanpur,80,23,16,69,84,162,773,1871,241,118,48,1,4627
2,Uttar Pradesh,Muzaffaranagar,121,26,26,55,100,135,570,1266,279,31,58,NA,3602
3,Uttar Pradesh,Meerut,153,21,31,113,172,276,1095,3228,462,230,125,NA,7640
4,Uttar Pradesh,Bulandshahr,146,42,20,72,179,259,1246,1998,327,120,62,2,5622
5,Uttar Pradesh,Ghaziabad,109,17,17,69,129,247,904,2004,390,188,78,NA,5503
6,Uttar Pradesh,Aligarh,154,23,11,98,283,268,1184,1904,353,139,62,1,5849
7,Uttar Pradesh,Mathura,77,14,5,44,153,153,625,906,72,86,43,1,3197
8,Uttar Pradesh,Agra,112,50,19,137,271,287,1390,3447,405,218,130,3,8479
9,Uttar Pradesh,Mainpuri,140,11,15,84,252,258,706,1047,292,204,38,NA,4945
10,Uttar Pradesh,Etah,192,15,9,118,260,263,925,1007,306,58,38,NA,4045
11,Uttar Pradesh,Farrukhabad,132,27,15,65,195,245,764,1022,147,52,38,NA,4013
12,Uttar Pradesh,Etawah,75,12,22,70,146,159,685,1013,195,67,32,NA,3377
13,Uttar Pradesh,Kanpur (Dehat & City),200,39,37,230,227,390,1830,4488,412,530,315,13,11435
14,Uttar Pradesh,Fatehpur,167,16,8,19,142,212,553,637,95,46,16,3,2445
15,Uttar Pradesh,Allahabad,215,57,16,69,184,131,930,1988,275,215,152,2,6207
16,Uttar Pradesh,Jhansi,26,11,24,18,52,86,576,948,140,51,54,1,2683
17,Uttar Pradesh,Jalaun,69,23,8,21,57,123,558,495,156,65,17,NA,2144
18,Uttar Pradesh,Hamirpur,127,21,8,8,90,128,375,288,84,20,14,NA,1590
19,Uttar Pradesh,Banda,122,42,19,26,172,220,549,457,167,42,25,NA,2378
20,Uttar Pradesh,Lalitpur,18,8,5,7,21,71,234,249,72,14,3,NA,9768
21,Uttar Pradesh,Varanasi,76,35,12,65,238,110,923,2017,408,151,77,4,6025
22,Uttar Pradesh,Mirzapur,73,27,11,28,81,45,420,889,174,76,27,NA,2668
23,Uttar Pradesh,Jaunpur,51,16,8,21,77,60,482,581,244,111,34,3,2442
24,Uttar Pradesh,Ghazipur,57,19,2,17,123,55,552,507,165,33,17,NA,2031
25,Uttar Pradesh,Ballia,37,11,4,15,58,70,773,775,233,54,30,2,2720
26,Uttar Pradesh,Gorakhpur,122,25,22,87,278,264,1319,2395,774,329,80,4,7510
27,Uttar Pradesh,Basti,91,30,20,60,134,111,938,1100,378,113,45,2,4170
28,Uttar Pradesh,Azamgarh,103,27,15,37,128,121,923,1170,850,125,47,1,4635
29,Uttar Pradesh,Deoria,88,23,9,28,94,70,670,894,283,75,19,5,3268
30,Uttar Pradesh,Bareilly,163,25,25,99,128,218,685,1859,162,181,99,NA,5164
31,Uttar Pradesh,Shahjahanpur,145,27,23,81,98,249,602,1282,84,73,29,NA,3768
32,Uttar Pradesh,Budaun,147,21,20,43,78,194,437,1086,95,48,25,NA,3004
33,Uttar Pradesh,Pilibhit,56,17,7,27,31,73,248,490,35,35,11,NA,1604
34,Uttar Pradesh,Moradabad,201,33,33,20,132,374,791,2504,341,150,78,1,6493
35,Uttar Pradesh,Rampur,55,25,5,41,45,59,288,608,156,62,20,NA,1902
36,Uttar Pradesh,Bijnor,72,19,8,46,59,92,301,851,157,57,29,2,2307
37,Uttar Pradesh,Nainital,49,8,14,54,25,72,366,963,130,74,36,NA,2482
38,Uttar Pradesh,Almora,1,NA,NA,NA,NA,1,27,24,3,7,5,NA,120
39,Uttar Pradesh,Pithoragarh,1,NA,1,1,NA,5,44,56,11,10,41,NA,248
40,Uttar Pradesh,Dehra Dun,25,3,5,33,9,68,396,931,112,61,50,NA,2068
41,Uttar Pradesh,Uttarkashi,4,NA,NA,NA,NA,3,38,37,6,2,1,1,136
42,Uttar Pradesh,Chamoli,NA,NA,NA,2,NA,3,26,21,12,2,NA,NA,112
43,Uttar Pradesh,Terhi Garhwal,1,NA,1,2,NA,8,44,43,7,5,1,NA,174
44,Uttar Pradesh,Pauri Garhwal,3,NA,NA,6,3,7,40,61,6,11,4,NA,215
45,Uttar Pradesh,Lucknow,132,33,29,170,115,247,2017,7536,441,505,253,2,14003
46,Uttar Pradesh,Unnao,178,24,16,42,157,230,927,901,175,48,27,NA,3595
47,Uttar Pradesh,Rae Bareli,54,47,29,41,104,113,706,931,246,101,10,1,3201
48,Uttar Pradesh,Sitapur,156,27,32,65,155,282,920,1728,218,72,42,3,4725
49,Uttar Pradesh,Hardoi,165,40,22,86,159,390,992,1209,256,83,32,1,4491
50,Uttar Pradesh,kheri,96,28,14,70,81,154,549,1330,161,89,15,2,3430
51,Uttar Pradesh,Faizabad,81,43,8,59,103,65,984,1286,292,120,33,NA,4049
52,Uttar Pradesh,Gonda,93,31,13,117,103,337,1399,1647,429,113,75,1,5569
53,Uttar Pradesh,Bahraich,76,31,24,106,113,139,658,1163,259,73,30,NA,3494
54,Uttar Pradesh,Sultanpur,41,21,13,40,64,62,539,639,183,84,17,1,2489
55,Uttar Pradesh,Pratapgarh,49,40,17,28,114,337,494,622,233,89,23,NA,2521
56,Uttar Pradesh,Barabanki,115,21,17,52,126,199,977,742,278,64,27,NA,3629
57,Uttar Pradesh,Govt. Rly. Police ,33,2,2,38,49,113,15,5107,62,209,81,NA,6126
1,West Bengal,Bankura,24,16,12,9,35,17,85,818,456,50,28,1,2333
2,West Bengal,Birbhum,39,11,23,25,60,60,290,887,674,71,20,NA,3034
3,West Bengal,Burdwan,113,41,36,104,199,175,435,3498,1074,119,85,NA,7942
4,West Bengal,Hooghly,50,22,27,56,137,64,257,1942,750,85,73,3,5406
5,West Bengal,Purulia,30,7,7,11,46,43,144,898,281,43,13,NA,2176
6,West Bengal,24 Parganas,134,62,114,304,201,174,1533,8648,2467,224,304,23,21510
7,West Bengal,Murshidabad,57,35,45,48,73,51,263,1396,891,35,47,1,4066
8,West Bengal,Nadia,48,16,61,56,86,64,553,2463,914,41,45,NA,5770
9,West Bengal,West Dinajpur,49,38,15,32,128,75,470,1738,659,54,19,NA,4061
10,West Bengal,Jalpaiguri,43,25,28,38,46,71,443,1569,316,45,27,NA,3831
11,West Bengal,Malda,31,26,18,31,36,11,129,574,273,13,22,2,1919
12,West Bengal,Darjeeling,38,17,9,18,37,30,137,1209,107,40,22,NA,2504
13,West Bengal,Cooch Behar,25,17,26,28,42,67,592,583,222,26,18,NA,2276
14,West Bengal,Howrah,72,17,9,56,64,74,219,2664,570,138,91,4,5899
15,West Bengal,Midnapore,59,26,43,69,90,72,1008,2379,1930,105,71,NA,7830
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,8,2,1,8,NA,12,85,167,29,17,9,NA,701
1,Arunachal Pradesh,Lohit,1,NA,NA,NA,NA,1,6,27,1,1,1,NA,52
2,Arunachal Pradesh,Subansiri ,3,2,1,NA,1,4,22,37,4,2,NA,NA,95
3,Arunachal Pradesh,Kameng ,3,1,2,NA,NA,3,6,18,3,4,2,NA,73
4,Arunachal Pradesh,Tirap,1,NA,NA,1,NA,NA,7,15,1,3,1,NA,58
5,Arunachal Pradesh,Siang ,2,1,NA,5,2,4,18,49,4,1,NA,NA,165
1,Chandigarh,U.T. of Chandigarh,6,6,3,24,2,7,187,1663,6,57,62,NA,2609
1,Dadar & Nagar Haveli,U. T. Dadar & Nagar Haveli,6,4,NA,1,NA,7,28,35,11,10,2,NA,220
1,Delhi,Railway,1,2,NA,NA,1,17,4,693,2,36,25,2,846
2,Delhi,North,57,81,13,189,19,247,809,6332,73,288,375,6,11221
3,Delhi,Central,26,46,13,143,8,104,418,4407,48,112,202,5,7236
4,Delhi,West,36,51,16,145,15,90,607,2547,51,55,100,2,5079
5,Delhi,South,28,40,27,161,15,111,868,6070,80,98,132,2,9900
6,Delhi,New Delhi,6,1,NA,40,3,42,276,3163,32,55,163,3,4733
7,Delhi,East,28,35,10,143,8,55,754,2014,19,30,116,2,4312
8,Delhi,Palam,NA,NA,NA,NA,NA,1,2,60,NA,5,1,NA,80
1,Daman & Diu,Goa,10,4,3,5,4,25,416,547,110,23,31,NA,2083
2,Daman & Diu,Daman,NA,NA,1,2,NA,3,20,14,5,1,NA,NA,77
3,Daman & Diu,Diu,NA,NA,NA,NA,NA,1,5,5,4,NA,NA,NA,21
1,Lakshadweep,Lakshadweep,NA,NA,NA,NA,NA,NA,8,8,4,NA,NA,NA,20
1,Mizoram,Aizawl,14,NA,24,3,5,30,55,176,2,15,23,NA,523
2,Mizoram,Lunglei,4,3,3,1,2,2,7,33,NA,13,2,NA,167
3,Mizoram,Chhimtuipui,3,1,2,3,1,7,9,20,NA,34,1,NA,81
1,Pondicherry,Pondicherry U.T.,11,1,15,24,3,2,311,1889,136,96,42,3,4345
