SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
20,Madhya Pradesh,Jhabua,224,290,3,50,137,137,0,19,0,84,401,903,106,11,18,0,2039,4285
21,Madhya Pradesh,Khandwa,47,40,7,47,39,37,2,15,2,33,412,1026,77,31,57,0,3027,4860
22,Madhya Pradesh,Khargon,89,116,8,63,53,53,0,14,8,68,459,1434,227,70,43,0,5381,8033
23,Madhya Pradesh,Mandla,47,44,3,68,14,14,0,6,1,25,288,262,22,22,45,2,1885,2734
24,Madhya Pradesh,Mandsaur,50,51,2,48,43,38,5,0,6,49,821,1527,170,62,21,2,2365,5217
25,Madhya Pradesh,Muraina,88,83,1,41,38,28,10,15,10,64,347,738,171,22,32,0,3484,5134
26,Madhya Pradesh,Narasingpur,36,47,5,64,13,13,0,3,0,33,221,487,41,16,17,1,1778,2762
27,Madhya Pradesh,Panna,34,18,2,18,6,3,3,3,3,21,128,200,36,2,18,0,1080,1569
28,Madhya Pradesh,Raigarh,62,31,0,27,18,18,0,6,1,18,333,418,72,8,34,0,1421,2449
29,Madhya Pradesh,Raipur,116,97,9,133,39,33,6,15,0,97,1159,2097,242,82,87,8,5767,9948
30,Madhya Pradesh,Raisen,40,30,3,46,22,21,1,6,4,21,270,402,71,25,16,0,1595,2551
31,Madhya Pradesh,Rajgarh,48,88,2,74,25,20,5,10,2,59,217,589,77,7,13,2,2323,3536
32,Madhya Pradesh,Rajnandgaon,32,31,3,78,16,15,1,3,0,47,355,561,47,13,56,0,1619,2861
33,Madhya Pradesh,Ratlam,54,65,0,45,17,14,3,0,3,51,358,819,61,36,26,1,2167,3703
34,Madhya Pradesh,Riwa,54,35,14,26,18,10,8,0,4,42,476,520,78,1,30,0,1831,3129
35,Madhya Pradesh,Sagar,87,95,2,92,21,21,0,0,3,78,565,900,149,6,43,0,4486,6527
36,Madhya Pradesh,Sarguja,125,55,1,77,38,37,1,10,2,90,717,775,155,16,32,0,2233,4326
37,Madhya Pradesh,Satna,55,27,3,39,17,15,2,7,4,58,513,673,119,4,30,1,1812,3362
38,Madhya Pradesh,Shahdol,63,33,0,20,11,11,0,7,3,26,457,605,83,5,17,0,2582,3912
39,Madhya Pradesh,Shajapur,62,46,0,73,17,14,3,5,3,52,328,735,122,23,14,0,1475,2955
40,Madhya Pradesh,Shivpuri,47,46,5,48,12,10,2,8,3,47,244,364,110,7,9,0,2023,2973
41,Madhya Pradesh,Sidhi,49,16,4,7,7,5,2,9,0,19,391,317,34,1,8,0,1314,2176
42,Madhya Pradesh,Sihore,36,29,6,40,28,28,0,1,0,21,239,493,108,7,14,0,1732,2754
43,Madhya Pradesh,Sivni,48,20,2,42,16,15,1,1,0,13,161,285,37,13,11,0,1662,2311
44,Madhya Pradesh,Tikamgarh,35,21,2,42,8,8,0,12,4,35,196,310,85,0,11,0,1551,2312
45,Madhya Pradesh,Ujjain,78,133,3,76,35,32,3,7,0,124,962,1856,145,34,69,0,3897,7419
46,Madhya Pradesh,Vidisha,50,84,0,81,11,9,2,1,2,33,209,544,55,14,20,0,2088,3192
47,Madhya Pradesh,Bhopal Rly.,3,7,1,3,1,1,0,2,2,32,14,901,8,2,6,0,357,1339
48,Madhya Pradesh,Indore Rly.,2,8,2,5,1,1,0,1,0,7,10,242,5,2,4,0,259,548
49,Madhya Pradesh,Jabalpur Rly.,3,2,0,2,0,0,0,0,0,10,4,331,8,1,2,0,135,498
50,Madhya Pradesh,Raipur Rly.,6,4,0,1,2,2,0,2,0,9,13,374,10,1,3,0,136,561
51,Madhya Pradesh,Total,3415,3395,193,2596,1241,1151,90,342,127,2650,21870,42536,5089,980,1812,26,132159,218431
1,Maharashtra,Ahmednagar,117,72,0,28,33,28,5,38,3,117,415,1053,180,55,70,5,3023,5209
2,Maharashtra,Akola,86,47,0,17,35,35,0,27,1,110,698,2558,110,58,46,10,3201,7004
3,Maharashtra,Amravati,91,64,0,51,54,44,10,19,1,104,807,3391,112,69,93,5,4002,8863
4,Maharashtra,Aurangabad Commr.,17,21,0,12,19,14,5,16,2,59,483,1092,142,35,51,2,1271,3222
5,Maharashtra,Aurangabad Rural,44,18,1,14,14,10,4,28,2,62,181,613,149,22,24,2,1731,2905
6,Maharashtra,Beed,71,19,1,11,35,35,0,46,2,113,357,740,310,61,63,0,2373,4202
7,Maharashtra,Bhandara,79,42,0,42,20,20,0,12,0,24,316,718,52,23,36,7,2243,3614
8,Maharashtra,Bombay Commr.,473,261,6,114,332,164,168,115,58,1136,2665,16201,220,687,1255,55,16319,39897
9,Maharashtra,Buldhana,55,36,0,11,22,22,0,17,0,44,372,1376,91,30,29,1,2573,4657
10,Maharashtra,Chandrapur,52,34,1,47,31,28,3,10,1,79,345,934,97,36,55,0,2665,4387
11,Maharashtra,Dhule,91,34,0,19,24,16,8,33,0,56,272,919,163,77,57,2,2044,3791
12,Maharashtra,Gadchiroli,49,20,0,27,14,9,5,8,0,25,100,190,22,21,13,0,760,1249
13,Maharashtra,Jalgaon,103,46,0,15,13,10,3,26,0,50,328,933,88,67,35,2,2317,4023
14,Maharashtra,Jalna,48,31,0,5,13,8,5,28,0,77,284,826,85,14,32,0,1691,3134
15,Maharashtra,Kolhapur,81,43,3,29,38,22,16,13,1,40,347,1027,211,89,153,8,1829,3912
16,Maharashtra,Latur,57,8,1,7,19,19,0,16,3,38,163,383,100,19,30,0,1514,2358
17,Maharashtra,Nagpur Commr.,143,68,2,51,87,70,17,14,0,328,792,3263,174,123,177,115,4650,9987
18,Maharashtra,Nagpur Rural,77,43,0,38,26,24,2,13,1,65,452,1511,196,25,29,1,3198,5675
19,Maharashtra,Nanded,85,41,0,16,38,0,38,53,0,163,475,1188,173,42,81,5,2202,4562
20,Maharashtra,Nasik Commr.,26,11,1,7,11,0,11,8,2,22,224,534,38,30,90,3,920,1927
21,Maharashtra,Nasik Rural,86,25,2,22,30,16,14,19,0,36,318,769,167,94,47,3,3664,5282
22,Maharashtra,Osmanabad,48,16,0,9,19,19,0,19,4,31,202,472,140,9,11,1,1150,2131
23,Maharashtra,Parbhani,68,31,2,14,21,16,5,24,2,96,300,891,94,34,23,2,2506,4108
24,Maharashtra,Pune Commr.,69,40,5,36,70,50,20,13,7,143,990,3398,178,135,253,38,6036,11411
25,Maharashtra,Pune Rural,112,30,3,27,30,2,8,36,0,48,372,731,99,28,47,7,2243,3813
26,Maharashtra,Raigad,77,16,1,7,14,14,0,14,0,14,113,207,57,12,12,1,967,1512
27,Maharashtra,Ratnagiri,32,12,0,9,8,8,0,5,0,15,246,268,70,22,20,9,821,1537
28,Maharashtra,Sangli,77,23,4,23,21,16,5,4,0,35,289,794,72,54,62,1,1702,3161
29,Maharashtra,Satara,72,21,35,23,19,5,14,10,0,36,425,805,102,40,41,3,2721,4353
30,Maharashtra,Sindhudurg,18,2,0,3,4,3,1,1,0,7,136,154,22,18,6,2,431,804
31,Maharashtra,Solapur,101,52,2,21,9,7,2,28,2,70,241,686,169,59,47,23,2402,3912
32,Maharashtra,Thane Commr.,154,70,5,46,72,39,33,54,12,227,1348,2323,327,135,128,13,2660,7574
33,Maharashtra,Thane Rural,154,46,2,35,28,9,19,87,5,128,627,863,264,48,36,4,2347,4674
34,Maharashtra,Wardha,53,17,1,30,23,7,16,3,0,43,302,963,49,16,29,3,2044,3576
35,Maharashtra,Yavatmal,55,39,0,37,28,28,0,8,0,51,510,1750,77,36,27,0,2562,5180
36,Maharashtra,Bombay Rly.,5,4,0,1,1,1,0,5,0,44,0,2091,19,42,28,3,157,2400
37,Maharashtra,Nagpur Rly.,8,4,0,0,1,0,1,9,0,29,1,1117,18,9,12,1,155,1364
38,Maharashtra,Pune Rly.,10,7,1,2,2,1,1,5,0,14,4,751,7,9,8,0,105,925
39,Maharashtra,Total,3044,1414,79,906,1278,839,439,884,109,3779,16500,58483,4644,2383,3256,337,95199,192295
1,Manipur,Bishnupur,6,8,0,1,15,0,15,0,0,1,15,24,25,3,13,0,133,244
2,Manipur,Chandel,3,2,0,0,2,0,2,4,0,5,9,7,2,0,0,4,15,53
3,Manipur,Churachandpur,6,2,0,0,3,1,2,0,0,0,23,40,9,0,3,8,45,139
4,Manipur,Imphal,49,13,0,5,59,59,0,5,0,13,47,110,36,9,40,7,511,904
5,Manipur,Senapati,4,2,0,0,2,2,0,8,0,6,3,17,25,3,0,1,63,134
6,Manipur,Tamenglong,1,0,0,1,1,0,1,0,0,0,6,8,5,0,2,1,46,71
7,Manipur,Thoubal,15,4,0,4,27,24,3,0,0,3,39,37,27,7,23,5,238,429
8,Manipur,Ukhrul,16,1,0,0,4,0,4,0,0,2,8,13,3,4,3,1,71,126
9,Manipur,Total,100,32,0,11,113,86,27,17,0,30,150,256,132,26,84,27,1122,2100
1,Meghalaya,Garo Hills East,3,0,0,3,1,1,0,5,0,2,16,13,0,0,1,0,35,79
2,Meghalaya,Garo Hills West,10,4,0,7,5,4,1,5,1,10,71,169,15,7,4,1,231,540
3,Meghalaya,Jaintia Hills,39,1,0,4,2,1,1,3,0,5,13,35,0,4,2,0,72,180
4,Meghalaya,Khasi Hills East,41,5,0,9,14,14,0,6,0,31,66,310,20,12,37,0,249,800
5,Meghalaya,Khasi Hills West,15,3,1,5,0,0,0,3,0,4,3,22,6,1,1,0,63,127
6,Meghalaya,Total,108,13,1,28,22,20,2,22,1,52,169,549,41,24,45,1,650,1726
1,Mizoram,Aizawl,20,21,7,42,9,0,9,19,0,40,270,512,0,26,45,10,346,1367
2,Mizoram,Chhimtuipui,2,0,0,1,0,0,0,0,0,1,14,32,0,6,1,1,102,160
3,Mizoram,Lunglei,4,3,0,3,1,1,0,0,0,1,20,71,0,8,11,1,131,254
4,Mizoram,Total,26,24,7,46,10,1,9,19,0,42,304,615,0,40,57,12,579,1781
1,Nagaland,Dimapur,17,10,0,5,14,3,11,10,0,26,102,152,2,10,23,1,183,555
2,Nagaland,Kohima,7,7,0,2,10,4,6,2,0,17,53,64,3,4,7,0,74,250
3,Nagaland,Mokokchung,7,1,0,1,1,0,1,0,0,11,24,13,0,2,4,1,51,116
4,Nagaland,Mon,4,7,1,1,4,4,0,5,0,19,23,27,8,4,6,0,55,164
5,Nagaland,Peren,3,3,0,0,0,0,0,0,0,2,6,12,0,0,6,0,17,49
6,Nagaland,Phek,3,5,0,0,3,1,2,7,0,6,8,14,1,6,2,0,37,92
7,Nagaland,Tuensang,5,1,0,1,0,0,0,1,0,5,22,20,5,7,5,0,45,117
8,Nagaland,Wokha,3,2,0,0,2,0,2,0,0,1,35,56,0,0,1,0,60,160
9,Nagaland,Zunheboto,0,0,2,3,2,1,1,2,0,4,35,30,0,12,8,0,40,138
10,Nagaland,Total,49,36,3,13,36,13,23,27,0,91,308,388,19,45,62,2,562,1641
1,Orissa,Balasore,37,28,5,27,24,24,0,31,0,34,326,709,305,28,11,0,2038,3603
2,Orissa,Berhampur,18,14,1,3,4,4,0,2,0,27,131,279,72,13,7,0,807,1378
3,Orissa,Bhubaneswar,22,30,0,6,31,31,0,25,0,84,523,1368,52,48,37,8,1663,3897
4,Orissa,Bolangir,27,22,0,14,4,4,0,12,0,29,291,388,103,27,24,0,3247,4188
5,Orissa,Cuttack ( R),52,200,22,24,36,36,0,55,0,104,563,984,204,26,25,0,3505,5800
6,Orissa,Cuttack (S),29,37,4,14,22,22,0,15,0,65,369,959,76,45,39,0,1961,3635
7,Orissa,Dhenkanal,39,55,2,14,17,17,0,13,0,59,326,626,109,25,14,0,1450,2749
8,Orissa,Ganjam,46,66,8,13,25,25,0,28,0,42,228,355,178,11,12,1,1728,2741
9,Orissa,Kalahandi,15,10,5,7,8,8,0,4,0,25,188,251,75,7,12,0,1007,1614
10,Orissa,Keonjhar,40,31,2,20,8,8,0,3,0,12,133,306,54,12,9,0,985,1615
11,Orissa,Koraput,128,49,6,39,25,25,0,26,0,88,443,758,234,41,25,2,2258,4122
12,Orissa,Mayurbhanj,54,27,5,39,23,23,0,18,0,34,207,438,71,14,8,4,1251,2193
13,Orissa,Phulbani,16,8,3,14,7,7,0,3,0,29,165,240,51,12,14,0,783,1345
14,Orissa,Puri,45,59,8,24,34,34,0,32,0,76,446,1133,228,45,49,1,2795,4975
15,Orissa,Rourkela,21,17,4,4,11,11,0,6,0,24,128,426,22,13,12,1,796,1485
16,Orissa,Sambalpur,63,58,6,25,23,23,0,18,0,57,490,825,129,32,34,4,2318,4082
17,Orissa,Sundargarh,62,20,9,25,8,8,0,16,0,26,121,320,37,10,10,0,956,1620
18,Orissa,GRP(Cuttack),3,2,0,1,0,0,0,1,0,4,12,182,14,5,2,0,93,319
19,Orissa,GRP(Rourkela),4,1,0,0,0,0,0,4,0,6,36,196,14,2,1,0,456,720
20,Orissa,Total,721,734,90,313,310,310,0,312,0,825,5126,10743,2028,416,345,21,30097,52081
1,Punjab,Amritsar,158,83,2,3,15,4,11,10,0,93,54,95,0,8,51,0,122,694
2,Punjab,Batala,224,135,0,2,26,5,21,2,0,5,46,68,0,10,7,0,144,669
3,Punjab,Bhatinda,200,164,12,5,16,0,16,3,0,6,105,137,0,4,12,0,292,956
4,Punjab,Faridkot,167,143,12,10,20,6,14,5,2,5,50,150,2,11,24,0,266,867
5,Punjab,Ferozepur,150,156,4,5,42,4,38,0,3,10,88,134,5,12,22,0,414,1045
6,Punjab,Gurdaspur,118,112,5,8,22,11,11,8,2,91,103,257,1,13,42,0,387,1169
7,Punjab,Hoshiarpur,79,67,4,6,9,3,6,8,0,17,86,103,6,4,26,0,286,701
8,Punjab,Jalandhar,159,93,17,10,40,16,24,8,9,48,193,332,12,15,37,0,526,1499
9,Punjab,Kapurthala,59,56,2,2,13,1,12,0,0,8,47,81,0,2,9,0,153,432
10,Punjab,Ludhiana,424,224,18,6,62,16,46,21,19,97,305,431,1,28,48,1,730,2415
11,Punjab,Majitha,331,209,8,2,27,4,23,7,0,37,37,72,0,2,4,1,145,882
12,Punjab,Patiala,199,106,15,0,23,10,13,0,0,5,141,408,0,20,25,0,848,1790
13,Punjab,Ropar,114,54,1,1,23,11,12,1,0,4,101,165,0,7,19,0,271,761
14,Punjab,Sangrur,312,122,16,3,29,8,21,1,0,13,103,246,0,11,17,0,449,1322
15,Punjab,Tarn Taran,354,257,9,1,27,1,26,4,0,36,15,44,0,4,10,0,118,879
16,Punjab,Total,3048,1981,125,64,394,100,294,78,35,475,1474,2723,27,151,353,2,5151,16081
1,Rajasthan,Ajmer,49,65,9,21,103,103,0,6,0,45,297,508,533,29,229,10,2011,3915
2,Rajasthan,Alwar,83,88,2,19,95,72,23,5,0,54,423,814,1402,32,287,5,2741,6050
3,Rajasthan,Banswara,38,34,1,56,105,101,4,5,0,47,200,259,859,13,71,0,2428,4116
4,Rajasthan,Baran,34,77,2,32,74,74,0,3,0,48,269,340,304,18,67,1,1452,2721
5,Rajasthan,Barmer,22,5,1,8,17,11,6,2,0,43,94,272,132,8,73,2,1233,1912
6,Rajasthan,Bharatpur,69,6,1,35,91,73,18,3,1,54,201,803,989,33,130,0,2965,5381
7,Rajasthan,Bhilwara,31,25,2,34,167,167,0,1,0,48,405,553,715,34,308,3,2349,4675
8,Rajasthan,Bikaner,37,84,3,33,34,34,0,0,0,13,173,442,158,23,94,0,2012,3106
9,Rajasthan,Bundi,41,60,1,20,89,80,9,3,0,61,208,309,333,32,39,0,1544,2740
10,Rajasthan,Chittorgarh,42,36,4,54,195,185,10,3,0,70,577,787,914,34,241,1,3481,6439
11,Rajasthan,Churu,32,41,0,27,18,13,5,0,0,15,131,233,268,17,84,1,1494,2361
12,Rajasthan,Dausa,23,9,0,7,25,25,0,1,0,9,112,255,510,17,42,1,630,1641
13,Rajasthan,Dholpur,44,40,0,18,70,52,18,9,4,19,129,373,711,16,48,0,1227,2708
14,Rajasthan,Dungarpur,25,13,0,22,45,42,3,2,0,15,99,154,338,18,19,5,1550,2305
15,Rajasthan,Ganganagar,181,180,2,72,88,76,12,3,0,42,422,588,358,108,326,1,5170,7541
16,Rajasthan,Jaipur,113,70,6,34,180,167,13,7,0,104,967,2712,2196,166,463,21,5645,12684
17,Rajasthan,Jaisalmer,7,9,0,1,5,1,4,0,0,14,35,169,63,4,3,0,312,622
18,Rajasthan,Jalore,25,17,0,8,27,25,2,0,0,28,73,121,149,36,21,6,1081,1592
19,Rajasthan,Jhalawar,54,80,0,40,80,80,0,1,0,58,312,326,336,28,52,0,1362,2729
20,Rajasthan,Jhunjhunu,34,0,7,7,14,4,10,0,0,15,131,237,593,9,57,5,1322,2431
21,Rajasthan,Jodhpur,64,52,0,20,59,46,13,9,0,72,313,547,496,55,175,2,2501,4365
22,Rajasthan,Kota,53,197,4,43,138,91,47,2,0,70,539,989,508,50,182,2,2551,5328
23,Rajasthan,Nagour,45,44,0,15,46,45,1,1,0,20,129,314,493,10,76,6,1805,3004
24,Rajasthan,Pali,42,0,0,17,58,58,0,0,0,37,220,261,331,43,78,2,1828,2917
25,Rajasthan,Rajsanand,15,0,0,7,66,66,0,1,0,25,143,174,283,10,53,1,1167,1945
26,Rajasthan,Sawai Madhopur,73,52,3,59,95,95,0,10,0,49,408,649,1581,13,119,0,2283,5424
27,Rajasthan,Sikar,50,14,0,18,25,12,13,0,0,17,172,273,913,51,96,5,1262,2896
28,Rajasthan,Sirohi,22,29,1,8,31,31,0,4,0,20,99,115,125,12,32,1,820,1319
29,Rajasthan,Tonk,21,42,0,22,50,50,0,1,0,8,125,268,517,19,53,0,1496,2622
30,Rajasthan,Udaipur,47,72,3,41,122,122,0,5,0,95,461,634,988,52,149,5,2584,5258
31,Rajasthan,G.R.P,5,7,0,5,6,6,0,5,0,12,5,534,26,3,11,2,249,870
32,Rajasthan,Total,1421,1448,52,803,2218,2007,211,92,5,1257,7872,15013,18122,993,3678,88,60555,113617
1,Sikkam,East,7,1,0,5,2,2,0,1,0,5,65,66,2,4,5,0,114,277
2,Sikkam,North,0,0,0,0,1,1,0,0,0,0,4,9,1,0,0,0,16,31
3,Sikkam,South,0,0,0,3,0,0,0,0,0,2,14,23,5,0,1,0,32,80
4,Sikkam,West,2,1,1,1,1,1,0,0,0,2,10,13,1,2,5,0,42,81
5,Sikkam,Total,9,2,1,9,4,4,0,1,0,9,93,111,9,6,11,0,204,469
1,Tamil Nadu,Chengai Anna East,93,64,1,13,69,29,40,13,0,27,781,2115,969,48,96,26,2540,6855
2,Tamil Nadu,Chengai Anna West,52,15,1,14,43,43,0,3,0,9,452,1209,583,10,8,20,5905,8324
3,Tamil Nadu,Chidambaranar,97,65,0,17,25,25,0,3,0,20,263,714,925,6,16,35,4571,6757
4,Tamil Nadu,Coimbatore,98,68,0,15,38,38,0,14,0,35,624,2058,989,44,115,128,4695,8921
5,Tamil Nadu,Cuddalore,57,88,1,20,43,43,0,9,0,16,244,1141,474,7,22,22,4228,6372
6,Tamil Nadu,Dharmapuri,113,35,0,10,29,29,0,20,0,20,281,718,390,24,19,1,2764,4424
7,Tamil Nadu,Dindigul Anna,53,50,2,22,48,48,0,1,0,12,247,593,326,17,66,11,2855,4303
8,Tamil Nadu,Kamarajar,45,39,0,11,7,7,0,1,0,16,204,702,352,10,24,19,1877,3307
9,Tamil Nadu,Kanyakumari,45,18,0,4,16,16,0,0,0,10,209,306,297,10,21,2,2496,3434
10,Tamil Nadu,Madras,81,118,3,26,24,24,0,3,0,134,747,6135,458,126,394,449,3935,12633
11,Tamil Nadu,Madurai,113,102,1,23,50,46,4,3,0,43,654,1981,393,35,115,128,5079,8720
12,Tamil Nadu,N. A. Ambedkar,67,32,5,16,32,32,0,9,0,24,572,1207,915,27,113,32,3061,6112
13,Tamil Nadu,Nagai Auid-E-Milleth,59,53,0,6,43,43,0,1,0,10,336,690,153,26,29,15,3995,5416
14,Tamil Nadu,Pasumpon M. Thevar,22,15,1,6,26,21,5,0,0,7,131,376,318,10,25,6,1520,2463
15,Tamil Nadu,Periyar,80,37,0,5,27,27,0,6,0,21,262,927,183,14,35,20,3162,4779
16,Tamil Nadu,Pudukkottai,31,14,0,3,15,11,4,0,0,6,106,247,219,6,6,9,1205,1867
17,Tamil Nadu,Ramanathapuram,32,58,1,18,25,25,0,1,0,6,98,252,323,10,24,18,2138,3004
18,Tamil Nadu,Salem,134,87,2,3,23,23,0,14,0,27,505,1442,502,6,29,32,1221,4027
19,Tamil Nadu,T.V.M. Sambuvarayar,40,15,0,14,28,28,0,2,0,9,208,654,411,16,15,8,1811,3231
20,Tamil Nadu,Thanjavur,47,44,0,8,35,35,0,2,0,12,355,768,212,16,62,73,3643,5277
21,Tamil Nadu,The Nilgiris,21,11,0,1,3,3,0,0,0,3,128,234,81,5,12,7,918,1424
22,Tamil Nadu,Tin. Kattabomman,100,90,1,34,57,52,5,2,0,27,327,809,601,28,26,7,5368,7477
23,Tamil Nadu,Trichy,111,70,0,13,31,31,0,5,0,11,595,1633,312,32,80,110,4773,7776
24,Tamil Nadu,Villupuram,58,34,0,13,26,26,0,2,0,9,156,689,703,11,52,9,3540,5302
25,Tamil Nadu,Madras Rly.,1,5,0,0,0,0,0,2,0,5,12,491,32,11,14,3,237,813
26,Tamil Nadu,Trichy Rly.,0,1,0,1,NA,0,0,0,0,1,2,108,2,3,2,0,146,266
27,Tamil Nadu,Total,1650,1228,19,316,763,705,58,116,0,520,8499,28199,11123,558,1420,1190,77683,133284
1,Tripura,North Tripura,60,17,0,24,31,22,9,47,4,82,208,249,114,4,8,0,681,1529
2,Tripura,South Tripura,44,10,3,16,17,10,7,54,2,65,205,271,151,6,4,1,600,1449
3,Tripura,West Tripura,99,37,2,18,32,32,0,39,0,114,362,578,251,4,8,0,1072,2616
4,Tripura,Total,203,64,5,58,80,64,16,140,6,261,775,1098,516,14,20,1,2353,5594
1,Uttar Pradesh,Agra,198,229,52,50,172,135,37,93,5,199,768,1695,477,155,193,1,2349,6636
2,Uttar Pradesh,Aligarh,340,318,19,59,194,104,90,120,13,248,405,1266,418,93,94,0,2658,6245
3,Uttar Pradesh,Allahabad,365,485,82,48,104,52,52,55,5,318,952,1909,382,149,160,5,3337,8356
4,Uttar Pradesh,Almora,20,28,3,3,9,9,0,4,0,47,87,186,43,16,18,3,269,736
5,Uttar Pradesh,Azamgarh,114,81,43,7,18,18,0,42,7,40,227,377,136,18,22,10,904,2046
6,Uttar Pradesh,Badaun,273,293,165,39,98,59,39,41,0,217,333,1023,171,40,31,0,1672,4396
7,Uttar Pradesh,Bahraich,115,74,30,32,99,90,9,61,28,123,412,664,196,49,28,0,1103,3014
8,Uttar Pradesh,Ballia,56,64,22,6,12,12,0,25,4,39,255,443,157,28,22,1,802,1936
9,Uttar Pradesh,Banda,185,116,41,22,45,10,35,33,0,112,288,322,114,17,14,1,1064,2374
10,Uttar Pradesh,Barabanki,122,153,14,24,58,56,2,27,7,139,414,608,125,53,22,0,1314,3080
11,Uttar Pradesh,Bareilly,310,287,67,51,142,92,50,43,10,206,506,1606,205,68,79,0,1961,5541
12,Uttar Pradesh,Basti,63,54,15,10,23,23,0,19,3,33,291,447,133,37,30,0,2663,3821
13,Uttar Pradesh,Bijnor,177,147,18,35,91,68,23,28,1,74,215,736,164,49,58,1,1140,2934
14,Uttar Pradesh,Bulandshahar,364,417,50,49,175,79,96,142,0,325,416,1405,426,78,68,0,1758,5673
15,Uttar Pradesh,Chamoli,15,17,7,5,2,2,0,5,0,6,68,84,58,10,4,1,123,405
16,Uttar Pradesh,Dehradun,52,62,12,16,42,27,15,27,15,26,155,397,71,26,32,0,621,1554
17,Uttar Pradesh,Deoria,123,140,66,17,56,56,0,61,13,108,392,553,220,55,44,3,1711,3562
18,Uttar Pradesh,Etah,276,223,24,27,119,42,77,31,0,115,171,516,176,46,30,0,1392,3146
19,Uttar Pradesh,Etawah,172,208,14,31,111,45,66,99,0,299,340,713,307,53,60,0,2040,4447
20,Uttar Pradesh,Faizabad,118,210,21,23,61,48,13,44,23,103,424,893,233,110,34,14,1594,3905
21,Uttar Pradesh,Fatehgarh,310,272,34,36,155,73,82,52,2,162,412,667,288,46,61,2,1798,4297
22,Uttar Pradesh,Fatehpur,155,84,36,12,37,14,23,6,2,52,177,291,34,19,29,0,929,1863
23,Uttar Pradesh,Ferozabad,104,111,27,19,68,68,0,32,5,73,195,293,113,28,39,0,1137,2244
24,Uttar Pradesh,Ghaziabad,437,401,43,30,189,149,40,58,8,419,875,2679,357,179,105,16,2329,8125
25,Uttar Pradesh,Ghazipur,88,81,28,2,15,10,5,32,38,23,204,318,83,6,7,0,459,1384
26,Uttar Pradesh,Gonda,120,139,37,27,669,90,579,27,1,120,383,749,203,49,87,0,1305,3916
27,Uttar Pradesh,Gorakhpur,145,126,41,26,54,44,10,33,45,112,458,844,199,64,66,5,1705,3923
28,Uttar Pradesh,Hamirpur,131,74,23,18,22,7,15,12,12,58,120,202,65,12,16,0,981,1746
29,Uttar Pradesh,Hardoi,229,197,24,55,53,53,0,25,8,152,277,646,106,80,17,0,2742,4611
30,Uttar Pradesh,Haridwar,93,92,9,12,51,50,1,12,6,61,210,631,91,44,27,3,767,2109
31,Uttar Pradesh,Jalaun,127,111,28,10,35,7,28,19,5,107,324,454,138,20,40,0,982,2400
32,Uttar Pradesh,Jaunpur,34,56,16,8,22,8,14,21,6,27,193,299,112,8,14,4,1168,1988
33,Uttar Pradesh,Jhansi,122,77,54,17,37,37,0,19,5,60,336,421,100,25,36,3,1094,2406
34,Uttar Pradesh,Kanpur Dehat,147,100,25,16,70,42,28,54,8,155,219,457,169,40,34,0,1278,2772
35,Uttar Pradesh,Kanpur Nagar,196,231,39,23,194,153,41,52,18,176,739,2124,233,288,231,50,3118,7712
36,Uttar Pradesh,kheri,180,126,44,7,24,24,0,36,20,108,183,458,77,29,13,0,672,1977
37,Uttar Pradesh,Lalitpur,30,18,12,16,9,7,2,1,0,22,81,188,66,7,12,1,643,1106
38,Uttar Pradesh,Lucknow,258,222,39,36,116,33,83,51,22,208,882,2819,305,236,259,14,3004,8471
39,Uttar Pradesh,Maharajganj,51,89,52,2,13,13,0,28,7,21,87,107,76,16,9,1,389,948
40,Uttar Pradesh,Mainpuri,141,119,15,19,66,30,36,38,3,140,131,394,119,33,43,0,970,2231
41,Uttar Pradesh,Mathura,142,135,48,15,58,58,0,42,3,97,205,473,190,79,77,0,1114,2678
42,Uttar Pradesh,Mau,40,42,21,11,9,9,0,17,4,18,109,162,53,12,16,6,394,914
43,Uttar Pradesh,Meerut,475,526,68,74,240,124,116,80,24,332,656,2211,456,140,115,4,2711,8112
44,Uttar Pradesh,Mirzapur,76,42,17,7,23,15,8,16,13,31,152,235,73,28,23,0,697,1433
45,Uttar Pradesh,Moradabad,334,302,15,36,163,104,59,60,15,254,466,1424,292,111,86,0,1522,5080
46,Uttar Pradesh,Muzaffaranagar,351,290,63,37,147,44,103,37,15,236,260,958,200,43,44,0,1130,3811
47,Uttar Pradesh,Nainital,140,107,19,17,70,70,0,49,7,91,318,708,161,740,52,0,1179,2988
48,Uttar Pradesh,Pauri Garhwal,6,8,1,1,5,5,0,4,0,10,58,67,12,10,4,0,125,311
49,Uttar Pradesh,Pilibhit,139,115,22,18,90,11,79,31,1,99,183,421,53,25,17,0,795,2009
50,Uttar Pradesh,Pithoragarh,14,20,2,4,4,4,0,1,0,10,61,65,14,6,0,0,162,363
51,Uttar Pradesh,Pratapgarh,92,167,32,16,43,41,2,23,2,80,214,334,167,54,21,0,1249,2494
52,Uttar Pradesh,Raibareli,127,47,37,25,36,36,0,30,3,60,273,190,95,41,24,0,1396,2684
