SI.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt /Grievous Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
15,Jammu Kashmir,Srinagar,39,40,1,15,136,129,7,8,0,72,493,392,142,13,51,6,102,29,0,79,106,0,1088,2812
16,Jammu Kashmir,Udhampur,34,49,0,31,35,35,0,7,0,12,97,163,28,3,16,0,13,35,0,29,16,0,746,1314
17,Jammu Kashmir,Railways,1,1,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,11,22
Jammu Kashmir,Jammu Kashmir,Total,792,761,14,166,618,588,30,43,0,189,1703,2172,722,108,271,13,475,414,12,425,319,7,7968,17192
1,Karnataka,Bagalkot,40,25,4,2,24,10,14,9,0,13,79,174,275,5,26,0,19,473,2,39,0,54,780,2043
2,Karnataka,Bangalore Commr.,243,391,0,41,185,111,74,52,0,609,3289,8108,496,290,979,623,12,3775,49,227,50,190,10992,30601
3,Karnataka,Bangalore Rural,129,80,2,13,52,23,29,21,0,51,523,640,392,54,38,3,0,1435,13,95,0,96,1715,5352
4,Karnataka,Belgaum,132,57,8,8,37,0,37,15,0,39,335,468,488,27,113,0,23,1027,2,85,0,113,2356,5333
5,Karnataka,Bellary,53,18,1,6,16,16,0,16,1,25,241,297,276,12,44,1,4,779,8,65,3,41,1166,3073
6,Karnataka,Bidar,37,48,0,6,28,19,9,6,1,9,162,189,160,19,42,4,16,749,3,37,0,45,936,2497
7,Karnataka,Bijapur,63,54,2,4,32,20,12,17,0,30,88,207,360,14,42,0,0,630,9,49,0,90,1077,2768
8,Karnataka,Chamaranjnagar,23,15,1,5,16,16,0,2,0,4,144,154,100,4,21,0,0,600,3,39,23,24,504,1682
9,Karnataka,Chickmagalur,49,50,6,8,10,0,10,3,0,15,243,244,205,20,9,1,5,790,7,47,6,67,1197,2982
10,Karnataka,ChitraDurga,40,20,2,15,19,16,3,1,0,11,202,241,417,21,9,1,15,705,1,66,0,39,1294,3119
11,Karnataka,Davanagere,30,25,2,9,9,5,4,5,0,26,183,334,238,18,26,8,0,387,4,27,0,27,972,2330
12,Karnataka,Dharwad Commr.,13,13,1,1,2,2,0,3,0,1,19,47,95,1,7,1,3,124,2,3,0,12,414,762
13,Karnataka,Dharwad Rural,14,16,3,1,13,8,5,1,0,21,219,286,81,10,90,1,5,248,2,5,0,29,1070,2115
14,Karnataka,Gadag,17,30,0,1,1,0,1,9,0,9,45,62,96,6,20,1,1,162,1,9,0,8,320,798
15,Karnataka,Gulbarga,112,106,2,13,36,0,36,17,0,55,256,434,585,74,48,1,29,1136,10,97,0,84,1490,4585
16,Karnataka,Hassan,73,39,0,11,18,2,16,9,0,12,400,495,293,20,19,1,47,1492,8,45,0,28,1603,4613
17,Karnataka,Haveri,17,33,0,3,15,0,15,6,0,6,87,143,244,13,25,0,0,269,3,36,0,10,889,1799
18,Karnataka,K.G.F.,15,17,0,4,12,11,1,5,0,29,99,165,74,3,8,0,7,307,2,31,27,27,295,1127
19,Karnataka,Kannada North,35,14,2,3,19,10,9,1,0,18,195,240,188,14,28,3,19,633,1,36,4,20,1968,3441
20,Karnataka,Kannada South,38,41,2,6,5,0,5,5,0,28,212,216,201,21,33,2,25,444,0,10,0,19,1928,3236
21,Karnataka,Kodagu,46,32,5,6,4,0,4,18,0,11,182,143,109,9,15,2,5,714,2,21,0,28,637,1989
22,Karnataka,Kolar,83,82,4,15,36,30,6,21,0,43,330,530,745,37,30,1,64,1209,19,72,0,54,1490,4865
23,Karnataka,Koppal,16,5,0,0,1,1,0,0,0,3,28,44,112,4,9,0,1,212,3,9,0,15,233,695
24,Karnataka,Mandya,48,23,3,15,15,4,11,6,0,22,332,399,282,6,30,6,0,959,13,29,0,51,1615,3854
25,Karnataka,Mysore Commr.,22,48,0,10,4,0,4,5,0,41,189,464,48,13,74,2,0,415,9,17,0,66,973,2400
26,Karnataka,Mysore Rural,64,19,0,10,11,8,3,7,0,7,229,248,229,15,9,0,0,1046,8,78,20,88,949,3037
27,Karnataka,Raichur,56,30,3,2,19,15,4,5,0,15,119,180,289,11,30,0,14,596,2,33,2,37,680,2123
28,Karnataka,Shimoga,70,52,0,9,15,13,2,7,0,25,342,320,393,13,24,4,12,1360,6,82,11,74,1979,4798
29,Karnataka,Tumkur,68,38,2,10,20,18,2,12,0,22,454,632,253,24,27,2,36,1273,0,0,0,4,1906,4783
30,Karnataka,Udupi,12,18,2,6,5,0,5,2,0,10,136,96,131,1,11,0,6,325,2,16,1,10,867,1657
31,Karnataka,Railways,11,2,0,1,0,0,0,2,0,14,3,199,22,1,4,0,0,23,1,0,0,0,123,406
Karnataka,Karnataka,Total,1669,1441,57,244,679,358,321,288,2,1224,9365,16399,7877,780,1890,668,368,24297,195,1405,147,1450,44418,114863
1,Kerala,Alappuzha,19,32,11,24,17,5,12,3,0,13,352,216,391,28,156,1,20,1585,1,186,0,96,4224,7375
2,Kerala,CBCID,20,4,0,2,2,1,1,2,0,0,8,3,3,6,17,57,2,3,1,1,0,7,28,166
3,Kerala,Ernakulam Rural,33,45,17,35,17,9,8,18,0,31,553,491,576,56,322,5,17,1530,1,116,9,105,7759,11736
4,Kerala,Idukki,30,16,0,39,8,7,1,3,0,6,201,148,232,47,72,2,18,1495,0,79,3,55,1601,4055
5,Kerala,Kannur,27,40,3,41,13,8,5,1,0,9,348,247,652,15,149,4,0,1022,1,111,10,86,3018,5797
6,Kerala,Kasargod,20,25,2,21,3,1,2,2,0,5,155,139,414,17,115,7,0,760,0,51,0,0,1441,3177
7,Kerala,Kollam,41,60,4,36,17,14,3,7,0,22,300,219,418,15,162,2,68,2076,4,154,5,191,4392,8193
8,Kerala,Kottayam,35,36,5,30,22,18,4,3,0,28,352,257,309,38,214,0,21,1374,2,80,2,106,3850,6764
9,Kerala,Kozhikode,20,36,2,48,25,18,7,6,0,16,390,385,763,29,287,2,57,1164,7,102,8,237,4159,7743
10,Kerala,Malappuram,28,29,6,68,20,16,4,17,0,8,293,326,570,24,177,4,16,960,1,10,0,256,3635,6448
11,Kerala,Palakkad,43,37,40,83,23,19,4,5,0,22,361,279,548,30,151,1,58,1074,1,119,1,133,2855,5864
12,Kerala,Pathanamthitta,21,15,0,21,0,0,0,1,0,8,167,118,191,13,51,0,18,1054,0,102,3,51,2748,4582
13,Kerala,Trivananthapuram,49,54,7,54,39,27,12,22,3,45,756,510,760,19,181,7,52,2098,2,216,1,117,5685,10677
14,Kerala,Thrissur,32,43,8,45,21,14,7,13,0,25,478,385,510,29,250,5,3,1048,3,171,25,174,4286,7554
15,Kerala,Wayanadu,24,14,1,41,3,3,0,0,0,5,148,120,146,6,63,0,12,443,1,58,3,61,1030,2179
16,Kerala,Railways,4,0,0,0,0,0,0,0,0,3,1,147,11,1,1,0,0,13,0,5,0,0,27,213
Kerala,Kerala,Total,446,486,106,588,230,160,70,103,3,246,4863,3990,6494,373,2368,97,362,17699,25,1561,70,1675,50738,92523
1,Madhya Pradesh,Balaghat,66,59,6,101,5,4,1,2,0,14,246,274,28,18,20,0,20,683,4,201,8,36,890,2681
2,Madhya Pradesh,Bastar,138,41,0,67,23,23,0,2,0,17,239,155,66,8,43,0,52,389,1,100,7,10,1090,2448
3,Madhya Pradesh,Betul,52,69,0,54,41,38,3,2,0,15,216,167,34,16,30,0,13,425,13,133,4,47,1078,2409
4,Madhya Pradesh,Bhind,68,101,1,22,22,10,12,5,2,38,278,335,116,6,32,0,35,744,27,78,0,33,1408,3351
5,Madhya Pradesh,Bhopal,72,119,0,92,47,35,12,6,2,132,825,1549,89,30,206,0,23,766,15,227,60,97,6987,11344
6,Madhya Pradesh,Bilaspur,179,70,29,138,24,24,0,7,2,53,1234,1470,318,36,129,2,2,41,24,362,14,177,4850,9161
7,Madhya Pradesh,Chhatarpur,68,53,1,62,20,18,2,5,0,33,266,211,80,4,14,3,24,515,4,149,8,14,1032,2566
8,Madhya Pradesh,Chhindwara,88,67,18,99,16,16,0,2,1,17,284,276,47,13,54,0,15,1203,12,190,22,86,1789,4299
9,Madhya Pradesh,Damoh,48,42,0,67,14,14,0,1,2,15,113,146,18,9,23,0,16,839,17,113,0,56,820,2359
10,Madhya Pradesh,Dantewada,117,50,0,29,14,14,0,29,0,2,61,106,34,0,6,0,39,123,0,18,1,0,509,1138
11,Madhya Pradesh,Datiya,54,43,0,29,10,5,5,2,1,16,100,111,16,0,0,0,11,82,3,47,0,18,781,1324
12,Madhya Pradesh,Dewas,59,76,0,61,15,10,5,3,4,24,530,637,104,11,29,0,31,469,10,123,28,45,1985,4244
13,Madhya Pradesh,Dhar,98,81,0,68,24,19,5,6,6,38,283,730,87,73,23,0,30,710,10,149,9,45,2322,4792
14,Madhya Pradesh,Durg,91,100,7,155,41,26,15,1,0,89,907,1137,73,14,102,1,37,1595,7,287,33,87,2439,7203
15,Madhya Pradesh,Guna,72,89,14,137,21,16,5,5,1,62,415,542,171,6,19,0,37,1579,3,270,18,94,1934,5489
16,Madhya Pradesh,Gwalior,125,190,4,76,89,60,29,9,3,110,1000,1347,215,19,145,1,40,1191,20,203,23,84,4361,9255
17,Madhya Pradesh,Hoshangabad,64,73,0,106,21,21,0,2,2,37,332,446,84,10,22,0,47,645,15,168,11,68,1893,4046
18,Madhya Pradesh,Indore,148,161,5,59,42,34,8,1,2,50,832,2500,70,42,80,11,20,1642,52,145,32,95,5438,11427
19,Madhya Pradesh,Jabalpur,106,187,83,123,27,27,0,1,2,80,775,1194,108,24,121,0,23,420,38,341,55,133,6383,10224
20,Madhya Pradesh,Jhabua,180,190,9,32,53,52,1,7,0,44,186,456,75,19,11,0,51,182,1,87,4,12,1869,3468
21,Madhya Pradesh,Khandwa,46,53,10,71,20,18,2,2,0,27,396,737,92,15,46,1,15,343,10,218,17,56,2187,4362
22,Madhya Pradesh,Khargon,99,102,0,73,36,33,3,10,2,38,302,820,117,20,22,0,118,121,9,278,36,59,5731,7993
23,Madhya Pradesh,Mandla,40,28,0,76,29,29,0,2,0,17,236,177,31,10,30,0,12,642,2,206,42,58,1331,2969
24,Madhya Pradesh,Mandsaur,62,55,2,53,24,16,8,3,5,43,583,844,87,45,46,1,61,589,10,138,16,56,1528,4251
25,Madhya Pradesh,Muraina,71,109,0,69,30,20,10,6,1,41,344,467,215,12,64,0,12,1597,28,130,7,47,2108,5358
26,Madhya Pradesh,Narasinghpur,44,22,0,29,8,7,1,2,0,15,179,178,27,4,11,0,20,423,5,145,17,89,975,2193
27,Madhya Pradesh,Panna,34,13,1,24,6,6,0,4,0,17,118,90,30,2,11,0,5,58,5,68,0,11,911,1408
28,Madhya Pradesh,Raigarh,89,36,0,59,29,25,4,2,0,17,289,289,78,23,28,0,19,354,6,175,3,31,1018,2545
29,Madhya Pradesh,Raipur,94,95,10,161,52,40,12,6,0,65,844,943,155,46,66,1,44,744,7,268,85,58,3683,7427
30,Madhya Pradesh,Raisen,43,70,1,87,26,26,0,10,0,25,175,406,44,13,7,0,38,50,12,138,15,73,2084,3317
31,Madhya Pradesh,Rajgarh,39,66,1,93,20,18,2,5,3,38,213,323,84,11,18,0,38,578,3,148,23,22,1536,3262
32,Madhya Pradesh,Rajnandgaon,46,29,4,105,16,16,0,1,0,20,306,350,40,7,41,0,15,230,0,113,3,32,1558,2916
33,Madhya Pradesh,Ratlam,56,35,1,70,17,12,5,4,3,35,290,496,34,27,32,2,16,422,10,111,23,41,1562,3287
34,Madhya Pradesh,Riwa,44,47,0,46,29,21,8,7,2,37,644,429,86,14,46,1,41,575,39,108,2,61,2218,4476
35,Madhya Pradesh,Sagar,72,106,2,145,22,20,2,1,4,28,446,487,138,9,31,3,33,1974,24,399,16,77,2278,6295
36,Madhya Pradesh,Sarguja,115,66,4,131,35,35,0,6,0,62,585,518,90,3,31,0,20,477,2,293,7,62,1594,4101
37,Madhya Pradesh,Satna,84,57,3,60,7,4,3,6,1,43,469,474,89,15,25,2,34,1029,25,130,8,50,1542,4153
38,Madhya Pradesh,Shahdol,69,49,1,83,15,15,0,3,4,31,495,420,65,31,67,0,28,649,7,249,10,109,1684,4069
39,Madhya Pradesh,Shajapur,40,78,0,62,10,7,3,2,13,29,226,452,61,9,10,1,37,610,5,128,11,20,916,2720
40,Madhya Pradesh,Shivpuri,64,68,2,79,24,18,6,1,6,47,214,311,131,13,30,0,56,649,5,168,5,37,1826,3736
41,Madhya Pradesh,Sidhi,54,14,3,38,17,15,2,3,1,22,252,229,65,2,16,1,15,533,8,132,0,30,1058,2493
42,Madhya Pradesh,Sihore,32,58,0,74,24,24,0,1,1,11,239,381,31,10,18,0,33,62,6,136,11,21,2215,3364
43,Madhya Pradesh,Sivni,42,21,2,51,9,9,0,0,0,8,141,132,29,6,23,0,6,494,10,112,10,37,905,2038
44,Madhya Pradesh,Tikamgarh,46,36,0,40,11,8,3,5,2,19,114,131,64,5,10,0,10,771,15,105,0,10,588,1982
45,Madhya Pradesh,Ujjain,88,114,0,58,32,25,7,6,3,89,763,1069,115,11,36,3,23,167,10,111,24,43,3035,5800
46,Madhya Pradesh,Vidisha,38,56,1,91,8,6,2,2,2,21,187,302,55,11,25,3,45,723,7,196,13,48,1241,3075
47,Madhya Pradesh,Bhopal Rly.,6,7,0,4,2,1,1,1,1,8,5,693,5,1,9,1,1,23,2,9,2,2,266,1048
48,Madhya Pradesh,Indore Rly.,6,3,0,3,1,1,0,0,0,3,3,212,4,0,0,0,0,18,0,7,0,1,122,383
49,Madhya Pradesh,Jabalpur Rly.,3,2,0,3,0,0,0,0,0,6,6,223,3,1,10,0,0,10,0,5,2,0,111,385
50,Madhya Pradesh,Raipur Rly.,4,7,0,3,0,0,0,0,3,6,10,216,2,4,2,1,0,15,2,7,3,1,106,392
Madhya Pradesh,Madhya Pradesh,Total,3463,3363,225,3518,1128,941,187,199,87,1754,18196,26588,3900,738,1920,39,1361,29173,550,7822,748,2479,97775,205026
1,Maharashtra,Ahmednagar,95,43,2,33,21,12,9,18,5,116,331,818,212,40,54,4,34,786,1,69,1,482,1413,4578
2,Maharashtra,Akola,88,54,1,24,30,26,4,22,0,59,510,1348,222,31,64,5,71,1307,3,169,28,615,2245,6896
3,Maharashtra,Amravati,105,33,0,87,37,37,0,15,0,72,882,1996,334,28,55,4,94,1122,11,202,35,364,1890,7366
4,Maharashtra,Aurangabad Commr.,29,12,1,13,13,12,1,20,2,51,396,609,119,15,84,0,9,389,5,30,18,156,759,2730
5,Maharashtra,Aurangabad Rural,48,23,2,13,22,19,3,20,1,49,201,407,149,25,21,0,52,861,12,64,14,321,863,3168
6,Maharashtra,Beed,64,33,0,27,35,27,8,32,0,112,300,521,222,21,21,3,63,965,2,74,2,224,990,3711
7,Maharashtra,Bhandara,94,29,7,72,27,27,0,6,0,43,477,794,60,39,46,0,48,1265,5,161,44,335,833,4385
8,Maharashtra,Bombay Commr.,288,182,7,130,172,113,59,76,54,528,2602,14282,164,453,1158,28,4,3652,38,223,20,196,8397,32654
9,Maharashtra,Buldhana,73,32,2,28,18,3,15,21,0,46,292,833,141,24,20,0,72,767,38,125,47,452,1181,4212
10,Maharashtra,Chandrapur,61,24,3,48,35,30,5,7,0,47,331,627,147,30,49,0,42,680,2,169,30,181,1840,4353
11,Maharashtra,Dhule,98,30,0,41,9,9,0,13,0,32,187,379,106,36,41,4,10,664,55,36,8,200,1063,3012
12,Maharashtra,Gadchiroli,45,26,2,33,11,11,0,4,0,8,121,159,46,10,17,0,45,249,1,75,16,116,432,1416
13,Maharashtra,Jalgaon,96,32,3,44,22,17,5,21,0,31,239,688,108,42,52,2,7,774,8,94,28,388,1532,4211
14,Maharashtra,Jalna,33,15,0,22,19,16,3,29,0,68,265,533,168,14,29,0,36,259,5,54,23,196,694,2462
15,Maharashtra,Kolhapur,62,32,27,22,24,10,14,11,2,23,283,545,158,54,59,3,25,595,27,46,5,107,971,3081
16,Maharashtra,Latur,41,29,0,18,36,36,0,5,4,47,216,365,128,24,42,2,35,806,45,65,0,193,1013,3114
17,Maharashtra,Nagpur Commr.,132,86,0,38,73,52,21,19,1,241,1217,2310,239,59,154,11,23,981,3,77,24,84,3123,8895
18,Maharashtra,Nagpur Rural,99,53,0,54,33,28,5,13,1,49,444,11338,272,20,22,0,71,968,7,125,58,258,2630,6515
19,Maharashtra,Nanded,98,44,0,31,48,42,6,46,1,110,475,712,234,36,45,0,50,1308,16,87,15,317,1390,5063
20,Maharashtra,Nasik Commr.,22,22,0,10,12,4,8,9,0,27,206,567,126,20,54,0,2,267,3,22,15,94,770,2248
21,Maharashtra,Nasik Rural,71,22,1,25,33,13,20,9,2,39,219,433,152,43,43,4,19,777,7,58,30,332,1562,3881
22,Maharashtra,New Bombay,35,24,1,20,23,11,12,23,10,61,432,908,96,82,83,1,1,319,11,15,11,38,1000,3194
23,Maharashtra,Osmanabad,27,8,2,12,17,15,2,8,0,28,176,408,89,22,17,2,39,859,6,51,3,102,853,2729
24,Maharashtra,Parbhani,70,27,1,27,36,31,5,24,4,110,293,542,247,45,36,1,49,1313,22,127,12,544,1240,4770
25,Maharashtra,Pune Commr.,65,42,0,45,70,48,22,18,4,89,844,2539,1464,88,276,0,18,1361,8,87,110,151,3176,10455
26,Maharashtra,Pune Rural,99,43,3,27,22,12,10,36,3,68,332,456,117,22,23,2,26,462,10,65,6,179,1430,3431
27,Maharashtra,Raigad,44,15,1,15,13,6,7,5,0,27,160,260,80,27,19,5,13,263,0,39,8,26,1012,2032
28,Maharashtra,Ratnagiri,21,12,0,13,8,8,0,6,0,17,153,177,55,14,9,4,15,431,0,28,13,53,400,1429
29,Maharashtra,Sangli,84,27,2,23,25,10,15,9,1,23,237,516,163,48,101,1,54,697,11,49,0,132,914,3117
30,Maharashtra,Satara,75,27,0,23,18,1,17,16,0,27,290,481,75,31,19,6,26,570,16,56,6,191,1763,3716
31,Maharashtra,Sindhudurg,14,4,2,9,3,3,0,0,0,13,178,162,24,12,9,0,22,214,1,29,17,16,315,1044
32,Maharashtra,Solapur Commr.,25,16,0,6,8,4,4,2,0,22,127,305,37,12,36,4,1,285,1,11,7,21,622,1548
33,Maharashtra,Solapur Rural,95,47,2,24,17,5,12,25,9,42,87,242,123,21,18,2,15,530,15,19,8,76,1581,2998
34,Maharashtra,Thane Commr.,151,79,3,55,87,51,36,40,11,215,1314,1975,355,75,246,8,16,1836,4,103,58,160,935,7726
35,Maharashtra,ThaneRural,131,35,12,50,35,9,26,46,11,78,522,581,154,41,75,1,40,885,6,122,44,92,1472,4433
36,Maharashtra,Wardha,46,26,5,30,16,15,1,6,0,29,283,784,67,20,34,1,75,801,4,118,27,184,1467,4023
37,Maharashtra,Yavatmal,79,30,0,45,46,41,5,13,1,43,334,816,161,30,37,0,52,969,11,179,42,535,1500,4923
38,Maharashtra,Bombay Rly.,10,2,0,7,0,0,0,4,0,40,6,2942,30,30,26,7,0,41,0,6,1,0,116,3268
39,Maharashtra,Nagpur Rly.,9,2,0,2,7,4,3,11,1,31,4,841,12,9,3,4,0,30,0,2,0,0,139,1107
40,Maharashtra,Pune Rly.,4,0,0,0,4,2,2,8,1,22,2,1034,15,18,5,1,2,24,0,0,1,0,87,1228
Maharashtra,Maharashtra,Total,2826,1322,92,1246,1185,820,365,716,129,2783,15968,46233,6871,1711,3202,120,1276,31332,420,3131,835,8111,55613,185122
1,Manipur,Bishnupur,9,3,0,0,11,9,2,1,0,0,9,23,8,1,3,1,3,46,0,2,0,0,262,382
2,Manipur,Chandel,9,3,0,0,1,0,1,7,0,1,5,8,0,0,1,0,1,11,0,0,0,0,32,79
3,Manipur,Churachandpur,90,43,0,0,67,3,64,1,0,1,18,26,4,0,3,0,98,4,0,0,0,0,60,415
4,Manipur,Imphal (East),26,9,3,0,1,1,0,0,0,1,11,12,9,2,1,0,15,31,0,2,0,0,41,164
5,Manipur,Imphal (West),58,61,0,2,53,28,25,2,0,6,59,125,62,11,47,1,31,109,0,9,0,0,513,1149
6,Manipur,Senapati,39,25,0,0,13,13,0,1,0,0,2,7,0,0,2,0,0,0,0,0,0,0,85,174
7,Manipur,Tamenglong,10,3,0,0,0,0,0,0,0,1,1,5,0,0,0,0,2,0,0,0,0,0,12,34
8,Manipur,Thoubal,45,42,0,6,17,8,9,1,0,9,5,26,17,0,9,0,7,29,0,0,0,1,258,472
9,Manipur,Ukhrul,13,7,0,1,0,0,0,1,0,2,4,17,1,2,1,1,0,0,0,0,0,0,55,105
Manipur,Manipur,Total,299,196,3,9,163,62,101,14,0,21,114,249,101,16,67,3,157,230,0,13,0,1,1318,2974
1,Meghalaya,Garo Hills East,5,1,1,1,1,1,0,14,0,7,22,21,1,1,0,0,1,18,0,4,0,0,23,121
2,Meghalaya,Garo Hills South,1,0,0,1,0,0,0,1,1,4,3,6,4,0,0,0,3,3,0,1,0,0,3,31
3,Meghalaya,Garo Hills West,13,1,3,2,3,3,0,28,0,14,43,97,77,0,5,0,12,60,0,13,0,3,78,452
4,Meghalaya,Jaintia Hills,43,1,0,7,4,3,1,8,0,8,23,50,1,4,0,0,9,0,0,4,0,0,88,250
5,Meghalaya,Khasi Hills East,43,18,4,14,8,5,3,25,0,53,148,157,6,11,14,2,10,30,0,6,1,0,257,807
6,Meghalaya,Khasi Hills West,30,1,1,12,0,0,0,29,0,10,2,30,0,0,1,0,0,16,0,0,0,0,40,172
7,Meghalaya,Ri-Bhoi,20,3,0,0,5,4,1,19,1,11,5,28,1,3,3,0,1,33,0,1,0,0,11,145
Meghalaya,Meghalaya,Total,155,25,9,37,21,16,5,124,2,107,246,389,90,19,23,2,36,160,0,29,1,3,500,1978
1,Mizoram,Aizawl,21,18,5,41,6,0,6,4,0,19,331,659,5,20,56,5,30,48,0,38,0,1,293,1600
2,Mizoram,Chhimtuipui,6,5,0,6,4,0,4,0,0,3,38,72,0,7,5,0,4,16,0,6,0,0,146,318
3,Mizoram,Lunglei,3,4,0,5,0,0,0,2,0,1,43,84,0,1,1,0,1,13,0,12,0,0,32,202
Mizoram,Mizoram,Total,30,27,5,52,10,0,10,6,0,23,412,815,5,28,62,5,35,77,0,56,0,1,471,2120
1,Nagaland,Dimapur,93,17,1,4,19,8,11,14,0,97,96,117,0,15,15,1,5,10,0,3,0,1,104,612
2,Nagaland,Kiphire,4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,17
3,Nagaland,Kohima,31,12,6,5,12,3,9,4,0,30,18,51,0,0,10,0,0,2,0,2,0,0,96,279
4,Nagaland,Mokokchung,12,0,0,1,0,0,0,1,0,4,11,19,1,0,0,0,0,0,0,0,0,0,56,105
5,Nagaland,Mon,7,2,0,1,3,3,0,1,0,1,10,14,0,2,1,0,0,3,0,0,0,0,23,68
6,Nagaland,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Nagaland,Peren,5,4,0,0,2,1,1,0,0,0,1,8,0,0,0,0,1,1,0,0,0,0,11,33
8,Nagaland,Phek,8,4,3,1,2,1,1,6,0,9,12,8,1,3,0,0,0,8,0,0,0,0,13,78
9,Nagaland,Tuensang,14,5,0,0,4,2,2,5,0,11,9,4,8,0,0,0,0,0,0,0,0,0,21,81
10,Nagaland,Workha,18,4,0,3,5,3,2,0,0,1,15,28,0,1,0,0,5,3,0,0,0,0,56,139
11,Nagaland,Zunheboto,0,0,1,2,0,0,0,0,0,1,24,7,0,4,0,0,0,3,0,0,0,0,23,65
Nagaland,Nagaland,Total,192,49,12,17,47,21,26,32,0,155,196,256,10,25,26,1,11,30,0,5,0,1,412,1477
1,Orissa,Angul,45,48,0,30,14,14,0,10,0,43,133,203,113,8,9,0,21,70,4,46,0,23,626,1446
2,Orissa,Balasore,21,18,1,48,31,25,6,3,0,40,257,313,119,16,20,0,36,59,34,49,13,68,1457,2603
3,Orissa,Baragarh,21,32,10,9,12,12,0,4,0,15,114,119,84,5,9,0,12,80,0,39,3,13,710,1291
4,Orissa,Berhampur,21,42,1,9,9,9,0,6,4,37,130,171,57,11,18,0,18,152,1,47,3,29,690,1456
5,Orissa,Bhadrak,26,22,2,10,24,24,0,5,0,9,107,121,48,16,9,0,20,28,34,36,0,36,967,1520
6,Orissa,Bolangir,22,9,2,20,11,11,0,4,0,36,134,141,97,9,10,0,16,29,0,21,0,7,766,1334
7,Orissa,Boudh,10,8,1,16,8,7,1,1,0,11,26,62,35,4,2,0,10,33,0,32,1,5,271,536
8,Orissa,Cuttack,53,156,0,39,79,79,0,31,0,184,485,1137,148,52,76,0,56,754,27,138,20,115,1876,5426
9,Orissa,Deogarh,10,18,1,4,4,4,0,2,1,4,23,21,13,4,2,0,3,69,3,22,1,0,139,344
10,Orissa,Dhenkanal,37,31,0,12,10,10,0,15,1,34,69,123,66,3,5,0,46,102,14,21,1,14,524,1128
11,Orissa,Gajapati,22,2,2,7,1,1,0,1,0,4,16,48,39,1,7,1,4,100,0,14,0,5,167,441
12,Orissa,Ganjam,57,60,5,12,15,14,1,11,0,30,119,216,95,14,11,0,45,121,14,91,5,69,1296,2286
13,Orissa,jagatsinghpur,15,8,2,24,6,6,0,10,0,23,94,166,10,3,6,0,21,157,11,6,1,23,784,1370
14,Orissa,Jajpur,28,37,0,9,28,28,0,14,0,33,169,164,52,11,10,0,14,236,14,84,0,72,1023,1998
15,Orissa,Jharsuguda,20,23,0,13,4,4,0,5,0,25,104,113,32,5,6,0,10,42,0,34,6,10,452,904
16,Orissa,Kalahandi,20,16,4,14,12,12,0,5,0,19,87,101,73,4,11,0,6,84,1,41,0,0,745,1243
17,Orissa,Kandhamal,15,17,2,30,24,24,0,7,0,10,87,115,20,15,10,0,14,9,0,59,4,18,638,1094
18,Orissa,Kendrapara,27,0,0,13,10,10,0,8,0,33,111,132,43,7,16,0,21,0,20,33,0,66,896,1436
19,Orissa,Keonjhar,54,91,0,47,14,14,0,4,0,15,119,174,121,6,6,0,15,60,3,126,2,43,1120,2020
20,Orissa,Khurda,27,85,2,30,38,30,8,23,3,98,410,977,150,47,65,2,26,1195,28,34,19,116,1454,4829
21,Orissa,Koraput,35,49,4,39,12,12,0,10,0,23,118,166,46,11,21,0,10,68,0,84,0,16,894,1606
22,Orissa,Malkangir,57,22,0,17,6,6,0,5,0,13,35,44,58,1,3,0,0,69,0,29,1,10,225,595
23,Orissa,Mayurbhanj,70,30,6,79,67,67,0,11,0,47,191,257,65,22,19,0,31,33,9,75,0,46,1299,2357
24,Orissa,Nayagarh,27,32,6,10,12,11,1,9,0,12,70,90,40,3,9,0,21,107,7,54,0,31,262,802
25,Orissa,Nowrangpur,13,11,1,15,3,3,0,5,0,10,40,67,44,4,8,0,3,43,0,22,0,5,542,836
26,Orissa,Nuapada,8,7,0,5,6,6,0,0,0,5,11,57,28,8,8,0,0,54,0,15,0,10,316,538
27,Orissa,Puri,29,83,0,25,34,34,0,6,0,50,142,299,73,17,26,0,55,124,13,98,115,40,1313,2542
28,Orissa,Rayagada,39,16,4,17,4,4,0,5,0,9,32,95,80,5,7,0,12,49,0,36,4,17,385,816
29,Orissa,Rourkela,22,27,2,13,12,12,0,2,8,30,124,295,52,10,23,0,4,114,0,54,8,10,702,1512
30,Orissa,Sambalpur,42,71,0,20,10,10,0,14,0,75,221,261,121,16,12,0,15,97,0,64,15,0,924,1978
31,Orissa,Sonepur,15,18,0,8,3,3,0,1,0,13,25,73,28,11,6,0,5,251,3,31,6,10,99,606
