SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
18,Rajasthan,Kota,70,2,30,75,6,79,608,790,261,92,67,NA,3944
19,Rajasthan,Bundi,20,3,4,46,1,8,149,301,178,60,17,NA,1433
20,Rajasthan,Jhalewar,26,NA,19,30,2,31,245,215,140,33,29,NA,1464
21,Rajasthan,Tonk,13,1,4,39,NA,12,113,215,235,11,28,NA,1112
22,Rajasthan,Udaipur,47,5,16,193,1,44,367,919,387,109,140,NA,4353
23,Rajasthan,Banswara,16,1,8,40,2,27,106,169,206,22,16,NA,1145
24,Rajasthan,Bhilwara,25,3,8,181,NA,45,371,544,277,61,127,NA,2894
25,Rajasthan,Chittorgarh,35,2,6,157,2,46,392,624,381,70,82,NA,3219
26,Rajasthan,Dungarpur,14,1,2,23,3,19,60,89,136,15,13,NA,667
27,Rajasthan,G.R.P. Ajmer,3,2,3,4,3,11,16,603,20,4,9,NA,817
1,Sikkam,North District,2,NA,NA,NA,NA,NA,2,7,1,NA,NA,NA,12
2,Sikkam,East District,3,NA,2,1,NA,NA,35,60,NA,9,4,NA,114
3,Sikkam,West District,NA,NA,NA,NA,NA,1,2,11,NA,2,NA,NA,16
4,Sikkam,South District,1,NA,1,1,NA,NA,10,14,NA,NA,NA,NA,27
1,Tamil Nadu,Chengalpattu East,43,NA,9,39,4,24,814,2296,621,37,32,NA,5585
2,Tamil Nadu,Chengalpattu West,40,NA,5,23,2,6,492,1243,478,20,15,2,4025
3,Tamil Nadu,South Arcot,52,NA,10,49,4,5,673,1960,1197,69,40,7,8416
4,Tamil Nadu,Thanjavur East,38,NA,5,42,NA,8,521,986,599,45,28,1,4334
5,Tamil Nadu,Thanjavur West,57,NA,6,52,NA,11,676,1448,577,60,39,2,6174
6,Tamil Nadu,Tiruchirapalli,107,3,5,61,NA,25,880,2822,747,128,123,5,8712
7,Tamil Nadu,Pudukkottai,18,1,2,26,NA,1,204,403,196,17,20,2,2245
8,Tamil Nadu,Madurai South,64,1,9,32,NA,18,402,1511,704,64,63,11,5161
9,Tamil Nadu,Madurai North,72,NA,6,33,NA,10,415,1257,537,40,40,4,4794
10,Tamil Nadu,Ramnathapuram East,44,1,6,29,NA,10,229,444,415,34,20,4,3400
11,Tamil Nadu,Ramnathapuram West,48,NA,2,14,NA,30,285,681,240,27,28,NA,4594
12,Tamil Nadu,Tirunelveli,161,NA,29,72,3,43,623,1656,471,127,89,9,9093
13,Tamil Nadu,Kanyakumari,36,NA,6,12,11,4,230,419,470,19,28,6,2942
14,Tamil Nadu,Coimbatore Urban,47,NA,2,37,2,10,343,1433,261,52,63,6,4199
15,Tamil Nadu,Coimbatore Rural,43,NA,4,18,1,5,219,695,306,11,11,1,2646
16,Tamil Nadu,The Nilgiris,15,3,3,7,1,2,219,286,154,8,15,NA,1397
17,Tamil Nadu,Salem,125,NA,7,47,4,6,557,1437,621,70,68,10,5915
18,Tamil Nadu,Dharmapuri,67,NA,6,9,22,3,281,627,273,8,18,4,2915
19,Tamil Nadu,North Arcot,77,1,10,42,23,22,1002,2452,772,69,46,8,7912
20,Tamil Nadu,"Railway Police, Trichy",2,NA,1,3,2,5,10,681,123,19,10,NA,1228
21,Tamil Nadu,Madras City Police,52,3,16,84,2,85,859,9018,464,353,386,1,17279
22,Tamil Nadu,Periyar,81,NA,2,19,1,3,272,621,380,36,21,14,3144
1,Tripura,Tripura West Tripura District,118,NA,12,24,113,56,767,1004,219,14,23,1,3872
2,Tripura,Tripura South Tripura District,56,NA,5,14,31,39,174,270,151,4,10,NA,1253
3,Tripura,Tripura North Tripura District,27,1,4,14,13,48,14,435,129,18,11,NA,973
1,Uttar Pradesh,Meerut,148,22,23,141,146,268,943,3168,386,181,120,1,7382
2,Uttar Pradesh,Bulendshahr,147,41,43,63,155,389,923,1399,194,68,25,NA,4386
3,Uttar Pradesh,Muzaffaranagar,90,19,26,54,129,121,386,1047,271,63,35,NA,3202
4,Uttar Pradesh,Saharanpur,76,26,10,50,96,174,477,1799,162,91,47,NA,4318
5,Uttar Pradesh,Bijnor,64,16,20,42,83,73,357,133,103,50,16,NA,3141
6,Uttar Pradesh,Ghaziabad,134,19,11,55,113,210,NA,2054,359,135,NA,NA,5374
7,Uttar Pradesh,Varanasi,93,36,19,31,164,112,691,1605,318,163,82,1,5738
8,Uttar Pradesh,Mirzapur,73,19,6,12,65,38,351,901,142,93,21,NA,2541
9,Uttar Pradesh,Ghazipur,76,26,19,50,96,174,477,1799,162,91,47,NA,5318
10,Uttar Pradesh,Jaunpur,134,19,11,55,113,210,NA,2054,359,135,NA,NA,5374
11,Uttar Pradesh,Ballia,48,14,9,11,64,33,475,621,183,40,37,NA,2247
12,Uttar Pradesh,Lucknow,130,45,13,137,292,191,1070,2534,390,162,102,2,6977
13,Uttar Pradesh,Sitapur,175,22,14,55,149,228,382,1132,11,80,96,NA,4181
14,Uttar Pradesh,Hardoi,147,41,43,63,155,389,923,1399,194,68,25,NA,4586
15,Uttar Pradesh,kheri,124,21,15,69,73,144,461,1673,162,65,20,NA,3593
16,Uttar Pradesh,Rae Bareli,65,9,3,33,97,95,4440,818,235,77,28,NA,2674
17,Uttar Pradesh,Unnao,172,28,10,27,183,259,744,832,137,29,15,3,3259
18,Uttar Pradesh,Kanpur,197,34,23,85,299,252,1135,3301,248,320,269,80,8354
19,Uttar Pradesh,Fatehpur,135,31,50,12,185,139,420,1504,50,20,118,1,1922
20,Uttar Pradesh,Allahabad,182,74,23,52,207,106,940,1808,237,152,77,1,5238
21,Uttar Pradesh,Etawah,91,16,7,63,169,189,626,1000,NA,108,25,1,3339
22,Uttar Pradesh,Farrukhabad,170,25,13,64,203,154,668,1045,105,48,23,11,3589
23,Uttar Pradesh,Bareilly,144,41,16,91,142,218,702,3253,193,236,88,NA,5884
24,Uttar Pradesh,Badaun,175,22,14,55,149,81,382,1132,88,80,23,NA,3215
25,Uttar Pradesh,Moradabad,299,26,37,109,299,424,1030,3399,391,37,73,NA,7812
26,Uttar Pradesh,Pilibhit,93,9,6,32,98,75,242,520,38,33,21,NA,1596
27,Uttar Pradesh,Shahjahanpur,144,28,19,12,137,248,892,1437,159,68,41,NA,3805
28,Uttar Pradesh,Rampur,59,13,13,49,60,76,264,694,44,41,38,NA,1999
29,Uttar Pradesh,Agra,130,45,13,137,292,191,1070,2534,390,162,102,2,6777
30,Uttar Pradesh,Mathura,65,9,3,33,97,95,444,818,235,77,128,NA,2674
31,Uttar Pradesh,Etah,205,16,6,70,220,170,624,1188,299,144,35,NA,3780
32,Uttar Pradesh,Aligarh,137,23,22,85,256,248,1220,1932,559,131,67,NA,6524
33,Uttar Pradesh,Mainpuri,163,24,7,95,220,271,608,843,268,46,30,4,3339
34,Uttar Pradesh,Gorakhpur,147,26,15,78,303,214,862,1980,583,167,94,6,6132
35,Uttar Pradesh,Azamgarh,98,28,18,38,244,236,1057,1407,615,176,45,NA,5156
36,Uttar Pradesh,Basti,115,34,16,59,175,140,827,1091,410,79,63,NA,4076
37,Uttar Pradesh,Deoria,67,33,7,32,173,92,725,1941,349,62,22,2,3425
38,Uttar Pradesh,Faizabad,71,41,11,44,122,104,871,1075,306,87,35,NA,3853
39,Uttar Pradesh,Bahraich,72,52,24,97,111,137,575,1170,200,66,28,NA,3393
40,Uttar Pradesh,Barabanki,116,35,20,56,132,158,938,986,246,71,21,2,3414
41,Uttar Pradesh,Gonda,102,29,15,81,131,312,872,1461,301,70,55,NA,4396
42,Uttar Pradesh,Pratapgarh,63,52,19,23,148,79,458,1535,233,49,18,NA,2267
43,Uttar Pradesh,Sultanpur,58,36,14,42,93,102,508,781,206,56,22,2,2690
44,Uttar Pradesh,Jhansi,52,12,15,18,109,89,459,734,105,46,25,2,2281
45,Uttar Pradesh,Banda,59,13,13,49,60,76,264,694,144,41,38,NA,2999
46,Uttar Pradesh,Hamirpur,188,23,7,8,117,176,75,872,100,17,8,NA,1890
47,Uttar Pradesh,Jalaun,96,81,6,42,103,126,361,860,130,22,6,NA,1721
48,Uttar Pradesh,Lalitpur,18,14,13,11,25,69,246,292,74,29,7,NA,1019
49,Uttar Pradesh,Nainital,45,5,12,46,38,83,496,1214,152,90,39,NA,3075
50,Uttar Pradesh,Pithoragarh,1,1,NA,4,NA,3,29,41,8,3,2,NA,150
51,Uttar Pradesh,Dehradun,24,10,6,29,18,46,374,699,66,43,16,NA,1719
52,Uttar Pradesh,Uttarkashi,NA,NA,1,2,NA,3,36,47,11,1,2,NA,156
53,Uttar Pradesh,Terhi Garhwal,1,1,1,4,1,5,32,44,12,11,3,NA,164
54,Uttar Pradesh,Chamoli,2,NA,NA,2,NA,1,NA,20,5,3,2,NA,93
55,Uttar Pradesh,Pauri Garhwal,NA,2,2,1,NA,5,56,87,11,9,2,NA,224
1,West Bengal,Bankura,42,12,11,15,61,29,97,836,480,35,18,NA,2298
2,West Bengal,Birbhum,59,20,34,10,51,54,244,877,558,33,14,NA,2554
3,West Bengal,Burdwan,141,51,45,79,212,134,290,3763,1397,78,63,NA,8296
4,West Bengal,Hooghly,86,23,41,49,140,76,309,1778,918,96,81,6,5600
5,West Bengal,Purulia,37,20,10,17,62,26,133,938,445,16,11,NA,2414
6,West Bengal,24 Parganas,209,77,155,316,218,203,789,8610,3315,251,166,9,21195
7,West Bengal,Murshidabad,61,55,30,46,49,21,103,980,924,34,43,1,3423
8,West Bengal,Nadia,83,25,80,60,154,80,351,3083,1180,29,67,2,6431
9,West Bengal,West Dinajpur,81,59,21,32,98,59,249,1507,537,42,9,NA,3435
10,West Bengal,Jalpaiguri,100,28,29,32,71,78,348,1535,276,31,34,NA,3718
11,West Bengal,Malda,60,52,9,26,27,9,104,643,352,24,18,NA,1963
12,West Bengal,Darjeeling,33,17,11,18,30,45,99,377,101,31,12,NA,1998
13,West Bengal,Cooch Bihar,35,10,36,38,46,68,454,796,328,18,17,NA,2488
14,West Bengal,Howrah,60,15,17,55,55,64,162,2592,740,236,61,2,6377
15,West Bengal,Midnapur,96,51,31,75,110,74,737,1885,2076,103,43,NA,7447
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands-ands (District Port Blair),14,NA,3,7,NA,7,83,176,55,13,6,NA,805
1,Arunachal Pradesh,Tirap,5,1,NA,NA,2,1,22,28,2,3,NA,NA,106
2,Arunachal Pradesh,Lohit,1,NA,NA,2,1,4,9,27,NA,1,NA,NA,77
3,Arunachal Pradesh,Seaing ,3,NA,2,4,4,5,28,71,2,4,5,NA,253
4,Arunachal Pradesh,Subansiri ,1,2,6,4,1,1,30,70,9,5,1,NA,272
5,Arunachal Pradesh,Kameng ,1,1,NA,2,NA,2,22,26,5,NA,1,NA,144
1,Chandigarh,U.T. of Chandigarh,14,7,3,21,NA,14,138,1160,17,46,63,NA,2118
1,Dadar & Nagar Haveli,U.T. of Dadar & Nagar Haveli,7,NA,1,1,1,3,39,46,6,4,3,NA,177
1,Delhi,North,50,77,10,149,16,84,555,5474,80,353,310,5,12668
2,Delhi,Central,21,37,9,129,14,43,253,3361,31,59,153,2,9462
3,Delhi,East,43,44,10,178,18,38,585,1857,31,34,92,3,6213
4,Delhi,New Delhi,4,4,1,28,4,17,218,2790,11,50,105,8,4321
5,Delhi,West,25,46,15,168,10,59,682,5610,28,74,92,2,10406
6,Delhi,South,37,51,10,115,13,42,383,2214,17,40,101,NA,5540
7,Delhi,Crime & Railway,2,3,1,7,NA,11,1,887,2,56,18,3,1576
8,Delhi,Palam Airport,NA,NA,NA,1,NA,2,5,83,1,1,1,NA,137
1,Daman & Diu,Goa,18,6,7,10,1,33,476,867,157,51,40,1,2806
2,Daman & Diu,Daman,2,1,NA,NA,NA,1,21,20,14,4,NA,NA,103
3,Daman & Diu,Diu,NA,NA,NA,NA,NA,1,2,1,5,NA,NA,NA,18
1,Lakshadweep,Lakshadweep,NA,NA,NA,NA,NA,NA,5,8,1,1,NA,NA,15
1,Mizoram,Aizawl,20,8,34,3,3,15,54,148,NA,11,22,NA,658
2,Mizoram,Lunglei,9,NA,3,1,2,3,5,18,NA,4,3,NA,180
3,Mizoram,Chimtuipui,3,5,4,4,NA,10,5,15,NA,5,1,NA,217
1,Pondicherry,UT of Pondicherry,13,NA,10,34,4,6,266,1415,224,38,24,1,3769
