SL. No.,Category,State/UT/City,Murder - 1987,Murder - 1988,Murder - Percentage Variation,Attempt to Commit Murder - 1987,Attempt to Commit Murder - 1988,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1987,C.H. Not Amounting to Murder - 1988,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1987,Rape - 1988,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1987,Kidnapping & Abduction - Total - 1988,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1987,Kidnapping & Abduction - Of Women & Girls - 1988,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1987,Kidnapping & Abduction - Of Others - 1988,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1987,Dacoity - 1988,Dacoity - Percentage Variation,Preparation and Assembly for Dacoity - 1987,Preparation and Assembly for Dacoity - 1988,Preparation and Assembly for Dacoity - Percentage Variation,Robbery - 1987,Robbery - 1988,Robbery - Percentage Variation,Burglary - 1987,Burglary - 1988,Burglary - Percentage Variation,Theft - 1987,Theft - 1988,Theft - Percentage Variation,Riots - 1987,Riots - 1988,Riots - Percentage Variation,Criminal Breach of Trust - 1987,Criminal Breach of Trust - 1988,Criminal Breach of Trust - Percentage Variation,Cheating - 1987,Cheating - 1988,Cheating - Percentage Variation,Counterfeiting - 1987,Counterfeiting - 1988,Counterfeiting - Percentage Variation,Other IPC Crimes - 1987,Other IPC Crimes - 1988,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1987,Total Cognizable Crimes Under IPC - 1988,Total Cognizable Crimes Under IPC - Percentage Variation
35,City,Bombay,285,314,10.2,*,150,NA,2,10,400,85,108,27.1,231,236,2.2,*,158,NA,*,78,NA,65,49,-24.6,*,18,NA,762,674,-11.5,2361,2320,-1.7,15359,15133,-1.5,196,160,-18.4,933,888,-4.8,1166,1012,-13.2,63,70,11.1,14510,14660,1,36018,35802,-0.6
36,City,Calcutta,69,56,-18.8,*,166,NA,10,10,0,19,18,-5.3,122,116,-4.9,*,84,NA,*,32,NA,30,23,-23.3,*,6,NA,188,118,-37.2,455,387,-14.9,6763,7014,3.7,549,631,14.9,314,312,-0.6,390,418,7.2,35,36,2.9,4275,4279,0.1,13219,13652,3.3
37,City,Delhi,259,239,-7.7,*,152,NA,159,21,-86.8,88,100,13.6,734,698,-4.9,*,629,NA,*,69,NA,22,5,-77.3,*,6,NA,172,183,6.4,1357,1448,6.7,9709,10562,8.8,147,92,-37.4,422,647,53.3,794,1081,36.1,28,35,25,9946,10261,3.2,23837,25530,7.1
38,City,Hyderabad,71,90,26.8,*,101,NA,0,2,@,23,17,-26.1,75,51,-32,*,51,NA,*,0,NA,9,4,-55.6,*,0,NA,99,84,-15.2,1265,1151,-9,3109,3079,-1,226,191,-15.5,82,95,15.9,325,379,16.6,43,32,-25.6,2171,2193,1,7498,7469,-0.4
39,City,Jaipur,36,36,0,*,0,NA,1,0,-100,11,12,9.1,106,113,6.6,*,111,NA,*,2,NA,2,1,-50,*,0,NA,45,59,31.1,378,473,25.1,1271,1841,44.8,762,816,7.1,134,173,29.1,258,309,19.8,15,20,33.3,2648,3007,13.6,5667,6860,21.1
40,City,Kanpur,492,113,-77,*,137,NA,36,34,-5.6,26,35,34.6,148,141,-4.7,*,120,NA,*,21,NA,81,39,-51.9,*,7,NA,172,126,-26.7,568,519,-8.6,1914,1841,-3.8,228,189,-17.1,238,242,1.7,256,255,-0.4,2,31,1450,3070,2217,-27.8,7231,5926,-18
41,City,Lucknow,68,71,4.4,*,71,NA,20,23,15,19,17,-10.5,82,116,41.5,*,113,NA,*,3,NA,27,11,-59.3,*,21,NA,87,90,3.4,504,526,4.4,1796,2124,18.3,155,191,23.2,205,198,-3.4,233,280,20.2,14,6,-57.1,208,897,331.3,3418,4642,35.8
42,City,Madras,61,49,-19.7,*,44,NA,3,2,-33.3,23,23,0,40,38,-5,*,34,NA,*,4,NA,2,0,-100,*,0,NA,41,62,51.2,302,366,21.2,3838,4091,6.6,200,151,-24.5,209,176,-15.6,664,642,-3.3,167,140,-16.2,8277,8163,-1.4,13827,13947,0.9
43,City,Nagpur,102,106,3.9,*,33,NA,0,1,@,45,36,-20,75,68,-9.3,*,53,NA,*,15,NA,15,11,-26.7,*,0,NA,255,275,7.8,724,813,12.3,2121,2485,17.2,162,172,6.2,92,109,18.5,119,120,0.8,20,16,-20,5053,4004,-20.8,8783,8249,-6.1
44,City,Pune,70,75,7.1,*,63,NA,0,4,@,34,31,-8.8,45,50,11.1,*,46,NA,*,4,NA,6,16,166.7,*,3,NA,137,194,41.6,736,940,27.7,2531,2704,6.8,168,259,54.2,105,115,9.5,193,148,-23.3,12,36,200,5126,5413,5.6,9163,10051,9.7
