SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
43,Madhya Pradesh,Ujjain,61,78,1,45,38,38,0,8,4,94,709,1687,77,32,60,1,2905,5800
44,Madhya Pradesh,Vidisha,38,38,0,72,6,6,0,3,0,31,157,436,81,11,27,0,1757,2657
45,Madhya Pradesh,Zhabua,158,184,3,28,98,98,0,10,1,69,224,543,62,16,21,0,1512,2929
46,Madhya Pradesh,Bhopal Rly.,4,4,2,2,2,2,0,0,2,18,8,646,3,0,8,0,268,967
47,Madhya Pradesh,Indore Rly.,5,5,0,2,6,6,0,1,0,8,15,325,3,1,3,0,177,551
48,Madhya Pradesh,Jabalpur Rly.,4,2,0,0,1,1,0,2,0,4,5,221,13,0,7,0,93,352
49,Madhya Pradesh,Raipur Rly.,2,3,0,1,1,1,0,0,0,5,12,260,5,0,1,0,112,402
50,Madhya Pradesh,Total,2576,2021,58,1885,1130,1026,104,242,137,2153,18920,37172,4062,860,1434,3,107977,180630
1,Maharashtra,Ahmednagar,84,24,1,16,13,11,2,23,0,89,313,934,147,95,40,4,2279,4062
2,Maharashtra,Akola,80,29,0,33,29,25,4,16,1,102,828,2513,138,59,68,3,3104,7003
3,Maharashtra,Amravati,67,38,0,48,55,47,8,12,0,140,1133,3535,151,64,59,1,3378,8681
4,Maharashtra,Aurangabad,75,38,0,13,28,22,6,43,1,102,649,1553,290,36,44,0,2473,5345
5,Maharashtra,Beed,67,6,1,7,19,19,0,12,0,86,244,606,295,39,20,0,1704,3106
6,Maharashtra,Bhandara,66,28,3,23,23,21,2,2,0,34,366,979,44,33,21,0,2211,3833
7,Maharashtra,Bombay,314,150,10,108,236,158,78,49,18,674,2320,15133,160,888,1012,70,14660,35802
8,Maharashtra,Buldhana,43,15,0,19,17,14,3,13,0,62,394,1549,121,36,28,2,2838,5137
9,Maharashtra,Chandrapur,62,25,0,35,26,23,3,8,2,53,392,1186,146,44,37,0,2954,4970
10,Maharashtra,Dhule,79,34,3,19,19,15,4,19,0,33,258,815,185,59,32,6,1681,3242
11,Maharashtra,Gadchiroli,23,5,0,10,17,1,16,0,0,8,88,188,36,26,15,1,692,1109
12,Maharashtra,Jalana,49,23,2,6,18,17,1,29,1,77,339,829,90,19,25,0,1720,3227
13,Maharashtra,Jalgaon,76,21,1,23,28,21,7,23,0,57,453,1183,136,100,67,7,3243,5418
14,Maharashtra,Kolhapur,60,25,2,22,21,11,10,12,0,28,396,720,177,65,46,4,1391,2969
15,Maharashtra,Latur,39,7,36,6,19,19,0,1,0,27,173,367,55,21,24,0,1283,2058
16,Maharashtra,Nagpur,177,54,3,73,89,70,19,19,0,335,1200,3680,247,137,160,18,6704,12896
17,Maharashtra,Nanded,55,26,0,12,20,19,1,20,3,117,440,819,146,34,31,0,1937,3660
18,Maharashtra,Nasik,69,49,0,12,13,4,9,44,0,58,330,1099,137,61,52,2,2182,4108
19,Maharashtra,Osmanabad,32,12,0,9,9,6,3,4,0,22,127,326,99,13,11,0,695,1359
20,Maharashtra,Parbhani,49,23,1,9,22,20,2,19,7,128,319,720,121,45,41,2,1934,3440
21,Maharashtra,Pune,165,88,7,57,69,56,13,54,3,263,1341,3112,393,150,164,41,7689,13596
22,Maharashtra,Raigad,42,37,2,24,10,8,2,24,0,37,321,494,161,34,29,7,1509,2731
23,Maharashtra,Ratnagiri,27,8,0,6,9,9,0,3,0,18,132,239,61,19,18,5,902,1447
24,Maharashtra,Sangli,79,16,3,29,19,8,11,5,1,44,341,854,91,50,44,3,1498,3077
25,Maharashtra,Satara,61,25,0,25,14,10,4,11,0,39,280,827,146,39,65,4,2518,4054
26,Maharashtra,Sindhudurg,13,3,0,2,2,1,1,1,0,10,124,147,26,11,5,3,476,823
27,Maharashtra,Solapur,111,42,10,34,22,17,5,26,0,73,309,807,154,42,51,6,2400,4087
28,Maharashtra,Thane,255,153,2,95,111,72,39,111,0,478,2292,3692,728,251,226,16,7023,15433
29,Maharashtra,Wardha,53,23,0,22,16,4,12,1,0,41,312,1044,64,24,38,0,2010,3648
30,Maharashtra,Yavatmal,51,25,1,38,34,30,4,12,0,58,569,1150,78,42,37,1,3516,5612
31,Maharashtra,Bombay Rly.,10,3,0,1,2,2,0,0,0,46,4,3826,12,65,64,1,852,4886
32,Maharashtra,Nagpur Rly.,5,4,0,2,3,3,0,9,0,34,3,1058,15,12,8,0,151,1304
33,Maharashtra,Pune Rly.,6,5,0,0,2,1,1,6,0,37,2,1040,7,13,12,0,104,1234
34,Maharashtra,Total,2444,1064,88,838,1034,764,270,631,37,3410,16792,57024,4857,2626,2594,207,89711,183357
1,Manipur,Bishnupur,8,7,0,1,1,1,0,1,0,1,13,44,6,1,12,0,135,230
2,Manipur,Chandel,7,1,0,1,2,1,1,1,1,2,9,13,7,3,2,0,45,94
3,Manipur,Churachandpur,6,2,1,0,5,4,1,0,0,3,29,49,7,5,6,0,76,189
4,Manipur,Imphal,31,22,0,3,72,70,2,8,2,15,67,167,41,14,41,1,576,1060
5,Manipur,Senapati,8,3,0,0,2,1,1,0,0,7,16,16,3,4,0,0,134,193
6,Manipur,Tamenglong,5,0,0,0,6,5,1,2,0,0,4,0,5,0,0,0,20,42
7,Manipur,Thoubal,13,3,0,3,40,36,4,1,0,5,31,46,25,3,15,3,212,400
8,Manipur,Ukhrul,17,11,0,0,2,1,1,2,0,3,16,18,14,5,13,0,70,171
9,Manipur,Total,95,49,1,8,130,119,11,15,3,36,185,353,108,35,89,4,1268,2379
1,Meghalaya,Garo Hills East,3,0,2,0,1,1,0,1,0,3,13,19,6,0,0,0,66,114
2,Meghalaya,Garo Hills West,11,1,0,4,4,4,0,5,0,0,69,124,23,2,2,0,182,427
3,Meghalaya,Khasi Hills East,39,11,0,8,13,13,0,24,0,24,86,200,38,14,48,0,425,930
4,Meghalaya,Khasi Hills West,21,0,0,2,1,1,0,7,1,1,2,18,3,1,2,0,45,104
5,Meghalaya,Jaintia Hills,23,0,0,2,0,0,0,3,0,9,16,23,3,1,1,0,79,160
6,Meghalaya,Total,97,12,2,16,19,19,0,40,1,37,186,384,73,18,53,0,797,1735
1,Mizoram,Aizawl,16,8,0,44,8,8,0,1,0,21,119,284,2,28,34,2,304,871
2,Mizoram,Chhimtuipui,7,2,0,4,0,0,0,0,1,1,6,20,1,3,0,0,73,118
3,Mizoram,Lunglei,5,0,0,8,0,0,0,0,0,0,27,49,0,5,6,0,178,278
4,Mizoram,Total,28,10,NA,56,8,8,NA,1,1,22,152,353,3,36,40,2,555,1267
1,Nagaland,Dimapur,11,1,1,1,8,5,3,12,0,29,74,77,7,4,15,0,136,376
2,Nagaland,Kohima,6,2,0,4,3,2,1,2,0,10,54,69,0,19,3,0,87,259
3,Nagaland,Mokokchung,7,1,1,2,2,0,2,2,0,6,45,32,6,3,10,0,75,192
4,Nagaland,Mon,7,5,2,1,1,1,0,11,0,19,20,27,1,1,1,0,49,145
5,Nagaland,Phek,2,0,0,2,0,0,0,2,0,7,12,24,4,7,3,1,57,121
6,Nagaland,Tuensang,4,2,0,1,4,0,4,0,0,8,35,24,7,3,5,0,62,155
7,Nagaland,Wokha,0,1,2,0,1,0,1,1,0,1,22,11,0,0,1,0,25,65
8,Nagaland,Zunheboto,0,2,0,1,2,0,2,0,0,2,19,20,0,4,2,0,43,95
9,Nagaland,Total,37,14,6,12,21,8,13,30,0,82,281,284,25,41,40,1,534,1408
1,Orissa,Bolangir,20,6,1,10,20,20,0,3,0,28,256,329,99,9,11,0,962,1754
2,Orissa,Balasore,24,29,7,7,22,22,0,9,0,23,250,606,145,27,12,0,1324,2485
3,Orissa,Berhampur,11,15,1,2,6,6,0,3,NA,21,134,179,40,10,9,1,495,927
4,Orissa,Bhubaneswar,9,14,0,7,16,16,0,7,0,23,455,1099,30,69,44,5,1451,3229
5,Orissa,Cuttack (R ),53,65,40,16,31,31,0,21,0,44,496,809,128,17,12,0,2720,4452
6,Orissa,Cuttack (S),13,40,42,2,24,24,0,20,0,33,379,852,42,35,47,0,1732,3261
7,Orissa,Dhenkanal,35,45,1,5,9,9,0,15,0,49,349,687,58,24,12,0,1174,2463
8,Orissa,Ganjam,39,36,7,7,12,12,0,8,0,33,188,400,101,13,22,0,1203,2069
9,Orissa,Kalahandi,18,14,2,1,5,5,0,5,0,14,155,280,58,10,8,2,932,1504
10,Orissa,Keonjhar,38,4,5,11,4,4,0,0,0,5,122,281,39,7,9,0,707,1232
11,Orissa,Koraput,95,31,6,29,15,15,0,6,0,85,283,538,238,29,35,0,2060,3450
12,Orissa,Mayurbhanj,46,18,2,20,11,11,0,9,0,22,133,280,45,24,16,0,1117,1743
13,Orissa,Phulbani,21,15,2,9,11,11,0,3,0,28,175,245,39,16,5,1,656,1226
14,Orissa,Puri,38,59,5,11,27,27,0,23,0,36,470,853,183,28,33,0,2145,3911
15,Orissa,Rourkela,18,8,0,5,7,7,0,5,0,22,81,284,80,7,9,0,668,1194
16,Orissa,Sambalpur,46,52,3,22,15,15,0,14,0,53,559,700,130,49,44,1,2232,3920
17,Orissa,Sundargarh,61,10,4,17,6,6,0,6,0,25,104,327,35,5,14,0,928,1542
18,Orissa,Cuttack Rly.,6,2,1,2,0,0,0,4,0,12,13,265,11,2,4,1,69,392
19,Orissa,Rourkela Rly.,2,3,1,0,2,2,0,1,0,7,23,195,5,1,4,0,70,314
20,Orissa,Total,593,466,130,183,243,243,0,162,0,563,4625,9209,1506,382,350,11,22645,41068
1,Punjab,Amritsar,304,234,5,3,28,18,10,40,0,117,177,176,6,17,40,0,473,1620
2,Punjab,Batala,100,108,2,5,7,2,5,0,0,9,27,65,0,2,7,0,203,535
3,Punjab,Bhatinda,89,45,10,1,3,2,1,1,0,27,119,106,1,26,27,1,461,917
4,Punjab,Faridkot,99,88,10,4,9,6,3,0,0,7,114,136,1,15,36,0,335,854
5,Punjab,Ferozepur,101,123,19,6,16,11,5,2,5,8,76,126,11,22,12,0,387,914
6,Punjab,Gurdaspur,116,51,3,5,14,11,3,0,1,1,89,119,1,13,16,0,382,811
7,Punjab,Hosiarpur,62,37,6,8,12,8,4,2,4,42,102,89,6,15,18,0,298,701
8,Punjab,Jalandhar,171,97,13,4,23,14,9,7,7,73,199,370,2,41,17,0,542,1566
9,Punjab,Kapurthala,48,37,4,1,8,6,2,0,0,11,53,81,0,7,4,0,272,526
10,Punjab,Ludhiana,122,78,8,3,26,20,6,1,11,140,200,324,2,38,54,2,699,1708
11,Punjab,Majitha,162,60,3,1,2,2,0,10,0,66,30,32,0,3,2,0,158,529
12,Punjab,Patiala,92,59,16,1,21,17,4,0,1,12,184,227,1,51,40,0,937,1642
13,Punjab,Ropar,36,17,12,4,9,8,1,3,0,2,67,113,1,11,14,0,309,598
14,Punjab,Sangrur,74,20,9,3,5,0,5,0,9,11,73,110,0,18,29,0,371,732
15,Punjab,Tarn Taran,185,130,2,0,10,0,10,18,0,56,30,54,0,5,6,0,126,622
16,Punjab,Total,1761,1184,122,49,193,125,68,84,38,582,1540,2128,32,284,322,3,5953,14275
1,Rajasthan,Ajmer,55,6,6,18,100,100,0,2,0,46,321,557,384,44,163,2,1910,3614
2,Rajasthan,Alwar,60,0,1,14,74,74,0,2,0,43,258,581,837,34,177,0,1848,3929
3,Rajasthan,Banswara,34,6,2,21,87,87,0,2,0,37,190,193,674,29,46,1,2200,3522
4,Rajasthan,Barmer,5,0,1,8,21,11,10,1,0,32,95,239,111,7,66,0,1030,1616
5,Rajasthan,Bharatpur,69,7,1,23,63,52,11,12,0,29,224,612,790,22,92,0,1766,3710
6,Rajasthan,Bhilwara,26,0,1,28,105,105,0,1,0,56,431,583,627,63,161,0,2044,4126
7,Rajasthan,Bikaner,14,7,0,22,23,23,0,2,0,4,146,314,129,28,61,0,1189,1939
8,Rajasthan,Bundi,29,37,0,21,68,52,16,5,0,45,180,242,234,31,31,0,1108,2031
9,Rajasthan,Chittorgarh,41,34,2,24,169,169,0,1,0,54,461,798,690,29,223,0,2653,5179
10,Rajasthan,Churu,21,22,2,18,16,10,6,1,1,7,112,212,198,11,69,3,1010,1703
11,Rajasthan,Dholpur,38,20,0,28,79,67,12,17,7,50,126,326,599,18,26,0,783,2117
12,Rajasthan,Dungarpur,25,0,4,10,40,40,0,1,0,5,78,96,189,25,23,0,1205,1701
13,Rajasthan,Ganganagar,99,145,1,67,73,70,3,3,0,34,334,485,199,96,226,0,3126,4888
14,Rajasthan,Jaipur,88,0,2,19,174,166,8,4,0,96,823,2463,2086,224,397,21,5141,11538
15,Rajasthan,Jaisalmer,6,37,0,1,0,0,0,0,0,13,17,102,36,5,6,0,168,391
16,Rajasthan,Jalore,12,16,2,7,7,5,2,0,0,17,59,95,97,32,27,0,702,1073
17,Rajasthan,Jhalawar,26,23,0,41,47,47,0,5,0,47,216,254,235,25,49,0,1118,2086
18,Rajasthan,Jhunjhunu,30,0,3,10,24,24,0,2,0,14,132,215,546,21,40,1,1030,2068
19,Rajasthan,Jodhpur,27,54,3,16,45,38,7,1,0,66,257,367,353,16,152,1,1604,2962
20,Rajasthan,Kota,69,134,14,71,125,121,4,10,0,92,675,980,529,63,166,3,3366,6297
21,Rajasthan,Nagour,39,13,0,23,29,29,0,2,0,79,157,327,470,17,99,0,1560,2815
22,Rajasthan,Pali,35,12,1,17,52,52,0,0,0,23,156,234,218,31,74,0,1202,2055
23,Rajasthan,Sawal Madhopur,59,0,0,38,91,91,0,19,0,49,302,524,1264,21,90,1,1883,4341
24,Rajasthan,Sikar,42,0,2,17,25,25,0,3,0,12,133,260,679,19,72,0,776,2040
25,Rajasthan,Sirohi,10,0,0,6,17,17,0,4,0,22,114,130,75,17,28,3,589,1015
26,Rajasthan,Tonk,16,21,7,21,50,50,0,1,0,12,139,242,422,19,59,0,1180,2189
27,Rajasthan,Udaipur,59,5,5,29,143,143,0,10,0,87,583,724,721,50,165,4,3594,6179
28,Rajasthan,G.R.P,7,7,0,2,4,3,1,0,0,15,8,710,19,1,11,1,237,1022
29,Rajasthan,Total,1041,606,60,620,1751,1671,80,111,8,1086,6727,12865,13411,998,2799,41,46022,88146
1,Sikkam,East,3,1,0,4,5,5,0,0,0,5,26,55,5,6,7,0,76,193
2,Sikkam,North,0,0,0,2,0,0,0,0,0,1,3,10,3,1,2,0,22,44
3,Sikkam,South,0,0,0,0,0,0,0,1,0,0,7,9,0,0,6,0,26,49
4,Sikkam,West,4,0,0,0,1,1,0,0,0,0,3,19,1,3,0,0,16,47
5,Sikkam,Total,7,1,0,6,6,6,0,1,0,6,39,93,9,10,15,0,140,333
1,Tamil Nadu,Anna,39,31,0,9,26,26,0,0,0,8,226,618,358,11,21,5,1928,3280
2,Tamil Nadu,Chidambaranar,69,37,0,17,51,51,0,2,0,20,218,485,563,31,14,3,2869,4379
3,Tamil Nadu,Chinglepat East,60,68,0,13,59,59,0,0,0,21,734,2220,399,77,131,1,3207,6990
4,Tamil Nadu,Chinglepat West,36,33,0,16,40,40,0,9,0,17,389,934,431,20,34,1,2906,4866
5,Tamil Nadu,Coimbatore,105,60,0,11,27,27,0,5,0,56,877,1853,538,92,95,13,4376,8108
6,Tamil Nadu,Dharmapuri,91,34,12,8,26,26,0,6,0,9,295,498,444,14,28,1,2444,3910
7,Tamil Nadu,Kamarajar,44,46,1,11,28,28,0,0,0,12,154,409,425,11,23,6,2077,3247
8,Tamil Nadu,Kanyakummari,51,24,0,6,29,29,0,0,0,8,243,338,737,10,44,0,3917,5407
9,Tamil Nadu,Madras Pol,49,44,2,23,38,38,0,0,0,62,366,4091,151,176,642,140,8805,14589
10,Tamil Nadu,Madurai,134,132,0,31,39,39,0,2,0,44,460,1614,483,41,197,19,4477,7673
11,Tamil Nadu,Nilgiris,16,2,0,0,0,0,0,0,0,4,149,145,66,12,4,1,145,544
12,Tamil Nadu,Pasumpon Muthuramalingam,26,8,0,5,18,18,0,1,0,4,127,217,273,18,28,0,1190,1915
13,Tamil Nadu,Periyar,71,23,1,7,25,25,0,2,0,11,341,888,142,27,21,7,2494,4060
14,Tamil Nadu,Pudukottai,34,24,2,3,29,29,0,2,0,5,123,334,146,16,31,3,1587,2339
15,Tamil Nadu,Ramnad,29,43,0,15,24,24,0,1,0,11,101,188,394,11,16,2,1563,2398
16,Tamil Nadu,South Arcot,64,73,0,16,47,47,0,3,0,11,245,762,588,12,24,3,3655,5503
17,Tamil Nadu,North Arcot,113,48,3,21,60,60,0,14,0,42,760,1716,1192,42,72,5,5075,9163
18,Tamil Nadu,Salem,156,57,0,16,36,36,0,3,0,11,397,969,320,25,16,2,3439,5447
19,Tamil Nadu,Thanjavur East,47,31,0,14,48,48,0,0,0,2,282,667,137,35,22,3,3524,4812
20,Tamil Nadu,Thanjavur West,87,29,1,9,41,41,0,0,0,6,370,809,309,53,75,1,3948,5738
21,Tamil Nadu,Tiruchirapalli,122,46,2,14,46,46,0,1,0,22,610,1733,310,95,109,22,5496,8628
22,Tamil Nadu,Tirunelveli,85,87,0,33,48,48,0,1,0,31,284,815,160,33,29,12,4195,5813
23,Tamil Nadu,Villupuram,54,45,25,7,21,21,0,1,0,9,173,511,391,19,12,2,4825,6075
24,Tamil Nadu,Madras Rly.,0,2,0,0,0,0,0,0,0,3,3,337,6,5,3,1,1210,1570
25,Tamil Nadu,Trichy Rly.,0,0,0,0,0,0,0,0,0,1,8,108,10,0,1,0,2123,2251
26,Tamil Nadu,Total,1582,1027,49,305,806,806,0,53,0,430,7935,23259,8973,886,1692,253,81475,128725
1,Tripura,North Tripura,47,12,1,20,29,27,2,19,0,30,169,217,134,14,3,0,747,1442
2,Tripura,South Tripura,38,0,2,6,5,4,1,13,0,32,137,181,185,2,6,0,584,1191
3,Tripura,West Tripura,56,49,1,17,27,22,5,29,0,49,515,589,257,8,10,0,1280,2887
4,Tripura,Total,141,61,4,43,61,53,8,61,0,111,821,987,576,24,19,0,2611,5520
1,Uttar Pradesh,Agra,145,251,72,44,132,97,35,84,11,187,612,1353,423,139,184,1,2144,5782
2,Uttar Pradesh,Aligarh,160,139,45,50,104,104,0,76,0,156,482,941,293,94,60,0,1599,4199
3,Uttar Pradesh,Allahabad,225,298,67,42,80,45,35,72,33,228,874,1708,256,105,150,2,2088,6228
4,Uttar Pradesh,Almora,18,30,0,6,4,4,0,4,0,40,77,151,31,18,6,0,195,580
5,Uttar Pradesh,Azamgarh,7,15,4,1,33,33,0,3,0,10,39,113,276,14,17,2,110,644
6,Uttar Pradesh,Badaun,185,171,38,49,83,83,0,56,0,163,352,804,163,31,27,0,1211,3333
7,Uttar Pradesh,Ballia,38,46,23,10,14,14,0,21,12,26,179,226,110,40,18,2,594,1359
8,Uttar Pradesh,Banda,138,129,45,25,34,14,20,50,9,170,313,359,138,25,19,0,632,2086
9,Uttar Pradesh,Barabanki,104,74,32,38,35,35,0,19,0,87,347,421,141,52,32,4,696,2082
10,Uttar Pradesh,Bareilly,199,183,54,41,95,95,0,35,0,161,424,1290,174,83,60,0,1463,4262
11,Uttar Pradesh,Basti,68,40,34,13,33,33,0,38,0,33,253,342,143,35,9,9,915,1965
12,Uttar Pradesh,Bahraich,93,66,27,30,81,81,0,10,54,126,313,677,204,68,44,0,866,2659
13,Uttar Pradesh,Bijnor,133,95,44,33,78,78,0,12,5,138,322,771,272,36,73,0,1027,3039
14,Uttar Pradesh,Bulandshahar,232,227,79,45,116,116,0,83,3,259,633,1146,386,99,44,0,1310,4662
15,Uttar Pradesh,Chamoli,10,11,1,1,12,12,0,3,0,20,33,52,42,25,3,1,110,324
16,Uttar Pradesh,Dehradun,38,27,9,9,42,42,0,7,0,40,181,330,56,24,34,1,511,1309
17,Uttar Pradesh,Deoria,69,67,57,7,27,27,0,37,0,41,254,378,124,67,49,0,897,2074
18,Uttar Pradesh,Etah,195,187,26,34,83,83,0,53,0,146,327,29,248,43,41,0,1114,2526
19,Uttar Pradesh,Etawah,108,144,29,9,84,84,0,40,4,183,397,517,194,56,36,0,1098,2899
20,Uttar Pradesh,Faizabad,121,161,45,32,65,65,0,118,17,253,714,718,353,96,47,3,1160,3903
21,Uttar Pradesh,Fatehpur,154,136,45,18,32,32,0,33,0,82,248,391,100,34,24,0,575,1872
22,Uttar Pradesh,Fatehgarh,187,288,34,35,122,54,68,66,2,184,452,684,273,50,57,2,1110,3546
23,Uttar Pradesh,Ghazipur,45,49,31,2,8,8,0,33,0,9,178,191,73,20,22,1,431,1093
24,Uttar Pradesh,Ghaziabad,307,221,32,37,145,90,55,81,2,316,690,1780,364,169,94,1,1686,5925
25,Uttar Pradesh,Gonda,96,99,64,25,72,72,0,67,0,182,527,676,218,66,84,0,1312,3488
26,Uttar Pradesh,Gorakhpur,120,124,51,19,46,31,15,62,55,61,318,603,202,65,52,3,1360,3141
27,Uttar Pradesh,Hamirpur,106,52,23,12,7,7,0,49,0,63,169,176,46,18,16,2,610,1349
28,Uttar Pradesh,Hardoi,107,81,26,42,63,63,0,41,0,87,283,476,101,52,40,0,954,2353
29,Uttar Pradesh,Jalaun,54,37,13,7,16,16,0,23,3,72,216,289,64,9,17,0,569,1389
30,Uttar Pradesh,Jaunpur,37,61,33,7,21,21,0,15,25,24,223,305,104,28,22,2,737,1644
31,Uttar Pradesh,Jhansi,66,42,31,15,18,18,0,19,8,56,267,361,103,33,25,0,875,1919
32,Uttar Pradesh,Kanpur Dehat,90,104,25,8,28,28,0,59,0,132,291,444,159,34,33,0,862,2269
33,Uttar Pradesh,Kanpur Nagar,103,137,34,35,141,120,21,39,7,126,519,1841,189,242,255,31,2217,5916
34,Uttar Pradesh,kheri,137,141,48,22,50,50,0,28,0,133,295,619,94,32,16,0,767,2382
35,Uttar Pradesh,Lalitpur,21,18,24,11,13,13,0,19,0,30,119,145,53,21,14,0,334,822
36,Uttar Pradesh,Lucknow,131,107,49,34,131,128,3,30,28,134,708,2531,243,213,290,6,2192,6827
37,Uttar Pradesh,Mainpuri,137,139,53,12,52,52,0,33,0,172,193,363,149,47,30,2,909,2291
38,Uttar Pradesh,Mathura,86,132,39,29,36,29,7,23,4,83,215,410,142,52,60,2,342,1655
39,Uttar Pradesh,Meerut,317,300,65,62,151,151,0,127,0,273,825,1944,425,163,88,3,1954,6697
40,Uttar Pradesh,Mirzapur,64,53,23,23,30,30,0,27,25,36,209,493,95,59,46,2,898,2083
41,Uttar Pradesh,Moradabad,299,301,30,63,231,231,0,49,31,283,566,2916,361,196,33,0,1677,7036
42,Uttar Pradesh,Muzaffaranagar,242,231,36,36,109,109,0,60,0,124,390,784,298,40,46,0,1021,3417
43,Uttar Pradesh,Nainital,64,39,19,19,39,39,0,24,0,40,253,440,78,3,24,0,777,1819
44,Uttar Pradesh,Pauri Garhwal,7,1,0,3,3,3,0,0,0,16,30,73,14,3,4,0,110,264
45,Uttar Pradesh,Pilibhit,68,64,21,26,42,40,2,14,0,73,268,369,51,32,35,0,874,1937
46,Uttar Pradesh,Pithoragarh,17,21,8,7,10,10,0,0,0,19,65,72,21,5,7,0,130,382
47,Uttar Pradesh,Pratapgarh,69,108,26,11,30,30,0,45,0,132,319,395,210,53,10,0,681,2089
48,Uttar Pradesh,Raibareli,95,57,34,27,30,30,0,79,0,70,254,380,97,51,32,0,714,1920
49,Uttar Pradesh,Rampur,102,109,25,28,36,36,0,25,1,72,155,384,48,33,40,0,689,1747
50,Uttar Pradesh,Shahjahanpur,189,150,58,40,77,77,0,18,9,120,199,548,92,63,33,0,933,2529
51,Uttar Pradesh,Saharanpur,146,225,48,39,114,0,114,55,18,126,553,1224,264,98,66,4,1466,4446
52,Uttar Pradesh,Sitapur,167,126,36,44,14,14,0,66,2,246,460,811,166,19,27,6,832,3022
53,Uttar Pradesh,Sultanpur,76,73,32,18,41,41,0,39,0,60,342,511,135,36,16,0,886,2265
54,Uttar Pradesh,Tehri Garhwal,15,20,9,1,12,0,12,10,0,29,82,73,24,5,6,1,149,436
55,Uttar Pradesh,Unnao,128,122,21,16,31,0,31,46,7,130,289,340,76,47,31,1,870,2155
56,Uttar Pradesh,Uttarkashi,10,3,3,3,2,2,0,6,0,0,35,65,27,7,0,0,76,237
57,Uttar Pradesh,Varanasi,109,154,64,20,71,71,0,39,45,63,648,979,184,94,82,5,1687,4244
58,Uttar Pradesh,G.R.P,48,31,7,10,37,24,13,27,25,91,8,4336,41,150,150,0,771,5732
59,Uttar Pradesh,Total,6502,6517,1951,1385,3346,2915,431,2297,445,6416,18987,41748,9411,3492,2880,99,54777,160253
1,West Bengal,24 Parganas North,130,0,54,33,86,86,0,60,0,53,172,3352,866,38,35,3,1724,6606
2,West Bengal,24 Parganas South,118,0,4,84,143,143,0,83,0,73,300,2916,502,120,93,10,1107,5553
3,West Bengal,Bankura,59,0,12,11,12,12,0,17,0,19,22,424,143,8,8,0,514,1249
4,West Bengal,Birbhum,52,0,17,38,33,33,0,21,0,28,61,464,368,34,16,1,739,1872
5,West Bengal,Burdwan,135,0,53,53,71,71,0,164,0,131,47,1618,566,73,54,0,1642,4607
6,West Bengal,Coochbehar,49,0,32,62,54,54,0,58,0,23,81,402,357,38,0,0,606,1762
7,West Bengal,Darjeeling,68,0,26,17,30,30,0,21,0,26,77,533,226,19,15,0,859,1917
8,West Bengal,Hooghly,72,0,32,32,55,55,0,57,0,34,67,1205,507,69,42,0,1432,3604
9,West Bengal,Howrah,71,0,23,25,36,36,0,34,0,44,80,1956,278,83,36,3,689,3358
10,West Bengal,Jalpaiguri,106,0,33,13,22,22,0,33,0,23,99,782,140,28,14,0,1274,2567
11,West Bengal,Malda,60,0,30,16,17,17,0,20,0,12,26,285,166,13,10,0,581,1236
12,West Bengal,Midnapur,85,0,36,44,54,54,0,24,0,34,163,824,743,30,60,1,2321,4419
13,West Bengal,Murshidabad,149,0,50,64,41,41,0,62,0,40,47,631,669,25,33,5,1173,2989
14,West Bengal,Nadia,101,0,14,83,75,75,0,52,0,25,97,1243,673,30,14,12,1076,3495
15,West Bengal,Purulia,50,0,17,16,9,9,0,15,0,5,36,470,106,13,11,0,888,1636
16,West Bengal,Uttar Dinajpur,79,0,51,22,28,28,0,66,0,47,147,1081,370,11,7,1,948,2858
17,West Bengal,Calcutta,56,166,10,18,116,84,32,23,6,180,387,7014,631,312,418,36,4279,13652
18,West Bengal,Total,1440,166,494,631,882,850,32,810,6,797,1909,25200,7311,944,866,72,21852,63380
1,A & N Island,A & N Island,13,5,1,4,4,4,0,3,0,5,109,130,33,12,7,2,569,897
1,Chandigarh,U.T. Chandigarh,14,8,1,4,19,15,4,0,0,14,233,769,20,32,52,1,567,1734
1,Dadar & Nagar Haveli,D & N Haveli,10,0,0,5,5,3,2,4,0,5,101,58,30,7,2,0,324,551
1,Daman & Diu,Daman & Diu,1,0,0,3,0,0,0,0,0,1,11,30,15,2,0,0,57,120
1,Delhi,Central,23,75,3,9,87,80,7,0,0,10,70,1123,4,86,95,10,1143,2738
2,Delhi,East,33,34,4,14,112,112,0,0,0,22,153,742,6,73,46,0,937,2176
3,Delhi,New Delhi,6,8,1,3,36,8,28,1,0,14,105,1201,13,36,112,20,910,2466
4,Delhi,North,21,26,5,11,46,46,0,0,1,21,63,1068,9,114,73,2,1103,2563
5,Delhi,North East,32,40,5,16,110,92,18,2,0,23,155,737,11,45,59,0,1005,2240
6,Delhi,North West,50,29,13,17,88,88,0,2,2,31,176,1030,25,80,61,1,1486,3091
7,Delhi,Palam Air Port,0,0,0,1,0,0,0,0,0,0,4,62,1,0,448,0,44,560
