SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
19,Rajasthan,Sirohi,13,1,1,11,NA,10,97,80,76,9,7,NA,660
20,Rajasthan,Kota,53,3,28,86,4,54,593,803,292,91,58,NA,4247
21,Rajasthan,Bundi,19,2,3,49,2,35,166,220,164,29,19,NA,1436
22,Rajasthan,Jhalawar,31,NA,22,49,NA,31,282,256,178,43,41,NA,1644
23,Rajasthan,Udaipur,53,6,14,230,5,82,417,792,562,110,154,NA,4750
24,Rajasthan,Banwara,17,5,12,31,1,25,185,191,268,33,32,NA,1406
25,Rajasthan,Chittorgarh,39,2,2,145,3,54,404,612,524,49,129,1,3432
26,Rajasthan,Dungarpur,14,1,1,32,NA,11,58,111,155,14,17,NA,780
27,Rajasthan,G.R.P.,3,NA,1,5,9,10,11,706,22,4,9,NA,915
1,Sikkam,North District,NA,NA,NA,NA,NA,NA,5,5,1,NA,NA,NA,23
2,Sikkam,East District,3,2,6,2,NA,5,13,60,2,8,6,2,159
3,Sikkam,West District,1,NA,NA,1,NA,2,5,17,NA,1,NA,NA,45
4,Sikkam,South District,4,NA,1,NA,NA,2,10,17,NA,NA,1,NA,68
1,Tamil Nadu,Chengalput East,33,NA,4,55,9,30,878,2463,719,35,45,NA,7121
2,Tamil Nadu,Chengalput West,32,NA,9,27,1,4,461,1274,464,23,17,13,4060
3,Tamil Nadu,South Arcot,87,NA,12,61,3,8,750,2226,1320,114,76,1,9566
4,Tamil Nadu,Thanjavur East,33,1,11,54,1,1,512,1218,615,60,26,2,5008
5,Tamil Nadu,Thanjavur West,87,NA,7,41,1,12,624,1270,627,61,34,10,6171
6,Tamil Nadu,Tiruchirapalli,113,NA,7,46,1,21,824,2663,691,99,101,11,8680
7,Tamil Nadu,Pudukkottai,27,NA,2,24,NA,12,195,468,424,23,15,2,2233
8,Tamil Nadu,Madurai South,62,NA,14,22,1,10,292,1334,859,77,57,21,4892
9,Tamil Nadu,Madurai North,80,1,11,36,1,15,475,1293,724,47,47,12,5579
10,Tamil Nadu,Ramnad East,67,2,6,21,4,19,257,491,768,31,19,4,3557
11,Tamil Nadu,Ramnad West,39,NA,7,11,NA,8,266,837,232,30,24,8,4166
12,Tamil Nadu,Tirunelveli,163,NA,35,69,2,28,628,1423,348,56,41,19,7951
13,Tamil Nadu,Kanyakumari,40,NA,6,26,1,8,273,464,995,32,26,8,3676
14,Tamil Nadu,Coimbatore Urban,49,NA,4,26,1,4,378,1351,466,83,53,8,4651
15,Tamil Nadu,Coimbatore Rural,58,NA,4,10,1,9,210,626,354,12,24,7,2764
16,Tamil Nadu,The Nilgiris,17,NA,3,3,1,11,214,286,177,5,14,3,1412
17,Tamil Nadu,Salem,133,1,8,46,NA,5,516,1343,646,56,60,9,5740
18,Tamil Nadu,Dharmapuri,61,NA,5,5,5,7,251,673,240,17,11,5,2710
19,Tamil Nadu,North Arcot,89,NA,10,26,7,20,980,2598,925,70,43,19,8376
20,Tamil Nadu,"Railway Police, Trichy",1,NA,2,NA,1,8,6,600,38,25,17,1,1000
21,Tamil Nadu,Madras City Police,49,5,10,82,3,50,690,7413,359,322,395,39,15694
22,Tamil Nadu,Periyar,71,NA,3,20,2,4,279,821,415,24,24,9,3464
1,Tripura,West Tripura District,48,NA,8,17,98,29,622,1653,118,2,17,2,2614
2,Tripura,South Tripura District,23,1,5,13,27,54,201,262,150,8,5,1,750
3,Tripura,North Tripura District,22,1,6,21,35,43,30,478,148,14,16,NA,814
1,Uttar Pradesh,Meerut,182,18,25,144,123,288,810,2603,345,181,137,NA,6822
2,Uttar Pradesh,Bulandshahr,189,40,36,56,169,177,810,1649,310,86,34,NA,4744
3,Uttar Pradesh,Muzaffaranagar,109,21,16,53,74,98,321,906,232,76,35,NA,3043
4,Uttar Pradesh,Saharanpur,99,23,15,71,72,101,464,1320,147,84,43,NA,3720
5,Uttar Pradesh,Ghaziabad,129,21,25,63,109,141,841,1879,336,130,94,3,5197
6,Uttar Pradesh,Varanasi,118,34,14,47,209,131,695,1553,350,175,79,22,5059
7,Uttar Pradesh,Mirzapur,78,19,12,19,62,52,354,750,164,47,28,NA,2411
8,Uttar Pradesh,Ghazipur,56,17,6,10,104,44,320,436,106,30,25,NA,1615
9,Uttar Pradesh,Jaunpur,64,22,2,18,106,86,449,525,238,59,18,NA,2310
10,Uttar Pradesh,Ballia,34,29,7,18,65,29,380,503,181,53,28,NA,2048
11,Uttar Pradesh,Sitapur,155,85,19,67,163,111,493,1091,132,41,32,NA,3228
12,Uttar Pradesh,Hardoi,172,55,32,82,127,307,637,1117,206,43,44,NA,3827
13,Uttar Pradesh,kheri,119,43,24,75,76,141,440,1062,152,58,11,NA,3109
14,Uttar Pradesh,Rae Bareli,56,23,15,40,98,29,134,211,73,27,3,NA,1160
15,Uttar Pradesh,Unnao,175,23,30,28,184,201,487,726,112,29,25,2,2967
16,Uttar Pradesh,Fatehpur,131,67,11,18,198,139,357,410,62,22,14,NA,1810
17,Uttar Pradesh,Allahabad,186,70,30,57,215,165,949,1947,279,141,136,NA,5910
18,Uttar Pradesh,Etawah,121,23,11,100,153,216,501,905,172,56,27,NA,2859
19,Uttar Pradesh,Farrukhabad,145,30,16,79,153,142,508,1006,123,56,29,1,3321
20,Uttar Pradesh,Bareilly,162,38,23,86,143,151,678,2279,195,169,84,NA,5489
21,Uttar Pradesh,Badaun,169,51,32,65,132,140,345,422,187,47,21,NA,2797
22,Uttar Pradesh,Moradabad,235,18,39,39,162,292,643,3474,306,158,68,NA,7006
23,Uttar Pradesh,Pilibhit,75,16,8,37,41,70,258,483,54,33,24,NA,1668
24,Uttar Pradesh,Shahjahanpur,138,28,32,51,94,127,274,887,139,65,29,NA,2805
25,Uttar Pradesh,Rampur,61,13,13,40,50,69,264,612,55,31,30,NA,1889
26,Uttar Pradesh,Bijnor,86,25,23,55,51,52,253,55,336,130,94,NA,5197
27,Uttar Pradesh,Agra,147,50,25,172,219,230,988,2324,473,139,109,2,6967
28,Uttar Pradesh,Mathura,71,13,11,33,100,61,368,588,193,73,29,NA,2321
29,Uttar Pradesh,Etah,221,17,18,144,154,138,515,846,2,56,25,229,3552
30,Uttar Pradesh,Aligarh,148,22,19,81,148,115,619,1410,301,107,58,NA,4464
31,Uttar Pradesh,Mainpuri,151,36,14,75,137,189,404,723,262,36,20,1,2954
32,Uttar Pradesh,Gorakhpur,148,44,28,75,245,168,917,1739,426,131,93,2,5778
33,Uttar Pradesh,Azamgarh,78,51,7,33,156,117,700,1151,347,64,54,NA,4181
34,Uttar Pradesh,Basti,99,40,16,55,155,93,698,996,315,85,43,NA,3779
35,Uttar Pradesh,Deoria,67,31,11,22,82,63,506,697,160,46,34,1,2759
36,Uttar Pradesh,Faizabad,70,29,28,56,104,92,671,1137,300,83,54,NA,3800
37,Uttar Pradesh,Bahraich,75,18,11,100,111,81,529,864,189,36,29,NA,2862
38,Uttar Pradesh,Barabanki,129,17,19,44,101,116,629,833,205,45,25,NA,2834
39,Uttar Pradesh,Gonda,83,47,16,70,148,231,663,1102,197,102,53,NA,3697
40,Uttar Pradesh,Pratapgarh,38,55,7,43,115,83,343,489,257,41,38,NA,2233
41,Uttar Pradesh,Sultanpur,53,69,13,21,72,79,559,698,206,50,25,NA,2590
42,Uttar Pradesh,Jhansi,44,20,12,18,44,81,384,695,115,41,24,NA,2199
43,Uttar Pradesh,Banda,122,22,21,15,165,176,390,389,153,27,23,NA,1948
44,Uttar Pradesh,Hamirpur,114,20,9,9,82,86,250,288,65,19,15,NA,1454
45,Uttar Pradesh,Jalaun,74,9,8,30,43,97,298,386,107,16,19,NA,768
46,Uttar Pradesh,Lalitpur,23,10,13,13,48,40,111,180,1,21,10,1,1657
47,Uttar Pradesh,Nainital,57,15,21,64,36,70,469,1138,195,97,41,NA,3095
48,Uttar Pradesh,Almora,2,1,NA,2,3,2,31,38,6,6,4,1,151
49,Uttar Pradesh,Pithoragarh,7,3,1,9,14,5,84,45,30,22,3,NA,368
50,Uttar Pradesh,Dehradun,22,10,7,41,17,40,223,662,98,57,20,NA,1642
51,Uttar Pradesh,Uttarkashi,4,2,1,2,5,11,48,39,21,3,2,NA,199
52,Uttar Pradesh,Terhi Garhwal,2,NA,NA,2,2,11,42,64,30,7,2,NA,236
53,Uttar Pradesh,Chamoli,6,1,1,4,3,18,30,51,22,6,6,NA,214
54,Uttar Pradesh,Pauri Garhwal,2,1,NA,6,7,12,64,45,23,9,2,NA,243
55,Uttar Pradesh,Govt. Railway Police,33,11,11,32,60,105,22,5931,47,165,91,2,7023
1,West Bengal,Bankura,38,14,12,13,62,29,99,791,505,38,9,NA,2161
2,West Bengal,Birbhum,58,22,19,15,70,46,198,693,502,37,17,NA,2320
3,West Bengal,Burdwan,149,43,33,79,149,122,279,3603,1135,88,48,NA,8408
4,West Bengal,Hooghly,71,29,32,63,39,97,297,1811,774,71,59,1,5043
5,West Bengal,Purulia,46,13,8,19,75,19,91,940,419,22,21,NA,2484
6,West Bengal,24 Parganas,237,59,107,284,177,156,741,7839,2923,258,182,5,19661
7,West Bengal,Murshidabad,95,52,43,35,82,37,171,1284,915,56,23,NA,3963
8,West Bengal,Nadia,110,26,60,68,121,83,293,2479,1003,54,36,NA,6157
9,West Bengal,West Dinajpur,89,67,28,26,149,66,215,1401,506,40,15,NA,3300
10,West Bengal,Jalpaiguri,88,42,29,29,70,90,299,1402,278,41,22,2,3507
11,West Bengal,Malda,60,46,13,19,43,9,105,537,298,34,13,NA,1814
12,West Bengal,Darjeeling,42,18,17,26,27,44,67,584,146,68,22,4,1990
13,West Bengal,Coochbehar,31,21,29,26,51,89,359,673,454,26,9,NA,2462
14,West Bengal,Howrah,76,13,14,49,64,34,114,2166,668,185,81,NA,5316
15,West Bengal,Midnapur,103,32,36,65,69,42,527,1871,1778,74,70,2,6670
1,Andaman & Nicobar Islands,Andamans,6,1,1,9,NA,5,79,210,43,10,1,NA,737
1,Arunachal Pradesh,Kameng ,4,NA,2,1,1,6,22,32,2,2,NA,NA,150
2,Arunachal Pradesh,Lower Subonsiri,3,NA,NA,3,NA,1,5,14,1,2,1,NA,72
3,Arunachal Pradesh,Upper Subonsiri ,3,NA,1,4,NA,2,17,35,1,3,2,NA,147
4,Arunachal Pradesh,East Siang ,2,1,2,4,2,9,9,41,2,1,2,NA,149
5,Arunachal Pradesh,West Siang ,1,NA,2,1,NA,3,18,24,7,1,1,NA,125
6,Arunachal Pradesh,Debang Vally,1,NA,2,NA,NA,1,10,13,NA,1,NA,NA,28
7,Arunachal Pradesh,Lohit,1,NA,NA,5,1,3,2,34,2,2,3,NA,90
8,Arunachal Pradesh,Tirap,2,2,NA,2,1,3,11,22,2,2,2,NA,80
1,Chandigarh,U.T. of Chandigarh,9,4,3,30,NA,5,87,843,21,50,70,NA,1683
1,Dadar & Nagar Haveli,U.T. of Dadar & Nagar Haveli,2,NA,NA,3,1,3,25,44,41,12,5,NA,192
1,Delhi,North,53,59,21,172,8,72,418,4277,68,243,197,5,7962
2,Delhi,Central,30,35,10,101,6,25,220,2878,21,55,124,5,4799
3,Delhi,East,45,48,18,170,22,17,380,1684,25,30,74,NA,3738
4,Delhi,New Delhi,6,8,6,45,NA,11,138,2565,7,51,59,4,3678
5,Delhi,West,29,33,10,111,4,16,196,1043,18,42,46,NA,2740
6,Delhi,Crime & Railway,5,1,NA,7,NA,9,NA,629,NA,48,8,1,746
7,Delhi,Palam Airport,NA,NA,NA,1,NA,1,5,82,NA,4,12,1,121
8,Delhi,South,31,46,14,119,7,36,377,4095,26,64,69,NA,6852
1,Daman & Diu,Goa,16,6,4,17,6,58,642,1013,226,49,41,12,3298
2,Daman & Diu,Daman,5,NA,1,2,1,1,9,30,9,4,2,NA,97
3,Daman & Diu,Diu,NA,1,NA,NA,NA,NA,4,1,8,NA,NA,NA,23
1,Lakshadweep,Lakshadweep,NA,NA,NA,NA,NA,NA,4,3,21,1,NA,NA,12
1,Mizoram,Aizawl,9,5,18,4,3,21,31,171,5,12,17,4,831
2,Mizoram,Lunglei,8,NA,6,NA,1,4,12,50,NA,4,NA,1,380
3,Mizoram,Chimtuipui,2,2,5,1,NA,8,3,33,NA,10,3,NA,295
1,Pondicherry,UT of Pondicherry,11,NA,5,13,1,6,237,1273,207,42,24,NA,2914
