SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
13,Gujarat,Meshana,51,36,0,4,81,75,6,13,0,57,355,1035,284,204,214,4,4158,6496
14,Gujarat,Panchmahals,104,18,0,13,52,52,0,36,0,65,369,557,105,148,168,13,4301,5949
15,Gujarat,Patan,35,32,0,7,18,16,2,32,0,35,185,632,136,37,107,3,2439,3698
16,Gujarat,Porbandar,9,17,0,5,8,5,3,2,0,15,40,110,14,8,13,3,901,1145
17,Gujarat,Rajkot Rural,26,24,0,4,27,18,9,7,0,30,210,723,46,143,150,7,2038,3435
18,Gujarat,Rajkot Commr.,44,83,0,21,30,29,1,5,0,44,227,737,78,168,141,4,3325,4907
19,Gujarat,Sabarkantha,55,22,0,11,37,37,0,5,0,22,260,457,117,117,112,4,3609,4828
20,Gujarat,Surat Commr.,162,58,1,17,52,31,21,138,0,58,387,1472,405,76,230,4,1807,4867
21,Gujarat,Surat Rural,83,20,0,16,39,39,0,19,0,26,138,377,73,43,95,3,2764,3696
22,Gujarat,Surendranagar,36,26,0,12,14,9,5,4,0,25,186,418,53,45,71,6,2242,3138
23,Gujarat,Vadodara Commr.,52,31,2,4,50,36,14,9,0,38,445,1960,348,149,282,9,3780,7159
24,Gujarat,Vadodara Rural,89,22,0,32,49,48,1,2,0,32,202,666,67,258,26,1,3603,5049
25,Gujarat,Valsad,102,18,2,11,12,10,2,18,0,22,263,583,39,72,94,16,2860,4112
26,Gujarat,W.Rly,33,5,0,2,8,6,2,8,0,18,28,1581,11,31,16,0,524,2265
27,Gujarat,Total,1622,923,11,346,1138,972,166,478,0,1148,6902,23623,3280,2960,3881,181,81662,128155
1,Haryana,Ambala,24,12,3,8,23,19,4,2,0,13,210,268,3,19,26,2,1031,1644
2,Haryana,Bhiwani,30,11,4,11,20,10,10,0,1,15,116,196,55,26,25,0,1417,1927
3,Haryana,Faridabad,59,40,10,32,49,34,15,7,2,23,347,523,74,32,71,2,2991,4262
4,Haryana,Gurgaon,44,45,5,14,32,20,12,8,8,12,223,393,47,24,31,1,1344,2231
5,Haryana,Hissar,79,56,6,11,43,30,13,8,4,37,210,340,35,41,65,1,2540,3476
6,Haryana,Jind,34,20,3,12,6,6,0,1,0,11,76,114,82,54,3,0,758,1174
7,Haryana,Kaithal,16,8,3,7,7,5,2,1,0,3,63,90,4,11,9,0,350,572
8,Haryana,Karnal,41,18,4,26,18,12,6,2,1,6,201,318,24,16,39,0,1200,1914
9,Haryana,Kurukshetra,12,2,2,15,11,9,2,3,1,11,114,169,4,7,29,0,535,915
10,Haryana,Mahendragarh,15,2,4,5,11,4,7,0,2,3,63,93,25,9,19,0,1052,1303
11,Haryana,Panipat,35,11,5,15,23,21,2,5,1,4,186,215,26,10,33,1,790,1360
12,Haryana,Rewari,17,5,3,4,14,11,3,0,1,3,90,158,33,13,7,2,832,1182
13,Haryana,Rohtak,72,38,29,21,22,13,9,5,3,26,226,421,66,29,45,9,1679,2691
14,Haryana,Sirsa,52,26,1,10,24,16,8,4,0,42,164,132,22,17,38,0,1048,1580
15,Haryana,Sonipat,43,37,5,22,15,5,10,5,0,22,191,239,12,31,27,0,1739,2388
16,Haryana,Yamunanagar,12,7,3,6,18,16,2,4,1,13,160,237,8,10,14,2,544,1039
17,Haryana,GRP,2,1,0,0,0,0,0,0,0,2,0,110,10,1,6,0,456,588
18,Haryana,Total,587,339,90,219,336,231,105,55,25,246,2640,4016,530,350,487,20,20306,30246
1,Himachal Pradesh,Bilaspur,5,5,0,0,10,10,0,0,0,3,54,40,58,6,10,1,325,517
2,Himachal Pradesh,Chamba,13,6,8,8,17,17,0,0,0,2,126,88,34,5,6,0,324,637
3,Himachal Pradesh,Hamirpur,3,7,1,5,7,5,2,0,0,1,32,37,19,5,8,0,322,447
4,Himachal Pradesh,Kangra,30,9,3,8,29,28,1,3,0,9,174,167,98,16,19,2,949,1516
5,Himachal Pradesh,Kinnaur,0,2,1,5,8,8,0,0,0,3,41,37,15,6,3,0,92,213
6,Himachal Pradesh,Kullu,11,4,0,8,11,11,0,0,0,3,50,43,14,4,14,1,292,455
7,Himachal Pradesh,Lahaul & Spiti,0,0,0,0,1,1,0,0,0,0,7,2,0,1,1,0,18,30
8,Himachal Pradesh,Mandi,19,11,3,11,16,12,4,1,0,4,126,138,50,20,10,1,875,1285
9,Himachal Pradesh,Shimla,14,5,4,19,33,28,5,2,0,5,161,256,179,35,41,4,1183,1941
10,Himachal Pradesh,Sirmaur,14,2,1,9,14,12,2,0,0,2,56,74,44,1,5,0,377,599
11,Himachal Pradesh,Solan,11,3,3,7,6,6,0,1,0,1,82,100,29,13,11,0,456,723
12,Himachal Pradesh,UNA,11,3,0,3,14,12,2,0,0,1,48,42,30,10,12,0,322,496
13,Himachal Pradesh,Rly. & Traffic,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5
14,Himachal Pradesh,Total,131,57,24,83,166,150,16,7,0,34,958,1026,570,122,140,9,5537,8864
1,Jammu Kashmir,Anantnag,80,0,1,1,21,10,11,8,0,3,147,54,27,2,7,0,339,690
2,Jammu Kashmir,Badgam,33,2,0,1,6,5,1,1,0,0,19,14,21,1,0,0,70,168
3,Jammu Kashmir,Baramulla,169,132,11,2,46,18,28,2,0,8,153,184,72,6,12,0,380,1177
4,Jammu Kashmir,Doda,14,21,0,14,36,36,0,16,0,13,91,104,79,7,5,0,625,1025
5,Jammu Kashmir,Jammu,74,233,1,31,83,83,0,12,0,19,532,1182,203,33,72,0,3124,5599
6,Jammu Kashmir,Kargil,2,1,0,0,0,0,0,0,0,0,4,5,8,1,1,0,71,93
7,Jammu Kashmir,Kathua,12,26,2,9,23,21,2,0,0,8,67,113,94,4,9,0,660,1027
8,Jammu Kashmir,Kupwara,136,19,0,4,8,8,0,0,0,4,84,82,41,4,6,0,213,601
9,Jammu Kashmir,Leh,0,0,0,0,7,7,0,0,0,0,21,14,4,0,1,0,80,127
10,Jammu Kashmir,Pulwama,49,41,0,1,9,5,4,0,0,4,62,27,4,5,2,0,98,302
11,Jammu Kashmir,Punch,7,20,1,6,15,15,0,0,0,0,23,185,62,2,9,0,371,701
12,Jammu Kashmir,Rajouri,16,22,1,22,20,20,0,0,0,2,71,114,19,8,8,0,673,976
13,Jammu Kashmir,Srinagar,74,14,1,5,34,34,0,11,0,8,421,262,66,20,23,0,595,1534
14,Jammu Kashmir,Udhampur,22,41,0,23,40,40,0,3,0,8,125,233,28,6,13,0,921,1463
15,Jammu Kashmir,Railways,1,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,22
16,Jammu Kashmir,Total,689,573,18,119,348,302,46,53,0,77,1820,2589,728,99,168,0,8224,15505
1,Karnataka,Bangalore Commr.,151,205,2,27,84,30,54,43,0,172,1830,7793,618,262,716,2056,12288,26247
2,Karnataka,Bangalore Rural,90,20,1,17,22,8,14,8,0,24,504,674,383,32,25,5,3052,4857
3,Karnataka,Belgaum,153,28,2,4,24,10,14,19,0,32,488,354,543,26,88,35,2550,4346
4,Karnataka,Bellary,51,14,9,6,12,12,0,18,0,13,222,436,330,14,23,4,1853,3005
5,Karnataka,Bidar,36,28,2,1,8,4,4,9,0,13,140,240,439,9,22,2,1358,2307
6,Karnataka,Bijapur,94,10,2,4,38,27,11,24,2,19,196,471,710,15,74,6,2694,4359
7,Karnataka,Chickmagalur,34,6,0,2,2,2,0,0,0,10,207,330,113,15,12,0,1569,2300
8,Karnataka,ChitraDurga,78,25,9,14,30,27,3,43,0,29,591,362,1351,18,29,5,3113,5697
9,Karnataka,Dharwad Commr.,31,9,0,3,13,6,7,12,1,26,231,383,150,23,59,1,720,1662
10,Karnataka,Dharwad Rural,84,12,3,13,16,10,6,25,0,16,231,309,551,33,41,2,2184,3520
11,Karnataka,Gulbarga,55,16,6,8,25,24,1,47,0,51,294,290,475,14,41,4,1648,2974
12,Karnataka,Hassan,56,10,1,7,13,9,4,8,0,22,401,328,298,5,14,14,1608,2785
13,Karnataka,K.G.F.,12,2,0,6,15,15,0,11,0,4,202,212,77,5,6,3,1604,2159
14,Karnataka,Kannada North,18,8,9,2,4,0,4,1,0,10,142,287,146,14,34,10,278,963
15,Karnataka,Kannada South,56,24,4,11,14,10,4,7,0,27,489,350,1081,23,32,10,1988,4116
16,Karnataka,Kodagu,36,8,1,0,2,0,2,2,0,10,241,176,51,10,9,0,1158,1704
17,Karnataka,Kolar,70,15,8,10,26,26,0,23,0,6,284,356,340,24,82,4,1604,2852
