SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
8,Rajasthan,Bikaner,25,5,17,23,11,62,172,377,298,35,64,NA,2056
9,Rajasthan,Churu,19,1,12,16,4,25,89,164,231,28,64,NA,1562
10,Rajasthan,Ganganagar,118,NA,31,70,8,50,276,446,122,48,78,NA,3764
11,Rajasthan,Bharatpur,44,1,20,56,17,46,273,811,833,21,83,NA,3396
12,Rajasthan,Alwar,58,1,11,56,10,83,350,846,823,57,103,1,3678
13,Rajasthan,Sawai Madhopur,43,NA,27,74,16,90,303,528,812,40,49,NA,3142
14,Rajasthan,Dholpur,22,8,3,40,8,76,142,384,373,8,14,NA,1468
15,Rajasthan,Jodhpur,40,NA,13,48,6,76,285,454,409,34,86,NA,2818
16,Rajasthan,Jalore,23,2,3,8,NA,18,48,126,74,40,10,NA,989
17,Rajasthan,Jaisalmer,2,NA,1,3,NA,12,21,87,44,2,1,NA,408
18,Rajasthan,Barmer,13,1,9,25,NA,54,94,285,158,6,54,NA,1520
19,Rajasthan,Pali,23,2,15,33,1,32,151,356,244,38,49,NA,2356
20,Rajasthan,Sirohi,22,3,NA,10,1,13,102,83,75,16,4,NA,695
21,Rajasthan,Kota,59,NA,42,76,21,91,535,795,406,86,69,1,4656
22,Rajasthan,Bundi,19,1,5,55,2,28,164,252,153,41,25,NA,1705
23,Rajasthan,Jhalawar,34,NA,17,54,3,52,273,285,261,30,41,NA,1950
24,Rajasthan,Udaipur,43,1,13,217,1,105,469,722,873,101,175,NA,5349
25,Rajasthan,Banswara,32,1,15,50,2,30,178,251,345,41,19,NA,1864
26,Rajasthan,Chittorgarh,42,3,12,168,1,68,382,712,677,58,144,NA,4303
27,Rajasthan,Dungarpur,19,1,2,32,NA,16,98,106,195,11,9,NA,1097
28,Rajasthan,C.R.P. Ajmer,5,NA,3,5,2,8,9,972,12,9,13,NA,1228
1,Sikkam,North District,1,NA,NA,NA,1,NA,1,4,1,NA,NA,NA,15
2,Sikkam,East District,9,1,4,NA,1,2,16,55,2,7,4,NA,139
3,Sikkam,West District,1,NA,NA,NA,1,2,1,12,NA,1,NA,NA,35
4,Sikkam,South District,2,NA,NA,NA,NA,2,3,15,NA,1,1,NA,37
1,Tamil Nadu,Chingleput East,44,NA,19,53,6,42,838,2247,639,37,61,6,7000
2,Tamil Nadu,Chinglepat West,39,2,5,33,1,7,368,1022,521,15,31,2,4053
3,Tamil Nadu,South Arcot,4,2,11,58,9,8,675,1946,1203,129,49,15,9293
4,Tamil Nadu,North Arcot,88,1,15,29,3,10,728,2330,999,59,49,7,8041
5,Tamil Nadu,Dharmapuri,60,NA,3,14,7,1,227,489,252,57,11,4,2596
6,Tamil Nadu,Salem,112,1,5,43,5,11,499,1088,646,23,31,11,5515
7,Tamil Nadu,Coimbatore Urban,30,NA,5,24,NA,10,387,1256,393,40,75,7,4437
8,Tamil Nadu,Coimbatore Rural,56,NA,1,13,4,8,225,624,383,17,11,2,2756
9,Tamil Nadu,Periyar,75,1,4,23,NA,9,291,669,369,23,15,NA,3278
10,Tamil Nadu,Nilriris,12,NA,5,7,1,7,171,218,110,14,13,NA,1310
11,Tamil Nadu,Tiruchirapalli,94,NA,8,59,NA,15,697,2119,523,109,96,15,7927
12,Tamil Nadu,Thanjavur East,42,NA,8,55,1,5,463,1138,557,64,40,2,4898
13,Tamil Nadu,Thanjavur West,93,NA,8,48,NA,12,602,1160,494,61,44,4,5606
14,Tamil Nadu,Pudukkottai,27,1,4,30,3,11,188,490,400,23,17,1,2427
15,Tamil Nadu,Madurai South,80,NA,7,34,NA,12,281,1244,556,96,75,13,4701
16,Tamil Nadu,Madurai North,70,1,11,50,NA,12,397,1149,847,44,54,13,5877
17,Tamil Nadu,Ramananthapuram East,57,1,6,32,8,21,214,467,642,38,15,3,3668
18,Tamil Nadu,Ramananthapuram West,45,NA,4,12,6,18,232,628,141,23,30,5,4016
19,Tamil Nadu,Tirunelveli,173,NA,24,115,4,40,623,1442,293,64,30,12,10086
20,Tamil Nadu,Kanyakumari,42,NA,6,26,1,3,231,353,867,10,5,9,3644
21,Tamil Nadu,"Railway Police, Tiruchirappali",NA,NA,1,1,NA,8,3,511,11,7,10,NA,906
22,Tamil Nadu,Madras City Police,34,2,19,46,NA,51,511,5993,211,213,429,53,13375
1,Tripura,West Tripura District,41,2,8,31,113,76,560,819,228,14,9,NA,2972
2,Tripura,North Tripura District,33,1,6,29,50,53,210,230,101,25,5,NA,1224
3,Tripura,South Tripura District,24,20,4,13,35,46,231,312,117,4,6,NA,1290
1,Uttar Pradesh,Saharanpur,194,43,26,71,60,121,439,1002,255,69,51,NA,3413
2,Uttar Pradesh,Muzaffaranagar,112,54,19,73,96,68,483,1721,197,41,39,NA,2634
3,Uttar Pradesh,Meerut,224,4116,22,104,196,165,665,2008,345,139,47,NA,5108
4,Uttar Pradesh,Bulandshahr,270,51,35,86,131,159,746,1411,279,91,52,NA,4179
5,Uttar Pradesh,Ghaziabad,135,29,16,76,193,117,466,1682,272,233,84,NA,4254
6,Uttar Pradesh,Aligarh,166,26,10,61,138,150,651,1111,293,103,48,NA,3862
7,Uttar Pradesh,Mathura,86,17,9,38,90,80,470,622,218,52,46,NA,2569
8,Uttar Pradesh,Agra,164,39,24,178,186,299,1095,2482,494,190,126,NA,7364
9,Uttar Pradesh,Mainpuri,163,13,10,70,131,193,629,791,296,46,24,NA,2981
10,Uttar Pradesh,Etah,181,17,11,82,125,94,461,631,236,48,37,NA,2630
11,Uttar Pradesh,Bareilly,137,28,30,73,99,171,673,2112,200,46,91,NA,5247
12,Uttar Pradesh,Budaun,180,34,23,30,99,273,290,632,149,44,28,NA,2517
13,Uttar Pradesh,Pilibhit,91,16,9,40,31,96,326,460,53,22,12,NA,1592
14,Uttar Pradesh,Shahjahanpur,151,32,26,50,78,94,335,804,128,79,21,NA,2719
15,Uttar Pradesh,Moradabad,281,22,33,2,75,287,658,3084,352,44,47,NA,6895
16,Uttar Pradesh,Bijnor,87,35,14,55,39,88,345,632,149,47,36,NA,2312
17,Uttar Pradesh,Rampur,64,6,13,23,31,50,201,486,45,38,21,NA,1742
18,Uttar Pradesh,Fatehgarh,130,33,10,57,131,116,361,653,121,61,35,1,2619
19,Uttar Pradesh,Kanpur Nagar,119,35,23,123,43,159,739,2291,249,240,216,19,6016
20,Uttar Pradesh,Kanpur Rural,99,16,26,35,91,118,578,588,150,42,17,NA,2271
21,Uttar Pradesh,Fatehpur,101,83,17,21,87,95,384,384,186,30,11,NA,1807
22,Uttar Pradesh,Allahabad,181,76,17,66,148,178,813,1723,305,125,93,2,5678
23,Uttar Pradesh,Etawah,111,20,9,78,93,170,470,550,198,430,29,1,2734
24,Uttar Pradesh,Jhansi,62,12,9,19,28,90,272,573,167,46,27,NA,1941
25,Uttar Pradesh,Jalaun,81,9,13,15,35,70,309,360,112,45,25,NA,1678
26,Uttar Pradesh,Hamirpur,84,14,5,5,68,64,258,296,62,26,9,NA,1369
27,Uttar Pradesh,Banda,135,28,16,19,71,182,352,354,132,29,31,NA,1917
28,Uttar Pradesh,Lalitpur,15,8,9,9,30,33,90,146,35,15,5,NA,720
29,Uttar Pradesh,Varanasi,99,36,12,44,235,109,693,1326,398,175,64,3,4685
30,Uttar Pradesh,Mirzapur,39,30,5,17,47,34,368,675,194,38,34,NA,2036
31,Uttar Pradesh,Jaunpur,57,29,14,23,75,44,450,659,162,59,22,1,1982
32,Uttar Pradesh,Ghazipur,50,9,NA,12,50,17,332,410,115,27,7,1,1230
33,Uttar Pradesh,Ballia,42,12,5,11,34,17,366,622,192,27,12,1,1812
34,Uttar Pradesh,Gorakhpur,30,7,6,20,15,38,311,628,71,39,28,2,4753
35,Uttar Pradesh,Basti,104,18,19,51,119,88,714,818,319,52,44,NA,3441
36,Uttar Pradesh,Azamgarh,102,40,8,26,103,55,521,951,263,83,51,NA,3542
37,Uttar Pradesh,Deoria,6,1,NA,NA,4,2,125,130,84,19,6,NA,2406
38,Uttar Pradesh,Lucknow,142,22,26,125,90,192,1201,4236,268,176,148,7,9099
39,Uttar Pradesh,Unnao,155,26,15,20,97,117,511,523,108,34,25,2,2540
40,Uttar Pradesh,Rae Bareli,54,22,12,17,50,39,178,707,67,29,7,NA,1126
41,Uttar Pradesh,Sitapur,179,90,18,70,150,189,599,1020,202,44,28,1,3515
42,Uttar Pradesh,Hardoi,183,50,42,46,104,289,697,798,255,84,32,NA,3724
43,Uttar Pradesh,kheri,133,53,22,83,76,126,370,1053,168,48,23,NA,3140
44,Uttar Pradesh,Faizabad,83,31,18,61,104,99,559,937,306,76,36,1,3411
45,Uttar Pradesh,Gonda,82,37,12,61,105,194,617,771,187,52,77,NA,2161
46,Uttar Pradesh,Bahraich,82,24,12,84,66,71,353,800,195,68,23,NA,2512
47,Uttar Pradesh,Sultanpur,58,55,10,116,62,81,485,586,169,62,17,1,2424
48,Uttar Pradesh,Pratapgarh,82,24,12,84,66,71,353,800,195,68,23,NA,2161
49,Uttar Pradesh,Barabanki,82,37,12,61,105,194,617,771,187,52,77,NA,3122
50,Uttar Pradesh,Nainital,8,NA,2,NA,4,13,9,17,14,1,1,NA,2467
51,Uttar Pradesh,Pithoragarh,9,2,3,6,NA,11,54,73,21,14,2,NA,297
52,Uttar Pradesh,Almora,5,NA,NA,3,1,5,41,38,9,12,1,1,244
53,Uttar Pradesh,Dehradun,21,12,2,43,9,29,205,400,65,27,17,1,1274
54,Uttar Pradesh,Chamoli,4,NA,NA,3,4,11,4,21,20,5,2,NA,207
55,Uttar Pradesh,Tehri Garhwal,4,1,NA,4,NA,6,49,57,16,6,7,NA,207
56,Uttar Pradesh,Pauri Garhwal,3,1,4,6,2,10,66,76,18,2,3,NA,222
57,Uttar Pradesh,Uttarkashi,NA,NA,1,6,4,13,33,61,144,8,9,NA,240
58,Uttar Pradesh,Govt. Railway Police,41,4,17,32,40,146,23,5748,33,143,113,1,6920
1,West Bengal,Bankura,43,18,11,21,60,54,7,1032,528,8,8,NA,2114
2,West Bengal,Birbhum,46,15,27,12,54,38,122,769,358,36,15,1,2148
3,West Bengal,Burdwan,176,57,30,76,135,148,164,3142,900,64,49,3,6916
4,West Bengal,Hooghly,67,36,36,60,202,62,237,1662,727,117,39,3,5018
5,West Bengal,Purulia,40,11,10,14,66,22,66,874,449,10,19,NA,2345
6,West Bengal,24 Parganas,236,101,110,253,185,195,702,7352,2964,267,187,14,19159
7,West Bengal,Murshidabad,103,106,43,56,89,48,116,1272,849,38,37,NA,3297
8,West Bengal,Madia,113,38,75,83,131,74,256,2328,926,47,25,NA,5823
9,West Bengal,West Dinajpur,56,76,21,21,159,94,247,1403,476,40,9,2,3343
10,West Bengal,Jalpaiguri,68,33,17,32,64,85,298,1501,346,34,21,NA,3582
11,West Bengal,Malda,68,40,13,26,31,13,80,441,269,56,15,NA,1679
12,West Bengal,Darjeeling,59,35,8,21,19,42,95,799,161,36,11,1,2145
13,West Bengal,Coochbehar,39,28,18,25,40,54,258,690,487,17,14,NA,2366
14,West Bengal,Howrah,48,14,14,42,42,33,131,1415,530,90,162,2,4169
15,West Bengal,Midnapur,87,45,39,53,69,69,420,2050,406,102,62,6,6026
1,Andaman & Nicobar Islands,Andemans,7,NA,NA,6,NA,NA,71,199,42,7,3,NA,702
1,Arunachal Pradesh,Tirap,3,NA,NA,5,1,3,17,36,5,1,NA,NA,207
2,Arunachal Pradesh,Lohit,8,NA,NA,1,2,3,10,28,2,1,1,NA,101
3,Arunachal Pradesh,Debang Vally,NA,NA,1,3,NA,4,13,13,NA,1,1,NA,64
4,Arunachal Pradesh,East Siang,NA,1,3,1,2,2,14,24,4,NA,NA,NA,148
5,Arunachal Pradesh,West Siang,3,NA,1,7,1,NA,11,30,4,2,1,NA,112
6,Arunachal Pradesh,Upper Subonsiri,2,1,NA,1,1,2,1,19,NA,NA,NA,NA,27
7,Arunachal Pradesh,Lower Subonsiri,7,NA,3,2,2,4,26,34,3,NA,1,NA,184
8,Arunachal Pradesh,Kameng,7,2,3,1,NA,3,35,40,NA,6,NA,NA,168
1,Chandigarh,U.T. of Chandigarh,12,3,5,18,NA,9,80,858,15,40,67,NA,1617
1,Dadar & Nagar Haveli,U.T. of Dadar & Nagar Haveli,7,NA,2,2,NA,2,40,49,10,12,4,NA,128
1,Delhi,North,49,66,13,145,11,50,329,3411,61,152,162,3,6800
2,Delhi,Central,35,48,13,118,6,24,207,2545,25,63,110,2,4748
3,Delhi,East,48,32,11,143,17,20,303,1238,19,29,68,1,3151
4,Delhi,New Delhi,4,5,6,30,NA,17,93,1769,9,25,41,10,2904
5,Delhi,South,55,30,20,98,11,31,460,3326,32,65,129,2,6167
6,Delhi,West,42,52,10,106,5,13,151,849,14,42,39,NA,2739
7,Delhi,Crime & Railway,4,4,NA,1,1,1,NA,465,3,17,4,2,551
8,Delhi,Palam Airport,NA,1,NA,1,NA,NA,2,52,NA,6,24,NA,103
1,Daman & Diu,Goa,22,3,2,11,5,43,586,852,260,40,44,5,3117
2,Daman & Diu,Daman,NA,1,NA,NA,NA,1,9,14,8,2,NA,NA,79
3,Daman & Diu,Diu,1,NA,NA,NA,NA,NA,3,5,5,NA,1,NA,22
1,Lakshadweep,Lakshadweep,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,15
1,Mizoram,Aizawl,21,9,24,5,5,24,35,154,2,13,20,5,1102
2,Mizoram,Lunglei,4,NA,3,2,NA,4,12,13,NA,7,3,NA,303
3,Mizoram,Chimtuipui,3,NA,4,2,2,5,4,16,NA,22,3,1,304
1,Pondicherry,Pondicherry,7,NA,4,15,4,8,182,953,128,39,38,3,2575
