SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
2,Nagaland,Mon,12,NA,1,2,2,13,14,8,NA,1,15,NA,150
3,Nagaland,Tuensang,4,NA,1,NA,2,11,53,22,2,3,NA,1,172
4,Nagaland,Zunheboto,1,1,2,NA,NA,2,20,23,NA,1,4,1,113
5,Nagaland,Wokha,NA,NA,NA,NA,NA,NA,15,32,3,4,NA,NA,82
6,Nagaland,Phek,7,NA,2,NA,NA,6,19,35,2,1,3,NA,121
7,Nagaland,Kohima,5,1,2,1,1,15,49,79,5,14,4,NA,259
8,Nagaland,Dimapur (Sub-Div.),16,1,1,12,17,46,80,161,24,11,17,1,529
1,Orissa,Balasore,35,4,3,20,25,34,363,575,229,19,11,NA,2854
2,Orissa,Cuttack (S),24,1,10,31,20,61,493,1001,103,90,47,NA,4179
3,Orissa,Cuttack (R ),22,4,10,34,31,56,543,906,240,29,18,NA,4461
4,Orissa,Gangam,57,3,6,4,10,30,190,423,107,16,17,NA,2404
5,Orissa,Berhampur,11,1,2,8,NA,20,175,185,63,7,4,NA,1122
6,Orissa,Koraput,82,9,21,16,27,99,496,747,239,47,32,NA,3979
7,Orissa,Puri,47,2,11,26,29,44,473,982,313,43,19,NA,4254
8,Orissa,Sambalpur,51,10,13,11,13,53,606,932,155,33,26,NA,4031
9,Orissa,Dhenkanal,37,3,12,14,12,53,312,741,153,18,13,NA,2708
10,Orissa,Sundargarh,67,5,15,11,10,26,161,284,43,15,4,NA,1558
11,Orissa,Bolangir,34,NA,3,3,3,23,183,343,164,7,9,1,1716
12,Orissa,Keenjhar,42,8,14,13,4,13,144,276,56,16,13,NA,1386
13,Orissa,Phulbani,29,1,5,14,7,16,154,243,73,14,9,NA,1336
14,Orissa,Mayurbhanj,47,3,20,15,17,23,182,357,50,18,11,NA,2029
15,Orissa,Kalahandi,19,3,6,11,12,22,225,359,78,20,6,NA,1758
16,Orissa,Rourkela,15,1,15,15,7,19,155,357,108,11,17,1,1682
17,Orissa,Govt. Rly. Police Cuttack,3,NA,1,NA,5,15,16,349,14,3,6,NA,525
18,Orissa,Govt. Rly. Police Rourk,4,1,1,1,5,12,33,189,2,2,2,NA,341
19,Orissa,Bhubaneswar,13,NA,4,22,11,65,309,942,33,68,33,4,2780
1,Punjab,Jalandhar,88,21,3,23,1,44,182,301,7,30,25,1,1392
2,Punjab,Amritsar,301,23,6,20,36,149,193,386,18,28,45,NA,2404
3,Punjab,Hoshiarpur,41,9,2,8,1,8,52,90,17,6,20,NA,860
4,Punjab,Gurdaspur,143,14,6,17,NA,23,119,131,6,17,19,NA,1261
5,Punjab,Kapurthala,26,4,1,3,1,9,41,62,2,14,10,NA,704
6,Punjab,Patiala,62,16,6,19,NA,11,143,225,1,31,38,NA,1299
7,Punjab,Ludhiana,106,16,5,30,3,73,208,214,17,29,65,NA,1572
8,Punjab,Sangrur,55,9,4,6,1,6,98,107,4,24,11,NA,712
9,Punjab,Ropar,15,4,NA,9,1,4,42,70,1,6,14,NA,417
10,Punjab,Ferozepur,86,19,4,8,3,6,106,112,9,25,22,NA,856
11,Punjab,Bhatinda,82,9,9,17,NA,13,119,131,8,22,17,NA,911
12,Punjab,Faridkot,96,15,3,12,4,15,60,110,1,20,13,NA,836
1,Rajasthan,Ajmer,50,2,16,111,1,57,380,593,499,56,181,2,3912
2,Rajasthan,Bhilwara,24,NA,26,159,NA,62,412,551,630,47,188,1,3812
3,Rajasthan,Nagour,61,1,21,37,NA,75,187,334,506,26,82,NA,3004
4,Rajasthan,Jaipur City,34,3,4,88,1,21,362,1115,732,105,229,28,4988
5,Rajasthan,Jaipur Rural,64,NA,15,54,NA,19,311,670,1256,33,84,NA,4330
6,Rajasthan,Jhunjhunu,23,4,10,22,NA,11,128,233,541,17,50,NA,1959
7,Rajasthan,Sikar,44,6,11,18,NA,19,133,221,606,21,68,1,1896
8,Rajasthan,Tonk,16,NA,11,43,NA,12,140,289,438,12,59,NA,1968
9,Rajasthan,Bikaner,26,2,27,16,5,15,155,341,176,19,66,NA,2062
10,Rajasthan,Churu,30,1,18,26,1,14,129,212,228,14,67,NA,1795
11,Rajasthan,Ganganagar,110,2,80,60,3,59,287,381,198,116,197,1,3979
12,Rajasthan,Bharatpur,41,1,24,73,11,41,198,556,600,21,118,NA,3565
13,Rajasthan,Alwar,67,NA,30,65,6,71,286,759,972,48,200,1,4346
14,Rajasthan,Sawai Madhopur,56,1,28,71,4,69,273,540,1175,25,80,NA,3835
15,Rajasthan,Dholpur,32,NA,15,55,4,41,97,289,462,13,29,NA,1612
16,Rajasthan,Jodhpur,41,2,15,67,NA,57,310,521,437,35,142,NA,3192
17,Rajasthan,Jalore,19,NA,13,15,NA,25,53,128,80,30,18,NA,1147
18,Rajasthan,Jaisalmer,5,NA,2,5,NA,9,36,107,35,6,12,NA,461
19,Rajasthan,Barmer,15,NA,10,24,2,49,109,321,158,16,66,NA,1766
20,Rajasthan,Pali,33,3,9,30,NA,22,177,256,345,43,91,NA,2317
21,Rajasthan,Sirohi,20,1,3,20,1,22,81,73,87,16,20,NA,868
22,Rajasthan,Kota City,24,7,9,48,NA,10,165,342,112,33,79,1,1785
23,Rajasthan,Kota Rural,46,6,49,85,7,57,356,414,350,38,47,NA,3372
24,Rajasthan,Bundi,34,1,16,57,3,26,163,233,171,25,42,NA,1739
25,Rajasthan,Jhalawar,36,NA,31,53,2,60,276,272,207,22,47,NA,1998
26,Rajasthan,Udaipur,75,5,31,162,8,93,619,791,880,59,179,NA,6052
27,Rajasthan,Banswara,30,1,26,65,3,27,128,177,391,39,30,NA,2011
28,Rajasthan,Chittorgarh,37,2,32,163,NA,43,438,753,720,46,203,NA,4811
29,Rajasthan,Dungarpur,12,NA,13,41,NA,11,40,78,219,17,23,NA,1512
30,Rajasthan,G.R.P.,7,NA,3,5,NA,9,9,713,23,9,11,1,1024
1,Sikkam,North District,1,NA,1,NA,NA,NA,3,7,2,1,2,NA,43
2,Sikkam,East District,2,1,1,4,NA,3,30,40,3,13,9,NA,195
3,Sikkam,West District,NA,1,1,NA,NA,2,7,5,3,4,2,NA,49
4,Sikkam,South District,1,NA,2,1,1,3,4,25,1,4,1,NA,86
1,Tamil Nadu,Chinglepat East,44,NA,15,32,4,26,561,1647,301,41,76,1,5430
2,Tamil Nadu,Chinglepat West,36,2,9,31,1,8,369,866,316,22,20,7,4029
3,Tamil Nadu,South Arcot,74,14,20,46,3,21,486,1745,946,122,45,3,7758
4,Tamil Nadu,North Arcot,118,2,36,64,5,48,803,2240,1174,37,81,11,9409
5,Tamil Nadu,Dharmapuri,85,NA,6,14,8,10,341,500,306,25,27,4,3315
6,Tamil Nadu,Salem,115,NA,10,47,5,19,495,1160,325,21,52,9,6516
7,Tamil Nadu,Coimbatore Urban,41,NA,6,14,1,37,572,1098,391,59,79,17,4980
8,Tamil Nadu,Coimbatore Rural,53,1,3,16,9,14,265,631,406,18,19,4,3192
9,Tamil Nadu,Periyar,84,NA,2,32,9,26,364,817,177,32,30,8,4093
10,Tamil Nadu,The Nilriris,16,NA,3,5,NA,1,182,181,78,12,8,NA,1269
11,Tamil Nadu,Tirucirapalli,94,NA,9,37,3,21,590,1912,300,59,80,24,7246
12,Tamil Nadu,Thanjavur East,57,NA,8,50,2,3,441,951,235,31,37,4,5268
13,Tamil Nadu,Thanjavur West,54,NA,9,41,NA,4,517,1120,448,39,42,5,5355
14,Tamil Nadu,Pudukkottai,28,NA,7,26,1,3,200,406,225,22,16,7,2395
15,Tamil Nadu,Madurai City,38,NA,3,18,3,13,274,1044,178,52,124,18,3278
16,Tamil Nadu,Madurai Rural,63,NA,25,36,2,6,329,611,621,19,29,7,4687
17,Tamil Nadu,Anna,47,1,7,36,NA,20,413,690,440,26,35,10,3830
18,Tamil Nadu,Ramnad,34,NA,6,17,NA,11,138,243,148,16,6,2,2512
19,Tamil Nadu,Pasumpon Muthuramalingam,25,NA,4,14,5,5,92,277,200,13,27,1,1933
20,Tamil Nadu,Kamarajar,48,NA,10,20,3,16,234,659,506,15,17,5,3760
21,Tamil Nadu,Tirunelveli East,77,NA,7,20,5,22,204,587,57,15,21,2,3534
22,Tamil Nadu,Tirunelveli West,83,NA,24,33,7,41,358,619,136,33,32,11,4737
23,Tamil Nadu,Kanyakummari,44,NA,7,11,NA,10,225,247,693,11,23,7,3366
24,Tamil Nadu,"Railway Police, Trichy & Madras",NA,NA,NA,NA,NA,5,8,492,69,9,6,4,918
25,Tamil Nadu,Madras City Police,64,2,16,26,3,54,438,4462,134,213,421,125,13466
1,Tripura,West Tripura,61,1,13,19,53,42,395,489,196,6,7,NA,2252
2,Tripura,South Tripura,28,NA,12,12,46,54,147,130,90,13,1,NA,1055
3,Tripura,North Tripura,38,NA,13,26,20,39,206,277,83,12,11,NA,1407
1,Uttar Pradesh,Meerut,264,46,43,157,92,241,676,1805,380,157,113,NA,4943
2,Uttar Pradesh,Bulandshahar,233,73,49,114,146,256,759,1321,407,97,79,1,5052
3,Uttar Pradesh,Muzaffaranagar,180,74,32,74,50,136,361,813,216,77,39,NA,3208
4,Uttar Pradesh,Saharanpur,166,26,17,91,93,168,508,1235,253,101,69,4,4312
5,Uttar Pradesh,Ghaziabad,276,50,33,136,65,275,663,1662,328,143,139,NA,5770
6,Uttar Pradesh,Pauri Garhwal,14,1,1,6,2,20,30,104,12,9,7,NA,326
7,Uttar Pradesh,Tehri Garhwal,17,10,2,10,22,61,71,113,9,11,11,NA,560
8,Uttar Pradesh,Uttarkashi,10,2,1,13,2,25,2,69,15,2,15,NA,409
9,Uttar Pradesh,Chamoli,11,NA,NA,9,4,22,53,72,40,15,8,NA,465
10,Uttar Pradesh,Dehradun,39,9,11,41,12,56,281,478,193,34,63,NA,1739
11,Uttar Pradesh,Agra,153,44,34,175,96,240,1912,1670,459,177,182,2,7648
12,Uttar Pradesh,Mathura,113,25,23,56,55,121,378,556,249,105,69,NA,2983
13,Uttar Pradesh,Etah,219,38,29,133,106,140,453,655,295,41,30,NA,3261
14,Uttar Pradesh,Mainpuri,134,23,19,65,78,257,402,445,191,51,51,NA,2799
15,Uttar Pradesh,Aligarh,175,43,37,96,97,182,493,940,270,88,94,1,4218
16,Uttar Pradesh,Kanpur Nagar,133,37,27,187,46,204,834,2488,279,428,325,21,7632
17,Uttar Pradesh,Kanpur Dehat,106,28,21,29,49,189,389,546,167,45,45,NA,2904
18,Uttar Pradesh,Fatehpur,147,57,25,22,49,210,326,384,137,30,28,NA,2218
19,Uttar Pradesh,Fatehgarh,229,36,21,103,86,320,646,902,284,69,59,NA,4208
20,Uttar Pradesh,Etawah,138,34,25,86,56,307,583,741,224,59,53,NA,3645
21,Uttar Pradesh,Allahabad,248,70,20,78,70,162,716,1723,214,157,137,6,5867
22,Uttar Pradesh,Jhansi,66,32,14,29,28,74,321,474,110,37,43,NA,2190
23,Uttar Pradesh,Banda,149,54,23,27,12,245,376,436,144,44,30,NA,2527
24,Uttar Pradesh,Hamirpur,89,12,11,15,44,55,213,268,55,17,18,NA,1383
25,Uttar Pradesh,Jalaun,60,10,15,21,25,58,249,310,85,26,31,NA,1469
26,Uttar Pradesh,Lalitpur,25,14,35,18,28,73,222,325,71,24,23,NA,1354
27,Uttar Pradesh,Faizabad,119,73,40,107,241,330,859,1308,598,51,106,3,5632
28,Uttar Pradesh,Bahraich,81,27,31,42,91,162,504,967,271,67,58,NA,3285
29,Uttar Pradesh,Barabanki,123,27,27,131,77,177,464,491,181,52,24,NA,2486
30,Uttar Pradesh,Gonda,117,62,18,85,82,286,709,882,257,67,52,NA,3904
31,Uttar Pradesh,Pratapgarh,73,35,17,23,51,120,388,449,234,69,16,NA,2308
32,Uttar Pradesh,Sultanpur,71,50,19,40,54,122,476,597,200,53,41,8,2903
33,Uttar Pradesh,Lucknow,151,41,34,144,47,176,795,3254,282,287,337,2,8358
34,Uttar Pradesh,Sitapur,236,71,48,84,170,325,621,1272,196,90,61,NA,4361
35,Uttar Pradesh,Hardoi,144,0,26,36,51,113,289,438,76,38,27,NA,2197
36,Uttar Pradesh,khari,129,58,20,61,58,114,261,615,61,42,14,NA,2306
37,Uttar Pradesh,Rai Bareli,61,33,26,29,30,88,255,483,109,37,41,NA,2025
38,Uttar Pradesh,Unnao,122,40,17,47,52,89,296,398,55,30,43,1,2035
39,Uttar Pradesh,Bareilly,199,43,49,100,66,231,645,1699,195,113,109,NA,5297
40,Uttar Pradesh,Badaun,157,39,30,88,62,163,383,925,157,41,39,1,3270
41,Uttar Pradesh,Pillibhit,123,15,15,68,25,111,316,500,61,23,56,NA,3282
42,Uttar Pradesh,Shahjahanpur,1254,43,35,54,51,152,242,672,92,47,38,2,2641
43,Uttar Pradesh,Nainital,63,23,18,36,29,36,233,601,96,57,47,NA,1994
44,Uttar Pradesh,Almora,18,2,8,10,16,42,77,153,23,17,8,NA,509
45,Uttar Pradesh,Pithoragarh,11,1,3,1,2,20,53,111,30,19,5,1,404
46,Uttar Pradesh,Moradabad,315,28,67,207,121,332,620,3106,317,115,56,NA,7280
47,Uttar Pradesh,Bijnor,142,46,25,81,9,142,354,627,226,58,51,1,2772
48,Uttar Pradesh,Rampur,93,15,22,38,19,88,180,595,49,34,28,NA,1879
49,Uttar Pradesh,Gorakhpur,110,50,18,73,96,116,472,722,241,74,95,2,3857
50,Uttar Pradesh,Azamgarh,102,46,10,34,206,57,358,490,224,47,39,4,2731
51,Uttar Pradesh,Basti,63,39,23,39,82,54,387,555,158,77,64,2,2723
52,Uttar Pradesh,Deoria,100,52,14,22,136,48,357,375,142,70,38,3,2360
53,Uttar Pradesh,Varanasi,115,48,13,71,102,84,664,1149,256,153,102,5,4947
54,Uttar Pradesh,Mirzapur,65,43,8,36,52,50,305,575,111,59,51,5,2366
55,Uttar Pradesh,Ghazipur,52,24,3,9,38,21,186,287,76,19,13,NA,1289
56,Uttar Pradesh,Jaunpur,54,24,15,29,61,30,273,365,129,43,24,4,1909
57,Uttar Pradesh,Ballia,47,57,12,20,46,61,352,507,175,63,46,NA,2366
58,Uttar Pradesh,Govt. Railway Police,32,8,13,28,24,105,19,4644,34,392,113,1,6052
1,West Bengal,Bankura,40,9,9,6,18,22,18,482,135,15,3,NA,1241
2,West Bengal,Birbhum,64,24,43,33,50,37,59,604,409,14,22,NA,2053
3,West Bengal,Burdwan,168,51,58,77,227,93,24,1974,734,101,40,1,5461
4,West Bengal,Hooghly,66,38,40,62,70,39,74,1314,645,53,44,NA,4020
5,West Bengal,Purulia,46,21,5,9,23,6,33,493,138,9,4,NA,1740
6,West Bengal,24 Parganas North,130,77,70,147,49,97,232,3940,909,88,92,95,7243
7,West Bengal,24 Parganas South,131,59,67,72,79,45,165,3317,864,36,54,2,6499
8,West Bengal,Murshidabad,121,40,50,67,54,37,74,1010,564,20,25,4,3301
9,West Bengal,Nadia,90,45,68,85,42,18,86,1257,684,34,20,NA,3751
10,West Bengal,West Dinajpur,61,51,14,16,58,53,114,912,327,10,9,NA,2749
11,West Bengal,Jalpaiguri,86,37,14,37,36,34,128,887,177,52,17,NA,2624
12,West Bengal,Malda,51,18,22,34,21,14,33,413,182,16,14,4,1322
13,West Bengal,Darjeeling,61,13,15,22,14,22,58,522,211,27,53,1,1827
14,West Bengal,Coochbehar,46,23,31,37,32,26,69,369,223,14,8,NA,1341
15,West Bengal,Howrah,58,33,33,43,28,44,79,2063,309,85,62,2,4573
16,West Bengal,Midnapur,84,32,42,77,40,19,190,1080,966,73,76,1,4768
1,A & N Island,A & N Islands,12,2,2,3,NA,1,65,117,28,12,16,NA,719
1,Chandigarh,U.T. Chandigarh,9,NA,5,18,NA,8,108,725,9,28,85,2,1510
1,Dadar & Nagar Haveli,U.T. of Dadar & Nagar Haveli,6,NA,NA,4,1,6,22,54,22,8,2,NA,464
1,Delhi,North District,52,35,15,134,14,35,193,2624,19,149,146,NA,5873
2,Delhi,Central District,31,55,8,190,1,20,209,1795,41,73,92,4,4260
3,Delhi,East District,64,59,18,248,7,42,429,1189,24,53,90,NA,3811
4,Delhi,New Delhi District,5,3,4,32,1,9,81,1658,21,35,116,6,2896
5,Delhi,South District,51,11,32,134,9,53,642,3266,34,90,129,2,7344
6,Delhi,West District,68,39,12,114,8,43,329,1497,40,69,58,2,4496
7,Delhi,Railway District,4,1,NA,5,NA,1,NA,433,NA,39,9,8,664
8,Delhi,Palam Air Port,1,1,NA,NA,NA,NA,1,81,NA,13,345,NA,484
1,Daman & Diu,Goa,27,9,8,12,16,58,629,1198,440,47,53,11,4514
2,Daman & Diu,Daman,NA,NA,NA,2,NA,NA,10,17,17,1,NA,NA,97
3,Daman & Diu,Diu,NA,NA,NA,NA,NA,1,6,2,13,1,NA,NA,39
1,Lakshadweep,Lakshadweep,NA,NA,NA,NA,NA,NA,3,6,2,2,NA,NA,20
1,Pondicherry,Pondicherry,14,NA,5,4,2,8,155,636,117,18,27,4,2360
