SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterferting,Others IPC Crimes,Total Cognizable Crimes Under IPC
39,Madhya Pradesh,Shivpuri,47,5,1,43,8,8,0,3,1,43,218,299,80,6,17,0,1736,2507
40,Madhya Pradesh,Sidhi,38,9,3,13,12,11,1,4,1,10,271,285,39,3,8,0,1020,1716
41,Madhya Pradesh,Sihore,32,29,3,53,18,18,0,7,0,27,207,460,100,16,13,0,1557,2522
42,Madhya Pradesh,Sivani,27,26,1,44,10,10,0,1,0,15,199,304,48,7,17,0,1483,2182
43,Madhya Pradesh,Tikamgarh,23,24,2,36,10,9,1,10,1,18,150,228,55,2,14,22,1251,1846
44,Madhya Pradesh,Ujjain,60,113,2,40,37,32,5,6,1,101,854,1767,109,50,62,1,3028,6231
45,Madhya Pradesh,Vidisha,54,42,0,65,19,18,1,4,1,21,151,375,33,9,7,0,1762,2543
46,Madhya Pradesh,Zhabua,228,226,5,31,112,112,0,10,1,92,262,645,58,11,12,0,1778,3471
47,Madhya Pradesh,Bhopal Rly.,2,6,1,4,6,6,0,0,1,21,11,638,10,2,6,0,337,1045
48,Madhya Pradesh,Indore Rly.,5,5,0,2,2,2,0,0,0,4,16,276,5,0,0,0,224,539
49,Madhya Pradesh,Jabalpur Rly.,2,3,0,1,0,0,0,0,1,3,6,206,11,1,2,0,78,314
50,Madhya Pradesh,Raipur Rly.,2,4,0,1,0,0,0,0,0,3,10,339,9,2,6,0,108,484
51,Madhya Pradesh,Total,2747,2596,131,2244,1108,994,114,273,101,2223,21179,39071,4606,768,1481,27,116628,195183
1,Maharashtra,Ahmednagar,99,39,1,26,23,23,0,41,0,114,319,944,166,52,32,1,2363,4220
2,Maharashtra,Akola,97,37,0,31,48,41,7,23,0,95,808,2862,126,52,43,3,3443,7668
3,Maharashtra,Amravati,92,47,2,47,63,56,7,19,0,184,1289,4387,162,67,84,1,4007,10451
4,Maharashtra,Aurangabad,63,17,0,19,32,28,4,40,3,118,679,1880,121,44,67,1,2669,5753
5,Maharashtra,Beed,55,20,1,5,17,13,4,10,0,67,274,725,168,27,26,0,1843,3238
6,Maharashtra,Bhandara,70,35,0,34,19,19,0,4,0,46,380,1012,25,36,37,1,2180,3879
7,Maharashtra,Buldhana,64,34,0,22,19,16,3,5,1,57,433,1585,122,34,28,0,2660,5064
8,Maharashtra,Chandrapur,41,18,1,36,26,24,2,24,0,77,369,1183,121,33,50,0,3040,5019
9,Maharashtra,Dhule,103,32,2,20,18,14,4,21,0,39,228,1012,254,44,25,3,1970,3771
10,Maharashtra,Bombay,375,197,4,108,267,201,66,56,28,670,2282,14802,261,1028,1196,47,15988,37309
11,Maharashtra,Gadchiroli,21,7,0,24,5,5,0,2,2,27,69,211,43,19,23,0,838,1291
12,Maharashtra,Jalgaon,90,57,0,12,25,20,5,28,0,60,351,1172,134,68,39,5,2304,4345
13,Maharashtra,Jalana,53,8,2,5,16,12,4,31,0,89,276,993,70,27,24,0,1599,3193
14,Maharashtra,Kolhapur,67,18,2,25,32,15,17,12,0,33,320,771,209,92,44,5,1290,2920
15,Maharashtra,Latur,39,16,1,3,17,11,6,8,0,29,151,380,61,11,24,0,1200,1940
16,Maharashtra,Nagpur Commr.,126,52,1,50,74,57,17,20,0,323,856,2612,241,99,222,28,4664,9368
17,Maharashtra,Nagpur Rural,79,32,4,29,31,23,8,8,0,86,469,1348,104,26,36,1,2833,5086
18,Maharashtra,Nanded,60,32,0,12,22,7,15,36,4,124,365,978,171,33,59,0,2137,4033
19,Maharashtra,Nasik,80,43,0,26,26,22,4,31,0,64,562,1171,201,71,66,9,4514,6864
20,Maharashtra,Osmanabad,38,14,0,4,10,10,0,4,0,30,136,365,68,14,16,0,677,1376
21,Maharashtra,Parbhani,61,34,0,14,21,17,4,23,0,97,284,734,117,30,35,0,2039,3489
22,Maharashtra,Pune Commr.,81,65,5,28,47,38,9,21,2,168,872,2887,291,93,137,20,5663,10380
23,Maharashtra,Pune Rural,78,26,2,30,15,10,5,45,0,55,266,637,145,39,25,1,1857,3221
24,Maharashtra,Raigad,59,13,0,19,9,7,2,27,0,29,163,345,100,21,12,2,1253,2052
25,Maharashtra,Ratnagiri,22,9,0,6,5,5,0,2,0,19,223,249,60,11,10,4,788,1408
26,Maharashtra,Sangli,78,8,4,27,18,13,5,5,0,31,354,917,77,37,51,8,1717,3332
27,Maharashtra,Satara,76,16,3,11,18,13,5,8,0,31,417,804,161,30,23,2,2593,4193
28,Maharashtra,Sindhudurg,21,7,0,2,3,1,2,1,0,16,150,152,30,5,6,2,466,861
29,Maharashtra,Solapur,121,33,0,23,23,13,10,22,0,83,299,702,203,40,45,16,2333,3943
30,Maharashtra,Thane Commr.,167,75,2,35,91,65,26,49,8,255,1233,2477,289,179,167,12,3685,8724
31,Maharashtra,Thane Rural,140,47,8,28,27,22,5,42,0,104,570,752,255,67,43,12,2772,4867
32,Maharashtra,Wardha,38,21,1,17,14,12,2,7,0,29,358,972,85,11,44,0,1736,3333
33,Maharashtra,Yavatmal,55,23,3,42,47,43,4,18,0,79,670,2153,93,82,46,3,2798,6112
34,Maharashtra,Bombay Rly.,6,4,0,1,4,1,3,0,0,45,9,3267,12,47,41,1,349,3786
35,Maharashtra,Nagpur Rly.,6,4,0,3,2,2,0,7,1,30,5,1210,16,22,10,0,158,1474
36,Maharashtra,Pune Rly.,5,3,0,1,1,1,0,4,0,30,1,896,10,12,14,2,113,1092
37,Maharashtra,Total,2726,1143,49,825,1135,880,255,704,49,3433,16490,59547,4772,2603,2850,190,92539,189055
1,Manipur,Bishnupur,6,2,1,1,8,7,1,2,0,2,7,21,3,0,0,0,137,190
2,Manipur,Churachandpur,5,0,1,4,4,3,1,1,1,1,19,21,7,4,6,1,74,149
3,Manipur,Chandel,7,1,0,0,2,0,2,8,0,5,11,9,1,1,0,0,36,81
4,Manipur,Imphal,28,15,3,5,77,72,5,3,0,8,92,372,38,10,47,1,628,1327
5,Manipur,Senapati,4,1,0,1,1,1,0,2,0,1,4,20,14,2,6,0,55,111
6,Manipur,Tamenglong,1,0,0,0,0,0,0,0,0,0,6,4,8,1,2,0,40,62
7,Manipur,Thoubal,15,4,1,2,22,20,2,3,0,5,22,45,9,5,7,0,216,356
8,Manipur,Ukhrul,16,4,2,0,0,0,0,0,0,3,20,29,2,5,12,0,76,169
9,Manipur,Total,82,27,8,13,114,103,11,19,1,25,181,521,82,28,80,2,1262,2445
1,Meghalaya,Garo Hills East,2,0,1,0,0,0,0,3,0,2,14,21,1,0,0,0,57,101
2,Meghalaya,Garo Hills West,10,4,0,6,7,7,0,3,0,7,68,128,9,4,0,0,193,439
3,Meghalaya,Khasi Hills East,45,9,0,6,6,6,0,6,0,19,89,250,59,15,40,0,356,900
4,Meghalaya,Khasi Hills West,18,0,1,3,0,0,0,1,0,0,3,35,5,1,0,0,44,111
5,Meghalaya,Jaintia Hills,27,3,0,5,3,3,0,6,0,10,2,30,1,0,0,0,113,200
6,Meghalaya,Total,102,16,2,20,16,16,0,19,0,38,176,464,75,20,40,0,763,1751
1,Mizoram,Aizawl,20,18,1,42,6,0,6,14,0,34,138,397,0,43,65,0,350,1128
2,Mizoram,Chhimtuipui,7,1,0,1,0,0,0,0,0,0,6,9,0,4,3,1,162,194
3,Mizoram,Lunglei,2,0,2,4,2,0,2,0,0,1,17,65,0,11,5,0,207,316
4,Mizoram,Total,29,19,3,47,8,0,8,14,0,35,161,471,0,58,73,1,719,1638
1,Nagaland,Dimapur,14,6,3,3,12,3,9,5,2,26,80,123,8,13,21,0,153,469
2,Nagaland,Kohima,7,2,0,1,5,4,1,2,0,16,41,86,2,12,7,0,110,291
3,Nagaland,Mokokchung,8,1,3,1,9,4,5,2,0,8,43,50,17,6,4,0,142,294
4,Nagaland,Mon,15,3,0,3,1,0,1,2,0,25,17,11,1,3,1,0,44,126
5,Nagaland,Phek,3,1,0,0,1,0,1,0,1,2,12,19,3,2,5,0,39,88
6,Nagaland,Tuensang,3,1,1,0,3,0,3,0,0,12,23,16,8,7,2,0,55,131
7,Nagaland,Wokha,0,0,4,1,1,1,0,2,0,2,39,32,0,1,5,0,24,111
8,Nagaland,Zunheboto,0,0,0,1,2,0,2,0,0,0,21,12,0,0,3,0,42,81
9,Nagaland,Total,50,14,11,10,34,12,22,13,3,91,276,349,39,44,48,0,609,1591
1,Orissa,Balasore,22,18,8,10,30,30,0,12,0,28,268,575,188,25,15,0,1821,3020
2,Orissa,Berhampur,9,5,0,0,4,4,0,2,0,17,106,160,23,13,8,0,665,1012
3,Orissa,Bhubaneswar,19,14,0,6,33,33,0,7,0,42,518,1347,50,60,61,7,1593,3757
4,Orissa,Bolangir,16,11,2,7,10,10,0,6,0,28,233,306,144,12,5,0,954,1734
5,Orissa,Cuttack ( R),31,240,1,11,42,42,0,33,0,52,492,831,160,33,19,0,2892,4837
6,Orissa,Cuttack (S),15,45,8,5,10,10,0,10,0,41,169,1066,92,53,47,0,1866,3427
7,Orissa,Dhenkanal,55,50,2,10,18,18,0,7,0,31,281,681,46,26,9,3,1047,2266
8,Orissa,Ganjam,35,35,4,7,15,15,0,6,0,33,201,352,139,13,10,0,1258,2108
9,Orissa,Kalahandi,30,12,2,6,2,2,0,2,0,12,160,280,54,16,23,0,1018,1617
10,Orissa,Keonjhar,34,5,12,8,8,8,0,5,0,18,132,259,66,4,17,1,798,1367
11,Orissa,Koraput,109,35,10,25,19,19,0,22,0,72,367,682,246,25,64,0,2274,3950
12,Orissa,Mayurbhanj,51,21,4,18,17,17,0,10,0,23,144,235,63,8,11,7,1256,1868
13,Orissa,Phulbani,23,3,2,10,15,15,0,17,0,33,152,226,61,14,3,0,770,1331
14,Orissa,Puri,32,64,6,15,39,39,0,25,0,40,527,951,217,42,43,0,2420,4421
15,Orissa,Rourkela,22,14,1,5,9,9,0,3,0,22,116,362,74,5,19,0,700,1352
16,Orissa,Sambalpur,45,39,7,35,21,21,0,13,0,61,587,780,104,42,27,0,2177,3938
17,Orissa,Sundargarh,67,27,6,16,10,10,0,8,0,25,116,321,47,10,7,0,1025,1685
18,Orissa,GRP(Cuttack),2,0,0,1,0,0,0,2,0,8,17,242,9,5,4,0,67,357
19,Orissa,GRP(Rourkela),4,0,0,1,1,1,0,1,0,10,22,166,0,1,1,0,67,274
20,Orissa,Total,621,638,75,196,303,303,0,191,0,598,4608,9822,1783,407,393,18,24668,44321
1,Punjab,Amritsar,49,72,2,3,9,7,2,7,0,41,176,143,1,4,13,0,163,683
2,Punjab,Batala,153,138,4,8,29,13,16,0,0,25,73,192,11,17,51,2,273,976
3,Punjab,Bhatinda,105,43,11,8,9,6,3,0,0,22,102,174,6,16,20,0,402,918
4,Punjab,Faridkot,110,64,15,2,11,1,10,0,1,4,108,175,0,17,11,0,341,859
5,Punjab,Ferozepur,176,132,5,4,26,5,21,0,5,5,105,196,1,15,16,0,332,1018
6,Punjab,Gurdaspur,37,25,12,7,12,9,3,0,0,3,64,84,0,6,8,0,295,553
7,Punjab,Hoshiarpur,41,36,5,8,7,3,4,1,0,20,56,81,6,13,17,0,273,564
8,Punjab,Jalandhar,87,87,18,10,9,6,3,5,2,23,147,221,5,12,23,0,530,1179
9,Punjab,Kapurthala,25,31,2,0,9,5,4,0,0,7,38,50,0,2,16,0,219,399
10,Punjab,Ludhiana,114,111,14,9,35,22,13,3,15,84,138,222,6,19,46,0,862,1678
11,Punjab,Majitha,186,109,10,1,12,4,8,4,9,35,20,57,3,3,3,0,264,716
12,Punjab,Patiala,88,55,15,10,24,15,9,5,1,9,196,301,4,41,39,1,1390,2179
13,Punjab,Ropar,54,32,8,5,16,9,7,0,0,2,84,123,0,9,23,0,329,685
14,Punjab,Sangrur,86,38,12,4,10,7,3,1,2,3,62,114,0,19,28,0,388,767
15,Punjab,Tarn Taran,356,198,5,2,25,2,23,11,4,69,44,62,0,7,9,0,200,992
16,Punjab,Total,1667,1171,138,81,243,114,129,37,38,352,1413,2195,43,200,323,3,6261,14166
1,Rajasthan,Ajmer,45,45,10,20,117,117,0,0,0,37,344,492,464,46,201,0,2167,3988
2,Rajasthan,Alwar,62,40,0,21,92,82,10,4,1,50,364,696,975,22,215,1,2216,4759
3,Rajasthan,Banswara,31,30,0,37,73,73,0,3,0,40,177,184,709,34,44,0,2280,3642
4,Rajasthan,Barmer,23,18,0,6,22,16,6,0,0,34,102,282,120,15,65,0,1274,1961
5,Rajasthan,Bharatpur,81,5,0,28,85,63,22,16,0,47,243,785,972,18,125,3,2210,4618
6,Rajasthan,Bhilwara,37,31,0,36,139,139,0,2,0,50,411,588,772,54,205,0,2015,4340
7,Rajasthan,Bikaner,33,0,0,21,25,25,0,0,0,13,170,415,193,20,55,1,1445,2391
8,Rajasthan,Bundi,21,50,1,24,60,53,7,4,0,44,200,286,286,19,37,0,1210,2242
9,Rajasthan,Chittorgarh,32,25,2,26,226,221,5,1,0,46,530,772,865,36,261,0,2832,5654
10,Rajasthan,Churu,29,54,0,27,20,13,7,1,1,9,118,281,222,18,105,4,1259,2148
11,Rajasthan,Dholpur,40,24,1,18,82,79,3,14,2,58,140,393,654,35,58,0,938,2457
12,Rajasthan,Dungarpur,21,9,4,9,52,48,4,1,0,10,71,96,260,21,28,0,1356,1938
13,Rajasthan,Ganganagar,96,103,5,59,86,86,0,2,0,29,389,647,245,77,215,0,3892,5845
14,Rajasthan,Jaipur,92,29,2,44,198,198,0,9,3,56,802,2223,2306,172,361,16,5524,11837
15,Rajasthan,Jaisalmer,7,11,0,5,7,6,1,0,0,11,25,173,75,7,10,0,333,664
16,Rajasthan,Jalore,20,27,2,9,9,9,0,0,0,24,50,107,102,38,14,0,909,1311
17,Rajasthan,Jhalawar,36,61,0,40,44,44,0,3,0,51,254,310,251,17,43,1,1196,2307
18,Rajasthan,Jhunjhunu,31,1,1,12,19,12,7,0,0,8,141,273,564,16,17,1,1185,2299
19,Rajasthan,Jodhpur,37,67,7,40,48,39,9,0,0,52,242,512,256,34,143,2,1829,3269
20,Rajasthan,Kota,64,209,13,85,172,170,2,12,0,97,766,999,719,65,170,0,4085,7456
21,Rajasthan,Nagaur,50,30,1,14,39,39,0,3,0,52,188,367,482,8,112,3,1741,3090
22,Rajasthan,Pali,42,0,3,22,48,48,0,2,0,30,165,251,284,33,113,1,1623,2617
23,Rajasthan,Sawai Madhopur,53,5,0,49,1117,117,0,6,1,64,300,651,1380,42,82,1,2252,5003
24,Rajasthan,Sikar,36,23,0,17,26,26,0,0,0,23,154,334,761,25,94,1,1126,2620
25,Rajasthan,Sirohi,22,13,0,10,22,22,0,3,0,19,96,145,89,21,23,0,809,1272
26,Rajasthan,Tonk,22,34,2,8,57,57,0,0,0,16,107,243,412,28,79,1,1264,2273
27,Rajasthan,Udaipur,66,47,1,31,178,178,0,8,0,81,568,818,842,66,211,3,3634,6554
28,Rajasthan,G.R.P,6,5,0,3,7,6,1,3,0,12,5,690,38,3,13,0,277,1062
29,Rajasthan,Total,1135,996,55,721,2070,1986,84,97,8,1063,7122,14013,15298,990,3129,39,52881,99617
1,Sikkam,East,1,1,0,1,1,1,0,0,0,2,42,66,26,2,11,0,69,222
2,Sikkam,North,1,0,0,0,0,0,0,0,0,0,2,17,2,0,1,0,27,50
3,Sikkam,South,2,1,0,3,1,1,0,0,0,1,5,10,3,1,3,0,28,58
4,Sikkam,West,2,0,0,1,0,0,0,0,0,0,1,13,8,0,0,0,25,50
5,Sikkam,Total,6,2,0,5,2,2,0,0,0,3,50,106,39,3,15,0,149,380
1,Tamil Nadu,Anna,53,31,0,10,17,17,0,3,0,6,265,535,315,15,35,1,2357,3643
2,Tamil Nadu,Chinglepat East,65,102,1,10,76,45,31,23,0,31,879,2636,450,83,138,2,4105,8601
3,Tamil Nadu,Chinglepat West,47,22,0,8,28,28,0,9,0,12,259,885,331,37,52,7,3099,4796
4,Tamil Nadu,Chidambaranar,75,41,0,15,50,25,25,0,0,26,244,477,579,12,27,1,2515,4062
5,Tamil Nadu,Coimbatore,73,29,1,12,21,14,7,7,0,24,686,1833,512,63,111,12,4472,7856
6,Tamil Nadu,Commr. Madras,62,0,7,25,33,33,0,3,0,87,461,4415,162,187,475,199,8052,14168
7,Tamil Nadu,Cuddalore,59,54,0,7,31,12,19,3,0,3,244,828,388,8,7,10,4425,6067
8,Tamil Nadu,Dharmapuri,109,28,0,11,17,17,0,6,0,16,349,601,347,12,20,6,3048,4570
9,Tamil Nadu,Kamarajar,38,22,1,8,22,17,5,1,0,5,171,540,530,24,16,3,1905,3286
10,Tamil Nadu,Kanyakummari,54,27,1,3,15,15,0,0,0,7,209,298,411,1,17,0,2724,3767
11,Tamil Nadu,Kattabomman,84,95,1,26,35,35,0,1,0,29,367,695,88,19,33,5,4880,6358
12,Tamil Nadu,Madurai,101,115,1,22,33,30,3,10,0,34,502,1757,551,47,105,17,4168,7463
13,Tamil Nadu,Nilgiris,20,1,3,5,2,0,2,0,0,1,115,186,80,7,10,3,756,1189
14,Tamil Nadu,North Arcot,60,35,1,19,26,24,2,13,1,27,578,1155,806,19,73,11,3426,6250
15,Tamil Nadu,P. Muthuramalingam,17,19,0,10,19,14,5,2,0,5,121,305,251,20,20,0,1326,2115
16,Tamil Nadu,Periyar,70,32,0,5,24,20,4,4,0,11,430,817,168,21,27,1,2917,4527
17,Tamil Nadu,Pudukkottai,27,14,0,3,12,9,3,2,0,4,133,267,295,9,8,1,1273,2048
18,Tamil Nadu,Ramanathapuram,38,38,1,9,20,16,4,0,0,9,132,235,421,7,13,3,1718,2644
19,Tamil Nadu,Salem,133,45,1,12,36,32,4,1,0,26,446,1073,400,14,12,11,3197,5407
20,Tamil Nadu,Thanjavur East,34,48,0,13,30,29,1,1,0,2,304,727,117,20,24,1,3545,4866
21,Tamil Nadu,Thanjavur West,65,44,7,8,45,0,45,2,0,13,391,1039,255,26,48,2,3931,5876
22,Tamil Nadu,Thiruvannamalal,46,18,0,11,23,23,0,0,0,12,260,616,480,34,21,3,1592,3116
23,Tamil Nadu,Trichy,117,134,1,18,41,41,0,4,0,21,676,1802,395,106,94,7,4488,7904
24,Tamil Nadu,Villupuram,44,53,2,8,34,34,0,3,0,6,195,669,370,22,26,0,3202,4634
25,Tamil Nadu,Madras Rly.,2,0,0,0,0,0,0,0,0,2,1,372,20,4,3,0,228,632
26,Tamil Nadu,Trichy Rly.,0,0,0,1,0,0,0,0,0,4,3,96,10,2,0,0,114,230
27,Tamil Nadu,Total,1493,1047,29,279,690,530,160,98,1,423,8421,24859,8732,819,1415,306,77463,126075
1,Tripura,North Tripura,40,12,0,23,29,22,7,21,1,29,165,240,145,6,2,0,767,1480
2,Tripura,South Tripura,32,2,1,16,6,3,3,35,0,31,147,159,136,0,4,0,591,1160
3,Tripura,West Tripura,82,23,0,27,49,4,45,39,0,60,377,599,224,10,10,1,1222,2723
4,Tripura,Total,154,37,1,66,84,29,55,95,1,120,689,998,505,16,16,1,2580,5363
1,Uttar Pradesh,Agra,113,164,58,53,151,111,40,71,8,142,512,1346,401,138,151,1,936,4245
2,Uttar Pradesh,Aligarh,212,202,56,49,113,113,0,82,0,173,496,1005,321,72,69,0,1552,4402
3,Uttar Pradesh,Allahabad,287,384,62,37,113,82,31,106,21,251,905,1709,374,111,127,9,2257,6753
4,Uttar Pradesh,Almora,19,31,4,5,11,11,0,7,0,42,81,166,47,9,7,0,213,642
5,Uttar Pradesh,Azamgarh,79,81,44,18,21,21,0,40,15,49,218,330,145,34,13,2,681,1770
6,Uttar Pradesh,Badaun,225,208,59,47,96,35,61,53,2,199,284,862,206,44,24,1,1301,3611
7,Uttar Pradesh,Bahraich,97,52,20,32,86,86,0,66,4,104,333,517,229,50,40,0,741,2371
8,Uttar Pradesh,Ballia,51,43,11,12,7,7,0,24,4,40,197,270,106,15,23,4,613,1420
9,Uttar Pradesh,Banda,171,132,40,34,54,14,40,46,2,168,280,418,127,19,17,0,581,2089
10,Uttar Pradesh,Barabanki,13,6,2,15,5,5,0,6,0,9,23,230,12,26,25,0,80,452
11,Uttar Pradesh,Bareilly,240,195,57,68,136,113,23,42,1,252,553,1628,241,89,71,0,1317,4890
12,Uttar Pradesh,Basti,34,30,49,0,393,366,27,22,0,46,189,320,94,23,0,2,222,1424
13,Uttar Pradesh,Bijnor,149,125,36,34,73,73,0,20,3,68,337,859,199,47,54,2,890,2896
14,Uttar Pradesh,Bulandshahar,282,326,93,44,155,93,62,104,0,333,708,1386,403,121,71,1,1307,5334
15,Uttar Pradesh,Chamoli,15,13,8,4,10,10,0,8,0,8,36,84,15,4,5,0,61,271
16,Uttar Pradesh,Dehradun,32,42,15,9,40,40,0,9,0,39,234,488,75,31,39,1,580,1634
17,Uttar Pradesh,Deoria,75,84,47,11,24,24,0,38,5,45,268,390,131,43,31,0,800,1992
18,Uttar Pradesh,Etah,194,171,36,28,70,56,14,57,0,106,224,159,215,39,33,0,528,1860
19,Uttar Pradesh,Etawah,124,175,25,12,101,39,62,67,1,277,405,564,194,47,65,0,1512,3569
20,Uttar Pradesh,Faizabad,120,160,66,17,89,89,0,123,11,233,591,1008,436,95,67,6,758,3780
21,Uttar Pradesh,Fatehgarh,232,274,33,33,150,61,89,63,3,215,510,835,229,59,72,0,589,3297
22,Uttar Pradesh,Fatehpur,171,173,52,16,28,0,28,30,4,71,250,423,75,31,38,0,574,1936
23,Uttar Pradesh,Firozabad,83,133,35,26,50,50,0,25,5,65,177,315,87,36,28,6,652,1723
24,Uttar Pradesh,Ghazipur,32,44,31,5,10,10,0,10,11,16,137,212,60,16,17,1,386,988
25,Uttar Pradesh,Ghaziabad,360,242,38,33,126,79,47,82,8,352,836,2040,332,153,116,1,1122,5841
26,Uttar Pradesh,Gonda,119,93,38,27,76,76,0,38,2,191,510,666,234,63,82,0,4893,7032
27,Uttar Pradesh,Gorakhpur,100,70,40,9,37,29,8,33,50,55,300,442,140,52,33,0,850,2211
28,Uttar Pradesh,Hamirpur,116,75,25,14,12,12,0,45,0,50,158,240,58,17,14,0,546,1370
29,Uttar Pradesh,Hardoi,143,66,38,42,56,56,0,40,0,88,218,348,101,41,43,5,674,1903
30,Uttar Pradesh,Haridwar,85,88,18,12,36,30,6,29,0,78,218,624,88,43,28,0,534,1881
31,Uttar Pradesh,Jalaun,77,73,21,17,15,15,0,35,7,80,258,302,120,25,24,0,647,1701
32,Uttar Pradesh,Jaunpur,56,51,31,11,28,28,0,28,0,31,249,297,163,22,18,1,702,1688
33,Uttar Pradesh,Jhansi,69,79,50,22,25,25,0,25,5,74,306,519,130,30,46,0,2429,3809
34,Uttar Pradesh,Kanpur Dehat,91,130,38,15,48,48,0,66,0,142,295,442,129,40,16,0,138,1590
35,Uttar Pradesh,Kanpur Nagar,121,146,28,18,163,138,25,38,8,115,539,1651,174,255,229,39,2002,5526
36,Uttar Pradesh,kheri,122,105,40,27,41,41,0,15,26,111,253,420,78,17,15,0,556,1826
37,Uttar Pradesh,Lalitpur,23,19,16,8,6,6,0,0,10,22,95,138,45,13,3,0,344,742
38,Uttar Pradesh,Lucknow,167,123,52,55,132,119,13,41,18,164,779,2628,381,241,276,5,3756,8818
39,Uttar Pradesh,Maharajganj,37,16,13,7,9,9,0,13,23,16,53,134,63,9,6,4,306,709
40,Uttar Pradesh,Mainpuri,125,111,19,10,32,16,16,32,0,121,134,309,82,21,33,5,428,1462
41,Uttar Pradesh,Mathura,93,168,38,22,32,29,3,35,0,61,185,403,133,58,46,0,683,1957
42,Uttar Pradesh,Mau,29,24,18,1,7,7,0,22,0,12,115,141,69,9,9,1,358,815
43,Uttar Pradesh,Meerut,286,364,55,66,177,0,177,94,0,318,820,2403,390,192,118,0,1733,7116
44,Uttar Pradesh,Mirzapur,37,38,21,11,17,10,7,8,5,10,80,199,63,40,17,0,571,1117
45,Uttar Pradesh,Moradabad,293,283,37,55,189,188,1,91,15,338,529,1258,310,190,40,0,3544,7172
46,Uttar Pradesh,Muzaffaranagar,280,280,45,32,104,81,23,51,4,157,377,957,291,49,23,1,645,3306
47,Uttar Pradesh,Nainital,89,79,30,15,57,57,0,24,0,80,317,684,102,67,20,0,707,2271
48,Uttar Pradesh,Pilibhit,102,56,21,24,33,26,7,16,0,74,185,341,50,26,18,0,750,1696
49,Uttar Pradesh,Pithoragarh,8,26,4,3,9,8,1,3,0,38,84,78,40,7,4,0,193,497
50,Uttar Pradesh,Pratapgarh,106,164,22,11,27,27,0,47,0,130,289,368,222,25,44,0,861,2316
51,Uttar Pradesh,Pauri Garhwal,6,1,4,3,10,0,10,2,0,14,48,76,15,6,5,0,103,293
52,Uttar Pradesh,Raibareli,97,57,19,32,37,37,0,59,14,62,235,244,106,33,36,1,619,1651
53,Uttar Pradesh,Rampur,127,119,14,20,40,40,0,39,2,103,231,500,70,25,30,0,784,2104
54,Uttar Pradesh,Saharanpur,133,146,32,39,116,50,66,49,9,110,372,1103,216,78,38,4,657,3102
55,Uttar Pradesh,Shahjahanpur,243,196,32,62,59,59,0,30,4,160,213,676,154,73,37,0,1165,3104
56,Uttar Pradesh,Sidharthnagar,19,14,5,5,11,11,0,18,0,12,103,129,33,24,10,0,224,607
57,Uttar Pradesh,Sitapur,215,157,23,47,86,86,0,62,1,259,620,1154,199,54,37,0,2581,5495
58,Uttar Pradesh,Sonbhadra,33,14,18,6,13,12,1,4,12,12,90,292,26,15,8,0,328,868
59,Uttar Pradesh,Sultanpur,86,62,31,13,31,31,0,46,5,70,438,498,137,28,14,3,894,2356
60,Uttar Pradesh,Tehri Garhwal,10,30,6,7,10,10,0,3,0,22,76,80,43,14,10,0,151,462
61,Uttar Pradesh,Unnao,158,146,44,27,49,22,27,34,13,148,311,411,97,60,23,1,902,2424
62,Uttar Pradesh,Uttarkashi,13,1,1,2,11,11,0,8,0,20,38,80,24,3,1,0,97,299
63,Uttar Pradesh,Varanasi,116,132,79,12,62,53,9,37,28,62,488,986,225,102,119,12,1693,4153
64,Uttar Pradesh,G.R.P,54,20,8,17,28,17,11,33,12,71,14,4896,63,143,123,1,758,6241
65,Uttar Pradesh,Total,7594,7312,2051,1468,4043,3108,935,2494,381,6984,19407,44691,9818,3562,2899,120,60056,172880
1,West Bengal,24 Parganas North,151,49,75,61,103,103,0,60,0,96,240,4004,840,56,74,14,1126,6949
2,West Bengal,24 Parganas South,122,27,45,64,73,73,0,46,6,41,155,3021,906,58,85,5,1109,5763
3,West Bengal,Bankura,62,7,6,28,12,12,0,27,2,10,54,317,130,8,12,0,650,1325
4,West Bengal,Birbhum,70,20,11,35,28,28,0,22,1,18,29,728,382,12,14,0,899,2269
5,West Bengal,Burdwan,188,94,37,34,81,81,0,38,17,72,112,1863,588,61,58,0,1936,5179
6,West Bengal,Calcutta,60,169,24,27,110,85,25,28,2,155,375,6973,580,321,478,56,4380,13738
7,West Bengal,Coochbehar,50,14,21,43,0,0,0,31,0,38,54,773,305,12,73,6,509,1929
8,West Bengal,Darjeeling,96,20,17,8,20,20,0,37,0,43,25,683,214,18,15,0,754,1950
9,West Bengal,Hughly,63,4,22,25,35,35,0,35,14,22,51,1095,488,71,32,0,1748,3705
10,West Bengal,Howrah,72,12,19,18,32,32,0,24,4,39,71,1927,300,76,64,2,862,3522
11,West Bengal,Jalpaiguri,97,19,68,12,31,31,0,25,0,49,83,987,138,13,57,0,882,2461
12,West Bengal,Malda,72,11,23,12,0,0,0,24,1,18,22,1031,594,68,14,0,654,2544
13,West Bengal,Midnapur,113,50,45,58,0,0,0,40,6,84,617,979,131,86,1,12,2848,5070
