Category,States/ UTs/ Cities,Murder - 2001,Murder - 2002,Murder - % Variation,Attempt to Commit Murder - 2001,Attempt to Commit Murder - 2002,Attempt to Commit Murder - % Variation,C.H. not Amounting to murder - 2001,C.H. not Amounting to murder - 2002,C.H. not Amounting to murder - % Variation,Rape - Total - 2001,Rape - Total - 2002,Rape - Total - % Variation,Rape - Custodial - 2001,Rape - Custodial - 2002,Rape - Custodial - % Variation,Rape - Other - 2001,Rape - Other - 2002,Rape - Other - % Variation,Kidnapping & Abduction - Total - 2001,Kidnapping & Abduction - Total - 2002,Kidnapping & Abduction - Total - % Variation,Kidnapping & Abduction of Women & Girls - 2001,Kidnapping & Abduction of Women & Girls - 2002,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction - of Others - 2001,Kidnapping & Abduction - of Others - 2002,Kidnapping & Abduction - of Others - % Variation,Dacoity - 2001,Dacoity - 2002,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2001,Preparation & Assembly for Dacoity - 2002,Preparation & Assembly for Dacoity - % Variation,Robbery - 2001,Robbery - 2002,Robbery - % Variation,Burglary - 2001,Burglary - 2002,Burglary - % Variation,Theft - Total - 2001,Theft - Total - 2002,Theft - Total - % Variation,Theft - Auto Theft - 2001,Theft - Auto Theft - 2002,Theft - Auto Theft - % Variation,Theft - Other Theft - 2001,Theft - Other Theft - 2002,Theft - Other Theft - % Variation,Riots - 2001,Riots - 2002,Riots - % Variation,Criminal Breach of Trust - 2001,Criminal Breach of Trust - 2002,Criminal Breach of Trust - % Variation,Cheating - 2001,Cheating - 2002,Cheating - % Variation,Counterfeiting - 2001,Counterfeiting - 2002,Counterfeiting - % Variation,Arson - 2001,Arson - 2002,Arson - % Variation,Hurt - 2001,Hurt - 2002,Hurt - % Variation,Dowry Deaths - 2001,Dowry Deaths - 2002,Dowry Deaths - % Variation,Molestation - 2001,Molestation - 2002,Molestation - % Variation,Sexual Harassment - 2001,Sexual Harassment - 2002,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2001,Cruelty by Husband and Relatives - 2002,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2001,Importation of Girls - 2002,Importation of Girls - % Variation,Causing Death by Negligence - 2001,Causing Death by Negligence - 2002,Causing Death by Negligence - % Variation,Other IPC Crimes - 2001,Other IPC Crimes - 2002,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2001,Total Cognizable Crimes under IPC - 2002,Total Cognizable Crimes under IPC - % Variation,Note of - Attempt to Commit Murder - % Variation,Note of - C.H. not Amounting to murder - % Variation,Note of - Rape - Total - % Variation,Note of - Rape - Custodial - % Variation,Note of - Rape - Other - % Variation,Note of - Kidnapping & Abduction of Women & Girls - % Variation,Note of - Kidnapping & Abduction - of Others - % Variation,Note of - Dacoity - % Variation,Note of - Preparation & Assembly for Dacoity - % Variation,Note of - Robbery - % Variation,Note of - Counterfeiting - % Variation,Note of - Arson - % Variation,Note of - Dowry Deaths - % Variation,Note of - Molestation - % Variation,Note of - Cruelty by Husband and Relatives - % Variation,Note of - Importation of Girls - % Variation,Note of - Causing Death by Negligence - % Variation
Union Territory,Lakshadweep,1,0,-100,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,800,10,12,20,0,0,0,10,12,20,1,18,1700,1,0,-100,0,0,0,0,0,0,2,2,0,3,5,66.7,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,17,5,-70.6,36,53,47.2,NA,NA,@,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA
Union Territory,Puducherry,25,29,16,32,43,34.4,1,2,100,9,6,-33.3,0,0,0,9,6,-33.3,4,10,150,3,6,100,1,4,300,1,2,100,0,0,0,4,6,50,111,129,16.2,528,526,-0.4,284,258,-9.2,244,268,9.8,100,193,93,5,11,120,23,31,34.8,3,3,0,31,22,-29,635,1093,72.1,1,5,400,35,59,68.6,27,26,-3.7,3,9,200,0,0,0,166,190,14.5,2324,2042,-12.1,4068,4437,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Total (UTs),611,627,2.6,559,526,-5.9,70,78,11.4,417,434,4.1,0,0,0,417,434,4.1,1698,1401,-17.5,1024,954,-6.8,674,447,-33.7,54,56,3.7,74,68,-8.1,656,543,-17.2,3646,2977,-18.3,21493,18990,-11.6,8711,8384,-3.8,12782,10606,-17,397,460,15.9,539,511,-5.2,2390,2341,-2.1,51,54,5.9,96,92,-4.2,2912,3200,9.9,117,141,20.5,587,562,-4.3,133,185,39.1,194,210,8.2,0,0,0,604,613,1.5,25834,24582,-4.8,63132,58651,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (All-India),Total (All-India),36202,35290,-2.5,31523,30380,-3.6,3367,3624,7.6,16075,16373,1.9,0,3,0,16075,16370,1.8,22487,21850,-2.8,14645,14506,-0.9,7842,7344,-6.4,6154,6101,-0.9,1614,1841,14.1,19901,18764,-5.7,101182,96461,-4.7,252803,247462,-2.1,63713,66668,4.6,189090,180794,-4.4,76222,68945,-9.5,14798,14027,-5.2,44727,46271,3.5,1683,1522,-9.6,10534,11820,12.2,271487,265025,-2.4,6851,6822,-0.4,34124,33943,-0.5,9746,10155,4.2,49170,49237,0.1,114,76,-33.3,57182,64044,12,701362,730297,4.1,1769308,1780330,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Agra,153,158,3.3,162,159,-1.9,18,28,55.6,66,41,-37.9,0,0,0,66,41,-37.9,203,139,-31.5,131,102,-22.1,72,37,-48.6,50,18,-64,3,2,-33.3,171,107,-37.4,432,272,-37,1181,1059,-10.3,509,589,15.7,672,470,-30.1,377,260,-31,148,166,12.2,229,297,29.7,4,6,50,14,19,35.7,451,558,23.7,62,50,-19.4,110,86,-21.8,114,82,-28.1,327,372,13.8,0,0,0,0,0,0,2386,1738,-27.2,6661,5617,-15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Ahmedabad,90,222,146.7,58,143,146.6,60,0,-100,39,12,-69.2,0,0,0,39,12,-69.2,143,153,7,117,92,-21.4,26,61,134.6,18,219,1116.7,4,4,0,192,206,7.3,695,643,-7.5,3588,4007,11.7,1740,1950,12.1,1848,2057,11.3,191,626,227.7,140,128,-8.6,205,245,19.5,13,14,7.7,2,13,550,1311,1398,6.6,7,6,-14.3,54,36,-33.3,27,18,-33.3,530,433,-18.3,0,0,0,0,0,0,6129,5953,-2.9,13496,14479,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Allahabad,60,36,-40,57,61,7,5,10,100,7,17,142.9,0,0,0,7,17,142.9,41,31,-24.4,39,25,-35.9,2,6,200,4,1,-75,0,0,0,37,21,-43.2,96,87,-9.4,496,407,-17.9,106,187,76.4,390,220,-43.6,47,44,-6.4,82,45,-45.1,163,220,35,1,6,500,5,0,-100,296,89,-69.9,7,6,-14.3,20,8,-60,88,36,-59.1,64,59,-7.8,0,0,0,55,86,56.4,495,568,14.7,2126,1838,-13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Amritsar,26,39,50,32,17,-46.9,6,1,-83.3,7,4,-42.9,0,0,0,7,4,-42.9,31,25,-19.4,23,20,-13,8,5,-37.5,0,2,NA,3,7,133.3,6,5,-16.7,145,128,-11.7,131,119,-9.2,68,65,-4.4,63,54,-14.3,1,6,500,21,22,4.8,85,113,32.9,2,3,50,6,1,-83.3,147,132,-10.2,7,6,-14.3,9,10,11.1,0,0,0,72,59,-18.1,0,0,0,61,52,-14.8,264,326,23.5,1062,1077,1.4,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Asansol,NA,11,NA,NA,0,NA,NA,4,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,3,NA,NA,0,NA,NA,3,NA,NA,0,NA,NA,34,NA,NA,5,NA,NA,1,NA,NA,39,NA,NA,15,NA,NA,24,NA,NA,8,NA,NA,7,NA,NA,9,NA,NA,0,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,1,NA,NA,0,NA,NA,28,NA,NA,0,NA,NA,1,NA,NA,206,NA,NA,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Bangalore,221,201,-9,327,311,-4.9,5,4,-20,40,32,-20,0,0,0,40,32,-20,152,159,4.6,56,58,3.6,96,101,5.2,31,27,-12.9,25,47,88,284,365,28.5,2108,2084,-1.1,6293,7081,12.5,2401,2754,14.7,3892,4327,11.2,298,284,-4.7,258,180,-30.2,1708,1788,4.7,79,107,35.4,3,1,-66.7,3735,4029,7.9,40,33,-17.5,223,237,6.3,51,62,21.6,229,242,5.7,0,0,0,38,45,18.4,11106,11801,6.3,27254,29120,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Bhopal,49,40,-18.4,86,62,-27.9,0,0,0,75,56,-25.3,0,0,0,75,56,-25.3,49,32,-34.7,45,14,-68.9,4,18,350,7,0,-100,6,3,-50,92,89,-3.3,798,862,8,1267,1367,7.9,419,551,31.5,848,816,-3.8,62,71,14.5,33,26,-21.2,187,93,-50.3,0,4,NA,6,7,16.7,570,421,-26.1,12,13,8.3,200,175,-12.5,52,41,-21.2,123,114,-7.3,0,0,0,234,94,-59.8,6872,7596,10.5,10780,11166,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
City,Chennai,91,90,-1.1,298,294,-1.3,0,5,NA,28,26,-7.1,0,0,0,28,26,-7.1,40,44,10,0,21,NA,40,23,-42.5,12,14,16.7,0,0,0,127,97,-23.6,668,570,-14.7,2167,2791,28.8,433,444,2.5,1734,2347,35.4,105,52,-50.5,26,13,-50,600,644,7.3,0,2,NA,0,0,0,813,812,-0.1,13,20,53.8,70,61,-12.9,209,941,350.2,111,106,-4.5,0,0,0,675,491,-27.3,1239,1453,17.3,7292,8526,16.9,NA,@,NA,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
City,Coimbatore,16,16,0,20,22,10,0,0,0,4,2,-50,0,0,0,4,2,-50,14,10,-28.6,10,4,-60,4,6,50,4,2,-50,0,0,0,15,12,-20,179,161,-10.1,952,1067,12.1,348,390,12.1,604,677,12.1,79,93,17.7,20,13,-35,110,61,-44.5,4,4,0,1,4,300,152,127,-16.4,5,7,40,19,14,-26.3,38,16,-57.9,28,28,0,0,0,0,187,185,-1.1,1643,1382,-15.9,3490,3226,-7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Delhi (City),450,438,-2.7,442,373,-15.6,58,65,12.1,326,320,-1.8,0,0,0,326,320,-1.8,1349,1086,-19.5,820,759,-7.4,529,327,-38.2,35,42,20,69,65,-5.8,545,432,-20.7,2754,2027,-26.4,18067,15626,-13.5,7507,7070,-5.8,10560,8556,-19,119,111,-6.7,450,411,-8.7,2103,1987,-5.5,42,45,7.1,46,51,10.9,1790,1594,-10.9,84,108,28.6,392,356,-9.2,78,116,48.7,108,127,17.6,0,0,0,323,364,12.7,19713,18414,-6.6,49343,44158,-10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Dhanbad,NA,88,NA,NA,42,NA,NA,13,NA,NA,40,NA,NA,0,NA,NA,40,NA,NA,77,NA,NA,58,NA,NA,19,NA,NA,72,NA,NA,14,NA,NA,64,NA,NA,151,NA,NA,513,NA,NA,36,NA,NA,477,NA,NA,239,NA,NA,40,NA,NA,64,NA,NA,1,NA,NA,9,NA,NA,133,NA,NA,36,NA,NA,57,NA,NA,3,NA,NA,28,NA,NA,0,NA,NA,0,NA,NA,1558,NA,NA,3242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Faridabad,35,29,-17.1,14,12,-14.3,5,2,-60,11,16,45.5,0,0,0,11,16,45.5,53,34,-35.8,37,24,-35.1,16,10,-37.5,4,0,-100,13,12,-7.7,25,13,-48,176,173,-1.7,528,515,-2.5,377,369,-2.1,151,146,-3.3,61,37,-39.3,66,69,4.5,32,45,40.6,4,1,-75,2,2,0,102,96,-5.9,9,10,11.1,16,7,-56.3,184,857,365.8,53,50,-5.7,0,0,0,12,6,-50,1870,2319,24,3275,4305,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Hyderabad,111,117,5.4,113,109,-3.5,7,3,-57.1,37,57,54.1,0,0,0,37,57,54.1,80,115,43.8,39,61,56.4,41,54,31.7,13,11,-15.4,0,2,NA,67,68,1.5,1155,1348,16.7,2792,3777,35.3,1128,1224,8.5,1664,2553,53.4,65,128,96.9,101,127,25.7,1293,1734,34.1,24,21,-12.5,0,8,NA,3137,3714,18.4,24,24,0,118,138,16.9,27,123,355.6,746,590,-20.9,0,0,0,409,440,7.6,1512,1759,16.3,11831,14413,21.8,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,@,NA,NA,NA,NA,NA
City,Indore,78,84,7.7,94,99,5.3,0,1,NA,50,61,22,0,0,0,50,61,22,47,35,-25.5,33,21,-36.4,14,14,0,2,2,0,8,4,-50,88,119,35.2,758,826,9,2401,2563,6.7,1298,1307,0.7,1103,1256,13.9,89,89,0,38,40,5.3,131,111,-15.3,1,6,500,20,20,0,972,882,-9.3,21,13,-38.1,141,132,-6.4,45,46,2.2,100,162,62,0,0,0,157,195,24.2,5022,6188,23.2,10263,11678,13.8,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Jabalpur,56,36,-35.7,124,118,-4.8,28,4,-85.7,64,47,-26.6,0,0,0,64,47,-26.6,22,16,-27.3,15,12,-20,7,4,-42.9,0,1,NA,2,1,-50,108,92,-14.8,439,441,0.5,685,801,16.9,215,363,68.8,470,438,-6.8,60,43,-28.3,5,4,-20,40,69,72.5,0,6,NA,11,11,0,1595,2118,32.8,12,26,116.7,33,120,263.6,37,49,32.4,39,82,110.3,0,0,0,73,90,23.3,2303,2560,11.2,5736,6735,17.4,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,@,NA,NA,NA,NA,NA,NA
City,Jaipur,35,41,17.1,71,89,25.4,3,6,100,28,42,50,0,0,0,28,42,50,176,186,5.7,155,169,9,21,17,-19,1,0,-100,1,4,300,58,65,12.1,737,712,-3.4,2506,2339,-6.7,945,1007,6.6,1561,1332,-14.7,1343,1108,-17.5,177,186,5.1,869,1135,30.6,24,16,-33.3,20,18,-10,953,861,-9.7,16,17,6.3,105,119,13.3,0,0,0,338,397,17.5,0,0,0,314,342,8.9,4406,4075,-7.5,12181,11758,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Jamshedpur,NA,60,NA,NA,153,NA,NA,4,NA,NA,56,NA,NA,0,NA,NA,56,NA,NA,43,NA,NA,18,NA,NA,25,NA,NA,7,NA,NA,1,NA,NA,27,NA,NA,138,NA,NA,510,NA,NA,133,NA,NA,377,NA,NA,106,NA,NA,58,NA,NA,58,NA,NA,0,-,NA,13,-,NA,0,NA,NA,5,NA,NA,27,NA,NA,0,NA,NA,61,NA,NA,0,NA,NA,0,NA,NA,1078,NA,NA,2405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Kanpur,210,202,-3.8,198,166,-16.2,28,24,-14.3,47,30,-36.2,0,0,0,47,30,-36.2,210,163,-22.4,176,126,-28.4,34,37,8.8,30,16,-46.7,1,3,200,128,106,-17.2,361,268,-25.8,1309,1153,-11.9,636,629,-1.1,673,524,-22.1,240,156,-35,178,158,-11.2,301,223,-25.9,3,4,33.3,27,17,-37,1040,664,-36.2,64,50,-21.9,106,75,-29.2,213,123,-42.3,356,307,-13.8,0,0,0,385,419,8.8,1373,1581,15.1,6808,5908,-13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Kochi,20,6,-70,32,39,21.9,3,4,33.3,10,8,-20,0,0,0,10,8,-20,9,5,-44.4,1,3,200,8,2,-75,17,17,0,0,0,0,52,84,61.5,295,331,12.2,496,669,34.9,167,168,0.6,329,501,52.3,174,202,16.1,12,18,50,174,188,8,3,4,33.3,4,10,150,555,502,-9.5,0,1,NA,44,56,27.3,3,4,33.3,62,57,-8.1,0,0,0,2,4,100,4100,4315,5.2,6067,6524,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA
City,Kolkata,65,58,-10.8,152,148,-2.6,8,15,87.5,19,33,73.7,0,0,0,19,33,73.7,121,107,-11.6,78,74,-5.1,43,33,-23.3,26,18,-30.8,60,58,-3.3,149,166,11.4,148,190,28.4,4040,3716,-8,1061,980,-7.6,2979,2736,-8.2,275,242,-12,271,256,-5.5,863,859,-0.5,54,44,-18.5,0,0,0,1346,1173,-12.9,6,4,-33.3,165,160,-3,37,24,-35.1,207,235,13.5,2,0,-100,445,444,-0.2,3511,2713,-22.7,11970,10663,-10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Lucknow,112,109,-2.7,154,123,-20.1,20,26,30,39,22,-43.6,0,0,0,39,22,-43.6,144,163,13.2,107,119,11.2,37,44,18.9,24,20,-16.7,1,0,-100,111,120,8.1,600,576,-4,2024,2015,-0.4,687,796,15.9,1337,1219,-8.8,270,159,-41.1,246,164,-33.3,401,341,-15,3,4,33.3,3,6,100,55,55,0,27,35,29.6,75,47,-37.3,148,102,-31.1,304,324,6.6,0,0,0,220,227,3.2,2625,2316,-11.8,7606,6954,-8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Ludhiana,66,62,-6.1,66,72,9.1,6,11,83.3,34,37,8.8,0,0,0,34,37,8.8,79,123,55.7,42,86,104.8,37,37,0,5,1,-80,25,17,-32,23,11,-52.2,245,334,36.3,603,697,15.6,377,363,-3.7,226,334,47.8,0,0,0,34,54,58.8,421,382,-9.3,5,5,0,3,17,466.7,241,308,27.8,9,15,66.7,45,84,86.7,13,120,823.1,233,136,-41.6,0,0,0,180,160,-11.1,1236,2599,110.3,3572,5245,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Madurai,34,22,-35.3,53,71,34,0,0,0,2,7,250,0,0,0,2,7,250,26,26,0,18,12,-33.3,8,14,75,5,6,20,4,14,250,33,25,-24.2,198,176,-11.1,803,756,-5.9,248,228,-8.1,555,528,-4.9,90,77,-14.4,11,11,0,296,124,-58.1,11,8,-27.3,4,12,200,308,232,-24.7,12,6,-50,20,23,15,52,123,136.5,24,25,4.2,0,0,0,109,104,-4.6,2066,1841,-10.9,4161,3689,-11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Meerut,85,64,-24.7,89,71,-20.2,5,3,-40,6,12,100,0,0,0,6,12,100,90,66,-26.7,51,45,-11.8,39,21,-46.2,17,6,-64.7,0,9,NA,86,61,-29.1,187,124,-33.7,795,545,-31.4,394,303,-23.1,401,242,-39.7,93,51,-45.2,69,48,-30.4,145,114,-21.4,5,4,-20,0,2,NA,48,193,302.1,9,9,0,18,19,5.6,98,62,-36.7,151,142,-6,0,0,0,198,47,-76.3,724,682,-5.8,2918,2334,-20,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,@,NA,NA,NA,NA,NA
City,Mumbai,295,252,-14.6,200,134,-33,6,7,16.7,127,128,0.8,0,0,0,127,128,0.8,148,119,-19.6,12,61,408.3,136,58,-57.4,61,33,-45.9,80,57,-28.8,406,291,-28.3,2863,2597,-9.3,11564,10166,-12.1,3095,3101,0.2,8469,7065,-16.6,196,143,-27,393,342,-13,1270,1155,-9.1,170,76,-55.3,6,5,-16.7,3845,3542,-7.9,18,18,0,274,254,-7.3,44,40,-9.1,198,214,8.1,0,0,0,709,753,6.2,6095,5950,-2.4,28968,26276,-9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Nagpur,112,98,-12.5,70,54,-22.9,2,0,-100,39,49,25.6,0,0,0,39,49,25.6,64,50,-21.9,51,41,-19.6,13,9,-30.8,14,12,-14.3,55,62,12.7,171,146,-14.6,1388,1307,-5.8,2666,2511,-5.8,797,845,6,1869,1666,-10.9,235,254,8.1,74,50,-32.4,263,235,-10.6,11,14,27.3,15,23,53.3,1078,916,-15,7,4,-42.9,75,63,-16,56,38,-32.1,218,210,-3.7,0,0,0,223,218,-2.2,3076,2407,-21.7,9912,8721,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Nasik,25,25,0,14,9,-35.7,2,2,0,9,12,33.3,0,0,0,9,12,33.3,14,17,21.4,9,8,-11.1,5,9,80,7,5,-28.6,1,5,400,16,32,100,263,369,40.3,529,612,15.7,188,211,12.2,341,401,17.6,139,131,-5.8,18,23,27.8,61,98,60.7,0,0,0,19,4,-78.9,245,272,11,3,3,0,19,20,5.3,2,11,450,99,136,37.4,0,0,0,138,143,3.6,572,592,3.5,2195,2521,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Patna,194,244,25.8,279,415,48.7,26,18,-30.8,17,17,0,0,0,0,17,17,0,120,120,0,7,24,242.9,113,96,-15,52,46,-11.5,19,25,31.6,340,416,22.4,324,395,21.9,1344,1476,9.8,391,479,22.5,953,997,4.6,138,116,-15.9,155,166,7.1,273,305,11.7,10,6,-40,21,12,-42.9,146,180,23.3,40,27,-32.5,21,29,38.1,0,0,0,97,103,6.2,28,0,-100,109,183,67.9,1864,1801,-3.4,5617,6100,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Pune,71,95,33.8,44,42,-4.5,3,0,-100,56,51,-8.9,0,0,0,56,51,-8.9,46,36,-21.7,28,22,-21.4,18,14,-22.2,14,8,-42.9,13,6,-53.8,98,80,-18.4,840,836,-0.5,2508,2447,-2.4,1277,1197,-6.3,1231,1250,1.5,903,702,-22.3,84,72,-14.3,347,346,-0.3,5,0,-100,16,13,-18.8,1004,1058,5.4,2,5,150,54,59,9.3,105,97,-7.6,147,131,-10.9,1,0,-100,300,332,10.7,2275,2088,-8.2,8936,8504,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Rajkot,29,35,20.7,33,33,0,1,0,-100,5,6,20,0,0,0,5,6,20,46,40,-13,38,29,-23.7,8,11,37.5,5,17,240,0,0,0,31,25,-19.4,306,294,-3.9,1245,1191,-4.3,530,542,2.3,715,649,-9.2,110,121,10,56,53,-5.4,71,47,-33.8,1,2,100,9,195,2066.7,628,533,-15.1,3,5,66.7,19,28,47.4,12,12,0,199,173,-13.1,0,0,0,82,69,-15.9,1883,1765,-6.3,4774,4644,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Surat,98,81,-17.3,19,28,47.4,2,0,-100,11,18,63.6,0,0,0,11,18,63.6,57,63,10.5,37,36,-2.7,20,27,35,26,37,42.3,5,5,0,59,64,8.5,353,360,2,1422,1503,5.7,958,1039,8.5,464,464,0,127,116,-8.7,66,67,1.5,228,254,11.4,6,4,-33.3,10,24,140,353,365,3.4,20,20,0,10,18,80,1,12,1100,132,112,-15.2,0,0,0,167,276,65.3,823,745,-9.5,3995,4172,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vadodara,34,56,64.7,14,47,235.7,0,0,0,3,5,66.7,0,0,0,3,5,66.7,35,35,0,32,28,-12.5,3,7,133.3,4,17,325,0,0,0,39,85,117.9,244,365,49.6,997,1040,4.3,449,586,30.5,548,454,-17.2,151,340,125.2,104,44,-57.7,182,112,-38.5,3,1,-66.7,7,334,4671.4,365,353,-3.3,0,0,0,11,9,-18.2,10,7,-30,90,80,-11.1,0,0,0,153,113,-26.1,2601,4073,56.6,5047,7116,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Varanasi,48,49,2.1,56,58,3.6,5,5,0,17,8,-52.9,0,0,0,17,8,-52.9,46,37,-19.6,17,26,52.9,29,11,-62.1,7,3,-57.1,0,1,NA,62,36,-41.9,125,101,-19.2,442,416,-5.9,225,228,1.3,217,188,-13.4,43,54,25.6,68,69,1.5,83,87,4.8,9,7,-22.2,0,0,0,103,108,4.9,15,16,6.7,5,8,60,81,93,14.8,58,54,-6.9,0,0,0,78,97,24.4,951,974,2.4,2302,2281,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA
City,Vijayawada,53,39,-26.4,44,49,11.4,5,3,-40,25,31,24,0,0,0,25,31,24,70,78,11.4,48,43,-10.4,22,35,59.1,3,3,0,0,0,0,27,56,107.4,491,723,47.3,2057,2808,36.5,264,278,5.3,1793,2530,41.1,19,5,-73.7,34,34,0,614,784,27.7,10,6,-40,17,42,147.1,1578,1950,23.6,2,9,350,84,119,41.7,122,171,40.2,520,869,67.1,0,0,0,234,247,5.6,724,1057,46,6733,9083,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Vishakhapatnam,22,20,-9.1,10,15,50,1,1,0,13,8,-38.5,0,0,0,13,8,-38.5,13,15,15.4,6,10,66.7,7,5,-28.6,1,1,0,0,0,0,5,7,40,323,250,-22.6,630,573,-9,172,173,0.6,458,400,-12.7,9,13,44.4,37,27,-27,192,240,25,3,5,66.7,15,6,-60,325,375,15.4,0,3,NA,33,28,-15.2,462,18,-96.1,204,235,15.2,0,0,0,196,179,-8.7,910,819,-10,3404,2838,-16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA
Total (Cities),Total (Cities),3044,3223,5.9,3425,3638,6.2,318,269,-15.4,1261,1312,4,0,0,0,1261,1312,4,3738,3451,-7.7,2278,2251,-1.2,1460,1200,-17.8,499,684,37.1,398,462,16.1,3651,3598,-1.5,20694,20220,-2.3,78528,78875,0.4,29410,30600,4,49118,48275,-1.7,6109,6187,1.3,3475,3191,-8.2,13940,14567,4.5,510,436,-14.5,312,900,188.5,29287,29745,1.6,556,612,10.1,2588,2683,3.7,2409,3447,43.1,6167,6481,5.1,31,0,-100,6466,6406,-0.9,102369,107292,4.8,289775,297679,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
