SL.No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
6,Uttar Pradesh,Varanasi,74,25,10,56,102,163,1380,2770,410,267,125,2,6589
7,Uttar Pradesh,Mirzapur,50,17,9,23,31,49,674,928,161,52,28,1,2695
8,Uttar Pradesh,Ghazipur,37,9,1,7,32,47,583,616,157,56,19,NA,1856
9,Uttar Pradesh,Jaunpur,47,14,8,30,93,74,665,781,247,76,35,NA,2571
10,Uttar Pradesh,Ballia,29,13,4,9,40,67,736,899,209,42,13,1,2402
11,Uttar Pradesh,Lucknow,84,23,33,135,102,239,1656,4640,330,472,224,4,9669
12,Uttar Pradesh,Sitapur,123,30,20,124,337,250,1586,2278,206,91,28,NA,5776
13,Uttar Pradesh,Hardoi,132,35,19,61,318,309,1376,1852,271,98,27,NA,5410
14,Uttar Pradesh,kheri,72,19,24,46,144,131,751,1572,157,68,20,NA,3589
15,Uttar Pradesh,Rae Bareli,33,27,10,30,51,68,852,846,188,55,16,NA,2684
16,Uttar Pradesh,Unnao,105,27,14,32,140,177,938,907,223,70,19,NA,3363
17,Uttar Pradesh,Kanpur,152,31,20,200,167,408,2555,5885,439,824,312,2,14347
18,Uttar Pradesh,Fatehpur,77,29,8,17,109,118,898,825,121,52,12,1,2678
19,Uttar Pradesh,Allahabad,111,49,20,85,154,182,1519,2885,377,259,150,NA,7227
20,Uttar Pradesh,Etawah,50,12,12,34,78,114,791,969,185,91,29,NA,2966
21,Uttar Pradesh,Farrukhabad,100,18,6,56,70,166,859,1279,182,106,17,NA,3588
22,Uttar Pradesh,Bareilly,109,32,18,95,112,380,1416,2627,216,211,90,NA,6363
23,Uttar Pradesh,Bijnor,72,17,9,62,63,108,516,1453,229,75,27,2,3219
24,Uttar Pradesh,Badaun,95,36,25,60,64,307,775,1384,157,69,24,NA,3685
25,Uttar Pradesh,Moradabad,181,31,19,84,125,309,956,2233,233,164,50,1,5385
26,Uttar Pradesh,Pilibhit,63,11,8,30,58,80,339,750,108,55,11,NA,1901
27,Uttar Pradesh,Shahjahanpur,117,28,8,59,57,218,918,1679,128,129,30,NA,4116
28,Uttar Pradesh,Rampur,32,9,6,29,35,66,285,605,78,50,33,NA,1726
29,Uttar Pradesh,Agra,94,11,16,139,223,372,1712,2965,450,308,103,3,7784
30,Uttar Pradesh,Mathura,41,8,6,23,62,98,662,900,251,131,52,NA,2754
31,Uttar Pradesh,Etah,104,16,6,75,88,191,769,1168,230,87,13,NA,3402
32,Uttar Pradesh,Aligarh,80,22,14,68,73,97,1084,1947,206,188,51,4,4884
33,Uttar Pradesh,Mainpuri,86,7,8,54,119,142,755,918,224,77,25,NA,2999
34,Uttar Pradesh,Gorakhpur,83,31,12,51,110,208,1369,2342,468,173,57,7,6009
35,Uttar Pradesh,Azamgarh,88,15,4,16,178,176,1222,1595,441,114,27,NA,4667
36,Uttar Pradesh,Basti,59,21,15,60,84,138,1235,1368,491,76,30,3,4541
37,Uttar Pradesh,Deoria,46,25,9,32,100,159,745,1670,377,87,25,1,4043
38,Uttar Pradesh,Faizabad,58,10,12,37,83,94,1318,1510,402,125,38,3,4545
39,Uttar Pradesh,Bahraich,52,10,17,95,81,115,1434,1461,206,70,38,1,4098
40,Uttar Pradesh,Barabanki,73,11,2,42,144,109,1181,1027,188,56,17,NA,3285
41,Uttar Pradesh,Gonda,50,29,16,85,162,279,1794,2077,404,105,37,2,5855
42,Uttar Pradesh,Pratapgarh,29,7,2,22,108,107,462,496,241,36,17,NA,1878
43,Uttar Pradesh,Sultanpur,42,36,7,33,100,64,707,854,308,68,23,NA,2743
44,Uttar Pradesh,Jhansi,42,11,18,43,80,167,1057,1596,232,130,52,NA,4280
45,Uttar Pradesh,Banda,108,13,4,26,86,98,546,646,137,41,18,NA,2179
46,Uttar Pradesh,Hamirpur,98,6,7,15,51,102,574,602,96,45,17,1,2064
47,Uttar Pradesh,Jalaun,45,8,4,22,61,120,692,671,162,55,22,NA,2279
48,Uttar Pradesh,Nainital,41,10,13,48,23,101,477,1341,128,112,27,NA,2926
49,Uttar Pradesh,Almora,1,NA,NA,NA,NA,2,46,45,11,12,1,NA,187
50,Uttar Pradesh,Terhi Garhwal,3,NA,NA,2,3,4,36,27,10,5,1,NA,136
51,Uttar Pradesh,Pauri Garhwal,2,2,NA,6,9,7,55,73,6,12,8,NA,242
52,Uttar Pradesh,Chamoli,NA,NA,NA,2,NA,1,23,35,9,10,1,NA,134
53,Uttar Pradesh,Uttar kashi,NA,NA,NA,1,NA,NA,25,49,7,9,2,NA,120
54,Uttar Pradesh,Pithoragarh,NA,1,1,3,1,6,26,44,18,11,2,NA,179
1,West Bengal,Culcutta,51,10,15,113,20,61,853,4726,661,459,330,3,9793
2,West Bengal,Bankura,31,17,3,10,37,50,206,742,256,58,26,NA,1917
3,West Bengal,Birbhum,33,14,15,16,96,29,450,761,362,37,16,NA,2387
4,West Bengal,Burdwan,108,37,21,62,178,135,715,2685,1030,104,70,2,7548
5,West Bengal,Hooghly,33,19,22,68,76,40,513,1753,609,75,59,5,4840
6,West Bengal,Midnapore,90,45,20,47,144,96,1453,2041,1111,131,64,NA,6795
7,West Bengal,Purulia,34,16,10,15,35,13,210,762,218,28,21,1,1905
8,West Bengal,24 Parganas,134,52,59,241,174,199,1856,7102,2267,310,176,5,16454
9,West Bengal,Murshinabad,46,42,33,35,92,45,325,1820,624,72,64,2,4571
10,West Bengal,Nadia,41,13,15,33,184,96,644,2767,382,93,33,2,4802
11,West Bengal,Hawrah,20,7,17,38,33,76,306,1871,582,112,92,1,5013
12,West Bengal,West Dinajpure,43,22,11,21,152,61,836,843,306,46,23,NA,2886
13,West Bengal,Malda,23,15,14,12,33,18,169,825,409,27,21,1,1920
14,West Bengal,Jalpaiguri,54,35,13,26,66,111,541,1006,325,22,21,1,2988
15,West Bengal,Darjeeling,15,33,5,11,17,13,184,648,61,19,14,NA,1741
16,West Bengal,Cooch Behar,25,10,12,21,124,84,636,548,285,26,35,NA,2295
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,5,NA,NA,1,NA,2,43,59,11,14,NA,NA,322
1,Chandigarh,U.T. of Chandigarh,7,3,4,8,NA,2,113,676,4,26,29,NA,1156
1,Dadar & Nagar Haveli,U.T. of Dadar & Nagar Haveli,6,NA,NA,4,1,2,37,42,3,4,2,NA,101
1,Delhi,Railway,1,NA,NA,5,1,14,3,628,1,52,23,1,782
2,Delhi,North,64,45,16,205,18,180,1424,5427,203,270,278,3,10922
3,Delhi,Central,39,30,11,189,8,114,1015,5129,171,168,230,6,9191
4,Delhi,South,19,12,4,93,NA,30,620,4182,47,63,99,1,6907
5,Delhi,New Delhi,9,3,2,31,NA,40,267,3354,25,105,107,59,4787
1,Daman & Diu,Goa,13,3,1,1,5,14,307,343,35,36,18,5,1224
2,Daman & Diu,Daman,2,NA,NA,5,NA,NA,19,17,2,2,1,NA,78
3,Daman & Diu,Diu,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,19
1,Lakshadweep,Lakshadweep,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,8
1,Pondicherry,Pondicherry,7,1,5,5,NA,2,171,460,124,38,25,2,1908
