SL. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
19,Rajasthan,Bundi,16,5,9,46,1,30,167,229,202,31,20,NA,1390
20,Rajasthan,Jhalawar,24,NA,15,32,2,22,263,315,133,27,25,NA,1618
21,Rajasthan,Tonk,9,NA,6,31,NA,13,114,232,198,11,23,NA,1077
22,Rajasthan,Udaipur,60,3,9,158,4,81,438,762,557,65,122,NA,3876
23,Rajasthan,Banswara,20,NA,7,30,4,34,129,161,172,29,33,NA,1106
24,Rajasthan,Bhilwara,25,3,5,200,1,48,365,514,555,62,143,NA,3182
25,Rajasthan,Chittor,24,3,9,112,NA,48,438,591,477,53,87,NA,3164
26,Rajasthan,Dungarpur,15,NA,8,28,NA,6,91,93,136,20,16,NA,689
27,Rajasthan,G.R.P.,4,NA,NA,3,NA,8,7,552,12,6,4,NA,716
1,Sikkam,East District,4,1,5,2,1,6,37,93,15,9,2,NA,175
2,Sikkam,North District,1,NA,NA,NA,NA,1,8,18,NA,48,NA,NA,76
3,Sikkam,South District,4,NA,NA,1,NA,2,8,17,NA,14,NA,NA,46
4,Sikkam,West District,4,1,1,NA,NA,NA,NA,15,NA,NA,NA,NA,21
1,Tamil Nadu,Chengleput East,25,NA,9,44,2,13,857,2041,428,49,55,1,5421
2,Tamil Nadu,Chengleput West,21,NA,7,20,NA,4,437,1107,482,18,27,1,3730
3,Tamil Nadu,South Arcot,49,NA,3,59,4,8,732,1819,810,96,64,NA,7273
4,Tamil Nadu,Thanjavur East,24,NA,6,42,NA,10,588,1179,556,75,33,1,4374
5,Tamil Nadu,Thanjavur West,34,NA,6,45,NA,11,704,1693,490,81,67,4,5860
6,Tamil Nadu,Tiruchirapalli,80,1,6,51,NA,15,810,2661,822,141,117,NA,8281
7,Tamil Nadu,Pudukkottai,12,NA,NA,26,NA,5,210,369,216,12,68,NA,2007
8,Tamil Nadu,Madurai South,52,NA,7,33,6,10,377,1611,408,118,60,1,4813
9,Tamil Nadu,Madurai North,59,NA,5,33,2,15,359,1026,355,50,32,2,4149
10,Tamil Nadu,Ramnad East,42,NA,1,18,1,5,174,410,296,36,24,1,2856
11,Tamil Nadu,Ramnad S. West,35,NA,2,11,1,18,195,693,162,26,21,3,2814
12,Tamil Nadu,Tirunelveli,109,NA,11,92,4,62,667,1545,665,110,103,1,6061
13,Tamil Nadu,Kanyakumari,30,NA,3,19,NA,4,225,364,158,27,26,3,2759
14,Tamil Nadu,Coimbatore Urban,29,NA,1,11,NA,4,395,1490,236,48,69,2,4041
15,Tamil Nadu,Periyar District,49,NA,3,25,NA,4,274,669,376,28,25,NA,2145
16,Tamil Nadu,Coimbatore Rural,45,NA,4,17,3,8,248,553,284,22,13,NA,2848
17,Tamil Nadu,The Nilgiris,19,3,1,4,2,2,236,229,125,10,8,NA,1256
18,Tamil Nadu,Salem,94,NA,NA,58,1,11,592,1569,540,71,72,4,5577
19,Tamil Nadu,Dharmapuri,36,NA,1,8,7,5,314,572,506,15,10,1,2629
20,Tamil Nadu,North Arcot,70,NA,12,29,6,18,989,2205,717,61,60,3,7323
21,Tamil Nadu,"Government Railway Police, Trichy",5,NA,1,2,1,4,6,678,91,16,12,NA,1240
1,Tripura,Tripura West Tripura District,34,4,3,10,34,60,803,1149,232,13,20,NA,3381
2,Tripura,Tripura South Tripura District,14,6,NA,5,23,29,273,183,157,11,8,NA,1212
3,Tripura,Tripura North Tripura District,13,1,1,9,15,32,210,208,133,16,11,NA,1173
1,Uttar Pradesh,Saharanpur,106,19,20,64,131,143,620,1790,187,85,43,NA,4444
2,Uttar Pradesh,Muzaffaranagar,130,29,17,60,154,112,497,1292,238,71,35,NA,3571
3,Uttar Pradesh,Meerut,176,28,22,114,228,336,1016,3174,405,226,129,NA,7633
4,Uttar Pradesh,Bulandshahr,139,43,22,51,148,232,949,1845,363,102,54,NA,5122
5,Uttar Pradesh,Ghaziabad,112,19,23,56,117,238,739,2128,369,173,75,NA,5513
6,Uttar Pradesh,Bijnaur,59,21,14,57,74,23,12,843,280,34,61,1,2489
7,Uttar Pradesh,Aligarh,153,24,17,84,265,218,938,1436,325,142,84,4,5095
8,Uttar Pradesh,Mathura,60,10,4,29,103,126,544,813,254,62,34,1,2874
9,Uttar Pradesh,Agra,129,30,18,151,278,206,965,2875,294,179,121,1,7210
10,Uttar Pradesh,Mainpuri,143,24,4,65,177,254,609,860,283,47,16,NA,3401
11,Uttar Pradesh,Etah,213,15,28,131,237,229,719,832,308,162,30,NA,3816
12,Uttar Pradesh,Farrukhabad,158,8,8,69,204,173,555,991,151,42,24,NA,3662
13,Uttar Pradesh,Etawah,98,16,7,56,189,196,707,893,214,73,39,NA,3564
14,Uttar Pradesh,Kanpur,188,34,23,68,266,302,1603,4155,361,502,312,18,10546
15,Uttar Pradesh,Fatehpur,150,32,10,19,158,237,523,573,85,36,23,NA,2381
16,Uttar Pradesh,Allahabad,188,81,20,58,174,132,1001,1897,272,197,119,1,5747
17,Uttar Pradesh,Jhansi,46,8,18,20,57,101,493,752,147,48,27,NA,2117
18,Uttar Pradesh,Jalaun,56,21,NA,17,79,129,497,450,125,40,11,NA,1089
19,Uttar Pradesh,Hamirpur,117,25,1,5,169,160,440,368,105,27,14,NA,1875
20,Uttar Pradesh,Banda,159,41,13,22,193,233,610,511,171,33,21,NA,2541
21,Uttar Pradesh,Lalitput,18,12,5,18,43,70,237,290,78,26,11,NA,1044
22,Uttar Pradesh,Varanasi,89,38,7,58,165,125,883,1850,371,182,74,2,5333
23,Uttar Pradesh,Mirzapur,68,20,14,25,92,35,396,827,171,71,20,NA,2545
24,Uttar Pradesh,Jaunpur,48,37,2,20,105,57,431,546,234,61,24,NA,2182
25,Uttar Pradesh,Ghazipur,58,20,1,14,129,54,422,527,161,29,14,NA,1885
26,Uttar Pradesh,Ballia,40,18,4,15,60,60,608,710,184,28,33,NA,2382
27,Uttar Pradesh,Gorakhpur,134,32,21,66,235,208,1011,2014,636,190,88,2,6526
28,Uttar Pradesh,Basti,74,25,11,67,157,129,778,1118,393,118,62,NA,4127
29,Uttar Pradesh,Azamgarh,97,23,6,32,151,122,774,1178,425,105,43,NA,4167
30,Uttar Pradesh,Deoria,86,29,12,42,133,72,684,906,363,86,37,NA,3369
31,Uttar Pradesh,Bareilly,161,41,28,115,134,275,948,2289,213,205,91,NA,6027
32,Uttar Pradesh,Shahjahanpur,145,37,16,79,111,287,664,1529,216,78,46,NA,4232
33,Uttar Pradesh,Badaun,186,28,19,55,138,267,454,1225,145,59,25,NA,3539
34,Uttar Pradesh,Pilibhit,165,12,5,24,37,57,237,498,36,30,18,1,1588
35,Uttar Pradesh,Moradabad,208,26,23,130,111,298,917,2720,300,167,63,1,6573
36,Uttar Pradesh,Rampur,58,13,5,47,61,64,278,672,50,60,40,NA,2082
37,Uttar Pradesh,Lucknow,123,34,34,138,152,301,1866,6185,440,523,233,6,12479
38,Uttar Pradesh,Unnao,147,25,21,36,170,214,755,780,130,46,14,NA,3169
39,Uttar Pradesh,Rae Bareli,73,41,20,39,102,116,675,898,242,84,18,NA,3066
40,Uttar Pradesh,Sitapur,138,51,19,80,127,206,521,1130,180,51,32,NA,3389
41,Uttar Pradesh,Hardoi,158,34,38,62,196,413,936,1294,337,81,36,NA,4800
42,Uttar Pradesh,kheri,113,34,16,65,164,149,533,1447,181,92,30,NA,3561
43,Uttar Pradesh,Faizabad,69,46,15,68,121,152,715,1506,389,97,51,NA,4449
44,Uttar Pradesh,Gonda,93,30,13,93,137,312,911,1428,354,97,50,NA,4648
45,Uttar Pradesh,Bahraich,57,30,19,106,113,102,614,1145,265,65,31,1,3395
46,Uttar Pradesh,Sultanpur,43,28,6,21,80,68,499,619,218,59,50,2,2472
47,Uttar Pradesh,Pratapgarh,69,37,12,20,175,161,505,592,334,54,37,NA,2713
48,Uttar Pradesh,Barabanki,109,34,9,61,153,165,921,918,312,70,23,NA,3480
49,Uttar Pradesh,Dehra Dun,20,8,5,39,13,59,308,663,94,48,29,NA,1639
50,Uttar Pradesh,Uttarkashi,3,NA,NA,5,NA,2,38,42,6,4,1,NA,152
51,Uttar Pradesh,Chamoli,1,NA,NA,2,NA,NA,16,13,3,7,NA,NA,78
52,Uttar Pradesh,Terhi Garhwal,NA,2,2,3,NA,2,29,37,13,6,NA,NA,158
53,Uttar Pradesh,Pauri Garhwal,1,1,3,2,2,7,43,71,11,8,2,NA,205
54,Uttar Pradesh,Nainital,57,9,12,55,47,56,417,851,154,98,37,NA,2543
55,Uttar Pradesh,Almora,NA,NA,1,1,1,4,16,27,10,7,1,NA,98
56,Uttar Pradesh,Pithoragarh,1,NA,NA,4,NA,1,46,34,8,5,5,NA,151
57,Uttar Pradesh,Govt. Rly. Police ,30,6,3,21,54,113,26,5031,69,244,76,2,6074
1,West Bengal,Bankura,39,17,6,9,65,30,119,841,526,56,47,NA,2452
2,West Bengal,Birbhum,42,15,29,16,63,48,238,914,572,42,18,NA,2740
3,West Bengal,Burdwan,115,46,55,72,189,122,417,3261,1131,80,88,NA,7683
4,West Bengal,Hooghly,64,29,30,85,156,77,295,1718,888,80,66,1,5555
5,West Bengal,Purulia,45,15,10,14,57,27,146,973,399,35,9,NA,2327
6,West Bengal,24 Parganas,138,78,104,324,192,155,967,8274,2490,200,179,23,20209
7,West Bengal,Murshidabad,66,44,32,48,55,43,95,1145,949,31,32,NA,3599
8,West Bengal,Nadia,65,14,78,72,142,69,473,2874,1051,54,49,2,6305
9,West Bengal,West Dinajpur,60,52,22,39,105,68,361,1716,736,52,31,NA,4133
10,West Bengal,Jalpaiguri,51,27,26,38,76,88,423,1724,256,31,33,NA,3935
11,West Bengal,Malda,51,28,26,28,30,9,109,539,290,25,17,1,2033
12,West Bengal,Darjeeling,36,10,5,31,43,43,121,1200,146,39,27,NA,2950
13,West Bengal,Cooch Behar,21,13,16,20,56,64,496,744,436,32,21,NA,2444
14,West Bengal,Howrah,60,8,14,58,59,63,176,2413,667,150,113,3,5925
15,West Bengal,Midnapore,100,28,24,62,130,75,890,1971,1936,93,50,NA,6973
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,13,NA,2,7,NA,6,73,134,40,15,1,14,703
1,Arunachal Pradesh,Lohit,2,1,NA,1,NA,NA,4,17,NA,NA,NA,NA,68
2,Arunachal Pradesh,Subansiri ,3,2,1,2,2,2,23,48,3,2,2,NA,187
3,Arunachal Pradesh,Kameng ,6,1,NA,1,NA,1,12,27,4,4,NA,NA,108
4,Arunachal Pradesh,Tirap,3,NA,NA,N,NA,NA,6,25,2,1,NA,NA,61
5,Arunachal Pradesh,Siang ,2,3,5,6,2,9,29,75,5,5,NA,NA,191
1,Chandigarh,U.T. of Chandigarh,8,10,1,20,1,15,177,1484,21,42,61,1,2430
1,Dadar & Nagar Haveli,Dadar & Nagar Haveli,6,NA,3,1,NA,5,17,40,2,17,5,NA,191
1,Delhi,Railway,2,NA,1,4,1,17,NA,798,1,46,10,2,950
2,Delhi,North,54,125,25,181,24,205,752,6467,166,283,356,5,11575
3,Delhi,Central,21,43,13,145,3,61,325,4152,55,102,214,7,6732
4,Delhi,West,41,58,6,129,9,79,539,2895,51,45,99,2,5325
5,Delhi,South,30,41,22,130,16,131,749,6023,62,80,133,3,9846
6,Delhi,New Delhi,4,16,6,36,4,73,298,3160,21,62,135,18,4805
7,Delhi,East Delhi,37,57,10,168,7,50,665,2162,39,50,107,NA,4709
8,Delhi,Palam,NA,NA,1,NA,NA,NA,3,98,NA,6,11,NA,136
1,Daman & Diu,Goa,9,5,3,4,4,33,368,569,99,42,38,1,2125
2,Daman & Diu,Daman,NA,NA,NA,1,NA,NA,13,21,11,NA,2,NA,76
3,Daman & Diu,Diu,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,8
1,Lakshadweep,Lakshadweep,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,6
1,Mizoram,Aizawl,21,NA,26,2,6,38,54,166,20,14,24,NA,776
2,Mizoram,Lunglei,2,NA,1,1,NA,7,6,22,NA,7,4,NA,229
3,Mizoram,Chhimtaipui,4,2,2,4,NA,12,3,18,NA,9,5,NA,272
1,Pondicherry,Pondicherry U.T.,8,NA,5,28,1,7,288,1618,290,80,23,NA,3910
