Sl.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
39,Maharashtra,Solapur Commr.,30,14,2,6,7,4,3,3,0,16,105,287,76,211,28,6,51,3,1,161,2,10,5,43,0,451,1231
40,Maharashtra,Solapur Rural,96,53,6,39,13,9,4,16,3,34,143,280,56,224,127,18,25,0,29,606,1,40,5,36,0,1393,2963
41,Maharashtra,Thane Commr.,119,60,2,49,64,34,30,20,36,150,900,1722,616,1106,122,63,368,6,5,827,0,64,36,189,0,1331,6133
42,Maharashtra,ThaneRural,111,27,11,52,23,14,9,31,6,59,558,515,27,488,185,36,90,8,40,632,6,97,33,102,0,1249,3871
43,Maharashtra,Wardha,57,28,1,45,17,16,1,4,0,19,166,674,36,638,51,19,27,0,29,776,4,94,27,171,0,1554,3763
44,Maharashtra,Washim,26,21,1,14,14,14,0,8,0,30,110,347,5,342,44,7,13,0,30,379,0,43,12,97,0,496,1692
45,Maharashtra,Yavatmal,81,57,2,56,50,47,3,11,3,37,312,844,46,798,82,27,55,0,54,970,26,122,27,167,0,1531,4514
46,Maharashtra,Total,2857,1464,94,1310,1050,662,388,553,288,2530,14930,41470,8516,32954,5633,1701,3877,230,1212,28642,371,2805,930,6768,0,54751,173466
1,Manipur,Bishnupur,43,20,0,1,5,1,4,1,0,3,0,18,0,18,12,2,7,0,12,27,0,1,0,1,0,159,312
2,Manipur,Chandel,6,6,0,0,7,0,7,7,0,5,1,7,0,7,1,0,0,0,2,5,0,0,0,0,0,28,75
3,Manipur,Churachandpur,28,10,0,0,1,0,1,0,0,1,7,10,1,9,0,0,0,0,2,0,0,0,0,0,0,42,101
4,Manipur,Imphal (East),36,37,5,1,20,6,14,2,0,0,19,17,8,9,11,1,11,2,19,29,0,6,0,0,0,155,371
5,Manipur,Imphal (West),38,50,0,2,42,30,12,1,0,1,34,107,43,64,38,4,49,13,16,127,0,7,0,2,0,497,1028
6,Manipur,Senapati,20,1,0,0,1,0,1,1,0,0,1,13,0,13,1,2,2,1,1,0,0,0,0,0,0,86,130
7,Manipur,Tamenglong,9,1,0,0,0,0,0,0,0,0,4,9,1,8,0,0,0,0,0,9,0,1,0,0,0,22,55
8,Manipur,Thoubal,34,14,0,4,14,6,8,0,0,16,5,25,5,20,31,4,72,0,7,59,0,3,0,1,0,167,456
9,Manipur,Ukhrul,3,3,0,0,2,1,1,0,1,1,3,5,0,5,0,0,1,1,2,2,0,0,0,0,0,25,49
10,Manipur,Total,217,142,5,8,92,44,48,12,1,27,74,211,58,153,94,13,142,17,61,258,0,18,0,4,0,1181,2577
1,Meghalaya,Garo Hills East,10,8,0,4,3,0,3,20,0,11,16,24,0,24,1,2,5,0,4,14,0,1,0,0,0,19,142
2,Meghalaya,Garo Hills South,8,6,0,0,0,0,0,5,0,2,2,10,0,10,2,1,0,0,1,1,0,0,0,0,0,23,61
3,Meghalaya,Garo Hills West,19,4,1,6,12,2,10,12,0,20,29,96,10,86,4,0,4,1,2,20,0,0,13,0,0,86,329
4,Meghalaya,Jaintia Hills,20,2,2,7,3,3,0,7,1,6,7,39,0,39,0,2,2,0,4,32,0,1,0,0,0,72,207
5,Meghalaya,Khasi Hills East,49,21,1,10,9,4,5,23,0,41,93,134,17,117,2,10,19,3,10,22,0,6,0,0,0,208,661
6,Meghalaya,Khasi Hills West,8,6,0,6,0,0,0,9,0,13,13,31,0,31,0,0,2,2,0,0,0,0,0,0,0,55,145
7,Meghalaya,Ri-Bhoi,10,2,1,2,4,4,0,16,0,32,7,46,0,46,1,0,1,0,0,13,0,0,0,0,0,22,157
8,Meghalaya,Total,124,49,5,35,31,13,18,92,1,125,167,380,27,353,10,15,33,6,21,102,0,8,13,0,0,485,1702
1,Mizoram,Aizawl,9,10,2,31,3,2,1,1,0,6,233,528,24,504,0,21,79,6,6,37,0,27,0,0,0,106,1105
2,Mizoram,Champhai,11,0,1,7,1,0,1,0,0,3,36,68,0,68,0,1,3,2,0,17,0,9,0,0,0,42,201
3,Mizoram,Kolasib,4,1,4,5,2,0,2,1,0,2,28,72,3,69,1,1,2,0,2,5,0,3,0,0,0,85,218
4,Mizoram,Lawngtlai,1,0,0,4,1,0,1,1,0,0,6,30,0,30,0,1,3,1,1,0,0,2,0,0,0,128,179
5,Mizoram,Lunglei,5,2,0,5,0,0,0,2,0,3,33,115,1,114,0,5,4,0,0,15,0,15,0,0,0,24,228
6,Mizoram,Mamit,1,2,0,1,2,0,2,0,0,3,16,11,0,11,0,0,0,1,2,5,0,1,0,0,0,23,68
7,Mizoram,Saiha,5,1,1,2,0,0,0,1,0,0,22,71,0,71,0,4,11,0,0,17,0,10,0,0,0,88,233
8,Mizoram,Serchhip,4,1,0,3,1,1,0,0,0,0,10,41,4,37,1,1,1,1,0,9,0,3,0,0,0,8,84
9,Mizoram,Total,40,17,8,58,10,3,7,6,0,17,384,936,32,904,2,34,103,11,11,105,0,70,0,0,0,504,2316
1,Nagaland,Dimapur,29,7,0,2,16,4,12,11,0,73,47,100,39,61,0,2,11,2,2,3,0,1,0,0,0,130,436
2,Nagaland,Kiphire,5,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9
3,Nagaland,Kohima,32,13,0,6,5,0,5,22,0,26,28,59,35,24,1,0,44,0,0,0,0,0,0,0,0,140,376
4,Nagaland,Mokokchung,15,2,4,1,0,0,0,5,0,9,22,21,9,12,1,0,1,1,1,8,0,0,0,0,0,28,119
5,Nagaland,Mon,8,0,6,1,2,0,2,2,6,3,21,18,0,18,0,1,0,0,0,9,0,1,0,0,0,21,99
6,Nagaland,Peren,4,6,0,2,2,0,2,0,0,0,2,8,0,8,0,0,0,0,0,0,1,0,0,0,0,17,42
7,Nagaland,Phek,8,3,0,1,2,0,2,2,0,5,12,5,0,5,1,1,0,0,0,5,0,0,0,0,0,19,64
8,Nagaland,Tuensang,3,2,0,0,2,0,2,0,0,2,6,5,0,5,3,0,0,0,0,4,0,0,0,0,0,44,71
9,Nagaland,Workha,7,1,5,0,2,0,2,0,0,5,19,27,0,27,2,0,8,0,0,3,0,0,0,0,0,17,96
10,Nagaland,Zunheboto,0,2,1,1,0,0,0,0,0,2,14,15,1,14,3,2,1,1,0,2,0,0,0,0,0,12,56
11,Nagaland,Total,111,37,16,14,31,4,27,42,6,125,171,261,84,177,11,6,65,4,3,34,1,2,0,0,0,428,1368
1,Orissa,Angul,44,31,0,38,13,13,0,7,0,28,112,173,12,161,45,8,10,0,12,76,7,86,0,45,13,861,1609
2,Orissa,Balasore,54,6,3,64,33,26,7,19,1,61,199,192,20,172,82,13,20,1,24,27,37,84,10,95,0,1356,2381
3,Orissa,Baragarh,26,5,7,12,5,5,0,3,11,15,76,124,0,124,73,7,10,0,17,55,3,24,0,13,0,595,1081
4,Orissa,Berhampur,28,51,2,10,7,7,0,5,6,78,87,150,29,121,33,9,18,0,8,156,5,70,7,18,0,602,1350
5,Orissa,Bhadrak,30,6,1,14,16,15,1,0,0,11,85,91,12,79,56,6,16,1,10,205,15,30,4,10,0,619,1226
6,Orissa,Bolangir,27,34,1,31,8,6,2,2,0,46,105,153,3,150,64,9,21,0,6,82,3,60,14,16,0,756,1438
7,Orissa,Boudh,6,5,1,14,5,5,0,3,0,9,29,40,0,40,16,1,3,0,3,14,1,34,0,11,0,207,402
8,Orissa,Cuttack,60,148,0,44,43,33,10,29,0,163,371,984,89,895,64,37,115,0,26,0,43,51,10,161,0,2455,4804
9,Orissa,Deogarh,20,23,0,12,4,3,1,3,0,4,20,29,0,29,6,1,4,0,9,121,4,43,0,17,0,123,443
10,Orissa,Dhenkanal,31,39,1,22,11,8,3,13,0,29,70,82,8,74,57,7,6,0,22,151,8,54,3,13,0,566,1185
11,Orissa,Gajapati,12,7,1,8,8,8,0,5,0,7,16,29,0,29,18,5,6,0,4,7,1,16,4,11,0,259,424
12,Orissa,Ganjam,65,84,2,23,12,6,6,14,0,45,130,123,6,117,86,23,11,0,28,258,16,132,2,54,0,1018,2126
13,Orissa,jagatsinghpur,16,13,4,27,16,9,7,10,0,34,86,155,19,136,18,6,9,3,5,122,9,10,0,29,0,749,1321
14,Orissa,Jajpur,25,18,0,24,12,7,5,19,0,42,93,139,8,131,42,4,13,0,4,95,16,12,0,35,0,1103,1696
15,Orissa,Jharsuguda,21,27,0,16,2,2,0,12,5,25,73,115,5,110,33,4,10,1,8,50,3,22,2,8,0,338,775
16,Orissa,Kalahandi,30,20,0,24,11,11,0,1,0,32,84,88,9,79,100,1,9,0,5,28,5,46,4,16,0,713,1217
17,Orissa,Kandhamal,24,7,1,15,26,25,1,7,0,19,68,141,1,140,18,5,8,0,20,185,0,75,5,24,0,322,970
18,Orissa,Kendrapara,35,61,1,15,11,9,2,14,5,39,49,62,2,60,27,8,9,0,8,120,14,26,0,56,0,381,941
19,Orissa,Keonjhar,79,34,1,43,17,17,0,7,0,22,112,195,0,195,54,10,16,1,21,46,6,110,13,52,0,1150,1989
20,Orissa,Khurda,39,58,0,45,49,35,14,33,7,165,524,1152,392,760,108,40,123,5,22,1222,10,46,13,137,0,1690,5488
21,Orissa,Koraput,55,25,2,20,4,4,0,7,0,27,118,191,3,188,52,3,18,0,7,50,4,81,0,22,0,909,1595
22,Orissa,Malkangir,48,29,5,9,7,7,0,8,0,7,26,43,1,42,23,0,6,0,3,62,2,19,0,1,0,168,466
23,Orissa,Mayurbhanj,93,35,2,65,23,23,0,17,0,48,164,246,6,240,68,18,13,1,17,13,7,133,0,86,0,1189,2238
24,Orissa,Nayagarh,25,24,0,9,11,8,3,5,1,19,55,86,5,81,27,6,16,0,6,58,13,6,3,13,0,571,954
25,Orissa,Nowrangpur,13,20,0,12,6,5,1,2,0,9,63,65,4,61,41,4,3,0,7,54,0,29,1,16,0,365,710
26,Orissa,Nuapada,9,12,1,9,4,4,0,2,0,4,22,45,3,42,19,7,2,0,3,23,0,15,1,4,0,368,550
27,Orissa,Puri,9,99,0,23,28,23,5,4,5,40,149,284,32,252,22,6,26,0,13,46,37,35,0,47,0,1397,2270
28,Orissa,Rayagada,24,26,1,12,7,7,0,6,0,2,38,92,3,89,45,3,15,0,5,58,0,36,3,34,0,507,914
29,Orissa,Rourkela,22,19,0,5,6,5,1,0,6,19,183,267,46,221,13,8,22,0,5,84,2,52,11,12,0,624,1360
30,Orissa,Sambalpur,38,52,0,21,7,7,0,12,0,71,194,271,0,271,81,8,35,0,20,66,2,68,7,0,0,1370,2323
31,Orissa,Sonepur,23,25,0,11,5,5,0,1,0,9,30,46,3,43,45,7,17,0,4,69,0,42,0,12,0,180,526
32,Orissa,SRP(Cuttack),3,0,0,1,1,1,0,0,0,8,10,249,9,240,3,1,9,0,1,31,1,9,1,3,0,85,416
33,Orissa,SRP(Rourkela),5,2,0,4,2,2,0,2,0,13,17,150,5,145,13,0,2,0,1,13,0,7,0,3,0,94,328
34,Orissa,Sundargarh,99,43,0,45,14,8,6,11,0,38,131,202,3,199,53,10,14,0,4,561,2,95,17,14,0,550,1903
35,Orissa,Total,1138,1088,37,747,434,359,75,283,47,1188,3589,6454,738,5716,1505,285,635,13,358,4208,276,1658,135,1088,13,24240,49419
1,Punjab,Amritsar,46,28,8,9,25,22,3,1,5,4,95,84,34,50,0,11,81,1,3,124,15,11,0,57,0,361,969
2,Punjab,Barnala,22,33,0,7,15,7,8,0,0,1,35,34,12,22,0,13,52,0,0,70,5,14,1,16,0,181,499
3,Punjab,Batala,24,18,2,9,10,6,4,1,2,1,18,18,5,13,0,5,54,10,0,91,5,6,0,18,0,124,416
4,Punjab,Bhatinda,37,32,3,17,23,11,12,1,2,6,79,86,16,70,0,23,130,1,4,199,11,16,1,44,0,249,964
5,Punjab,Faridkot,18,9,1,6,1,1,0,0,1,2,38,39,17,22,0,5,29,0,2,113,1,10,0,4,0,87,366
6,Punjab,Fatehgarh Sahib,30,14,4,5,12,6,6,2,1,5,38,57,22,35,0,32,44,0,0,78,2,3,0,9,0,265,601
7,Punjab,Ferozepur,60,48,6,25,18,9,9,2,2,1,71,127,38,89,0,18,79,2,11,400,7,14,0,43,0,242,1176
8,Punjab,G.R.P.,13,3,0,1,0,0,0,0,4,0,2,40,6,34,0,0,62,35,0,7,1,1,0,0,0,283,452
9,Punjab,Gurdapur,20,16,3,11,11,11,0,0,12,0,19,40,13,27,0,9,40,2,9,69,16,0,0,0,0,301,578
10,Punjab,Hoshiarpur,47,30,0,17,14,5,9,3,1,4,101,130,30,100,0,5,92,1,6,229,7,9,0,35,0,374,1105
11,Punjab,Jagraon,16,18,2,10,12,5,7,1,4,0,45,64,15,49,0,5,37,1,1,111,7,3,0,10,0,191,538
12,Punjab,Jalandhar,79,46,6,28,56,41,15,2,19,2,208,248,125,123,0,19,252,5,7,258,23,11,0,86,0,669,2024
13,Punjab,Kapurthala,17,21,2,6,11,4,7,0,4,3,47,68,32,36,0,7,63,5,6,75,8,10,0,13,0,252,618
14,Punjab,Khanna,15,15,2,8,13,8,5,0,1,3,41,36,17,19,0,23,47,0,2,64,8,7,0,21,0,213,519
15,Punjab,Ludhiana,66,51,6,36,44,22,22,0,16,9,122,326,218,108,0,18,231,3,4,138,12,8,1,224,0,516,1831
16,Punjab,Majitha,32,26,5,12,8,6,2,1,6,1,17,32,10,22,0,1,31,6,4,98,7,11,0,20,0,191,509
17,Punjab,Mansa,12,20,0,8,5,2,3,0,1,0,26,24,6,18,0,6,20,0,2,127,3,7,0,3,0,71,335
18,Punjab,Moga,28,24,0,6,11,7,4,0,6,0,64,74,31,43,0,22,102,0,1,240,4,6,1,12,0,165,766
19,Punjab,Muktsar,19,17,1,9,9,4,5,0,1,1,26,37,8,29,0,10,22,0,0,104,13,9,0,12,0,103,393
20,Punjab,Nawan Shahr,14,24,0,5,12,7,5,1,1,2,42,61,14,47,0,5,100,0,0,120,3,5,0,15,0,177,587
21,Punjab,Patiala,68,93,23,60,99,70,29,4,2,9,427,623,178,445,0,40,417,0,2,418,19,140,32,180,0,3718,6374
22,Punjab,Ropar,28,13,1,18,26,20,6,0,1,1,80,126,54,72,0,10,111,1,6,118,4,19,4,51,0,544,1162
23,Punjab,Sangrur,47,33,2,11,18,9,9,2,5,3,94,87,20,67,0,32,96,3,2,193,9,12,0,21,0,361,1031
24,Punjab,Taran Taran,39,36,3,10,11,9,2,0,1,4,22,48,18,30,0,7,43,1,0,127,9,8,0,23,0,169,561
25,Punjab,Total,797,668,80,334,464,292,172,21,98,62,1757,2509,939,1570,0,326,2235,77,72,3571,199,340,40,917,0,9807,24374
1,Rajasthan,Ajmer,55,73,16,35,118,109,9,6,0,45,352,689,235,454,144,13,341,1,11,237,14,96,4,207,0,3851,6308
2,Rajasthan,Alwer,91,103,3,50,112,87,25,8,3,56,352,1089,318,771,1326,42,288,1,45,92,43,111,0,213,0,4388,8416
3,Rajasthan,Banswara,42,38,0,103,83,78,5,1,0,25,87,154,28,126,589,9,40,0,57,20,9,148,3,165,0,2458,4031
4,Rajasthan,Baran,32,139,2,44,105,104,1,2,0,28,247,404,59,345,193,18,133,4,56,265,9,181,10,138,0,2160,4170
5,Rajasthan,Barmer,22,36,1,20,32,19,13,0,0,16,138,178,41,137,62,6,90,5,22,33,4,78,0,55,0,1682,2480
6,Rajasthan,Bharatpur,69,120,2,47,124,120,4,9,3,52,180,772,134,638,763,21,240,2,66,5,28,68,0,205,0,4474,7250
7,Rajasthan,Bhilwara,36,34,3,52,288,288,0,1,0,67,404,765,224,541,334,30,392,12,39,159,7,136,4,349,0,3794,6906
8,Rajasthan,Bikaner,53,0,2,52,50,50,0,3,0,9,182,405,67,338,226,13,170,3,8,146,23,88,0,160,0,2133,3726
9,Rajasthan,Bundi,29,57,2,26,107,86,21,6,0,48,210,289,33,256,272,13,108,1,24,974,4,144,0,153,0,1370,3837
10,Rajasthan,Chittorgarh,47,44,3,70,276,228,48,3,2,74,514,759,126,633,691,18,258,1,77,2861,4,178,7,398,0,1498,7783
11,Rajasthan,Churu,38,27,1,21,31,23,8,4,1,11,150,291,24,267,219,11,138,1,23,522,10,100,3,135,0,1471,3208
12,Rajasthan,Dausa,19,26,0,22,59,46,13,2,0,9,177,337,64,273,1194,25,98,2,23,0,1,26,0,71,0,1627,3718
13,Rajasthan,Dholpur,49,113,2,36,36,24,12,8,4,45,79,265,16,249,490,12,62,1,19,38,23,51,0,67,0,1407,2807
14,Rajasthan,Dungarpur,33,21,1,30,51,37,14,2,0,11,68,102,22,80,280,14,38,0,35,316,6,54,0,67,0,927,2056
15,Rajasthan,G.R.P.,9,5,0,0,3,0,3,0,0,3,4,389,13,376,9,2,4,1,0,2,1,9,1,1,0,269,712
16,Rajasthan,Ganganagar,76,127,0,78,80,73,7,1,0,23,252,467,110,357,69,71,405,2,11,1188,21,160,0,369,0,2535,5935
17,Rajasthan,Hanumangarh,66,108,0,39,49,29,20,2,2,17,222,322,68,254,174,27,240,0,19,642,20,113,0,223,0,1557,3842
18,Rajasthan,Jaipur,112,73,2,65,265,222,43,8,1,93,1165,3292,928,2364,3330,206,991,39,81,569,46,227,1,493,0,9650,20709
19,Rajasthan,Jaisalmer,5,0,0,6,2,0,2,2,0,7,66,147,10,137,60,2,19,4,3,304,2,16,0,19,0,486,1150
20,Rajasthan,Jalore,29,42,1,8,42,32,10,2,0,21,105,143,18,125,53,9,88,6,43,65,8,61,0,78,0,1721,2525
21,Rajasthan,Jhalawar,43,70,1,93,110,85,25,1,1,55,193,348,48,300,305,14,80,0,67,1139,12,164,0,185,0,870,3751
22,Rajasthan,Jhunjhunu,46,20,0,20,41,41,0,5,0,9,205,323,35,288,451,6,119,0,48,5,17,47,0,93,0,2376,3831
23,Rajasthan,Jodhpur,54,58,0,31,87,61,26,3,0,46,367,807,269,538,231,48,430,9,33,2499,18,93,3,273,0,1226,6316
24,Rajasthan,Karauli,33,0,0,38,70,35,35,0,0,19,74,350,68,282,230,4,88,1,15,16,10,48,0,49,0,2138,3183
25,Rajasthan,Kota,51,325,10,52,157,126,31,5,1,46,511,1125,313,812,272,63,289,1,46,496,13,178,6,286,0,3795,7728
26,Rajasthan,Nagaur,52,22,2,24,62,34,28,1,0,20,244,407,88,319,87,13,174,3,20,794,11,73,0,118,0,2805,4932
27,Rajasthan,Pali,46,62,5,25,79,63,16,3,0,31,244,292,57,235,268,44,178,3,33,59,16,107,0,141,0,3054,4690
28,Rajasthan,Rajsamand,25,25,0,17,106,106,0,1,0,19,151,261,77,184,289,20,130,1,18,1327,6,48,1,123,0,787,3355
29,Rajasthan,Sawal Madhopur,38,0,3,19,62,40,22,1,0,19,91,275,85,190,830,2,96,0,14,15,8,27,0,63,0,1362,2925
30,Rajasthan,Sikar,67,0,0,16,67,35,32,0,0,7,268,406,66,340,1336,16,230,0,50,20,20,58,0,108,0,2026,4695
31,Rajasthan,Sirohi,34,36,1,20,52,49,3,8,0,20,236,137,20,117,106,18,73,2,14,56,5,23,0,67,0,1296,2204
32,Rajasthan,Tonk,33,46,4,23,83,65,18,1,1,13,199,387,68,319,278,19,109,1,36,77,4,102,5,121,0,3207,4749
33,Rajasthan,Udaipur,79,155,2,60,181,155,26,0,5,57,328,649,188,461,526,29,199,3,48,1835,6,79,2,244,0,2568,7055
34,Rajasthan,Total,1513,2005,69,1242,3070,2550,520,99,24,1021,8065,17026,3920,13106,15687,858,6338,110,1104,16776,429,3092,50,5437,0,76968,160983
1,Sikkam,East,12,6,1,4,2,1,1,2,0,2,34,32,0,32,9,4,12,0,1,40,0,0,0,9,0,92,262
2,Sikkam,North,2,1,0,0,0,0,0,0,0,0,4,5,0,5,1,0,0,0,0,9,0,0,0,1,0,8,31
3,Sikkam,South,3,2,0,1,0,0,0,0,0,0,19,13,0,13,4,0,3,0,0,12,0,0,0,2,0,11,70
4,Sikkam,West,2,2,0,1,0,0,0,0,0,0,17,11,0,11,3,0,2,0,0,11,0,0,0,2,0,18,69
5,Sikkam,Total,19,11,1,6,2,1,1,2,0,2,74,61,0,61,17,4,17,0,1,72,0,0,0,14,0,129,432
1,Tamil Nadu,Chengai,59,53,0,27,21,15,6,6,0,32,277,738,123,615,81,11,67,0,25,627,7,55,564,54,0,3705,6409
2,Tamil Nadu,Chennai,62,169,0,24,40,13,27,14,0,100,640,2270,376,1894,86,80,610,96,0,644,22,47,49,112,0,1147,6212
3,Tamil Nadu,Chennai Rly.,3,0,2,0,0,0,0,1,0,9,1,356,0,356,9,2,17,0,0,25,0,0,0,0,0,113,538
4,Tamil Nadu,Coimbatore Rural,72,41,3,16,55,45,10,13,0,38,419,1195,382,813,576,28,66,10,34,734,13,61,32,61,0,5587,9054
5,Tamil Nadu,Coimbatore Urban,18,17,0,6,19,11,8,5,1,30,191,954,336,618,72,37,77,15,4,189,7,17,60,35,0,1914,3668
6,Tamil Nadu,Cuddalore,67,113,3,22,39,11,28,6,0,29,208,696,240,456,321,6,18,1,126,2027,8,86,228,21,0,4296,8321
7,Tamil Nadu,Dharmapuri,136,49,1,12,30,16,14,11,0,29,177,475,180,295,364,15,49,6,82,921,3,47,8,16,0,2921,5352
8,Tamil Nadu,Dindigul,67,54,0,20,72,58,14,9,0,18,180,466,114,352,80,7,46,6,49,488,4,51,22,18,0,2840,4497
9,Tamil Nadu,Erode,50,27,0,11,56,29,27,7,0,18,214,696,241,455,75,17,48,9,37,2586,5,85,31,41,0,2609,6622
10,Tamil Nadu,Kancheepuram,41,49,0,25,17,13,4,6,0,15,176,440,91,349,88,5,31,2,54,331,1,44,48,4,0,4538,5915
11,Tamil Nadu,Kanyakummari,35,42,3,15,12,12,0,2,0,4,166,276,77,199,7,8,24,5,7,505,4,28,73,19,0,2312,3547
12,Tamil Nadu,Karur,20,14,0,9,20,15,5,0,0,11,66,277,125,152,19,7,14,0,8,438,4,21,9,4,0,1182,2123
13,Tamil Nadu,Madurai Rural,65,60,0,16,39,23,16,7,0,55,139,365,140,225,250,10,45,6,44,1964,13,87,2,47,0,1772,4986
14,Tamil Nadu,Madurai Urban,27,69,0,8,22,11,11,7,0,23,110,453,132,321,100,14,303,18,4,186,5,22,94,41,0,2340,3846
15,Tamil Nadu,Nagapattinam,48,69,0,24,43,30,13,2,0,11,107,371,98,273,67,2,14,3,53,1364,10,79,23,13,0,1983,4286
16,Tamil Nadu,Namakkal,37,29,0,9,30,30,0,5,0,5,86,165,73,92,91,7,45,2,9,1361,8,50,23,31,0,413,2406
17,Tamil Nadu,Perambalur,35,39,1,10,36,32,4,4,0,17,75,200,89,111,90,6,17,2,45,835,1,79,11,23,0,1237,2763
18,Tamil Nadu,Pudukottai,29,20,0,4,39,33,6,1,0,2,78,148,50,98,114,13,27,1,17,288,4,42,15,35,0,1940,2817
19,Tamil Nadu,Ramnathapurram,24,36,0,17,17,13,4,2,0,6,97,159,16,143,135,4,16,3,42,682,2,37,14,19,0,1763,3075
20,Tamil Nadu,Salem Rural,79,44,0,10,18,18,0,0,0,1,39,143,46,97,92,0,0,0,19,588,2,38,0,4,0,2256,3333
21,Tamil Nadu,Salem Urban,19,17,2,3,9,0,9,0,6,13,110,519,170,349,22,2,32,4,0,160,4,6,13,8,0,858,1807
22,Tamil Nadu,Sivagangai,41,51,0,17,44,31,13,4,0,8,125,302,53,249,72,3,37,8,30,1067,5,28,3,16,0,1407,3268
23,Tamil Nadu,Thanjiavur,71,100,0,15,61,0,61,3,0,15,176,495,118,377,167,9,55,0,10,747,3,159,397,19,0,1742,4244
24,Tamil Nadu,The Nilgiris,12,21,1,6,4,4,0,1,0,6,73,89,13,76,51,10,12,4,3,225,2,21,2,10,0,846,1399
25,Tamil Nadu,Theni,25,32,0,4,28,18,10,2,0,5,70,235,43,192,59,6,46,8,14,279,3,54,16,14,0,1369,2269
26,Tamil Nadu,Thirunel Veli Rural,85,154,4,54,47,36,11,7,1,26,205,542,54,488,16,17,54,7,83,720,7,124,70,14,0,4082,6319
27,Tamil Nadu,Thirunel Veli Urban,18,39,0,9,12,5,7,1,0,8,61,241,43,198,90,1,16,0,7,91,0,24,82,2,0,814,1516
28,Tamil Nadu,Thiruvannamalal,45,39,2,19,28,26,2,2,0,31,151,414,82,332,290,9,45,1,34,1141,2,59,14,16,7,2280,4629
29,Tamil Nadu,Thiruvarur,29,30,0,9,21,9,12,2,0,4,91,247,53,194,40,3,20,1,33,838,7,44,12,3,0,1542,2976
30,Tamil Nadu,Thoothugudi,82,81,0,9,35,35,0,4,0,15,191,366,52,314,104,16,41,3,51,635,5,94,112,25,0,3115,4984
31,Tamil Nadu,Tiruvalluvar,32,40,3,20,34,31,3,0,1,11,98,223,35,188,200,17,33,0,28,1066,4,57,33,23,0,1490,3413
32,Tamil Nadu,Trichy Rly.,1,1,0,0,0,0,0,1,0,1,5,85,0,85,2,2,2,0,0,19,0,1,4,0,0,102,226
33,Tamil Nadu,Trichy Rural,44,23,0,14,31,25,6,2,0,7,62,253,112,141,91,6,18,4,6,788,3,36,4,12,0,1398,2802
34,Tamil Nadu,Trichy Urban,19,25,0,4,16,9,7,1,0,6,103,716,143,573,25,10,77,5,0,62,3,11,28,21,0,858,1990
35,Tamil Nadu,Vellore,81,35,3,26,84,61,23,16,0,17,336,838,157,681,432,21,107,11,66,2274,8,61,42,6,0,3383,7847
36,Tamil Nadu,Villupuram,91,92,3,22,65,49,16,5,2,24,123,339,91,248,412,12,22,4,83,849,10,103,14,50,0,4965,7290
37,Tamil Nadu,Virudhunagar,42,60,0,22,38,38,0,0,0,10,154,508,86,422,215,9,70,3,30,464,2,90,15,0,0,2848,4580
38,Tamil Nadu,Total,1711,1834,31,538,1182,805,377,159,11,660,5580,17255,4234,13021,5005,432,2221,248,1137,28208,191,1948,2167,837,7,79967,151329
1,Tripura,Dhalal,31,0,0,11,55,1,54,2,0,7,18,9,0,9,21,0,0,2,9,55,0,3,0,6,0,59,288
2,Tripura,North,57,25,0,12,42,10,32,6,0,21,55,37,1,36,36,10,5,0,28,79,2,15,0,41,0,143,614
3,Tripura,South,60,11,0,36,106,14,92,12,0,13,49,55,0,55,122,6,6,0,23,131,6,27,0,44,0,188,895
4,Tripura,West,158,20,0,27,90,15,75,17,0,30,115,193,2,191,107,10,17,4,27,253,8,14,0,38,0,447,1575
5,Tripura,Total,306,56,0,86,293,40,253,37,0,71,237,294,3,291,286,26,28,6,87,518,16,59,0,129,0,837,3372
1,Uttar Pradesh,Agra,147,175,23,42,157,97,60,30,0,147,385,999,363,636,322,150,216,1,33,468,49,96,141,271,0,1975,5827
2,Uttar Pradesh,Aligarh,210,318,14,71,142,90,52,26,6,179,242,853,255,598,439,113,121,0,3,415,54,70,76,278,0,1643,5273
3,Uttar Pradesh,Allahabad,154,198,27,46,103,83,20,28,2,101,357,751,177,574,293,131,193,9,62,421,43,69,198,197,0,2229,5612
4,Uttar Pradesh,Almora,12,27,2,1,2,2,0,1,0,13,18,62,6,56,17,10,8,0,8,21,8,9,4,12,0,105,340
5,Uttar Pradesh,Ambedkar Nagar,46,48,10,18,25,25,0,6,0,28,104,178,8,170,87,28,38,0,10,190,9,13,8,86,0,493,1425
6,Uttar Pradesh,Auraiya,53,56,9,13,36,17,19,4,0,18,46,89,6,83,49,14,15,0,7,150,24,14,3,26,0,471,1097
7,Uttar Pradesh,Azamgarh,103,120,22,15,44,32,12,6,0,67,155,278,30,248,128,18,48,2,6,216,34,14,17,34,0,767,2094
