Sr. No.,Category,States/ UTs/ Cities,Murder - 2003,Murder - 2004,Murder - % Variation,Attempt to Commit Murder - 2003,Attempt to Commit Murder - 2004,Attempt to Commit Murder - % Variation,C.H. Not Amounting - 2003,C.H. Not Amounting - 2004,C.H. Not Amounting - % Variation,Rape - Total - 2003,Rape - Total - 2004,Rape - Total - % Variation,Rape - Custodial - 2003,Rape - Custodial - 2004,Rape - Custodial - % Variation,Rape - Other - 2003,Rape - Other - 2004,Rape - Other - % Variation,Kidnapping & Abduction - Total - 2003,Kidnapping & Abduction - Total - 2004,Kidnapping & Abduction - Total - % Variation,Kidnapping & Abduction of Women & Girls - 2003,Kidnapping & Abduction of Women & Girls - 2004,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction - of Others - 2003,Kidnapping & Abduction - of Others - 2004,Kidnapping & Abduction - of Others - % Variation,Dacoity - 2003,Dacoity - 2004,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2003,Preparation & Assembly for Dacoity - 2004,Preparation & Assembly for Dacoity - % Variation,Robbery - 2003,Robbery - 2004,Robbery - % Variation,Burglary - 2003,Burglary - 2004,Burglary - % Variation,Theft - Total - 2003,Theft - Total - 2004,Theft - Total - % Variation,Theft - Auto Theft - 2003,Theft - Auto Theft - 2004,Theft - Auto Theft - % Variation,Theft - Other Theft - 2003,Theft - Other Theft - 2004,Theft - Other Theft - % Variation,Riots - 2003,Riots - 2004,Riots - % Variation,Criminal Breach of Trust - 2003,Criminal Breach of Trust - 2004,Criminal Breach of Trust - % Variation,Cheating - 2003,Cheating - 2004,Cheating - % Variation,Counterfeiting - 2003,Counterfeiting - 2004,Counterfeiting - % Variation,Arson - 2003,Arson - 2004,Arson - % Variation,Hurt - 2003,Hurt - 2004,Hurt - % Variation,Dowry Deaths - 2003,Dowry Deaths - 2004,Dowry Deaths - % Variation,Molestation - 2003,Molestation - 2004,Molestation - % Variation,Sexual Harassment - 2003,Sexual Harassment - 2004,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2003,Cruelty by Husband and Relatives - 2004,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2003,Importation of Girls - 2004,Importation of Girls - % Variation,Causing Death by Negligence - 2003,Causing Death by Negligence - 2004,Causing Death by Negligence - % Variation,Other IPC Crimes - 2003,Other IPC Crimes - 2004,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2003,Total Cognizable Crimes under IPC - 2004,Total Cognizable Crimes under IPC - % Variation,Note of C.H. Not Amounting - % Variation,Note of Rape - Custodial - % Variation,Note of Kidnapping & Abduction - Total - % Variation,Note of Kidnapping & Abduction of Women & Girls - % Variation,Note of Kidnapping & Abduction - of Others - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Riots - % Variation,Note of Counterfeiting - % Variation,Note of Arson - % Variation,Note of Dowry Deaths - % Variation,Note of Cruelty by Husband and Relatives - % Variation,Note of Importation of Girls - % Variation,Note of Causing Death by Negligence - % Variation
Union Territory,Union Territory,Total (UTs),573,557,-2.8,466,562,20.6,68,106,55.9,520,592,13.8,0,0,0,520,592,13.8,1216,1290,6.1,845,942,11.5,371,348,-6.2,43,33,-23.3,108,137,26.9,478,474,-0.8,2372,2273,-4.2,17524,21275,21.4,8336,9889,18.6,9188,11386,23.9,356,339,-4.8,494,491,-0.6,2354,2531,7.5,54,51,-5.6,97,60,-38.1,2979,2982,0.1,133,138,3.8,573,683,19.2,138,181,31.2,1318,1342,1.8,0,0,0,599,653,9,23546,25807,9.6,56009,62557,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (All-India),Total (All-India),Total (All-India),32716,33608,2.7,25942,27890,7.5,4029,3935,-2.3,15847,18233,15.1,0,2,0,15847,18231,15.1,19992,23327,16.7,13296,15578,17.2,6696,7749,15.7,5303,5311,0.2,2302,2340,1.7,17512,18458,5.4,92827,92490,-0.4,245237,273045,11.3,69307,80682,16.4,175930,192363,9.3,57334,59971,4.6,13432,14176,5.5,47478,51939,9.4,2055,1529,-25.6,9365,8637,-7.8,261444,276868,5.9,6208,7026,13.2,32939,34567,4.9,12325,10001,-18.9,50703,58121,14.6,46,89,93.5,60672,69423,14.4,700412,741031,5.8,1716120,1832015,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,City,Agra,61,72,18,53,71,34,19,12,-36.8,11,16,45.5,0,0,0,11,16,45.5,65,111,70.8,53,87,64.2,12,24,100,16,6,-62.5,0,1,NA,30,50,66.7,149,168,12.8,582,944,62.2,375,636,69.6,207,308,48.8,83,144,73.5,58,107,84.5,94,138,46.8,21,17,-19,1,5,400,213,238,11.7,26,30,15.4,30,42,40,44,82,86.4,140,212,51.4,0,0,0,30,185,516.7,501,791,57.9,2227,3442,54.6,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
37,City,Ahmedabad,90,92,2.2,68,62,-8.8,3,5,66.7,18,40,122.2,0,0,0,18,40,122.2,157,215,36.9,96,122,27.1,61,93,52.5,31,33,6.5,6,4,-33.3,365,271,-25.8,959,931,-2.9,5377,5711,6.2,2287,2153,-5.9,3090,3558,15.1,212,162,-23.6,294,275,-6.5,394,333,-15.5,6,7,16.7,10,10,0,1371,1594,16.3,3,10,233.3,50,63,26,30,20,-33.3,595,768,29.1,0,0,0,173,165,-4.6,5987,6782,13.3,16199,17553,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,City,Allahabad,49,41,-16.3,39,50,28.2,7,7,0,2,2,0,0,0,0,2,2,0,21,27,28.6,18,17,-5.6,3,10,233.3,8,0,-100,0,1,NA,20,21,5,70,100,42.9,232,365,57.3,151,205,35.8,81,160,97.5,27,72,166.7,28,44,57.1,71,90,26.8,4,3,-25,3,0,-100,31,38,22.6,8,11,37.5,3,4,33.3,14,17,21.4,37,65,75.7,0,0,0,66,72,9.1,332,521,56.9,1072,1551,44.7,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
39,City,Amritsar,41,43,4.9,22,43,95.5,3,1,-66.7,11,22,100,0,0,0,11,22,100,32,27,-15.6,29,26,-10.3,3,1,-66.7,0,0,0,5,3,-40,14,6,-57.1,126,115,-8.7,144,163,13.2,81,112,38.3,63,51,-19,2,4,100,19,22,15.8,144,156,8.3,4,5,25,1,0,-100,139,153,10.1,3,5,66.7,7,9,28.6,4,7,75,43,45,4.7,0,0,0,30,57,90,349,318,-8.9,1143,1204,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,City,Asansol,28,28,0,5,6,20,5,8,60,8,9,12.5,0,0,0,8,9,12.5,11,10,-9.1,11,1,-90.9,0,9,NA,2,3,50,73,23,-68.5,9,7,-22.2,8,19,137.5,75,112,49.3,15,34,126.7,60,78,30,37,62,67.6,1,7,600,20,13,-35,1,0,-100,0,1,NA,100,40,-60,4,7,75,19,37,94.7,1,2,100,128,247,93,0,0,0,64,105,64.1,728,316,-56.6,1327,1062,-20,NA,NA,NA,NA,@,NA,NA,NA,@,NA,NA,NA,NA
41,City,Bangalore,216,214,-0.9,280,285,1.8,1,2,100,34,32,-5.9,0,0,0,34,32,-5.9,132,175,32.6,11,61,454.5,121,114,-5.8,46,37,-19.6,46,73,58.7,311,455,46.3,1713,1874,9.4,7123,8241,15.7,2682,3205,19.5,4441,5036,13.4,273,323,18.3,241,145,-39.8,1780,1534,-13.8,87,22,-74.7,0,3,NA,3847,3542,-7.9,34,44,29.4,213,151,-29.1,39,35,-10.3,213,227,6.6,0,0,0,84,104,23.8,12547,11008,-12.3,29260,28526,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA
42,City,Bhopal,39,54,38.5,88,72,-18.2,0,0,0,58,47,-19,0,0,0,58,47,-19,48,40,-16.7,42,35,-16.7,6,5,-16.7,1,0,-100,3,4,33.3,87,96,10.3,814,882,8.4,1449,1920,32.5,660,870,31.8,789,1050,33.1,62,100,61.3,28,24,-14.3,89,103,15.7,16,8,-50,16,12,-25,557,610,9.5,11,16,45.5,168,161,-4.2,15,21,40,120,135,12.5,0,0,0,124,136,9.7,7987,7827,-2,11780,12268,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,City,Chennai,71,67,-5.6,279,210,-24.7,4,4,0,38,30,-21.1,1,0,-100,37,30,-18.9,34,37,8.8,0,20,NA,34,17,-50,6,4,-33.3,0,0,0,74,47,-36.5,649,430,-33.7,3779,3263,-13.7,959,784,-18.2,2820,2479,-12.1,43,33,-23.3,19,25,31.6,627,359,-42.7,8,3,-62.5,1,0,-100,749,667,-10.9,18,23,27.8,90,55,-38.9,212,189,-10.8,159,154,-3.1,0,0,0,547,570,4.2,1173,6266,434.2,8580,12436,44.9,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,City,Coimbatore,22,17,-22.7,17,15,-11.8,0,0,0,4,4,0,0,0,0,4,4,0,6,8,33.3,1,4,300,5,4,-20,3,3,0,0,0,0,29,17,-41.4,173,148,-14.5,993,1064,7.2,374,410,9.6,619,654,5.7,106,194,83,27,33,22.2,69,66,-4.3,3,1,-66.7,1,4,300,115,144,25.2,1,4,300,18,16,-11.1,6,4,-33.3,24,28,16.7,0,0,0,159,185,16.4,1411,1876,33,3187,3831,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,City,Delhi (City),401,401,0,330,439,33,50,75,50,406,457,12.6,0,0,0,406,457,12.6,968,1066,10.1,673,766,13.8,295,300,1.7,22,27,22.7,102,113,10.8,372,403,8.3,1566,1586,1.3,14322,17894,24.9,6886,8338,21.1,7436,9556,28.5,59,55,-6.8,389,405,4.1,1962,2209,12.6,43,43,0,54,36,-33.3,1495,1564,4.6,100,111,11,406,506,24.6,81,128,58,1163,1235,6.2,0,0,0,348,392,12.6,17322,19532,12.8,41961,48677,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,City,Dhanbad,36,31,-13.9,10,19,90,2,9,350,21,23,9.5,0,0,0,21,23,9.5,25,27,8,22,24,9.1,3,3,0,14,16,14.3,3,0,-100,21,27,28.6,82,80,-2.4,231,241,4.3,28,31,10.7,203,210,3.4,102,118,15.7,2,2,0,32,38,18.8,0,0,0,0,0,0,307,348,13.4,11,14,27.3,5,5,0,0,0,0,2,3,50,0,0,0,0,0,0,1023,725,-29.1,1929,1726,-10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,City,Faridabad,29,32,10.3,14,12,-14.3,1,4,300,15,16,6.7,0,0,0,15,16,6.7,41,47,14.6,34,38,11.8,7,9,28.6,2,2,0,12,8,-33.3,5,8,60,189,183,-3.2,498,585,17.5,356,452,27,142,133,-6.3,48,48,0,74,72,-2.7,30,12,-60,5,2,-60,0,0,0,123,136,10.6,4,13,225,7,14,100,778,434,-44.2,76,90,18.4,0,0,0,6,10,66.7,2030,1420,-30,3987,3148,-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,City,Hyderabad,124,121,-2.4,132,135,2.3,5,1,-80,57,56,-1.8,0,0,0,57,56,-1.8,155,136,-12.3,64,62,-3.1,91,74,-18.7,18,11,-38.9,1,2,100,91,71,-22,1875,1359,-27.5,6574,5735,-12.8,2195,2078,-5.3,4379,3657,-16.5,231,141,-39,158,110,-30.4,2093,2160,3.2,21,19,-9.5,68,37,-45.6,4595,4837,5.3,42,29,-31,165,144,-12.7,296,206,-30.4,1082,1142,5.5,0,2,NA,489,482,-1.4,1980,1932,-2.4,20252,18868,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
49,City,Indore,53,69,30.2,99,91,-8.1,3,6,100,54,74,37,0,0,0,54,74,37,48,36,-25,34,24,-29.4,14,12,-14.3,4,4,0,7,2,-71.4,128,100,-21.9,826,727,-12,2494,2319,-7,1386,1277,-7.9,1108,1042,-6,95,69,-27.4,48,75,56.3,111,131,18,5,1,-80,30,20,-33.3,785,1011,28.8,15,23,53.3,161,174,8.1,62,56,-9.7,226,230,1.8,0,0,0,205,220,7.3,6827,6497,-4.8,12286,11935,-2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,City,Jabalpur,65,52,-20,92,137,48.9,0,0,0,61,49,-19.7,0,0,0,61,49,-19.7,24,28,16.7,18,13,-27.8,6,15,150,2,4,100,0,8,NA,82,71,-13.4,531,434,-18.3,944,794,-15.9,408,462,13.2,536,332,-38.1,79,42,-46.8,19,27,42.1,75,113,50.7,2,4,100,5,0,-100,2538,2892,13.9,21,10,-52.4,139,134,-3.6,102,87,-14.7,71,54,-23.9,0,0,0,0,180,NA,2138,1275,-40.4,6990,6395,-8.5,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,@
51,City,Jaipur,50,47,-6,88,84,-4.5,7,7,0,35,56,60,0,0,0,35,56,60,158,161,1.9,137,134,-2.2,21,27,28.6,2,4,100,1,3,200,42,42,0,675,695,3,2553,3370,32,1213,1735,43,1340,1635,22,918,641,-30.2,192,207,7.8,1147,1261,9.9,17,15,-11.8,18,16,-11.1,862,935,8.5,14,21,50,95,133,40,0,0,0,347,402,15.9,0,0,0,344,386,12.2,4014,4738,18,11579,13224,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,City,Jamshedpur,71,60,-15.5,112,54,-51.8,2,0,-100,48,24,-50,0,0,0,48,24,-50,43,50,16.3,40,40,0,3,10,233.3,21,8,-61.9,4,0,-100,47,23,-51.1,157,131,-16.6,553,521,-5.8,122,6,-95.1,431,515,19.5,145,82,-43.4,25,69,176,91,104,14.3,0,0,0,3,11,266.7,352,103,-70.7,16,3,-81.3,27,29,7.4,0,0,0,73,47,-35.6,0,0,0,153,102,-33.3,607,782,28.8,2550,2203,-13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,City,Kanpur,187,149,-20.3,107,126,17.8,38,36,-5.3,24,20,-16.7,0,0,0,24,20,-16.7,84,109,29.8,58,83,43.1,26,26,0,7,5,-28.6,3,5,66.7,67,62,-7.5,167,161,-3.6,830,938,13,588,634,7.8,242,304,25.6,61,96,57.4,71,98,38,119,211,77.3,5,7,40,7,6,-14.3,328,402,22.6,43,46,7,39,40,2.6,144,239,66,106,202,90.6,0,0,0,260,361,38.8,921,1207,31.1,3618,4526,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,City,Kochi,21,13,-38.1,28,21,-25,7,11,57.1,11,7,-36.4,0,0,0,11,7,-36.4,11,18,63.6,5,8,60,6,10,66.7,26,8,-69.2,0,0,0,66,56,-15.2,304,307,1,486,486,0,145,169,16.6,341,317,-7,220,189,-14.1,19,15,-21.1,290,377,30,1,0,-100,15,4,-73.3,531,555,4.5,0,1,NA,77,64,-16.9,7,5,-28.6,54,79,46.3,0,0,0,1,1,0,4654,4539,-2.5,6829,6756,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA
55,City,Kolkata,52,37,-28.8,123,78,-36.6,13,16,23.1,36,27,-25,0,0,0,36,27,-25,108,119,10.2,85,95,11.8,23,24,4.3,33,19,-42.4,60,53,-11.7,173,117,-32.4,144,140,-2.8,3684,3695,0.3,929,763,-17.9,2755,2932,6.4,200,227,13.5,222,225,1.4,990,922,-6.9,95,12,-87.4,0,0,0,1225,1228,0.2,16,10,-37.5,185,174,-5.9,57,34,-40.4,222,252,13.5,0,1,NA,447,431,-3.6,2629,2940,11.8,10714,10757,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
56,City,Lucknow,103,106,2.9,69,111,60.9,18,17,-5.6,20,29,45,0,0,0,20,29,45,81,128,58,64,104,62.5,17,24,41.2,5,8,60,1,3,200,93,89,-4.3,301,432,43.5,962,2143,122.8,118,1017,761.9,844,1126,33.4,77,123,59.7,144,181,25.7,266,311,16.9,11,18,63.6,6,5,-16.7,48,20,-58.3,19,22,15.8,36,41,13.9,267,136,-49.1,194,255,31.4,0,0,0,233,221,-5.2,1323,1901,43.7,4277,6300,47.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,City,Ludhiana,58,51,-12.1,58,53,-8.6,5,10,100,33,44,33.3,0,0,0,33,44,33.3,80,66,-17.5,46,46,0,34,20,-41.2,1,0,-100,18,18,0,12,8,-33.3,336,140,-58.3,722,355,-50.8,358,204,-43,364,151,-58.5,0,0,0,45,30,-33.3,330,319,-3.3,8,2,-75,9,2,-77.8,260,212,-18.5,5,5,0,70,31,-55.7,159,22,-86.2,111,95,-14.4,0,0,0,173,181,4.6,1763,907,-48.6,4256,2551,-40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,City,Madurai,27,16,-40.7,39,32,-17.9,1,0,-100,7,8,14.3,0,0,0,7,8,14.3,24,27,12.5,16,23,43.8,8,4,-50,5,2,-60,0,0,0,12,18,50,83,79,-4.8,468,529,13,82,185,125.6,386,344,-10.9,64,71,10.9,5,10,100,115,143,24.3,2,1,-50,6,7,16.7,224,143,-36.2,10,5,-50,29,34,17.2,49,40,-18.4,35,38,8.6,0,0,0,84,103,22.6,1964,1858,-5.4,3253,3164,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,City,Meerut,74,82,10.8,58,78,34.5,3,8,166.7,14,13,-7.1,0,0,0,14,13,-7.1,46,62,34.8,28,35,25,18,27,50,4,12,200,10,3,-70,42,64,52.4,116,104,-10.3,485,855,76.3,274,525,91.6,211,330,56.4,36,58,61.1,42,59,40.5,71,96,35.2,11,7,-36.4,1,2,100,19,35,84.2,10,7,-30,13,27,107.7,153,115,-24.8,141,153,8.5,0,0,0,159,85,-46.5,133,554,316.5,1641,2479,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,City,Mumbai,242,253,4.5,115,127,10.4,8,4,-50,133,187,40.6,0,0,0,133,187,40.6,150,178,18.7,85,113,32.9,65,65,0,30,42,40,53,68,28.3,239,302,26.4,2550,2978,16.8,9793,11510,17.5,2883,3247,12.6,6910,8263,19.6,131,213,62.6,392,510,30.1,1178,1427,21.1,73,96,31.5,7,10,42.9,3562,3702,3.9,8,13,62.5,282,321,13.8,44,78,77.3,199,248,24.6,0,0,0,632,735,16.3,5865,6451,10,25686,29453,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,City,Nagpur,104,112,7.7,40,56,40,0,2,NA,26,41,57.7,0,0,0,26,41,57.7,36,49,36.1,29,38,31,7,11,57.1,16,21,31.3,37,33,-10.8,172,178,3.5,1079,1107,2.6,2022,2447,21,722,919,27.3,1300,1528,17.5,165,199,20.6,46,37,-19.6,151,194,28.5,16,6,-62.5,14,22,57.1,783,915,16.9,4,9,125,36,41,13.9,36,52,44.4,136,156,14.7,0,0,0,224,228,1.8,2214,2613,18,7357,8518,15.8,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,City,Nasik,27,19,-29.6,20,13,-35,1,4,300,11,15,36.4,0,0,0,11,15,36.4,14,17,21.4,12,12,0,2,5,150,13,6,-53.8,3,2,-33.3,31,17,-45.2,375,350,-6.7,705,808,14.6,241,295,22.4,464,513,10.6,86,80,-7,25,15,-40,101,148,46.5,2,0,-100,4,6,50,233,228,-2.1,4,4,0,18,26,44.4,14,15,7.1,116,126,8.6,0,0,0,153,144,-5.9,586,563,-3.9,2542,2606,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,City,Patna,260,282,8.5,384,102,-73.4,25,24,-4,15,26,73.3,0,0,0,15,26,73.3,150,206,37.3,11,31,181.8,139,175,25.9,59,63,6.8,25,23,-8,594,641,7.9,377,510,35.3,1367,1166,-14.7,654,1051,60.7,713,115,-83.9,127,162,27.6,150,141,-6,312,288,-7.7,23,47,104.3,31,23,-25.8,173,147,-15,35,22,-37.1,31,18,-41.9,0,0,0,80,91,13.8,0,0,0,148,169,14.2,2179,3446,58.1,6545,7597,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,City,Pune,110,100,-9.1,54,76,40.7,4,3,-25,40,63,57.5,0,0,0,40,63,57.5,46,70,52.2,27,51,88.9,19,19,0,11,24,118.2,8,13,62.5,97,130,34,868,843,-2.9,2740,3905,42.5,1568,2076,32.4,1172,1829,56.1,531,524,-1.3,63,67,6.3,462,433,-6.3,7,2,-71.4,7,9,28.6,983,1153,17.3,2,0,-100,61,67,9.8,92,98,6.5,166,174,4.8,0,0,0,368,427,16,2093,2573,22.9,8813,10754,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,City,Rajkot,37,37,0,12,16,33.3,1,0,-100,5,9,80,0,0,0,5,9,80,34,39,14.7,30,32,6.7,4,7,75,7,6,-14.3,0,2,NA,51,24,-52.9,350,332,-5.1,1525,1216,-20.3,655,613,-6.4,870,603,-30.7,98,72,-26.5,38,29,-23.7,77,69,-10.4,10,6,-40,16,8,-50,357,341,-4.5,5,4,-20,8,10,25,13,10,-23.1,158,184,16.5,0,0,0,87,93,6.9,1913,1832,-4.2,4802,4339,-9.6,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA
66,City,Surat,75,74,-1.3,16,8,-50,5,5,0,25,24,-4,0,0,0,25,24,-4,62,72,16.1,40,47,17.5,22,25,13.6,16,31,93.8,3,1,-66.7,57,61,7,388,317,-18.3,1749,1543,-11.8,1192,1063,-10.8,557,480,-13.8,64,62,-3.1,54,46,-14.8,239,140,-41.4,21,10,-52.4,7,9,28.6,428,467,9.1,19,17,-10.5,17,21,23.5,2,6,200,126,102,-19,0,0,0,234,383,63.7,794,732,-7.8,4401,4131,-6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,City,Vadodara,38,28,-26.3,28,33,17.9,1,0,-100,8,6,-25,0,0,0,8,6,-25,36,44,22.2,31,34,9.7,5,10,100,6,14,133.3,0,0,0,44,40,-9.1,434,488,12.4,1385,1414,2.1,692,709,2.5,693,705,1.7,195,164,-15.9,97,88,-9.3,197,268,36,2,3,50,20,16,-20,366,305,-16.7,0,0,0,17,10,-41.2,5,8,60,136,140,2.9,0,0,0,123,125,1.6,2574,2357,-8.4,5712,5551,-2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,City,Varanasi,49,48,-2,36,38,5.6,11,16,45.5,4,3,-25,0,0,0,4,3,-25,14,29,107.1,6,18,200,8,11,37.5,3,2,-33.3,2,2,0,19,30,57.9,61,88,44.3,303,488,61.1,215,353,64.2,88,135,53.4,26,35,34.6,35,36,2.9,27,39,44.4,19,3,-84.2,0,0,0,63,75,19,10,10,0,2,3,50,58,49,-15.5,14,33,135.7,0,0,0,69,1,-98.6,321,529,64.8,1146,1557,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,City,Vijayawada,34,46,35.3,58,43,-25.9,0,1,NA,27,19,-29.6,0,0,0,27,19,-29.6,63,76,20.6,45,43,-4.4,18,33,83.3,5,4,-20,0,0,0,61,29,-52.5,876,555,-36.6,3417,2272,-33.5,351,356,1.4,3066,1916,-37.5,17,12,-29.4,54,27,-50,816,531,-34.9,27,6,-77.8,21,17,-19,2101,2218,5.6,7,10,42.9,170,132,-22.4,146,196,34.2,1208,678,-43.9,0,0,0,249,240,-3.6,727,547,-24.8,10084,7659,-24,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,City,Vishakhapatnam,19,27,42.1,21,27,28.6,0,3,NA,9,12,33.3,0,0,0,9,12,33.3,30,27,-10,20,16,-20,10,11,10,4,1,-75,0,0,0,5,12,140,281,333,18.5,532,733,37.8,174,176,1.1,358,557,55.6,1,3,200,81,62,-23.5,290,280,-3.4,24,2,-91.7,3,8,166.7,362,374,3.3,3,1,-66.7,11,24,118.2,30,43,43.3,146,243,66.4,0,0,0,195,183,-6.2,1214,784,-35.4,3261,3182,-2.4,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (Cities),Total (Cities),Total (Cities),2963,2921,-1.4,2994,2823,-5.7,253,301,19,1329,1510,13.6,1,0,-100,1328,1510,13.7,3037,3537,16.5,1921,2303,19.9,1116,1234,10.6,449,430,-4.2,486,471,-3.1,3562,3593,0.9,19652,19126,-2.7,81098,89745,10.7,32019,37143,16,49079,52602,7.2,4621,4580,-0.9,3205,3325,3.7,14860,15016,1,600,378,-37,385,309,-19.7,30225,31372,3.8,531,560,5.5,2705,2761,2.1,2960,2434,-17.8,7847,8333,6.2,0,3,0,6661,7462,12,100823,108939,8,291246,309929,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
