Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate,SC/ST (Prev) of Atrocities Act for SCs - Incidence,SC/ST (Prev) of Atrocities Act for SCs - Rate,SC/ST (Prev) of Atrocities Act for STs - Incidence,SC/ST (Prev) of Atrocities Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
State,Maharashtra,1521,1.6,463,0.5,23897,24.7,0,0,132228,136.7,61,0.1,233,0.2,18667,19.3,18,0,61,0.1,61,0.1,0,0,28,0,955,1,0,0,0,0,27,0,43,0,9,0,643,0.7,0,0,187,0.2,146,0.2,41,0,43,0,23076,23.9,202160,208.9
State,Manipur,29,1.2,130,5.4,8,0.3,0,0,0,0,15,0.6,4,0.2,0,0,0,0,0,0,0,0,0,0,2,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,41.4,1179,49.4
State,Meghalaya,48,2.1,16,0.7,30,1.3,11,0.5,0,0,6,0.3,0,0,0,0,5,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,30,1.3,149,6.5
State,Mizoram,28,3.1,43,4.8,2,0.2,0,0,228,25.6,7,0.8,2,0.2,0,0,159,17.8,0,0,0,0,0,0,15,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,72.8,1133,127.2
State,Nagaland,22,1.1,217,10.9,0,0,2,0.1,40,2,3,0.2,1,0.1,2,0.1,14,0.7,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,9.9,499,25.1
State,Orissa,226,0.6,116,0.3,755,2.1,8033,21.9,0,0,99,0.3,24,0.1,16,0,2,0,16,0,12,0,4,0,0,0,114,0.3,0,0,0,0,436,1.2,0,0,0,0,14,0,0,0,798,2.2,645,1.8,153,0.4,2,0,540,1.5,11191,30.5
State,Punjab,1011,4.2,2231,9.2,3391,14,14922,61.4,4,0,15,0.1,32,0.1,144,0.6,8,0,1,0,1,0,0,0,62,0.3,92,0.4,0,0,0,0,0,0,0,0,1,0,53,0.2,0,0,49,0.2,49,0.2,0,0,0,0,867,3.6,22883,94.2
State,Rajasthan,2482,4.4,705,1.2,9461,16.8,7003,12.4,0,0,389,0.7,68,0.1,1390,2.5,3,0,0,0,0,0,0,0,48,0.1,274,0.5,0,0,4,0,4,0,10,0,46,0.1,333,0.6,0,0,3630,6.4,2965,5.3,665,1.2,1733,3.1,4328,7.7,31911,56.5
State,Sikkim,6,1.1,7,1.3,0,0,0,0,0,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6.5,51,9.4
State,Tamil Nadu,118,0.2,4237,6.8,17348,27.9,0,0,255576,411.5,360,0.6,5232,8.4,42,0.1,7,0,22,0,22,0,0,0,27,0,32,0.1,0,0,0,0,33,0.1,0,0,11,0,322,0.5,0,0,684,1.1,682,1.1,2,0,0,0,226899,365.3,510950,822.6
State,Tripura,40,1.3,9,0.3,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,69,2.2
State,Uttar Pradesh,32634,19.7,9916,6,6576,4,19277,11.6,0,0,960,0.6,26,0,15096,9.1,55,0,12,0,12,0,0,0,5,0,96,0.1,0,0,2,0,340,0.2,1,0,3,0,154,0.1,0,0,4960,3,4885,2.9,75,0,2553,1.5,385571,232.2,478237,288
State,Uttaranchal,1416,16.7,297,3.5,238,2.8,2760,32.5,3,0,10,0.1,0,0,45,0.5,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,0.1,0,0,0,0,10,0.1,0,0,93,1.1,84,1,9,0.1,196,2.3,34465,406.4,39548,466.4
State,West Bengal,1806,2.3,506,0.6,604,0.8,794,1,13,0,134,0.2,31,0,4145,5.2,1049,1.3,0,0,0,0,0,0,1,0,537,0.7,0,0,21,0,6,0,0,0,0,0,168,0.2,0,0,6,0,5,0,1,0,0,0,1183213,1474.9,1193034,1487.2
State,Total (States),56509,5.6,23711,2.3,150171,14.9,105983,10.5,508937,50.4,4493,0.4,8656,0.9,64358,6.4,1422,0.1,676,0.1,618,0.1,58,0,356,0,4187,0.4,0,0,39,0,3213,0.3,83,0,1050,0.1,2659,0.3,0,0,14758,1.5,13094,1.3,1664,0.2,5548,0.5,2599117,257.2,3555926,351.9
Union Territory,A & N Islands,0,0,0,0,17,4.8,2959,831.2,130,36.5,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,132,3578,1005.1
Union Territory,Chandigarh,9,1,39,4.3,107,11.9,393,43.6,0,0,2,0.2,3,0.3,0,0,3,0.3,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,2,0.2,1,0.1,12,1.3,0,0,2,0.2,2,0.2,0,0,0,0,203,22.5,778,86.3
Union Territory,D & N Haveli,3,1.4,2,0.9,2,0.9,8,3.6,0,0,2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0,0,3,1.4,0,0,17,7.7,42,19.1
