States/UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft Total,Auto theft,Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Chhattisgarh,Bizapur,76,122,0,5,0,5,1,0,1,61,0,4,10,6,0,6,13,1,3,0,10,22,0,3,0,0,0,7,57,401
Chhattisgarh,Dantewara,73,36,0,15,0,15,6,5,1,13,0,3,57,58,10,48,12,1,4,1,4,56,0,12,0,2,0,41,304,698
Chhattisgarh,Dhamtari,11,7,0,26,0,26,9,9,0,0,0,3,136,128,25,103,20,3,5,2,6,90,2,80,11,15,0,81,674,1309
Chhattisgarh,Durg,90,65,0,128,0,128,28,19,9,1,2,71,508,950,285,665,54,12,76,5,32,494,14,216,23,107,0,276,3495,6647
Chhattisgarh,Grp Raipur,5,5,0,2,0,2,1,1,0,0,0,6,11,238,17,221,5,0,1,2,1,17,2,6,0,2,0,2,79,385
Chhattisgarh,Jagdalpur,63,44,0,74,0,74,9,0,9,8,4,12,177,173,29,144,54,1,31,3,7,170,3,50,2,24,0,127,1051,2087
Chhattisgarh,Janjgir,50,20,2,43,0,43,10,5,5,3,0,8,223,301,77,224,102,8,25,7,6,273,12,77,8,104,0,106,1317,2705
Chhattisgarh,Jashpur,63,20,4,68,0,68,19,18,1,7,2,34,78,72,26,46,16,3,22,1,5,145,3,45,10,6,0,46,290,959
Chhattisgarh,Kabirdham,16,8,2,24,0,24,4,4,0,0,1,1,92,119,15,104,23,0,8,0,6,332,1,55,3,31,0,22,371,1119
Chhattisgarh,Kanker,40,28,0,32,0,32,11,9,2,28,0,14,58,64,9,55,37,2,4,2,17,68,0,26,0,9,0,47,535,1022
Chhattisgarh,Korba,35,12,3,27,0,27,3,2,1,2,0,15,136,322,97,225,33,1,20,3,10,419,7,48,4,29,0,132,822,2083
Chhattisgarh,Koriya,34,20,1,51,0,51,5,5,0,4,1,15,142,128,18,110,27,1,15,0,4,150,3,64,1,43,0,66,568,1343
Chhattisgarh,Mahasamund,19,9,2,25,0,25,7,5,2,2,2,10,120,219,43,176,13,6,21,3,9,213,3,81,6,23,0,92,666,1551
Chhattisgarh,Narayanpur,13,41,0,1,0,1,0,0,0,24,0,7,8,6,0,6,1,3,0,0,6,19,0,6,0,1,0,5,22,163
Chhattisgarh,Raigarh,62,29,2,35,0,35,11,11,0,8,1,30,175,430,133,297,61,10,22,1,14,159,9,64,2,32,0,144,933,2234
Chhattisgarh,Raipur,92,59,2,125,0,125,46,41,5,4,2,42,619,1027,474,553,101,38,80,27,19,373,16,235,29,94,0,352,4072,7454
Chhattisgarh,Rajnandgaon,40,26,0,81,0,81,8,6,2,7,4,16,157,234,59,175,29,2,16,0,17,121,5,69,6,25,0,124,1432,2419
Chhattisgarh,Sarguja,52,22,5,74,0,74,19,0,19,10,1,28,210,198,48,150,70,4,18,2,12,96,1,77,1,31,0,53,859,1843
Chhattisgarh,Surajpur,56,17,2,41,0,41,8,7,1,2,1,18,130,129,15,114,46,4,4,0,4,109,1,62,2,24,0,65,488,1213
Chhattisgarh,Total,1013,660,41,990,0,990,246,184,62,204,25,401,3621,5600,1619,3981,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,43633
Goa,North Goa,22,10,4,11,0,11,7,4,3,1,0,15,172,290,101,189,32,30,30,3,7,89,0,15,6,7,0,123,431,1305
Goa,South Goa,23,5,1,9,0,9,10,8,2,1,0,13,93,205,84,121,13,20,28,3,5,66,2,15,2,4,0,86,210,814
Goa,Total,45,15,5,20,0,20,17,12,5,2,0,28,265,495,185,310,45,50,58,6,12,155,2,30,8,11,0,209,641,2119
Gujarat,Ahmedabad Commr.,76,49,4,35,0,35,219,136,83,23,3,159,825,5359,2264,3095,150,267,344,9,6,1361,1,54,26,745,0,188,7565,17468
Gujarat,Ahmedabad Rural,28,7,2,7,0,7,29,26,3,9,1,29,94,242,59,183,48,38,9,8,5,310,0,15,0,72,0,279,1693,2925
Gujarat,Ahwa-dang,5,1,0,5,0,5,0,0,0,0,0,1,2,3,1,2,3,4,2,1,0,30,0,5,0,5,0,17,62,146
Gujarat,Amreli,24,14,1,11,0,11,49,47,2,3,0,18,127,186,49,137,28,31,10,16,15,286,2,18,1,127,0,97,2514,3578
Gujarat,Anand,20,7,1,7,0,7,24,20,4,8,0,17,119,320,146,174,20,68,19,8,9,333,1,28,2,97,0,182,1787,3077
Gujarat,Bharuch,35,10,1,8,0,8,23,15,8,8,0,14,139,323,123,200,29,56,9,10,12,335,0,16,5,46,0,211,1398,2688
Gujarat,Bhavnagar,66,31,0,14,0,14,85,70,15,30,0,164,398,1116,345,771,190,91,155,46,41,93,3,79,33,216,0,3,4732,7586
Gujarat,Dahod,48,13,1,9,0,9,29,26,3,20,2,26,77,128,72,56,54,10,3,4,14,279,0,28,0,28,0,0,750,1523
Gujarat,Gandhinagar,20,6,0,9,0,9,29,20,9,5,0,23,124,395,152,243,19,12,37,9,16,237,4,8,4,101,0,151,1437,2646
Gujarat,Himatnagar,26,12,2,12,0,12,32,31,1,15,0,20,145,222,70,152,60,47,25,28,16,349,0,42,0,147,0,237,2943,4380
Gujarat,Jamnagar,41,19,1,14,0,14,20,15,5,1,0,14,152,402,140,262,45,48,26,16,11,366,0,15,3,188,0,4,2496,3882
Gujarat,Junagadh,33,27,0,13,0,13,38,32,6,6,0,43,225,469,182,287,67,68,37,35,17,487,5,54,9,421,0,210,3522,5786
Gujarat,Kheda North,30,8,1,14,0,14,30,29,1,7,0,18,114,336,96,240,42,33,19,15,8,316,0,39,0,155,0,216,2596,3997
Gujarat,Kutch,35,23,0,9,0,9,45,36,9,9,0,33,233,411,176,235,61,34,72,15,9,424,4,42,2,234,0,260,2466,4421
Gujarat,Mehsana,30,21,1,6,0,6,55,47,8,19,1,55,258,599,104,495,71,48,70,14,10,488,1,25,0,221,0,151,2648,4792
Gujarat,Narmada,15,2,0,6,0,6,1,1,0,4,0,2,26,30,4,26,19,5,1,0,3,92,0,2,0,4,0,36,801,1049
Gujarat,Navsari,14,3,0,6,0,6,6,5,1,4,0,7,52,95,52,43,5,19,12,11,1,83,2,3,0,31,0,0,892,1246
Gujarat,Palanpur,40,24,1,11,0,11,23,21,2,11,0,20,192,306,65,241,34,12,39,14,14,980,1,26,0,79,0,184,1834,3845
Gujarat,Panchmahal,50,6,0,12,0,12,32,28,4,5,0,23,135,251,92,159,28,39,14,7,16,204,1,75,3,86,0,0,2272,3259
Gujarat,Patan,24,13,1,6,0,6,22,19,3,6,0,13,84,303,50,253,38,27,5,10,23,305,0,24,0,111,0,95,1536,2646
Gujarat,Porbandar,10,8,0,1,0,1,9,8,1,0,0,13,48,61,26,35,7,11,7,7,6,128,1,5,0,36,0,58,670,1086
Gujarat,Rajkot Commr.,24,12,0,7,0,7,37,33,4,7,0,31,265,989,529,460,64,39,47,43,5,333,0,7,7,153,0,93,1771,3934
Gujarat,Rajkot Rural,35,32,4,18,0,18,56,48,8,6,0,27,185,369,99,270,76,135,29,15,20,443,4,39,1,278,0,220,2817,4809
Gujarat,Surat Commr.,86,23,3,23,0,23,114,72,42,22,4,56,429,1797,1140,657,118,65,202,31,8,637,12,50,4,190,0,404,995,5273
Gujarat,Surat Rural,46,9,2,9,0,9,14,14,0,12,0,17,92,181,64,117,27,14,26,13,8,198,5,4,0,23,0,334,1212,2246
Gujarat,Surendranagar,30,21,0,13,0,13,38,31,7,8,0,23,126,305,71,234,77,40,8,22,7,494,0,36,1,90,0,151,2036,3526
Gujarat,Vadodara Commr.,26,24,1,5,0,5,39,26,13,6,2,20,392,1341,689,652,174,34,192,16,6,300,0,13,2,136,0,122,2425,5276
Gujarat,Vadodara Rural,70,13,0,21,0,21,37,36,1,9,0,16,105,166,56,110,40,38,15,12,12,339,0,25,0,38,0,213,1854,3023
Gujarat,Valsad,34,13,0,11,0,11,25,20,5,17,0,17,153,319,121,198,29,24,38,10,2,241,1,17,0,31,0,0,712,1694
Gujarat,W.Rly,12,1,0,2,0,2,4,4,0,2,2,47,16,940,46,894,5,13,69,2,0,32,0,8,1,1,0,4,446,1607
Gujarat,Total,1033,452,27,324,0,324,1164,916,248,282,15,966,5332,17964,7083,10881,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,113414
Haryana,Ambala,24,16,2,19,0,19,24,19,5,1,2,15,179,275,116,159,2,48,66,1,8,254,9,19,16,130,0,2,952,2064
