SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
30,Madhya Pradesh,Raisen,35,38,4,40,14,13,1,9,0,36,259,499,102,22,8,0,940,2006
31,Madhya Pradesh,Rajgarh,41,51,4,64,25,18,7,5,2,35,222,457,87,7,17,0,1833,2850
32,Madhya Pradesh,Rajnandgaon,32,15,0,68,14,12,2,3,0,29,368,585,39,32,37,0,1717,2939
33,Madhya Pradesh,Ratlam,43,42,0,29,29,24,5,5,3,44,435,854,51,27,22,0,2070,3654
34,Madhya Pradesh,Riwa,41,39,18,26,27,20,7,7,5,35,703,692,116,5,20,1,1802,3537
35,Madhya Pradesh,Sagar,67,114,3,87,33,33,0,3,1,67,692,846,147,11,53,0,3955,6079
36,Madhya Pradesh,Sarguja,87,48,1,83,36,34,2,4,0,42,620,623,116,6,17,0,2107,3790
37,Madhya Pradesh,Satna,45,27,0,14,7,5,2,20,3,48,520,625,96,3,19,0,1556,2983
38,Madhya Pradesh,Shahdol,45,16,0,24,18,18,0,6,3,29,583,510,61,13,20,0,2297,3625
39,Madhya Pradesh,Shajapur,43,36,3,48,8,7,1,2,3,45,264,855,109,47,15,0,1520,2998
40,Madhya Pradesh,Shivpuri,49,39,1,39,12,10,2,8,3,64,292,349,94,11,23,0,1751,2735
41,Madhya Pradesh,Sidhi,39,16,5,13,11,9,2,5,5,15,368,304,39,8,7,0,1086,1921
42,Madhya Pradesh,Sihore,25,36,1,46,26,26,0,3,2,15,213,517,77,9,12,1,1328,2311
43,Madhya Pradesh,Sivani,32,31,4,45,12,11,1,0,0,18,308,390,61,24,18,0,1761,2704
44,Madhya Pradesh,Tikamgarh,35,32,3,39,15,15,0,12,3,35,169,214,46,1,19,0,1407,2030
45,Madhya Pradesh,Ujjain,92,96,2,47,44,35,9,9,1,73,878,1610,85,28,62,0,3080,6107
46,Madhya Pradesh,Vidisha,39,57,0,72,9,9,0,4,0,34,247,553,38,9,22,0,1834,2918
47,Madhya Pradesh,Bhopal Rly.,8,1,1,4,3,3,0,0,1,21,15,814,12,3,6,0,327,1216
48,Madhya Pradesh,Indore Rly.,0,4,2,6,2,2,0,0,0,7,3,239,10,0,2,0,226,501
49,Madhya Pradesh,Jabalpur Rly.,3,3,0,2,0,0,0,0,1,8,6,259,11,0,1,0,110,404
50,Madhya Pradesh,Raipur Rly.,2,6,0,2,3,3,0,1,0,7,12,394,9,6,3,1,140,586
51,Madhya Pradesh,Total,2904,2979,189,2302,1307,1202,105,333,94,2576,24044,43311,4809,935,1667,59,122047,209556
1,Maharashtra,Ahmednagar,96,4,3,22,27,16,11,32,0,97,400,1007,183,47,35,6,2619,4578
2,Maharashtra,Akola,69,41,0,23,28,26,2,22,0,80,768,2513,115,36,51,12,3566,7324
3,Maharashtra,Amravati,76,15,0,68,50,45,5,24,0,164,920,3963,352,67,88,1,3777,9565
4,Maharashtra,Aurangabad,51,24,0,12,40,30,10,32,0,119,669,1669,321,40,67,2,2595,5641
5,Maharashtra,Beed,62,23,3,8,24,0,24,32,0,92,321,778,295,36,32,0,2014,3720
6,Maharashtra,Bhandara,73,33,0,46,5,0,5,5,0,28,379,758,44,18,21,0,1985,3395
7,Maharashtra,Bombay,446,285,5,107,303,187,116,83,31,871,2355,15161,250,776,1278,56,16295,38302
8,Maharashtra,Buldhana,59,18,2,26,25,24,1,22,1,47,365,1393,114,27,23,5,2676,4803
9,Maharashtra,Chandrapur,59,29,2,47,33,30,3,28,0,67,345,787,93,32,54,0,2517,4093
10,Maharashtra,Dhule,101,33,1,18,21,17,4,23,0,56,325,779,190,62,43,4,1871,3527
11,Maharashtra,Gadchiroli,25,11,0,24,12,11,1,17,0,33,98,209,28,10,14,0,886,1367
12,Maharashtra,Jalgaon,90,47,0,22,24,12,12,23,1,57,395,1032,107,51,62,2,2306,4219
13,Maharashtra,Jalna,37,17,2,4,18,14,4,42,0,82,334,905,161,9,58,0,1549,3218
14,Maharashtra,Kolhapur,89,24,2,25,24,13,11,13,0,40,382,735,195,44,95,12,1519,3199
15,Maharashtra,Latur,42,17,2,5,26,26,0,7,0,30,152,472,64,20,21,1,1320,2179
16,Maharashtra,Nagpur Commr.,122,65,2,46,58,39,19,17,0,333,849,3084,213,120,183,12,4494,9598
17,Maharashtra,Nagpur Rural,73,30,1,26,28,21,7,15,0,62,398,1338,190,28,28,0,2871,5088
18,Maharashtra,Nanded,78,34,0,11,35,15,20,40,2,163,458,1130,218,47,54,0,2153,4423
19,Maharashtra,Nasik Commr.,20,11,1,7,14,5,9,5,0,24,221,593,39,23,33,3,865,1859
20,Maharashtra,Nasik Rural,58,25,1,19,19,13,6,18,0,45,292,755,175,40,37,4,3707,5195
21,Maharashtra,Osmanabad,34,9,2,11,12,12,0,10,0,28,128,387,112,15,11,1,850,1610
22,Maharashtra,Parbhani,56,28,1,11,28,26,2,20,2,93,307,827,119,28,29,1,2130,3680
23,Maharashtra,Pune Commr.,83,54,4,22,63,41,22,9,1,126,789,2933,180,97,148,42,5741,10292
24,Maharashtra,Pune Rural,98,32,2,26,20,16,4,29,0,39,390,579,109,22,20,7,2254,3627
25,Maharashtra,Raigad,56,14,1,16,5,1,4,17,0,18,132,212,62,19,14,0,1836,2402
26,Maharashtra,Ratnagiri,28,10,0,8,10,10,0,1,0,16,210,206,59,12,16,5,763,1344
27,Maharashtra,Sangli,59,23,1,33,10,7,3,1,0,37,268,786,86,36,48,5,1381,2774
28,Maharashtra,Satara,66,17,0,26,15,6,9,14,0,29,372,811,134,28,45,2,2698,4257
29,Maharashtra,Sindhudurg,17,5,0,5,3,3,0,4,0,16,157,182,34,3,13,2,483,924
30,Maharashtra,Solapur,145,52,2,21,29,23,6,14,1,71,287,652,175,39,39,17,2272,3816
31,Maharashtra,Thane Commr.,153,60,1,30,76,45,31,50,5,191,1231,2198,360,127,118,5,2566,7171
32,Maharashtra,Thane Rural,153,40,5,33,38,19,19,39,1,93,521,735,224,56,27,7,2356,4328
33,Maharashtra,Wardha,46,23,0,35,22,15,7,12,0,30,322,906,67,23,29,0,1653,3168
34,Maharashtra,Yavatmal,54,27,1,26,22,22,0,19,0,51,626,1787,100,67,27,1,2344,5152
35,Maharashtra,Bombay Rly.,8,2,0,1,5,0,5,2,0,51,4,2715,20,51,39,1,270,3169
36,Maharashtra,Nagpur Rly.,7,6,0,4,6,3,3,7,0,29,3,1162,22,21,20,0,150,1437
37,Maharashtra,Pune Rly.,6,5,2,1,3,0,3,6,0,18,4,1013,13,20,10,0,107,1208
38,Maharashtra,Total,2795,1193,49,875,1181,793,388,754,45,3426,16177,57152,5223,2197,2930,216,91439,185652
1,Manipur,Bishnupur,4,5,0,5,7,7,0,0,0,0,8,20,23,2,6,1,132,213
2,Manipur,Chandel,6,5,2,0,3,3,0,1,0,5,8,8,2,1,2,6,43,92
3,Manipur,Churachandpur,3,2,0,2,5,3,2,1,0,1,16,26,7,6,5,2,69,145
4,Manipur,Imphal,36,22,2,8,58,52,6,0,0,3,78,109,48,11,29,4,513,921
5,Manipur,Senapati,13,8,2,1,0,0,0,2,0,7,5,33,13,4,5,0,90,183
6,Manipur,Tamenglong,1,0,0,2,0,0,0,1,0,7,7,11,11,4,3,0,27,74
7,Manipur,Thoubal,13,1,2,3,26,20,6,3,0,15,20,51,39,6,15,0,273,467
8,Manipur,Ukhrul,24,3,0,0,0,0,0,0,0,3,9,31,4,3,2,0,86,165
9,Manipur,Total,100,46,8,21,99,85,14,8,0,41,151,289,147,37,67,13,1233,2260
1,Meghalaya,Garo Hills East,3,1,0,1,1,1,0,1,0,2,24,28,1,0,0,0,45,107
2,Meghalaya,Garo Hills West,8,3,1,10,7,7,0,8,0,7,64,181,8,3,8,2,161,471
3,Meghalaya,Jaintia Hills,41,5,0,5,0,0,0,8,0,8,6,28,0,1,2,1,91,196
4,Meghalaya,Khasi Hills East,50,6,3,18,13,13,0,15,0,29,83,231,34,16,28,0,278,804
5,Meghalaya,Khasi Hills West,16,1,1,3,0,0,0,1,0,1,2,32,6,1,0,0,74,138
6,Meghalaya,Total,118,16,5,37,21,21,0,33,0,47,179,500,49,21,38,3,649,1716
1,Mizoram,Aizawl,15,18,0,48,11,0,11,9,0,39,183,416,0,35,65,4,298,1141
2,Mizoram,Chhimtuipui,9,1,0,0,0,0,0,2,0,5,8,18,0,1,1,0,95,140
3,Mizoram,Lunglei,3,0,0,8,1,0,1,0,0,1,33,76,0,13,9,0,187,331
4,Mizoram,Total,27,19,0,56,12,0,12,11,0,45,224,510,0,49,75,4,580,1612
1,Nagaland,Dimapur,21,9,0,5,9,3,6,10,0,58,106,162,5,15,35,0,212,647
2,Nagaland,Kohima,14,5,0,4,9,3,6,2,0,34,33,87,6,8,15,0,117,334
3,Nagaland,Mokokchung,5,0,3,0,2,0,2,0,0,10,39,25,2,3,2,0,48,139
4,Nagaland,Mon,6,3,0,1,0,0,0,9,0,16,27,36,2,3,4,0,61,168
5,Nagaland,Peren,2,1,0,0,0,0,0,0,0,11,9,10,0,0,0,0,20,53
6,Nagaland,Phek,6,0,2,0,0,0,0,7,0,4,24,16,3,2,2,0,24,90
7,Nagaland,Tuensang,13,5,1,1,1,0,1,0,0,5,40,19,6,1,0,0,43,135
8,Nagaland,Wokha,4,0,0,0,0,0,0,3,0,0,48,40,0,0,3,0,41,139
9,Nagaland,Zunheboto,0,3,2,2,1,0,1,1,0,4,26,43,0,3,6,0,31,122
10,Nagaland,Total,71,26,8,13,22,6,16,32,0,142,352,438,24,35,67,0,597,1827
1,Orissa,Balasore,21,35,1,20,27,27,0,14,0,27,345,646,190,25,20,0,2057,3428
2,Orissa,Berhampur,12,11,1,5,2,2,0,6,0,23,176,227,30,9,10,0,837,1349
3,Orissa,Bhubaneswar,18,21,0,5,25,25,0,6,0,43,434,1287,52,49,42,4,1594,3580
4,Orissa,Bolangir,20,26,2,18,11,11,0,6,0,20,192,232,76,16,20,0,1270,1909
5,Orissa,Cuttack ( R),49,287,15,12,33,33,0,41,0,63,496,964,180,22,34,0,3159,5355
6,Orissa,Cuttack (S),8,76,10,10,18,18,0,16,0,55,397,1051,76,61,46,0,1843,3667
7,Orissa,Dhenkanal,40,50,1,9,19,19,0,24,0,42,323,704,90,27,14,0,1183,2526
8,Orissa,Ganjam,42,33,7,12,16,16,0,12,0,50,265,441,167,17,15,0,1397,2474
9,Orissa,Kalahandi,24,7,4,8,10,10,0,7,0,14,230,272,73,13,6,0,1111,1779
10,Orissa,Keonjhar,49,16,2,11,9,9,0,3,0,17,163,330,64,8,10,0,1015,1697
11,Orissa,Koraput,117,39,2,44,16,16,0,25,0,90,466,789,242,40,20,0,2170,4060
12,Orissa,Mayurbhanj,49,9,1,14,21,21,0,7,0,28,181,378,41,13,7,1,1272,2022
13,Orissa,Phulbani,28,6,5,18,18,18,0,10,0,24,176,238,48,17,10,0,782,1380
14,Orissa,Puri,41,83,13,21,56,56,0,33,0,60,571,1148,261,46,45,0,2627,5005
15,Orissa,Rourkela,20,24,1,5,6,6,0,3,0,20,151,392,91,16,31,0,705,1465
16,Orissa,Sambalpur,59,35,1,24,24,24,0,20,0,43,470,871,144,36,43,8,2170,3948
17,Orissa,Sundargarh,66,17,7,11,6,6,0,12,0,27,120,353,61,17,4,0,979,1680
18,Orissa,GRP(Cuttack),2,0,1,1,1,1,0,1,0,9,11,198,19,2,2,0,77,324
19,Orissa,GRP(Rourkela),3,0,0,1,1,1,0,2,0,4,31,173,9,1,0,0,74,299
20,Orissa,Total,668,775,74,249,319,319,0,248,0,659,5198,10694,1914,435,379,13,26322,47947
1,Punjab,Amritsar,102,94,3,4,30,8,22,16,2,107,79,95,0,7,12,0,187,738
2,Punjab,Batala,396,162,7,2,29,13,16,7,4,50,140,293,3,28,57,0,237,1415
3,Punjab,Bhatinda,130,107,10,3,25,7,18,5,4,20,96,207,1,16,25,0,436,1085
4,Punjab,Faridkot,207,126,14,5,24,3,21,6,2,11,81,175,0,13,9,0,297,970
5,Punjab,Ferozepur,218,152,3,6,64,4,60,3,5,9,88,211,12,13,21,0,375,1180
6,Punjab,Gurdaspur,85,40,13,3,10,7,3,1,0,4,53,92,0,10,7,0,232,550
7,Punjab,Hoshiarpur,68,47,4,2,8,6,2,0,3,19,62,91,4,20,20,1,278,627
8,Punjab,Jalandhar,123,80,11,3,21,10,11,7,2,42,202,295,0,21,27,1,451,1286
9,Punjab,Kapurthala,46,46,6,1,15,5,10,1,0,3,27,79,2,1,6,0,138,371
10,Punjab,Ludhiana,206,105,12,3,29,18,11,12,22,115,200,311,1,27,19,1,678,1741
11,Punjab,Majitha,336,151,6,0,20,2,18,15,0,71,38,113,0,4,3,0,145,902
12,Punjab,Patiala,135,74,16,10,30,15,15,0,0,19,164,345,1,12,32,0,1271,2109
13,Punjab,Ropar,130,51,6,4,19,12,7,0,0,3,85,279,10,7,16,0,241,851
14,Punjab,Sangrur,126,61,13,7,9,5,4,1,0,6,81,243,1,37,29,1,513,1128
15,Punjab,Tarn Taran,505,271,5,2,37,3,34,22,0,88,37,72,0,8,10,0,121,1178
16,Punjab,Total,2813,1567,129,55,370,118,252,96,44,567,1433,2901,35,224,293,4,5600,16131
1,Rajasthan,Ajmer,43,62,6,18,97,97,0,4,0,34,340,446,527,53,189,4,2162,3985
2,Rajasthan,Alwer,69,48,2,36,81,70,11,6,0,37,339,747,1203,26,237,6,2389,5226
3,Rajasthan,Banswara,32,21,0,38,89,88,1,8,0,48,196,231,818,25,88,0,2325,3919
4,Rajasthan,Barmer,22,8,1,7,32,23,9,0,0,43,96,305,168,15,60,0,1194,1951
5,Rajasthan,Bharatpur,69,4,0,36,99,88,11,13,0,44,229,810,966,22,111,2,2438,4843
6,Rajasthan,Bhilwara,26,26,2,54,142,142,0,5,0,53,435,498,658,11,72,1,2253,4236
7,Rajasthan,Bikaner,27,20,0,31,37,37,0,1,0,12,216,453,184,12,120,0,1725,2838
8,Rajasthan,Bundi,38,44,2,15,71,63,8,1,0,51,209,340,274,27,41,0,1496,2609
9,Rajasthan,Chittorgarh,52,31,2,46,182,171,11,0,0,47,549,765,886,33,252,1,3065,5911
10,Rajasthan,Churu,36,29,3,24,20,14,6,2,0,14,119,256,245,15,100,0,1367,2230
11,Rajasthan,Dholpur,38,50,2,23,59,59,0,3,4,52,131,414,681,43,35,1,1111,2647
12,Rajasthan,Dungarpur,23,13,1,7,58,56,2,3,0,8,102,135,281,19,37,1,1338,2026
13,Rajasthan,Ganganagar,107,137,3,66,80,80,0,1,0,30,419,583,342,66,196,3,4178,6211
14,Rajasthan,Jaipur,111,62,5,28,203,200,3,7,0,92,865,2290,2410,155,541,8,5479,12256
15,Rajasthan,Jaisalmer,11,7,0,6,7,7,0,0,0,12,33,159,61,7,12,0,328,643
16,Rajasthan,Jalore,11,15,2,16,21,19,2,0,0,19,52,106,116,19,17,0,975,1369
17,Rajasthan,Jhalawar,35,74,0,33,71,71,0,6,0,47,269,303,281,20,60,0,1269,2468
18,Rajasthan,Jhunjhunu,30,0,2,9,11,4,7,0,0,18,139,238,683,14,66,0,1281,2491
19,Rajasthan,Jodhpur,45,65,2,23,50,39,11,3,0,54,244,495,416,54,145,4,2148,3748
20,Rajasthan,Kota,82,284,11,83,182,182,0,4,0,106,772,1067,671,55,195,1,3716,7229
21,Rajasthan,Nagaur,44,34,0,16,39,39,0,0,0,24,136,290,401,53,234,1,1356,2628
22,Rajasthan,Pali,31,0,1,18,47,40,7,0,0,19,202,243,322,32,115,0,1641,2671
23,Rajasthan,Sawai Madhopur,68,39,5,38,132,132,0,11,1,55,367,654,1420,9,114,0,2144,5057
24,Rajasthan,Sikar,43,5,0,13,21,21,0,1,0,11,151,331,792,31,96,0,1125,2620
25,Rajasthan,Sirohi,19,17,3,7,16,16,0,3,0,31,115,95,102,16,46,3,743,1216
26,Rajasthan,Tonk,26,34,2,11,49,49,0,0,0,10,162,269,395,19,49,0,1432,2458
27,Rajasthan,Udaipur,54,73,4,34,207,207,0,2,0,83,638,801,1024,58,235,3,3526,6742
28,Rajasthan,G.R.P,11,8,0,4,4,4,0,2,0,16,2,598,62,6,10,0,277,1000
29,Rajasthan,Total,1203,1210,61,740,2107,2018,89,86,5,1070,7527,13922,16389,915,3473,39,54481,103228
1,Sikkam,East,5,0,0,2,1,1,0,0,1,6,37,46,0,7,10,0,88,203
2,Sikkam,North,1,0,0,0,0,0,0,0,0,0,4,11,0,2,1,0,8,27
3,Sikkam,South,1,2,0,1,0,0,0,0,0,3,10,15,0,2,4,0,48,86
4,Sikkam,West,2,0,0,3,1,1,0,0,0,1,2,9,0,1,3,0,35,57
5,Sikkam,Total,9,2,0,6,2,2,0,0,1,10,53,81,0,12,18,0,179,373
1,Tamil Nadu,Anna,46,51,0,10,31,31,0,3,0,12,267,737,332,13,38,11,2622,4173
2,Tamil Nadu,Chengai Anna East,69,101,1,15,41,41,0,10,0,22,728,2019,247,25,62,3,3666,7009
3,Tamil Nadu,Chengai Anna West,51,39,0,11,44,44,0,2,0,3,310,1081,207,18,24,6,5580,7376
4,Tamil Nadu,Chidambaranar,84,45,0,13,17,17,0,7,0,33,275,591,556,17,23,3,2493,4137
5,Tamil Nadu,Coimbatore,109,87,2,10,52,50,2,25,0,54,552,1828,846,49,91,17,5000,8722
6,Tamil Nadu,Cuddalore,47,44,1,14,27,10,17,4,0,13,265,775,300,16,22,3,4091,5622
7,Tamil Nadu,Dharmapuri,102,49,0,14,28,28,0,12,0,20,302,668,397,15,13,3,2641,4264
8,Tamil Nadu,Kamarajar,55,47,5,13,31,4,27,1,0,24,224,616,426,19,34,3,2038,3536
9,Tamil Nadu,Kanyakummari,48,18,0,4,25,25,0,2,0,10,204,260,165,13,16,8,2582,3355
10,Tamil Nadu,Madras,92,0,2,20,40,40,0,3,0,120,851,6723,184,173,541,324,3298,12372
11,Tamil Nadu,Madurai,128,85,1,21,46,41,5,9,1,43,547,1924,743,45,104,31,4744,8471
12,Tamil Nadu,North Arcot,60,28,2,13,49,44,5,8,0,12,493,1155,595,26,67,17,3277,5802
13,Tamil Nadu,Pasumpon Thevar,21,15,0,3,23,14,9,0,0,10,88,289,406,13,28,2,1252,2150
14,Tamil Nadu,Periyar,88,55,1,3,23,20,3,7,0,27,340,871,163,10,34,19,3154,4795
15,Tamil Nadu,Pudukkottai,26,17,1,4,18,17,1,2,0,2,82,316,200,7,12,2,1244,1922
16,Tamil Nadu,Ramnad,44,57,0,12,25,25,0,4,0,16,145,264,335,10,18,8,2195,3133
17,Tamil Nadu,Salem,124,55,0,7,38,38,0,14,0,21,444,1289,445,4,34,18,3632,6125
18,Tamil Nadu,Thanjavur East,56,40,1,14,45,45,0,1,0,4,325,704,83,20,13,5,3777,5088
19,Tamil Nadu,Thanjavur West,69,48,2,11,44,0,44,5,0,13,348,1049,227,33,61,16,4583,6779
20,Tamil Nadu,The Nilgiris,19,9,3,5,2,2,0,2,0,2,152,198,113,6,13,2,906,1432
21,Tamil Nadu,Thirunel Veli,88,102,2,35,60,60,0,7,0,19,386,838,133,25,39,10,4583,6327
22,Tamil Nadu,Thiruvannamalal,29,21,0,13,28,28,0,1,0,13,179,574,343,11,27,1,1856,3096
23,Tamil Nadu,Trichy,145,69,1,10,27,27,0,17,0,30,554,1783,222,64,99,21,3865,6907
24,Tamil Nadu,Villupuram,49,38,2,15,23,23,0,2,0,12,192,640,401,17,29,0,3494,4914
25,Tamil Nadu,Madras Rly.,0,0,0,0,2,0,2,0,0,9,4,438,50,8,5,0,243,759
26,Tamil Nadu,Trichy Rly.,0,0,0,0,0,0,0,0,0,2,2,88,19,5,1,0,135,252
27,Tamil Nadu,Total,1649,1120,27,290,789,674,115,148,1,546,8259,27718,8138,662,1448,533,77201,128529
1,Tripura,North Tripura,47,27,0,27,30,25,5,27,1,29,225,308,138,5,6,1,762,1643
2,Tripura,South Tripura,34,8,1,25,19,19,0,29,0,53,175,209,176,7,3,0,688,1427
3,Tripura,West Tripura,78,23,1,24,33,30,3,37,0,84,339,544,224,7,11,0,1177,2582
4,Tripura,Total,159,58,2,76,82,74,8,93,1,176,739,1061,538,19,20,1,2627,5652
1,Uttar Pradesh,Agra,136,239,38,50,157,137,20,97,0,196,657,1339,546,130,136,0,1879,5600
2,Uttar Pradesh,Aligarh,278,258,87,38,78,78,0,69,6,169,401,993,430,75,58,0,2119,5059
3,Uttar Pradesh,Allahabad,323,401,82,32,133,96,37,77,19,293,910,1849,389,140,138,11,3277,8074
4,Uttar Pradesh,Almora,23,29,6,3,12,12,0,5,0,37,103,122,58,13,9,0,284,704
5,Uttar Pradesh,Azamgarh,69,90,32,9,18,18,0,44,11,53,201,266,242,35,25,3,759,1857
6,Uttar Pradesh,Badaun,246,267,64,41,89,42,47,27,0,202,282,969,178,34,14,0,1717,4130
7,Uttar Pradesh,Bahraich,91,72,29,39,108,99,9,60,21,120,367,607,204,37,31,0,1087,2873
8,Uttar Pradesh,Ballia,58,51,22,2,16,16,0,14,4,35,192,246,127,26,18,2,621,1434
9,Uttar Pradesh,Banda,150,146,37,33,43,14,29,35,0,108,208,334,155,21,17,0,929,2216
10,Uttar Pradesh,Barabanki,119,100,31,40,45,45,0,36,12,118,431,588,178,34,15,0,1222,2969
11,Uttar Pradesh,Bareilly,308,235,72,60,145,120,25,45,2,259,513,1601,217,119,76,0,1875,5527
12,Uttar Pradesh,Basti,59,48,27,12,18,18,0,16,5,34,286,339,135,36,16,5,926,1962
13,Uttar Pradesh,Bijnor,171,126,48,28,73,70,3,27,3,85,288,637,260,51,56,0,916,2769
14,Uttar Pradesh,Bulandshahar,349,324,60,42,149,149,0,98,9,282,578,1486,449,85,67,0,1377,5355
15,Uttar Pradesh,Chamoli,19,10,0,1,4,4,0,6,0,22,41,65,39,4,4,0,166,381
16,Uttar Pradesh,Dehradun,49,32,9,11,27,22,5,3,3,35,238,511,109,28,22,1,636,1714
17,Uttar Pradesh,Deoria,78,99,48,14,27,27,0,63,6,68,367,484,227,50,44,0,1277,2852
18,Uttar Pradesh,Etah,227,201,32,18,75,75,0,38,0,105,208,490,189,47,29,1,1000,2660
19,Uttar Pradesh,Etawah,130,205,19,22,100,43,57,62,0,334,351,755,277,52,69,2,1891,4269
20,Uttar Pradesh,Faizabad,128,179,64,30,81,81,0,88,0,174,653,892,375,66,43,6,1788,4567
21,Uttar Pradesh,Fatehgarh,200,265,35,34,143,80,63,75,0,175,513,721,291,82,58,0,857,3449
22,Uttar Pradesh,Fatehpur,167,155,30,24,18,0,18,15,6,59,175,289,60,31,46,1,985,2061
23,Uttar Pradesh,Ferozabad,92,111,18,18,60,60,0,32,0,40,114,406,146,32,30,0,924,2023
24,Uttar Pradesh,Ghazipur,54,34,31,6,14,14,0,21,0,16,195,214,66,37,6,3,422,1119
25,Uttar Pradesh,Ghaziabad,361,341,45,41,162,101,61,54,10,342,705,1870,346,154,126,8,1980,6545
26,Uttar Pradesh,Gonda,158,122,55,23,103,72,31,651,15,344,488,787,632,53,58,0,2331,5820
27,Uttar Pradesh,Gorakhpur,105,108,36,27,27,26,1,33,45,62,328,523,177,55,35,0,1525,3086
28,Uttar Pradesh,Hamirpur,105,80,60,20,13,13,0,8,26,53,91,153,43,19,13,0,967,1651
29,Uttar Pradesh,Hardoi,137,156,42,57,86,86,0,49,0,158,126,634,136,53,30,4,1500,3168
30,Uttar Pradesh,Haridwar,82,78,11,14,56,56,0,11,0,70,211,624,142,29,41,2,644,2015
31,Uttar Pradesh,Jalaun,75,86,33,3,24,24,0,28,7,76,223,307,124,35,19,0,648,1688
32,Uttar Pradesh,Jaunpur,46,54,29,9,32,32,0,27,28,41,190,276,130,20,36,4,884,1806
33,Uttar Pradesh,Jhansi,96,48,52,32,29,29,0,27,4,71,281,435,132,42,31,0,844,2124
34,Uttar Pradesh,Kanpur Dehat,112,121,40,22,51,51,0,71,0,118,322,456,164,47,22,0,959,2505
35,Uttar Pradesh,Kanpur Nagar,159,186,37,28,166,142,24,41,9,115,639,1538,332,245,227,0,2047,5769
36,Uttar Pradesh,kheri,120,92,56,19,44,44,0,19,28,99,118,427,63,17,24,0,724,1850
37,Uttar Pradesh,Lalitpur,17,19,8,28,5,5,0,7,0,25,118,178,63,13,9,0,562,1052
38,Uttar Pradesh,Lucknow,185,180,26,54,127,110,17,43,12,177,892,2904,351,249,416,3,3757,9376
39,Uttar Pradesh,Maharajganj,31,20,15,5,12,12,0,25,15,18,72,129,65,10,10,0,317,744
40,Uttar Pradesh,Mainpuri,114,129,12,10,36,8,28,23,0,104,132,327,100,32,47,0,619,1685
41,Uttar Pradesh,Mathura,102,141,33,27,38,38,0,27,0,86,187,397,171,64,51,1,789,2114
42,Uttar Pradesh,Mau,22,34,17,6,13,13,0,16,3,23,108,145,68,14,11,0,368,848
43,Uttar Pradesh,Meerut,426,387,53,57,168,105,63,68,41,344,686,2167,345,146,145,3,2556,7592
44,Uttar Pradesh,Mirzapur,57,52,11,10,13,8,5,20,14,30,149,270,86,46,19,5,733,1515
45,Uttar Pradesh,Moradabad,313,285,38,67,188,117,71,79,12,306,642,1907,377,213,140,0,2844,7411
46,Uttar Pradesh,Muzaffaranagar,160,230,78,32,111,63,48,43,152,151,312,750,235,64,36,0,1148,3502
47,Uttar Pradesh,Nainital,100,75,20,19,55,55,0,25,10,86,293,618,142,46,38,2,1236,2765
48,Uttar Pradesh,Pauri Garhwal,5,5,5,4,4,4,0,4,0,13,55,80,17,9,2,0,136,339
49,Uttar Pradesh,Pilibhit,98,83,22,18,56,39,17,12,1,72,191,413,62,30,18,0,909,1985
50,Uttar Pradesh,Pithoragarh,14,15,2,6,7,7,0,0,0,15,68,75,32,9,6,0,201,450
51,Uttar Pradesh,Pratapgarh,62,125,28,12,26,0,26,15,4,72,100,318,213,51,41,5,1097,2169
52,Uttar Pradesh,Raebareli,94,40,32,36,40,40,0,38,38,70,147,465,102,23,17,0,1781,2923
53,Uttar Pradesh,Rampur,163,165,12,30,78,78,0,32,5,155,300,881,131,35,31,0,1117,3135
54,Uttar Pradesh,Saharanpur,132,210,103,25,103,51,52,26,7,114,336,1107,252,76,59,10,1411,3971
55,Uttar Pradesh,Shahjahanpur,281,273,34,49,78,78,0,43,4,232,278,990,236,59,49,0,1326,3932
56,Uttar Pradesh,Sidharthnagar,15,14,11,5,15,15,0,19,0,23,161,188,78,27,8,0,377,941
57,Uttar Pradesh,Sitapur,199,139,33,47,67,67,0,48,13,192,145,1005,121,53,30,0,1533,3625
58,Uttar Pradesh,Sonbhadra,22,10,19,9,16,8,8,9,6,7,70,170,33,13,10,0,344,738
59,Uttar Pradesh,Sultanpur,101,126,52,25,36,36,0,46,17,97,405,536,179,29,36,1,1250,2936
60,Uttar Pradesh,Tehri Garhwal,22,48,3,4,13,13,0,7,0,36,87,123,27,9,3,0,224,606
61,Uttar Pradesh,Unnao,166,154,44,36,50,45,5,39,13,169,140,523,101,73,37,0,1484,3029
62,Uttar Pradesh,Uttarkashi,7,9,1,0,7,7,0,3,0,26,57,74,27,7,6,0,92,316
63,Uttar Pradesh,Varanasi,116,132,79,12,62,53,9,37,24,28,488,986,218,102,119,12,1750,4165
64,Uttar Pradesh,G.R.P,47,35,5,6,28,28,0,38,10,129,13,4990,96,156,86,0,931,6470
65,Uttar Pradesh,Total,8151,8284,2213,1541,3878,3099,779,2864,680,7368,18626,46949,11696,3692,3169,95,74779,193985
1,West Bengal,24 Parganas North,141,14,47,51,120,93,27,55,33,113,241,4360,753,23,25,3,2642,8621
