Category,States/ UTs/ Cities,"Murder (Sec.302,303 IPC) - 2006","Murder (Sec.302,303 IPC) - 2007","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2006,Attempt to Commit Murder (Sec.307 IPC) - 2007,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2006","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2007","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Total 2007,Rape (Sec. 376 IPC) - % Variation,Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Custodial 2007,Rape (Sec. 376 IPC) - % Variation,Rape (Sec. 376 IPC) - 2006,Rape (Sec. 376 IPC) - Other 2007,Rape (Sec. 376 IPC) - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2006","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2006,Dacoity (Sec. 395-398 IPC) - 2007,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2006,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2007,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2006","Robbery (Sec.392-394, 397, 398 IPC) - 2007","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2006","Burglary (Sec.449-452,454,455,457-460 IPC) - 2007","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) - 2006,Theft (Sec. 379 - 382 IPC) - Total 2007,Theft (Sec. 379 - 382 IPC) - % Variation,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2006,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2007,Theft (Sec. 379 - 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) - Other Theft - 2006,Theft (Sec. 379 - 382 IPC) - Other Theft - 2007,Theft (Sec. 379 - 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2006","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2007","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2006,Criminal Breach of Trust (Sec. 406-409 IPC) - 2007,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2006","Cheating (Sec. 419,420 IPC) - 2007","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2006","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2007","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2006","Arson (Sec.435,436,438 IPC) - 2007","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2006","Hurt (Sec.323-333, 335-338 IPC) - 2007","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2006,Dowry Deaths (Sec.304B IPC) - 2007,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2006,Molestation (Sec.354 IPC) - 2007,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2006,Sexual Harassment (Sec.509 IPC) - 2007,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2006,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2007,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2006,Importation of Girls (Sec. 366B IPC) - 2007,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2006,Causing Death by Negligence (Sec. 304A IPC) - 2007,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes - 2006,Other IPC Crimes - 2007,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2006,Total Cognizable Crimes Under IPC - 2007,Total Cognizable Crimes Under IPC - % Variation
Union Territory,Lakshadweep,0,0,0,2,2,0,0,0,0,0,1,NA,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,17,20,17.6,1,2,100,16,18,12.5,12,1,-91.7,0,0,0,0,0,0,0,0,0,4,0,-100,5,0,-100,0,0,0,0,2,NA,0,0,0,1,2,100,0,0,0,0,0,0,37,26,-29.7,80,56,-30
Union Territory,Puducherry,30,34,13.3,24,42,75,3,2,-33.3,9,9,0,0,0,0,9,9,0,18,20,11.1,13,14,7.7,5,6,20,2,1,-50,0,2,NA,3,8,166.7,84,86,2.4,560,787,40.5,320,498,55.6,240,289,20.4,194,145,-25.3,6,6,0,36,45,25,2,1,-50,22,18,-18.2,927,904,-2.5,3,2,-33.3,56,89,58.9,39,32,-17.9,19,17,-10.5,0,0,0,209,267,27.8,2441,2537,3.9,4687,5054,7.8
Union Territory,Total (UTs),537,585,8.9,564,628,11.3,88,105,19.3,666,641,-3.8,0,0,0,666,641,-3.8,1551,1782,14.9,1156,1243,7.5,395,539,36.5,30,46,53.3,203,232,14.3,589,616,4.6,2408,2498,3.7,19534,19826,1.5,10268,10282,0.1,9266,9544,3,379,399,5.3,549,524,-4.6,2609,2590,-0.7,56,52,-7.1,83,82,-1.2,2936,2862,-2.5,151,143,-5.3,815,1012,24.2,201,212,5.5,1864,1942,4.2,0,0,0,634,582,-8.2,30808,28951,-6,67255,66310,-1.4
Total (All-India),Total (All-India),32481,32318,-0.5,27230,27401,0.6,3535,3644,3.1,19348,20737,7.2,2,1,-50,19346,20736,7.2,23991,27561,14.9,17414,20416,17.2,6577,7145,8.6,4747,4579,-3.5,3129,3205,2.4,18456,19136,3.7,91666,91218,-0.5,274354,285043,3.9,90951,100255,10.2,183403,184788,0.8,56641,59915,5.8,13636,15531,13.9,58076,65326,12.5,2169,2204,1.6,8480,9024,6.4,264748,273067,3.1,7618,8093,6.2,36617,38734,5.8,9966,10950,9.9,63128,75930,20.3,67,61,-9,78513,86790,10.5,779697,829206,6.3,1878293,1989673,5.9
City,Agra,56,63,12.5,78,74,-5.1,19,30,57.9,15,15,0,0,0,0,15,15,0,138,152,10.1,110,113,2.7,28,39,39.3,5,6,20,1,0,-100,75,36,-52,206,170,-17.5,1310,1265,-3.4,841,944,12.2,469,321,-31.6,137,143,4.4,95,122,28.4,206,239,16,9,12,33.3,0,0,0,239,218,-8.8,34,34,0,59,48,-18.6,128,101,-21.1,286,287,0.3,0,0,0,189,388,105.3,1125,901,-19.9,4410,4304,-2.4
City,Ahmedabad,99,100,1,60,44,-26.7,7,2,-71.4,46,37,-19.6,0,0,0,46,37,-19.6,182,213,17,146,147,0.7,36,66,83.3,23,13,-43.5,3,3,0,172,417,142.4,802,677,-15.6,5388,4302,-20.2,2317,2316,0,3071,1986,-35.3,128,133,3.9,266,188,-29.3,297,204,-31.3,10,9,-10,5,0,-100,1371,1421,3.6,4,4,0,72,104,44.4,22,13,-40.9,956,1221,27.7,0,0,0,227,252,11,9098,7953,-12.6,19238,17310,-10
City,Allahabad,50,49,-2,40,43,7.5,10,11,10,5,4,-20,0,0,0,5,4,-20,37,34,-8.1,27,24,-11.1,10,10,0,2,1,-50,0,0,0,16,24,50,98,107,9.2,370,342,-7.6,229,212,-7.4,141,130,-7.8,22,29,31.8,26,39,50,107,149,39.3,11,3,-72.7,1,4,300,38,36,-5.3,10,10,0,9,6,-33.3,23,37,60.9,72,105,45.8,0,0,0,78,65,-16.7,564,608,7.8,1589,1706,7.4
City,Amritsar,38,43,13.2,38,46,21.1,2,11,450,12,21,75,0,0,0,12,21,75,23,48,108.7,19,46,142.1,4,2,-50,5,2,-60,9,9,0,16,21,31.3,125,137,9.6,324,445,37.3,160,152,-5,164,293,78.7,0,0,0,20,28,40,101,267,164.4,9,9,0,0,2,NA,117,251,114.5,4,5,25,5,20,300,0,6,NA,47,78,66,0,0,0,79,103,30.4,321,590,83.8,1295,2142,65.4
City,Asansol,42,26,-38.1,16,2,-87.5,18,8,-55.6,19,15,-21.1,0,0,0,19,15,-21.1,16,18,12.5,12,10,-16.7,4,8,100,3,3,0,40,63,57.5,17,9,-47.1,9,1,-88.9,154,145,-5.8,35,45,28.6,119,100,-16,51,18,-64.7,3,1,-66.7,15,57,280,0,1,NA,3,1,-66.7,47,109,131.9,13,11,-15.4,11,20,81.8,0,1,NA,158,242,53.2,0,0,0,87,61,-29.9,977,679,-30.5,1699,1491,-12.2
City,Bengaluru,218,246,12.8,324,264,-18.5,7,7,0,33,62,87.9,0,1,NA,33,61,84.8,99,119,20.2,29,35,20.7,70,84,20,37,41,10.8,204,203,-0.5,647,545,-15.8,1666,1485,-10.9,7354,7377,0.3,3501,3667,4.7,3853,3710,-3.7,710,425,-40.1,192,183,-4.7,1554,2052,32,55,45,-18.2,5,2,-60,2640,2381,-9.8,50,54,8,143,187,30.8,2,2,0,290,290,0,0,0,0,113,110,-2.7,9941,10969,10.3,26284,27049,2.9
City,Bhopal,43,54,25.6,60,57,-5,0,1,NA,52,62,19.2,0,0,0,52,62,19.2,43,43,0,38,41,7.9,5,2,-60,7,3,-57.1,1,1,0,134,184,37.3,744,856,15.1,1422,2095,47.3,740,1263,70.7,682,832,22,39,56,43.6,12,20,66.7,108,124,14.8,6,5,-16.7,14,13,-7.1,407,1401,244.2,15,22,46.7,121,146,20.7,33,29,-12.1,97,129,33,0,0,0,149,423,183.9,6961,5345,-23.2,10468,11069,5.7
City,Chennai,131,145,10.7,193,247,28,5,4,-20,29,46,58.6,0,0,0,29,46,58.6,59,83,40.7,41,59,43.9,18,24,33.3,5,8,60,0,0,0,58,74,27.6,560,654,16.8,2363,2117,-10.4,351,338,-3.7,2012,1779,-11.6,130,115,-11.5,14,14,0,535,433,-19.1,14,9,-35.7,1,11,1000,1198,1224,2.2,32,43,34.4,87,108,24.1,88,126,43.2,213,323,51.6,0,0,0,1330,1125,-15.4,9123,9599,5.2,16168,16508,2.1
City,Coimbatore,28,22,-21.4,13,15,15.4,0,0,0,8,10,25,0,0,0,8,10,25,7,14,100,3,8,166.7,4,6,50,2,1,-50,0,0,0,24,8,-66.7,181,131,-27.6,892,682,-23.5,211,126,-40.3,681,556,-18.4,14,5,-64.3,11,7,-36.4,95,92,-3.2,10,1,-90,1,4,300,172,162,-5.8,5,4,-20,11,12,9.1,11,2,-81.8,30,50,66.7,0,0,0,261,294,12.6,2198,2408,9.6,3974,3924,-1.3
City,Delhi (city),396,411,3.8,448,458,2.2,66,80,21.2,533,524,-1.7,0,0,0,533,524,-1.7,1272,1460,14.8,953,1021,7.1,319,439,37.6,12,30,150,169,203,20.1,480,501,4.4,1767,1868,5.7,16524,15962,-3.4,8851,8322,-6,7673,7640,-0.4,81,72,-11.1,414,418,1,2198,2214,0.7,42,37,-11.9,29,26,-10.3,1640,1536,-6.3,120,111,-7.5,629,744,18.3,129,148,14.7,1646,1711,3.9,0,0,0,328,208,-36.6,24084,22173,-7.9,53007,50895,-4
City,Dhanbad,26,24,-7.7,16,14,-12.5,3,10,233.3,21,5,-76.2,0,0,0,21,5,-76.2,16,26,62.5,11,20,81.8,5,6,20,10,13,30,1,2,100,21,17,-19,89,92,3.4,268,349,30.2,96,185,92.7,172,164,-4.7,119,104,-12.6,10,13,30,31,40,29,2,2,0,2,1,-50,213,106,-50.2,15,7,-53.3,3,5,66.7,0,0,0,10,12,20,0,0,0,0,0,0,701,489,-30.2,1577,1331,-15.6
City,Faridabad,58,65,12.1,45,36,-20,7,2,-71.4,40,37,-7.5,0,0,0,40,37,-7.5,86,154,79.1,66,117,77.3,20,37,85,7,11,57.1,30,47,56.7,36,32,-11.1,369,329,-10.8,1241,1268,2.2,902,973,7.9,339,295,-13,138,153,10.9,106,120,13.2,45,25,-44.4,2,4,100,11,10,-9.1,244,224,-8.2,14,19,35.7,35,23,-34.3,144,0,-100,146,167,14.4,0,0,0,12,263,2091.7,1866,1531,-18,4682,4520,-3.5
City,Hyderabad,125,121,-3.2,116,147,26.7,6,9,50,93,58,-37.6,0,0,0,93,58,-37.6,143,148,3.5,77,74,-3.9,66,74,12.1,12,6,-50,0,0,0,99,96,-3,1186,993,-16.3,4408,4542,3,1691,1685,-0.4,2717,2857,5.2,128,214,67.2,84,116,38.1,1777,1669,-6.1,13,7,-46.2,26,37,42.3,4581,4352,-5,29,41,41.4,189,216,14.3,108,128,18.5,1160,1365,17.7,0,0,0,582,502,-13.7,2430,2624,8,17295,17391,0.6
City,Indore,58,78,34.5,107,116,8.4,1,3,200,73,74,1.4,0,0,0,73,74,1.4,32,43,34.4,27,32,18.5,5,11,120,7,5,-28.6,5,3,-40,95,157,65.3,783,817,4.3,3044,2976,-2.2,1936,1978,2.2,1108,998,-9.9,88,131,48.9,36,35,-2.8,122,101,-17.2,4,4,0,25,42,68,1177,1252,6.4,12,12,0,162,178,9.9,43,34,-20.9,218,259,18.8,0,0,0,232,266,14.7,6281,6406,2,12605,12992,3.1
City,Jabalpur,32,41,28.1,95,111,16.8,9,0,-100,54,40,-25.9,0,0,0,54,40,-25.9,25,27,8,20,18,-10,5,9,80,3,1,-66.7,7,5,-28.6,73,85,16.4,285,392,37.5,679,583,-14.1,478,537,12.3,201,46,-77.1,61,100,63.9,23,8,-65.2,147,111,-24.5,29,7,-75.9,8,13,62.5,3006,2139,-28.8,13,24,84.6,161,145,-9.9,68,34,-50,118,101,-14.4,0,0,0,192,81,-57.8,1156,2495,115.8,6244,6543,4.8
City,Jaipur,59,52,-11.9,63,76,20.6,2,2,0,58,62,6.9,0,0,0,58,62,6.9,160,206,28.8,137,179,30.7,23,27,17.4,5,7,40,5,4,-20,46,153,232.6,682,821,20.4,3614,4418,22.2,1948,2606,33.8,1666,1812,8.8,300,287,-4.3,249,268,7.6,1435,1613,12.4,10,9,-10,11,14,27.3,679,782,15.2,23,25,8.7,110,101,-8.2,2,0,-100,451,484,7.3,0,0,0,504,552,9.5,5409,4166,-23,13877,14102,1.6
City,Jamshedpur,58,57,-1.7,86,64,-25.6,4,3,-25,29,39,34.5,0,0,0,29,39,34.5,34,30,-11.8,24,30,25,10,0,-100,12,11,-8.3,1,1,0,18,39,116.7,159,123,-22.6,673,745,10.7,182,222,22,491,523,6.5,86,86,0,62,102,64.5,92,76,-17.4,9,0,-100,8,6,-25,371,703,89.5,16,15,-6.3,33,12,-63.6,1,0,-100,73,41,-43.8,0,0,0,69,125,81.2,730,489,-33,2624,2767,5.4
City,Kanpur,144,148,2.8,97,132,36.1,34,46,35.3,27,46,70.4,0,0,0,27,46,70.4,117,291,148.7,87,222,155.2,30,69,130,12,42,250,0,5,NA,63,114,81,172,264,53.5,837,1204,43.8,605,839,38.7,232,365,57.3,128,273,113.3,129,252,95.3,250,582,132.8,6,32,433.3,4,18,350,368,548,48.9,67,59,-11.9,64,102,59.4,179,165,-7.8,273,673,146.5,0,0,0,114,107,-6.1,1651,2905,76,4736,8008,69.1
City,Kochi,13,14,7.7,12,17,41.7,8,13,62.5,14,23,64.3,0,0,0,14,23,64.3,11,10,-9.1,8,6,-25,3,4,33.3,6,4,-33.3,0,0,0,44,43,-2.3,187,189,1.1,340,350,2.9,109,120,10.1,231,230,-0.4,180,177,-1.7,10,21,110,323,284,-12.1,0,0,0,5,5,0,420,460,9.5,0,0,0,65,75,15.4,20,5,-75,87,88,1.1,0,0,0,2,0,-100,3952,4824,22.1,5699,6602,15.8
City,Kolkata,25,36,44,72,71,-1.4,11,12,9.1,38,44,15.8,0,0,0,38,44,15.8,94,114,21.3,76,88,15.8,18,26,44.4,11,2,-81.8,56,63,12.5,51,74,45.1,115,114,-0.9,2566,2924,14,581,621,6.9,1985,2303,16,167,220,31.7,210,222,5.7,963,1126,16.9,16,14,-12.5,0,0,0,1057,1241,17.4,4,8,100,173,189,9.2,37,58,56.8,276,296,7.2,1,3,200,488,459,-5.9,2950,3611,22.4,9381,10901,16.2
City,Lucknow,113,107,-5.3,139,96,-30.9,25,38,52,29,51,75.9,0,0,0,29,51,75.9,166,211,27.1,131,176,34.4,35,35,0,3,23,666.7,2,4,100,216,196,-9.3,399,534,33.8,2121,2482,17,1246,1536,23.3,875,946,8.1,211,234,10.9,198,315,59.1,418,720,72.2,36,21,-41.7,0,1,NA,53,39,-26.4,21,32,52.4,56,59,5.4,154,150,-2.6,315,445,41.3,0,0,0,256,268,4.7,1841,2442,32.6,6772,8468,25
City,Ludhiana,58,61,5.2,72,74,2.8,8,6,-25,36,53,47.2,0,0,0,36,53,47.2,92,112,21.7,57,89,56.1,35,23,-34.3,3,3,0,20,18,-10,13,16,23.1,185,261,41.1,490,634,29.4,285,324,13.7,205,310,51.2,0,0,0,34,27,-20.6,306,271,-11.4,2,3,50,6,5,-16.7,251,246,-2,10,9,-10,24,21,-12.5,16,11,-31.3,86,100,16.3,0,0,0,226,226,0,879,918,4.4,2817,3075,9.2
City,Madurai,23,27,17.4,33,25,-24.2,0,0,0,9,4,-55.6,0,0,0,9,4,-55.6,19,23,21.1,7,16,128.6,12,7,-41.7,3,3,0,0,0,0,7,5,-28.6,62,68,9.7,439,334,-23.9,91,80,-12.1,348,254,-27,10,7,-30,10,23,130,130,163,25.4,3,2,-33.3,6,3,-50,100,119,19,4,10,150,12,11,-8.3,15,31,106.7,35,76,117.1,0,0,0,125,102,-18.4,1419,1289,-9.2,2464,2325,-5.6
City,Meerut,66,59,-10.6,84,64,-23.8,7,14,100,13,18,38.5,0,0,0,13,18,38.5,55,72,30.9,44,51,15.9,11,21,90.9,3,3,0,1,1,0,42,47,11.9,86,128,48.8,597,591,-1,379,332,-12.4,218,259,18.8,94,71,-24.5,50,69,38,126,228,81,8,23,187.5,3,3,0,69,72,4.3,5,22,340,29,29,0,72,101,40.3,162,278,71.6,0,0,0,99,135,36.4,729,413,-43.3,2400,2441,1.7
City,Mumbai,239,230,-3.8,135,116,-14.1,5,2,-60,165,174,5.5,0,0,0,165,174,5.5,190,179,-5.8,129,120,-7,61,59,-3.3,29,31,6.9,61,42,-31.1,292,265,-9.2,3111,2886,-7.2,11685,11670,-0.1,3552,3621,1.9,8133,8049,-1,278,260,-6.5,510,470,-7.8,1701,1735,2,137,113,-17.5,15,13,-13.3,3797,3781,-0.4,17,17,0,357,365,2.2,102,112,9.8,327,380,16.2,1,0,-100,778,778,0,7138,6862,-3.9,31070,30481,-1.9
City,Nagpur,85,73,-14.1,51,60,17.6,4,5,25,51,50,-2,0,0,0,51,50,-2,58,66,13.8,42,50,19,16,16,0,22,27,22.7,40,59,47.5,169,357,111.2,1275,1141,-10.5,2602,2354,-9.5,882,899,1.9,1720,1455,-15.4,247,242,-2,57,73,28.1,326,309,-5.2,11,13,18.2,14,20,42.9,1006,996,-1,7,7,0,72,96,33.3,42,51,21.4,180,251,39.4,0,0,0,283,280,-1.1,3389,3261,-3.8,9991,9791,-2
City,Nasik,38,33,-13.2,14,26,85.7,1,1,0,14,7,-50,0,0,0,14,7,-50,32,21,-34.4,22,17,-22.7,10,4,-60,5,5,0,2,1,-50,48,50,4.2,438,460,5,925,1018,10.1,368,452,22.8,557,566,1.6,135,153,13.3,19,21,10.5,128,127,-0.8,6,13,116.7,5,12,140,222,224,0.9,2,1,-50,36,34,-5.6,15,11,-26.7,119,127,6.7,0,0,0,172,270,57,575,500,-13,2951,3115,5.6
City,Patna,206,152,-26.2,46,72,56.5,63,7,-88.9,25,42,68,0,0,0,25,42,68,225,228,1.3,54,46,-14.8,171,182,6.4,48,22,-54.2,9,0,-100,471,328,-30.4,531,509,-4.1,1178,1223,3.8,888,923,3.9,290,300,3.4,187,231,23.5,3,43,1333.3,225,171,-24,6,3,-50,3,0,-100,32,48,50,34,30,-11.8,9,16,77.8,2,0,-100,165,195,18.2,0,0,0,219,76,-65.3,4745,5548,16.9,8432,8944,6.1
City,Pune,104,126,21.2,99,126,27.3,4,8,100,77,66,-14.3,0,0,0,77,66,-14.3,108,122,13,74,93,25.7,34,29,-14.7,31,37,19.4,21,52,147.6,219,232,5.9,1047,1369,30.8,4068,4653,14.4,2181,2492,14.3,1887,2161,14.5,497,457,-8,81,74,-8.6,533,517,-3,16,12,-25,13,18,38.5,1236,1274,3.1,6,6,0,104,79,-24,87,77,-11.5,236,250,5.9,0,0,0,454,537,18.3,2443,2726,11.6,11484,12818,11.6
City,Rajkot,29,37,27.6,15,16,6.7,0,0,0,4,4,0,0,0,0,4,4,0,26,46,76.9,18,36,100,8,10,25,1,2,100,0,0,0,26,32,23.1,260,203,-21.9,718,846,17.8,424,436,2.8,294,410,39.5,46,57,23.9,12,22,83.3,39,45,15.4,18,26,44.4,3,19,533.3,369,344,-6.8,1,3,200,5,17,240,12,22,83.3,165,240,45.5,0,0,0,94,112,19.1,1646,1819,10.5,3489,3912,12.1
City,Surat,103,108,4.9,30,31,3.3,1,3,200,31,24,-22.6,0,0,0,31,24,-22.6,130,117,-10,86,80,-7,44,37,-15.9,15,15,0,2,1,-50,72,42,-41.7,500,447,-10.6,2206,2423,9.8,1457,1587,8.9,749,836,11.6,145,111,-23.4,55,57,3.6,258,182,-29.5,24,25,4.2,10,6,-40,759,848,11.7,22,21,-4.5,46,44,-4.3,6,8,33.3,249,332,33.3,0,0,0,336,357,6.3,3659,5784,58.1,8659,10986,26.9
City,Vadodara,32,24,-25,34,22,-35.3,2,0,-100,6,8,33.3,0,0,0,6,8,33.3,54,47,-13,42,37,-11.9,12,10,-16.7,8,9,12.5,0,0,0,35,25,-28.6,482,359,-25.5,1319,1403,6.4,678,831,22.6,641,572,-10.8,147,119,-19,30,34,13.3,199,152,-23.6,14,10,-28.6,31,6,-80.6,316,306,-3.2,0,0,0,17,11,-35.3,2,8,300,181,268,48.1,0,0,0,134,118,-11.9,2629,2180,-17.1,5672,5109,-9.9
City,Varanasi,45,46,2.2,47,37,-21.3,10,10,0,5,9,80,0,0,0,5,9,80,33,43,30.3,29,34,17.2,4,9,125,0,2,NA,5,0,-100,22,28,27.3,94,144,53.2,653,828,26.8,505,653,29.3,148,175,18.2,79,90,13.9,58,90,55.2,88,226,156.8,17,14,-17.6,0,0,0,72,75,4.2,15,21,40,29,9,-69,25,89,256,50,101,102,0,0,0,94,78,-17,529,862,62.9,1970,2802,42.2
City,Vijayawada,43,33,-23.3,50,44,-12,6,3,-50,21,17,-19,1,0,-100,20,17,-15,86,64,-25.6,60,49,-18.3,26,15,-42.3,3,0,-100,0,0,0,34,31,-8.8,392,225,-42.6,1495,1377,-7.9,424,326,-23.1,1071,1051,-1.9,11,2,-81.8,58,44,-24.1,410,339,-17.3,12,3,-75,10,18,80,1619,1671,3.2,8,10,25,135,131,-3,158,202,27.8,336,531,58,0,0,0,246,265,7.7,729,577,-20.9,5862,5587,-4.7
City,Visakhapatnam,37,21,-43.2,30,23,-23.3,1,1,0,21,24,14.3,0,0,0,21,24,14.3,49,39,-20.4,40,23,-42.5,9,16,77.8,3,9,200,1,1,0,27,24,-11.1,417,370,-11.3,1121,1215,8.4,356,417,17.1,765,798,4.3,28,24,-14.3,66,65,-1.5,261,285,9.2,27,16,-40.7,8,9,12.5,540,513,-5,10,14,40,62,100,61.3,30,25,-16.7,397,535,34.8,0,0,0,247,255,3.2,2095,1912,-8.7,5478,5480,0
City,Total (Cities),2920,2932,0.4,2858,2866,0.3,356,352,-1.1,1706,1775,4,1,1,0,1705,1774,4,3917,4623,18,2746,3207,16.8,1171,1416,20.9,363,401,10.5,696,791,13.6,3878,4307,11.1,19464,19324,-0.7,85388,87142,2.1,39480,42060,6.5,45908,45082,-1.8,4822,4799,-0.5,3213,3604,12.2,15549,16928,8.9,594,507,-14.6,286,342,19.6,30426,31102,2.2,642,711,10.7,3135,3463,10.5,1776,1787,0.6,9610,12031,25.2,2,3,50,8799,9241,5,125963,127858,1.5,326363,336889,3.2
