Category,State/ UT,Murder(Sec.302 & 303 IPC) (I),Murder(Sec.302 & 303 IPC) ( R),Attempt To Commit Murder (Sec. 307 IPC) (I),Attempt To Commit Murder (Sec. 307 IPC) ( R),"C.H. Not Amounting Murder (Sec.304 , 308 IPC) (I)","C.H. Not Amounting Murder (Sec.304 , 308 IPC) ( R)",Rape (Sec. 376 IPC) - Total (I),Rape (Sec. 376 IPC) - Total ( R),Rape(Sec. 376 IPC) - Custodial Rape (I),Rape(Sec. 376 IPC) - Custodial Rape ( R),Rape(Sec. 376 IPC) - Other Rape (I),Rape(Sec. 376 IPC) - Other Rape ( R),"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total ( R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls ( R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Others ( R)",Dacoity (Sec.395-398 IPC) (I),Dacoity (Sec.395-398 IPC) ( R),Preparation & Assembly For Dacoity (Sec.399 To 402 IPC) (I),Preparation & Assembly For Dacoity (Sec.399 To 402 IPC) ( R),"Robbery(Sec.392-394, 397,398 IPC) (I)","Robbery(Sec.392-394, 3,97,398 IPC)
 ( R)","Burglary(Sec.449-452,454,455,457-460 IPC) (I)","Burglary(Sec.449-452,454,455,457-460 IPC) ( R)",Theft(Sec.379 – 382 IPC) - Total (I),Theft(Sec.379 – 382 IPC) - Total ( R),Theft(Sec.379 – 382 IPC) - Auto Theft (I),Theft(Sec.379 – 382 IPC) - Auto Theft ( R),Theft(Sec.379 – 382 IPC) - Other Theft (I),Theft(Sec.379 – 382 IPC) - Other Theft ( R),"Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC) (I)","Riots (Sec.143-145, 147-151, 153,153a,153b,157,158,160 IPC) ( R)",Criminal Breach of Trust(Sec.406-409 IPC) (I),Criminal Breach of Trust(Sec.406-409 IPC) ( R),"Cheating (Sec.419,420 IPC) (I)","Cheating (Sec.419,420 IPC) ( R)","Counterfeiting(Sec.231-254, 489a-489d IPC) (I)","Counterfeiting(Sec.231-254, 489a-489d IPC) ( R)","Arson (Sec.435,436,438 IPC) (I)","Arson (Sec.435,436,438 IPC) ( R)","Hurt(Sec.323-333,335-338 IPC) (I)","Hurt(Sec.323-333,335-338 IPC) ( R)",Dowry Deaths (Sec.304b IPC) (I),Dowry Deaths (Sec.304b IPC) ( R),Molestation (Sec. 354 IPC) (I),Molestation (Sec. 354 IPC) ( R),Sexual Harassment (Sec.509 IPC) (I),Sexual Harassment (Sec.509 IPC) ( R),Cruelty By Husband And Relatives (Sec. 498a IPC) (I),Cruelty By Husband And Relatives (Sec. 498a IPC) ( R),Importation of Girls (Sec.366b IPC) (I),Importation of Girls (Sec.366b IPC) ( R),Causing Death By Negligence (Sec. 304a IPC) (I),Causing Death By Negligence (Sec. 304a IPC) ( R),Other IPC Crimes (I),Other IPC Crimes ( R),Total Cognizable Crimes (I),Total Cognizable Crimes ( R)
City,Lucknow,107,4.7,96,4.2,38,1.7,51,2.2,0,0,51,2.2,211,9.3,176,7.8,35,1.5,23,1,4,0.2,196,8.6,534,23.6,2482,109.5,1536,67.8,946,41.7,234,10.3,315,13.9,720,31.8,21,0.9,1,0,39,1.7,32,1.4,59,2.6,150,6.6,445,19.6,0,0,268,11.8,2442,107.7,8468,373.5
City,Ludhiana,61,4.4,74,5.3,6,0.4,53,3.8,0,0,53,3.8,112,8,89,6.4,23,1.6,3,0.2,18,1.3,16,1.1,261,18.7,634,45.4,324,23.2,310,22.2,0,0,27,1.9,271,19.4,3,0.2,5,0.4,246,17.6,9,0.6,21,1.5,11,0.8,100,7.2,0,0,226,16.2,918,65.8,3075,220.4
City,Madurai,27,2.3,25,2.1,0,0,4,0.3,0,0,4,0.3,23,1.9,16,1.3,7,0.6,3,0.3,0,0,5,0.4,68,5.7,334,27.9,80,6.7,254,21.3,7,0.6,23,1.9,163,13.6,2,0.2,3,0.3,119,10,10,0.8,11,0.9,31,2.6,76,6.4,0,0,102,8.5,1289,107.9,2325,194.6
City,Meerut,59,5.1,64,5.5,14,1.2,18,1.5,0,0,18,1.5,72,6.2,51,4.4,21,1.8,3,0.3,1,0.1,47,4,128,11,591,50.6,332,28.4,259,22.2,71,6.1,69,5.9,228,19.5,23,2,3,0.3,72,6.2,22,1.9,29,2.5,101,8.7,278,23.8,0,0,135,11.6,413,35.4,2441,209.2
City,Mumbai,230,1.4,116,0.7,2,0,174,1.1,0,0,174,1.1,179,1.1,120,0.7,59,0.4,31,0.2,42,0.3,265,1.6,2886,17.6,11670,71.3,3621,22.1,8049,49.2,260,1.6,470,2.9,1735,10.6,113,0.7,13,0.1,3781,23.1,17,0.1,365,2.2,112,0.7,380,2.3,0,0,778,4.8,6862,41.9,30481,186.2
City,Nagpur,73,3.4,60,2.8,5,0.2,50,2.4,0,0,50,2.4,66,3.1,50,2.4,16,0.8,27,1.3,59,2.8,357,16.8,1141,53.7,2354,110.9,899,42.3,1455,68.5,242,11.4,73,3.4,309,14.6,13,0.6,20,0.9,996,46.9,7,0.3,96,4.5,51,2.4,251,11.8,0,0,280,13.2,3261,153.6,9791,461.2
City,Nasik,33,2.9,26,2.3,1,0.1,7,0.6,0,0,7,0.6,21,1.8,17,1.5,4,0.3,5,0.4,1,0.1,50,4.3,460,39.9,1018,88.4,452,39.2,566,49.1,153,13.3,21,1.8,127,11,13,1.1,12,1,224,19.4,1,0.1,34,3,11,1,127,11,0,0,270,23.4,500,43.4,3115,270.4
City,Patna,152,8.9,72,4.2,7,0.4,42,2.5,0,0,42,2.5,228,13.4,46,2.7,182,10.7,22,1.3,0,0,328,19.2,509,29.8,1223,71.6,923,54.1,300,17.6,231,13.5,43,2.5,171,10,3,0.2,0,0,48,2.8,30,1.8,16,0.9,0,0,195,11.4,0,0,76,4.5,5548,325,8944,524
City,Pune,126,3.4,126,3.4,8,0.2,66,1.8,0,0,66,1.8,122,3.2,93,2.5,29,0.8,37,1,52,1.4,232,6.2,1369,36.4,4653,123.9,2492,66.3,2161,57.5,457,12.2,74,2,517,13.8,12,0.3,18,0.5,1274,33.9,6,0.2,79,2.1,77,2.1,250,6.7,0,0,537,14.3,2726,72.6,12818,341.3
City,Rajkot,37,3.7,16,1.6,0,0,4,0.4,0,0,4,0.4,46,4.6,36,3.6,10,1,2,0.2,0,0,32,3.2,203,20.3,846,84.4,436,43.5,410,40.9,57,5.7,22,2.2,45,4.5,26,2.6,19,1.9,344,34.3,3,0.3,17,1.7,22,2.2,240,24,0,0,112,11.2,1819,181.5,3912,390.4
City,Surat,108,3.8,31,1.1,3,0.1,24,0.9,0,0,24,0.9,117,4.2,80,2.8,37,1.3,15,0.5,1,0,42,1.5,447,15.9,2423,86.2,1587,56.5,836,29.7,111,3.9,57,2,182,6.5,25,0.9,6,0.2,848,30.2,21,0.7,44,1.6,8,0.3,332,11.8,0,0,357,12.7,5784,205.8,10986,390.8
City,Vadodara,24,1.6,22,1.5,0,0,8,0.5,0,0,8,0.5,47,3.2,37,2.5,10,0.7,9,0.6,0,0,25,1.7,359,24.1,1403,94,831,55.7,572,38.3,119,8,34,2.3,152,10.2,10,0.7,6,0.4,306,20.5,0,0,11,0.7,8,0.5,268,18,0,0,118,7.9,2180,146.1,5109,342.4
City,Varanasi,46,3.8,37,3.1,10,0.8,9,0.7,0,0,9,0.7,43,3.5,34,2.8,9,0.7,2,0.2,0,0,28,2.3,144,11.9,828,68.3,653,53.9,175,14.4,90,7.4,90,7.4,226,18.6,14,1.2,0,0,75,6.2,21,1.7,9,0.7,89,7.3,101,8.3,0,0,78,6.4,862,71.1,2802,231.2
City,Vijayawada,33,3.3,44,4.4,3,0.3,17,1.7,0,0,17,1.7,64,6.3,49,4.8,15,1.5,0,0,0,0,31,3.1,225,22.3,1377,136.2,326,32.2,1051,104,2,0.2,44,4.4,339,33.5,3,0.3,18,1.8,1671,165.3,10,1,131,13,202,20,531,52.5,0,0,265,26.2,577,57.1,5587,552.6
City,Vishakhapatnam,21,1.6,23,1.7,1,0.1,24,1.8,0,0,24,1.8,39,2.9,23,1.7,16,1.2,9,0.7,1,0.1,24,1.8,370,27.8,1215,91.4,417,31.4,798,60,24,1.8,65,4.9,285,21.4,16,1.2,9,0.7,513,38.6,14,1.1,100,7.5,25,1.9,535,40.3,0,0,255,19.2,1912,143.9,5480,412.3
City,Total (Cities),2932,2.7,2866,2.7,352,0.3,1775,1.6,1,0,1774,1.6,4623,4.3,3207,3,1416,1.3,401,0.4,791,0.7,4307,4,19324,17.9,87142,80.8,42060,39,45082,41.8,4799,4.4,3604,3.3,16928,15.7,507,0.5,342,0.3,31102,28.8,711,0.7,3463,3.2,1787,1.7,12031,11.2,3,0,9241,8.6,127858,118.5,336889,312.3
