Category,States/ UTs,District,Murder (Sec.302&303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. not Amounting to Murder (Sec.304&308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 - 402 IPC),"Robbery (Sec. 392 - 394, 397 & 398 IPC)","Burglary (Sec. 449 - 452, 454, 455, 457 - 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 - 409 IPC),"Cheating (Sec. 419, 420 IPC)","CounterFeiting (Sec. 231-254, 489A- 489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
State,Gujarat,Narmada,15,2,0,6,0,6,4,4,0,0,0,1,11,31,7,24,5,6,3,0,7,115,0,8,0,13,0,42,553,822
State,Gujarat,Navsari,26,5,0,2,0,2,14,11,3,9,0,6,45,100,51,49,10,13,4,6,1,45,0,3,0,23,0,0,682,994
State,Gujarat,Palanpur,45,30,0,19,0,19,55,51,4,4,0,31,186,456,101,355,81,30,23,5,22,1187,2,65,0,256,0,156,2140,4793
State,Gujarat,Panchmahal,55,15,0,16,0,16,44,42,2,22,0,20,98,216,77,139,29,37,25,5,15,258,0,33,0,124,0,0,2661,3673
State,Gujarat,Patan,18,14,1,6,0,6,43,41,2,4,0,16,107,434,82,352,59,24,23,6,14,412,0,33,0,178,0,126,1456,2974
State,Gujarat,Porbandar,6,2,3,1,0,1,8,7,1,0,0,4,32,64,18,46,11,10,13,4,4,88,0,4,0,59,0,46,565,924
State,Gujarat,Rajkot Commr.,37,16,0,4,0,4,46,36,10,2,0,32,203,846,436,410,57,22,45,26,19,344,3,17,22,240,0,112,1819,3912
State,Gujarat,Rajkot Rural,32,21,1,25,0,25,58,51,7,14,0,32,164,376,122,254,65,70,10,9,7,423,4,26,1,234,0,293,2129,3994
State,Gujarat,Surat Commr.,108,31,3,24,0,24,117,80,37,15,1,42,447,2423,1587,836,111,57,182,25,6,848,21,44,8,332,0,357,5784,10986
State,Gujarat,Surat Rural,57,13,0,4,0,4,18,6,12,10,3,11,68,182,87,95,36,19,14,10,10,158,1,5,0,37,0,408,543,1607
State,Gujarat,Surendranagar,22,16,0,17,0,17,29,28,1,8,1,19,89,270,71,199,65,70,13,11,7,430,0,48,5,119,0,196,1785,3220
State,Gujarat,Vadodara Commr.,24,22,0,8,0,8,47,37,10,9,0,25,359,1403,831,572,119,34,152,10,6,306,0,11,8,268,0,118,2180,5109
State,Gujarat,Vadodara Rural,76,21,0,10,0,10,39,37,2,6,0,13,46,192,85,107,34,23,12,8,15,318,0,21,0,63,0,304,1657,2858
State,Gujarat,Valsad,39,11,0,8,0,8,5,2,3,8,0,11,99,233,115,118,21,26,23,6,5,158,0,6,0,25,0,0,1170,1854
State,Gujarat,W.rly,16,6,0,0,0,0,4,1,3,8,0,35,21,811,78,733,5,5,41,1,1,75,0,7,0,4,0,3,216,1259
State,Gujarat,Total,1166,494,21,316,0,316,1312,1089,223,245,10,1095,4870,18164,8022,10142,1668,1139,1116,286,330,10989,42,822,120,5827,0,4831,68332,123195
State,Haryana,Ambala,39,12,6,23,0,23,15,10,5,5,5,11,253,366,174,192,0,70,96,1,4,226,16,11,15,154,0,1,1049,2378
State,Haryana,Bhiwani,62,22,2,17,0,17,32,23,9,6,3,26,231,391,230,161,125,19,93,0,14,315,17,23,15,128,0,6,1026,2573
State,Haryana,Faridabad,65,36,2,37,0,37,154,117,37,11,47,32,329,1268,973,295,153,120,25,4,10,224,19,23,0,167,0,263,1531,4520
State,Haryana,Fatehabad,25,17,4,7,0,7,25,8,17,1,2,7,107,256,120,136,22,14,80,3,4,188,2,16,12,122,0,4,632,1550
State,Haryana,Grp,19,2,0,2,0,2,7,3,4,3,0,18,1,427,73,354,6,1,14,1,0,17,5,6,153,0,0,23,434,1139
State,Haryana,Gurgaon,93,58,4,40,0,40,111,75,36,32,47,123,724,2230,1530,700,97,60,183,5,6,152,17,36,43,122,0,22,2150,6355
State,Haryana,Hissar,55,48,4,21,0,21,47,31,16,0,11,11,200,494,273,221,30,26,78,3,3,387,7,19,0,157,0,2,1383,2986
State,Haryana,Jhajjar,55,45,2,14,0,14,30,21,9,4,3,15,104,260,139,121,53,16,40,1,7,163,19,10,14,87,0,177,441,1560
State,Haryana,Jind,34,38,8,19,0,19,24,18,6,1,4,16,147,264,145,119,91,52,61,2,3,151,12,14,15,95,0,2,601,1654
State,Haryana,Kaithal,32,15,2,14,0,14,16,10,6,7,2,9,144,240,120,120,0,38,39,0,4,196,14,26,0,178,0,11,601,1588
State,Haryana,Karnal,53,22,10,47,0,47,26,13,13,4,9,26,291,702,390,312,60,7,98,2,8,794,13,28,0,169,0,278,448,3095
State,Haryana,Kurukshetra,27,19,0,21,0,21,18,13,5,4,5,12,255,632,283,349,0,92,43,1,7,237,11,11,16,99,0,1,981,2492
State,Haryana,Mahendragarh,28,14,0,10,0,10,25,22,3,3,1,7,112,187,75,112,79,37,12,0,5,172,14,17,0,47,0,4,912,1686
State,Haryana,Mewat,35,43,3,44,0,44,28,18,10,20,24,17,24,208,131,77,162,12,60,2,9,147,13,18,14,153,0,0,641,1677
State,Haryana,Palwal,26,23,3,15,0,15,22,17,5,7,20,24,89,254,186,68,88,12,54,0,0,148,9,21,34,54,0,0,767,1670
State,Haryana,Panchkula,18,3,3,11,0,11,25,9,16,1,0,9,103,216,113,103,2,4,47,1,0,44,0,9,0,70,0,1,697,1264
State,Haryana,Panipat,35,20,5,34,0,34,33,24,9,4,52,23,225,664,439,225,37,26,15,3,5,210,11,13,18,63,0,252,620,2368
State,Haryana,Rewari,18,17,3,22,0,22,35,29,6,7,4,35,159,334,182,152,61,43,35,0,10,219,12,30,1,76,0,4,1193,2318
State,Haryana,Rohtak,56,49,2,18,0,18,30,20,10,7,7,20,209,472,275,197,56,36,62,1,6,187,31,18,32,92,0,220,695,2306
State,Haryana,Sirsa,29,22,2,23,0,23,21,14,7,3,0,14,154,357,183,174,38,22,46,1,14,326,5,21,0,154,0,6,714,1972
State,Haryana,Sonipat,75,44,5,24,0,24,42,26,16,8,12,26,210,454,213,241,10,10,10,1,18,314,16,30,27,149,0,268,911,2664
State,Haryana,Yamunanagar,32,23,2,25,0,25,35,33,2,1,8,21,160,371,252,119,3,9,41,1,5,214,6,17,0,76,0,0,732,1782
State,Haryana,Total,911,592,72,488,0,488,801,554,247,139,266,502,4231,11047,6499,4548,1173,726,1232,33,142,5031,269,417,409,2412,0,1545,19159,51597
State,Himachal Pradesh,Bilaspur,1,4,1,6,0,6,11,9,2,0,0,6,50,81,19,62,34,15,18,1,12,57,0,33,1,28,0,44,701,1104
State,Himachal Pradesh,Chamba,9,3,0,15,0,15,11,11,0,0,0,0,131,54,12,42,21,3,8,3,10,72,0,20,1,6,0,66,347,780
State,Himachal Pradesh,G.r.p.,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4
State,Himachal Pradesh,Hamirpur,7,1,1,5,0,5,16,15,1,0,0,1,71,67,8,59,32,5,9,2,15,245,1,29,13,35,0,26,541,1122
State,Himachal Pradesh,Kangra,22,11,1,20,0,20,25,19,6,0,0,1,94,125,31,94,136,12,31,1,13,197,3,38,4,72,0,6,1399,2211
State,Himachal Pradesh,Kinnaur,7,0,0,9,0,9,1,1,0,0,0,0,31,12,1,11,13,6,5,0,1,11,0,1,0,4,0,20,94,215
State,Himachal Pradesh,Kullu,11,2,1,22,0,22,12,11,1,1,0,2,61,74,13,61,64,5,20,1,5,51,0,22,3,18,0,48,597,1020
State,Himachal Pradesh,Lahaul-spiti,1,0,0,1,0,1,1,1,0,0,0,0,2,3,0,3,3,0,0,0,0,3,0,1,0,0,0,13,53,81
State,Himachal Pradesh,Mandi,14,7,1,30,0,30,25,23,2,0,0,3,85,117,32,85,68,23,21,0,32,112,0,70,6,60,0,81,1448,2203
State,Himachal Pradesh,Shimla,15,15,1,27,0,27,28,26,2,0,0,9,126,246,34,212,111,22,47,0,37,64,1,46,0,44,0,96,1191,2126
State,Himachal Pradesh,Sirmaur,16,4,0,7,0,7,12,9,3,0,0,0,48,69,22,47,61,7,12,0,4,41,0,26,0,26,0,65,391,789
State,Himachal Pradesh,Solan,10,9,2,8,0,8,17,16,1,2,0,0,112,143,58,85,70,23,24,2,10,364,3,26,0,30,0,82,683,1620
State,Himachal Pradesh,Una,14,1,1,9,0,9,12,9,3,2,0,1,66,98,34,64,35,11,17,1,2,101,0,10,5,19,0,50,492,947
State,Himachal Pradesh,Total,127,57,9,159,0,159,171,150,21,5,0,23,877,1092,264,828,649,132,212,11,141,1318,8,322,33,342,0,597,7937,14222
State,Jammu & Kashmir,Anantnag,9,27,5,16,0,16,65,65,0,0,0,5,147,120,34,86,92,11,39,0,17,54,0,57,29,0,0,31,586,1310
State,Jammu & Kashmir,Awantipora,13,2,0,5,0,5,13,11,2,0,0,4,24,35,10,25,22,2,3,2,1,0,0,29,7,0,0,13,202,377
State,Jammu & Kashmir,Baramulla,47,79,3,31,0,31,102,90,12,4,0,3,148,181,17,164,83,8,16,5,23,19,0,93,28,2,0,0,669,1544
State,Jammu & Kashmir,Border District,9,17,0,6,0,6,10,7,3,0,0,0,23,62,13,49,32,2,12,0,0,8,2,11,3,3,0,1,436,637
State,Jammu & Kashmir,Budgam,5,18,1,17,0,17,72,72,0,0,0,9,92,176,12,164,111,2,21,3,8,3,0,118,31,0,0,8,641,1336
State,Jammu & Kashmir,Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,44
State,Jammu & Kashmir,Crime Srinagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,67,0,0,0,0,0,0,0,0,0,0,79
State,Jammu & Kashmir,Doda,35,68,0,28,0,28,30,28,2,4,0,5,40,67,4,63,13,5,9,0,16,28,0,26,5,13,0,5,550,947
State,Jammu & Kashmir,Ganderbal,11,6,0,5,0,5,45,45,0,0,0,4,41,58,4,54,92,4,12,0,11,5,0,73,3,5,0,6,241,622
State,Jammu & Kashmir,Handwara,12,30,1,15,0,15,22,22,0,1,0,3,22,58,3,55,33,5,3,2,2,3,0,62,9,2,0,0,155,440
State,Jammu & Kashmir,Jammu,22,71,6,25,0,25,52,52,0,2,0,2,205,370,181,189,82,23,87,2,14,34,3,23,41,45,0,74,2159,3342
State,Jammu & Kashmir,Kargil,0,2,0,0,0,0,1,1,0,0,0,0,4,4,1,3,3,2,1,0,1,0,0,2,0,0,0,7,61,88
State,Jammu & Kashmir,Kathua,11,28,1,15,0,15,18,17,1,2,0,1,60,79,13,66,51,5,20,0,10,25,1,15,21,7,0,3,865,1238
State,Jammu & Kashmir,Kulgam,10,18,2,9,0,9,46,43,3,1,0,14,54,85,8,77,68,0,13,1,2,20,0,53,13,0,0,25,239,673
State,Jammu & Kashmir,Kupwara,23,59,1,4,0,4,38,35,3,0,0,4,36,66,5,61,88,1,9,3,9,4,0,77,4,5,0,0,251,682
State,Jammu & Kashmir,Leh,4,3,0,2,0,2,3,3,0,0,0,1,19,14,4,10,4,12,3,0,0,3,0,4,0,0,0,0,214,286
State,Jammu & Kashmir,Poonch,13,35,1,13,0,13,17,17,0,0,0,0,34,43,0,43,106,3,10,0,0,37,0,28,3,15,0,3,400,761
State,Jammu & Kashmir,Pulwama,22,54,1,11,0,11,51,45,6,0,0,19,76,92,3,89,136,2,18,6,16,57,0,36,8,2,0,10,225,842
State,Jammu & Kashmir,Railways,1,1,1,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,0,1,0,0,2,7,27
State,Jammu & Kashmir,Rajouri,23,27,0,25,0,25,51,47,4,0,0,5,77,69,3,66,31,1,23,1,27,24,3,30,6,45,0,5,1087,1560
State,Jammu & Kashmir,Ramban,18,27,0,15,0,15,10,7,3,0,0,0,28,60,9,51,14,4,8,0,5,14,0,6,5,0,0,3,517,734
State,Jammu & Kashmir,Reasi,8,14,0,7,0,7,11,10,1,0,0,0,9,26,0,26,1,0,5,0,5,1,0,10,3,1,0,0,209,310
State,Jammu & Kashmir,Srinagar,15,64,0,27,0,27,92,81,11,2,0,29,272,351,178,173,127,14,59,6,18,21,0,219,121,31,0,47,1105,2620
State,Jammu & Kashmir,Udhampur,7,19,0,12,0,12,9,9,0,2,0,3,49,56,12,44,20,3,8,0,1,14,0,14,12,0,0,0,715,944
State,Jammu & Kashmir,Total,318,669,23,288,0,288,758,707,51,18,0,111,1460,2086,514,1572,1209,121,489,31,186,374,9,986,353,176,0,243,11535,21443
State,Jharkhand,Bokaro,60,21,0,57,0,57,43,36,7,18,2,45,108,622,142,480,125,69,35,0,0,0,21,7,0,62,0,0,1456,2751
State,Jharkhand,Chaibasa,127,32,2,43,0,43,19,9,10,10,2,21,21,135,29,106,41,5,26,0,1,61,6,10,0,21,0,27,415,1025
State,Jharkhand,Chatra,29,69,1,25,0,25,12,11,1,34,0,33,29,87,10,77,113,0,2,0,2,0,15,3,0,8,0,0,498,960
State,Jharkhand,Deoghar,48,29,3,24,0,24,26,6,20,11,0,22,133,276,58,218,140,31,4,0,1,81,21,2,1,0,0,42,918,1813
State,Jharkhand,Dhanbad,80,56,7,41,0,41,87,68,19,40,3,58,180,851,312,539,299,45,74,1,6,279,29,32,9,38,0,2,1495,3712
State,Jharkhand,Dhanbad Rly.,7,0,0,1,0,1,0,0,0,20,0,9,0,127,8,119,7,0,2,0,0,0,2,1,0,0,0,0,105,281
State,Jharkhand,Dumka,65,27,0,52,0,52,29,22,7,6,0,11,64,191,78,113,98,8,29,0,9,208,23,35,0,49,0,76,589,1569
State,Jharkhand,Garhwa,53,45,3,17,0,17,20,12,8,14,0,16,21,75,10,65,141,7,25,1,9,169,8,0,0,30,0,61,301,1016
State,Jharkhand,Giridih,59,114,0,46,0,46,35,30,5,52,4,31,103,289,27,262,310,12,49,0,7,72,20,61,0,71,0,109,1266,2710
State,Jharkhand,Godda,55,85,3,30,0,30,39,19,20,8,0,9,64,152,0,152,129,10,18,0,9,61,7,3,0,42,0,0,571,1295
State,Jharkhand,Gumla,137,59,3,60,0,60,34,29,5,24,0,45,8,91,21,70,27,3,11,8,12,0,1,11,0,9,0,0,436,979
State,Jharkhand,Hazaribagh,78,72,6,41,0,41,28,25,3,56,7,54,136,635,87,548,157,20,207,0,24,149,45,40,0,86,0,72,864,2777
State,Jharkhand,Jamshedpur,92,67,7,65,0,65,39,31,8,17,2,62,149,944,334,610,118,106,78,0,12,826,20,30,0,56,0,172,609,3471
State,Jharkhand,Jamshedpur Rly.,4,0,0,1,0,1,4,2,2,2,0,4,3,159,11,148,5,1,2,1,0,5,0,1,0,0,0,0,73,265
State,Jharkhand,Jamtara,14,9,5,22,0,22,21,19,2,4,0,2,34,95,10,85,74,2,14,0,5,0,6,11,0,24,0,19,358,719
State,Jharkhand,Khunti,91,9,4,15,0,15,15,7,8,12,2,26,2,44,4,40,9,0,2,1,4,24,1,1,0,3,0,55,69,389
State,Jharkhand,Koderma,22,33,3,15,0,15,18,7,11,15,0,16,20,120,34,86,102,15,27,3,1,1,11,2,0,9,0,53,299,785
State,Jharkhand,Latehar,53,3,1,10,0,10,14,7,7,27,3,17,9,75,4,71,38,0,5,0,3,85,4,2,0,4,0,34,182,569
State,Jharkhand,Lohardagga,31,19,4,32,0,32,21,9,12,12,0,23,21,88,28,60,29,14,16,2,4,118,1,12,0,24,0,25,124,620
State,Jharkhand,Pakur,24,100,9,45,0,45,22,19,3,5,0,3,16,100,16,84,66,3,16,0,6,151,4,13,0,31,0,30,112,756
State,Jharkhand,Palamu,67,31,1,29,0,29,36,28,8,21,2,40,96,145,12,133,122,8,20,0,13,642,17,6,3,31,0,0,267,1597
State,Jharkhand,Ramgarh,41,13,0,28,0,28,37,26,11,17,5,36,27,350,57,293,132,8,56,0,2,46,11,11,0,46,0,2,478,1346
State,Jharkhand,Ranchi,203,78,24,53,0,53,88,64,24,69,5,146,171,1177,437,740,204,64,64,2,23,642,17,27,2,100,0,172,1518,4849
State,Jharkhand,Sahebganj,54,51,2,64,0,64,32,24,8,3,1,7,61,53,7,46,38,10,8,0,1,60,9,18,0,25,0,24,375,896
State,Jharkhand,Saraikela,51,30,2,18,0,18,23,4,19,12,2,18,4,151,37,114,31,7,19,0,0,41,4,2,0,26,0,44,422,907
State,Jharkhand,Simdega,72,24,2,21,0,21,20,20,0,15,0,17,15,59,11,48,10,0,5,0,6,62,0,1,0,6,0,0,97,432
State,Jharkhand,Total,1617,1076,92,855,0,855,762,534,228,524,40,771,1495,7091,1784,5307,2565,448,814,19,160,3783,303,342,15,801,0,1019,13897,38489
State,Karnataka,Bagalkot,38,24,3,4,0,4,27,17,10,8,3,11,60,125,41,84,123,4,44,5,15,245,2,51,3,70,0,0,1179,2044
State,Karnataka,Bengaluru Commr.,246,264,7,62,1,61,119,35,84,41,203,545,1485,7377,3667,3710,425,183,2052,45,2,2381,54,187,2,290,0,110,10969,27049
State,Karnataka,Bengaluru Rural,176,43,0,29,0,29,43,13,30,18,0,55,330,834,173,661,504,23,86,0,10,1012,32,99,0,103,0,0,5180,8577
State,Karnataka,Belgaum,110,84,3,22,0,22,42,28,14,7,1,51,224,459,202,257,372,21,253,8,39,944,10,129,2,232,0,21,3744,6778
State,Karnataka,Bellary,62,51,0,14,0,14,17,15,2,2,3,25,139,226,81,145,222,6,70,4,11,530,7,71,0,62,0,15,2099,3636
State,Karnataka,Bidar,42,46,11,11,0,11,26,20,6,7,0,25,160,197,55,142,172,7,22,2,19,946,4,103,1,81,0,0,1757,3639
State,Karnataka,Bijapur,49,28,1,17,0,17,30,13,17,2,10,31,129,155,45,110,298,6,72,3,23,690,2,80,0,145,0,0,1447,3218
State,Karnataka,Chamarajnagar,19,11,1,3,0,3,7,4,3,1,0,2,58,84,18,66,77,3,15,0,0,432,2,26,0,18,0,0,614,1373
State,Karnataka,Chickmagalur,32,29,2,11,0,11,11,7,4,6,2,22,126,169,43,126,121,3,20,3,7,702,4,55,3,108,0,3,1375,2814
State,Karnataka,Chitradurga,32,20,0,10,0,10,21,7,14,1,0,23,114,183,40,143,238,6,27,1,8,821,9,65,1,51,0,0,2298,3929
State,Karnataka,Dakshin Kannada,26,37,1,11,0,11,11,8,3,3,2,19,266,215,108,107,195,9,93,6,20,502,2,36,3,46,0,12,2373,3888
State,Karnataka,Davanagere,19,22,1,10,0,10,16,11,5,2,2,20,134,205,49,156,220,13,41,3,0,472,5,49,2,102,0,0,1437,2775
State,Karnataka,Dharwad Commr,16,20,0,5,0,5,16,12,4,1,4,60,147,273,118,155,104,17,133,6,0,184,3,10,1,30,0,5,1018,2053
State,Karnataka,Dharwad Rural,30,13,0,7,0,7,6,3,3,4,0,4,19,45,15,30,64,8,21,0,0,114,0,8,0,10,0,0,643,996
State,Karnataka,Gadag,17,17,0,4,0,4,5,2,3,2,0,8,50,68,22,46,111,6,27,0,3,131,3,31,0,23,0,91,425,1022
State,Karnataka,Gulbarga,91,90,1,35,0,35,54,38,16,9,3,64,185,262,83,179,498,17,77,2,46,1205,19,91,0,127,0,19,2057,4952
State,Karnataka,Hassan,54,35,1,13,0,13,15,9,6,2,0,30,191,278,111,167,130,5,99,0,0,1032,11,77,0,83,0,0,2475,4531
State,Karnataka,Haveri,17,21,3,8,0,8,21,6,15,4,0,5,93,95,33,62,197,11,33,6,0,249,5,35,0,27,0,169,1044,2043
State,Karnataka,K.g.f.,12,23,0,7,0,7,7,6,1,1,1,11,48,90,12,78,39,1,15,0,0,208,7,29,0,21,0,0,344,864
State,Karnataka,Kodagu,25,28,2,4,0,4,11,9,2,2,0,8,103,129,26,103,48,2,19,1,4,453,4,20,1,43,0,2,704,1613
State,Karnataka,Kolar,66,62,1,19,0,19,35,24,11,7,0,19,133,389,113,276,291,1,37,0,0,720,17,44,0,50,0,5,1850,3746
State,Karnataka,Koppal,19,10,7,6,0,6,5,5,0,1,0,10,85,74,23,51,121,1,18,0,2,199,1,32,0,48,0,0,1001,1640
State,Karnataka,Mandya,48,43,0,17,0,17,15,14,1,3,0,9,142,254,103,151,180,8,27,4,0,799,15,66,0,95,0,0,2511,4236
State,Karnataka,Mysore Commr,26,38,0,13,0,13,19,13,6,4,3,103,173,573,329,244,84,5,78,5,0,258,4,25,0,123,0,0,1403,2937
State,Karnataka,Mysore Rural,60,45,0,20,0,20,11,4,7,7,0,10,90,190,42,148,182,6,24,4,0,855,11,77,0,108,0,0,1495,3195
State,Karnataka,Raichur,44,31,2,19,0,19,23,20,3,5,0,8,110,142,34,108,214,7,74,6,16,569,3,61,2,97,0,10,1430,2873
State,Karnataka,Railways,17,4,0,0,0,0,2,0,2,3,2,21,0,367,7,360,4,1,2,1,0,10,0,0,0,0,0,0,54,488
State,Karnataka,Shimoga,40,43,2,23,0,23,26,21,5,12,1,41,241,282,102,180,160,4,42,3,5,885,3,81,3,158,0,11,2183,4249
State,Karnataka,Tumkur,74,41,2,17,0,17,25,19,6,11,1,39,227,417,123,294,184,2,37,2,16,784,10,105,0,77,0,36,2611,4718
State,Karnataka,Udupi,12,12,1,11,0,11,7,1,6,1,1,15,117,119,54,65,142,5,22,2,8,289,1,22,2,19,0,5,1576,2389
State,Karnataka,Uttar Kannada,19,16,3,4,0,4,7,6,1,1,0,19,70,75,15,60,63,9,20,2,8,342,1,63,2,60,0,0,1557,2341
State,Karnataka,Total,1538,1251,55,436,1,435,680,390,290,178,242,1313,5449,14351,5887,8464,5783,400,3600,124,262,18963,251,1828,28,2507,0,514,60853,120606
State,Kerala,Alapuzha,19,37,2,25,0,25,16,11,5,6,0,41,203,351,170,181,453,29,276,0,19,1158,3,208,17,264,0,7,5027,8161
State,Kerala,Cbcid,7,2,0,2,0,2,0,0,0,0,0,0,2,1,0,1,2,1,12,40,0,2,1,0,0,3,0,3,8,86
State,Kerala,Ernakulam Commr,14,17,13,23,0,23,10,6,4,4,0,43,189,350,120,230,177,21,284,0,5,460,0,75,5,88,0,0,4824,6602
State,Kerala,Ernakulam Rural,26,26,14,22,0,22,8,6,2,18,15,58,254,335,137,198,323,27,186,0,7,1232,1,126,10,151,0,1,6517,9357
State,Kerala,Idukki,24,22,1,28,0,28,9,7,2,6,0,27,168,213,26,187,202,20,110,0,25,1323,0,155,21,186,0,0,2381,4921
State,Kerala,Kannur,14,47,0,34,0,34,16,10,6,8,5,98,275,234,99,135,867,14,141,0,48,1243,1,123,14,247,0,10,2543,5982
State,Kerala,Kasargod,12,13,2,19,0,19,2,0,2,0,3,27,156,192,78,114,519,16,791,0,34,648,0,93,7,195,0,0,1417,4146
State,Kerala,Kollam,43,27,12,46,0,46,22,20,2,4,25,36,298,457,179,278,546,14,178,0,44,2183,4,282,10,447,0,2,4559,9239
State,Kerala,Kottayam,17,17,3,25,0,25,20,16,4,10,0,57,314,384,114,270,423,47,374,0,18,1771,1,224,31,185,0,6,3932,7859
State,Kerala,Kozhikode Commr,9,13,0,15,0,15,11,7,4,4,13,80,231,306,156,150,342,15,108,2,5,509,0,70,9,141,0,1,1999,3883
State,Kerala,Kozhikode Rural,10,12,3,25,0,25,14,10,4,3,3,30,201,257,123,134,522,7,185,0,30,1034,3,128,16,257,0,3,1966,4709
State,Kerala,Malappuram,22,29,7,41,0,41,13,3,10,16,13,32,500,456,208,248,516,13,235,1,19,903,0,139,37,503,0,0,3691,7186
State,Kerala,Palakkad,41,19,8,39,0,39,9,4,5,13,7,39,215,290,108,182,385,51,203,1,23,1128,6,82,5,356,0,6,2535,5461
State,Kerala,Pathanamthitta,21,12,4,19,0,19,19,18,1,6,0,31,179,179,53,126,301,28,130,1,22,1093,0,153,18,162,0,2,2499,4879
State,Kerala,Railways,0,0,0,0,0,0,1,0,1,0,0,6,1,158,0,158,3,0,1,0,0,14,0,6,3,0,0,0,21,214
State,Kerala,Thrissur,38,50,9,48,0,48,27,19,8,7,30,74,221,356,124,232,596,30,400,2,45,1008,0,202,28,332,0,14,6651,10168
State,Kerala,Trivandrum Commr,13,21,3,20,0,20,23,16,7,5,35,96,244,568,217,351,458,38,316,3,10,883,1,141,10,130,0,1,2418,5437
State,Kerala,Trivandrum Rural,26,24,9,54,0,54,26,20,6,10,7,79,322,396,154,242,522,15,211,2,35,1708,4,351,7,242,0,3,3832,7885
State,Kerala,Wayanadu,11,14,2,27,0,27,9,4,5,1,1,15,127,126,47,79,201,8,74,2,9,675,2,66,14,110,0,0,861,2355
State,Kerala,Total,367,402,92,512,0,512,255,177,78,121,157,869,4100,5609,2113,3496,7358,394,4215,54,398,18975,27,2624,262,3999,0,59,57681,108530
State,Madhya Pradesh,Anuppur,22,4,1,49,0,49,6,5,1,1,1,12,94,130,30,100,9,1,21,4,15,466,3,87,3,26,0,7,703,1665
State,Madhya Pradesh,Ashok Nagar,34,29,5,81,0,81,11,9,2,1,3,22,110,228,41,187,39,7,15,0,22,906,13,173,14,43,0,75,915,2746
State,Madhya Pradesh,Balaghat,51,16,3,53,0,53,7,5,2,1,0,18,100,140,33,107,21,3,12,2,7,310,7,89,9,39,0,61,1341,2290
State,Madhya Pradesh,Barwani,39,38,1,55,0,55,10,8,2,2,0,23,88,299,60,239,59,3,2,1,8,320,4,132,11,32,0,112,1262,2501
State,Madhya Pradesh,Betul,51,48,0,156,0,156,18,17,1,2,0,20,154,200,63,137,8,0,19,0,20,387,13,174,14,72,0,120,1608,3084
State,Madhya Pradesh,Bhind,68,104,7,27,0,27,15,8,7,3,4,86,147,212,59,153,43,9,12,0,11,723,38,55,2,28,0,129,1235,2958
State,Madhya Pradesh,Bhopal,74,76,1,82,0,82,48,43,5,3,1,196,978,2284,1300,984,79,20,133,5,19,1797,24,212,41,137,0,547,7308,14065
State,Madhya Pradesh,Bhopal Rly.,7,2,1,1,0,1,0,0,0,2,2,9,8,962,19,943,4,0,2,0,1,3,2,14,5,1,0,1,290,1317
State,Madhya Pradesh,Burhanpur,16,11,0,12,0,12,1,1,0,3,0,8,48,140,40,100,15,6,5,0,3,122,2,54,4,15,0,29,873,1367
State,Madhya Pradesh,Chhatarpur,53,80,0,65,0,65,32,25,7,1,3,38,369,332,47,285,47,9,23,2,17,592,31,216,22,85,0,122,2964,5103
State,Madhya Pradesh,Chhindwara,59,28,10,116,0,116,14,13,1,2,0,13,172,289,85,204,49,7,25,0,11,1082,16,185,19,118,0,181,1484,3880
State,Madhya Pradesh,Damoh,43,47,0,30,0,30,14,9,5,2,1,12,141,148,62,86,15,1,12,0,9,1211,20,148,0,50,0,73,778,2755
State,Madhya Pradesh,Datiya,49,49,0,25,0,25,21,11,10,0,3,42,123,166,60,106,30,0,14,0,14,421,9,68,0,32,0,74,1348,2488
State,Madhya Pradesh,Dewas,39,63,4,84,0,84,27,18,9,5,3,24,251,677,211,466,90,11,41,0,20,460,22,165,48,131,0,148,3335,5648
