Sl. No.,Category,STATE/UT,Population (In Lakhs)@,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) -I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) -P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives(Sec.498A IPC) - R,Cruelty by Husband and Relatives(Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) -I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,Sati Prevention Act - 1987 - I,Sati Prevention Act - 1987 - R,Sati Prevention Act - 1987 - P,"Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
21,State,Punjab,277.04,479,1.7,2,517,1.9,1.5,143,0.5,1.7,1136,4.1,1.1,282,1,0.7,31,0.1,0.4,0,0,0,0,0,0,50,0.2,2.1,0,0,0,3,0,0,2641,9.5,1.2
22,State,Rajasthan,686.21,1800,2.6,7.4,2713,4,7.6,514,0.7,6,12218,17.8,12.3,2447,3.6,5.7,9,0,0.1,0,0,0,0,0,0,81,0.1,3.3,102,0.1,22.5,4,0,0.1,19888,29,8.7
23,State,Sikkim,6.08,16,2.6,0.1,10,1.6,0,0,0,0,4,0.7,0,24,3.9,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,55,9,0
24,State,Tamil Nadu,721.39,677,0.9,2.8,1743,2.4,4.9,152,0.2,1.8,1812,2.5,1.8,1467,2,3.4,464,0.6,5.4,0,0,0,0,0,0,420,0.6,17.2,10,0,2.2,195,0.3,2.9,6940,9.6,3
25,State,Tripura,36.71,205,5.6,0.8,116,3.2,0.3,30,0.8,0.3,702,19.1,0.7,294,8,0.7,9,0.2,0.1,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,1358,37,0.6
26,State,Uttar Pradesh,1995.81,2042,1,8.4,7525,3.8,21.2,2322,1.2,26.9,7121,3.6,7.2,3455,1.7,8,3,0,0,0,0,0,0,0,0,43,0,1.8,4,0,0.9,124,0.1,1.9,22639,11.3,9.9
27,State,Uttarakhand,101.17,129,1.3,0.5,283,2.8,0.8,83,0.8,1,307,3,0.3,116,1.1,0.3,72,0.7,0.8,0,0,0,0,0,0,3,0,0.1,0,0,0,3,0,0,996,9.8,0.4
28,State,West Bengal,913.48,2363,2.6,9.8,3711,4.1,10.4,510,0.6,5.9,19772,21.6,19.9,2363,2.6,5.5,200,0.2,2.3,0,0,0,0,0,0,96,0.1,3.9,2,0,0.4,116,0.1,1.8,29133,31.9,12.7
State,State,Total (States),11901.11,23582,2,97.4,33403,2.8,93.9,8473,0.7,98.3,97494,8.2,98.3,42238,3.5,98.3,8377,0.7,97.7,80,0,100,1,0,100,2388,0.2,98.1,452,0,99.8,6603,0.6,99.8,223091,18.7,97.6
29,Union Territory,A & N Islands,3.8,13,3.4,0.1,12,3.2,0,0,0,0,5,1.3,0,15,3.9,0,3,0.8,0,0,0,0,0,0,0,3,0.8,0.1,0,0,0,0,0,0,51,13.4,0
30,Union Territory,Chandigarh,10.55,27,2.6,0.1,46,4.4,0.1,2,0.2,0,46,4.4,0,21,2,0,12,1.1,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0,156,14.8,0.1
31,Union Territory,D & N Haveli,3.43,4,1.2,0,8,2.3,0,0,0,0,3,0.9,0,2,0.6,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,0,0,0,0,0,18,5.2,0
32,Union Territory,Daman & Diu,2.43,1,0.4,0,2,0.8,0,0,0,0,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.5,0.2,0,0,0,0,0,0,11,4.5,0
33,Union Territory,Delhi,167.63,572,3.4,2.4,2085,12.4,5.9,142,0.8,1.6,1575,9.4,1.6,657,3.9,1.5,162,1,1.9,0,0,0,0,0,0,33,0.2,1.4,1,0,0.2,7,0,0.1,5234,31.2,2.3
34,Union Territory,Lakshadweep,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,12.44,7,0.6,0,9,0.7,0,1,0.1,0,10,0.8,0,35,2.8,0.1,16,1.3,0.2,0,0,0,0,0,0,3,0.2,0.1,0,0,0,8,0.6,0.1,89,7.2,0
Union Territory,Union Territory,Total (UTs),200.82,624,3.1,2.6,2162,10.8,6.1,145,0.7,1.7,1641,8.2,1.7,730,3.6,1.7,193,1,2.3,0,0,0,0,0,0,47,0.2,1.9,1,0.2,0.2,16,0.1,0.2,5559,27.7,2.4
