Sr. No.,Category,State/UT,Murder (Sec. 302 IPC) - Incidence,Murder (Sec. 302 IPC) - Rate,Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC)- Total - Incidence,Rape (Sec. 376 IPC) - Total - Rate,Rape (Sec. 376 IPC) - Custodial - Incidence,Rape (Sec. 376 IPC) - Custodial - Rate,Rape (Sec. 376 IPC) - Others - Incidence,Rape (Sec. 376 IPC) - Others - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) -of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455,457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455,457-460 IPC) - Rate",Theft (Sec.379-382 IPC) - Total - Incidence,Theft (Sec.379-382 IPC) - Total - Rate,Theft (Sec.379-382 IPC) - Auto Theft - Incidence,Theft (Sec.379-382 IPC) - Auto Theft - Rate,Theft (Sec.379-382 IPC) - Other Theft - Incidence,Theft (Sec.379-382 IPC) - Other Theft - Rate,"Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Incidence","Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC) - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.340B IPC) - Incidence,Dowry Deaths (Sec.340B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
City,City,Indore,107,4.9,110,5.1,3,0.1,91,4.2,0,0,91,4.2,59,2.7,47,2.2,12,0.6,1,0,6,0.3,194,9,862,39.8,3232,149.1,2285,105.4,947,43.7,72,3.3,36,1.7,205,9.5,3,0.1,37,1.7,2286,105.5,21,1,229,10.6,49,2.3,306,14.1,3,0.1,244,11.3,6348,292.9,14504,669.3
City,City,Jabalpur,50,3.9,102,8,2,0.2,64,5,0,0,64,5,24,1.9,17,1.3,7,0.6,0,0,9,0.7,61,4.8,348,27.4,641,50.6,416,32.8,225,17.7,67,5.3,11,0.9,81,6.4,0,0,13,1,2327,183.5,26,2.1,171,13.5,27,2.1,129,10.2,2,0.2,111,8.8,2294,180.9,6560,517.4
City,City,Jaipur,83,2.7,82,2.7,6,0.2,92,3,0,0,92,3,262,8.5,226,7.4,36,1.2,8,0.3,12,0.4,179,5.8,889,28.9,4895,159.3,3447,112.2,1448,47.1,137,4.5,271,8.8,2756,89.7,3,0.1,24,0.8,749,24.4,39,1.3,125,4.1,0,0,936,30.5,0,0,755,24.6,6594,214.6,18897,614.9
City,City,Jamshedpur,36,2.7,22,1.6,6,0.4,18,1.3,0,0,18,1.3,52,3.9,40,3,12,0.9,3,0.2,0,0,20,1.5,134,10,701,52.4,352,26.3,349,26.1,83,6.2,70,5.2,53,4,0,0,15,1.1,480,35.9,12,0.9,18,1.3,0,0,61,4.6,0,0,120,9,458,34.3,2362,176.7
City,City,Jodhpur,29,2.5,54,4.7,6,0.5,33,2.9,0,0,33,2.9,58,5.1,45,4,13,1.1,0,0,1,0.1,17,1.5,173,15.2,945,83,657,57.7,288,25.3,4,0.4,18,1.6,684,60.1,4,0.4,12,1.1,641,56.3,13,1.1,57,5,1,0.1,338,29.7,0,0,241,21.2,941,82.7,4270,375.2
City,City,Kannur,2,0.1,12,0.7,1,0.1,12,0.7,0,0,12,0.7,2,0.1,2,0.1,0,0,2,0.1,1,0.1,57,3.5,71,4.3,111,6.8,49,3,62,3.8,310,18.9,2,0.1,41,2.5,0,0,18,1.1,351,21.4,0,0,43,2.6,8,0.5,107,6.5,0,0,2,0.1,1236,75.2,2389,145.4
City,City,Kanpur,159,5.4,140,4.8,41,1.4,71,2.4,0,0,71,2.4,343,11.7,303,10.4,40,1.4,11,0.4,0,0,133,4.6,319,10.9,1738,59.5,1353,46.3,385,13.2,177,6.1,208,7.1,510,17.5,35,1.2,3,0.1,309,10.6,69,2.4,140,4.8,2,0.1,284,9.7,0,0,453,15.5,2516,86.2,7661,262.4
City,City,Kochi,15,0.7,14,0.7,0,0,30,1.4,0,0,30,1.4,11,0.5,10,0.5,1,0,6,0.3,34,1.6,38,1.8,76,3.6,307,14.5,71,3.4,236,11.1,343,16.2,9,0.4,618,29.2,0,0,5,0.2,376,17.8,0,0,105,5,32,1.5,136,6.4,0,0,2,0.1,32501,1534.5,34658,1636.4
City,City,Kolkata,54,0.4,85,0.6,28,0.2,46,0.3,0,0,46,0.3,148,1,116,0.8,32,0.2,1,0,44,0.3,34,0.2,63,0.4,3532,25,539,3.8,2993,21.2,336,2.4,333,2.4,1625,11.5,63,0.4,0,0,2271,16.1,11,0.1,254,1.8,144,1,557,3.9,0,0,414,2.9,7109,50.4,17152,121.5
City,City,Kollam,13,1.2,39,3.5,3,0.3,50,4.5,0,0,50,4.5,21,1.9,20,1.8,1,0.1,4,0.4,21,1.9,16,1.4,105,9.5,227,20.5,90,8.1,137,12.3,602,54.2,14,1.3,83,7.5,0,0,17,1.5,1146,103.2,1,0.1,192,17.3,19,1.7,319,28.7,0,0,1,0.1,3547,319.5,6440,580.2
City,City,Kota,35,3.5,100,10,6,0.6,24,2.4,0,0,24,2.4,91,9.1,74,7.4,17,1.7,0,0,9,0.9,15,1.5,120,12,863,86.2,671,67,192,19.2,2,0.2,16,1.6,499,49.9,1,0.1,2,0.2,144,14.4,5,0.5,58,5.8,0,0,413,41.3,0,0,108,10.8,1665,166.3,4176,417.2
City,City,Kozhikode,5,0.2,15,0.7,0,0,14,0.7,0,0,14,0.7,11,0.5,10,0.5,1,0,0,0,30,1.5,48,2.4,136,6.7,241,11.9,106,5.2,135,6.6,446,22,30,1.5,188,9.3,1,0,10,0.5,685,33.7,0,0,124,6.1,100,4.9,171,8.4,0,0,0,0,1771,87.2,4026,198.2
City,City,Lucknow,86,3,64,2.2,26,0.9,38,1.3,0,0,38,1.3,219,7.5,210,7.2,9,0.3,9,0.3,0,0,52,1.8,410,14.1,1987,68.5,1279,44.1,708,24.4,123,4.2,374,12.9,703,24.2,19,0.7,4,0.1,33,1.1,32,1.1,104,3.6,0,0,454,15.6,0,0,408,14.1,3746,129.1,8891,306.5
City,City,Ludhiana,59,3.7,68,4.2,7,0.4,42,2.6,0,0,42,2.6,76,4.7,64,4,12,0.7,1,0.1,11,0.7,10,0.6,183,11.3,466,28.9,233,14.4,233,14.4,0,0,32,2,361,22.4,2,0.1,7,0.4,203,12.6,13,0.8,22,1.4,10,0.6,102,6.3,0,0,200,12.4,917,56.8,2792,173
City,City,Madurai,35,2.4,56,3.8,0,0,7,0.5,0,0,7,0.5,25,1.7,18,1.2,7,0.5,1,0.1,0,0,85,5.8,106,7.3,455,31.1,209,14.3,246,16.8,25,1.7,10,0.7,183,12.5,20,1.4,2,0.1,171,11.7,5,0.3,22,1.5,4,0.3,71,4.9,0,0,123,8.4,1467,100.3,2873,196.5
City,City,Malappuram,3,0.2,3,0.2,0,0,16,0.9,0,0,16,0.9,7,0.4,4,0.2,3,0.2,0,0,0,0,11,0.6,61,3.6,102,6,63,3.7,39,2.3,144,8.5,1,0.1,76,4.5,0,0,1,0.1,179,10.5,0,0,37,2.2,2,0.1,126,7.4,0,0,2,0.1,1658,97.6,2429,143
City,City,Meerut,74,5.2,84,5.9,9,0.6,23,1.6,0,0,23,1.6,157,11,139,9.8,18,1.3,6,0.4,1,0.1,131,9.2,154,10.8,1770,124.2,1308,91.8,462,32.4,126,8.8,64,4.5,298,20.9,7,0.5,4,0.3,12,0.8,18,1.3,47,3.3,0,0,99,6.9,0,0,146,10.2,1123,78.8,4353,305.5
City,City,Mumbai,203,1.1,180,1,4,0,221,1.2,0,0,221,1.2,221,1.2,166,0.9,55,0.3,28,0.2,46,0.2,467,2.5,2745,14.9,12983,70.5,4702,25.5,8281,45,379,2.1,553,3,1946,10.6,81,0.4,46,0.2,4302,23.4,14,0.1,553,3,162,0.9,393,2.1,0,0,656,3.6,6464,35.1,32647,177.3
City,City,Nagpur,114,4.6,74,3,13,0.5,45,1.8,0,0,45,1.8,40,1.6,24,1,16,0.6,12,0.5,11,0.4,198,7.9,734,29.4,2287,91.6,1142,45.7,1145,45.8,148,5.9,68,2.7,294,11.8,22,0.9,22,0.9,876,35.1,4,0.2,68,2.7,53,2.1,174,7,0,0,243,9.7,2563,102.6,8063,322.8
City,City,Nasik,37,2.4,32,2,4,0.3,25,1.6,0,0,25,1.6,16,1,11,0.7,5,0.3,28,1.8,6,0.4,154,9.9,516,33,2095,134,1079,69,1016,65,111,7.1,31,2,197,12.6,14,0.9,21,1.3,258,16.5,5,0.3,37,2.4,10,0.6,115,7.4,0,0,177,11.3,623,39.9,4512,288.7
City,City,Patna,133,6.5,19,0.9,0,0,27,1.3,0,0,27,1.3,246,12,125,6.1,121,5.9,33,1.6,0,0,121,5.9,425,20.8,2366,115.6,1209,59.1,1157,56.5,292,14.3,12,0.6,598,29.2,19,0.9,1,0,425,20.8,45,2.2,1,0,1,0,199,9.7,0,0,282,13.8,4047,197.7,9292,453.9
City,City,Pune,110,2.2,118,2.3,5,0.1,79,1.6,0,0,79,1.6,104,2.1,72,1.4,32,0.6,19,0.4,34,0.7,546,10.8,1192,23.6,4710,93.3,2869,56.8,1841,36.5,478,9.5,93,1.8,769,15.2,34,0.7,27,0.5,991,19.6,8,0.2,118,2.3,80,1.6,251,5,0,0,538,10.7,2318,45.9,12622,249.9
City,City,Raipur,38,3.4,52,4.6,1,0.1,24,2.1,0,0,24,2.1,16,1.4,9,0.8,7,0.6,3,0.3,0,0,47,4.2,466,41.5,1013,90.2,639,56.9,374,33.3,98,8.7,41,3.7,204,18.2,3,0.3,33,2.9,1745,155.4,4,0.4,195,17.4,27,2.4,59,5.3,0,0,212,18.9,1941,172.8,6222,554.1
City,City,Rajkot,44,3.2,22,1.6,0,0,10,0.7,0,0,10,0.7,40,2.9,34,2.4,6,0.4,3,0.2,0,0,36,2.6,187,13.4,923,66.4,733,52.7,190,13.7,67,4.8,67,4.8,42,3,7,0.5,12,0.9,360,25.9,0,0,17,1.2,3,0.2,246,17.7,0,0,161,11.6,1692,121.6,3939,283.2
City,City,Ranchi,71,6.3,27,2.4,5,0.4,34,3,0,0,34,3,100,8.9,92,8.2,8,0.7,13,1.2,2,0.2,66,5.9,157,13.9,1506,133.6,1060,94.1,446,39.6,82,7.3,46,4.1,179,15.9,1,0.1,5,0.4,327,29,11,1,5,0.4,0,0,43,3.8,0,0,170,15.1,911,80.8,3761,333.7
City,City,Srinagar,12,0.9,64,5,0,0,14,1.1,0,0,14,1.1,118,9.3,110,8.6,8,0.6,2,0.2,0,0,33,2.6,280,22,490,38.5,344,27,146,11.5,147,11.5,17,1.3,126,9.9,4,0.3,23,1.8,9,0.7,0,0,171,13.4,70,5.5,54,4.2,0,0,71,5.6,1051,82.6,2756,216.5
City,City,Surat,100,2.2,38,0.8,2,0,36,0.8,0,0,36,0.8,112,2.4,83,1.8,29,0.6,12,0.3,4,0.1,78,1.7,356,7.8,1830,39.9,1263,27.5,567,12.4,64,1.4,34,0.7,191,4.2,42,0.9,4,0.1,455,9.9,0,0,34,0.7,3,0.1,276,6,0,0,241,5.3,4534,98.9,8446,184.2
City,City,Thiruvananthapuram,8,0.5,29,1.7,3,0.2,39,2.3,0,0,39,2.3,25,1.5,13,0.8,12,0.7,2,0.1,57,3.4,79,4.7,175,10.4,405,24,128,7.6,277,16.4,526,31.2,30,1.8,397,23.5,0,0,14,0.8,982,58.2,0,0,241,14.3,46,2.7,156,9.2,0,0,4,0.2,3452,204.6,6670,395.4
City,City,Thrissur,7,0.4,17,0.9,7,0.4,28,1.5,0,0,28,1.5,12,0.6,10,0.5,2,0.1,6,0.3,10,0.5,28,1.5,75,4,144,7.8,61,3.3,83,4.5,362,19.5,7,0.4,636,34.3,0,0,10,0.5,340,18.3,0,0,100,5.4,28,1.5,131,7.1,0,0,3,0.2,2913,157,4864,262.2
City,City,Tiruchirapalli,27,1.9,21,1.5,1,0.1,6,0.4,0,0,6,0.4,28,2,21,1.5,7,0.5,0,0,0,0,30,2.1,55,3.9,437,31.1,154,11,283,20.1,10,0.7,0,0,57,4.1,8,0.6,2,0.1,142,10.1,2,0.1,17,1.2,26,1.9,28,2,0,0,174,12.4,2425,172.6,3496,248.8
City,City,Vadodara,21,1.2,27,1.5,2,0.1,9,0.5,0,0,9,0.5,50,2.8,44,2.4,6,0.3,13,0.7,1,0.1,83,4.6,295,16.2,1506,82.9,1006,55.4,500,27.5,78,4.3,31,1.7,170,9.4,10,0.6,5,0.3,315,17.3,1,0.1,15,0.8,2,0.1,240,13.2,0,0,156,8.6,2697,148.4,5727,315.2
City,City,Varanasi,33,2.3,31,2.2,5,0.3,5,0.3,0,0,5,0.3,57,4,53,3.7,4,0.3,1,0.1,2,0.1,18,1.3,46,3.2,544,37.9,385,26.8,159,11.1,13,0.9,97,6.8,220,15.3,25,1.7,2,0.1,55,3.8,20,1.4,1,0.1,0,0,53,3.7,0,0,73,5.1,719,50.1,2020,140.8
City,City,Vasai Virar,31,2.5,15,1.2,2,0.2,21,1.7,0,0,21,1.7,16,1.3,6,0.5,10,0.8,0,0,3,0.2,127,10.4,311,25.5,456,37.3,247,20.2,209,17.1,75,6.1,9,0.7,91,7.5,2,0.2,6,0.5,168,13.8,0,0,19,1.6,10,0.8,12,1,0,0,163,13.3,190,15.6,1727,141.4
City,City,Vijayawada,35,2.3,66,4.4,5,0.3,37,2.5,0,0,37,2.5,70,4.7,50,3.4,20,1.3,2,0.1,0,0,35,2.3,232,15.6,1531,102.7,609,40.8,922,61.8,2,0.1,101,6.8,430,28.8,6,0.4,24,1.6,1842,123.5,17,1.1,248,16.6,355,23.8,1066,71.5,0,0,313,21,808,54.2,7225,484.6
City,City,Vishakhapatnam,39,2.3,34,2,5,0.3,57,3.3,0,0,57,3.3,50,2.9,48,2.8,2,0.1,13,0.8,0,0,28,1.6,283,16.4,1284,74.2,393,22.7,891,51.5,3,0.2,57,3.3,244,14.1,4,0.2,11,0.6,1308,75.6,12,0.7,31,1.8,50,2.9,386,22.3,0,0,410,23.7,577,33.4,4886,282.4
City,City,Total (Cities),3650,2.3,4076,2.5,384,0.2,2579,1.6,0,0,2579,1.6,7865,4.9,5286,3.3,2579,1.6,434,0.3,867,0.5,6479,4,21378,13.3,119843,74.4,67880,42.1,51963,32.3,8201,5.1,4307,2.7,26379,16.4,786,0.5,662,0.4,41758,25.9,819,0.5,5501,3.4,1967,1.2,15466,9.6,6,0,13041,8.1,188921,117.3,475369,295.1
