Sr. No.,Category,State/UT,Murder (Sec.302 IPC) - 2010,Murder (Sec.302 IPC) - 2011,Murder (Sec.302 IPC) - % Variation,Attempt to Commit Murder (Sec.307 IPC) - 2010,Attempt to Commit Murder (Sec.307 IPC) - 2011,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. not Amounting to Murder (Sec.304,308 IPC) - 2010","C.H. not Amounting to Murder (Sec.304,308 IPC) - 2011","C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - Total - 2010,Rape (Sec. 376 IPC) - Total - 2011,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2010,Rape (Sec. 376 IPC) - Custodial - 2011,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Other - 2010,Rape (Sec. 376 IPC) - Other - 2011,Rape (Sec. 376 IPC) - Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Toof Women & Girls - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls -% Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2010","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - 2011","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2010,Dacoity (Sec. 395-398 IPC) - 2011,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2010,Preparation & Assembly for Dacoity (Sec.399-402 IPC) -2011,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2010","Robbery (Sec.392-394, 397, 398 IPC) - 2011","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2010","Burglary (Sec.449-452,454,455,457-460 IPC) - 2011","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 – 382 IPC) - Total - 2010,Theft (Sec. 379 – 382 IPC) - Total - 2011,Theft (Sec. 379 – 382 IPC) - Total - % Variation,Theft (Sec. 379 – 382 IPC) - Auto Theft,Theft (Sec. 379 – 382 IPC) - Auto Theft - 2011,Theft (Sec. 379 – 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 – 382 IPC) - Other Theft - 2010,Theft (Sec. 379 – 382 IPC) - Other Theft - 2011,Theft (Sec. 379 – 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2010","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2011","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2010,Criminal Breach of Trust (Sec. 406-409 IPC)- 2011,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2010","Cheating (Sec. 419,420 IPC) - 2011","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2010","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2011","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2010","Arson (Sec.435,436,438 IPC) - 2011","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2010","Hurt (Sec.323-333, 335-338 IPC) - 2011","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2010,Dowry Deaths (Sec.304B IPC) - 2011,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2010,Molestation (Sec.354 IPC) - 2011,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2010,Sexual Harassment (Sec.509 IPC) - 2011,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2010,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2011,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2010,Importation of Girls (Sec. 366B IPC) - 2011,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2010,Causing Death by Negligence (Sec. 304A IPC) - 2011,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2010,Other IPC Crimes -2011,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2010,Total Cognizable Crimes Under IPC - 2011,Total Cognizable Crimes Under IPC - % Variation,Note of Murder (Sec.302 IPC) - % Variation,Note of Attempt to Commit Murder (Sec.307 IPC) - % Variation,"Note of C.H. not Amounting to Murder (Sec.304,308 IPC) - % Variation",Note of Rape (Sec. 376 IPC) - Total - % Variation,Note of Rape (Sec. 376 IPC) - Custodial - % Variation,Note of Rape (Sec. 376 IPC) - Other - % Variation,"Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Women & Girls -% Variation","Note of Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - of Others - % Variation",Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Note of Theft (Sec. 379 – 382 IPC) - Auto Theft - % Variation,"Note of Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Note of Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Note of Cheating (Sec. 419,420 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Dowry Deaths (Sec.304B IPC) - % Variation,Note of Molestation (Sec.354 IPC) - % Variation,Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
22,State,Rajasthan,1421,1461,2.8,1557,1566,0.6,104,100,-3.8,1571,1800,14.6,0,0,NA,1571,1800,14.6,2985,3204,7.3,2477,2713,9.5,508,491,-3.3,37,28,-24.3,84,72,-14.3,872,727,-16.6,4714,4510,-4.3,22324,21099,-5.5,13245,12566,-5.1,9079,8533,-6,986,751,-23.8,789,741,-6.1,16584,17497,5.5,36,56,55.6,478,473,-1,19247,17977,-6.6,462,514,11.3,2339,2447,4.6,23,9,-60.9,11145,12218,9.6,0,0,NA,7978,8122,1.8,67221,70250,4.5,162957,165622,1.6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
23,State,Sikkim,17,14,-17.6,6,7,16.7,2,8,300,18,16,-11.1,0,0,NA,18,16,-11.1,6,10,66.7,6,10,66.7,0,0,NA,1,0,-100,0,0,NA,7,5,-28.6,72,60,-16.7,53,72,35.8,8,8,0,45,64,42.2,4,25,525,1,4,300,20,31,55,3,3,0,7,4,-42.9,73,75,2.7,1,0,-100,11,24,118.2,0,0,NA,3,4,33.3,0,0,NA,47,57,21.3,200,177,-11.5,552,596,8,NA,NA,NA,NA,@,NA,NA,NA,@,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA
24,State,Tamil Nadu,1875,1877,0.1,2641,2962,12.2,32,28,-12.5,686,677,-1.3,0,0,NA,686,677,-1.3,1720,1984,15.3,1464,1743,19.1,256,241,-5.9,85,101,18.8,12,11,-8.3,1817,2066,13.7,4715,4848,2.8,14583,13924,-4.5,5045,4911,-2.7,9538,9013,-5.5,2664,3009,13,177,238,34.5,3259,3872,18.8,312,275,-11.9,636,706,11,21309,21167,-0.7,165,152,-7.9,1405,1467,4.4,638,464,-27.3,1570,1812,15.4,0,0,NA,14644,16076,9.8,110733,115163,4,185678,192879,3.9,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
25,State,Tripura,150,163,8.7,63,75,19,8,0,-100,238,205,-13.9,0,0,NA,238,205,-13.9,114,154,35.1,91,116,27.5,23,38,65.2,16,11,-31.3,2,0,-100,65,50,-23.1,221,227,2.7,457,494,8.1,64,59,-7.8,393,435,10.7,163,175,7.4,53,54,1.9,122,99,-18.9,6,9,50,51,58,13.7,1136,1340,18,25,30,20,376,294,-21.8,9,9,0,937,702,-25.1,0,0,NA,237,14,-94.1,1356,1640,20.9,5805,5803,0,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
26,State,Uttar Pradesh,4401,4951,12.5,4004,4653,16.2,1401,1454,3.8,1563,2042,30.6,1,0,-100,1562,2042,30.7,6321,8500,34.5,5468,7525,37.6,853,975,14.3,337,379,12.5,48,39,-18.8,2577,3148,22.2,4915,5765,17.3,31153,36683,17.8,18216,21363,17.3,12937,15320,18.4,4186,5022,20,3817,3721,-2.5,9553,9941,4.1,426,270,-36.6,170,477,180.6,10336,12234,18.4,2217,2322,4.7,2793,3455,23.7,11,3,-72.7,7978,7121,-10.7,0,0,NA,14472,14380,-0.6,61500,68575,11.5,174179,195135,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
27,State,Uttarakhand,176,178,1.1,219,189,-13.7,60,54,-10,121,129,6.6,0,0,NA,121,129,6.6,286,314,9.8,249,283,13.7,37,31,-16.2,12,13,8.3,2,1,-50,162,179,10.5,310,342,10.3,2138,2093,-2.1,871,840,-3.6,1267,1253,-1.1,458,401,-12.4,167,115,-31.1,567,519,-8.5,33,26,-21.2,17,17,0,974,852,-12.5,75,83,10.7,125,116,-7.2,165,72,-56.4,334,307,-8.1,0,0,NA,738,696,-5.7,2101,2078,-1.1,9240,8774,-5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
28,State,West Bengal,2398,2109,-12.1,2111,2242,6.2,630,486,-22.9,2311,2363,2.3,0,0,NA,2311,2363,2.3,3345,4285,28.1,2764,3711,34.3,581,574,-1.2,288,236,-18.1,687,939,36.7,798,760,-4.8,388,455,17.3,19389,21446,10.6,4123,4642,12.6,15266,16804,10.1,6809,6019,-11.6,1011,1264,25,3260,4171,27.9,214,207,-3.3,331,413,24.8,12764,13094,2.6,507,510,0.6,2465,2363,-4.1,163,200,22.7,17796,19772,11.1,8,0,-100,2847,3249,14.1,49096,56614,15.3,129616,143197,10.5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,State,Total (States),32696,33672,3,29052,30927,6.5,3680,3616,-1.7,21603,23582,9.2,6,1,-83.3,21597,23581,9.2,35147,40800,16.1,27993,33403,19.3,7154,7397,3.4,4310,4229,-1.9,2568,2858,11.3,22712,24050,5.9,88232,90583,2.7,304973,315484,3.4,131142,135026,3,173831,180458,3.8,67253,68204,1.4,16344,17069,4.4,76835,84697,10.2,2549,2255,-11.5,8421,8989,6.7,286122,299883,4.8,8242,8473,2.8,39893,42238,5.9,9843,8377,-14.9,92574,97494,5.3,36,80,122.2,105114,107399,2.2,906429,947926,4.6,2164628,2262885,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Union Territory,A & N Islands,9,14,55.6,7,6,-14.3,4,2,-50,24,13,-45.8,0,0,NA,24,13,-45.8,10,15,50,8,12,50,2,3,50,1,1,0,0,0,NA,1,1,0,0,0,NA,121,88,-27.3,22,4,-81.8,99,84,-15.2,11,11,0,10,3,-70,56,32,-42.9,0,0,NA,12,6,-50,80,81,1.3,0,0,NA,31,15,-51.6,10,3,-70,9,5,-44.4,0,0,NA,9,6,-33.3,489,392,-19.8,980,793,-19.1,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,@,NA,NA,NA,NA,@,NA,@,NA,NA,NA,@,NA
30,Union Territory,Chandigarh,21,24,14.3,30,40,33.3,9,6,-33.3,31,27,-12.9,0,0,NA,31,27,-12.9,38,58,52.6,28,46,64.3,10,12,20,5,6,20,6,2,-66.7,5,6,20,6,2,-66.7,1481,1502,1.4,898,915,1.9,583,587,0.7,65,66,1.5,23,25,8.7,163,255,56.4,3,0,-100,9,9,0,65,45,-30.8,5,2,-60,29,21,-27.6,4,12,200,41,46,12.2,0,0,NA,6,7,16.7,1036,1036,0,3373,3542,5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
31,Union Territory,D & N Haveli,6,14,133.3,0,2,NA,1,0,-100,3,4,33.3,0,0,NA,3,4,33.3,18,9,-50,10,8,-20,8,1,-87.5,2,7,250,0,0,NA,2,7,250,0,0,NA,63,69,9.5,34,43,26.5,29,26,-10.3,44,20,-54.5,12,10,-16.7,18,18,0,1,2,100,2,5,150,11,25,127.3,0,0,NA,11,2,-81.8,2,0,-100,3,3,0,0,0,NA,20,24,20,133,134,0.8,378,372,-1.6,NA,@,NA,NA,@,NA,NA,NA,NA,NA,@,NA,@,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA
32,Union Territory,Daman & Diu,5,6,20,2,1,-50,1,0,-100,1,1,0,0,0,NA,1,1,0,2,3,50,2,2,0,0,1,NA,6,4,-33.3,0,0,NA,6,4,-33.3,0,0,NA,47,47,0,29,33,13.8,18,14,-22.2,11,19,72.7,4,3,-25,5,10,100,0,2,NA,0,0,NA,12,11,-8.3,0,0,NA,2,0,-100,0,0,NA,3,2,-33.3,0,0,NA,38,43,13.2,37,35,-5.4,203,224,10.3,NA,NA,NA,NA,@,NA,NA,NA,@,NA,@,NA,@,NA,NA,NA,NA,@,@,@,NA,@,NA,@,NA
33,Union Territory,Delhi,565,543,-3.9,311,386,24.1,71,71,0,507,572,12.8,0,0,NA,507,572,12.8,3208,3767,17.4,1740,2085,19.8,1468,1682,14.6,32,33,3.1,31,25,-19.4,32,33,3.1,31,25,-19.4,23088,22899,-0.8,14966,14668,-2,8122,8231,1.3,53,50,-5.7,273,337,23.4,1845,2590,40.4,33,44,33.3,52,42,-19.2,1925,1946,1.1,143,142,-0.7,601,657,9.3,80,162,102.5,1404,1575,12.2,0,0,NA,914,1168,27.8,14055,14363,2.2,51292,53353,4,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
34,Union Territory,Lakshadweep,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,5,4,-20,0,0,NA,5,4,-20,3,5,66.7,0,1,NA,0,0,NA,0,0,NA,2,3,50,1,3,200,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,26,27,3.8,42,44,4.8,@,@,@,@,@,@,@,@,@,@,@,@,@,@,NA,@,@,@,NA,@,@,@,@,@,@
35,Union Territory,Puducherry,33,32,-3,19,22,15.8,16,12,-25,3,7,133.3,0,0,NA,3,7,133.3,17,12,-29.4,14,9,-35.7,3,3,0,2,5,150,10,10,0,2,5,150,10,10,0,534,707,32.4,384,511,33.1,150,196,30.7,131,125,-4.6,12,9,-25,77,54,-29.9,3,4,33.3,10,10,0,806,853,5.8,1,1,0,46,35,-23.9,22,16,-27.3,7,10,42.9,0,0,NA,242,243,0.4,1867,2119,13.5,3935,4362,10.9,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
Union Territory,Union Territory,Total (UTs),639,633,-0.9,369,458,24.1,102,91,-10.8,569,624,9.7,0,0,NA,569,624,9.7,3293,3864,17.3,1802,2162,20,1491,1702,14.2,48,56,16.7,47,37,-21.3,48,56,16.7,47,37,-21.3,25339,25316,-0.1,16333,16174,-1,9006,9142,1.5,318,296,-6.9,334,388,16.2,2164,2959,36.7,40,52,30,87,75,-13.8,2900,2964,2.2,149,145,-2.7,720,730,1.4,118,193,63.6,1467,1641,11.9,0,0,NA,1229,1491,21.3,17643,18106,2.6,60203,62690,4.1,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
Total (All-India),Total (All-India),Total (All-India),33335,34305,2.9,29421,31385,6.7,3782,3707,-2,22172,24206,9.2,6,1,-83.3,22166,24205,9.2,38440,44664,16.2,29795,35565,19.4,8645,9099,5.3,4358,4285,-1.7,2615,2895,10.7,4358,4285,-1.7,2615,2895,10.7,330312,340800,3.2,147475,151200,2.5,182837,189600,3.7,67571,68500,1.4,16678,17457,4.7,78999,87656,11,2589,2307,-10.9,8508,9064,6.5,289022,302847,4.8,8391,8618,2.7,40613,42968,5.8,9961,8570,-14,94041,99135,5.4,36,80,122.2,106343,108890,2.4,924072,966032,4.5,2224831,2325575,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,City,Agra,58,112,93.1,61,126,106.6,26,28,7.7,13,61,369.2,0,0,NA,13,61,369.2,171,286,67.3,145,241,66.2,26,45,73.1,2,5,150,0,0,NA,37,134,262.2,132,240,81.8,1706,3184,86.6,1400,2582,84.4,306,602,96.7,129,417,223.3,119,139,16.8,266,330,24.1,58,35,-39.7,1,1,0,268,344,28.4,39,56,43.6,54,190,251.9,61,0,-100,285,282,-1.1,0,0,NA,216,468,116.7,1100,1942,76.5,4802,8380,74.5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
37,City,Ahmedabad,82,95,15.9,66,69,4.5,4,2,-50,49,60,22.4,0,0,NA,49,60,22.4,207,230,11.1,177,184,4,30,46,53.3,26,31,19.2,2,0,-100,805,720,-10.6,799,831,4,4659,3874,-16.8,3101,2308,-25.6,1558,1566,0.5,171,156,-8.8,263,312,18.6,212,288,35.8,17,10,-41.2,4,6,50,1365,1427,4.5,12,19,58.3,73,83,13.7,9,16,77.8,1230,1390,13,0,0,NA,203,187,-7.9,11184,10397,-7,21442,20203,-5.8,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
38,City,Allahabad,44,59,34.1,47,60,27.7,4,7,75,7,10,42.9,0,0,NA,7,10,42.9,40,68,70,30,56,86.7,10,12,20,2,3,50,0,1,NA,22,54,145.5,129,134,3.9,614,1027,67.3,481,829,72.3,133,198,48.9,42,45,7.1,43,67,55.8,141,155,9.9,31,11,-64.5,1,2,100,255,220,-13.7,14,10,-28.6,9,11,22.2,0,1,NA,64,92,43.8,0,0,NA,307,178,-42,157,487,210.2,1973,2702,36.9,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA
39,City,Amritsar,53,32,-39.6,71,75,5.6,7,0,-100,24,20,-16.7,0,0,NA,24,20,-16.7,51,43,-15.7,43,34,-20.9,8,9,12.5,3,0,-100,18,16,-11.1,9,12,33.3,83,117,41,257,390,51.8,104,142,36.5,153,248,62.1,0,0,NA,16,16,0,275,261,-5.1,14,3,-78.6,4,4,0,152,154,1.3,10,4,-60,10,7,-30,4,1,-75,87,101,16.1,0,0,NA,70,66,-5.7,615,485,-21.1,1833,1807,-1.4,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
40,City,Asansol,34,58,70.6,8,3,-62.5,14,11,-21.4,18,31,72.2,0,0,NA,18,31,72.2,21,64,204.8,13,50,284.6,8,14,75,4,8,100,64,71,10.9,5,23,360,5,9,80,323,641,98.5,175,275,57.1,148,366,147.3,49,99,102,5,10,100,47,76,61.7,1,0,-100,3,0,-100,69,173,150.7,19,10,-47.4,13,30,130.8,0,7,NA,310,461,48.7,0,0,NA,109,169,55,720,1427,98.2,1841,3381,83.7,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA
41,City,Aurangabad,NA,41,NA,NA,118,NA,NA,1,NA,NA,16,NA,NA,0,NA,NA,16,NA,NA,35,NA,NA,24,NA,NA,11,NA,NA,23,NA,NA,5,NA,NA,152,NA,NA,380,NA,NA,852,NA,NA,429,NA,NA,423,NA,NA,154,NA,NA,21,NA,NA,194,NA,NA,5,NA,NA,26,NA,NA,470,NA,NA,7,NA,NA,65,NA,NA,29,NA,NA,122,NA,NA,0,NA,NA,168,NA,NA,897,NA,NA,3781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,City,Bengaluru,266,232,-12.8,445,460,3.4,5,3,-40,65,97,49.2,0,0,NA,65,97,49.2,513,573,11.7,29,206,610.3,484,367,-24.2,66,43,-34.8,246,342,39,641,783,22.2,1335,1313,-1.6,10568,10543,-0.2,6407,5977,-6.7,4161,4566,9.7,349,390,11.7,139,152,9.4,3073,3155,2.7,72,60,-16.7,7,4,-42.9,3153,2927,-7.2,52,53,1.9,308,250,-18.8,50,40,-20,398,458,15.1,0,0,NA,104,108,3.8,10333,8297,-19.7,32188,30283,-5.9,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
43,City,Bhopal,49,60,22.4,59,96,62.7,3,5,66.7,73,100,37,0,0,NA,73,100,37,59,32,-45.8,53,26,-50.9,6,6,0,6,0,-100,1,2,100,191,149,-22,844,850,0.7,2443,2453,0.4,1556,1708,9.8,887,745,-16,83,80,-3.6,9,17,88.9,170,75,-55.9,3,0,-100,9,15,66.7,1286,655,-49.1,25,14,-44,21,93,342.9,139,16,-88.5,191,272,42.4,1,1,0,219,164,-25.1,6090,7421,21.9,11974,12570,5,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,City,Chandigarh(c),NA,21,NA,NA,38,NA,NA,6,NA,NA,21,NA,NA,0,NA,NA,21,NA,NA,49,NA,NA,40,NA,NA,9,NA,NA,6,NA,NA,0,NA,NA,62,NA,NA,265,NA,NA,1393,NA,NA,854,NA,NA,539,NA,NA,64,NA,NA,24,NA,NA,246,NA,NA,0,NA,NA,7,NA,NA,43,NA,NA,2,NA,NA,16,NA,NA,11,NA,NA,42,NA,NA,0,NA,NA,7,NA,NA,976,NA,NA,3299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,City,Chennai,103,168,63.1,158,332,110.1,2,1,-50,47,76,61.7,0,0,NA,47,76,61.7,47,56,19.1,30,41,36.7,17,15,-11.8,2,3,50,2,0,-100,74,219,195.9,383,766,100,1540,2866,86.1,234,425,81.6,1306,2441,86.9,60,160,166.7,21,22,4.8,524,767,46.4,72,99,37.5,1,7,600,773,1466,89.7,16,20,25,45,73,62.2,23,121,426.1,125,229,83.2,0,0,NA,604,1431,136.9,6247,12464,99.5,10869,21346,96.4,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
46,City,Coimbatore,22,26,18.2,27,41,51.9,0,0,NA,15,9,-40,0,0,NA,15,9,-40,22,27,22.7,10,10,0,12,17,41.7,1,0,-100,0,0,NA,25,48,92,142,105,-26.1,1084,824,-24,497,339,-31.8,587,485,-17.4,23,30,30.4,9,6,-33.3,148,171,15.5,30,19,-36.7,8,23,187.5,357,398,11.5,1,2,100,35,32,-8.6,1,5,400,45,83,84.4,0,0,NA,324,283,-12.7,1861,1898,2,4180,4030,-3.6,NA,NA,@,NA,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
47,City,Delhi (city),453,438,-3.3,260,323,24.2,63,53,-15.9,414,453,9.4,0,0,NA,414,453,9.4,2629,3007,14.4,1422,1681,18.2,1207,1326,9.9,30,28,-6.7,27,23,-14.8,554,473,-14.6,1355,1226,-9.5,21373,21095,-1.3,13842,13497,-2.5,7531,7598,0.9,46,44,-4.3,249,287,15.3,1720,2403,39.7,32,44,37.5,48,33,-31.3,1700,1684,-0.9,112,115,2.7,550,556,1.1,73,149,104.1,1273,1498,17.7,0,0,NA,868,1098,26.5,12165,12182,0.1,45994,47212,2.6,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
48,City,Dhanbad,17,28,64.7,10,9,-10,7,8,14.3,5,10,100,0,0,NA,5,10,100,46,36,-21.7,40,30,-25,6,6,0,16,10,-37.5,1,2,100,11,9,-18.2,101,63,-37.6,441,383,-13.2,252,234,-7.1,189,149,-21.2,55,68,23.6,21,46,119,21,27,28.6,0,2,NA,1,0,-100,71,92,29.6,12,8,-33.3,6,9,50,0,0,NA,11,8,-27.3,0,0,NA,1,2,100,152,662,335.5,1006,1482,47.3,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA,@,NA
49,City,Durg-bhilainagar,NA,46,NA,NA,48,NA,NA,2,NA,NA,61,NA,NA,0,NA,NA,61,NA,NA,72,NA,NA,58,NA,NA,14,NA,NA,4,NA,NA,2,NA,NA,59,NA,NA,441,NA,NA,734,NA,NA,244,NA,NA,490,NA,NA,35,NA,NA,14,NA,NA,137,NA,NA,9,NA,NA,22,NA,NA,179,NA,NA,0,NA,NA,147,NA,NA,35,NA,NA,96,NA,NA,0,NA,NA,225,NA,NA,4899,NA,NA,7267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,City,Faridabad,70,60,-14.3,49,59,20.4,5,5,0,51,54,5.9,0,0,NA,51,54,5.9,102,105,2.9,86,82,-4.7,16,23,43.8,9,10,11.1,70,40,-42.9,20,37,85,277,356,28.5,1672,1917,14.7,1352,1439,6.4,320,478,49.4,178,173,-2.8,174,160,-8,154,42,-72.7,0,1,NA,5,9,80,191,213,11.5,23,10,-56.5,27,31,14.8,78,59,-24.4,224,218,-2.7,0,0,NA,224,229,2.2,1317,1569,19.1,4920,5357,8.9,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA
