SI. No.,Category,States/ UTs,Districts,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
Total,Total,Total,Total,363,361,86,634,0,634,261,184,77,74,221,636,2682,4380,1486,2894,8724,343,3581,54,374,18532,22,2936,537,4797,0,47,98668,148313
1,State,Madhya Pradesh,Alirajpur,54,56,0,27,0,27,7,7,0,1,0,8,33,69,32,37,16,0,2,0,11,285,1,23,0,10,0,76,651,1330
2,State,Madhya Pradesh,Anuppur,36,7,0,35,0,35,6,5,1,1,0,14,76,92,47,45,26,1,19,0,2,255,12,74,4,54,0,18,633,1365
3,State,Madhya Pradesh,Ashok Nagar,29,29,4,45,0,45,9,9,0,2,0,15,99,110,43,67,25,4,23,1,2,942,8,103,10,59,0,73,1057,2649
4,State,Madhya Pradesh,Balaghat,39,17,3,52,0,52,7,6,1,2,0,18,99,88,33,55,51,7,26,0,15,384,4,97,14,40,0,99,1575,2637
5,State,Madhya Pradesh,Barwani,51,21,3,32,0,32,4,4,0,2,0,7,55,161,57,104,19,2,15,0,7,258,6,56,8,6,0,147,1053,1913
6,State,Madhya Pradesh,Betul,58,27,0,144,0,144,25,22,3,0,0,16,108,189,75,114,3,0,14,0,11,346,24,152,9,42,0,152,1857,3177
7,State,Madhya Pradesh,Bhind,78,78,4,30,0,30,11,8,3,1,8,54,94,178,99,79,58,7,20,0,6,1172,40,60,2,42,0,145,1123,3211
8,State,Madhya Pradesh,Bhopal,71,73,5,106,0,106,66,59,7,8,2,207,883,2488,1578,910,104,9,186,3,14,1495,31,28,186,205,1,291,7249,13711
9,State,Madhya Pradesh,Bhopal Rly.,1,2,0,2,0,2,1,1,0,3,0,8,4,883,16,867,6,0,3,1,0,3,4,10,3,0,0,1,203,1138
10,State,Madhya Pradesh,Burhanpur,16,5,0,22,0,22,2,2,0,0,0,6,40,106,37,69,27,4,13,0,3,67,11,57,11,18,0,55,800,1263
11,State,Madhya Pradesh,Chhatarpur,69,71,4,55,0,55,26,24,2,1,4,64,310,243,127,116,83,6,37,1,19,705,24,184,11,55,0,129,2591,4692
12,State,Madhya Pradesh,Chhindwara,86,27,3,102,0,102,17,14,3,1,2,22,191,279,111,168,81,9,51,0,10,1331,8,235,38,105,0,219,2373,5190
13,State,Madhya Pradesh,Damoh,49,65,0,41,0,41,22,19,3,2,1,30,153,156,80,76,23,4,28,1,11,1382,25,203,0,84,0,80,1039,3399
14,State,Madhya Pradesh,Datiya,61,59,0,27,0,27,11,10,1,1,4,52,92,126,41,85,36,5,16,0,12,377,8,75,0,27,0,95,1446,2530
15,State,Madhya Pradesh,Dewas,47,67,0,89,0,89,28,26,2,1,3,35,176,678,310,368,68,11,40,0,31,434,10,192,41,131,0,200,3410,5692
16,State,Madhya Pradesh,Dhar,71,66,2,89,0,89,42,41,1,6,2,34,191,473,222,251,93,34,20,0,33,543,54,176,22,82,0,342,3362,5737
17,State,Madhya Pradesh,Dindori,20,2,3,31,0,31,2,1,1,0,0,4,27,30,8,22,8,3,17,0,2,143,4,89,5,17,0,50,537,994
18,State,Madhya Pradesh,Guna,37,34,0,56,0,56,12,11,1,4,4,33,136,217,115,102,84,3,23,1,15,1051,13,150,9,47,1,160,1369,3459
19,State,Madhya Pradesh,Gwalior,99,176,26,71,0,71,102,82,20,10,7,190,1105,2044,1466,578,173,35,156,1,23,1195,52,180,18,248,0,265,5161,11337
20,State,Madhya Pradesh,Harda,25,17,0,40,0,40,9,9,0,0,0,3,84,113,62,51,17,0,13,0,4,596,3,54,5,17,0,32,330,1362
21,State,Madhya Pradesh,Hoshangabad,52,39,3,73,0,73,38,35,3,4,0,46,216,368,199,169,49,9,50,0,16,524,20,140,48,111,0,0,2478,4284
22,State,Madhya Pradesh,Indore,108,149,4,104,0,104,56,45,11,6,14,238,836,3843,2843,1000,108,51,174,16,41,3468,38,338,67,352,2,426,8034,18473
23,State,Madhya Pradesh,Indore Rly.,1,1,1,0,0,0,1,1,0,0,0,5,3,164,0,164,1,0,1,0,0,2,0,2,1,0,0,0,92,275
24,State,Madhya Pradesh,Jabalpur,81,95,0,130,0,130,34,32,2,2,10,73,349,766,513,253,83,5,89,0,8,1432,56,189,60,185,1,193,6132,9973
25,State,Madhya Pradesh,Jabalpur Rly.,0,2,0,5,0,5,1,1,0,0,1,4,4,395,7,388,2,1,0,0,0,6,0,1,1,0,0,0,73,496
26,State,Madhya Pradesh,Jhabua,26,26,0,35,0,35,14,12,2,1,3,25,74,124,83,41,22,7,2,0,20,823,1,45,0,5,0,87,599,1939
27,State,Madhya Pradesh,Katni,37,34,4,69,0,69,16,10,6,0,0,14,148,170,98,72,26,0,39,0,11,1023,13,144,18,77,0,129,1248,3220
28,State,Madhya Pradesh,Khandwa,38,33,1,46,0,46,15,13,2,0,2,11,186,213,92,121,38,3,14,0,15,60,9,154,21,39,0,103,2110,3111
29,State,Madhya Pradesh,Khargon,49,40,5,71,0,71,14,14,0,0,1,11,133,389,100,289,31,3,21,0,7,272,31,162,28,35,0,154,2664,4121
30,State,Madhya Pradesh,Mandla,33,13,5,56,0,56,7,7,0,0,0,3,70,39,6,33,17,3,21,0,8,317,5,68,6,17,0,102,1034,1824
31,State,Madhya Pradesh,Mandsaur,25,31,0,58,0,58,24,19,5,3,0,32,113,275,132,143,32,28,30,1,11,129,4,108,14,59,0,138,2088,3203
32,State,Madhya Pradesh,Morena,57,94,2,40,0,40,20,17,3,9,12,27,140,344,209,135,128,2,31,0,7,1879,32,80,0,75,0,228,1705,4912
33,State,Madhya Pradesh,Narsinghpur,45,36,6,65,0,65,6,5,1,1,1,18,117,140,67,73,60,4,16,1,14,1328,21,135,12,63,0,119,927,3135
34,State,Madhya Pradesh,Neemuch,20,18,0,12,0,12,14,11,3,0,0,22,153,206,99,107,47,56,22,1,11,326,3,48,7,47,0,80,953,2046
35,State,Madhya Pradesh,Panna,25,21,3,47,0,47,11,5,6,2,2,27,142,115,23,92,3,4,34,0,6,316,16,87,0,47,0,66,1103,2077
36,State,Madhya Pradesh,Raisen,54,44,0,86,0,86,34,32,2,2,1,15,97,260,102,158,56,1,4,0,5,1839,16,210,0,65,0,160,1512,4461
37,State,Madhya Pradesh,Rajgarh,36,28,2,73,0,73,34,27,7,2,0,37,146,277,130,147,68,8,19,0,51,398,14,179,27,30,0,181,2820,4430
38,State,Madhya Pradesh,Ratlam,53,49,1,88,0,88,24,23,1,1,2,30,121,345,132,213,64,39,51,0,26,1182,16,145,32,94,0,198,1684,4245
39,State,Madhya Pradesh,Rewa,51,44,0,81,0,81,45,43,2,3,2,50,347,452,200,252,56,21,38,1,27,763,37,140,1,124,0,196,3083,5562
40,State,Madhya Pradesh,Sagar,90,123,1,120,0,120,67,63,4,2,4,54,382,533,279,254,108,14,43,2,28,2721,35,385,16,133,0,222,3435,8518
41,State,Madhya Pradesh,Satna,73,49,4,89,0,89,27,20,7,4,2,45,321,420,244,176,42,16,27,0,17,984,26,199,18,119,0,327,2564,5373
42,State,Madhya Pradesh,Seoni,39,20,4,71,0,71,21,16,5,1,0,14,135,147,56,91,37,8,51,0,5,311,18,92,23,38,0,134,1737,2906
43,State,Madhya Pradesh,Shahdol,34,17,0,61,0,61,16,16,0,1,0,21,173,161,63,98,20,7,24,0,12,235,12,123,6,63,0,0,1951,2937
44,State,Madhya Pradesh,Shajapur,38,34,1,56,0,56,19,16,3,7,0,27,153,390,145,245,46,18,11,0,18,983,11,117,19,33,0,139,1105,3225
45,State,Madhya Pradesh,Sheopur,17,13,0,11,0,11,10,4,6,2,0,7,40,49,10,39,56,0,9,0,2,319,3,35,0,23,0,30,588,1214
46,State,Madhya Pradesh,Shivpuri,56,30,8,73,0,73,28,22,6,8,8,39,114,215,94,121,69,3,23,0,20,1180,7,131,9,32,0,187,2117,4357
47,State,Madhya Pradesh,Sidhi,32,20,0,44,0,44,29,28,1,0,0,18,170,133,27,106,19,5,15,0,20,337,26,104,3,36,0,80,1512,2603
48,State,Madhya Pradesh,Sihore,45,48,1,70,0,70,32,26,6,1,2,16,129,282,126,156,40,6,38,1,23,380,10,135,15,89,0,182,2441,3986
49,State,Madhya Pradesh,Singrauli,32,20,4,46,0,46,24,24,0,0,0,12,120,148,50,98,25,4,12,0,6,323,15,119,2,85,0,134,1025,2156
50,State,Madhya Pradesh,Tikamgarh,34,25,2,78,0,78,19,16,3,1,5,25,131,172,59,113,45,3,27,0,12,937,15,143,4,59,0,118,1863,3718
51,State,Madhya Pradesh,Ujjain,77,120,1,77,0,77,54,48,6,1,0,92,409,967,449,518,129,22,61,1,33,574,20,179,42,193,0,160,5496,8708
52,State,Madhya Pradesh,Umariya,14,4,0,23,0,23,2,1,1,0,0,8,47,40,13,27,13,0,11,0,9,81,3,72,0,25,0,0,886,1238
53,State,Madhya Pradesh,Vidisha,54,58,3,81,0,81,22,18,4,0,1,33,222,312,144,168,65,12,49,0,28,777,17,239,22,114,0,136,2512,4757
Total,Total,Total,Total,2423,2277,123,3135,0,3135,1187,1030,157,110,110,1919,9897,21577,11353,10224,2606,507,1779,33,748,39193,892,6646,918,3756,5,7038,107390,214269
1,State,Maharashtra,Ahmednagar,122,75,1,57,0,57,58,45,13,58,8,155,579,1517,536,981,570,47,254,9,46,718,10,115,1,604,0,703,1508,7215
2,State,Maharashtra,Akola,46,66,3,25,0,25,25,23,2,11,2,83,283,1053,183,870,172,25,113,5,45,815,12,100,55,149,0,151,1233,4472
3,State,Maharashtra,Amravati Commr.,11,30,4,20,0,20,31,28,3,3,8,54,232,988,238,750,55,31,63,6,16,456,3,52,12,96,0,68,840,3079
4,State,Maharashtra,Amravati Rural,64,37,1,40,0,40,31,29,2,10,2,25,248,850,110,740,118,15,55,2,68,1046,2,179,38,135,0,209,1399,4574
5,State,Maharashtra,Aurangabad,38,86,1,23,0,23,40,30,10,22,3,122,347,1012,474,538,138,26,207,1,15,467,10,52,39,157,0,162,985,3953
6,State,Maharashtra,Commr. Aurangabad Rural,49,33,4,16,0,16,16,12,4,17,4,30,225,532,166,366,240,13,81,1,30,607,21,56,14,303,0,308,623,3223
7,State,Maharashtra,Beed,86,74,6,28,0,28,44,29,15,37,5,71,298,523,181,342,297,19,95,4,39,879,11,87,11,360,0,290,785,4049
8,State,Maharashtra,Bhandara,24,7,4,24,0,24,15,13,2,0,1,17,208,448,88,360,49,20,28,9,18,309,3,42,12,61,0,151,792,2242
9,State,Maharashtra,Buldhana,59,48,4,29,0,29,21,18,3,8,3,36,174,642,183,459,255,26,77,8,70,751,34,131,40,185,0,290,1081,3972
10,State,Maharashtra,Chandrapur,56,29,3,43,0,43,21,16,5,3,2,24,264,661,141,520,104,22,76,3,45,639,7,117,116,147,0,280,1344,4006
11,State,Maharashtra,Dhule,48,54,1,18,0,18,12,12,0,24,2,42,197,398,138,260,198,25,77,3,16,400,6,28,9,234,0,314,868,2974
12,State,Maharashtra,Gadchiroli,58,30,1,16,0,16,11,9,2,6,1,11,93,124,34,90,21,5,14,0,46,202,0,28,0,20,0,97,298,1082
13,State,Maharashtra,Gondia,29,15,4,28,0,28,18,15,3,3,0,20,191,323,76,247,48,16,35,5,22,361,3,80,27,41,0,128,585,1982
14,State,Maharashtra,Hingoli,38,36,0,14,0,14,6,4,2,9,1,40,93,180,58,122,142,3,60,3,30,417,1,33,7,115,0,96,541,1865
15,State,Maharashtra,Jalgaon,94,71,4,49,0,49,41,32,9,41,0,62,281,879,238,641,320,101,198,17,40,838,11,143,41,425,0,457,1295,5408
16,State,Maharashtra,Jalna,51,43,3,11,0,11,13,11,2,16,3,71,213,419,140,279,219,9,103,1,20,582,40,81,10,315,0,157,580,2960
17,State,Maharashtra,Kolhapur,52,30,1,27,0,27,22,13,9,13,2,45,229,700,334,366,218,67,267,5,16,462,18,71,12,96,0,383,991,3727
18,State,Maharashtra,Latur,65,41,0,28,0,28,31,31,0,20,4,57,226,444,187,257,242,14,87,6,33,703,3,85,3,229,0,232,960,3513
19,State,Maharashtra,Mumbai Commr.,228,170,7,194,0,194,194,146,48,35,42,410,3059,13195,4167,9028,391,482,2211,76,22,4487,21,475,138,312,0,690,7093,33932
20,State,Maharashtra,Mumbai Rly.,6,7,2,2,0,2,4,3,1,4,0,55,2,2037,1,2036,8,7,42,1,0,46,0,15,9,0,0,6,69,2322
21,State,Maharashtra,Nagpur Commr.,88,69,5,58,0,58,57,34,23,13,13,259,599,1732,852,880,183,72,264,24,20,842,8,87,48,175,0,332,2780,7728
22,State,Maharashtra,Nagpur Rly.,10,3,0,1,0,1,3,2,1,7,2,43,2,942,19,923,10,6,3,5,1,25,0,8,2,0,0,1,61,1135
23,State,Maharashtra,Nagpur Rural,86,29,3,39,0,39,30,26,4,11,4,57,236,734,187,547,94,11,41,1,50,596,8,78,19,56,0,464,1275,3922
24,State,Maharashtra,Nanded,82,67,3,36,0,36,52,43,9,25,2,99,416,516,168,348,309,22,178,5,50,1181,68,85,5,315,0,276,1520,5312
25,State,Maharashtra,Nandurbar,43,14,3,20,0,20,14,12,2,12,0,7,82,161,57,104,123,7,41,5,9,283,2,32,12,88,0,146,438,1542
26,State,Maharashtra,Nasik Commr.,37,32,1,30,0,30,27,19,8,24,13,117,528,1882,963,919,146,52,187,23,17,268,2,46,18,124,0,217,693,4484
27,State,Maharashtra,Nasik Rural,91,49,3,53,0,53,28,19,9,41,9,45,226,697,240,457,368,70,126,8,14,729,6,79,27,344,0,677,1321,5011
28,State,Maharashtra,Navi Mumbai,57,27,3,27,0,27,23,11,12,9,13,136,700,2040,1004,1036,135,72,452,5,6,462,3,36,38,89,0,432,1108,5873
29,State,Maharashtra,Osmanabad,44,31,1,28,0,28,29,23,6,20,2,33,167,348,92,256,167,31,176,0,25,535,2,74,11,161,0,263,683,2831
30,State,Maharashtra,Parbhani,41,49,4,20,0,20,36,21,15,11,4,60,318,416,139,277,183,15,84,1,34,1068,5,54,6,209,0,138,287,3043
31,State,Maharashtra,Pune Commr.,129,94,6,91,0,91,129,94,35,30,31,452,1250,4674,2948,1726,393,72,663,37,17,1169,4,78,91,214,0,620,3358,13602
32,State,Maharashtra,Pune Rly.,0,1,0,0,0,0,2,1,1,7,2,7,0,375,2,373,2,3,3,0,0,6,0,1,0,0,0,0,30,439
33,State,Maharashtra,Pune Rural,141,81,15,72,0,72,48,33,15,42,30,145,642,1615,790,825,437,111,255,14,29,836,15,136,30,200,0,1096,1751,7741
34,State,Maharashtra,Raigad,44,22,5,15,0,15,11,7,4,11,6,17,127,284,78,206,86,21,113,6,11,222,0,39,10,49,0,351,556,2006
35,State,Maharashtra,Ratnagiri,23,10,1,28,0,28,9,7,2,5,0,16,148,227,35,192,123,26,74,4,13,171,0,37,12,33,0,169,475,1604
36,State,Maharashtra,Sangli,61,33,5,49,0,49,26,10,16,8,1,35,239,484,180,304,155,20,196,5,29,449,18,67,10,84,0,320,628,2922
37,State,Maharashtra,Satara,43,59,2,27,0,27,42,29,13,28,3,76,412,869,330,539,247,102,177,6,21,472,0,82,19,170,0,509,983,4349
38,State,Maharashtra,Sindhudurg,14,7,1,9,0,9,5,4,1,0,0,6,95,138,25,113,39,13,47,3,14,118,0,10,12,11,0,80,193,815
39,State,Maharashtra,Solapur Commr.,20,16,4,12,0,12,14,10,4,11,1,47,143,377,194,183,65,16,78,4,4,155,2,22,2,78,0,106,446,1623
40,State,Maharashtra,Solapur Rural,75,40,6,63,0,63,37,34,3,38,9,79,370,658,245,413,330,15,164,6,44,741,5,97,35,205,0,515,1219,4751
41,State,Maharashtra,Thane Commr.,107,72,3,93,0,93,93,61,32,32,20,172,1080,3173,1493,1680,285,133,794,34,22,1322,9,152,32,365,0,343,1607,9943
42,State,Maharashtra,Thane Rural,135,46,12,47,0,47,44,20,24,34,24,231,757,1242,560,682,373,40,299,11,29,817,6,95,42,120,0,683,1126,6213
43,State,Maharashtra,Wardha,41,29,5,44,0,44,26,22,4,9,0,46,237,781,119,662,115,19,43,8,62,744,2,119,57,93,0,205,1197,3882
44,State,Maharashtra,Washim,40,21,2,12,0,12,17,14,3,6,2,28,121,377,102,275,100,9,33,4,31,385,5,56,10,102,0,120,589,2070
45,State,Maharashtra,Yavatmal,68,43,5,33,0,33,52,49,3,4,1,78,280,898,181,717,139,17,50,5,40,915,7,121,38,165,0,273,1545,4777
Total,Total,Total,Total,2744,1926,152,1599,0,1599,1508,1124,384,778,285,3721,16617,52565,18676,33889,8412,1948,8684,389,1229,29696,393,3661,1180,7434,0,13508,49739,208168
1,State,Manipur,Bishnupur,14,28,0,6,0,6,20,12,8,0,12,1,9,28,8,20,6,1,9,0,10,39,0,7,0,4,0,0,126,320
2,State,Manipur,Chandel,3,5,0,0,0,0,1,0,1,0,15,0,1,1,1,0,1,0,0,0,10,4,0,0,0,0,0,0,18,59
3,State,Manipur,Churachandpur,12,3,0,1,0,1,4,0,4,0,8,0,3,12,6,6,5,0,2,0,2,3,0,0,0,0,0,0,35,90
4,State,Manipur,Cid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
5,State,Manipur,Imphal East,19,51,0,6,0,6,43,23,20,0,67,0,8,64,36,28,8,2,6,2,10,46,0,4,0,3,0,0,137,476
6,State,Manipur,Imphal West,18,114,0,10,0,10,71,45,26,0,42,0,28,232,178,54,25,11,30,3,7,71,0,12,0,3,0,1,389,1067
7,State,Manipur,Senapati,5,8,0,1,0,1,22,2,20,0,23,0,4,28,5,23,6,2,2,0,17,2,0,0,0,0,0,0,57,177
8,State,Manipur,Tamenglong,0,1,0,0,0,0,1,0,1,0,6,0,0,6,0,6,3,0,0,0,9,2,0,0,0,0,0,0,19,47
9,State,Manipur,Thoubal,18,43,1,9,0,9,37,25,12,0,13,0,13,43,20,23,10,8,8,2,4,57,0,8,0,8,0,0,132,414
10,State,Manipur,Ukhrul,3,5,0,1,0,1,0,0,0,0,10,1,0,3,0,3,1,0,0,0,17,3,0,0,0,0,0,0,19,63
Total,Total,Total,Total,92,258,1,34,0,34,199,107,92,0,196,2,66,417,254,163,65,24,59,7,86,227,0,31,0,18,0,1,932,2715
1,State,Maghalaya,Garo Hills East,11,8,0,5,0,5,5,3,2,13,1,6,14,33,9,24,0,1,1,0,8,4,0,3,0,0,0,0,38,151
2,State,Maghalaya,Garo Hills South,8,3,0,4,0,4,5,3,2,2,0,1,4,8,0,8,0,0,1,0,2,3,0,0,0,1,0,0,17,59
3,State,Maghalaya,Garo Hills West,20,11,2,15,0,15,24,20,4,5,0,6,25,186,53,133,6,4,25,2,4,34,0,18,0,5,0,6,158,556
4,State,Maghalaya,Jaintia Hills,48,5,0,33,0,33,8,3,5,4,0,8,14,71,14,57,0,8,17,1,4,46,0,1,0,0,0,19,96,383
5,State,Maghalaya,Khasi Hills East,24,17,2,41,0,41,16,2,14,4,0,32,94,272,57,215,0,22,41,1,16,28,0,10,0,17,0,28,184,849
6,State,Maghalaya,Khasi Hills West,11,13,4,28,0,28,6,4,2,8,0,7,15,41,10,31,0,1,4,0,8,13,0,10,0,0,0,0,74,243
7,State,Maghalaya,Ri-Bhoi,12,3,0,23,0,23,7,2,5,6,0,7,0,53,9,44,1,1,9,0,10,26,0,6,0,1,0,0,99,264
Total,Total,Total,Total,134,60,8,149,0,149,71,37,34,42,1,67,166,664,152,512,7,37,98,4,52,154,0,48,0,24,0,53,666,2505
1,State,Mizoram,Aizawl,23,10,4,34,0,34,3,0,3,1,0,7,227,453,56,397,0,12,47,7,3,46,0,42,0,2,0,26,163,1110
2,State,Mizoram,Champhai,5,4,1,20,0,20,0,0,0,0,0,0,45,89,2,87,0,1,3,0,1,10,0,5,0,0,0,0,26,210
3,State,Mizoram,Kolasib,5,2,0,8,0,8,2,0,2,0,0,0,32,65,7,58,0,4,4,1,3,13,0,3,0,0,0,5,35,182
4,State,Mizoram,Lawngtlai,7,1,0,6,0,6,1,0,1,0,0,3,23,45,0,45,0,3,13,1,0,3,0,2,0,0,0,12,36,156
5,State,Mizoram,Lunglei,3,4,2,9,0,9,0,0,0,0,0,4,60,106,1,105,0,2,4,1,2,11,0,10,0,0,0,0,26,244
6,State,Mizoram,Mamit,3,4,0,6,0,6,1,0,1,2,0,2,23,17,0,17,0,0,2,0,4,17,0,6,0,0,0,1,19,107
7,State,Mizoram,Saiha,2,1,0,3,0,3,2,0,2,0,0,0,10,26,1,25,0,3,4,2,0,11,0,1,0,0,0,0,23,88
8,State,Mizoram,Serchhip,0,1,0,6,0,6,0,0,0,0,0,0,5,22,2,20,0,0,2,0,2,5,0,6,0,1,0,0,27,77
Total,Total,Total,Total,48,27,7,92,0,92,9,0,9,3,0,16,425,823,69,754,0,25,79,12,15,116,0,75,0,3,0,44,355,2174
1,State,Nagaland,Dimapur,20,6,3,4,0,4,41,5,36,2,0,15,29,212,15,197,1,10,14,2,0,11,0,8,2,1,0,17,113,511
2,State,Nagaland,Kiphire,2,2,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,11,26
3,State,Nagaland,Kohima,7,6,6,3,0,3,6,0,6,0,0,10,9,78,54,24,0,2,11,0,0,4,0,1,0,0,0,2,44,189
4,State,Nagaland,Longleng,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12
5,State,Nagaland,Mokokchung,2,4,1,2,0,2,1,0,1,0,0,10,3,19,3,16,0,0,5,0,0,7,0,1,0,0,0,2,25,82
6,State,Nagaland,Mon,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13
7,State,Nagaland,Peren,1,1,0,0,0,0,0,0,0,0,0,1,1,9,0,9,0,0,1,0,0,4,0,0,1,0,0,0,1,20
8,State,Nagaland,Phek,4,1,1,1,0,1,1,0,1,0,0,3,4,10,2,8,0,1,1,1,1,6,0,1,0,0,0,0,9,45
9,State,Nagaland,Phek,4,1,1,1,0,1,1,0,1,0,0,3,4,10,2,8,0,1,1,1,1,6,0,1,0,0,0,0,9,45
10,State,Nagaland,Tuensang,1,2,1,1,0,1,0,0,0,0,0,1,1,12,0,12,0,0,2,0,0,0,0,2,0,0,0,1,12,36
11,State,Nagaland,Wokha,4,6,0,2,0,2,1,1,0,1,0,5,1,18,0,18,1,0,2,0,0,2,0,0,0,0,0,0,4,47
12,State,Nagaland,Zunheboto,4,5,1,3,0,3,0,0,0,0,0,10,14,23,6,17,0,0,2,0,0,2,0,0,0,0,0,0,14,78
Total,Total,Total,Total,45,35,13,16,0,16,50,6,44,3,0,63,62,397,80,317,2,13,39,3,1,36,0,13,3,1,0,22,242,1059
1,State,Odisha,Angul,61,59,0,39,0,39,42,42,0,22,0,73,143,307,70,237,104,1,65,0,13,28,13,253,5,68,0,145,1460,2901
2,State,Odisha,Balasore,53,40,0,48,0,48,75,68,7,13,4,46,166,321,98,223,40,35,96,3,28,1363,40,188,29,211,0,5,526,3330
3,State,Odisha,Baragarh,36,89,2,36,0,36,27,23,4,12,0,51,74,190,73,117,123,8,21,5,13,57,9,69,23,171,0,185,426,1627
4,State,Odisha,Berhampur,20,83,0,11,0,11,16,9,7,10,14,59,73,178,84,94,45,8,40,0,11,244,4,125,11,12,0,102,185,1251
5,State,Odisha,Bhadrak,32,37,0,33,0,33,52,50,2,1,0,20,48,134,34,100,33,10,38,2,19,29,18,99,12,151,0,83,1154,2005
6,State,Odisha,Bolangir,34,119,0,48,0,48,19,16,3,8,0,36,110,152,57,95,95,32,42,3,17,12,4,188,9,112,0,78,903,2021
7,State,Odisha,Boudh,11,14,0,7,0,7,7,7,0,2,0,7,17,19,3,16,19,3,3,0,8,60,2,35,2,21,0,16,107,360
8,State,Odisha,Cuttack,30,14,0,26,0,26,26,25,1,12,0,47,100,180,44,136,30,1,27,0,16,233,22,26,1,107,0,106,1336,2340
9,State,Odisha,Dcp Bbsr,44,56,2,43,0,43,41,29,12,7,14,55,271,1146,698,448,56,8,90,2,10,712,18,45,8,41,0,176,1251,4096
10,State,Odisha,Dcp Ctc,19,12,6,17,0,17,31,27,4,3,12,64,116,517,276,241,26,2,44,0,5,26,4,18,3,84,0,98,1119,2226
11,State,Odisha,Deogarh,18,12,0,11,0,11,4,4,0,5,4,6,10,23,5,18,7,5,12,0,2,182,0,57,3,17,0,34,121,533
12,State,Odisha,Dhenkanal,39,67,0,19,0,19,36,34,2,13,0,54,96,227,25,202,117,11,35,1,20,28,7,252,8,25,0,120,611,1786
13,State,Odisha,Gajapati,12,12,0,6,0,6,17,17,0,1,0,2,10,23,5,18,52,1,13,0,21,28,0,37,2,16,0,18,117,388
14,State,Odisha,Ganjam,87,198,0,48,0,48,47,42,5,22,17,66,109,151,45,106,96,17,38,0,29,197,25,296,19,0,0,65,355,1882
15,State,Odisha,Jagatsinghpur,31,12,0,24,0,24,39,37,2,8,0,46,72,192,67,125,26,11,37,0,14,115,15,10,1,76,0,225,663,1617
16,State,Odisha,Jajpur,45,32,0,30,0,30,38,32,6,15,0,48,117,287,102,185,42,15,39,0,14,934,30,64,8,80,0,237,91,2166
17,State,Odisha,Jharsuguda,22,32,0,10,0,10,4,3,1,4,3,54,119,272,99,173,54,24,13,0,10,251,4,47,6,27,0,116,253,1325
18,State,Odisha,Kalahandi,33,21,0,60,0,60,35,35,0,6,0,39,56,82,21,61,67,12,76,2,11,351,16,118,12,91,0,62,414,1564
19,State,Odisha,Kandhamal,29,13,0,27,0,27,30,26,4,2,1,17,37,53,9,44,13,9,34,0,9,201,3,84,3,26,0,1,150,742
20,State,Odisha,Kendrapara,50,38,3,38,0,38,36,33,3,10,8,46,99,135,45,90,29,0,20,1,18,53,39,8,0,22,0,77,662,1392
21,State,Odisha,Keonjhar,85,62,13,45,0,45,37,32,5,31,6,86,81,333,87,246,72,21,31,4,21,158,18,107,8,85,0,331,731,2366
22,State,Odisha,Khurda,16,18,0,41,0,41,39,31,8,11,2,49,64,137,54,83,19,1,23,0,7,0,8,19,2,109,0,63,893,1521
23,State,Odisha,Koraput,26,44,4,41,0,41,23,19,4,17,0,29,60,70,12,58,83,0,15,0,13,15,0,122,11,42,0,125,562,1302
24,State,Odisha,Malkangir,36,35,0,14,0,14,10,8,2,8,0,5,16,30,3,27,59,8,4,0,19,4,0,22,5,13,0,22,48,358
25,State,Odisha,Mayurbhanj,88,62,0,76,0,76,73,72,1,10,2,25,123,252,56,196,26,18,36,1,18,92,27,189,10,146,0,90,859,2223
