Sl. No.,Category,States/ UTs/ Cities,Murder (Sec.302 IPC) (I),Murder (Sec.302 IPC) (R),Attempt to Commit Murder (Sec. 307 IPC) (I),Attempt to Commit Murder (Sec. 307 IPC) (R),"C.H. Not Amounting to Murder (Sec. 304, 308 IPC) (I)","C.H. Not Amounting to Murder (Sec. 304, 308 IPC) (R)",Rape (Sec. 376 IPC) - Total (I),Rape (Sec. 376 IPC) - Total (R),Rape (Sec. 376 IPC) - Custodial (I),Rape (Sec. 376 IPC) - Custodial (R),Rape (Sec. 376 IPC) - Others (I),Rape (Sec. 376 IPC) - Others ( R),"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls (R)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others (I)","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others ( R)",Dacoity (Sec. 395-398 IPC) (I),Dacoity (Sec. 395-398 IPC) (R),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) (I),Preparation & Assembly for Dacoity (Sec. 399-402 IPC) (R),"Robbery (Sec. 392-394,397,398 IPC) (I)","Robbery (Sec. 392-394,397,398 IPC) (R)","Burglary (Sec. 449-452,454,455, 457-460 IPC) (I)","Burglary (Sec. 449-452,454,455, 457-460 IPC) (R)",Theft (Sec.379-382 IPC) - Total (I),Theft (Sec.379-382 IPC) - Total (R),Theft (Sec.379-382 IPC) - Auto Theft (I),Theft (Sec.379-382 IPC) - Auto Theft (R),Theft (Sec.379-382 IPC) - Other Theft (I),Theft (Sec.379-382 IPC) - Other Theft (R),"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) (I)","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) (R)",Criminal Breach of Trust (Sec. 406-409 IPC) (I),Criminal Breach of Trust (Sec. 406-409 IPC) (R),"Cheating (Sec. 419,420 IPC) (I)","Cheating (Sec. 419,420 IPC) (R)","Counterfeiting (Sec. 231-254,489A, 489D IPC) (I)","Counterfeiting (Sec. 231-254,489A, 489D IPC) (R)","Arson (Sec. 435,436,438IPC) (I)","Arson (Sec. 435,436,438IPC) (R)","Hurt (Sec.323-333,335-338 IPC) (I)","Hurt (Sec.323-333,335-338 IPC) (R)",Dowry Deaths (Sec.304B IPC) (I),Dowry Deaths (Sec.304B IPC) (R),Molestation (Sec.354 IPC) (I),Molestation (Sec.354 IPC) (R),Sexual Harassment (Sec.509 IPC) (I),Sexual Harassment (Sec.509 IPC) (R),Cruelty by Husband and Relatives (Sec. 498A IPC) (I),Cruelty by Husband and Relatives (Sec. 498A IPC) (R),Importation of Girls (Sec. 366B IPC) (I),Importation of Girls (Sec. 366B IPC) (R),Causing Death by Negligence (Sec. 304A IPC) (I),Causing Death by Negligence (Sec. 304A IPC) (R),Other IPC Crimes (I),Other IPC Crimes (R),Total Cognizable Crimes Under IPC (I),Total Cognizable Crimes Under IPC ( R)
55,City,Kolkata,49,0.4,55,0.4,43,0.3,32,0.2,0,0,32,0.2,125,0.9,91,0.7,34,0.3,0,0,26,0.2,18,0.1,66,0.5,3118,23.6,506,3.8,2612,19.8,282,2.1,329,2.5,1271,9.6,73,0.6,0,0,2007,15.2,12,0.1,226,1.7,133,1,400,3,3,0,362,2.7,6880,52.1,15510,117.3
56,City,Lucknow,83,3.7,67,3,19,0.8,52,2.3,0,0,52,2.3,251,11.1,246,10.9,5,0.2,11,0.5,4,0.2,86,3.8,415,18.3,2591,114.3,1701,75,890,39.3,141,6.2,432,19.1,750,33.1,50,2.2,0,0,35,1.5,50,2.2,97,4.3,0,0,605,26.7,0,0,375,16.5,4202,185.4,10316,455.1
57,City,Ludhiana,81,5.8,81,5.8,12,0.9,52,3.7,0,0,52,3.7,143,10.3,102,7.3,41,2.9,5,0.4,5,0.4,30,2.2,213,15.3,839,60.1,472,33.8,367,26.3,0,0,36,2.6,385,27.6,4,0.3,6,0.4,217,15.6,7,0.5,27,1.9,11,0.8,109,7.8,0,0,200,14.3,1059,75.9,3522,252.5
58,City,Madurai,34,2.8,50,4.2,0,0,3,0.3,0,0,3,0.3,15,1.3,9,0.8,6,0.5,0,0,0,0,77,6.4,65,5.4,500,41.8,269,22.5,231,19.3,17,1.4,8,0.7,124,10.4,31,2.6,0,0,130,10.9,11,0.9,12,1,20,1.7,69,5.8,0,0,120,10,1386,116,2672,223.6
59,City,Meerut,34,2.9,55,4.7,5,0.4,19,1.6,0,0,19,1.6,93,8,75,6.4,18,1.5,4,0.3,0,0,118,10.1,109,9.3,1295,111,950,81.4,345,29.6,148,12.7,73,6.3,234,20.1,21,1.8,0,0,12,1,14,1.2,34,2.9,0,0,215,18.4,0,0,204,17.5,620,53.1,3307,283.4
60,City,Mumbai,228,1.4,170,1,7,0,194,1.2,0,0,194,1.2,194,1.2,146,0.9,48,0.3,35,0.2,42,0.3,410,2.5,3059,18.7,13195,80.6,4167,25.5,9028,55.2,391,2.4,482,2.9,2211,13.5,76,0.5,22,0.1,4487,27.4,21,0.1,475,2.9,138,0.8,312,1.9,0,0,690,4.2,7093,43.3,33932,207.3
61,City,Nagpur,88,4.1,69,3.3,5,0.2,58,2.7,0,0,58,2.7,57,2.7,34,1.6,23,1.1,13,0.6,13,0.6,259,12.2,599,28.2,1732,81.6,852,40.1,880,41.5,183,8.6,72,3.4,264,12.4,24,1.1,20,0.9,842,39.7,8,0.4,87,4.1,48,2.3,175,8.2,0,0,332,15.6,2780,130.9,7728,364
62,City,Nasik,37,3.2,32,2.8,1,0.1,30,2.6,0,0,30,2.6,27,2.3,19,1.6,8,0.7,24,2.1,13,1.1,117,10.2,528,45.8,1882,163.4,963,83.6,919,79.8,146,12.7,52,4.5,187,16.2,23,2,17,1.5,268,23.3,2,0.2,46,4,18,1.6,124,10.8,0,0,217,18.8,693,60.2,4484,389.2
63,City,Patna,130,7.6,20,1.2,4,0.2,25,1.5,0,0,25,1.5,183,10.7,58,3.4,125,7.3,15,0.9,0,0,131,7.7,479,28.1,2117,124,1202,70.4,915,53.6,194,11.4,5,0.3,174,10.2,12,0.7,0,0,34,2,30,1.8,4,0.2,3,0.2,197,11.5,0,0,228,13.4,5032,294.8,9017,528.2
64,City,Pune,129,3.4,94,2.5,6,0.2,91,2.4,0,0,91,2.4,129,3.4,94,2.5,35,0.9,30,0.8,31,0.8,452,12,1250,33.3,4674,124.4,2948,78.5,1726,46,393,10.5,72,1.9,663,17.7,37,1,17,0.5,1169,31.1,4,0.1,78,2.1,91,2.4,214,5.7,0,0,620,16.5,3358,89.4,13602,362.1
65,City,Rajkot,38,3.8,22,2.2,1,0.1,12,1.2,0,0,12,1.2,39,3.9,32,3.2,7,0.7,9,0.9,0,0,34,3.4,243,24.3,1039,103.7,798,79.6,241,24.1,64,6.4,52,5.2,26,2.6,9,0.9,17,1.7,393,39.2,0,0,14,1.4,7,0.7,294,29.3,0,0,117,11.7,1594,159.1,4024,401.6
66,City,Surat,87,3.1,19,0.7,1,0,23,0.8,0,0,23,0.8,82,2.9,63,2.2,19,0.7,12,0.4,7,0.2,80,2.8,273,9.7,1712,60.9,1247,44.4,465,16.5,87,3.1,34,1.2,126,4.5,36,1.3,7,0.2,556,19.8,3,0.1,24,0.9,1,0,268,9.5,0,0,364,12.9,3624,128.9,7426,264.2
67,City,Vadodara,23,1.5,25,1.7,1,0.1,7,0.5,0,0,7,0.5,36,2.4,30,2,6,0.4,9,0.6,0,0,19,1.3,319,21.4,1529,102.5,1044,70,485,32.5,89,6,35,2.3,115,7.7,3,0.2,4,0.3,276,18.5,0,0,18,1.2,0,0,216,14.5,0,0,180,12.1,2448,164.1,5352,358.7
68,City,Varanasi,15,1.2,34,2.8,15,1.2,2,0.2,0,0,2,0.2,48,4,34,2.8,14,1.2,0,0,2,0.2,9,0.7,41,3.4,601,49.6,451,37.2,150,12.4,16,1.3,113,9.3,209,17.2,25,2.1,0,0,94,7.8,11,0.9,3,0.2,0,0,50,4.1,0,0,177,14.6,664,54.8,2129,175.7
69,City,Vijayawada,33,3.3,49,4.8,1,0.1,25,2.5,0,0,25,2.5,87,8.6,65,6.4,22,2.2,3,0.3,0,0,20,2,228,22.6,1324,131,539,53.3,785,77.6,8,0.8,52,5.1,398,39.4,16,1.6,20,2,1565,154.8,17,1.7,172,17,219,21.7,626,61.9,0,0,363,35.9,607,60,5833,577
70,City,Vishakhapatnam,24,1.8,25,1.9,4,0.3,53,4,0,0,53,4,34,2.6,24,1.8,10,0.8,8,0.6,0,0,40,3,335,25.2,1234,92.9,134,10.1,1100,82.8,2,0.2,75,5.6,294,22.1,16,1.2,28,2.1,2443,183.8,11,0.8,59,4.4,52,3.9,393,29.6,0,0,466,35.1,1516,114.1,7112,535.1
Total (Cities),Total (Cities),Total (Cities),2897,2.7,2686,2.5,334,0.3,1803,1.7,0,0,1803,1.7,6203,5.7,3775,3.5,2428,2.3,377,0.3,620,0.6,5003,4.6,16932,15.7,102022,94.6,57268,53.1,44754,41.5,4653,4.3,3671,3.4,20428,18.9,890,0.8,297,0.3,33132,30.7,768,0.7,3329,3.1,1366,1.3,11642,10.8,7,0,10296,9.5,139527,129.3,368883,341.9
