SI. No.,Category,States/ UTs,Murder (Sec.302 IPC) - 2009,Murder (Sec.302 IPC) - 2010,Murder (Sec.302 IPC) - %Varitation,Attempt to Commit Murder (Sec. 307 IPC) - 2009,Attempt to Commit Murder (Sec. 307 IPC) - 2010,Attempt to Commit Murder (Sec. 307 IPC) - %Varitation,"C.h. Not Amounting Murder (Sec.304 , 308 IPC) - 2009","C.h. Not Amounting Murder (Sec.304 , 308 IPC) - 2010","C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Rape (Sec. 376 IPC) - Total - 2009,Rape (Sec. 376 IPC) - Total - 2010,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2009,Rape (Sec. 376 IPC) - Custodial - 2010,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Others - 2009,Rape (Sec. 376 IPC) - Others - 2010,Rape (Sec. 376 IPC) - Others - % Variation,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2009","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - 2010","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2009,Dacoity (Sec. 395-398 IPC) - 2010,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2009,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2010,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2009","Robbery (Sec.392-394, 397, 398 IPC) - 2010","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2009","Burglary (Sec.449-452,454,455,457-460 IPC) - 2010","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec.379-382 IPC) - Total - 2009,Theft (Sec.379-382 IPC) - Total - 2010,Theft (Sec.379-382 IPC) - Total - % Variation,Theft (Sec.379-382 IPC) - Auto Theft - 2009,Theft (Sec.379-382 IPC) - Auto Theft - 2010,Theft (Sec.379-382 IPC) - Auto Theft - % Variation,Theft (Sec.379-382 IPC) - Other Theft -2009,Theft (Sec.379-382 IPC) - Other Theft - 2010,Theft (Sec.379-382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2009","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - 2010","Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2009,Criminal Breach of Trust (Sec. 406-409 IPC) - 2010,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2009","Cheating (Sec. 419,420 IPC) - 2010","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2009","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2010","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2009","Arson (Sec.435,436,438 IPC) - 2010","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2009","Hurt (Sec.323-333, 335-338 IPC) - 2010","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2009,Dowry Deaths (Sec.304B IPC) - 2010,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2009,Molestation (Sec.354 IPC) - 2010,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2009,Sexual Harassment (Sec.509 IPC) - 2010,Sexual Harassment (Sec.509 IPC) - % Variation,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2009,Cruelty by Husband and Relatives (Sec. 498A IPC) - 2010,Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Importation of Girls (Sec. 366B IPC) - 2009,Importation of Girls (Sec. 366B IPC) - 2010,Importation of Girls (Sec. 366B IPC) - % Variation,Causing Death by Negligence (Sec. 304A IPC) - 2009,Causing Death by Negligence (Sec. 304A IPC) - 2010,Causing Death by Negligence (Sec. 304A IPC) - % Variation,Other IPC Crimes -2009,Other IPC Crimes - 2010,Other IPC Crimes - % Variation,Total Cognizable Sl. Crimes Under IPC - 2009,Total Cognizable Sl. Crimes Under IPC - 2010,Total Cognizable Sl. Crimes Under IPC - % Variation,Note of Murder (Sec.302 IPC) - %Varitation,"Note of C.h. Not Amounting Murder (Sec.304 , 308 IPC) - %Varitation",Note of Rape (Sec. 376 IPC) - Custodial - % Variation,"Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - % Variation","Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - % Variation","Note of Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - % Variation",Note of Dacoity (Sec. 395-398 IPC) - % Variation,Note of Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Note of Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Note of Riots (Sec.143-145,147- 151,153,153A,153B,157,158,160 IPC) - % Variation",Note of Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Note of Cheating (Sec. 419,420 IPC) - % Variation","Note of Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Note of Arson (Sec.435,436,438 IPC) - % Variation",Note of Dowry Deaths (Sec.304B IPC) - % Variation,Note of Molestation (Sec.354 IPC) - % Variation,Note of Sexual Harassment (Sec.509 IPC) - % Variation,Note of Cruelty by Husband and Relatives (Sec. 498A IPC) - % Variation,Note of Importation of Girls (Sec. 366B IPC) - % Variation,Note of Causing Death by Negligence (Sec. 304A IPC) - % Variation
24,State,Tamil Nadu,1776,1875,5.6,2325,2641,13.6,26,32,23.1,596,686,15.1,0,0,NA,596,686,15.1,1372,1720,25.4,1133,1464,29.2,239,256,7.1,97,85,-12.4,34,12,-64.7,1144,1817,58.8,4221,4715,11.7,15712,14583,-7.2,4973,5045,1.4,10739,9538,-11.2,2397,2664,11.1,215,177,-17.7,2557,3259,27.5,352,312,-11.4,580,636,9.7,18147,21309,17.4,194,165,-14.9,1242,1405,13.1,501,638,27.3,1460,1570,7.5,0,0,NA,13528,14644,8.2,106215,110733,4.3,174691,185678,6.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
25,State,Tripura,133,150,12.8,59,63,6.8,2,8,300,190,238,25.3,0,0,NA,190,238,25.3,121,114,-5.8,92,91,-1.1,29,23,-20.7,7,16,128.6,0,2,NA,77,65,-15.6,231,221,-4.3,415,457,10.1,39,64,64.1,376,393,4.5,178,163,-8.4,52,53,1.9,110,122,10.9,20,6,-70,62,51,-17.7,1047,1136,8.5,29,25,-13.8,384,376,-2.1,5,9,80,815,937,15,0,0,NA,225,237,5.3,1324,1356,2.4,5486,5805,5.8,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
26,State,Uttar Pradesh,4534,4401,-2.9,4141,4004,-3.3,1439,1401,-2.6,1759,1563,-11.1,0,1,NA,1759,1562,-11.2,6083,6321,3.9,5078,5468,7.7,1005,853,-15.1,365,337,-7.7,59,48,-18.6,2285,2577,12.8,5260,4915,-6.6,29226,31153,6.6,16109,18216,13.1,13117,12937,-1.4,4263,4186,-1.8,3917,3817,-2.6,8845,9553,8,339,426,25.7,254,170,-33.1,10934,10336,-5.5,2232,2217,-0.7,2782,2793,0.4,2524,11,-99.6,8566,7978,-6.9,0,0,NA,12159,14472,19,60918,61500,1,172884,174179,0.7,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
27,State,Uttarakhand,195,176,-9.7,185,219,18.4,51,60,17.6,111,121,9,0,0,NA,111,121,9,275,286,4,247,249,0.8,28,37,32.1,35,12,-65.7,7,2,-71.4,179,162,-9.5,363,310,-14.6,1601,2138,33.5,735,871,18.5,866,1267,46.3,466,458,-1.7,156,167,7.1,544,567,4.2,43,33,-23.3,17,17,0,1198,974,-18.7,94,75,-20.2,119,125,5,249,165,-33.7,361,334,-7.5,0,0,NA,685,738,7.7,1868,2101,12.5,8802,9240,5,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
28,State,West Bengal,2068,2398,16,2119,2111,-0.4,931,630,-32.3,2336,2311,-1.1,0,0,NA,2336,2311,-1.1,2750,3345,21.6,2187,2764,26.4,563,581,3.2,214,288,34.6,724,687,-5.1,751,798,6.3,329,388,17.9,17133,19389,13.2,3709,4123,11.2,13424,15266,13.7,6700,6809,1.6,918,1011,10.1,3298,3260,-1.2,153,214,39.9,344,331,-3.8,11196,12764,14,506,507,0.2,1942,2465,26.9,108,163,50.9,16112,17796,10.5,5,8,60,3623,2847,-21.4,38776,49096,26.6,113036,129616,14.7,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (States),Total (States),Total (States),31728,32696,3.1,28612,29052,1.5,3827,3680,-3.8,20874,21603,3.5,2,6,200,20872,21597,3.5,31238,35147,12.5,24014,27993,16.6,7224,7154,-1,4527,4310,-4.8,2773,2568,-7.4,21841,22712,4,89862,88232,-1.8,299774,304973,1.7,125121,131142,4.8,174653,173831,-0.5,62541,67253,7.5,15916,16344,2.7,70434,76835,9.1,2945,2873,-2.4,9171,8665,-5.5,276172,286122,3.6,8239,8242,0,38044,39893,4.9,10864,9843,-9.4,88175,92574,5,48,36,-25,97387,105114,7.9,846741,906429,7,2061155,2164628,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Union Territory,Andaman & Nicobar Islands,15,9,-40,4,7,75,4,4,0,18,24,33.3,0,0,NA,18,24,33.3,16,10,-37.5,14,8,-42.9,2,2,0,0,1,NA,0,0,NA,11,7,-36.4,86,80,-7,134,121,-9.7,10,22,120,124,99,-20.2,11,11,0,7,10,42.9,20,56,180,2,0,-100,12,12,0,89,80,-10.1,1,0,-100,30,31,3.3,7,10,42.9,21,9,-57.1,0,0,NA,2,9,350,451,489,8.4,941,980,4.1,NA,NA,@,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
30,Union Territory,Chandigarh,22,21,-4.5,18,30,66.7,8,9,12.5,29,31,6.9,0,0,NA,29,31,6.9,40,38,-5,36,28,-22.2,4,10,150,4,5,25,3,6,100,27,67,148.1,241,236,-2.1,1731,1481,-14.4,1117,898,-19.6,614,583,-5,66,65,-1.5,38,23,-39.5,193,163,-15.5,4,3,-25,4,9,125,63,65,3.2,2,5,150,26,29,11.5,2,4,100,51,41,-19.6,0,0,NA,7,6,-14.3,976,1036,6.1,3555,3373,-5.1,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
31,Union Territory,Dadra Nagar Haveli,10,6,-40,5,0,-100,1,1,0,4,3,-25,0,0,NA,4,3,-25,12,18,50,9,10,11.1,3,8,166.7,9,2,-77.8,0,0,NA,2,3,50,43,25,-41.9,63,63,0,21,34,61.9,42,29,-31,53,44,-17,17,12,-29.4,20,18,-10,1,1,0,5,2,-60,23,11,-52.2,0,0,NA,2,11,450,1,2,100,3,3,0,0,0,NA,17,20,17.6,151,133,-11.9,442,378,-14.5,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA
32,Union Territory,Daman & Diu,5,5,0,4,2,-50,1,1,0,1,1,0,0,0,NA,1,1,0,0,2,NA,0,2,NA,0,0,NA,0,6,NA,0,0,NA,4,0,-100,33,27,-18.2,41,47,14.6,27,29,7.4,14,18,28.6,29,11,-62.1,8,4,-50,4,5,25,3,0,-100,3,0,-100,14,12,-14.3,0,0,NA,4,2,-50,1,0,-100,3,3,0,0,0,NA,40,38,-5,78,37,-52.6,276,203,-26.4,NA,NA,@,@,@,@,@,@,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA
33,Union Territory,Delhi,552,565,2.4,369,311,-15.7,84,71,-15.5,469,507,8.1,0,0,NA,469,507,8.1,2536,3208,26.5,1655,1740,5.1,881,1468,66.6,36,32,-11.1,69,31,-55.1,515,599,16.3,1733,1502,-13.3,21731,23088,6.2,13224,14966,13.2,8507,8122,-4.5,57,53,-7,333,273,-18,2000,1845,-7.8,47,33,-29.8,34,52,52.9,1938,1925,-0.7,141,143,1.4,552,601,8.9,118,80,-32.2,1283,1404,9.4,0,0,NA,846,914,8,14808,14055,-5.1,50251,51292,2.1,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
34,Union Territory,Lakshadweep,0,0,NA,1,0,-100,0,0,NA,1,0,-100,0,0,NA,1,0,-100,0,0,NA,0,0,NA,0,0,NA,3,0,-100,0,0,NA,0,0,NA,1,5,400,10,5,-50,5,0,-100,5,5,0,44,3,-93.2,0,0,NA,0,0,NA,0,0,NA,2,2,0,14,1,-92.9,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,58,26,-55.2,134,42,-68.7,@,@,@,@,@,@,NA,@,@,NA,@,@,@,NA,@,@,@,@,@,@
35,Union Territory,Pondicherry,37,33,-10.8,25,19,-24,5,16,220,1,3,200,0,0,NA,1,3,200,18,17,-5.6,13,14,7.7,5,3,-40,7,2,-71.4,5,10,100,9,5,-44.4,71,72,1.4,711,534,-24.9,502,384,-23.5,209,150,-28.2,141,131,-7.1,7,12,71.4,47,77,63.8,5,3,-40,11,10,-9.1,901,806,-10.5,0,1,NA,53,46,-13.2,16,22,37.5,10,7,-30,0,0,NA,233,242,3.9,2278,1867,-18,4591,3935,-14.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA
Total (UTs),Total (UTs),Total (UTs),641,639,-0.3,426,369,-13.4,103,102,-1,523,569,8.8,0,0,0,523,569,8.8,2622,3293,25.6,1727,1802,4.3,895,1491,66.6,59,48,-18.6,77,47,-39,568,681,19.9,2208,1947,-11.8,24421,25339,3.8,14906,16333,9.6,9515,9006,-5.3,401,318,-20.7,410,334,-18.5,2284,2164,-5.3,62,40,-35.5,71,87,22.5,3042,2900,-4.7,144,149,3.5,667,720,7.9,145,118,-18.6,1371,1467,7,0,0,NA,1145,1229,7.3,18800,17643,-6.2,60190,60203,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
Total (All-India),Total (All-India),Total (All-India),32369,33335,3,29038,29421,1.3,3930,3782,-3.8,21397,22172,3.6,2,6,200,21395,22166,3.6,33860,38440,13.5,25741,29795,15.7,8119,8645,6.5,4586,4358,-5,2850,2615,-8.2,22409,23393,4.4,92070,90179,-2.1,324195,330312,1.9,140027,147475,5.3,184168,182837,-0.7,62942,67571,7.4,16326,16678,2.2,72718,78999,8.6,2935,2589,-11.8,8736,8508,-2.6,279214,289022,3.5,8383,8391,0.1,38711,40613,4.9,11009,9961,-9.5,89546,94041,5,48,36,-25,98532,106343,7.9,865541,924072,6.8,2121345,2224831,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,City,Agra,57,58,1.8,78,61,-21.8,29,26,-10.3,16,13,-18.8,0,0,NA,16,13,-18.8,170,171,0.6,127,145,14.2,43,26,-39.5,9,2,-77.8,0,0,NA,52,37,-28.8,137,132,-3.6,1566,1706,8.9,1226,1400,14.2,340,306,-10,140,129,-7.9,122,119,-2.5,241,266,10.4,37,58,56.8,2,1,-50,270,268,-0.7,37,39,5.4,48,54,12.5,68,61,-10.3,294,285,-3.1,0,0,NA,211,216,2.4,1252,1100,-12.1,4836,4802,-0.7,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
37,City,Ahmedabad,83,82,-1.2,50,66,32,7,4,-42.9,63,49,-22.2,0,0,NA,63,49,-22.2,181,207,14.4,132,177,34.1,49,30,-38.8,16,26,62.5,2,2,0,844,805,-4.6,751,799,6.4,6283,4659,-25.8,4232,3101,-26.7,2051,1558,-24,178,171,-3.9,224,263,17.4,205,212,3.4,16,17,6.3,6,4,-33.3,1165,1365,17.2,5,12,140,74,73,-1.4,18,9,-50,1169,1230,5.2,0,0,NA,205,203,-1,9181,11184,21.8,20726,21442,3.5,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
38,City,Allahabad,36,44,22.2,41,47,14.6,6,4,-33.3,6,7,16.7,0,0,NA,6,7,16.7,56,40,-28.6,41,30,-26.8,15,10,-33.3,2,2,0,0,0,NA,23,22,-4.3,110,129,17.3,536,614,14.6,345,481,39.4,191,133,-30.4,54,42,-22.2,53,43,-18.9,178,141,-20.8,21,31,47.6,2,1,-50,63,255,304.8,10,14,40,12,9,-25,30,0,-100,142,64,-54.9,0,0,NA,116,307,164.7,576,157,-72.7,2073,1973,-4.8,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
39,City,Amritsar,54,53,-1.9,64,71,10.9,3,7,133.3,15,24,60,0,0,NA,15,24,60,46,51,10.9,37,43,16.2,9,8,-11.1,1,3,200,16,18,12.5,12,9,-25,108,83,-23.1,430,257,-40.2,223,104,-53.4,207,153,-26.1,0,0,NA,18,16,-11.1,261,275,5.4,8,14,75,3,4,33.3,230,152,-33.9,7,10,42.9,15,10,-33.3,6,4,-33.3,85,87,2.4,0,0,NA,132,70,-47,643,615,-4.4,2157,1833,-15,NA,NA,@,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
40,City,Asansol,32,34,6.3,7,8,14.3,10,14,40,13,18,38.5,0,0,NA,13,18,38.5,27,21,-22.2,17,13,-23.5,10,8,-20,4,4,0,39,64,64.1,12,5,-58.3,6,5,-16.7,283,323,14.1,138,175,26.8,145,148,2.1,61,49,-19.7,18,5,-72.2,45,47,4.4,0,1,NA,5,3,-40,65,69,6.2,17,19,11.8,14,13,-7.1,0,0,NA,211,310,46.9,0,0,NA,111,109,-1.8,381,720,89,1361,1841,35.3,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,@,NA,@,NA
41,City,Bengaluru,256,266,3.9,338,445,31.7,1,5,400,65,65,0,0,0,NA,65,65,0,270,513,90,2,29,1350,268,484,80.6,41,66,61,278,246,-11.5,743,641,-13.7,1592,1335,-16.1,11730,10568,-9.9,7074,6407,-9.4,4656,4161,-10.6,337,349,3.6,214,139,-35,3007,3073,2.2,65,72,10.8,8,7,-12.5,2653,3153,18.8,50,52,4,251,308,22.7,35,50,42.9,367,398,8.4,0,0,NA,87,104,19.5,9992,10333,3.4,32380,32188,-0.6,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
42,City,Bhopal,49,49,0,61,59,-3.3,1,3,200,117,73,-37.6,0,0,NA,117,73,-37.6,67,59,-11.9,52,53,1.9,15,6,-60,2,6,200,6,1,-83.3,178,191,7.3,926,844,-8.9,2643,2443,-7.6,1651,1556,-5.8,992,887,-10.6,103,83,-19.4,8,9,12.5,339,170,-49.9,4,3,-25,5,9,80,1668,1286,-22.9,42,25,-40.5,187,21,-88.8,20,139,595,201,191,-5,0,1,NA,187,219,17.1,5355,6090,13.7,12169,11974,-1.6,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
43,City,Chennai,96,103,7.3,175,158,-9.7,0,2,NA,39,47,20.5,0,0,NA,39,47,20.5,42,47,11.9,37,30,-18.9,5,17,240,7,2,-71.4,0,2,NA,84,74,-11.9,398,383,-3.8,1716,1540,-10.3,341,234,-31.4,1375,1306,-5,70,60,-14.3,46,21,-54.3,350,524,49.7,42,72,71.4,2,1,-50,735,773,5.2,19,16,-15.8,42,45,7.1,10,23,130,154,125,-18.8,0,0,NA,602,604,0.3,6276,6247,-0.5,10905,10869,-0.3,NA,@,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
44,City,Coimbatore,24,22,-8.3,26,27,3.8,0,0,NA,9,15,66.7,0,0,NA,9,15,66.7,23,22,-4.3,9,10,11.1,14,12,-14.3,2,1,-50,0,0,NA,26,25,-3.8,197,142,-27.9,1165,1084,-7,608,497,-18.3,557,587,5.4,17,23,35.3,12,9,-25,103,148,43.7,35,30,-14.3,3,8,166.7,324,357,10.2,4,1,-75,21,35,66.7,3,1,-66.7,48,45,-6.3,0,0,NA,279,324,16.1,1997,1861,-6.8,4318,4180,-3.2,NA,@,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
45,City,Delhi (city),444,453,2,327,260,-20.5,75,63,-16,404,414,2.5,0,0,NA,404,414,2.5,2149,2629,22.3,1379,1422,3.1,770,1207,56.8,33,30,-9.1,62,27,-56.5,473,554,17.1,1566,1355,-13.5,20088,21373,6.4,12232,13842,13.2,7856,7531,-4.1,50,46,-8,305,249,-18.4,1874,1720,-8.2,47,32,-31.9,26,48,84.6,1738,1700,-2.2,104,112,7.7,491,550,12,113,73,-35.4,1177,1273,8.2,0,0,NA,815,868,6.5,12886,12165,-5.6,45247,45994,1.7,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
46,City,Dhanbad,20,17,-15,13,10,-23.1,6,7,16.7,5,5,0,0,0,NA,5,5,0,27,46,70.4,23,40,73.9,4,6,50,15,16,6.7,2,1,-50,13,11,-15.4,98,101,3.1,361,441,22.2,240,252,5,121,189,56.2,63,55,-12.7,13,21,61.5,41,21,-48.8,1,0,-100,1,1,0,101,71,-29.7,10,12,20,5,6,20,0,0,NA,11,11,0,0,0,NA,2,1,-50,508,152,-70.1,1316,1006,-23.6,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA
47,City,Faridabad,60,70,16.7,47,49,4.3,8,5,-37.5,35,51,45.7,0,0,NA,35,51,45.7,86,102,18.6,62,86,38.7,24,16,-33.3,5,9,80,42,70,66.7,23,20,-13,258,277,7.4,1136,1672,47.2,887,1352,52.4,249,320,28.5,129,178,38,132,174,31.8,44,154,250,3,0,-100,4,5,25,175,191,9.1,17,23,35.3,26,27,3.8,4,78,1850,179,224,25.1,0,0,NA,243,224,-7.8,1753,1317,-24.9,4409,4920,11.6,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
48,City,Hyderabad,153,134,-12.4,110,143,30,5,8,60,47,45,-4.3,0,0,NA,47,45,-4.3,108,121,12,55,41,-25.5,53,80,50.9,5,7,40,0,0,NA,59,54,-8.5,969,906,-6.5,5091,4916,-3.4,2095,1543,-26.3,2996,3373,12.6,199,513,157.8,85,96,12.9,2007,2021,0.7,49,29,-40.8,7,15,114.3,3516,3425,-2.6,36,44,22.2,295,171,-42,63,60,-4.8,1363,1420,4.2,0,0,NA,516,542,5,3157,2879,-8.8,17840,17549,-1.6,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
49,City,Indore,94,80,-14.9,159,129,-18.9,3,2,-33.3,44,69,56.8,0,0,NA,44,69,56.8,28,30,7.1,22,23,4.5,6,7,16.7,1,5,400,18,12,-33.3,291,210,-27.8,823,689,-16.3,3481,3462,-0.5,2618,2681,2.4,863,781,-9.5,55,53,-3.6,26,42,61.5,139,151,8.6,1,15,1400,16,18,12.5,1917,2800,46.1,31,26,-16.1,256,211,-17.6,50,47,-6,363,259,-28.7,0,2,NA,260,220,-15.4,6045,5698,-5.7,14101,14230,0.9,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
50,City,Jabalpur,62,48,-22.6,77,71,-7.8,0,0,NA,76,81,6.6,0,0,NA,76,81,6.6,25,27,8,16,25,56.3,9,2,-77.8,1,1,0,2,7,250,73,52,-28.8,340,260,-23.5,792,641,-19.1,180,443,146.1,612,198,-67.6,71,50,-29.6,7,3,-57.1,112,80,-28.6,1,0,-100,3,1,-66.7,602,875,45.3,9,25,177.8,84,114,35.7,19,49,157.9,48,118,145.8,0,1,NA,103,97,-5.8,3688,3604,-2.3,6195,6205,0.2,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
51,City,Jaipur,52,65,25,92,68,-26.1,4,7,75,69,71,2.9,0,0,NA,69,71,2.9,215,207,-3.7,189,193,2.1,26,14,-46.2,3,4,33.3,8,10,25,236,253,7.2,911,774,-15,5313,4825,-9.2,3864,3562,-7.8,1449,1263,-12.8,169,138,-18.3,295,270,-8.5,2527,3146,24.5,10,7,-30,13,5,-61.5,747,597,-20.1,20,30,50,102,115,12.7,0,0,NA,573,720,25.7,0,0,NA,482,499,3.5,4947,4906,-0.8,16788,16717,-0.4,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,@,NA
52,City,Jamshedpur,72,52,-27.8,188,27,-85.6,15,8,-46.7,34,16,-52.9,0,0,NA,34,16,-52.9,54,43,-20.4,30,25,-16.7,24,18,-25,15,3,-80,1,1,0,60,25,-58.3,120,150,25,1220,702,-42.5,630,438,-30.5,590,264,-55.3,55,133,141.8,56,42,-25,88,90,2.3,0,0,NA,13,6,-53.8,646,578,-10.5,8,13,62.5,22,6,-72.7,3,1,-66.7,60,22,-63.3,0,0,NA,119,100,-16,226,714,215.9,3075,2732,-11.2,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,@,NA
53,City,Kanpur,143,150,4.9,84,109,29.8,45,41,-8.9,40,42,5,0,0,NA,40,42,5,282,316,12.1,227,263,15.9,55,53,-3.6,16,10,-37.5,0,1,NA,114,81,-28.9,229,267,16.6,1094,1181,8,745,858,15.2,349,323,-7.4,187,176,-5.9,223,215,-3.6,403,461,14.4,34,53,55.9,3,0,-100,446,407,-8.7,73,92,26,109,118,8.3,210,7,-96.7,551,447,-18.9,0,0,NA,449,571,27.2,2077,2002,-3.6,6812,6747,-1,NA,NA,@,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
