SL. No.,States/U.Ts.,Districts,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
14,Orissa,Kalahandi,18,3,4,5,6,35,301,454,216,20,3,NA,1893
15,Orissa,Raurkela,11,1,14,9,12,46,215,596,144,17,21,NA,1993
16,Orissa,Govt. Rly. Police Cuttack,3,NA,NA,1,2,12,24,342,18,4,6,NA,471
17,Orissa,Govt. Rly. Police Rourk,2,NA,2,1,6,13,26,292,19,1,1,NA,444
18,Orissa,Bhubaneswar,9,NA,3,16,12,59,376,785,106,18,19,21,2388
1,Punjab,Amritsar,130,31,9,34,1,28,188,363,8,51,63,3,2758
2,Punjab,Jullundhur,47,29,5,18,NA,6,121,156,NA,35,70,NA,1055
3,Punjab,Gurdaspur,44,12,8,13,2,4,68,110,NA,26,14,NA,933
4,Punjab,Hoshiarpur,30,5,4,10,NA,1,70,95,NA,7,20,NA,1093
5,Punjab,Kapurthala,18,9,4,5,NA,1,22,52,NA,8,15,NA,714
6,Punjab,Patiala,42,11,1,29,3,2,76,202,7,37,31,NA,1198
7,Punjab,Ludhiana,54,22,4,32,NA,9,96,256,10,55,18,4,1672
8,Punjab,Sangrur,41,6,2,13,1,5,95,97,9,28,16,NA,914
9,Punjab,Roopnagar,19,2,1,11,NA,1,74,57,2,7,48,NA,596
10,Punjab,Ferozepur,59,18,13,11,1,2,80,133,2,23,23,NA,916
11,Punjab,Bhatinda,57,12,5,15,NA,3,70,95,2,33,23,2,999
12,Punjab,Faridkot,50,12,1,13,1,2,58,87,4,46,13,NA,1112
1,Rajasthan,Ajmer,55,2,11,82,4,47,382,552,389,47,121,5,3126
2,Rajasthan,Bhilwara,28,3,10,89,2,48,284,400,452,72,90,NA,2664
3,Rajasthan,Nagour,42,NA,14,17,4,71,188,321,507,26,80,NA,2592
4,Rajasthan,Jaipur,67,NA,28,156,10,121,937,2129,1729,118,288,6,9025
5,Rajasthan,Jhunjhunu,26,NA,3,8,NA,22,60,164,414,15,30,NA,1374
6,Rajasthan,Sikar,21,2,7,16,3,20,184,260,581,23,68,NA,1877
7,Rajasthan,Tonk,22,1,10,32,NA,14,144,287,317,36,43,1,1825
8,Rajasthan,Bharatpur,59,3,13,53,24,36,274,718,710,26,102,NA,3186
9,Rajasthan,Alwar,51,4,14,50,8,61,324,797,793,29,128,1,3460
10,Rajasthan,Sawai Madhopur,43,1,26,71,18,62,289,445,784,36,60,NA,3049
11,Rajasthan,Dholpur,20,1,8,19,6,24,105,293,257,1,21,NA,1160
12,Rajasthan,Bikaner,23,NA,13,20,8,34,169,245,310,22,48,NA,1806
13,Rajasthan,Churu,15,1,8,12,4,10,101,161,281,22,66,NA,1579
14,Rajasthan,Ganganagar,98,1,28,60,5,44,255,346,127,79,87,NA,3583
15,Rajasthan,Jodhpur,41,NA,15,55,6,86,361,465,469,36,105,NA,3091
16,Rajasthan,Jalore,29,NA,8,14,5,25,68,116,95,33,13,NA,1032
17,Rajasthan,Jaisalmer,5,NA,1,10,NA,6,30,90,45,2,NA,NA,362
18,Rajasthan,Barmer,22,NA,10,17,NA,36,86,321,134,20,46,NA,1447
19,Rajasthan,Pali,31,NA,16,50,3,40,157,304,258,44,55,NA,2314
20,Rajasthan,Sirohi,10,NA,1,11,NA,8,77,65,73,9,11,NA,653
21,Rajasthan,Kota,53,1,54,84,15,102,542,690,478,65,82,NA,4733
22,Rajasthan,Bundi,23,3,11,51,3,32,127,249,152,37,44,NA,1609
23,Rajasthan,Jhalawar,26,2,21,46,7,37,211,228,320,47,61,NA,1874
24,Rajasthan,Udaipur,77,5,10,200,1,106,498,715,989,88,194,NA,5696
25,Rajasthan,Banswara,28,NA,24,53,6,43,189,217,417,35,37,NA,1996
26,Rajasthan,Chittorgarh,33,2,13,162,1,63,321,547,570,47,161,NA,4134
27,Rajasthan,Dungarpur,17,3,NA,23,NA,6,62,133,189,6,3,NA,924
28,Rajasthan,G.R.P.,5,NA,1,4,4,13,6,944,25,9,9,NA,1201
1,Sikkam,North District,1,NA,NA,NA,NA,NA,4,4,NA,2,NA,NA,25
2,Sikkam,East District,4,NA,14,NA,NA,2,16,53,6,4,3,NA,160
3,Sikkam,West District,2,NA,NA,1,1,2,4,12,NA,NA,1,NA,39
4,Sikkam,South District,NA,NA,NA,NA,2,1,4,16,1,2,NA,NA,33
1,Tamil Nadu,Chingleput East,34,NA,22,43,16,36,919,1972,667,63,71,6,6715
2,Tamil Nadu,Chinglepat West,30,NA,9,25,4,13,525,1049,491,24,26,8,4462
3,Tamil Nadu,South Arcot,85,2,15,49,NA,21,849,1906,868,159,34,6,9161
4,Tamil Nadu,North Arcot,82,NA,19,30,8,16,936,2404,1050,68,83,20,8394
5,Tamil Nadu,Dharmapuri,55,NA,5,10,2,6,332,551,156,60,19,5,2229
6,Tamil Nadu,Salem,117,2,5,57,5,14,683,1103,669,61,70,4,5667
7,Tamil Nadu,Coimbatore Urban,46,NA,9,11,4,9,497,1366,321,58,98,5,4504
8,Tamil Nadu,Coimbatore Rural,53,NA,4,13,1,3,321,602,315,17,24,4,2809
9,Tamil Nadu,Periyar,75,NA,6,8,1,7,410,779,237,27,21,4,2016
10,Tamil Nadu,The Nilriris,13,NA,3,11,2,8,172,220,103,42,15,NA,1442
11,Tamil Nadu,Tiruchy,102,NA,11,50,2,28,95,2315,541,107,126,7,8869
12,Tamil Nadu,Tanjore East,49,NA,5,40,NA,3,631,1095,360,81,52,1,4851
13,Tamil Nadu,Tanjore West,59,1,7,35,NA,11,702,1459,445,62,47,11,6093
14,Tamil Nadu,Pudukkottai,27,1,6,31,1,3,301,412,381,37,25,3,2560
15,Tamil Nadu,Madurai South,69,1,10,37,2,14,414,1116,556,40,67,15,5004
16,Tamil Nadu,Madurai North,66,NA,13,39,NA,9,516,1252,751,44,47,7,5928
17,Tamil Nadu,Ramnad East,79,2,6,32,2,18,289,406,506,28,20,5,3618
18,Tamil Nadu,Ramnad West,43,3,4,15,5,15,217,654,141,15,11,5,3441
19,Tamil Nadu,Tirunelveli,149,1,17,52,5,55,735,1690,368,149,67,12,8852
20,Tamil Nadu,Kanyakummari,44,4,3,10,NA,6,336,507,486,2,12,13,2983
21,Tamil Nadu,"Railway Police, Trichy & Madras",NA,NA,1,NA,NA,1,3,206,26,2,1,1,381
22,Tamil Nadu,Madras City Police,33,14,22,42,3,76,645,6141,104,86,505,24,13818
23,Tamil Nadu,Railway Police/Madras,NA,NA,NA,NA,NA,1,3,361,25,12,10,NA,619
1,Tripura,South Tripura,29,NA,12,9,50,48,215,287,108,4,3,NA,1250
2,Tripura,West Tripura,57,NA,10,17,118,83,638,943,167,16,16,NA,3230
3,Tripura,North Tripura,25,1,4,13,60,69,322,241,99,22,11,NA,1420
1,Uttar Pradesh,Meerut,213,27,26,115,75,187,625,1759,249,126,104,NA,5378
2,Uttar Pradesh,Bulandshahre,150,34,30,55,108,133,567,1028,242,89,46,NA,3503
3,Uttar Pradesh,Muzaffaranagar,103,38,30,49,46,67,272,634,151,56,37,NA,2533
4,Uttar Pradesh,Saharanpur,103,43,15,65,29,81,360,841,129,86,50,2,3031
5,Uttar Pradesh,Ghaziabad,148,32,23,66,78,132,532,1596,254,141,90,NA,4423
6,Uttar Pradesh,Varanasi,119,42,14,58,188,94,546,1102,285,147,69,3,4506
7,Uttar Pradesh,Mirzapur,36,64,9,14,46,29,260,463,99,54,13,NA,1818
8,Uttar Pradesh,Ghazipur,38,19,3,14,83,18,199,255,67,28,14,1,1259
9,Uttar Pradesh,Jaunpur,48,23,7,23,68,27,296,399,152,44,34,NA,1866
10,Uttar Pradesh,Ballia,40,32,NA,15,36,16,235,397,91,29,11,NA,1552
11,Uttar Pradesh,Lucknow,129,28,17,116,64,197,1121,3327,254,241,229,2,7850
12,Uttar Pradesh,Sitapur,222,59,23,50,180,163,479,1118,154,64,30,NA,3401
13,Uttar Pradesh,Hardoi,131,58,28,78,77,221,572,813,152,54,40,NA,3252
14,Uttar Pradesh,khari,120,64,25,54,54,112,302,836,122,55,22,NA,2541
15,Uttar Pradesh,Rae Bareli,61,29,12,20,25,53,210,220,52,32,10,NA,1275
16,Uttar Pradesh,Unnao,145,19,15,32,79,97,424,462,112,30,20,2,2224
17,Uttar Pradesh,Kanpur Nagar,124,28,33,156,52,175,734,2175,228,302,281,20,5618
18,Uttar Pradesh,Kanpur Dehat,111,23,10,35,113,126,389,586,110,46,32,NA,2469
19,Uttar Pradesh,Fatehpur,113,76,21,28,83,107,436,360,81,42,33,NA,1915
20,Uttar Pradesh,Allahabad,209,59,25,81,150,166,696,1718,284,121,125,4,7041
21,Uttar Pradesh,Etawah,92,22,8,61,96,172,497,700,191,70,41,NA,2847
22,Uttar Pradesh,Farrukhabad,131,38,12,64,122,112,343,622,110,73,32,NA,2703
23,Uttar Pradesh,Bareilly,130,23,25,94,100,118,539,1567,131,109,75,NA,3188
24,Uttar Pradesh,Budaun,157,29,24,46,78,138,260,621,111,58,14,NA,2338
25,Uttar Pradesh,Pilibhit,73,10,8,20,32,44,168,265,24,26,22,NA,2773
26,Uttar Pradesh,Shahjahanpur,161,52,18,58,71,110,296,863,98,34,30,NA,2715
27,Uttar Pradesh,Agra,175,55,27,179,223,425,1180,2615,612,136,132,1,7822
28,Uttar Pradesh,Mathura,94,17,12,33,110,104,405,606,196,66,39,NA,2433
29,Uttar Pradesh,Etah,195,33,17,99,130,61,299,528,233,52,197,NA,2556
30,Uttar Pradesh,Aligarh,170,31,14,111,161,150,739,1308,289,116,97,1,4495
31,Uttar Pradesh,Mainpuri,168,17,14,65,116,224,469,640,230,48,35,NA,2942
32,Uttar Pradesh,Gorakhpur,136,25,27,69,160,126,616,1175,293,110,97,5,4550
33,Uttar Pradesh,Azamgarh,90,41,11,35,124,74,451,793,301,63,31,NA,3376
34,Uttar Pradesh,Basti,87,42,14,41,117,82,558,852,272,96,60,5,3522
35,Uttar Pradesh,Deoria,84,33,10,39,57,51,356,489,119,68,33,3,2386
36,Uttar Pradesh,Faizabad,101,34,14,46,77,88,617,1064,275,99,37,2,3501
37,Uttar Pradesh,Bahraich,73,23,11,92,94,90,505,948,210,81,49,NA,2957
38,Uttar Pradesh,Barabanki,111,26,10,24,71,88,507,399,115,42,28,5,2101
39,Uttar Pradesh,Gonda,158,52,15,50,94,145,549,954,156,79,88,NA,3236
40,Uttar Pradesh,Pratapgarh,69,37,12,36,58,76,373,450,201,46,35,1,2089
41,Uttar Pradesh,Sultanpur,50,51,12,28,61,66,393,527,171,56,33,NA,3690
42,Uttar Pradesh,Jhansi,43,18,19,27,23,98,280,587,162,57,29,NA,2071
43,Uttar Pradesh,Banda,124,32,21,24,76,154,340,338,114,30,29,1,1876
44,Uttar Pradesh,Hamirpur,93,25,7,6,54,49,234,298,57,24,16,NA,1322
45,Uttar Pradesh,Jalaun,62,10,13,12,31,78,272,380,77,46,23,NA,1596
46,Uttar Pradesh,Lalitpur,16,7,13,29,13,NA,27,15,53,170,1,NA,696
47,Uttar Pradesh,Nainital,43,21,11,44,21,74,341,761,135,73,40,NA,2285
48,Uttar Pradesh,Almora,18,3,2,8,2,28,49,40,17,10,5,NA,333
49,Uttar Pradesh,Pithoragarh,5,3,8,4,NA,18,40,138,22,8,4,1,389
50,Uttar Pradesh,Dehradun,30,6,1,47,5,41,200,336,74,47,26,1,1295
51,Uttar Pradesh,Uttarkashi,9,NA,3,6,NA,NA,58,48,45,4,9,NA,272
52,Uttar Pradesh,Tehri Garhwal,7,3,2,9,5,15,66,93,42,14,4,NA,401
53,Uttar Pradesh,Chamoli,7,1,2,3,2,14,54,46,17,3,4,NA,226
54,Uttar Pradesh,Pauri Garhwal,5,NA,NA,3,3,12,48,48,6,14,12,NA,203
55,Uttar Pradesh,Moradabad,244,25,33,86,88,262,611,2645,351,153,83,1,6100
56,Uttar Pradesh,Bijnor,88,41,28,49,36,64,325,635,161,59,34,NA,2287
57,Uttar Pradesh,Rampur,57,9,8,31,27,54,157,440,45,26,25,NA,1544
58,Uttar Pradesh,Govt. Railway Police,33,10,4,32,38,104,27,5081,32,143,127,1,6355
1,West Bengal,Bankura,56,15,22,18,53,49,4,940,557,11,5,NA,1878
2,West Bengal,Birbhum,49,25,22,18,53,50,109,752,491,19,24,NA,2268
3,West Bengal,Burdwan,165,65,26,97,141,128,153,2654,864,53,75,1,6574
4,West Bengal,Hooghly,72,47,36,75,101,89,176,1662,797,81,80,1,5031
5,West Bengal,Purulia,46,10,8,17,51,33,76,967,428,31,10,NA,2520
6,West Bengal,24 Parganas,192,78,99,269,173,177,755,7570,2403,193,218,18,18560
7,West Bengal,Murshidabad,114,35,23,40,62,45,83,1076,679,22,32,NA,4028
8,West Bengal,Nadia,84,42,66,82,90,47,101,1899,731,50,29,NA,4504
9,West Bengal,West Dinajpur,77,104,28,17,122,126,266,1310,584,25,9,NA,3232
10,West Bengal,Jalpaiguri,81,37,25,30,72,58,179,1378,267,26,26,NA,3303
11,West Bengal,Malda,59,35,14,27,28,11,62,424,355,17,8,2,1619
12,West Bengal,Darjeeling,46,19,10,17,11,26,65,855,112,56,20,1,2078
13,West Bengal,Coochbehar,34,23,17,27,33,39,195,485,225,21,14,NA,2238
14,West Bengal,Howrah,59,24,16,42,57,48,102,1255,470,127,58,3,3732
15,West Bengal,Midnapur,98,46,31,46,101,53,425,1861,1159,138,55,NA,5612
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,12,1,4,3,NA,6,50,164,42,10,13,NA,755
1,Arunachal Pradesh,West Kameng,4,NA,1,4,NA,1,21,25,4,1,2,1,136
2,Arunachal Pradesh,East Kameng,2,NA,NA,NA,NA,NA,7,4,NA,1,NA,NA,32
3,Arunachal Pradesh,Lower Subansiri,7,NA,1,3,1,3,35,36,NA,1,1,NA,196
4,Arunachal Pradesh,Upper Subansiri,2,NA,NA,NA,NA,2,5,11,2,NA,NA,NA,46
5,Arunachal Pradesh,West Siang,4,NA,1,NA,NA,1,11,27,6,5,2,NA,131
6,Arunachal Pradesh,East Siang,5,2,4,3,1,2,17,37,1,2,3,NA,188
7,Arunachal Pradesh,Dibang Valley,2,NA,NA,1,NA,4,2,25,1,NA,NA,NA,80
8,Arunachal Pradesh,Lohit,4,NA,NA,1,3,2,11,30,1,NA,NA,NA,98
9,Arunachal Pradesh,Tirap,4,3,1,5,2,2,22,42,4,3,1,NA,180
1,Chandigarh,U.T. Chandigarh,19,7,3,23,NA,11,140,735,19,43,64,2,1612
1,Dadar & Nagar Haveli,U.T. Dadar & Nagar Haveli,7,NA,1,2,2,4,36,25,5,6,5,NA,205
1,Delhi,North District,48,57,22,155,6,56,313,3399,52,192,152,2,6692
2,Delhi,Central District,33,51,11,148,1,27,223,2004,29,54,149,6,4328
3,Delhi,East District,47,26,16,174,8,34,258,1121,21,23,55,NA,2976
4,Delhi,New Delhi District,6,5,2,28,1,9,99,1701,10,25,128,11,2880
5,Delhi,South District,54,44,20,135,11,59,466,3553,45,53,146,2,7072
6,Delhi,West District,50,43,8,118,2,24,141,894,15,29,53,2,2902
7,Delhi,Crime & Railways,7,NA,NA,1,NA,2,NA,308,1,4,12,2,389
8,Delhi,Palam Airport,NA,NA,NA,NA,NA,NA,3,48,NA,4,57,1,121
1,Daman & Diu,Goa,19,4,11,12,3,43,530,788,223,42,51,5,2838
2,Daman & Diu,Daman,NA,1,NA,4,NA,1,6,17,8,1,1,NA,87
3,Daman & Diu,Diu,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,11
1,Lakshadweep,Lakshadweep,NA,NA,1,NA,NA,NA,1,6,1,1,NA,NA,18
1,Mizoram,Aizawl,18,5,23,5,2,14,63,183,1,18,24,3,1050
2,Mizoram,Lunglei,NA,1,11,3,NA,2,8,40,NA,17,3,1,333
3,Mizoram,Chimtuipui,4,1,4,3,1,7,10,39,NA,18,7,1,313
1,Pondicherry,Pondicherry,11,NA,7,12,2,9,196,779,96,34,27,NA,2298
