SI.No,States / UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft Total,Theft Auto Theft,Theft Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
4,Himachal Pradesh,Hamirpur,8,3,2,6,8,6,2,0,0,2,55,31,4,27,23,5,12,0,11,234,0,10,1,29,0,178,618
5,Himachal Pradesh,Kangra,30,20,1,12,26,10,16,0,0,1,179,89,26,63,107,6,17,2,34,287,1,30,7,61,0,1139,2049
6,Himachal Pradesh,Kinnaur,4,1,0,5,1,1,0,1,0,0,30,20,4,16,13,2,3,0,2,12,0,5,0,3,0,97,199
7,Himachal Pradesh,Kullu,12,6,0,2,6,6,0,0,0,0,54,23,7,16,29,1,4,0,7,46,0,13,0,6,0,479,688
8,Himachal Pradesh,Lahaul-Spiti,2,0,0,0,1,1,0,0,0,0,2,4,0,4,1,1,0,0,2,3,0,1,0,0,0,20,37
9,Himachal Pradesh,Mandi,17,7,0,13,8,6,2,0,0,2,93,47,13,34,52,8,17,0,45,214,0,43,7,46,0,899,1518
10,Himachal Pradesh,Shimla,23,8,1,33,26,17,9,1,0,6,202,167,45,122,125,10,39,1,11,94,0,56,0,21,0,917,1741
11,Himachal Pradesh,Sirmaur,7,10,0,7,14,12,2,1,0,1,33,43,13,30,77,5,18,0,9,57,0,44,2,21,0,502,851
12,Himachal Pradesh,Solan,12,7,0,8,11,11,0,1,0,2,114,91,19,72,57,16,17,1,14,352,0,25,0,25,0,370,1123
13,Himachal Pradesh,UNA,8,8,0,9,6,5,1,0,0,2,62,80,16,64,61,1,7,0,24,125,2,12,0,14,0,499,920
14,Himachal Pradesh,Total,133,79,7,109,126,89,37,4,0,17,960,658,158,500,589,69,144,4,203,1616,5,297,23,258,0,5776,11077
1,Jammu Kashmir,Anantnag,90,7,1,5,58,9,49,4,0,10,102,75,16,59,27,10,26,1,61,19,0,50,7,0,0,280,833
2,Jammu Kashmir,Awantipora,20,4,0,4,14,11,3,3,0,1,19,29,6,23,23,0,4,0,12,4,0,11,2,0,0,227,377
3,Jammu Kashmir,Badgam,29,17,3,11,33,33,0,3,0,3,43,98,21,77,88,1,11,1,18,3,0,22,13,0,0,220,617
4,Jammu Kashmir,Baramulla,134,117,2,14,95,82,13,7,0,19,168,254,53,201,182,11,32,0,41,34,0,110,12,0,0,618,1850
5,Jammu Kashmir,Border,24,64,0,17,28,28,0,0,0,2,62,60,13,47,6,6,10,0,0,41,0,14,15,0,0,1063,1412
6,Jammu Kashmir,Crime Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16
7,Jammu Kashmir,Crime Srinagar,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,14
8,Jammu Kashmir,Doda,24,31,0,13,21,21,0,2,0,1,50,56,12,44,17,7,14,0,25,23,0,11,6,0,0,611,912
9,Jammu Kashmir,Ganderbal,6,7,0,1,29,29,0,0,0,1,21,55,12,43,56,1,3,0,13,6,0,24,0,0,0,80,303
10,Jammu Kashmir,Jammu,33,57,6,6,57,57,0,1,0,1,187,354,74,280,54,10,54,6,0,64,6,17,97,26,0,1621,2657
11,Jammu Kashmir,Kargil,0,2,0,0,1,1,0,0,0,0,7,5,1,4,12,1,0,0,0,0,0,3,0,0,0,72,103
12,Jammu Kashmir,Kathua,3,14,2,10,9,7,2,1,0,2,40,40,8,32,29,4,16,0,4,32,0,7,10,4,0,465,692
13,Jammu Kashmir,Kulgam,27,8,1,6,33,4,29,0,0,15,38,31,7,24,38,6,11,0,30,15,0,6,3,0,0,169,437
14,Jammu Kashmir,Kupwara,116,192,0,6,34,30,4,0,0,4,40,52,11,41,54,8,23,0,41,11,0,51,3,0,0,168,803
15,Jammu Kashmir,Leh,2,1,0,1,1,1,0,0,0,0,6,11,2,9,8,0,7,0,0,1,0,0,0,0,0,120,158
16,Jammu Kashmir,Poonch,76,100,1,5,16,16,0,0,0,0,13,40,8,32,16,1,6,0,17,29,0,4,3,2,0,222,551
17,Jammu Kashmir,Pulwama,25,70,0,15,58,58,0,7,0,15,63,121,25,96,128,9,15,2,37,10,0,31,7,0,0,136,749
18,Jammu Kashmir,Railways,1,0,2,0,0,0,0,0,0,0,4,2,0,2,0,1,0,0,0,0,0,0,1,0,0,11,22
19,Jammu Kashmir,Rajouri,69,23,0,15,21,21,0,0,0,4,21,20,4,16,0,2,9,0,0,21,0,6,6,0,0,553,770
20,Jammu Kashmir,Srinagar,12,47,8,16,92,50,42,8,0,44,362,301,64,237,102,18,69,1,89,11,0,110,149,0,0,940,2379
21,Jammu Kashmir,Udhampur,71,124,0,25,23,15,8,4,0,4,48,128,27,101,29,15,7,0,37,28,0,30,7,7,0,861,1448
22,Jammu Kashmir,Total,765,885,26,170,623,473,150,40,0,126,1294,1732,364,1368,869,112,343,11,425,352,6,507,341,39,0,8437,17103
1,Karnataka,Bagalkot,48,21,3,1,6,1,5,6,0,3,73,107,22,85,212,2,40,1,8,371,3,61,2,46,0,738,1752
2,Karnataka,Bangalore Commr.,203,349,2,29,158,65,93,66,0,451,2968,7451,2584,4867,329,215,1351,25,7,3721,49,219,52,198,0,10124,27967
3,Karnataka,Bangalore Rural,137,90,1,15,37,27,10,16,0,45,463,621,89,532,511,27,46,0,27,1293,24,65,0,89,0,1984,5491
4,Karnataka,Belgaum,130,66,3,10,54,27,27,16,0,42,220,383,75,308,453,23,111,5,26,1093,7,67,0,129,0,2347,5185
5,Karnataka,Bellary,44,19,2,13,23,18,5,18,0,18,224,250,48,202,201,10,24,2,7,720,2,61,2,42,0,1143,2825
6,Karnataka,Bidar,35,65,0,2,14,8,6,10,0,14,160,160,18,142,133,2,22,1,26,973,5,40,7,60,0,1681,3410
7,Karnataka,Bijapur,54,61,4,11,25,25,0,28,0,19,123,191,32,159,325,14,43,1,22,669,3,54,0,75,0,880,2602
8,Karnataka,Chamaranjnagar,33,22,0,9,10,4,6,4,0,7,103,119,6,113,109,3,7,0,0,491,2,22,0,12,0,451,1404
9,Karnataka,Chickmagalur,43,31,2,11,13,7,6,3,0,6,124,163,31,132,158,3,6,1,2,759,5,29,1,46,0,968,2374
10,Karnataka,ChitraDurga,35,22,6,11,15,9,6,7,0,14,229,213,48,165,430,10,18,5,0,845,4,72,0,30,0,1362,3328
11,Karnataka,Dakshin Kannada,36,69,0,6,5,4,1,5,0,20,203,208,86,122,343,9,33,9,32,468,1,14,1,19,0,1700,3181
12,Karnataka,Davanagere,42,26,3,12,16,9,7,7,0,21,292,282,57,225,275,8,44,1,0,635,9,65,1,58,0,1095,2892
13,Karnataka,Dharwad Commr.,21,23,1,4,11,10,1,6,0,20,166,245,65,180,95,11,103,2,3,195,5,6,0,23,0,947,1887
14,Karnataka,Dharwad Rural,36,17,3,1,6,1,5,2,0,6,20,50,2,48,129,2,6,0,3,169,3,24,0,6,0,459,942
15,Karnataka,Gadag,28,15,2,4,2,1,1,3,0,10,57,53,9,44,92,5,22,0,1,165,6,9,0,14,0,343,831
16,Karnataka,Gulbarga,123,210,1,20,49,0,49,17,0,94,410,443,72,371,631,22,59,1,30,1548,5,147,0,122,0,1710,5642
17,Karnataka,Hassan,73,75,0,17,17,0,17,5,0,18,277,378,67,311,336,10,33,0,30,1541,7,55,0,44,0,1702,4618
18,Karnataka,Haveri,26,28,4,3,11,6,5,4,0,3,76,91,17,74,246,5,28,3,0,323,5,33,0,16,0,913,1818
19,Karnataka,K.G.F.,10,8,2,4,8,8,0,1,0,15,69,118,22,96,94,0,3,0,2,303,4,10,7,15,0,273,946
20,Karnataka,Kodagu,31,37,0,11,4,0,4,3,0,8,181,197,41,156,71,4,19,1,5,734,2,26,0,19,0,672,2025
21,Karnataka,Kolar,79,105,4,16,34,29,5,8,0,20,349,534,98,436,729,25,47,2,4,944,12,67,2,63,0,1523,4567
22,Karnataka,Koppal,28,6,0,9,6,6,0,10,0,2,98,96,4,92,178,8,14,1,0,291,1,27,0,23,0,569,1367
23,Karnataka,Mandya,59,30,0,12,17,0,17,3,0,13,192,197,24,173,226,8,22,2,0,1051,8,42,0,61,0,1541,3484
24,Karnataka,Mysore Commr.,18,72,0,15,8,1,7,1,0,46,141,428,120,308,30,18,43,3,0,240,13,17,0,54,0,841,1988
25,Karnataka,Mysore Rural,46,37,0,13,13,10,3,2,0,7,166,196,13,183,204,4,13,0,0,980,13,60,66,62,0,910,2792
26,Karnataka,Raichur,52,46,3,8,20,20,0,17,0,14,138,118,23,95,248,10,21,1,15,510,1,34,3,44,0,669,1972
27,Karnataka,Railways,9,3,0,1,1,0,1,0,0,12,2,308,5,303,40,0,5,5,0,31,0,2,0,2,0,135,556
28,Karnataka,Shimoga,45,27,0,14,14,13,1,2,0,19,212,322,76,246,173,6,21,3,11,977,7,35,0,108,0,1536,3532
29,Karnataka,Tumkur,83,52,4,10,17,1,16,10,0,33,370,477,79,398,322,25,32,2,10,1394,8,91,1,25,0,1794,4760
30,Karnataka,Udupi,16,8,1,7,4,1,3,4,0,10,131,85,28,57,122,3,19,2,3,345,0,28,0,17,0,1035,1840
31,Karnataka,Uttar Kannada,28,22,0,2,12,9,3,0,0,17,132,108,25,83,124,7,15,2,4,509,3,19,2,38,0,1537,2581
32,Karnataka,Total,1651,1662,51,301,630,320,310,284,0,1027,8369,14592,3886,10706,7569,499,2270,81,278,24288,217,1501,147,1560,0,43582,110559
1,Kerala,Alappuzha,17,17,5,4,11,7,4,6,0,9,241,148,44,104,336,22,108,4,15,1258,2,117,2,89,0,4358,6769
2,Kerala,CBCID,33,7,6,1,2,2,0,0,1,2,3,7,1,6,10,5,18,86,6,1,4,1,0,7,0,23,223
3,Kerala,Ernakulam,37,55,12,34,17,11,6,13,0,45,434,643,232,411,560,44,247,6,23,1614,3,136,5,167,0,8436,12531
4,Kerala,Idukki,37,25,3,23,0,0,0,2,0,9,299,232,30,202,240,25,94,6,25,1668,1,119,4,106,0,2049,4967
5,Kerala,Kannur,34,70,2,25,21,11,10,5,0,15,338,218,62,156,689,15,137,9,2,1165,3,85,1,168,0,2471,5473
6,Kerala,Kasargod,14,21,1,27,9,4,5,3,0,7,123,132,54,78,339,21,106,2,0,595,0,0,0,108,0,1184,2692
7,Kerala,Kollam,37,41,12,33,25,18,7,6,0,25,242,228,73,155,378,19,115,6,57,1866,4,248,0,289,0,4079,7710
8,Kerala,Kottayam,31,26,2,20,16,10,6,5,0,44,326,244,71,173,349,44,226,3,8,1273,0,94,5,98,0,3494,6308
9,Kerala,Kozhikode,20,25,10,57,19,16,3,1,0,27,445,456,146,310,778,29,325,3,65,1300,6,127,10,322,0,3937,7962
10,Kerala,Malappuram,31,21,5,44,17,4,10,8,0,13,269,308,144,164,536,71,238,1,28,910,3,22,3,377,0,4675,7577
11,Kerala,Palakkad,40,30,9,57,12,9,3,12,0,32,493,399,102,297,656,56,165,4,80,2033,0,121,2,235,0,2728,7164
12,Kerala,Pathanamthitta,29,22,0,10,0,0,0,5,0,8,176,134,64,70,190,15,76,1,18,1058,1,94,0,60,0,2311,4208
13,Kerala,Railways,1,0,0,0,0,0,0,3,0,1,2,133,6,127,20,0,1,0,0,11,0,1,0,0,0,28,201
14,Kerala,Thrissur,47,65,11,27,17,11,6,16,0,35,462,379,155,224,643,19,395,4,3,1254,0,191,14,160,0,5160,8902
15,Kerala,Trivandrum,65,58,11,33,25,20,5,27,4,85,560,505,148,357,761,44,377,4,57,2219,3,221,3,233,0,4434,9729
16,Kerala,Wayanadu,11,15,2,28,0,0,0,0,0,13,92,125,22,103,125,11,38,4,3,437,1,66,1,69,0,991,2032
17,Kerala,Total,484,498,91,423,188,123,65,112,5,370,4505,4291,1354,2937,6610,440,2666,143,390,18662,31,1643,50,2488,0,50358,94448
1,Madhya Pradesh,Balaghat,78,64,12,120,7,7,0,3,0,21,265,210,17,193,44,7,22,0,17,560,5,213,9,75,0,1069,2801
2,Madhya Pradesh,Barwani,45,37,5,52,21,21,0,5,2,22,139,240,26,214,51,4,14,0,19,52,8,101,7,25,0,1822,2671
3,Madhya Pradesh,Bastar,99,39,1,47,8,8,0,2,0,28,168,182,30,152,40,8,30,0,11,363,1,54,7,12,0,887,1987
4,Madhya Pradesh,Betul,57,45,0,67,36,36,0,1,0,15,249,255,18,237,39,5,13,0,15,347,4,139,7,69,0,1264,2627
5,Madhya Pradesh,Bhind,71,113,1,15,74,13,61,5,2,35,266,299,24,275,113,11,31,1,17,767,27,83,0,28,0,1812,3771
6,Madhya Pradesh,Bhopal,65,125,0,69,41,35,6,1,0,96,760,1262,361,901,82,34,153,17,16,752,11,181,28,73,0,7714,11480
7,Madhya Pradesh,Bhopal Rly.,2,8,0,5,2,1,1,3,0,25,8,712,10,702,6,0,4,0,0,1,1,5,1,2,0,255,1040
8,Madhya Pradesh,Bilaspur,48,22,5,58,12,10,2,4,3,22,544,536,74,462,117,21,50,0,22,150,15,133,9,82,0,2207,4060
9,Madhya Pradesh,Chhatarpur,58,48,0,61,18,12,6,1,5,32,225,234,25,209,108,7,29,1,28,447,22,151,4,36,0,1404,2919
10,Madhya Pradesh,Chhindwara,83,74,11,92,10,10,0,2,2,18,206,234,30,204,29,15,49,0,13,983,17,199,40,70,0,1309,3456
11,Madhya Pradesh,Damoh,53,49,0,46,9,6,3,1,3,15,114,158,3,155,34,2,8,0,8,771,33,156,0,47,0,983,2490
12,Madhya Pradesh,Dantewada,103,50,1,22,6,6,0,13,1,10,74,83,6,77,31,4,9,0,9,119,0,28,1,4,0,355,923
13,Madhya Pradesh,Datiya,49,54,0,23,31,13,18,4,14,20,123,156,15,141,25,5,20,0,16,382,9,59,0,30,0,975,1977
14,Madhya Pradesh,Dewas,42,67,0,49,19,13,6,3,3,29,317,617,90,527,96,12,24,1,24,512,10,141,39,61,0,2418,4484
15,Madhya Pradesh,Dhamtari,12,10,1,21,4,2,2,1,0,3,114,135,13,122,21,3,13,0,2,82,1,48,1,12,0,455,939
16,Madhya Pradesh,Dhar,88,53,0,84,29,23,6,4,10,41,365,630,57,573,46,29,29,0,25,717,6,145,14,68,0,2357,4740
17,Madhya Pradesh,Dindori,19,6,0,19,2,2,0,1,0,1,58,45,2,43,6,6,6,0,2,130,0,38,0,9,0,269,617
18,Madhya Pradesh,Durg,65,72,0,129,39,26,13,1,1,79,969,1105,224,881,75,21,87,2,24,530,12,260,34,118,0,3283,6906
19,Madhya Pradesh,Guna,62,65,19,123,19,18,1,1,1,36,378,389,37,352,116,5,39,0,44,1478,4,293,21,90,0,2066,5249
20,Madhya Pradesh,Gwalior,107,135,1,66,58,44,14,3,10,102,903,1231,272,959,114,21,72,1,24,1078,27,144,7,83,0,3915,8102
21,Madhya Pradesh,Harda,16,9,0,26,2,2,0,0,0,6,73,78,9,69,22,0,5,0,4,119,1,43,12,7,0,320,743
22,Madhya Pradesh,Hoshangabad,42,74,0,31,15,10,5,2,0,27,298,376,34,342,37,7,37,1,5,512,10,100,6,14,0,1007,2601
23,Madhya Pradesh,Indore,136,113,2,60,51,45,6,4,9,54,837,2464,1091,1373,72,48,157,7,25,1428,29,151,24,179,0,5257,11107
24,Madhya Pradesh,Indore Rly.,11,1,0,2,3,3,0,0,1,6,5,172,0,172,0,1,4,0,0,7,0,5,1,0,0,96,315
25,Madhya Pradesh,Jabalpur,66,128,55,90,19,11,8,1,1,79,625,844,241,603,77,19,89,0,21,2017,34,199,55,141,0,3398,7958
26,Madhya Pradesh,Jabalpur Rly.,2,3,1,0,1,1,0,0,2,8,1,188,0,188,1,3,2,0,0,8,0,3,0,0,0,79,302
27,Madhya Pradesh,Janjgir,31,16,5,48,15,13,2,3,0,18,245,260,19,241,72,4,22,1,25,301,4,95,10,58,0,637,1870
28,Madhya Pradesh,Jashpur,33,18,1,36,3,2,1,1,0,8,116,61,7,54,7,4,7,0,6,139,2,49,8,11,0,295,805
29,Madhya Pradesh,Jhabua,187,195,4,42,86,84,2,10,3,40,170,326,15,311,67,3,11,0,80,869,0,101,8,30,0,1243,3475
30,Madhya Pradesh,Kanker,47,11,3,28,3,0,3,1,0,7,55,46,8,38,10,0,11,0,9,121,1,37,3,9,0,321,723
31,Madhya Pradesh,Katni,24,16,2,31,5,3,2,1,3,12,175,147,18,129,27,0,12,0,5,500,11,95,17,67,0,861,2011
32,Madhya Pradesh,Kawardha,23,14,1,21,0,0,0,2,0,6,87,68,1,67,9,13,16,0,7,65,1,53,5,11,0,350,752
33,Madhya Pradesh,Khandwa,58,44,0,56,28,27,1,1,0,12,318,370,44,326,55,13,23,0,15,107,19,186,21,51,0,2181,3558
34,Madhya Pradesh,Khargon,49,56,2,67,23,21,2,9,0,39,240,493,16,477,87,26,22,0,19,134,12,196,14,43,0,3098,4629
35,Madhya Pradesh,Korba,27,13,0,41,6,5,1,0,2,8,277,314,46,268,24,0,58,0,7,145,5,68,9,21,0,995,2020
36,Madhya Pradesh,Koriya,23,9,7,50,6,6,0,3,0,12,233,143,11,132,22,8,12,1,6,271,3,97,0,15,0,597,1518
37,Madhya Pradesh,Mahasamund,17,17,0,27,6,6,0,1,0,7,138,141,12,129,18,1,12,0,6,174,6,68,5,20,0,548,1212
38,Madhya Pradesh,Mandla,25,16,0,63,4,4,0,2,1,10,134,130,15,115,7,6,21,0,12,431,2,154,16,54,0,951,2039
39,Madhya Pradesh,Mandsaur,29,34,3,26,16,6,10,2,1,25,313,485,60,425,46,27,26,0,35,284,3,114,9,40,0,1312,2830
40,Madhya Pradesh,Muraina,59,77,2,37,25,11,14,3,10,31,252,410,34,376,129,13,8,0,11,144,32,61,0,30,0,2900,4234
41,Madhya Pradesh,Narasinghpur,27,26,0,32,6,6,0,2,1,12,194,131,32,99,11,25,14,0,20,416,4,134,6,50,0,920,2031
42,Madhya Pradesh,Neemuch,15,17,5,35,14,7,7,0,3,11,227,381,54,327,54,37,36,0,7,262,2,47,9,23,0,714,1899
43,Madhya Pradesh,Panna,22,23,1,32,10,9,1,0,1,6,142,112,7,105,23,2,9,0,12,49,5,76,3,15,0,969,1512
44,Madhya Pradesh,Raigarh,50,23,0,32,12,12,0,1,0,9,193,203,30,173,65,25,23,0,10,246,10,70,3,16,0,625,1619
45,Madhya Pradesh,Raipur,81,66,0,101,37,37,0,4,1,47,671,765,197,568,62,33,119,8,21,481,0,151,43,38,0,2553,5282
46,Madhya Pradesh,Raipur Rly.,6,2,0,2,4,4,0,0,0,4,12,253,6,247,10,0,2,0,0,1,0,6,2,2,0,120,426
47,Madhya Pradesh,Raisen,59,64,2,88,10,8,2,2,1,20,288,204,22,182,57,8,18,0,12,73,10,180,16,79,0,1975,3166
48,Madhya Pradesh,Rajgarh,45,52,0,88,11,11,0,2,4,25,202,303,31,272,124,9,14,0,30,609,2,189,22,42,0,1410,3183
49,Madhya Pradesh,Rajnandgaon,49,30,0,80,15,13,2,1,1,29,304,239,23,216,22,13,38,0,12,159,3,110,13,45,0,1345,2508
50,Madhya Pradesh,Ratlam,55,39,0,57,8,6,2,5,9,13,178,263,58,205,39,21,26,2,6,536,2,123,24,23,0,1419,2848
51,Madhya Pradesh,Riwa,38,51,0,34,25,22,3,3,1,35,609,392,69,323,70,6,30,0,17,561,17,99,0,55,0,1983,4026
52,Madhya Pradesh,Sagar,64,80,1,169,28,26,2,3,2,43,460,474,3,471,106,55,40,0,39,2708,26,513,6,126,0,3095,8038
53,Madhya Pradesh,Sarguja,76,51,1,146,38,38,0,13,2,32,413,329,27,302,67,10,22,0,20,296,3,249,6,61,0,1267,3102
54,Madhya Pradesh,Satna,63,56,4,71,15,8,7,6,3,48,545,495,22,473,78,9,26,0,32,763,14,177,5,83,0,2139,4632
55,Madhya Pradesh,Shahdol,69,52,3,67,21,21,0,3,3,41,488,444,34,410,48,10,33,0,27,463,18,230,11,111,0,2014,4156
56,Madhya Pradesh,Shajapur,28,37,2,75,16,11,5,6,8,31,214,436,50,386,61,5,30,0,26,811,8,152,11,39,0,1017,3013
57,Madhya Pradesh,Sheopur,19,28,2,18,20,10,10,1,1,6,65,62,43,19,32,1,1,0,3,364,2,63,1,10,0,483,1182
58,Madhya Pradesh,Shivpuri,64,60,0,97,26,18,8,7,7,45,300,313,262,51,112,6,21,0,80,532,12,178,1,45,0,2215,4121
59,Madhya Pradesh,Sidhi,47,20,0,40,14,14,0,1,4,28,327,233,14,219,27,2,29,0,10,410,19,140,0,76,0,1811,3238
60,Madhya Pradesh,Sihore,33,64,16,87,36,34,2,4,0,18,205,318,28,290,44,16,16,1,23,77,3,125,11,57,0,1955,3109
61,Madhya Pradesh,Sivni,31,19,2,45,7,6,1,1,0,7,118,125,17,108,27,2,19,0,8,397,8,71,2,11,0,947,1847
62,Madhya Pradesh,Tikamgarh,36,32,3,53,15,11,4,2,1,24,127,119,27,92,72,2,15,0,30,689,9,118,1,42,0,860,2250
63,Madhya Pradesh,Ujjain,79,124,1,59,35,30,5,5,11,68,767,1077,204,873,106,42,46,0,27,763,13,128,17,86,0,3179,6633
64,Madhya Pradesh,Umariya,14,11,0,9,3,3,0,0,0,14,124,89,6,83,18,0,12,0,8,114,0,50,1,26,0,539,1032
65,Madhya Pradesh,Vidisha,44,55,1,91,15,11,4,0,0,17,168,265,52,213,41,6,31,0,31,753,6,229,27,56,0,1334,3170
66,Madhya Pradesh,Total,3225,3082,189,3561,1203,942,261,177,154,1698,18178,24254,4333,19921,3358,761,1927,44,1145,30530,584,8054,693,3012,0,100135,205964
1,Maharashtra,Ahmednagar,87,34,3,24,16,13,3,15,2,69,329,714,116,598,182,42,59,0,34,650,0,61,0,529,0,1380,4230
2,Maharashtra,Akola,68,41,0,20,28,27,1,8,0,25,376,855,145,710,82,26,32,1,45,778,4,67,11,225,0,1407,4099
3,Maharashtra,Amravati Commr.,23,21,2,16,22,19,3,5,5,57,301,705,1,704,71,17,32,4,15,419,2,19,18,79,0,660,2493
4,Maharashtra,Amravati Rural,84,33,2,88,31,27,4,13,1,38,550,1425,19,1406,122,30,34,0,70,891,2,166,30,226,0,1337,5173
5,Maharashtra,Aurangabad Commr.,35,27,0,11,8,5,3,1,1,25,261,399,115,284,84,16,63,0,4,314,4,30,5,112,0,773,2173
6,Maharashtra,Aurangabad Rural,50,12,0,17,10,6,4,6,1,39,194,269,16,253,110,12,34,1,54,859,9,58,6,363,0,889,2993
7,Maharashtra,Beed,72,38,1,30,25,14,11,18,3,98,288,578,41,537,208,19,23,0,46,903,5,60,7,179,0,1049,3650
8,Maharashtra,Bhandara,39,18,6,28,12,12,0,4,1,14,211,409,8,401,38,7,23,3,49,445,7,73,35,110,0,779,2311
9,Maharashtra,Buldhana,57,44,1,27,23,20,3,3,5,14,132,593,34,559,69,31,30,0,63,638,7,96,20,250,0,1052,3155
10,Maharashtra,Chandrapur,54,27,1,44,31,30,1,6,0,28,248,572,64,508,109,38,69,1,36,588,1,111,10,230,0,1456,3660
11,Maharashtra,Dhule,50,22,1,11,12,9,3,12,1,20,206,426,84,342,89,29,47,1,19,401,45,19,7,213,0,829,2460
12,Maharashtra,Gadchiroli,52,12,0,19,13,0,13,5,0,11,111,126,2,124,33,8,17,1,56,244,1,68,15,67,0,466,1325
13,Maharashtra,Gondia,44,7,1,35,23,23,0,4,1,19,284,465,0,465,17,14,40,2,34,455,5,96,15,103,0,723,2387
14,Maharashtra,Hingoli,32,15,1,17,8,8,0,2,0,27,100,170,16,154,50,5,16,0,23,402,6,32,12,130,0,425,1473
15,Maharashtra,Jalgaon,104,45,0,38,15,11,4,15,1,42,265,628,78,550,117,56,99,2,21,682,6,70,25,393,0,1595,4219
16,Maharashtra,Jalna,40,20,0,14,11,9,2,13,0,45,196,485,40,445,91,18,34,1,22,622,5,59,10,190,0,743,2619
17,Maharashtra,Kolhapur,63,34,11,34,23,14,9,9,2,29,295,440,164,276,118,39,33,1,19,623,53,31,11,114,0,1353,3335
18,Maharashtra,Latur,57,13,0,6,32,32,0,8,0,40,178,385,50,335,103,25,39,1,49,1065,60,45,5,164,0,1074,3349
19,Maharashtra,Mumbai,340,184,4,141,189,30,159,74,81,549,2763,11755,3021,8734,200,407,1264,66,1,3560,60,243,36,237,0,7252,29406
20,Maharashtra,Mumbai Rly.,12,7,1,6,3,1,2,6,0,65,7,3513,2,3511,22,32,36,4,0,66,0,6,0,0,0,151,3937
21,Maharashtra,Nagpur Commr.,135,86,1,42,68,56,12,21,63,200,1370,2391,675,1716,135,84,248,17,24,1094,4,112,52,189,0,3173,9509
22,Maharashtra,Nagpur Rly.,7,4,0,4,0,0,0,8,1,29,3,1023,11,1012,12,10,11,3,0,20,0,4,0,0,0,116,1255
23,Maharashtra,Nagpur Rural,105,34,1,47,20,15,5,7,2,74,362,1153,36,1117,144,20,54,1,47,921,8,102,41,137,0,2318,5598
24,Maharashtra,Nanded,69,58,0,30,33,30,3,32,0,109,333,708,77,631,148,30,83,3,70,1264,21,79,16,241,0,1716,5043
25,Maharashtra,Nandurbar,49,17,1,19,7,4,3,2,0,4,109,129,19,110,82,17,21,0,2,274,3,31,6,50,0,359,1182
26,Maharashtra,Nasik Commr.,33,17,0,8,8,3,5,8,1,15,370,641,172,469,84,27,48,2,1,235,6,13,14,86,0,704,2321
27,Maharashtra,Nasik Rural,98,17,1,24,15,8,7,10,1,28,267,410,55,355,210,40,31,0,20,737,9,50,18,368,0,1630,3984
28,Maharashtra,Navi Mumbai,41,14,0,21,28,17,11,24,13,91,526,1230,323,907,109,80,135,3,5,424,9,31,22,55,0,980,3841
29,Maharashtra,Osmanabad,50,16,1,23,12,9,3,8,6,34,167,341,27,314,122,11,18,1,24,806,5,48,9,80,0,847,2629
30,Maharashtra,Parbhani,39,33,1,17,18,16,2,7,0,59,167,248,17,231,61,11,33,2,18,693,3,65,7,196,0,646,2324
31,Maharashtra,Pune Commr.,82,40,6,51,50,37,13,25,4,89,857,2602,1266,1336,1012,77,294,3,10,1143,0,76,104,89,0,2947,9561
32,Maharashtra,Pune Rly.,5,0,0,0,1,0,1,3,0,15,0,424,8,416,3,0,2,2,0,8,0,1,0,0,0,63,527
33,Maharashtra,Pune Rural,136,39,8,52,33,23,10,35,1,50,345,592,143,449,142,40,28,1,36,539,8,64,8,206,0,1990,4353
34,Maharashtra,Raigad,53,11,1,20,9,3,6,7,0,26,176,283,53,230,88,27,21,4,9,246,0,30,14,35,0,889,1949
35,Maharashtra,Ratnagiri,19,10,3,26,11,9,2,1,1,20,140,177,34,143,45,15,16,2,8,222,2,26,26,55,0,618,1443
36,Maharashtra,Sangli,100,23,2,22,29,15,14,11,5,24,259,597,116,481,88,42,60,1,53,632,4,36,7,117,0,1079,3191
37,Maharashtra,Satara,76,18,12,27,21,5,16,10,2,29,299,588,98,490,75,30,73,1,30,562,12,52,3,218,0,1799,3937
38,Maharashtra,Sindhudurg,15,9,1,9,7,4,3,3,0,10,107,150,7,143,25,10,14,2,19,186,0,23,8,11,0,278,887
39,Maharashtra,Solapur Commr.,10,15,0,7,11,8,3,2,0,14,123,315,86,229,37,7,32,1,5,156,0,6,1,37,0,486,1265
40,Maharashtra,Solapur Rural,106,25,2,29,10,4,6,6,2,33,137,248,41,207,87,18,17,0,33,509,3,30,10,81,0,1349,2735
41,Maharashtra,Thane Commr.,127,79,4,44,66,34,32,13,38,162,986,1817,587,1230,200,75,322,10,8,838,3,59,62,181,0,1129,6223
42,Maharashtra,ThaneRural,126,39,8,56,42,31,11,19,11,74,428,567,71,496,162,66,86,7,32,704,7,119,41,118,0,1268,3980
