SI.No.,States/UT/City,Murder - 1998,Murder - 1999,Murder - Percentage Variation,Attempt to Commit Murder - 1998,Attempt to Commit Murder - 1999,Attempt to Commit Murder - Percentage Variation,C.H.Not Amounting to Murder - 1998,C.H.Not Amounting to Murder - 1999,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1998,Rape - 1999,Rape - Percentage Variation,Kidnaping & Abduction Total - 1998,Kidnaping & Abduction Total - 1999,Kidnaping & Abduction Total - Percentage Variation,Kidnaping & Abduction of Women & Girls - 1998,Kidnaping & Abduction of Women & Girls - 1999,Kidnaping & Abduction of Women & Girls - Percentage Variation,Kidnaping & Abduction of Others - 1998,Kidnaping & Abduction of Others - 1999,Kidnaping & Abduction of Others - Percentage Variation,Dacoity - 1998,Dacoity - 1999,Dacoity - Percentage Variation,Preperation & Assembly for Dacoity - 1998,Preperation & Assembly for Dacoity - 1999,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1998,Robbery - 1999,Robbery - Percentage Variation,Burglary - 1998,Burglary - 1999,Burglary - Percentage Variation,Theft Total - 1998,Theft Total - 1999,Theft Total - Percentage Variation,Theft Auto Theft - 1998,Theft Auto Theft - 1999,Theft Auto Theft - Percentage Variation,Theft Other Theft - 1998,Theft Other Theft - 1999,Theft Other Theft - Percentage Variation,Riots - 1998,Riots - 1999,Riots - Percentage Variation,Criminal Breach of Trust - 1998,Criminal Breach of Trust - 1999,Criminal Breach of Trust - Percentage Variation,Cheating - 1998,Cheating - 1999,Cheating - Percentage Variation,Counterfeiting - 1998,Counterfeiting - 1999,Counterfeiting - Percentage Variation,Arson - 1998,Arson - 1999,Arson - Percentage Variation,Hurt - 1998,Hurt - 1999,Hurt - Percentage Variation,Dowry Deaths - 1998,Dowry Deaths - 1999,Dowry Deaths - Percentage Variation,Molestation - 1998,Molestation - 1999,Molestation - Percentage Variation,Sexual Harassment - 1998,Sexual Harassment - 1999,Sexual Harassment - Percentage Variation,Cruelty By Husband and Relatives - 1998,Cruelty By Husband and Relatives - 1999,Cruelty By Husband and Relatives - Percentage Variation,Importation of Girls - 1998,Importation of Girls - 1999,Importation of Girls - Percentage Variation,Other IPC Crimes - 1998,Other IPC Crimes - 1999,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1998,Total Cognizable Crimes Under IPC - 1999,Total Cognizable Crimes Under IPC - Percentage Variation
47,Madurai,42,28,-33.3,52,36,-30.8,0,0,0,3,6,100,17,21,23.5,1,15,1400,16,6,-62.5,6,7,16.7,0,0,0,46,29,-37,123,137,11.4,927,621,-33,NR,139,0,NR,482,0,12,87,625,11,15,36.4,79,103,30.4,15,11,-26.7,4,2,-50,188,181,-3.7,4,5,25,14,10,-28.6,61,100,63.9,17,34,100,NR,0,0,2959,2265,-23.5,4580,3698,-19.3
48,Mumbai,365,340,-6.8,193,184,-4.7,15,4,-73.3,118,141,19.5,165,189,14.5,115,30,-73.9,50,159,218,86,74,-14,76,81,6.6,515,549,6.6,2472,2763,11.8,12649,11755,-7.1,NR,3021,0,NR,8734,0,134,200,49.3,416,407,-2.2,1190,1264,6.2,55,66,20,4,1,-75,3439,3560,3.5,45,60,33.3,210,243,15.7,22,36,63.6,237,237,0,NR,0,0,7611,7200,-5.4,30017,29354,-2.2
49,Nagpur,114,135,18.4,99,86,-13.1,5,1,-80,53,42,-20.8,71,68,-4.2,57,56,-1.8,14,12,-14.3,19,21,10.5,0,63,0,293,200,-31.7,1541,1370,-11.1,2505,2391,-4.6,NR,675,0,NR,1716,0,127,135,6.3,76,84,10.5,235,248,5.5,14,17,21.4,26,24,-7.7,1033,1094,5.9,5,4,-20,84,112,33.3,42,52,23.8,105,189,80,NR,0,0,3195,3173,-0.7,9642,9509,-1.4
50,Patna,243,226,-7,289,271,-6.2,19,21,10.5,16,18,12.5,124,104,-16.1,16,11,-31.3,108,93,-13.9,64,69,7.8,15,11,-26.7,399,296,-25.8,412,349,-15.3,1460,1412,-3.3,NR,326,0,NR,1086,0,117,135,15.4,167,129,-22.8,79,82,3.8,3,4,33.3,16,12,-25,144,176,22.2,32,39,21.9,15,22,46.7,3,1,-66.7,30,66,120,NR,0,0,2081,2188,5.1,5728,5631,-1.7
51,Pune,99,82,-17.2,33,40,21.2,2,6,200,56,51,-8.9,44,50,13.6,30,37,23.3,14,13,-7.1,17,25,47.1,2,4,100,84,89,6,897,857,-4.5,2552,2602,2,NR,1266,0,NR,1336,0,1195,1012,-15.3,78,77,-1.3,305,294,-3.6,5,3,-40,10,10,0,1097,1143,4.2,6,0,-100,70,76,8.6,108,104,-3.7,118,89,-24.6,NR,0,0,2992,2947,-1.5,9770,9561,-2.1
52,Surat,108,106,-1.9,41,21,-48.8,0,3,0,31,17,-45.2,96,70,-27.1,64,39,-39.1,32,31,-3.1,24,17,-29.2,0,0,0,121,83,-31.4,632,453,-28.3,1965,1576,-19.8,NR,775,0,NR,801,0,139,81,-41.7,101,75,-25.7,153,143,-6.5,4,2,-50,16,12,-25,704,500,-29,12,28,133.3,43,20,-53.5,9,4,-55.6,185,121,-34.6,NR,0,0,1337,1244,-7,5721,4576,-20
53,Vadodra,42,37,-11.9,19,17,-10.5,1,1,0,9,10,11.1,42,61,45.2,38,53,39.5,4,8,100,8,11,37.5,0,0,0,30,92,206.7,517,426,-17.6,1502,1302,-13.3,NR,529,0,NR,773,0,161,140,-13,166,141,-15.1,125,143,14.4,7,5,-28.6,2,7,250,585,409,-30.1,1,0,-100,31,30,-3.2,8,14,75,134,162,20.6,NR,0,0,3442,2788,-19,6832,5796,-15.2
54,Varanasi,79,68,-13.9,94,56,-40.4,10,8,-20,8,10,25,43,17,-60.5,4,11,175,39,6,-84.6,6,0,-100,1,0,-100,57,52,-8.8,132,165,25,454,342,-24.7,NR,160,0,NR,182,0,78,63,-19.2,32,55,71.9,55,56,1.8,4,1,-75,4,9,125,185,107,-42.2,13,14,7.7,4,7,75,0,36,0,14,39,178.6,NR,0,0,268,270,0.7,1541,1375,-10.8
55,Vishakhapatnam,27,17,-37,31,28,-9.7,1,0,-100,11,17,54.5,11,12,9.1,11,9,-18.2,0,3,0,4,3,-25,0,0,0,5,18,260,333,320,-3.9,812,780,-3.9,NR,143,0,NR,637,0,19,3,-84.2,43,28,-34.9,163,187,14.7,1,2,100,10,11,10,349,350,0.3,5,8,60,40,31,-22.5,222,657,195.9,151,168,11.3,NR,0,0,815,1142,40.1,3053,3782,23.9
Total Cities,Total Cities,2885,2747,-4.8,3035,2868,-5.5,203,202,-0.5,1018,1008,-1,3166,3046,-3.8,2112,1939,-8.2,1054,1107,5,521,461,-11.5,215,289,34.4,4086,3559,-12.9,20075,19199,-4.4,83063,77121,-7.2,0,25376,0,0,51745,0,6086,5253,-13.7,3722,3215,-13.6,10390,11885,14.4,430,416,-3.3,501,252,-49.7,23244,23277,0.1,532,547,2.8,2007,2059,2.6,898,1845,105.5,3849,4156,8,0,1,0,96673,91093,-5.8,266599,254499,-4.5
