SI.No.,States/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preaparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelity by Husband and Relatives,Importation of Girls,Others IPC Crimes,Total Cog. Under IPC
43,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Ludhiana,1,1,1,0,2,1,1,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,2,11
47,Madurai,0,0,0,0,0,0,0,0,0,1,3,20,0,20,1,0,0,0,0,0,0,0,0,0,0,3,28
48,Mumbai,8,0,0,1,0,0,0,0,0,0,38,53,0,53,1,0,1,0,0,37,1,4,0,0,0,14,158
49,Nagpur,1,2,0,2,0,0,0,3,0,1,86,18,0,18,3,0,0,0,13,16,0,1,1,0,0,13,160
50,Patna,0,2,0,0,0,0,0,0,0,2,0,2,1,1,1,0,2,0,0,2,1,0,0,2,0,12,26
51,Pune,1,0,0,1,2,1,1,0,1,0,15,68,22,46,7,0,0,0,0,13,0,3,0,0,0,8,119
52,Surat,0,1,0,1,0,0,0,1,0,0,1,14,8,6,4,1,0,0,0,12,0,1,0,2,0,1,39
53,Vadodra,0,1,0,0,0,0,0,0,0,0,3,28,0,28,4,0,1,0,0,8,0,0,1,1,0,37,84
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
55,Vishakhapatnam,0,0,0,0,0,0,0,0,0,0,15,43,0,43,0,0,0,0,0,4,0,0,1,0,0,0,63
Total Cities,Total Cities,41,25,2,26,28,23,5,4,1,13,305,591,75,516,47,5,9,5,13,176,3,21,5,20,0,309,1649
