SL. No.,States/UTs,District Name,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
2,Mizoram,Lunglei Distt.,6,1,4,1,NA,NA,25,32,NA,1,2,NA,167
3,Mizoram,Chhimtuipui Distt.,2,NA,8,NA,1,2,10,10,NA,2,N,4,126
1,Nagaland,Mokakchung,7,NA,NA,2,4,12,52,52,2,15,6,NA,231
2,Nagaland,Mon,2,NA,NA,3,NA,4,26,23,18,2,2,2,195
3,Nagaland,Tuensang,13,1,NA,3,4,17,34,11,5,1,4,NA,140
4,Nagaland,Zunheboto,7,1,1,3,NA,3,35,23,15,2,3,NA,164
5,Nagaland,Wokha,1,NA,3,3,NA,NA,25,25,5,NA,3,NA,162
6,Nagaland,Phek,1,NA,1,NA,NA,2,17,26,NA,2,1,NA,100
7,Nagaland,Kohima,1,NA,3,5,NA,6,9,31,5,7,6,NA,142
8,Nagaland,Dimapur,13,NA,1,6,12,38,111,120,10,9,21,5,490
1,Orissa,Balasore,21,5,6,22,8,29,238,466,158,22,14,NA,2290
2,Orissa,Cuttack (S),17,NA,8,26,9,42,358,875,48,37,43,NA,3283
3,Orissa,Cuttack (R ),28,11,13,28,24,47,489,973,127,19,12,NA,4344
4,Orissa,Ganjam,47,2,12,10,7,34,184,439,71,21,13,3,2340
5,Orissa,Berhampur,8,1,2,2,4,22,107,107,40,12,7,1,1026
6,Orissa,Koraput,96,6,17,20,26,84,332,597,246,40,15,NA,3535
7,Orissa,Puri,39,1,18,29,25,41,469,910,212,21,20,1,4080
8,Orissa,Sambalpur,58,6,25,15,13,59,509,829,125,53,52,NA,4233
9,Orissa,Dhenkanal,39,2,4,13,8,35,283,657,76,24,13,NA,2332
10,Orissa,Sundargarh,53,2,17,6,15,23,156,268,32,16,5,NA,1574
11,Orissa,Bolangir,17,8,7,4,5,19,198,314,67,14,17,1,1677
12,Orissa,Keonjhar,34,10,11,4,4,7,125,220,54,18,7,NA,1292
13,Orissa,Phulbani,30,3,9,11,5,27,147,227,60,18,8,NA,1284
14,Orissa,Mayurbhanj,60,2,15,11,14,23,204,282,63,12,36,NA,1802
15,Orissa,Kalahandi,14,4,2,10,5,17,218,306,68,14,10,NA,1700
16,Orissa,Rourkela,13,NA,10,4,8,21,136,306,104,18,16,NA,1365
17,Orissa,G. R. P. Cuttack,NA,NA,3,2,4,12,19,403,7,5,12,NA,622
18,Orissa,G. R. P. Rourk,3,NA,2,6,2,12,24,302,4,4,N,NA,443
19,Orissa,Bhubaneswar,9,NA,5,32,5,38,470,1116,49,71,41,2,3381
1,Punjab,Jalandhar,144,15,4,26,13,88,236,482,11,38,41,2,2215
2,Punjab,Amritsar,417,13,2,29,88,244,186,252,53,20,48,2,2520
3,Punjab,Hoshiarpur,73,3,5,11,2,51,102,130,6,6,16,NA,927
4,Punjab,Gurdaspur,146,9,3,22,8,10,143,183,5,19,26,NA,1329
5,Punjab,Kapurthala,39,2,1,3,1,20,52,97,6,1,5,NA,680
6,Punjab,Ferozepur,82,11,3,10,3,9,109,127,19,29,17,NA,937
7,Punjab,Bhatinda,101,14,11,8,5,33,117,136,21,23,22,1,1024
8,Punjab,Faridkot,127,12,3,13,9,8,84,167,30,18,18,NA,1053
9,Punjab,Patiala,73,21,3,15,NA,8,166,29,NA,29,24,2,1462
10,Punjab,Ludhiana,99,13,8,31,18,108,179,293,5,31,38,1,1692
11,Punjab,Sangrur,55,18,2,8,4,5,43,110,1,26,12,1,617
12,Punjab,Ropar,32,6,2,6,NA,8,47,98,3,8,10,NA,561
1,Rajasthan,Ajmer,53,5,16,98,NA,47,388,572,366,90,186,1,3536
2,Rajasthan,Bhilwara,41,NA,27,134,NA,68,412,492,663,56,156,2,3906
3,Rajasthan,Nagour,49,1,33,36,5,59,176,316,465,21,105,1,2926
4,Rajasthan,Jaipur City,36,1,11,106,2,45,378,1271,762,134,258,15,5667
5,Rajasthan,Jaipur Rural,58,NA,17,57,8,30,304,584,1024,36,101,1,4055
6,Rajasthan,Jhunjhunu,28,NA,9,16,1,9,105,174,481,14,49,NA,1771
7,Rajasthan,Sikar,31,2,6,21,2,25,176,255,638,26,81,NA,2066
8,Rajasthan,Tonk,16,4,7,45,NA,14,103,208,352,15,60,NA,1812
9,Rajasthan,Bikaner,21,NA,17,26,1,9,120,268,156,22,45,NA,1777
10,Rajasthan,Churu,18,3,25,21,1,6,137,218,193,9,86,4,1869
11,Rajasthan,Ganganagar,137,3,64,75,2,34,309,406,161,126,259,1,4330
12,Rajasthan,Bharatpur,51,NA,16,69,11,29,224,571,684,37,125,1,3485
13,Rajasthan,Alwar,62,1,18,71,6,53,276,532,782,52,168,2,3566
14,Rajasthan,Sawai Madhopur,55,NA,24,101,9,49,350,52,1028,17,98,1,3848
15,Rajasthan,Dholpur,48,NA,13,58,4,56,131,31,536,12,25,NA,1828
16,Rajasthan,Jodhpur,27,1,23,41,NA,58,240,401,312,35,146,4,2705
17,Rajasthan,Jalore,14,1,7,14,NA,15,51,92,69,23,13,NA,995
18,Rajasthan,Jaisalmer,8,NA,2,3,NA,11,24,87,30,1,10,NA,343
19,Rajasthan,Barmer,18,NA,11,30,NA,36,84,238,98,8,66,1,1442
20,Rajasthan,Pali,37,NA,19,30,1,23,140,202,254,33,69,2,1925
21,Rajasthan,Sirohi,14,1,7,17,3,13,92,87,68,10,36,NA,833
22,Rajasthan,Kota City,29,1,13,41,3,26,231,373,119,28,79,1,2028
23,Rajasthan,Kota Rural,41,9,49,85,5,54,329,340,343,33,51,NA,3400
24,Rajasthan,Bundi,32,NA,14,49,2,31,176,166,183,18,42,NA,1674
25,Rajasthan,Jhalawar,40,1,38,49,3,49,233,246,223,23,45,NA,1997
26,Rajasthan,Udaipur,73,5,34,178,13,89,607,716,819,55,175,2,6072
27,Rajasthan,Banswara,37,2,26,64,3,36,125,158,472,17,61,NA,2571
28,Rajasthan,Chittorgarh,41,1,42,174,3,47,404,705,694,34,245,1,4889
29,Rajasthan,Dungarpur,21,1,14,41,NA,9,54,109,183,17,18,1,1527
30,Rajasthan,G.R.P.,3,NA,2,5,2,21,2,725,19,2,12,1,1008
1,Sikkam,North Distt.,NA,NA,NA,NA,NA,NA,3,9,NA,3,NA,NA,29
2,Sikkam,East Distt.,5,NA,7,3,NA,2,28,53,NA,10,20,NA,215
3,Sikkam,West Distt.,NA,1,NA,NA,NA,1,2,4,1,3,3,NA,46
4,Sikkam,South Distt.,1,NA,1,NA,NA,1,6,14,3,5,1,NA,64
1,Tamil Nadu,Chinglepat East,40,1,14,42,10,42,611,1546,329,47,118,3,5607
2,Tamil Nadu,Chinglepat West,43,2,7,30,5,9,349,1040,357,24,30,4,4018
3,Tamil Nadu,South Arcot,109,6,25,62,7,22,404,1361,887,76,50,3,9781
4,Tamil Nadu,North Arcot,106,4,30,53,12,43,676,1760,1350,70,88,10,8989
5,Tamil Nadu,Dharmapuri,83,NA,6,12,13,7,252,388,267,18,26,7,3403
6,Tamil Nadu,Salem,154,1,5,34,1,17,505,906,315,27,38,20,6071
7,Tamil Nadu,Coimbatore Urban,45,NA,5,12,4,26,556,1087,270,92,91,15,4638
8,Tamil Nadu,Coimbatore Rural,44,NA,7,19,1,10,288,527,322,22,23,6,2770
9,Tamil Nadu,Periyar,77,NA,6,16,6,14,304,778,245,45,16,5,3664
10,Tamil Nadu,Nilgiris,20,NA,2,10,NA,1,160,176,89,11,13,1,1240
11,Tamil Nadu,Tiruchirapalli,122,NA,6,34,5,23,560,1421,273,71,144,37,7613
12,Tamil Nadu,Thanjavur East,38,NA,5,38,NA,5,306,651,194,23,26,2,4673
13,Tamil Nadu,Thanjavur West,70,NA,10,34,NA,3,393,910,265,49,70,3,5710
14,Tamil Nadu,Pudukkottai,24,NA,2,28,NA,5,176,378,176,13,16,4,2308
15,Tamil Nadu,Madurai City,25,NA,8,14,1,39,199,937,135,35,141,23,3136
16,Tamil Nadu,Madurai Rural,73,NA,12,34,5,18,238,728,474,22,51,9,4304
17,Tamil Nadu,Anna,53,1,13,24,2,15,247,750,297,23,26,6,3492
18,Tamil Nadu,Ramnad,32,NA,11,9,1,13,122,174,338,8,23,2,2175
19,Tamil Nadu,Pasumpon Muthuramalingam,29,NA,12,12,NA,7,124,331,182,11,15,4,1614
20,Tamil Nadu,Kamarajar,48,NA,10,8,1,12,240,612,426,17,17,7,3389
21,Tamil Nadu,Tirunelveli East,93,NA,15,23,2,29,304,480,53,24,20,3,3369
22,Tamil Nadu,Tirunelveli West,86,4,23,34,4,28,343,739,77,31,36,10,4235
23,Tamil Nadu,Kanyakummari,56,NA,10,7,NA,3,169,292,622,20,34,4,3685
24,Tamil Nadu,Rly. Police Trichy & Madras,NA,NA,NA,1,NA,1,7,406,36,13,10,NA,759
25,Tamil Nadu,Madras City,61,3,23,40,2,41,302,3838,200,209,664,167,13827
1,Tripura,West Tripura,73,4,11,33,27,28,382,504,258,10,13,NA,2310
2,Tripura,South Tripura,33,NA,17,4,10,24,118,131,174,4,5,NA,980
3,Tripura,North Tripura,38,NA,15,17,12,34,161,226,129,8,6,NA,1341
1,Uttar Pradesh,Meerut,490,49,48,147,114,282,987,1636,382,116,99,NA,5355
2,Uttar Pradesh,Bulandshahar,224,73,35,79,80,215,637,1092,343,91,53,NA,4483
3,Uttar Pradesh,Muzaffaranagar,180,74,32,74,50,136,361,813,216,77,39,NA,3271
4,Uttar Pradesh,Saharanpur,171,41,31,96,59,150,534,1005,218,69,74,NA,4073
5,Uttar Pradesh,Ghaziabad,260,36,43,114,74,294,818,1630,338,174,126,11,6004
6,Uttar Pradesh,Pauri Garhwal,10,2,NA,6,2,18,42,98,15,2,4,NA,352
7,Uttar Pradesh,Tehri Garhwal,31,2,5,25,9,30,80,93,25,11,1,NA,535
8,Uttar Pradesh,Uttarkashi,10,2,NA,11,2,22,34,68,34,8,7,NA,222
9,Uttar Pradesh,Chamoli,12,2,2,7,3,25,62,91,51,8,8,NA,429
10,Uttar Pradesh,Dehradun,46,12,17,103,10,45,285,454,83,51,46,NA,1899
11,Uttar Pradesh,Agra,160,52,50,148,80,188,740,1477,382,139,140,8,6070
12,Uttar Pradesh,Mathura,122,23,26,41,44,86,307,479,165,48,47,NA,2688
13,Uttar Pradesh,Etah,183,24,35,83,86,132,308,557,230,35,41,NA,2873
14,Uttar Pradesh,Mainpuri,144,38,21,45,52,225,306,514,165,41,31,NA,2732
15,Uttar Pradesh,Aligarh,193,54,36,116,75,124,437,885,241,87,65,1,3960
16,Uttar Pradesh,Kanpur City,132,36,26,148,81,172,568,1914,228,238,256,1,6091
17,Uttar Pradesh,Kanpur Dehat,103,31,8,49,48,170,306,481,139,35,34,NA,2543
18,Uttar Pradesh,Fatehpur,161,54,14,34,37,197,333,393,151,31,19,NA,2225
19,Uttar Pradesh,Fatehgarh,240,45,21,138,78,282,459,754,219,65,45,3,3851
20,Uttar Pradesh,Etawah,107,35,18,68,54,278,439,520,205,55,6,1,3081
21,Uttar Pradesh,Allahabad,238,92,35,94,85,216,834,1600,255,120,137,5,5975
22,Uttar Pradesh,Jhansi,60,38,25,23,42,54,291,426,111,34,27,NA,2155
23,Uttar Pradesh,Banda,161,54,34,37,70,223,393,423,173,32,34,1,2509
24,Uttar Pradesh,Hamirpur,104,27,14,15,26,65,202,268,64,32,21,NA,1227
25,Uttar Pradesh,Jalaun,70,14,13,28,20,61,218,256,75,17,20,1,1468
26,Uttar Pradesh,Lalitpur,21,16,17,10,9,29,112,135,44,12,3,NA,796
27,Uttar Pradesh,Lucknow,126,36,26,99,57,128,681,2158,201,224,247,14,6559
28,Uttar Pradesh,Sitapur,224,40,35,79,83,314,585,1159,190,72,56,1,4123
29,Uttar Pradesh,Hardoi,125,46,25,37,26,88,260,421,59,16,27,NA,2007
30,Uttar Pradesh,khari,142,47,13,73,37,117,276,549,85,42,26,NA,2229
31,Uttar Pradesh,Raibareli,80,33,13,40,52,68,224,470,99,49,21,3,1985
32,Uttar Pradesh,Unnao,112,40,17,41,31,110,302,329,74,36,56,NA,1999
33,Uttar Pradesh,Faizabad,122,62,24,103,199,295,799,1131,549,96,74,2,5061
34,Uttar Pradesh,Bahraich,79,33,28,69,87,125,418,741,213,66,41,NA,2800
35,Uttar Pradesh,Barabanki,89,26,20,39,66,129,339,433,144,37,22,NA,2099
36,Uttar Pradesh,Gonda,95,44,27,83,53,244,637,857,188,62,61,3,3550
37,Uttar Pradesh,Pratapgarh,77,26,12,28,42,123,352,422,256,50,16,NA,2315
38,Uttar Pradesh,Sultanpur,65,23,17,23,44,71,382,542,153,77,23,NA,2684
39,Uttar Pradesh,Bareilly,213,52,49,93,51,221,632,1477,194,86,80,NA,5124
40,Uttar Pradesh,Badaun,188,36,50,87,52,171,344,802,153,79,32,NA,3234
41,Uttar Pradesh,Pillibhit,92,22,27,46,19,87,274,460,72,32,44,NA,2084
42,Uttar Pradesh,Shahjahanpur,168,54,31,58,24,130,197,700,88,48,45,NA,2684
43,Uttar Pradesh,Nainital,55,29,17,32,45,36,446,472,75,54,22,NA,1900
44,Uttar Pradesh,Almora,22,3,3,4,7,57,86,136,48,16,11,1,579
45,Uttar Pradesh,Pithoragarh,18,7,8,9,4,37,64,88,36,6,6,NA,412
46,Uttar Pradesh,Moradabad,320,28,191,214,123,266,972,1322,245,240,84,NA,6235
47,Uttar Pradesh,Bijnor,128,43,34,95,40,122,379,712,275,56,71,NA,3000
48,Uttar Pradesh,Rampur,93,13,13,59,21,78,119,395,46,19,32,NA,1703
49,Uttar Pradesh,Gorakhpur,98,46,16,44,142,73,359,625,199,75,61,4,3492
50,Uttar Pradesh,Azamgarh,121,40,10,24,70,74,379,474,222,61,54,NA,2763
51,Uttar Pradesh,Basti,47,23,11,36,38,37,309,431,95,45,29,5,2223
52,Uttar Pradesh,Deoria,82,35,8,28,68,48,310,386,116,56,48,3,2233
53,Uttar Pradesh,Varanasi,103,71,17,67,76,73,622,935,212,110,104,NA,4390
54,Uttar Pradesh,Mirzapur,68,36,22,27,26,19,174,475,90,52,72,4,2191
55,Uttar Pradesh,Ghazipur,57,38,3,14,59,34,200,229,71,16,17,1,1239
56,Uttar Pradesh,Jaunpur,60,38,8,16,44,25,203,316,106,47,38,2,1599
57,Uttar Pradesh,Ballia,42,17,2,9,36,22,236,254,90,40,37,NA,1561
58,Uttar Pradesh,G.R.P,41,3,9,26,59,99,12,4368,32,224,205,1,5867
1,West Bengal,Bankura,59,12,11,12,17,19,22,424,143,8,8,NA,1249
2,West Bengal,Birbhum,52,17,38,33,21,28,61,464,368,34,16,1,1872
3,West Bengal,Burdwan,135,53,53,71,164,131,47,1618,566,73,54,NA,4607
4,West Bengal,Hooghly,72,32,32,55,57,34,67,1205,507,69,42,NA,3604
5,West Bengal,Purulia,50,17,16,9,15,5,36,470,106,13,11,NA,1636
6,West Bengal,24 Parganas North,118,4,84,143,83,73,300,2916,502,120,93,10,5553
7,West Bengal,24 Parganas South,130,54,33,86,60,53,172,3352,866,38,35,3,6606
8,West Bengal,Murshidabad,149,50,64,41,62,40,47,631,669,25,33,5,2989
9,West Bengal,Nadia,101,14,83,75,52,25,97,1243,673,30,14,12,3495
10,West Bengal,West Dinajpur,79,51,22,28,66,47,147,1081,370,11,7,1,2858
11,West Bengal,Jalpaiguri,106,33,13,22,33,23,99,782,140,28,14,NA,2567
12,West Bengal,Malda,60,30,16,17,20,12,26,285,166,13,10,NA,1236
13,West Bengal,Darjeeling,68,26,17,30,21,26,77,533,226,19,15,NA,1917
14,West Bengal,Coochbehar,49,32,62,54,58,23,81,402,357,38,NA,NA,1762
15,West Bengal,Howrah,71,23,25,36,34,44,80,1956,278,83,36,3,3358
16,West Bengal,Midnapur,85,36,44,54,24,34,163,824,743,30,60,1,4419
1,A & N Island,A & N Island,7,1,6,11,NA,1,68,129,23,11,5,NA,741
1,Chandigarh,Chandigarh,22,3,5,27,1,3,183,757,10,17,78,1,1621
1,Dadar & Nagar Haveli,D & N Haveli,4,NA,2,3,2,8,106,78,23,3,NA,NA,541
1,Delhi,North Distt.,59,26,22,121,9,33,144,1697,30,94,163,NA,4597
2,Delhi,Central Distt.,35,44,14,108,NA,15,101,1435,25,67,86,5,3382
3,Delhi,East Distt.,68,41,17,260,3,41,353,1169,10,82,73,1,3749
4,Delhi,New Delhi Distt.,4,5,7,27,NA,12,83,1449,15,26,107,19,2578
5,Delhi,South Distt.,74,34,26,127,8,50,440,2412,31,100,121,3,5839
6,Delhi,West Distt.,67,44,17,151,11,42,350,1569,58,86,94,1,4696
7,Delhi,Railways,3,1,NA,2,1,2,1,397,2,9,5,NA,686
8,Delhi,Palam Air Port,1,3,NA,3,NA,2,3,63,2,2,191,NA,319
1,Daman & Diu,Daman,4,NA,NA,NA,2,1,3,16,10,3,3,NA,94
2,Daman & Diu,Diu,3,NA,1,NA,NA,1,1,1,6,NA,NA,NA,22
1,Pondicherry,Pondicherry,18,NA,7,8,NA,10,167,638,127,14,28,6,2466
1,Lakshadweep,Lakshadweep,NA,NA,NA,NA,NA,NA,9,4,7,NA,1,NA,31
